Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Category,Orders.Sub-Category,Orders.Segment,Sum(Orders.Sales),Sum(Orders.Profit)
October,Furniture,Furnishings,Corporate,2745.5840000000003,355.7061
November,Furniture,Furnishings,Corporate,3556.118,342.5701
December,Furniture,Furnishings,Corporate,3573.896,196.06489999999997
January,Furniture,Furnishings,Home Office,801.946,-166.16499999999994
February,Furniture,Furnishings,Home Office,199.118,23.274700000000017
March,Furniture,Furnishings,Home Office,1302.784,265.96559999999994
April,Furniture,Furnishings,Home Office,2509.098,114.09469999999988
May,Furniture,Furnishings,Home Office,1982.9800000000002,448.09189999999995
June,Furniture,Furnishings,Home Office,293.89599999999996,36.865899999999996
July,Furniture,Furnishings,Home Office,1246.5900000000001,-223.86660000000012
August,Furniture,Furnishings,Home Office,433.376,80.01480000000004
September,Furniture,Furnishings,Home Office,1575.784,187.80299999999994
October,Furniture,Furnishings,Home Office,939.5099999999998,148.44769999999994
November,Furniture,Furnishings,Home Office,4494.380000000002,478.03529999999984
December,Furniture,Furnishings,Home Office,1304.3900000000003,238.95119999999997
January,Furniture,Tables,Consumer,7541.888000000001,-3036.2784
February,Furniture,Tables,Consumer,2399.9230000000002,34.27639999999991
March,Furniture,Tables,Consumer,8572.520999999999,-626.81
April,Furniture,Tables,Consumer,3996.8995,-608.5104000000001
May,Furniture,Tables,Consumer,3513.087,-1005.9365000000001
June,Furniture,Tables,Consumer,8657.240000000002,-234.65230000000054
July,Furniture,Tables,Consumer,5459.413999999999,-640.9969
August,Furniture,Tables,Consumer,5412.856499999999,-828.5968000000003
September,Furniture,Tables,Consumer,11083.132000000001,-850.8806000000004
October,Furniture,Tables,Consumer,8092.3655,-245.2277000000002
November,Furniture,Tables,Consumer,14792.085500000001,-1733.4027000000006
December,Furniture,Tables,Consumer,20412.382999999998,48.97809999999919
January,Furniture,Tables,Corporate,3410.2040000000006,337.5601999999999
February,Furniture,Tables,Corporate,493.9199999999999,-28.22399999999999
March,Furniture,Tables,Corporate,7157.954000000001,-529.5688
April,Furniture,Tables,Corporate,2917.8199999999997,357.3527
May,Furniture,Tables,Corporate,5488.354,567.3335999999997
June,Furniture,Tables,Corporate,5239.0380000000005,-416.08420000000024
July,Furniture,Tables,Corporate,4189.948,49.34209999999976
August,Furniture,Tables,Corporate,7690.6715,-56.24880000000016
September,Furniture,Tables,Corporate,4573.941000000001,-331.557
October,Furniture,Tables,Corporate,9399.581000000002,-3339.4131
November,Furniture,Tables,Corporate,10082.07,-202.8085000000002
December,Furniture,Tables,Corporate,10228.216,-1314.1828
January,Furniture,Tables,Home Office,,
February,Furniture,Tables,Home Office,1323.8400000000001,-561.4474
March,Furniture,Tables,Home Office,1182.5120000000002,-43.28040000000006
April,Furniture,Tables,Home Office,2998.4365000000003,-1186.5259999999998
May,Furniture,Tables,Home Office,286.85,63.107
June,Furniture,Tables,Home Office,2508.715,-441.31650000000025
July,Furniture,Tables,Home Office,513.264,-108.24700000000001
August,Furniture,Tables,Home Office,3785.574,-336.3204000000002
September,Furniture,Tables,Home Office,3968.8590000000004,206.82229999999973
October,Furniture,Tables,Home Office,2730.99,-975.9888000000001
November,Furniture,Tables,Home Office,8308.32,-87.7556000000003
December,Furniture,Tables,Home Office,8552.659,380.0081
January,Office Supplies,Appliances,Consumer,2998.1599999999994,561.9973999999999
February,Office Supplies,Appliances,Consumer,1260.1719999999998,323.91339999999985
March,Office Supplies,Appliances,Consumer,4096.8859999999995,-126.82940000000008
April,Office Supplies,Appliances,Consumer,4854.659999999999,-418.1891000000008
May,Office Supplies,Appliances,Consumer,3950.096,510.5701999999999
June,Office Supplies,Appliances,Consumer,2227.226,183.4746
July,Office Supplies,Appliances,Consumer,717.7680000000001,111.19479999999997
August,Office Supplies,Appliances,Consumer,7354.312000000001,1469.9957999999997
September,Office Supplies,Appliances,Consumer,4603.488,474.25639999999987
October,Office Supplies,Appliances,Consumer,3774.504,948.9610999999998
November,Office Supplies,Appliances,Consumer,7519.6579999999985,1781.5615999999998
December,Office Supplies,Appliances,Consumer,9462.651,1161.021400000001
January,Office Supplies,Appliances,Corporate,90.724,13.210000000000004
February,Office Supplies,Appliances,Corporate,3060.5839999999994,618.0873999999998
March,Office Supplies,Appliances,Corporate,2318.502,268.59030000000007
April,Office Supplies,Appliances,Corporate,320.08,-75.51490000000001
May,Office Supplies,Appliances,Corporate,1282.4239999999998,250.36539999999988
June,Office Supplies,Appliances,Corporate,3236.9039999999995,936.9613999999999
July,Office Supplies,Appliances,Corporate,2997.0660000000003,461.34749999999974
August,Office Supplies,Appliances,Corporate,4604.22,1225.8011000000001
September,Office Supplies,Appliances,Corporate,4601.184000000001,490.09119999999984
October,Office Supplies,Appliances,Corporate,448.80100000000004,-18.734000000000037
November,Office Supplies,Appliances,Corporate,8277.536,1845.6546999999998
December,Office Supplies,Appliances,Corporate,5350.658000000001,1414.0350999999994
January,Office Supplies,Appliances,Home Office,87.36,23.587200000000003
February,Office Supplies,Appliances,Home Office,612.23,169.53660000000005
March,Office Supplies,Appliances,Home Office,318.24,62.65559999999999
April,Office Supplies,Appliances,Home Office,867.0459999999999,201.26609999999994
May,Office Supplies,Appliances,Home Office,2293.43,445.52459999999985
June,Office Supplies,Appliances,Home Office,2015.33,368.6896999999999
July,Office Supplies,Appliances,Home Office,108.41999999999999,31.736399999999996
August,Office Supplies,Appliances,Home Office,1103.1270000000002,146.8207999999999
September,Office Supplies,Appliances,Home Office,988.3559999999999,67.05839999999998
October,Office Supplies,Appliances,Home Office,4928.2919999999995,1368.2266
November,Office Supplies,Appliances,Home Office,3172.7380000000003,375.7823999999997
December,Office Supplies,Appliances,Home Office,1629.328,465.2975999999999
January,Office Supplies,Art,Consumer,373.94999999999993,89.54809999999999
February,Office Supplies,Art,Consumer,822.0020000000001,179.04989999999995
March,Office Supplies,Art,Consumer,836.0640000000002,194.22059999999993
April,Office Supplies,Art,Consumer,1629.804,437.03499999999997
May,Office Supplies,Art,Consumer,1155.708,271.8169999999999
June,Office Supplies,Art,Consumer,806.9499999999999,212.9715
July,Office Supplies,Art,Consumer,1278.0780000000002,307.6723999999999
August,Office Supplies,Art,Consumer,571.1899999999999,134.7278
September,Office Supplies,Art,Consumer,2120.584,535.4179
October,Office Supplies,Art,Consumer,939.0820000000001,216.37490000000003
November,Office Supplies,Art,Consumer,2278.1280000000006,540.0055999999997
December,Office Supplies,Art,Consumer,1440.3899999999996,335.46040000000005
January,Office Supplies,Art,Corporate,439.62,113.98620000000001
February,Office Supplies,Art,Corporate,21.312,3.735599999999998
March,Office Supplies,Art,Corporate,315.04999999999995,83.21599999999998
April,Office Supplies,Art,Corporate,473.758,111.06809999999999
May,Office Supplies,Art,Corporate,480.856,97.82389999999998
June,Office Supplies,Art,Corporate,743.1079999999998,204.99109999999996
July,Office Supplies,Art,Corporate,642.1480000000001,148.80190000000002
August,Office Supplies,Art,Corporate,714.6739999999999,200.62300000000002
September,Office Supplies,Art,Corporate,1024.5939999999998,247.15379999999996
October,Office Supplies,Art,Corporate,635.9039999999999,191.67420000000004
November,Office Supplies,Art,Corporate,1166.3780000000002,307.8161
December,Office Supplies,Art,Corporate,1933.0460000000003,293.7578
January,Office Supplies,Art,Home Office,100.8,29.31159999999999
February,Office Supplies,Art,Home Office,274.2,78.63480000000001
March,Office Supplies,Art,Home Office,150.86,33.58529999999999
April,Office Supplies,Art,Home Office,303.59799999999996,60.512499999999996
May,Office Supplies,Art,Home Office,594.266,120.9097
June,Office Supplies,Art,Home Office,667.6379999999999,157.86639999999997
July,Office Supplies,Art,Home Office,145.71400000000003,40.96739999999999
August,Office Supplies,Art,Home Office,404.2699999999999,107.91959999999996
September,Office Supplies,Art,Home Office,515.1919999999999,120.32439999999998
October,Office Supplies,Art,Home Office,348.06999999999994,95.88449999999999
November,Office Supplies,Art,Home Office,509.52799999999996,149.92659999999998
December,Office Supplies,Art,Home Office,262.27799999999996,72.9954
January,Office Supplies,Binders,Consumer,8349.788999999999,2911.1745999999994
February,Office Supplies,Binders,Consumer,3890.9089999999997,633.5316999999992
March,Office Supplies,Binders,Consumer,11096.895999999999,4476.1492
April,Office Supplies,Binders,Consumer,3731.846,-1797.9016000000008
May,Office Supplies,Binders,Consumer,2205.8969999999995,454.1678999999998
June,Office Supplies,Binders,Consumer,11214.823,3559.8713999999986
July,Office Supplies,Binders,Consumer,4847.490999999999,-4292.558400000002
August,Office Supplies,Binders,Consumer,12183.168999999996,1440.6315
September,Office Supplies,Binders,Consumer,24264.977000000028,6917.8568000000005
October,Office Supplies,Binders,Consumer,3946.31,1029.242799999999
November,Office Supplies,Binders,Consumer,11649.073999999999,-2213.7432000000017
December,Office Supplies,Binders,Consumer,20779.827999999998,4877.174500000004
January,Office Supplies,Binders,Corporate,1595.408,-1065.3232
February,Office Supplies,Binders,Corporate,203.51500000000004,64.79159999999999
March,Office Supplies,Binders,Corporate,2218.926,501.4381999999999
April,Office Supplies,Binders,Corporate,5214.9310000000005,1045.2504999999996
May,Office Supplies,Binders,Corporate,4458.338000000001,1440.3558
June,Office Supplies,Binders,Corporate,1192.4209999999998,-206.97600000000014
July,Office Supplies,Binders,Corporate,1762.1290000000001,468.87429999999983
August,Office Supplies,Binders,Corporate,7219.833999999998,2524.157599999999
September,Office Supplies,Binders,Corporate,3790.9610000000007,-47.05950000000024
October,Office Supplies,Binders,Corporate,7015.877,2558.7301999999995
November,Office Supplies,Binders,Corporate,7653.418999999997,792.6496999999995
December,Office Supplies,Binders,Corporate,9234.553999999998,-1699.5691
January,Office Supplies,Binders,Home Office,2269.004,1005.8072
February,Office Supplies,Binders,Home Office,142.55700000000002,-8.28350000000001
March,Office Supplies,Binders,Home Office,572.9129999999999,152.48449999999997
April,Office Supplies,Binders,Home Office,4418.076999999999,1538.6719
May,Office Supplies,Binders,Home Office,2495.2090000000003,333.04319999999996
June,Office Supplies,Binders,Home Office,879.517,245.79570000000007
July,Office Supplies,Binders,Home Office,1947.729,426.5735999999999
August,Office Supplies,Binders,Home Office,1027.0100000000002,298.11369999999994
September,Office Supplies,Binders,Home Office,9287.570000000003,570.7030999999989
October,Office Supplies,Binders,Home Office,7114.442000000001,382.2839999999994
November,Office Supplies,Binders,Home Office,1555.1579999999997,340.81239999999997
December,Office Supplies,Binders,Home Office,1982.2250000000004,562.8401999999999
January,Office Supplies,Envelopes,Consumer,459.276,160.8506
February,Office Supplies,Envelopes,Consumer,121.24,52.544399999999996
March,Office Supplies,Envelopes,Consumer,666.316,300.2921999999999
April,Office Supplies,Envelopes,Consumer,545.5699999999999,232.21189999999999
May,Office Supplies,Envelopes,Consumer,405.47999999999996,187.07399999999998
June,Office Supplies,Envelopes,Consumer,498.478,212.21419999999995
July,Office Supplies,Envelopes,Consumer,367.51400000000007,165.17899999999997
August,Office Supplies,Envelopes,Consumer,627.7,256.4364
September,Office Supplies,Envelopes,Consumer,1132.3259999999996,481.0699
October,Office Supplies,Envelopes,Consumer,687.97,274.0120999999999
November,Office Supplies,Envelopes,Consumer,1263.31,502.68760000000003
December,Office Supplies,Envelopes,Consumer,995.966,439.8403
January,Office Supplies,Envelopes,Corporate,112.92,55.5948
February,Office Supplies,Envelopes,Corporate,368.726,167.83149999999998
March,Office Supplies,Envelopes,Corporate,394.89,165.60359999999997
April,Office Supplies,Envelopes,Corporate,373.85999999999996,180.1444
May,Office Supplies,Envelopes,Corporate,477.37199999999996,212.7267
June,Office Supplies,Envelopes,Corporate,,
July,Office Supplies,Envelopes,Corporate,674.38,309.99999999999994
August,Office Supplies,Envelopes,Corporate,35.04,15.8416
September,Office Supplies,Envelopes,Corporate,660.404,274.93169999999986
October,Office Supplies,Envelopes,Corporate,595.1419999999999,272.4176
November,Office Supplies,Envelopes,Corporate,1079.482,438.62659999999994
December,Office Supplies,Envelopes,Corporate,1170.454,477.5104999999999
January,Office Supplies,Envelopes,Home Office,177.7,83.51899999999999
February,Office Supplies,Envelopes,Home Office,178.60000000000002,82.7982
March,Office Supplies,Envelopes,Home Office,595.312,218.9785
April,Office Supplies,Envelopes,Home Office,25.852,11.7061
May,Office Supplies,Envelopes,Home Office,213.20800000000003,67.23869999999998
June,Office Supplies,Envelopes,Home Office,15.28,7.4872
July,Office Supplies,Envelopes,Home Office,158.186,70.20089999999999
August,Office Supplies,Envelopes,Home Office,38.339999999999996,17.253
September,Office Supplies,Envelopes,Home Office,383.82,146.73879999999997
October,Office Supplies,Envelopes,Home Office,120.044,55.3882
November,Office Supplies,Envelopes,Home Office,564.336,261.21779999999995
December,Office Supplies,Envelopes,Home Office,291.908,106.0087
January,Office Supplies,Fasteners,Consumer,38.9,9.6495
February,Office Supplies,Fasteners,Consumer,54.768,16.8054
March,Office Supplies,Fasteners,Consumer,113.92,26.5433
April,Office Supplies,Fasteners,Consumer,35.272,12.16
May,Office Supplies,Fasteners,Consumer,31.832,9.893099999999999
June,Office Supplies,Fasteners,Consumer,35.129999999999995,15.891899999999998
July,Office Supplies,Fasteners,Consumer,105.49000000000001,37.3117
August,Office Supplies,Fasteners,Consumer,190.97600000000003,74.07709999999997
September,Office Supplies,Fasteners,Consumer,208.31999999999996,91.65709999999999
October,Office Supplies,Fasteners,Consumer,245.214,47.5425
November,Office Supplies,Fasteners,Consumer,353.692,129.9493
December,Office Supplies,Fasteners,Consumer,267.428,105.3199
January,Office Supplies,Fasteners,Corporate,15.120000000000001,4.913999999999999
February,Office Supplies,Fasteners,Corporate,82.744,30.4458
March,Office Supplies,Fasteners,Corporate,,
April,Office Supplies,Fasteners,Corporate,105.32000000000001,27.47029999999999
May,Office Supplies,Fasteners,Corporate,16.04,5.714499999999999
June,Office Supplies,Fasteners,Corporate,59.422000000000004,19.8893
July,Office Supplies,Fasteners,Corporate,40.57,14.296399999999998
August,Office Supplies,Fasteners,Corporate,23.253999999999998,2.1798
September,Office Supplies,Fasteners,Corporate,151.344,51.6291
October,Office Supplies,Fasteners,Corporate,30.912000000000003,13.530399999999998
November,Office Supplies,Fasteners,Corporate,147.556,39.7282
December,Office Supplies,Fasteners,Corporate,111.00800000000001,42.105199999999996
January,Office Supplies,Fasteners,Home Office,33.64,0.4119999999999995
February,Office Supplies,Fasteners,Home Office,21.8,5.9935
March,Office Supplies,Fasteners,Home Office,35.716,7.6240999999999985
April,Office Supplies,Fasteners,Home Office,117.812,15.811499999999995
May,Office Supplies,Fasteners,Home Office,61.43,11.1913
June,Office Supplies,Fasteners,Home Office,20.951999999999998,1.3779
July,Office Supplies,Fasteners,Home Office,35.448,15.179199999999998
August,Office Supplies,Fasteners,Home Office,29.02,2.1503999999999994
September,Office Supplies,Fasteners,Home Office,46.03,8.877199999999998
October,Office Supplies,Fasteners,Home Office,49.636,18.2139
November,Office Supplies,Fasteners,Home Office,48.76,14.8224
December,Office Supplies,Fasteners,Home Office,59.804,19.160999999999998
January,Office Supplies,Labels,Consumer,143.872,62.7502
February,Office Supplies,Labels,Consumer,189.42000000000002,88.5152
March,Office Supplies,Labels,Consumer,776.098,365.05559999999997
April,Office Supplies,Labels,Consumer,227.544,102.7
May,Office Supplies,Labels,Consumer,451.28200000000004,192.39800000000002
June,Office Supplies,Labels,Consumer,391.2699999999999,176.8359
July,Office Supplies,Labels,Consumer,1526.2259999999999,736.2130000000001
August,Office Supplies,Labels,Consumer,486.49199999999996,220.08399999999997
September,Office Supplies,Labels,Consumer,1069.864,465.5395
October,Office Supplies,Labels,Consumer,161.128,73.5393
November,Office Supplies,Labels,Consumer,476.01,215.81299999999996
December,Office Supplies,Labels,Consumer,810.0560000000003,376.54470000000003
January,Office Supplies,Labels,Corporate,36.39,15.050099999999999
February,Office Supplies,Labels,Corporate,103.52600000000001,43.99029999999999
March,Office Supplies,Labels,Corporate,116.50800000000001,51.187200000000004
April,Office Supplies,Labels,Corporate,85.85799999999999,33.277
May,Office Supplies,Labels,Corporate,180.95999999999998,85.82449999999999
June,Office Supplies,Labels,Corporate,534.946,257.5553
July,Office Supplies,Labels,Corporate,122.3,54.413399999999996
August,Office Supplies,Labels,Corporate,210.40200000000004,84.40759999999999
September,Office Supplies,Labels,Corporate,267.536,105.49149999999997
October,Office Supplies,Labels,Corporate,887.5239999999999,387.51930000000004
November,Office Supplies,Labels,Corporate,1056.382,419.8621999999999
December,Office Supplies,Labels,Corporate,499.314,222.2489
January,Office Supplies,Labels,Home Office,26.404,11.143099999999999
February,Office Supplies,Labels,Home Office,6.936000000000001,2.3409000000000004
March,Office Supplies,Labels,Home Office,47.501999999999995,21.476200000000002
April,Office Supplies,Labels,Home Office,116.63000000000001,53.3672
May,Office Supplies,Labels,Home Office,230.87600000000003,90.06219999999999
June,Office Supplies,Labels,Home Office,280.79400000000004,112.69359999999999
July,Office Supplies,Labels,Home Office,43.49,18.731
August,Office Supplies,Labels,Home Office,179.578,83.41199999999999
September,Office Supplies,Labels,Home Office,158.89600000000002,67.8017
October,Office Supplies,Labels,Home Office,199.826,83.66129999999998
November,Office Supplies,Labels,Home Office,317.81,136.8752
December,Office Supplies,Labels,Home Office,66.662,27.873899999999995
January,Office Supplies,Paper,Consumer,1389.058,619.7955999999999
February,Office Supplies,Paper,Consumer,615.9819999999999,260.06199999999995
March,Office Supplies,Paper,Consumer,2536.0100000000016,1066.1732
April,Office Supplies,Paper,Consumer,1398.11,554.8768
May,Office Supplies,Paper,Consumer,2370.6600000000003,1035.8127999999995
June,Office Supplies,Paper,Consumer,3415.3380000000016,1414.6576
July,Office Supplies,Paper,Consumer,1811.0959999999998,816.7654999999999
August,Office Supplies,Paper,Consumer,4027.8919999999994,1709.8895000000002
September,Office Supplies,Paper,Consumer,5507.654000000001,2427.3749
October,Office Supplies,Paper,Consumer,1844.6620000000003,746.5967
November,Office Supplies,Paper,Consumer,6164.0380000000005,2661.9008999999996
December,Office Supplies,Paper,Consumer,5243.868000000001,2220.7381000000005
January,Office Supplies,Paper,Corporate,521.94,218.70600000000002
February,Office Supplies,Paper,Corporate,409.60800000000006,163.1846
March,Office Supplies,Paper,Corporate,1947.3540000000005,853.1863
April,Office Supplies,Paper,Corporate,570.7460000000001,250.82009999999997
May,Office Supplies,Paper,Corporate,2384.798,1045.9096
June,Office Supplies,Paper,Corporate,1374.388,554.3105999999999
July,Office Supplies,Paper,Corporate,1642.3000000000002,644.4305999999998
August,Office Supplies,Paper,Corporate,1784.292,770.2562000000004
September,Office Supplies,Paper,Corporate,3686.7560000000003,1638.6582999999998
October,Office Supplies,Paper,Corporate,2051.2700000000004,884.4639000000001
November,Office Supplies,Paper,Corporate,4089.502000000001,1811.9983000000009
December,Office Supplies,Paper,Corporate,3420.176000000001,1525.6223
January,Office Supplies,Paper,Home Office,352.624,158.7686
February,Office Supplies,Paper,Home Office,1787.0679999999998,800.4699999999999
March,Office Supplies,Paper,Home Office,1802.1680000000001,824.0142999999999
April,Office Supplies,Paper,Home Office,1995.2879999999998,872.8780000000002
May,Office Supplies,Paper,Home Office,1457.752,639.5672
June,Office Supplies,Paper,Home Office,1932.4680000000003,854.1842000000001
July,Office Supplies,Paper,Home Office,726.8040000000001,314.6939
August,Office Supplies,Paper,Home Office,710.98,306.13379999999995
September,Office Supplies,Paper,Home Office,1495.146,680.4095000000001
October,Office Supplies,Paper,Home Office,1100.9519999999998,490.37739999999997
November,Office Supplies,Paper,Home Office,2324.3799999999997,1046.7191
December,Office Supplies,Paper,Home Office,2586.078,1169.1628999999998
January,Office Supplies,Storage,Consumer,3315.4939999999997,361.70459999999986
February,Office Supplies,Storage,Consumer,3475.74,199.9925999999999
March,Office Supplies,Storage,Consumer,5572.8560000000025,574.3878999999997
April,Office Supplies,Storage,Consumer,4863.149999999999,463.03290000000004
May,Office Supplies,Storage,Consumer,8903.117999999999,968.3835
June,Office Supplies,Storage,Consumer,8435.454,628.1981999999998
July,Office Supplies,Storage,Consumer,7455.543999999999,419.77519999999976
August,Office Supplies,Storage,Consumer,8839.788,1030.4325999999992
September,Office Supplies,Storage,Consumer,14979.041999999992,1435.2269999999994
October,Office Supplies,Storage,Consumer,5629.388000000001,-179.00070000000017
November,Office Supplies,Storage,Consumer,16104.277999999997,422.8860999999998
December,Office Supplies,Storage,Consumer,12918.549999999997,779.1805000000002
January,Office Supplies,Storage,Corporate,3284.8739999999993,599.0067999999999
February,Office Supplies,Storage,Corporate,1763.43,208.9347
March,Office Supplies,Storage,Corporate,6274.011999999999,664.8770000000001
April,Office Supplies,Storage,Corporate,4572.2080000000005,123.70309999999995
May,Office Supplies,Storage,Corporate,4197.812000000001,242.88809999999975
June,Office Supplies,Storage,Corporate,8576.214,1057.1442
July,Office Supplies,Storage,Corporate,3169.9339999999997,394.2161999999999
August,Office Supplies,Storage,Corporate,6067.6,479.24019999999973
September,Office Supplies,Storage,Corporate,8959.454,313.55249999999995
October,Office Supplies,Storage,Corporate,7676.6359999999995,465.0729999999999
November,Office Supplies,Storage,Corporate,14441.29,2941.228099999999
December,Office Supplies,Storage,Corporate,10807.533999999998,1641.1607999999994
January,Office Supplies,Storage,Home Office,2617.434,68.38029999999999
February,Office Supplies,Storage,Home Office,885.494,69.15020000000001
March,Office Supplies,Storage,Home Office,2945.9000000000005,514.3609999999999
April,Office Supplies,Storage,Home Office,6370.3060000000005,716.2589000000002
May,Office Supplies,Storage,Home Office,1569.0459999999998,180.93260000000004
June,Office Supplies,Storage,Home Office,1593.9940000000001,24.533599999999982
July,Office Supplies,Storage,Home Office,1865.3180000000002,176.89479999999995
August,Office Supplies,Storage,Home Office,2835.434,-8.4392
September,Office Supplies,Storage,Home Office,5548.972000000001,872.8733999999996
October,Office Supplies,Storage,Home Office,3933.846,442.98019999999985
November,Office Supplies,Storage,Home Office,6477.58,668.8100999999998
