Orders.Ship Date.Variation.Date Hierarchy.Year,Sum(Orders.Sales),Orders.City,Orders.Colors
2014,,Beverly,
2015,2583.1899999999996,Beverly,
2016,,Beverly,
2017,,Beverly,
2018,,Beverly,
2014,8.288,Billings,
2015,,Billings,
2016,,Billings,
2017,,Billings,
2018,,Billings,
2014,341,Bloomington,
2015,252.088,Bloomington,
2016,262.8,Bloomington,
2017,94.15200000000002,Bloomington,
2018,,Bloomington,
2014,617.7,Bloomington,Voilet
2015,,Bloomington,Voilet
2016,,Bloomington,Voilet
2017,,Bloomington,Voilet
2018,,Bloomington,Voilet
2014,4.608,Boca Raton,
2015,,Boca Raton,
2016,58.400000000000006,Boca Raton,
2017,,Boca Raton,
2018,,Boca Raton,
2014,,Boise,
2015,1004.4999999999999,Boise,
2016,,Boise,
2017,89.97,Boise,
2018,,Boise,
2014,9.979999999999997,Bolingbrook,
2015,59.848,Bolingbrook,
2016,,Bolingbrook,
2017,148.48,Bolingbrook,
2018,,Bolingbrook,
2014,1417.18,Bossier City,
2015,,Bossier City,
2016,,Bossier City,
2017,,Bossier City,
2018,,Bossier City,
2014,264.32,Bowling Green,
2015,469.398,Bowling Green,
2016,146.363,Bowling Green,
2017,1197.2939999999999,Bowling Green,
2018,,Bowling Green,
2014,15.552000000000003,Boynton Beach,
2015,,Boynton Beach,
2016,314.39300000000003,Boynton Beach,
2017,139.64000000000001,Boynton Beach,
2018,,Boynton Beach,
2014,,Bozeman,
2015,43.66,Bozeman,
2016,,Bozeman,
2017,,Bozeman,
2018,,Bozeman,
2014,371.52,Brentwood,
2015,408.76800000000003,Brentwood,
2016,,Brentwood,
2017,4229.9259999999995,Brentwood,
2018,,Brentwood,
2014,,Brentwood,Red
2015,79.9,Brentwood,Red
2016,,Brentwood,Red
2017,,Brentwood,Red
2018,,Brentwood,Red
2014,,Bridgeton,
2015,,Bridgeton,
2016,52.410000000000004,Bridgeton,
2017,,Bridgeton,
2018,,Bridgeton,
2014,746.822,Bristol,
2015,238.11,Bristol,
2016,67.56,Bristol,
2017,40.896,Bristol,
2018,,Bristol,
2014,,Bristol,Blue
2015,157.79400000000004,Bristol,Blue
2016,,Bristol,Blue
2017,,Bristol,Blue
2018,,Bristol,Blue
2014,,Broken Arrow,
2015,821.94,Broken Arrow,
2016,1617.5900000000004,Broken Arrow,
2017,,Broken Arrow,
2018,,Broken Arrow,
2014,,Broomfield,
2015,,Broomfield,
2016,793.504,Broomfield,
2017,,Broomfield,
2018,,Broomfield,
2014,962.7500000000001,Brownsville,
2015,,Brownsville,
2016,,Brownsville,
2017,329.47679999999997,Brownsville,
2018,,Brownsville,
2014,,Bryan,
2015,,Bryan,
2016,550.8159999999999,Bryan,
2017,65.84,Bryan,
2018,,Bryan,
2014,6424.398000000001,Buffalo,
2015,1605.378,Buffalo,
2016,835.1700000000001,Buffalo,
2017,198.54999999999998,Buffalo,
2018,,Buffalo,
2014,831.399,Buffalo Grove,
2015,,Buffalo Grove,
2016,,Buffalo Grove,
2017,,Buffalo Grove,
2018,,Buffalo Grove,
2014,,Bullhead City,
2015,22.288000000000004,Bullhead City,
2016,,Bullhead City,
2017,,Bullhead City,
2018,,Bullhead City,
2014,3247.1580000000004,Burbank,
2015,,Burbank,
2016,,Burbank,
2017,,Burbank,
2018,,Burbank,
2014,,Burlington,
2015,5120.099999999999,Burlington,
2016,3597.084,Burlington,
2017,12906.148,Burlington,
2018,44.75,Burlington,
2014,455.63199999999995,Caldwell,
2015,,Caldwell,
2016,,Caldwell,
2017,,Caldwell,
2018,,Caldwell,
2014,,Camarillo,
2015,1452.7875000000001,Camarillo,
2016,,Camarillo,
2017,14.73,Camarillo,
2018,,Camarillo,
2014,,Cambridge,
2015,411.49,Cambridge,
2016,,Cambridge,
2017,90.6,Cambridge,
2018,,Cambridge,
2014,,Canton,
2015,,Canton,
2016,,Canton,
2017,818.1300000000001,Canton,
2018,,Canton,
2014,,Carlsbad,
2015,,Carlsbad,
2016,35.68000000000001,Carlsbad,
2017,355.26000000000005,Carlsbad,
2018,,Carlsbad,
2014,,Carlsbad,Purple
2015,,Carlsbad,Purple
2016,28.4,Carlsbad,Purple
2017,,Carlsbad,Purple
2018,,Carlsbad,Purple
2014,,Carol Stream,
2015,1305.81,Carol Stream,
2016,,Carol Stream,
2017,,Carol Stream,
2018,,Carol Stream,
2014,153.112,Carrollton,
2015,351.33599999999996,Carrollton,
2016,1506.2800000000002,Carrollton,
2017,189.918,Carrollton,
2018,,Carrollton,
2014,259.04,Cary,
2015,246.168,Cary,
2016,,Cary,
2017,,Cary,
2018,,Cary,
2014,7.080000000000001,Cedar Hill,
2015,,Cedar Hill,
2016,,Cedar Hill,
2017,115.296,Cedar Hill,
2018,,Cedar Hill,
2014,,Cedar Rapids,
2015,,Cedar Rapids,
2016,278.4,Cedar Rapids,
2017,,Cedar Rapids,
2018,,Cedar Rapids,
2014,,Champaign,
2015,151.96,Champaign,
2016,,Champaign,
2017,,Champaign,
2018,,Champaign,
2014,123.70700000000001,Chandler,
2015,,Chandler,
2016,,Chandler,
2017,953.0400000000001,Chandler,
2018,,Chandler,
2014,,Chapel Hill,Yellow
2015,,Chapel Hill,Yellow
2016,,Chapel Hill,Yellow
2017,14.015999999999998,Chapel Hill,Yellow
2018,,Chapel Hill,Yellow
2014,3963.137,Charlotte,
2015,21.752000000000002,Charlotte,
2016,5864.619000000001,Charlotte,
2017,3683.5350000000008,Charlotte,
2018,,Charlotte,
2014,,Charlotte,Maroon
2015,,Charlotte,Maroon
2016,36.24000000000001,Charlotte,Maroon
2017,74.11200000000001,Charlotte,Maroon
2018,,Charlotte,Maroon
2014,,Charlotte,Purple
2015,,Charlotte,Purple
2016,,Charlotte,Purple
2017,3.3040000000000003,Charlotte,Purple
2018,,Charlotte,Purple
2014,,Charlotte,Voilet
2015,,Charlotte,Voilet
2016,,Charlotte,Voilet
2017,27.992000000000004,Charlotte,Voilet
2018,,Charlotte,Voilet
2014,18.648000000000003,Charlotte,Yellow
2015,,Charlotte,Yellow
2016,,Charlotte,Yellow
2017,,Charlotte,Yellow
2018,,Charlotte,Yellow
2014,,Charlottesville,
2015,67.96,Charlottesville,
2016,,Charlottesville,
2017,34.650000000000006,Charlottesville,
2018,,Charlottesville,
2014,,Chattanooga,
2015,,Chattanooga,
2016,240.419,Chattanooga,
2017,748.384,Chattanooga,
2018,,Chattanooga,
2014,3256.98,Chesapeake,
2015,323.36,Chesapeake,
2016,1911.48,Chesapeake,
2017,504.90000000000003,Chesapeake,
2018,,Chesapeake,
2014,1106.7699999999998,Chester,
2015,570.4920000000001,Chester,
2016,,Chester,
2017,291.21700000000004,Chester,
2018,,Chester,
2014,,Cheyenne,
2015,,Cheyenne,
2016,1603.1360000000002,Cheyenne,
2017,,Cheyenne,
2018,,Cheyenne,
2014,10723.027999999997,Chicago,
2015,7383.817000000001,Chicago,
2016,11936.477000000003,Chicago,
2017,15796.160000000005,Chicago,
2018,,Chicago,
2014,,Chicago,Black
2015,,Chicago,Black
2016,31.983999999999998,Chicago,Black
2017,219.07500000000002,Chicago,Black
2018,,Chicago,Black
2014,,Chicago,Blue
2015,,Chicago,Blue
2016,95.97600000000001,Chicago,Blue
2017,,Chicago,Blue
2018,,Chicago,Blue
2014,,Chicago,Maroon
2015,,Chicago,Maroon
2016,177.225,Chicago,Maroon
2017,,Chicago,Maroon
2018,,Chicago,Maroon
2014,52.44799999999999,Chicago,Orange
2015,295.48299999999995,Chicago,Orange
2016,354.144,Chicago,Orange
2017,230.376,Chicago,Orange
2018,,Chicago,Orange
2014,,Chicago,Purple
2015,,Chicago,Purple
2016,72.032,Chicago,Purple
2017,,Chicago,Purple
2018,,Chicago,Purple
2014,20.16,Chicago,Red
2015,53.92,Chicago,Red
2016,419.68000000000006,Chicago,Red
2017,,Chicago,Red
2018,,Chicago,Red
2014,,Chicago,Voilet
2015,,Chicago,Voilet
2016,4.0440000000000005,Chicago,Voilet
2017,,Chicago,Voilet
2018,,Chicago,Voilet
2014,,Chicago,White
2015,12.132000000000001,Chicago,White
2016,1.7879999999999996,Chicago,White
2017,,Chicago,White
2018,,Chicago,White
2014,,Chicago,Yellow
2015,647.904,Chicago,Yellow
2016,11.688,Chicago,Yellow
2017,,Chicago,Yellow
2018,,Chicago,Yellow
2014,,Chico,
2015,1297.066,Chico,
2016,,Chico,
2017,753.1120000000001,Chico,
2018,,Chico,
2014,182.94,Chula Vista,
2015,665.88,Chula Vista,
2016,192.8,Chula Vista,
2017,,Chula Vista,
2018,,Chula Vista,
2014,32.76,Cincinnati,
2015,53.040000000000006,Cincinnati,
2016,1001.5150000000001,Cincinnati,
2017,427.253,Cincinnati,
2018,,Cincinnati,
2014,2.624,Cincinnati,Blue
2015,,Cincinnati,Blue
2016,,Cincinnati,Blue
2017,,Cincinnati,Blue
2018,,Cincinnati,Blue
2014,,Cincinnati,Maroon
2015,,Cincinnati,Maroon
2016,,Cincinnati,Maroon
2017,37.208,Cincinnati,Maroon
2018,,Cincinnati,Maroon
2014,,Cincinnati,Voilet
2015,,Cincinnati,Voilet
2016,,Cincinnati,Voilet
2017,57.576,Cincinnati,Voilet
2018,,Cincinnati,Voilet
2014,,Citrus Heights,
2015,,Citrus Heights,
2016,,Citrus Heights,
2017,129.39000000000001,Citrus Heights,
2018,,Citrus Heights,
2014,69.21600000000001,Clarksville,
2015,1635.0180000000003,Clarksville,
2016,,Clarksville,
2017,513.4960000000001,Clarksville,
2018,,Clarksville,
2014,810.1560000000001,Cleveland,
2015,1201.1239999999998,Cleveland,
2016,2418.75,Cleveland,
2017,1916.1550000000007,Cleveland,
2018,,Cleveland,
2014,336.82,Clifton,
2015,,Clifton,
2016,,Clifton,
2017,,Clifton,
2018,,Clifton,
2014,463.04,Clinton,
2015,4112.320000000001,Clinton,
2016,573.741,Clinton,
2017,365.15,Clinton,
2018,,Clinton,
2014,,Clovis,
2015,,Clovis,
2016,,Clovis,
2017,111.42,Clovis,
2018,,Clovis,
2014,,Coachella,
2015,,Coachella,
2016,,Coachella,
2017,163.55,Coachella,
2018,,Coachella,
2014,,College Station,
2015,,College Station,
2016,,College Station,
2017,291.04200000000003,College Station,
2018,,College Station,
2014,,Colorado Springs,
2015,1442.3540000000003,Colorado Springs,
2016,1396.3829999999998,Colorado Springs,
2017,,Colorado Springs,
2018,,Colorado Springs,
2014,230.35200000000003,Colorado Springs,Black
2015,,Colorado Springs,Black
2016,,Colorado Springs,Black
2017,,Colorado Springs,Black
2018,,Colorado Springs,Black
2014,218.35200000000003,Colorado Springs,Maroon
2015,,Colorado Springs,Maroon
2016,,Colorado Springs,Maroon
2017,,Colorado Springs,Maroon
2018,,Colorado Springs,Maroon
2014,27.552000000000003,Colorado Springs,Purple
2015,,Colorado Springs,Purple
2016,,Colorado Springs,Purple
2017,,Colorado Springs,Purple
2018,,Colorado Springs,Purple
2014,78.60000000000001,Colorado Springs,Voilet
2015,,Colorado Springs,Voilet
2016,,Colorado Springs,Voilet
2017,,Colorado Springs,Voilet
2018,,Colorado Springs,Voilet
2014,300.416,Colorado Springs,Yellow
2015,,Colorado Springs,Yellow
2016,,Colorado Springs,Yellow
2017,,Colorado Springs,Yellow
2018,,Colorado Springs,Yellow
2014,3586.032,Columbia,
2015,6904.88,Columbia,
2016,5834.77,Columbia,
2017,8104.418000000002,Columbia,
2018,,Columbia,
2014,,Columbia,Orange
2015,161.568,Columbia,Orange
2016,,Columbia,Orange
2017,,Columbia,Orange
2018,,Columbia,Orange
2014,,Columbia,Red
2015,389.696,Columbia,Red
2016,,Columbia,Red
2017,301.96,Columbia,Red
2018,,Columbia,Red
2014,6881.9800000000005,Columbus,
2015,4547.122,Columbus,
2016,9106.25,Columbus,
2017,16553.519,Columbus,
2018,209.3,Columbus,
2014,4.720000000000001,Columbus,Black
2015,,Columbus,Black
2016,,Columbus,Black
2017,21.456,Columbus,Black
2018,,Columbus,Black
2014,,Columbus,Blue
2015,,Columbus,Blue
2016,19.096,Columbus,Blue
2017,,Columbus,Blue
2018,,Columbus,Blue
2014,23.976000000000003,Columbus,Maroon
2015,,Columbus,Maroon
2016,,Columbus,Maroon
2017,,Columbus,Maroon
2018,,Columbus,Maroon
2014,,Columbus,Orange
2015,,Columbus,Orange
2016,255.98400000000004,Columbus,Orange
2017,,Columbus,Orange
2018,,Columbus,Orange
2014,,Columbus,Purple
2015,,Columbus,Purple
2016,,Columbus,Purple
2017,20.7,Columbus,Purple
2018,,Columbus,Purple
2014,,Columbus,Red
2015,,Columbus,Red
2016,86.97,Columbus,Red
2017,59.96999999999999,Columbus,Red
2018,,Columbus,Red
2014,130.464,Columbus,Voilet
2015,,Columbus,Voilet
2016,,Columbus,Voilet
2017,647.84,Columbus,Voilet
2018,,Columbus,Voilet
2014,,Columbus,White
2015,,Columbus,White
2016,18.496000000000002,Columbus,White
2017,,Columbus,White
2018,,Columbus,White
2014,40.096000000000004,Columbus,Yellow
2015,,Columbus,Yellow
2016,,Columbus,Yellow
2017,78.304,Columbus,Yellow
2018,,Columbus,Yellow
2014,,Commerce City,
2015,,Commerce City,
2016,,Commerce City,
2017,146.352,Commerce City,
2018,,Commerce City,
2014,988.3699999999999,Concord,
2015,4585.3640000000005,Concord,
2016,1589.128,Concord,
2017,3379.5400000000004,Concord,
2018,,Concord,
2014,,Concord,Orange
2015,,Concord,Orange
2016,,Concord,Orange
2017,15.552000000000003,Concord,Orange
2018,,Concord,Orange
2014,,Conroe,
2015,,Conroe,
2016,111.67200000000001,Conroe,
2017,,Conroe,
2018,,Conroe,
2014,,Conway,
2015,301.96,Conway,
2016,,Conway,
2017,,Conway,
2018,,Conway,
2014,503.13,Coon Rapids,
2015,,Coon Rapids,
2016,,Coon Rapids,
2017,,Coon Rapids,
2018,,Coon Rapids,
2014,,Coppell,
2015,95.84,Coppell,
2016,,Coppell,
2017,40.096000000000004,Coppell,
2018,,Coppell,
2014,,Coral Gables,
2015,,Coral Gables,
2016,64.24799999999999,Coral Gables,
2017,,Coral Gables,
2018,,Coral Gables,
2014,,Coral Springs,
2015,506.03200000000004,Coral Springs,
2016,,Coral Springs,
2017,318.96,Coral Springs,
2018,,Coral Springs,
2014,146.192,Corpus Christi,
2015,,Corpus Christi,
2016,,Corpus Christi,
2017,74.352,Corpus Christi,
2018,,Corpus Christi,
2014,,Costa Mesa,
2015,29.22,Costa Mesa,
2016,686.2439999999999,Costa Mesa,
2017,782.206,Costa Mesa,
2018,,Costa Mesa,
2014,,Cottage Grove,
2015,144.35999999999999,Cottage Grove,
2016,,Cottage Grove,
2017,,Cottage Grove,
2018,,Cottage Grove,
2014,,Covington,
2015,46.900000000000006,Covington,
2016,366.78,Covington,
2017,,Covington,
2018,,Covington,
2014,2116.5060000000003,Cranston,
2015,,Cranston,
2016,,Cranston,
2017,1908.4099999999999,Cranston,
2018,,Cranston,
2014,,Cuyahoga Falls,
2015,8.352,Cuyahoga Falls,
2016,2.2140000000000004,Cuyahoga Falls,
2017,18.528000000000002,Cuyahoga Falls,
2018,,Cuyahoga Falls,
2014,2621.6899999999996,Dallas,
2015,3963.3286000000003,Dallas,
2016,3859.0328,Dallas,
2017,9440.634800000003,Dallas,
2018,160.16199999999998,Dallas,
2014,,Dallas,Red
2015,20.8,Dallas,Red
2016,,Dallas,Red
2017,,Dallas,Red
2018,,Dallas,Red
2014,,Dallas,Yellow
2015,,Dallas,Yellow
2016,,Dallas,Yellow
2017,66.28399999999999,Dallas,Yellow
2018,,Dallas,Yellow
2014,,Danbury,
2015,,Danbury,
2016,,Danbury,
2017,27.46,Danbury,
2018,,Danbury,
2014,,Danville,
2015,,Danville,
2016,,Danville,
2017,1202.2540000000001,Danville,
2018,,Danville,
2014,,Davis,
2015,,Davis,
2016,32.400000000000006,Davis,
2017,,Davis,
2018,,Davis,
2014,,Daytona Beach,
2015,272.3315,Daytona Beach,
2016,,Daytona Beach,
2017,,Daytona Beach,
2018,,Daytona Beach,
2014,,Dearborn,
2015,1542.47,Dearborn,
2016,,Dearborn,
2017,60.84,Dearborn,
2018,,Dearborn,
2014,770.61,Dearborn Heights,
2015,,Dearborn Heights,
2016,,Dearborn Heights,
2017,280.96,Dearborn Heights,
2018,,Dearborn Heights,
2014,1746.0500000000002,Decatur,
2015,1978.1620000000003,Decatur,
2016,1008.4929999999999,Decatur,
2017,1153.128,Decatur,
2018,,Decatur,
2014,408.74399999999997,Decatur,Blue
2015,,Decatur,Blue
2016,,Decatur,Blue
2017,,Decatur,Blue
2018,,Decatur,Blue
2014,,Decatur,Maroon
2015,,Decatur,Maroon
2016,208.16,Decatur,Maroon
2017,,Decatur,Maroon
2018,,Decatur,Maroon
2014,24.816000000000003,Decatur,Purple
2015,,Decatur,Purple
2016,,Decatur,Purple
2017,,Decatur,Purple
2018,,Decatur,Purple
2014,,Decatur,Voilet
2015,,Decatur,Voilet
2016,16.740000000000002,Decatur,Voilet
2017,,Decatur,Voilet
2018,,Decatur,Voilet
2014,,Deer Park,
2015,,Deer Park,
2016,,Deer Park,
2017,6.923999999999998,Deer Park,
2018,,Deer Park,
2014,9.912,Delray Beach,
2015,,Delray Beach,
2016,232.62400000000002,Delray Beach,
2017,,Delray Beach,
2018,,Delray Beach,
2014,767.4079999999999,Deltona,
2015,107.97600000000001,Deltona,
2016,,Deltona,
2017,17.856,Deltona,
2018,,Deltona,
2014,3171.096,Denver,
2015,1185.77,Denver,
2016,2748.954,Denver,
2017,4871.623,Denver,
2018,,Denver,
2014,218.75,Denver,Orange
2015,,Denver,Orange
2016,,Denver,Orange
2017,,Denver,Orange
2018,,Denver,Orange
2014,2.6,Denver,Red
2015,,Denver,Red
2016,,Denver,Red
2017,,Denver,Red
2018,,Denver,Red
2014,1298.4879999999998,Des Moines,
2015,44.44,Des Moines,
2016,1733.7760000000003,Des Moines,
2017,340.21999999999997,Des Moines,
2018,,Des Moines,
2014,246.38400000000001,Des Moines,Red
2015,,Des Moines,Red
2016,,Des Moines,Red
2017,,Des Moines,Red
2018,,Des Moines,Red
2014,1799.97,Des Moines,Yellow
2015,,Des Moines,Yellow
2016,,Des Moines,Yellow
2017,,Des Moines,Yellow
2018,,Des Moines,Yellow
2014,1109.372,Des Plaines,
2015,,Des Plaines,
2016,,Des Plaines,
2017,383.84000000000003,Des Plaines,
2018,,Des Plaines,
2014,1472.45,Detroit,
2015,6609.677999999999,Detroit,
2016,21569.300000000003,Detroit,
2017,12148.885999999999,Detroit,
2018,,Detroit,
2014,,Detroit,Blue
2015,622.4499999999999,Detroit,Blue
2016,,Detroit,Blue
2017,,Detroit,Blue
2018,,Detroit,Blue
2014,,Detroit,Purple
2015,2.2,Detroit,Purple
2016,,Detroit,Purple
2017,,Detroit,Purple
2018,,Detroit,Purple
2014,,Detroit,White
2015,21.98,Detroit,White
2016,,Detroit,White
2017,,Detroit,White
2018,,Detroit,White
2014,285.92,Dover,
2015,4153.414,Dover,
2016,371.94,Dover,
2017,,Dover,
2018,,Dover,
2014,,Dover,Orange
2015,,Dover,Orange
2016,21.8,Dover,Orange
2017,,Dover,Orange
2018,,Dover,Orange
2014,,Dover,White
2015,,Dover,White
2016,45,Dover,White
2017,,Dover,White
2018,,Dover,White
2014,111.93,Draper,
2015,,Draper,
2016,,Draper,
2017,151.72,Draper,
2018,,Draper,
2014,,Dublin,
2015,,Dublin,
2016,,Dublin,
2017,1773.2359999999999,Dublin,
2018,,Dublin,
2014,,Dublin,Black
2015,72.704,Dublin,Black
2016,,Dublin,Black
2017,,Dublin,Black
2018,,Dublin,Black
2014,,Dublin,Maroon
2015,479.98800000000006,Dublin,Maroon
2016,,Dublin,Maroon
2017,,Dublin,Maroon
2018,,Dublin,Maroon
2014,,Dublin,Orange
2015,5.5840000000000005,Dublin,Orange
2016,,Dublin,Orange
2017,,Dublin,Orange
2018,,Dublin,Orange
2014,,Dublin,Red
2015,22.704000000000004,Dublin,Red
2016,,Dublin,Red
2017,,Dublin,Red
2018,,Dublin,Red
2014,,Dublin,Voilet
2015,27.168000000000003,Dublin,Voilet
2016,,Dublin,Voilet
2017,,Dublin,Voilet
2018,,Dublin,Voilet
2014,,Dublin,Yellow
2015,19.776000000000003,Dublin,Yellow
2016,,Dublin,Yellow
2017,,Dublin,Yellow
2018,,Dublin,Yellow
2014,,Dubuque,
2015,1687.3,Dubuque,
2016,,Dubuque,
2017,,Dubuque,
2018,,Dubuque,
2014,67.75999999999999,Durham,
2015,580.88,Durham,
2016,,Durham,
2017,30.336000000000006,Durham,
2018,,Durham,
2014,,Durham,White
2015,200.98400000000004,Durham,White
2016,,Durham,White
2017,,Durham,White
2018,,Durham,White
2014,,Eagan,
2015,74.94,Eagan,
2016,,Eagan,
2017,75.9,Eagan,
2018,,Eagan,
2014,,Eagan,Purple
2015,,Eagan,Purple
