Orders.Category	Orders.Country	Orders.Order Date.Variation.Date Hierarchy.Year	Orders.Order Date.Variation.Date Hierarchy.Month	Orders.Order Date.Variation.Date Hierarchy.Day	Sum(Orders.Profit)
Furniture	United States	2014	February	21	
Office Supplies	United States	2014	February	21	-13.7175
Technology	United States	2014	February	21	
Furniture	United States	2014	February	22	
Office Supplies	United States	2014	February	22	9.3312
Technology	United States	2014	February	22	
Furniture	United States	2014	February	23	
Office Supplies	United States	2014	February	23	-4.5225
Technology	United States	2014	February	23	
Furniture	United States	2014	February	24	
Office Supplies	United States	2014	February	24	18.7893
Technology	United States	2014	February	24	
Furniture	United States	2014	February	27	
Office Supplies	United States	2014	February	27	3.4048
Technology	United States	2014	February	27	
Furniture	United States	2014	March	1	-198.624
Office Supplies	United States	2014	March	1	-11.9412
Technology	United States	2014	March	1	1.6038
Furniture	United States	2014	March	2	
Office Supplies	United States	2014	March	2	23.8812
Technology	United States	2014	March	2	32.13
Furniture	United States	2014	March	3	-223.1052
Office Supplies	United States	2014	March	3	-411.2891
Technology	United States	2014	March	3	4.5954
Furniture	United States	2014	March	4	
Office Supplies	United States	2014	March	4	20.0778
Technology	United States	2014	March	4	
Furniture	United States	2014	March	5	
Office Supplies	United States	2014	March	5	83.6012
Technology	United States	2014	March	5	177.5889
Furniture	United States	2014	March	7	81.4917
Office Supplies	United States	2014	March	7	52.6622
Technology	United States	2014	March	7	
Furniture	United States	2014	March	10	
Office Supplies	United States	2014	March	10	4.1886
Technology	United States	2014	March	10	
Furniture	United States	2014	March	11	2.288
Office Supplies	United States	2014	March	11	97.9686
Technology	United States	2014	March	11	178.8044
Furniture	United States	2014	March	14	284.98
Office Supplies	United States	2014	March	14	80.8514
Technology	United States	2014	March	14	162.671
Furniture	United States	2014	March	15	5.1408
Office Supplies	United States	2014	March	15	28.4572
Technology	United States	2014	March	15	
Furniture	United States	2014	March	16	
Office Supplies	United States	2014	March	16	
Technology	United States	2014	March	16	29.495
Furniture	United States	2014	March	17	-1124.0239
Office Supplies	United States	2014	March	17	292.1667
Technology	United States	2014	March	17	
Furniture	United States	2014	March	18	108.2906
Office Supplies	United States	2014	March	18	348.5153
Technology	United States	2014	March	18	-1411.5148
Furniture	United States	2014	March	19	6.8772
Office Supplies	United States	2014	March	19	-19.7898
Technology	United States	2014	March	19	81.5479
Furniture	United States	2014	March	21	-4.3284
Office Supplies	United States	2014	March	21	149.7201
Technology	United States	2014	March	21	909.9818
Furniture	United States	2014	March	22	-35.3646
Office Supplies	United States	2014	March	22	-15.5699
Technology	United States	2014	March	22	
Furniture	United States	2014	March	23	
Office Supplies	United States	2014	March	23	89.1254
Technology	United States	2014	March	23	37.797
Furniture	United States	2014	March	24	14.5728
Office Supplies	United States	2014	March	24	11.703
Technology	United States	2014	March	24	
Furniture	United States	2014	March	25	65.2064
Office Supplies	United States	2014	March	25	15.544
Technology	United States	2014	March	25	15.918
Furniture	United States	2014	March	26	
Office Supplies	United States	2014	March	26	19.2684
Technology	United States	2014	March	26	11.4974
Furniture	United States	2014	March	28	-36.63
Office Supplies	United States	2014	March	28	2.8764
Technology	United States	2014	March	28	22.6782
Furniture	United States	2014	March	29	-152.7156
Office Supplies	United States	2014	March	29	
Technology	United States	2014	March	29	
Furniture	United States	2014	March	30	-21.191
Office Supplies	United States	2014	March	30	165.7635
Technology	United States	2014	March	30	88.1804
Furniture	United States	2014	March	31	98.4802
Office Supplies	United States	2014	March	31	242.6323
Technology	United States	2014	March	31	13.9972
Furniture	United States	2014	April	1	
Office Supplies	United States	2014	April	1	26.0896
Technology	United States	2014	April	1	
Furniture	United States	2014	April	2	46.1968
Office Supplies	United States	2014	April	2	67.219
Technology	United States	2014	April	2	293.9804
Furniture	United States	2014	April	3	
Office Supplies	United States	2014	April	3	5.58
Technology	United States	2014	April	3	80.0244
Furniture	United States	2014	April	4	2.3521
Office Supplies	United States	2014	April	4	60.1086
Technology	United States	2014	April	4	42.9914
Furniture	United States	2014	April	5	
Office Supplies	United States	2014	April	5	245.4973
Technology	United States	2014	April	5	8.4071
Furniture	United States	2014	April	6	103.538
Office Supplies	United States	2014	April	6	40.0594
Technology	United States	2014	April	6	155.9178
Furniture	United States	2014	April	7	2.7776
Office Supplies	United States	2014	April	7	88.2489
Technology	United States	2014	April	7	214.0295
Furniture	United States	2014	April	8	223.9685
Office Supplies	United States	2014	April	8	-4.1064
Technology	United States	2014	April	8	139.986
Furniture	United States	2014	April	11	
Office Supplies	United States	2014	April	11	33.6984
Technology	United States	2014	April	11	489.5745
Furniture	United States	2014	April	12	-18.147
Office Supplies	United States	2014	April	12	38.3777
Technology	United States	2014	April	12	132.4274
Furniture	United States	2014	April	13	
Office Supplies	United States	2014	April	13	-393.1858
Technology	United States	2014	April	13	8.3916
Furniture	United States	2014	April	15	76.9816
Office Supplies	United States	2014	April	15	31.0184
Technology	United States	2014	April	15	
Furniture	United States	2014	April	16	
Office Supplies	United States	2014	April	16	9.768
Technology	United States	2014	April	16	
Furniture	United States	2014	April	18	-18.1176
Office Supplies	United States	2014	April	18	62.3688
Technology	United States	2014	April	18	125.6862
Furniture	United States	2014	April	19	26.649
Office Supplies	United States	2014	April	19	60.9174
Technology	United States	2014	April	19	
Furniture	United States	2014	April	20	-200.0578
Office Supplies	United States	2014	April	20	5.605
Technology	United States	2014	April	20	
Furniture	United States	2014	April	21	
Office Supplies	United States	2014	April	21	5.5755
Technology	United States	2014	April	21	
Furniture	United States	2014	April	22	
Office Supplies	United States	2014	April	22	124.7869
Technology	United States	2014	April	22	
Furniture	United States	2014	April	23	-16.3
Office Supplies	United States	2014	April	23	15.9947
Technology	United States	2014	April	23	
Furniture	United States	2014	April	25	212.3865
Office Supplies	United States	2014	April	25	82.6836
Technology	United States	2014	April	25	37.797
Furniture	United States	2014	April	26	23.028
Office Supplies	United States	2014	April	26	17.717
Technology	United States	2014	April	26	
Furniture	United States	2014	April	28	
Office Supplies	United States	2014	April	28	108.5774
Technology	United States	2014	April	28	183.5898
Furniture	United States	2014	April	29	89.1244
Office Supplies	United States	2014	April	29	7.3622
Technology	United States	2014	April	29	5.1948
Furniture	United States	2014	April	30	
Office Supplies	United States	2014	April	30	260.247
Technology	United States	2014	April	30	16.2486
Furniture	United States	2014	May	2	
Office Supplies	United States	2014	May	2	1.9602
Technology	United States	2014	May	2	89.997
Furniture	United States	2014	May	3	
Office Supplies	United States	2014	May	3	28.8624
Technology	United States	2014	May	3	
Furniture	United States	2014	May	4	13.7832
Office Supplies	United States	2014	May	4	44.7792
Technology	United States	2014	May	4	
Furniture	United States	2014	May	5	-9.1335
Office Supplies	United States	2014	May	5	43.6466
Technology	United States	2014	May	5	
Furniture	United States	2014	May	6	
Office Supplies	United States	2014	May	6	85.7158
Technology	United States	2014	May	6	
Furniture	United States	2014	May	7	205.3996
Office Supplies	United States	2014	May	7	10.4142
Technology	United States	2014	May	7	
Furniture	United States	2014	May	8	
Office Supplies	United States	2014	May	8	
Technology	United States	2014	May	8	239.996
Furniture	United States	2014	May	9	
Office Supplies	United States	2014	May	9	50.7928
Technology	United States	2014	May	9	44.3808
Furniture	United States	2014	May	10	-184.8803
Office Supplies	United States	2014	May	10	113.0463
Technology	United States	2014	May	10	129.66
Furniture	United States	2014	May	11	-153.6048
Office Supplies	United States	2014	May	11	-157.1829
Technology	United States	2014	May	11	21.1789
Furniture	United States	2014	May	12	-119.2255
Office Supplies	United States	2014	May	12	
Technology	United States	2014	May	12	
Furniture	United States	2014	May	13	20.9592
Office Supplies	United States	2014	May	13	-315.7324
Technology	United States	2014	May	13	52.4895
Furniture	United States	2014	May	14	23.316
Office Supplies	United States	2014	May	14	
Technology	United States	2014	May	14	
Furniture	United States	2014	May	16	17.466
Office Supplies	United States	2014	May	16	
Technology	United States	2014	May	16	3.384
Furniture	United States	2014	May	17	
Office Supplies	United States	2014	May	17	45.84
Technology	United States	2014	May	17	
Furniture	United States	2014	May	18	3.7308
Office Supplies	United States	2014	May	18	7.221
Technology	United States	2014	May	18	-168.9558
Furniture	United States	2014	May	19	
Office Supplies	United States	2014	May	19	35.6472
Technology	United States	2014	May	19	
Furniture	United States	2014	May	20	54.1989
Office Supplies	United States	2014	May	20	11.4964
Technology	United States	2014	May	20	-3.6372
Furniture	United States	2014	May	21	-29.2524
Office Supplies	United States	2014	May	21	1575.7295
Technology	United States	2014	May	21	173.0316
Furniture	United States	2014	May	22	
Office Supplies	United States	2014	May	22	
Technology	United States	2014	May	22	46.581
Furniture	United States	2014	May	23	
Office Supplies	United States	2014	May	23	68.168
Technology	United States	2014	May	23	-10.1178
Furniture	United States	2014	May	24	
Office Supplies	United States	2014	May	24	56.9772
Technology	United States	2014	May	24	
Furniture	United States	2014	May	25	-24.189
Office Supplies	United States	2014	May	25	-159.5948
Technology	United States	2014	May	25	
Furniture	United States	2014	May	26	44.7468
Office Supplies	United States	2014	May	26	34.1094
Technology	United States	2014	May	26	51.6524
Furniture	United States	2014	May	27	-28.356
Office Supplies	United States	2014	May	27	-23.3686
Technology	United States	2014	May	27	163.2654
Furniture	United States	2014	May	28	
Office Supplies	United States	2014	May	28	51.36
Technology	United States	2014	May	28	7.9488
Furniture	United States	2014	May	30	-184.8366
Office Supplies	United States	2014	May	30	137.3169
Technology	United States	2014	May	30	269.5555
Furniture	United States	2014	May	31	
Office Supplies	United States	2014	May	31	
Technology	United States	2014	May	31	230.9727
Furniture	United States	2014	June	1	589.6414
Office Supplies	United States	2014	June	1	757.8077
Technology	United States	2014	June	1	229.3018
Furniture	United States	2014	June	2	21.996
Office Supplies	United States	2014	June	2	129.1732
Technology	United States	2014	June	2	67.1916
Furniture	United States	2014	June	3	73.49
Office Supplies	United States	2014	June	3	22.6186
Technology	United States	2014	June	3	
Furniture	United States	2014	June	4	-16.42
Office Supplies	United States	2014	June	4	9.9268
Technology	United States	2014	June	4	
Furniture	United States	2014	June	6	-347.1174
Office Supplies	United States	2014	June	6	81.8807
Technology	United States	2014	June	6	
Furniture	United States	2014	June	7	-209.7693
Office Supplies	United States	2014	June	7	-20.5623
Technology	United States	2014	June	7	
Furniture	United States	2014	June	8	83.841
Office Supplies	United States	2014	June	8	109.524
Technology	United States	2014	June	8	
Furniture	United States	2014	June	9	358.7116
Office Supplies	United States	2014	June	9	100.2485
Technology	United States	2014	June	9	170.0688
Furniture	United States	2014	June	10	
Office Supplies	United States	2014	June	10	240.8595
Technology	United States	2014	June	10	
Furniture	United States	2014	June	13	
Office Supplies	United States	2014	June	13	4.7916
Technology	United States	2014	June	13	
Furniture	United States	2014	June	14	57.4938
Office Supplies	United States	2014	June	14	
Technology	United States	2014	June	14	
Furniture	United States	2014	June	15	-75.5522
Office Supplies	United States	2014	June	15	-2.6888
Technology	United States	2014	June	15	
Furniture	United States	2014	June	16	32.392
Office Supplies	United States	2014	June	16	44.2956
Technology	United States	2014	June	16	
Furniture	United States	2014	June	17	2.6208
Office Supplies	United States	2014	June	17	1093.003
Technology	United States	2014	June	17	31.0059
Furniture	United States	2014	June	18	
Office Supplies	United States	2014	June	18	
Technology	United States	2014	June	18	12.2325
Furniture	United States	2014	June	20	-19.8744
Office Supplies	United States	2014	June	20	34.4766
Technology	United States	2014	June	20	-77.5616
Furniture	United States	2014	June	21	15.2088
Office Supplies	United States	2014	June	21	33.6924
Technology	United States	2014	June	21	800.5209
Furniture	United States	2014	June	22	-4.8588
Office Supplies	United States	2014	June	22	3.684
Technology	United States	2014	June	22	41.3895
Furniture	United States	2014	June	23	
Office Supplies	United States	2014	June	23	2.1006
Technology	United States	2014	June	23	1.0797
Furniture	United States	2014	June	24	0.9612
Office Supplies	United States	2014	June	24	
Technology	United States	2014	June	24	
Furniture	United States	2014	June	25	11.196
Office Supplies	United States	2014	June	25	18.7242
Technology	United States	2014	June	25	19.797
Furniture	United States	2014	June	27	22.3548
Office Supplies	United States	2014	June	27	0
Technology	United States	2014	June	27	53.7504
Furniture	United States	2014	June	28	0
Office Supplies	United States	2014	June	28	109.762
Technology	United States	2014	June	28	
Furniture	United States	2014	June	29	
Office Supplies	United States	2014	June	29	8.5575
Technology	United States	2014	June	29	
Furniture	United States	2014	June	30	
Office Supplies	United States	2014	June	30	249.5572
Technology	United States	2014	June	30	
Furniture	United States	2014	July	1	
Office Supplies	United States	2014	July	1	3.3432
Technology	United States	2014	July	1	71.99
Furniture	United States	2014	July	2	
Office Supplies	United States	2014	July	2	2.1762
Technology	United States	2014	July	2	19.9746
Furniture	United States	2014	July	4	
Office Supplies	United States	2014	July	4	83.9448
Technology	United States	2014	July	4	
Furniture	United States	2014	July	5	21.3592
Office Supplies	United States	2014	July	5	-1.7554
Technology	United States	2014	July	5	163.1898
Furniture	United States	2014	July	6	47.848
Office Supplies	United States	2014	July	6	
Technology	United States	2014	July	6	174.9975
Furniture	United States	2014	July	7	-34.6598
Office Supplies	United States	2014	July	7	
Technology	United States	2014	July	7	
Furniture	United States	2014	July	8	-77.2884
Office Supplies	United States	2014	July	8	68.8464
Technology	United States	2014	July	8	
Furniture	United States	2014	July	9	7.049
Office Supplies	United States	2014	July	9	50.1588
Technology	United States	2014	July	9	
Furniture	United States	2014	July	11	265.8612
Office Supplies	United States	2014	July	11	123.4532
Technology	United States	2014	July	11	148.4154
Furniture	United States	2014	July	12	-18.2448
Office Supplies	United States	2014	July	12	74.6284
Technology	United States	2014	July	12	32.0708
Furniture	United States	2014	July	13	4.3902
Office Supplies	United States	2014	July	13	
Technology	United States	2014	July	13	
Furniture	United States	2014	July	14	1.1994
Office Supplies	United States	2014	July	14	-19.886
Technology	United States	2014	July	14	-12.4148
Furniture	United States	2014	July	15	
Office Supplies	United States	2014	July	15	2.6814
Technology	United States	2014	July	15	1.3068
Furniture	United States	2014	July	18	-25.9136
Office Supplies	United States	2014	July	18	4.5188
Technology	United States	2014	July	18	
Furniture	United States	2014	July	19	-4.032
Office Supplies	United States	2014	July	19	13.6434
Technology	United States	2014	July	19	93.5948
Furniture	United States	2014	July	20	-138.9378
Office Supplies	United States	2014	July	20	286.0275
Technology	United States	2014	July	20	15.0984
Furniture	United States	2014	July	21	-16.6072
Office Supplies	United States	2014	July	21	40.6588
Technology	United States	2014	July	21	10.0744
Furniture	United States	2014	July	22	90.9366
Office Supplies	United States	2014	July	22	81.3054
Technology	United States	2014	July	22	57.5928
Furniture	United States	2014	July	23	
Office Supplies	United States	2014	July	23	7.015
Technology	United States	2014	July	23	260.4694
Furniture	United States	2014	July	25	34.2848
Office Supplies	United States	2014	July	25	350.2236
Technology	United States	2014	July	25	
Furniture	United States	2014	July	26	-55.8765
Office Supplies	United States	2014	July	26	-3706.9425
Technology	United States	2014	July	26	191.848
Furniture	United States	2014	July	27	
Office Supplies	United States	2014	July	27	32.2322
Technology	United States	2014	July	27	38.08
Furniture	United States	2014	July	28	12.9888
Office Supplies	United States	2014	July	28	21.7096
Technology	United States	2014	July	28	
Furniture	United States	2014	July	30	259.8896
Office Supplies	United States	2014	July	30	
Technology	United States	2014	July	30	
Furniture	United States	2014	August	1	12.1352
Office Supplies	United States	2014	August	1	54.3398
Technology	United States	2014	August	1	
Furniture	United States	2014	August	2	
Office Supplies	United States	2014	August	2	238.9116
Technology	United States	2014	August	2	9.116
Furniture	United States	2014	August	3	-161.875
Office Supplies	United States	2014	August	3	85.1601
Technology	United States	2014	August	3	
Furniture	United States	2014	August	4	
Office Supplies	United States	2014	August	4	693.7642
Technology	United States	2014	August	4	139.7187
Furniture	United States	2014	August	5	357.864
Office Supplies	United States	2014	August	5	107.8886
Technology	United States	2014	August	5	38.3533
Furniture	United States	2014	August	6	
Office Supplies	United States	2014	August	6	
Technology	United States	2014	August	6	106.6392
Furniture	United States	2014	August	8	103.5952
Office Supplies	United States	2014	August	8	186.6106
Technology	United States	2014	August	8	838.9284
Furniture	United States	2014	August	9	
Office Supplies	United States	2014	August	9	654.2314
Technology	United States	2014	August	9	46.6624
Furniture	United States	2014	August	11	5.434
Office Supplies	United States	2014	August	11	40.2104
Technology	United States	2014	August	11	
Furniture	United States	2014	August	12	31.6128
Office Supplies	United States	2014	August	12	135.726
Technology	United States	2014	August	12	190.2542
Furniture	United States	2014	August	15	-12.196
Office Supplies	United States	2014	August	15	130.3786
Technology	United States	2014	August	15	
Furniture	United States	2014	August	16	-227.4912
Office Supplies	United States	2014	August	16	
Technology	United States	2014	August	16	
Furniture	United States	2014	August	17	
Office Supplies	United States	2014	August	17	70.798
Technology	United States	2014	August	17	122.3856
Furniture	United States	2014	August	19	198.513
Office Supplies	United States	2014	August	19	-23.0511
Technology	United States	2014	August	19	
Furniture	United States	2014	August	20	139.05
Office Supplies	United States	2014	August	20	430.8405
Technology	United States	2014	August	20	
Furniture	United States	2014	August	22	
Office Supplies	United States	2014	August	22	4.8787
Technology	United States	2014	August	22	
Furniture	United States	2014	August	23	1.2672
Office Supplies	United States	2014	August	23	148.3614
Technology	United States	2014	August	23	10.773
Furniture	United States	2014	August	24	6.3744
Office Supplies	United States	2014	August	24	13.7588
Technology	United States	2014	August	24	
Furniture	United States	2014	August	25	2.6376
Office Supplies	United States	2014	August	25	10.1769
Technology	United States	2014	August	25	106.0278
Furniture	United States	2014	August	26	4.0584
Office Supplies	United States	2014	August	26	12.557
Technology	United States	2014	August	26	75.4735
Furniture	United States	2014	August	27	313.2566
Office Supplies	United States	2014	August	27	16.2792
Technology	United States	2014	August	27	184.1965
Furniture	United States	2014	August	29	-110.7645
Office Supplies	United States	2014	August	29	-265.705
Technology	United States	2014	August	29	
Furniture	United States	2014	August	30	
Office Supplies	United States	2014	August	30	21.485
Technology	United States	2014	August	30	
Furniture	United States	2014	August	31	
Office Supplies	United States	2014	August	31	
Technology	United States	2014	August	31	18.504
Furniture	United States	2014	September	1	
Office Supplies	United States	2014	September	1	28.8202
Technology	United States	2014	September	1	57.12
Furniture	United States	2014	September	2	4.9497
Office Supplies	United States	2014	September	2	883.3886
Technology	United States	2014	September	2	27.9129
Furniture	United States	2014	September	3	
Office Supplies	United States	2014	September	3	-4.464
Technology	United States	2014	September	3	
Furniture	United States	2014	September	5	1.999
Office Supplies	United States	2014	September	5	19.824
Technology	United States	2014	September	5	
Furniture	United States	2014	September	6	12.1452
Office Supplies	United States	2014	September	6	27.4856
Technology	United States	2014	September	6	
Furniture	United States	2014	September	7	379.9901
Office Supplies	United States	2014	September	7	-455.959
Technology	United States	2014	September	7	-405.2774
Furniture	United States	2014	September	8	96.7592
Office Supplies	United States	2014	September	8	-340.2922
Technology	United States	2014	September	8	-1209.1547
Furniture	United States	2014	September	9	230.1036
Office Supplies	United States	2014	September	9	394.7268
Technology	United States	2014	September	9	-608.4688
Furniture	United States	2014	September	10	225.174
Office Supplies	United States	2014	September	10	34.4468
Technology	United States	2014	September	10	
Furniture	United States	2014	September	11	21.7515
Office Supplies	United States	2014	September	11	
Technology	United States	2014	September	11	
Furniture	United States	2014	September	12	433.5672
Office Supplies	United States	2014	September	12	124.0323
Technology	United States	2014	September	12	43.2841
Furniture	United States	2014	September	13	-4.1835
Office Supplies	United States	2014	September	13	37.5216
Technology	United States	2014	September	13	210.4856
Furniture	United States	2014	September	14	-58.5955
Office Supplies	United States	2014	September	14	132.326
Technology	United States	2014	September	14	1457.0294
Furniture	United States	2014	September	15	23.1504
Office Supplies	United States	2014	September	15	7.0218
Technology	United States	2014	September	15	
Furniture	United States	2014	September	16	
Office Supplies	United States	2014	September	16	12.582
Technology	United States	2014	September	16	
Furniture	United States	2014	September	17	13.4292
Office Supplies	United States	2014	September	17	212.0729
Technology	United States	2014	September	17	8.0266
Furniture	United States	2014	September	19	131.5933
Office Supplies	United States	2014	September	19	36.25
Technology	United States	2014	September	19	-1706.9874
Furniture	United States	2014	September	20	-260.5934
Office Supplies	United States	2014	September	20	81.8852
Technology	United States	2014	September	20	848.8096
Furniture	United States	2014	September	21	-7.476
Office Supplies	United States	2014	September	21	131.2168
Technology	United States	2014	September	21	753.7049
Furniture	United States	2014	September	22	118.788
Office Supplies	United States	2014	September	22	-31.3123
Technology	United States	2014	September	22	
Furniture	United States	2014	September	23	20.5176
Office Supplies	United States	2014	September	23	4756.5859
Technology	United States	2014	September	23	31.494
Furniture	United States	2014	September	24	
Office Supplies	United States	2014	September	24	8.4784
Technology	United States	2014	September	24	
Furniture	United States	2014	September	25	-97.2312
Office Supplies	United States	2014	September	25	9.6718
Technology	United States	2014	September	25	
Furniture	United States	2014	September	26	77.9604
Office Supplies	United States	2014	September	26	113.8374
Technology	United States	2014	September	26	38.9288
Furniture	United States	2014	September	27	82.9362
Office Supplies	United States	2014	September	27	40.1702
Technology	United States	2014	September	27	
Furniture	United States	2014	September	28	16.8544
Office Supplies	United States	2014	September	28	47.5142
Technology	United States	2014	September	28	
Furniture	United States	2014	September	29	389.8266
Office Supplies	United States	2014	September	29	277.4003
Technology	United States	2014	September	29	223.054
Furniture	United States	2014	September	30	5.1816
Office Supplies	United States	2014	September	30	114.3089
Technology	United States	2014	September	30	
Furniture	United States	2014	October	1	
Office Supplies	United States	2014	October	1	0
Technology	United States	2014	October	1	
Furniture	United States	2014	October	2	
Office Supplies	United States	2014	October	2	6.2348
Technology	United States	2014	October	2	127.5284
Furniture	United States	2014	October	3	-71.8195
Office Supplies	United States	2014	October	3	9.9538
Technology	United States	2014	October	3	-3.5622
Furniture	United States	2014	October	4	-6.549
Office Supplies	United States	2014	October	4	51.6199
Technology	United States	2014	October	4	
Furniture	United States	2014	October	5	
Office Supplies	United States	2014	October	5	11.49
Technology	United States	2014	October	5	34.993
Furniture	United States	2014	October	6	
Office Supplies	United States	2014	October	6	48.1306
Technology	United States	2014	October	6	1.9089
Furniture	United States	2014	October	7	21.112
Office Supplies	United States	2014	October	7	10.744
Technology	United States	2014	October	7	
Furniture	United States	2014	October	8	
Office Supplies	United States	2014	October	8	55.764
Technology	United States	2014	October	8	4.9878
Furniture	United States	2014	October	9	
Office Supplies	United States	2014	October	9	73.0028
Technology	United States	2014	October	9	-2.9985
Furniture	United States	2014	October	10	17.28
Office Supplies	United States	2014	October	10	85.9281
Technology	United States	2014	October	10	66.7445
Furniture	United States	2014	October	11	-42.0694
Office Supplies	United States	2014	October	11	94.0332
Technology	United States	2014	October	11	58.65
Furniture	United States	2014	October	12	
Office Supplies	United States	2014	October	12	12.8771
Technology	United States	2014	October	12	
Furniture	United States	2014	October	13	338.7098
Office Supplies	United States	2014	October	13	108.4531
Technology	United States	2014	October	13	6.9404
Furniture	United States	2014	October	14	260.6112
Office Supplies	United States	2014	October	14	143.6705
Technology	United States	2014	October	14	655.0775
Furniture	United States	2014	October	15	-3.8205
Office Supplies	United States	2014	October	15	2.8884
Technology	United States	2014	October	15	
Furniture	United States	2014	October	16	
Office Supplies	United States	2014	October	16	5.0232
Technology	United States	2014	October	16	86.3856
Furniture	United States	2014	October	17	-1.5936
Office Supplies	United States	2014	October	17	-17.248
Technology	United States	2014	October	17	-17.9964
Furniture	United States	2014	October	18	216.246
Office Supplies	United States	2014	October	18	27.1772
Technology	United States	2014	October	18	362.687
Furniture	United States	2014	October	19	
Office Supplies	United States	2014	October	19	92.6931
Technology	United States	2014	October	19	31.8546
Furniture	United States	2014	October	20	-147.8655
Office Supplies	United States	2014	October	20	9.8889
Technology	United States	2014	October	20	71.9928
Furniture	United States	2014	October	21	-10.5262
Office Supplies	United States	2014	October	21	36.5885
Technology	United States	2014	October	21	
Furniture	United States	2014	October	22	23.3032
Office Supplies	United States	2014	October	22	
Technology	United States	2014	October	22	
