Category,Sub-Category,Value Column Name,Value
"Office Supplies","Storage","(FC - Quantity)%","-0.5139328689043698"
"Office Supplies","Storage","FC - PL","-1251"
"Office Supplies","Storage","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Appliances","Quantity","1729"
"Office Supplies","Appliances","PL","2786"
"Office Supplies","Appliances","FC","1535"
"Office Supplies","Appliances","Profit","18138.0054"
"Office Supplies","Appliances","Profit - Quantity","16409.0054"
"Office Supplies","Appliances","(Profit - Quantity)%","9.490460034702139"
"Office Supplies","Appliances","Profit - PL","15352.005399999998"
"Office Supplies","Appliances","(Profit - PL)%","5.5104111270638905"
"Office Supplies","Appliances","Profit - FC","16603.0054"
"Office Supplies","Appliances","(Profit - FC)%","10.816290162866448"
"Office Supplies","Appliances","PL - Quantity","1057"
"Office Supplies","Appliances","(PL - Quantity)%","0.611336032388664"
"Office Supplies","Appliances","FC - Quantity","-194"
"Office Supplies","Appliances","(FC - Quantity)%","-0.11220358588779641"
"Office Supplies","Appliances","FC - PL","-1251"
"Office Supplies","Appliances","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Envelopes","Quantity","906"
"Office Supplies","Envelopes","PL","2786"
"Office Supplies","Envelopes","FC","1535"
"Office Supplies","Envelopes","Profit","6964.1767"
"Office Supplies","Envelopes","Profit - Quantity","6058.1767"
"Office Supplies","Envelopes","(Profit - Quantity)%","6.686729249448123"
"Office Supplies","Envelopes","Profit - PL","4178.1767"
"Office Supplies","Envelopes","(Profit - PL)%","1.4997044867193108"
"Office Supplies","Envelopes","Profit - FC","5429.1767"
"Office Supplies","Envelopes","(Profit - FC)%","3.536922931596091"
"Office Supplies","Envelopes","PL - Quantity","1880"
"Office Supplies","Envelopes","(PL - Quantity)%","2.075055187637969"
"Office Supplies","Envelopes","FC - Quantity","629"
"Office Supplies","Envelopes","(FC - Quantity)%","0.694260485651214"
"Office Supplies","Envelopes","FC - PL","-1251"
"Office Supplies","Envelopes","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Art","Quantity","3000"
"Office Supplies","Art","PL","2786"
"Office Supplies","Art","FC","1535"
"Office Supplies","Art","Profit","6527.787"
"Office Supplies","Art","Profit - Quantity","3527.7870000000003"
"Office Supplies","Art","(Profit - Quantity)%","1.175929"
"Office Supplies","Art","Profit - PL","3741.7870000000003"
"Office Supplies","Art","(Profit - PL)%","1.3430678391959803"
"Office Supplies","Art","Profit - FC","4992.787"
"Office Supplies","Art","(Profit - FC)%","3.25262996742671"
"Office Supplies","Art","PL - Quantity","-214"
"Office Supplies","Art","(PL - Quantity)%","-0.07133333333333333"
"Office Supplies","Art","FC - Quantity","-1465"
"Office Supplies","Art","(FC - Quantity)%","-0.48833333333333334"
"Office Supplies","Art","FC - PL","-1251"
"Office Supplies","Art","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Labels","Quantity","1400"
"Office Supplies","Labels","PL","2786"
"Office Supplies","Labels","FC","1535"
"Office Supplies","Labels","Profit","5546.254"
"Office Supplies","Labels","Profit - Quantity","4146.254"
"Office Supplies","Labels","(Profit - Quantity)%","2.96161"
"Office Supplies","Labels","Profit - PL","2760.254"
"Office Supplies","Labels","(Profit - PL)%","0.9907587939698491"
"Office Supplies","Labels","Profit - FC","4011.254"
"Office Supplies","Labels","(Profit - FC)%","2.6131947882736157"
"Office Supplies","Labels","PL - Quantity","1386"
"Office Supplies","Labels","(PL - Quantity)%","0.99"
"Office Supplies","Labels","FC - Quantity","135"
"Office Supplies","Labels","(FC - Quantity)%","0.09642857142857145"
"Office Supplies","Labels","FC - PL","-1251"
"Office Supplies","Labels","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Fasteners","Quantity","914"
"Office Supplies","Fasteners","PL","2786"
"Office Supplies","Fasteners","FC","1535"
"Office Supplies","Fasteners","Profit","949.5182"
"Office Supplies","Fasteners","Profit - Quantity","35.51819999999998"
"Office Supplies","Fasteners","(Profit - Quantity)%","0.03886017505470457"
"Office Supplies","Fasteners","Profit - PL","-1836.4818"
"Office Supplies","Fasteners","(Profit - PL)%","-0.6591822684852836"
"Office Supplies","Fasteners","Profit - FC","-585.4818"
"Office Supplies","Fasteners","(Profit - FC)%","-0.38142136807817584"
"Office Supplies","Fasteners","PL - Quantity","1872"
"Office Supplies","Fasteners","(PL - Quantity)%","2.0481400437636763"
"Office Supplies","Fasteners","FC - Quantity","621"
"Office Supplies","Fasteners","(FC - Quantity)%","0.6794310722100656"
"Office Supplies","Fasteners","FC - PL","-1251"
"Office Supplies","Fasteners","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Supplies","Quantity","647"
"Office Supplies","Supplies","PL","2786"
"Office Supplies","Supplies","FC","1535"
"Office Supplies","Supplies","Profit","-1189.0995"
"Office Supplies","Supplies","Profit - Quantity","-1836.0995"
"Office Supplies","Supplies","(Profit - Quantity)%","-2.8378663060278213"
"Office Supplies","Supplies","Profit - PL","-3975.0995000000003"
"Office Supplies","Supplies","(Profit - PL)%","-1.426812455132807"
"Office Supplies","Supplies","Profit - FC","-2724.0995000000003"
"Office Supplies","Supplies","(Profit - FC)%","-1.7746576547231272"
"Office Supplies","Supplies","PL - Quantity","2139"
"Office Supplies","Supplies","(PL - Quantity)%","3.3060278207109737"
"Office Supplies","Supplies","FC - Quantity","888"
"Office Supplies","Supplies","(FC - Quantity)%","1.372488408037094"
"Office Supplies","Supplies","FC - PL","-1251"
"Office Supplies","Supplies","(FC - PL)%","-0.44903086862885855"
"Furniture","Chairs","Quantity","2356"
"Furniture","Chairs","PL","2786"
"Furniture","Chairs","FC","1535"
"Furniture","Chairs","Profit","26590.1663"
"Furniture","Chairs","Profit - Quantity","24234.1663"
"Furniture","Chairs","(Profit - Quantity)%","10.286148684210527"
"Furniture","Chairs","Profit - PL","23804.1663"
"Furniture","Chairs","(Profit - PL)%","8.544209009332377"
"Furniture","Chairs","Profit - FC","25055.1663"
"Furniture","Chairs","(Profit - FC)%","16.32258390879479"
"Furniture","Chairs","PL - Quantity","430"
"Furniture","Chairs","(PL - Quantity)%","0.18251273344651953"
"Furniture","Chairs","FC - Quantity","-821"
"Furniture","Chairs","(FC - Quantity)%","-0.34847198641765703"
"Furniture","Chairs","FC - PL","-1251"
"Furniture","Chairs","(FC - PL)%","-0.44903086862885855"
"Furniture","Furnishings","Quantity","3563"
"Furniture","Furnishings","PL","2786"
"Furniture","Furnishings","FC","1535"
"Furniture","Furnishings","Profit","13059.1436"
"Furniture","Furnishings","Profit - Quantity","9496.1436"
"Furniture","Furnishings","(Profit - Quantity)%","2.665210103845075"
"Furniture","Furnishings","Profit - PL","10273.1436"
"Furniture","Furnishings","(Profit - PL)%","3.687416941852118"
"Furniture","Furnishings","Profit - FC","11524.1436"
"Furniture","Furnishings","(Profit - FC)%","7.507585407166124"
"Furniture","Furnishings","PL - Quantity","-777"
"Furniture","Furnishings","(PL - Quantity)%","-0.2180746561886051"
"Furniture","Furnishings","FC - Quantity","-2028"
"Furniture","Furnishings","(FC - Quantity)%","-0.5691832725231546"
"Furniture","Furnishings","FC - PL","-1251"
"Furniture","Furnishings","(FC - PL)%","-0.44903086862885855"
"Furniture","Bookcases","Quantity","868"
"Furniture","Bookcases","PL","2786"
"Furniture","Bookcases","FC","1535"
"Furniture","Bookcases","Profit","-3472.556"
"Furniture","Bookcases","Profit - Quantity","-4340.5560000000005"
"Furniture","Bookcases","(Profit - Quantity)%","-5.000640552995392"
"Furniture","Bookcases","Profit - PL","-6258.5560000000005"
"Furniture","Bookcases","(Profit - PL)%","-2.2464307250538407"
"Furniture","Bookcases","Profit - FC","-5007.5560000000005"
"Furniture","Bookcases","(Profit - FC)%","-3.262251465798046"
"Furniture","Bookcases","PL - Quantity","1918"
"Furniture","Bookcases","(PL - Quantity)%","2.2096774193548385"
"Furniture","Bookcases","FC - Quantity","667"
"Furniture","Bookcases","(FC - Quantity)%","0.7684331797235023"
"Furniture","Bookcases","FC - PL","-1251"
"Furniture","Bookcases","(FC - PL)%","-0.44903086862885855"
"Furniture","Tables","Quantity","1241"
"Furniture","Tables","PL","2786"
"Furniture","Tables","FC","1535"
"Furniture","Tables","Profit","-17725.4811"
"Furniture","Tables","Profit - Quantity","-18966.4811"
"Furniture","Tables","(Profit - Quantity)%","-15.283224093473006"
"Furniture","Tables","Profit - PL","-20511.4811"
"Furniture","Tables","(Profit - PL)%","-7.362340667623835"
"Furniture","Tables","Profit - FC","-19260.4811"
"Furniture","Tables","(Profit - FC)%","-12.547544690553746"
"Furniture","Tables","PL - Quantity","1545"
"Furniture","Tables","(PL - Quantity)%","1.2449637389202257"
"Furniture","Tables","FC - Quantity","294"
"Furniture","Tables","(FC - Quantity)%","0.2369057211925866"
"Furniture","Tables","FC - PL","-1251"
"Furniture","Tables","(FC - PL)%","-0.44903086862885855"
