Country,Region,Year,Value Column Name,Value
"Brazil","Americas","2018","(AC - FC)%","0.75"
"Brazil","Americas","2018","PL - PY","317000"
"Brazil","Americas","2018","(PL - PY)%","7.204545454545454"
"Brazil","Americas","2018","FC - PY","204000"
"Brazil","Americas","2018","(FC - PY)%","4.636363636363637"
"Brazil","Americas","2018","FC - PL","-113000"
"Brazil","Americas","2018","(FC - PL)%","-0.4139194139194139"
"Brazil","Americas","2019","PY","238000"
"Brazil","Americas","2019","PL","309000"
"Brazil","Americas","2019","FC","242000"
"Brazil","Americas","2019","AC","367000"
"Brazil","Americas","2019","AC - PY","129000"
"Brazil","Americas","2019","(AC - PY)%","0.542016806722689"
"Brazil","Americas","2019","AC - PL","58000"
"Brazil","Americas","2019","(AC - PL)%","0.18770226537216828"
"Brazil","Americas","2019","AC - FC","125000"
"Brazil","Americas","2019","(AC - FC)%","0.5165289256198347"
"Brazil","Americas","2019","PL - PY","71000"
"Brazil","Americas","2019","(PL - PY)%","0.29831932773109243"
"Brazil","Americas","2019","FC - PY","4000"
"Brazil","Americas","2019","(FC - PY)%","0.01680672268907563"
"Brazil","Americas","2019","FC - PL","-67000"
"Brazil","Americas","2019","(FC - PL)%","-0.2168284789644013"
"Canada","Americas","2017","PY","208000"
"Canada","Americas","2017","PL","249000"
"Canada","Americas","2017","FC","314000"
"Canada","Americas","2017","AC","239000"
"Canada","Americas","2017","AC - PY","31000"
"Canada","Americas","2017","(AC - PY)%","0.14903846153846154"
"Canada","Americas","2017","AC - PL","-10000"
"Canada","Americas","2017","(AC - PL)%","-0.040160642570281124"
"Canada","Americas","2017","AC - FC","-75000"
"Canada","Americas","2017","(AC - FC)%","-0.23885350318471338"
"Canada","Americas","2017","PL - PY","41000"
"Canada","Americas","2017","(PL - PY)%","0.1971153846153846"
"Canada","Americas","2017","FC - PY","106000"
"Canada","Americas","2017","(FC - PY)%","0.5096153846153846"
"Canada","Americas","2017","FC - PL","65000"
"Canada","Americas","2017","(FC - PL)%","0.26104417670682734"
"Canada","Americas","2018","PY","-18000"
"Canada","Americas","2018","PL","166000"
"Canada","Americas","2018","FC","251000"
"Canada","Americas","2018","AC","279000"
"Canada","Americas","2018","AC - PY","297000"
"Canada","Americas","2018","(AC - PY)%","16.5"
"Canada","Americas","2018","AC - PL","113000"
"Canada","Americas","2018","(AC - PL)%","0.6807228915662651"
"Canada","Americas","2018","AC - FC","28000"
"Canada","Americas","2018","(AC - FC)%","0.11155378486055775"
"Canada","Americas","2018","PL - PY","184000"
"Canada","Americas","2018","(PL - PY)%","10.222222222222221"
"Canada","Americas","2018","FC - PY","269000"
"Canada","Americas","2018","(FC - PY)%","14.944444444444446"
"Canada","Americas","2018","FC - PL","85000"
"Canada","Americas","2018","(FC - PL)%","0.5120481927710844"
"Canada","Americas","2019","PY","232000"
"Canada","Americas","2019","PL","229000"
"Canada","Americas","2019","FC","291000"
"Canada","Americas","2019","AC","236000"
"Canada","Americas","2019","AC - PY","4000"
"Canada","Americas","2019","(AC - PY)%","0.017241379310344827"
"Canada","Americas","2019","AC - PL","7000"
"Canada","Americas","2019","(AC - PL)%","0.030567685589519653"
"Canada","Americas","2019","AC - FC","-55000"
"Canada","Americas","2019","(AC - FC)%","-0.18900343642611683"
"Canada","Americas","2019","PL - PY","-3000"
"Canada","Americas","2019","(PL - PY)%","-0.01293103448275862"
"Canada","Americas","2019","FC - PY","59000"
"Canada","Americas","2019","(FC - PY)%","0.2543103448275862"
"Canada","Americas","2019","FC - PL","62000"
"Canada","Americas","2019","(FC - PL)%","0.27074235807860264"
"Other","Americas","2017","PY","111000"
"Other","Americas","2017","PL","38000"
"Other","Americas","2017","FC","79000"
"Other","Americas","2017","AC","97000"
"Other","Americas","2017","AC - PY","-14000"
"Other","Americas","2017","(AC - PY)%","-0.12612612612612611"
"Other","Americas","2017","AC - PL","59000"
"Other","Americas","2017","(AC - PL)%","1.5526315789473686"
"Other","Americas","2017","AC - FC","18000"
"Other","Americas","2017","(AC - FC)%","0.22784810126582278"
"Other","Americas","2017","PL - PY","-73000"
"Other","Americas","2017","(PL - PY)%","-0.6576576576576578"
"Other","Americas","2017","FC - PY","-32000"
"Other","Americas","2017","(FC - PY)%","-0.2882882882882883"
"Other","Americas","2017","FC - PL","41000"
"Other","Americas","2017","(FC - PL)%","1.0789473684210527"
"Other","Americas","2018","PY","93000"
"Other","Americas","2018","PL",
"Other","Americas","2018","FC","147000"
"Other","Americas","2018","AC","67000"
"Other","Americas","2018","AC - PY","-26000"
"Other","Americas","2018","(AC - PY)%","-0.27956989247311825"
"Other","Americas","2018","AC - PL","67000"
"Other","Americas","2018","(AC - PL)%",
"Other","Americas","2018","AC - FC","-80000"
"Other","Americas","2018","(AC - FC)%","-0.54421768707483"
"Other","Americas","2018","PL - PY","-93000"
"Other","Americas","2018","(PL - PY)%","-1"
"Other","Americas","2018","FC - PY","54000"
"Other","Americas","2018","(FC - PY)%","0.5806451612903226"
"Other","Americas","2018","FC - PL","147000"
"Other","Americas","2018","(FC - PL)%",
"Other","Americas","2019","PY","85000"
"Other","Americas","2019","PL","37000"
"Other","Americas","2019","FC","113000"
"Other","Americas","2019","AC","125000"
"Other","Americas","2019","AC - PY","40000"
"Other","Americas","2019","(AC - PY)%","0.4705882352941176"
"Other","Americas","2019","AC - PL","88000"
"Other","Americas","2019","(AC - PL)%","2.3783783783783785"
"Other","Americas","2019","AC - FC","12000"
"Other","Americas","2019","(AC - FC)%","0.10619469026548672"
"Other","Americas","2019","PL - PY","-48000"
"Other","Americas","2019","(PL - PY)%","-0.5647058823529412"
"Other","Americas","2019","FC - PY","28000"
"Other","Americas","2019","(FC - PY)%","0.3294117647058823"
"Other","Americas","2019","FC - PL","76000"
"Other","Americas","2019","(FC - PL)%","2.054054054054054"
"Other","Europe","2017","PY","77000"
"Other","Europe","2017","PL","64000"
"Other","Europe","2017","FC","77000"
"Other","Europe","2017","AC","142000"
"Other","Europe","2017","AC - PY","65000"
"Other","Europe","2017","(AC - PY)%","0.8441558441558441"
"Other","Europe","2017","AC - PL","78000"
"Other","Europe","2017","(AC - PL)%","1.21875"
"Other","Europe","2017","AC - FC","65000"
"Other","Europe","2017","(AC - FC)%","0.8441558441558441"
"Other","Europe","2017","PL - PY","-13000"
"Other","Europe","2017","(PL - PY)%","-0.16883116883116883"
"Other","Europe","2017","FC - PY","0"
"Other","Europe","2017","(FC - PY)%","0"
"Other","Europe","2017","FC - PL","13000"
"Other","Europe","2017","(FC - PL)%","0.203125"
"Other","Europe","2018","PY","0"
"Other","Europe","2018","PL","131000"
"Other","Europe","2018","FC","129000"
"Other","Europe","2018","AC","41000"
"Other","Europe","2018","AC - PY","41000"
"Other","Europe","2018","(AC - PY)%",
"Other","Europe","2018","AC - PL","-90000"
"Other","Europe","2018","(AC - PL)%","-0.6870229007633588"
"Other","Europe","2018","AC - FC","-88000"
"Other","Europe","2018","(AC - FC)%","-0.6821705426356588"
"Other","Europe","2018","PL - PY","131000"
"Other","Europe","2018","(PL - PY)%",
"Other","Europe","2018","FC - PY","129000"
"Other","Europe","2018","(FC - PY)%",
"Other","Europe","2018","FC - PL","-2000"
"Other","Europe","2018","(FC - PL)%","-0.015267175572519083"
"Other","Europe","2019","PY","50000"
"Other","Europe","2019","PL","45000"
"Other","Europe","2019","FC","102000"
"Other","Europe","2019","AC","83000"
"Other","Europe","2019","AC - PY","33000"
"Other","Europe","2019","(AC - PY)%","0.66"
"Other","Europe","2019","AC - PL","38000"
"Other","Europe","2019","(AC - PL)%","0.8444444444444444"
"Other","Europe","2019","AC - FC","-19000"
"Other","Europe","2019","(AC - FC)%","-0.18627450980392157"
"Other","Europe","2019","PL - PY","-5000"
"Other","Europe","2019","(PL - PY)%","-0.1"
"Other","Europe","2019","FC - PY","52000"
"Other","Europe","2019","(FC - PY)%","1.04"
"Other","Europe","2019","FC - PL","57000"
"Other","Europe","2019","(FC - PL)%","1.2666666666666666"
"Other","Asia-Pacific","2017","PY","134000"
"Other","Asia-Pacific","2017","PL","111000"
"Other","Asia-Pacific","2017","FC","118000"
"Other","Asia-Pacific","2017","AC","50000"
"Other","Asia-Pacific","2017","AC - PY","-84000"
"Other","Asia-Pacific","2017","(AC - PY)%","-0.6268656716417911"
"Other","Asia-Pacific","2017","AC - PL","-61000"
"Other","Asia-Pacific","2017","(AC - PL)%","-0.5495495495495496"
"Other","Asia-Pacific","2017","AC - FC","-68000"
"Other","Asia-Pacific","2017","(AC - FC)%","-0.576271186440678"
"Other","Asia-Pacific","2017","PL - PY","-23000"
"Other","Asia-Pacific","2017","(PL - PY)%","-0.17164179104477612"
"Other","Asia-Pacific","2017","FC - PY","-16000"
"Other","Asia-Pacific","2017","(FC - PY)%","-0.11940298507462685"
"Other","Asia-Pacific","2017","FC - PL","7000"
"Other","Asia-Pacific","2017","(FC - PL)%","0.06306306306306306"
"Other","Asia-Pacific","2018","PY","78000"
"Other","Asia-Pacific","2018","PL","52000"
"Other","Asia-Pacific","2018","FC","55000"
"Other","Asia-Pacific","2018","AC","78000"
"Other","Asia-Pacific","2018","AC - PY","0"
"Other","Asia-Pacific","2018","(AC - PY)%","0"
"Other","Asia-Pacific","2018","AC - PL","26000"
"Other","Asia-Pacific","2018","(AC - PL)%","0.5"
"Other","Asia-Pacific","2018","AC - FC","23000"
"Other","Asia-Pacific","2018","(AC - FC)%","0.41818181818181815"
"Other","Asia-Pacific","2018","PL - PY","-26000"
"Other","Asia-Pacific","2018","(PL - PY)%","-0.33333333333333326"
"Other","Asia-Pacific","2018","FC - PY","-23000"
"Other","Asia-Pacific","2018","(FC - PY)%","-0.2948717948717949"
"Other","Asia-Pacific","2018","FC - PL","3000"
"Other","Asia-Pacific","2018","(FC - PL)%","0.05769230769230769"
"Other","Asia-Pacific","2019","PY","66000"
"Other","Asia-Pacific","2019","PL","41000"
"Other","Asia-Pacific","2019","FC","87000"
"Other","Asia-Pacific","2019","AC","69000"
"Other","Asia-Pacific","2019","AC - PY","3000"
"Other","Asia-Pacific","2019","(AC - PY)%","0.045454545454545456"
"Other","Asia-Pacific","2019","AC - PL","28000"
"Other","Asia-Pacific","2019","(AC - PL)%","0.6829268292682927"
"Other","Asia-Pacific","2019","AC - FC","-18000"
"Other","Asia-Pacific","2019","(AC - FC)%","-0.20689655172413793"
"Other","Asia-Pacific","2019","PL - PY","-25000"
"Other","Asia-Pacific","2019","(PL - PY)%","-0.37878787878787873"
"Other","Asia-Pacific","2019","FC - PY","21000"
"Other","Asia-Pacific","2019","(FC - PY)%","0.3181818181818182"
"Other","Asia-Pacific","2019","FC - PL","46000"
"Other","Asia-Pacific","2019","(FC - PL)%","1.1219512195121952"
"Australia","Asia-Pacific","2017","PY","329000"
"Australia","Asia-Pacific","2017","PL","282000"
"Australia","Asia-Pacific","2017","FC","347000"
"Australia","Asia-Pacific","2017","AC","304000"
"Australia","Asia-Pacific","2017","AC - PY","-25000"
"Australia","Asia-Pacific","2017","(AC - PY)%","-0.07598784194528875"
"Australia","Asia-Pacific","2017","AC - PL","22000"
"Australia","Asia-Pacific","2017","(AC - PL)%","0.07801418439716312"
"Australia","Asia-Pacific","2017","AC - FC","-43000"
"Australia","Asia-Pacific","2017","(AC - FC)%","-0.1239193083573487"
"Australia","Asia-Pacific","2017","PL - PY","-47000"
"Australia","Asia-Pacific","2017","(PL - PY)%","-0.14285714285714285"
"Australia","Asia-Pacific","2017","FC - PY","18000"
"Australia","Asia-Pacific","2017","(FC - PY)%","0.054711246200607896"
"Australia","Asia-Pacific","2017","FC - PL","65000"
"Australia","Asia-Pacific","2017","(FC - PL)%","0.23049645390070922"
"Australia","Asia-Pacific","2018","PY","180000"
"Australia","Asia-Pacific","2018","PL","310000"
"Australia","Asia-Pacific","2018","FC","295000"
"Australia","Asia-Pacific","2018","AC","335000"
"Australia","Asia-Pacific","2018","AC - PY","155000"
"Australia","Asia-Pacific","2018","(AC - PY)%","0.8611111111111112"
"Australia","Asia-Pacific","2018","AC - PL","25000"
"Australia","Asia-Pacific","2018","(AC - PL)%","0.08064516129032258"
"Australia","Asia-Pacific","2018","AC - FC","40000"
"Australia","Asia-Pacific","2018","(AC - FC)%","0.13559322033898305"
"Australia","Asia-Pacific","2018","PL - PY","130000"
"Australia","Asia-Pacific","2018","(PL - PY)%","0.7222222222222221"
"Australia","Asia-Pacific","2018","FC - PY","115000"
"Australia","Asia-Pacific","2018","(FC - PY)%","0.6388888888888888"
"Australia","Asia-Pacific","2018","FC - PL","-15000"
"Australia","Asia-Pacific","2018","(FC - PL)%","-0.04838709677419355"
"Australia","Asia-Pacific","2019","PY","217000"
"Australia","Asia-Pacific","2019","PL","139000"
"Australia","Asia-Pacific","2019","FC","269000"
"Australia","Asia-Pacific","2019","AC","80000"
"Australia","Asia-Pacific","2019","AC - PY","-137000"
"Australia","Asia-Pacific","2019","(AC - PY)%","-0.631336405529954"
"Australia","Asia-Pacific","2019","AC - PL","-59000"
"Australia","Asia-Pacific","2019","(AC - PL)%","-0.4244604316546763"
"Australia","Asia-Pacific","2019","AC - FC","-189000"
"Australia","Asia-Pacific","2019","(AC - FC)%","-0.7026022304832715"
"Australia","Asia-Pacific","2019","PL - PY","-78000"
"Australia","Asia-Pacific","2019","(PL - PY)%","-0.35944700460829493"
"Australia","Asia-Pacific","2019","FC - PY","52000"
"Australia","Asia-Pacific","2019","(FC - PY)%","0.23963133640552992"
"Australia","Asia-Pacific","2019","FC - PL","130000"
"Australia","Asia-Pacific","2019","(FC - PL)%","0.935251798561151"
"Japan","Asia-Pacific","2017","PY","264000"
"Japan","Asia-Pacific","2017","PL","232000"
"Japan","Asia-Pacific","2017","FC","254000"
"Japan","Asia-Pacific","2017","AC","206000"
"Japan","Asia-Pacific","2017","AC - PY","-58000"
"Japan","Asia-Pacific","2017","(AC - PY)%","-0.2196969696969697"
"Japan","Asia-Pacific","2017","AC - PL","-26000"
"Japan","Asia-Pacific","2017","(AC - PL)%","-0.11206896551724138"
"Japan","Asia-Pacific","2017","AC - FC","-48000"
"Japan","Asia-Pacific","2017","(AC - FC)%","-0.1889763779527559"
"Japan","Asia-Pacific","2017","PL - PY","-32000"
"Japan","Asia-Pacific","2017","(PL - PY)%","-0.12121212121212122"
"Japan","Asia-Pacific","2017","FC - PY","-10000"
"Japan","Asia-Pacific","2017","(FC - PY)%","-0.03787878787878788"
"Japan","Asia-Pacific","2017","FC - PL","22000"
"Japan","Asia-Pacific","2017","(FC - PL)%","0.09482758620689655"
"Japan","Asia-Pacific","2018","PY","187000"
"Japan","Asia-Pacific","2018","PL","265000"
"Japan","Asia-Pacific","2018","FC","410000"
"Japan","Asia-Pacific","2018","AC","249000"
"Japan","Asia-Pacific","2018","AC - PY","62000"
"Japan","Asia-Pacific","2018","(AC - PY)%","0.3315508021390374"
"Japan","Asia-Pacific","2018","AC - PL","-16000"
"Japan","Asia-Pacific","2018","(AC - PL)%","-0.060377358490566045"
"Japan","Asia-Pacific","2018","AC - FC","-161000"
"Japan","Asia-Pacific","2018","(AC - FC)%","-0.39268292682926836"
"Japan","Asia-Pacific","2018","PL - PY","78000"
"Japan","Asia-Pacific","2018","(PL - PY)%","0.41711229946524064"
"Japan","Asia-Pacific","2018","FC - PY","223000"
"Japan","Asia-Pacific","2018","(FC - PY)%","1.1925133689839573"
"Japan","Asia-Pacific","2018","FC - PL","145000"
"Japan","Asia-Pacific","2018","(FC - PL)%","0.5471698113207547"
"Japan","Asia-Pacific","2019","PY","279000"
"Japan","Asia-Pacific","2019","PL","300000"
"Japan","Asia-Pacific","2019","FC","221000"
"Japan","Asia-Pacific","2019","AC","229000"
"Japan","Asia-Pacific","2019","AC - PY","-50000"
"Japan","Asia-Pacific","2019","(AC - PY)%","-0.17921146953405018"
"Japan","Asia-Pacific","2019","AC - PL","-71000"
"Japan","Asia-Pacific","2019","(AC - PL)%","-0.2366666666666667"
"Japan","Asia-Pacific","2019","AC - FC","8000"
"Japan","Asia-Pacific","2019","(AC - FC)%","0.03619909502262444"
"Japan","Asia-Pacific","2019","PL - PY","21000"
"Japan","Asia-Pacific","2019","(PL - PY)%","0.07526881720430108"
"Japan","Asia-Pacific","2019","FC - PY","-58000"
"Japan","Asia-Pacific","2019","(FC - PY)%","-0.2078853046594982"
"Japan","Asia-Pacific","2019","FC - PL","-79000"
"Japan","Asia-Pacific","2019","(FC - PL)%","-0.2633333333333333"
"China","Asia-Pacific","2017","PY","308000"
"China","Asia-Pacific","2017","PL","294000"
"China","Asia-Pacific","2017","FC","311000"
"China","Asia-Pacific","2017","AC","244000"
"China","Asia-Pacific","2017","AC - PY","-64000"
"China","Asia-Pacific","2017","(AC - PY)%","-0.20779220779220778"
"China","Asia-Pacific","2017","AC - PL","-50000"
"China","Asia-Pacific","2017","(AC - PL)%","-0.17006802721088435"
"China","Asia-Pacific","2017","AC - FC","-67000"
"China","Asia-Pacific","2017","(AC - FC)%","-0.21543408360128619"
"China","Asia-Pacific","2017","PL - PY","-14000"
"China","Asia-Pacific","2017","(PL - PY)%","-0.045454545454545456"
"China","Asia-Pacific","2017","FC - PY","3000"
"China","Asia-Pacific","2017","(FC - PY)%","0.00974025974025974"
"China","Asia-Pacific","2017","FC - PL","17000"
"China","Asia-Pacific","2017","(FC - PL)%","0.057823129251700675"
"China","Asia-Pacific","2018","PY","318000"
"China","Asia-Pacific","2018","PL","237000"
"China","Asia-Pacific","2018","FC","413000"
"China","Asia-Pacific","2018","AC","287000"
"China","Asia-Pacific","2018","AC - PY","-31000"
"China","Asia-Pacific","2018","(AC - PY)%","-0.09748427672955975"
"China","Asia-Pacific","2018","AC - PL","50000"
"China","Asia-Pacific","2018","(AC - PL)%","0.2109704641350211"
"China","Asia-Pacific","2018","AC - FC","-126000"
"China","Asia-Pacific","2018","(AC - FC)%","-0.3050847457627119"
"China","Asia-Pacific","2018","PL - PY","-81000"
"China","Asia-Pacific","2018","(PL - PY)%","-0.25471698113207547"
"China","Asia-Pacific","2018","FC - PY","95000"
"China","Asia-Pacific","2018","(FC - PY)%","0.29874213836477986"
"China","Asia-Pacific","2018","FC - PL","176000"
"China","Asia-Pacific","2018","(FC - PL)%","0.7426160337552743"
"China","Asia-Pacific","2019","PY","321000"
"China","Asia-Pacific","2019","PL","295000"
"China","Asia-Pacific","2019","FC","256000"
"China","Asia-Pacific","2019","AC","145000"
"China","Asia-Pacific","2019","AC - PY","-176000"
"China","Asia-Pacific","2019","(AC - PY)%","-0.5482866043613707"
"China","Asia-Pacific","2019","AC - PL","-150000"
"China","Asia-Pacific","2019","(AC - PL)%","-0.5084745762711864"
"China","Asia-Pacific","2019","AC - FC","-111000"
"China","Asia-Pacific","2019","(AC - FC)%","-0.43359375"
"China","Asia-Pacific","2019","PL - PY","-26000"
"China","Asia-Pacific","2019","(PL - PY)%","-0.08099688473520249"
"China","Asia-Pacific","2019","FC - PY","-65000"
"China","Asia-Pacific","2019","(FC - PY)%","-0.20249221183800623"
"China","Asia-Pacific","2019","FC - PL","-39000"
"China","Asia-Pacific","2019","(FC - PL)%","-0.13220338983050847"
"Poland","Europe","2017","PY","0"
"Poland","Europe","2017","PL","172000"
"Poland","Europe","2017","FC","208000"
"Poland","Europe","2017","AC","103000"
"Poland","Europe","2017","AC - PY","103000"
"Poland","Europe","2017","(AC - PY)%",
"Poland","Europe","2017","AC - PL","-69000"
"Poland","Europe","2017","(AC - PL)%","-0.40116279069767447"
"Poland","Europe","2017","AC - FC","-105000"
"Poland","Europe","2017","(AC - FC)%","-0.5048076923076923"
"Poland","Europe","2017","PL - PY","172000"
"Poland","Europe","2017","(PL - PY)%",
"Poland","Europe","2017","FC - PY","208000"
"Poland","Europe","2017","(FC - PY)%",
"Poland","Europe","2017","FC - PL","36000"
"Poland","Europe","2017","(FC - PL)%","0.20930232558139536"
"Poland","Europe","2018","PY","182000"
"Poland","Europe","2018","PL","173000"
"Poland","Europe","2018","FC","221000"
"Poland","Europe","2018","AC","180000"
"Poland","Europe","2018","AC - PY","-2000"
"Poland","Europe","2018","(AC - PY)%","-0.01098901098901099"
"Poland","Europe","2018","AC - PL","7000"
"Poland","Europe","2018","(AC - PL)%","0.04046242774566475"
"Poland","Europe","2018","AC - FC","-41000"
"Poland","Europe","2018","(AC - FC)%","-0.18552036199095023"
"Poland","Europe","2018","PL - PY","-9000"
"Poland","Europe","2018","(PL - PY)%","-0.049450549450549455"
"Poland","Europe","2018","FC - PY","39000"
"Poland","Europe","2018","(FC - PY)%","0.21428571428571427"
"Poland","Europe","2018","FC - PL","48000"
"Poland","Europe","2018","(FC - PL)%","0.2774566473988439"
"Poland","Europe","2019","PY","272000"
"Poland","Europe","2019","PL","173000"
"Poland","Europe","2019","FC","171000"
"Poland","Europe","2019","AC","239000"
"Poland","Europe","2019","AC - PY","-33000"
"Poland","Europe","2019","(AC - PY)%","-0.1213235294117647"
"Poland","Europe","2019","AC - PL","66000"
"Poland","Europe","2019","(AC - PL)%","0.3815028901734104"
"Poland","Europe","2019","AC - FC","68000"
"Poland","Europe","2019","(AC - FC)%","0.39766081871345027"
"Poland","Europe","2019","PL - PY","-99000"
"Poland","Europe","2019","(PL - PY)%","-0.36397058823529416"
"Poland","Europe","2019","FC - PY","-101000"
"Poland","Europe","2019","(FC - PY)%","-0.3713235294117647"
"Poland","Europe","2019","FC - PL","-2000"
"Poland","Europe","2019","(FC - PL)%","-0.011560693641618497"
"Sweden","Europe","2017","PY","276000"
"Sweden","Europe","2017","PL","405000"
"Sweden","Europe","2017","FC","137000"
"Sweden","Europe","2017","AC","176000"
"Sweden","Europe","2017","AC - PY","-100000"
"Sweden","Europe","2017","(AC - PY)%","-0.36231884057971014"
"Sweden","Europe","2017","AC - PL","-229000"
"Sweden","Europe","2017","(AC - PL)%","-0.5654320987654321"
"Sweden","Europe","2017","AC - FC","39000"
"Sweden","Europe","2017","(AC - FC)%","0.2846715328467153"
"Sweden","Europe","2017","PL - PY","129000"
"Sweden","Europe","2017","(PL - PY)%","0.4673913043478261"
"Sweden","Europe","2017","FC - PY","-139000"
"Sweden","Europe","2017","(FC - PY)%","-0.5036231884057971"
"Sweden","Europe","2017","FC - PL","-268000"
"Sweden","Europe","2017","(FC - PL)%","-0.6617283950617285"
"Sweden","Europe","2018","PY","345000"
"Sweden","Europe","2018","PL","247000"
"Sweden","Europe","2018","FC","325000"
"Sweden","Europe","2018","AC",
"Sweden","Europe","2018","AC - PY","-345000"
"Sweden","Europe","2018","(AC - PY)%","-1"
"Sweden","Europe","2018","AC - PL","-247000"
"Sweden","Europe","2018","(AC - PL)%","-1"
"Sweden","Europe","2018","AC - FC","-325000"
"Sweden","Europe","2018","(AC - FC)%","-1"
"Sweden","Europe","2018","PL - PY","-98000"
"Sweden","Europe","2018","(PL - PY)%","-0.28405797101449276"
"Sweden","Europe","2018","FC - PY","-20000"
"Sweden","Europe","2018","(FC - PY)%","-0.057971014492753624"
"Sweden","Europe","2018","FC - PL","78000"
"Sweden","Europe","2018","(FC - PL)%","0.3157894736842105"
"Sweden","Europe","2019","PY","319000"
"Sweden","Europe","2019","PL","246000"
"Sweden","Europe","2019","FC","215000"
"Sweden","Europe","2019","AC","340000"
"Sweden","Europe","2019","AC - PY","21000"
"Sweden","Europe","2019","(AC - PY)%","0.06583072100313479"
"Sweden","Europe","2019","AC - PL","94000"
"Sweden","Europe","2019","(AC - PL)%","0.38211382113821135"
"Sweden","Europe","2019","AC - FC","125000"
"Sweden","Europe","2019","(AC - FC)%","0.5813953488372093"
"Sweden","Europe","2019","PL - PY","-73000"
"Sweden","Europe","2019","(PL - PY)%","-0.22884012539184956"
"Sweden","Europe","2019","FC - PY","-104000"
"Sweden","Europe","2019","(FC - PY)%","-0.32601880877742945"
"Sweden","Europe","2019","FC - PL","-31000"
"Sweden","Europe","2019","(FC - PL)%","-0.12601626016260162"
"Belgium","Europe","2017","PY","118000"
"Belgium","Europe","2017","PL","192000"
"Belgium","Europe","2017","FC","251000"
"Belgium","Europe","2017","AC","88000"
"Belgium","Europe","2017","AC - PY","-30000"
"Belgium","Europe","2017","(AC - PY)%","-0.2542372881355932"
"Belgium","Europe","2017","AC - PL","-104000"
