Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.State,CountNonNull(Orders.Row ID),Sum(Orders.Sales)
Qtr 4,Rhode Island,32,18131.365999999998
Qtr 1,South Carolina,4,960.3199999999998
Qtr 2,South Carolina,6,1561.3999999999999
Qtr 3,South Carolina,23,4960.22
Qtr 4,South Carolina,9,999.77
Qtr 1,South Dakota,2,152.64000000000001
Qtr 2,South Dakota,,
Qtr 3,South Dakota,9,1137.4199999999998
Qtr 4,South Dakota,1,25.5
Qtr 1,Tennessee,18,2439.1279999999997
Qtr 2,Tennessee,43,7944.169000000001
Qtr 3,Tennessee,50,6707.243000000001
Qtr 4,Tennessee,72,13571.332999999997
Qtr 1,Texas,154,30086.013799999986
Qtr 2,Texas,220,30835.241599999998
Qtr 3,Texas,252,57403.5052
Qtr 4,Texas,359,51863.285199999926
Qtr 1,Utah,7,309.196
Qtr 2,Utah,8,1987.6979999999999
Qtr 3,Utah,26,8228.151999999996
Qtr 4,Utah,12,695.01
Qtr 1,Vermont,7,2309.4900000000002
Qtr 2,Vermont,1,1294.75
Qtr 3,Vermont,,
Qtr 4,Vermont,3,5325.129999999999
Qtr 1,Virginia,46,19063.829999999998
Qtr 2,Virginia,63,21895.42
Qtr 3,Virginia,50,13393.829999999998
Qtr 4,Virginia,65,16283.639999999996
Qtr 1,Washington,75,34197.918
Qtr 2,Washington,84,17023.299999999996
Qtr 3,Washington,174,44660.77999999997
Qtr 4,Washington,173,42759.27199999998
Qtr 1,West Virginia,,
Qtr 2,West Virginia,3,536.48
Qtr 3,West Virginia,,
Qtr 4,West Virginia,1,673.3439999999999
Qtr 1,Wisconsin,20,8278.509999999998
Qtr 2,Wisconsin,16,3255.62
Qtr 3,Wisconsin,33,5124.820000000002
Qtr 4,Wisconsin,41,15455.659999999994
Qtr 1,Wyoming,,
Qtr 2,Wyoming,,
Qtr 3,Wyoming,,
Qtr 4,Wyoming,1,1603.1360000000002
