Table5.Year,Table5.Region,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.FC),Sum(Table5.AC),Table5.City,Table5.Country
2017,Americas,59000,98000,127000,78000,Toronto,Canada
2017,Asia-Pacific,,,,,Toronto,Canada
2017,Europe,,,,,Toronto,Canada
2018,Americas,0,42000,108000,96000,Toronto,Canada
2018,Asia-Pacific,,,,,Toronto,Canada
2018,Europe,,,,,Toronto,Canada
2019,Americas,35000,93000,75000,47000,Toronto,Canada
2019,Asia-Pacific,,,,,Toronto,Canada
2019,Europe,,,,,Toronto,Canada
2017,Americas,121000,101000,63000,39000,Salvador,Brazil
2017,Asia-Pacific,,,,,Salvador,Brazil
2017,Europe,,,,,Salvador,Brazil
2018,Americas,0,64000,43000,46000,Salvador,Brazil
2018,Asia-Pacific,,,,,Salvador,Brazil
2018,Europe,,,,,Salvador,Brazil
2019,Americas,52000,46000,101000,121000,Salvador,Brazil
2019,Asia-Pacific,,,,,Salvador,Brazil
2019,Europe,,,,,Salvador,Brazil
2017,Americas,,,,,Beijing,China
2017,Asia-Pacific,104000,35000,137000,48000,Beijing,China
2017,Europe,,,,,Beijing,China
2018,Americas,,,,,Beijing,China
2018,Asia-Pacific,92000,133000,149000,115000,Beijing,China
2018,Europe,,,,,Beijing,China
2019,Americas,,,,,Beijing,China
2019,Asia-Pacific,145000,135000,124000,39000,Beijing,China
2019,Europe,,,,,Beijing,China
2017,Americas,,,,,Lublin,Poland
2017,Asia-Pacific,,,,,Lublin,Poland
2017,Europe,0,82000,63000,0,Lublin,Poland
2018,Americas,,,,,Lublin,Poland
2018,Asia-Pacific,,,,,Lublin,Poland
2018,Europe,79000,118000,80000,81000,Lublin,Poland
2019,Americas,,,,,Lublin,Poland
2019,Asia-Pacific,,,,,Lublin,Poland
2019,Europe,128000,106000,53000,121000,Lublin,Poland
2017,Americas,,,,,Seoul,Other
2017,Asia-Pacific,134000,111000,118000,50000,Seoul,Other
2017,Europe,,,,,Seoul,Other
2018,Americas,,,,,Seoul,Other
2018,Asia-Pacific,78000,52000,55000,78000,Seoul,Other
2018,Europe,,,,,Seoul,Other
2019,Americas,,,,,Seoul,Other
2019,Asia-Pacific,66000,41000,87000,69000,Seoul,Other
2019,Europe,,,,,Seoul,Other
2017,Americas,,,,,Brussels,Belgium
2017,Asia-Pacific,,,,,Brussels,Belgium
2017,Europe,0,115000,101000,0,Brussels,Belgium
2018,Americas,,,,,Brussels,Belgium
2018,Asia-Pacific,,,,,Brussels,Belgium
2018,Europe,78000,94000,76000,64000,Brussels,Belgium
2019,Americas,,,,,Brussels,Belgium
2019,Asia-Pacific,,,,,Brussels,Belgium
2019,Europe,112000,35000,140000,119000,Brussels,Belgium
2017,Americas,,,,,Marseille,France
2017,Asia-Pacific,,,,,Marseille,France
2017,Europe,107000,99000,99000,118000,Marseille,France
2018,Americas,,,,,Marseille,France
2018,Asia-Pacific,,,,,Marseille,France
2018,Europe,0,0,43000,0,Marseille,France
2019,Americas,,,,,Marseille,France
2019,Asia-Pacific,,,,,Marseille,France
2019,Europe,101000,95000,54000,44000,Marseille,France
2017,Americas,,,,,Yokohoma,Japan
2017,Asia-Pacific,35000,85000,65000,47000,Yokohoma,Japan
2017,Europe,,,,,Yokohoma,Japan
2018,Americas,,,,,Yokohoma,Japan
2018,Asia-Pacific,66000,62000,144000,68000,Yokohoma,Japan
2018,Europe,,,,,Yokohoma,Japan
2019,Americas,,,,,Yokohoma,Japan
2019,Asia-Pacific,73000,114000,46000,36000,Yokohoma,Japan
2019,Europe,,,,,Yokohoma,Japan
2017,Americas,,,,,Chengdu,China
2017,Asia-Pacific,96000,130000,94000,62000,Chengdu,China
2017,Europe,,,,,Chengdu,China
2018,Americas,,,,,Chengdu,China
2018,Asia-Pacific,117000,41000,138000,48000,Chengdu,China
2018,Europe,,,,,Chengdu,China
2019,Americas,,,,,Chengdu,China
2019,Asia-Pacific,80000,47000,69000,38000,Chengdu,China
2019,Europe,,,,,Chengdu,China
2017,Americas,,,,,Gothenburg,Sweden
2017,Asia-Pacific,,,,,Gothenburg,Sweden
2017,Europe,112000,135000,54000,0,Gothenburg,Sweden
2018,Americas,,,,,Gothenburg,Sweden
2018,Asia-Pacific,,,,,Gothenburg,Sweden
2018,Europe,130000,68000,123000,,Gothenburg,Sweden
2019,Americas,,,,,Gothenburg,Sweden
2019,Asia-Pacific,,,,,Gothenburg,Sweden
2019,Europe,101000,43000,51000,141000,Gothenburg,Sweden
2017,Americas,107000,38000,70000,51000,Montreal,Canada
2017,Asia-Pacific,,,,,Montreal,Canada
2017,Europe,,,,,Montreal,Canada
2018,Americas,-120000,37000,64000,49000,Montreal,Canada
2018,Asia-Pacific,,,,,Montreal,Canada
2018,Europe,,,,,Montreal,Canada
2019,Americas,86000,53000,97000,39000,Montreal,Canada
2019,Asia-Pacific,,,,,Montreal,Canada
2019,Europe,,,,,Montreal,Canada
2017,Americas,,,,,Paris,France
2017,Asia-Pacific,,,,,Paris,France
2017,Europe,89000,100000,92000,0,Paris,France
2018,Americas,,,,,Paris,France
2018,Asia-Pacific,,,,,Paris,France
2018,Europe,0,0,127000,0,Paris,France
2019,Americas,,,,,Paris,France
2019,Asia-Pacific,,,,,Paris,France
2019,Europe,51000,63000,88000,131000,Paris,France
2017,Americas,,,,,Berlin,Germany
2017,Asia-Pacific,,,,,Berlin,Germany
2017,Europe,0,127000,86000,0,Berlin,Germany
2018,Americas,,,,,Berlin,Germany
2018,Asia-Pacific,,,,,Berlin,Germany
2018,Europe,,,45000,,Berlin,Germany
2019,Americas,,,,,Berlin,Germany
2019,Asia-Pacific,,,,,Berlin,Germany
2019,Europe,48000,93000,63000,128000,Berlin,Germany
2017,Americas,,,,,Malmo,Sweden
2017,Asia-Pacific,,,,,Malmo,Sweden
2017,Europe,80000,140000,38000,61000,Malmo,Sweden
2018,Americas,,,,,Malmo,Sweden
2018,Asia-Pacific,,,,,Malmo,Sweden
2018,Europe,84000,68000,76000,,Malmo,Sweden
2019,Americas,,,,,Malmo,Sweden
2019,Asia-Pacific,,,,,Malmo,Sweden
2019,Europe,101000,148000,122000,60000,Malmo,Sweden
2017,Americas,,,,,Melbourne,Australia
2017,Asia-Pacific,9000,12000,14000,11000,Melbourne,Australia
2017,Europe,,,,,Melbourne,Australia
2018,Americas,,,,,Melbourne,Australia
2018,Asia-Pacific,96000,130000,63000,69000,Melbourne,Australia
2018,Europe,,,,,Melbourne,Australia
2019,Americas,,,,,Melbourne,Australia
2019,Asia-Pacific,,,93000,,Melbourne,Australia
2019,Europe,,,,,Melbourne,Australia
