Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Country,Orders.Region,Sum(Orders.Profit),Sum(Orders.Sales)
2016,Office Supplies,Envelopes,United States,West,738.3141999999999,1558.6020000000005
2017,Office Supplies,Envelopes,United States,West,250.6624,546.4739999999999
2014,Office Supplies,Fasteners,United States,Central,16.063399999999998,121.816
2015,Office Supplies,Fasteners,United States,Central,25.098300000000002,88.61
2016,Office Supplies,Fasteners,United States,Central,83.2255,247.37399999999997
2017,Office Supplies,Fasteners,United States,Central,112.23140000000004,320.23
2014,Office Supplies,Fasteners,United States,East,32.38219999999999,96.912
2015,Office Supplies,Fasteners,United States,East,50.2029,191.654
2016,Office Supplies,Fasteners,United States,East,112.47730000000001,344.1700000000001
2017,Office Supplies,Fasteners,United States,East,68.92839999999998,186.982
2014,Office Supplies,Fasteners,United States,South,50.90509999999999,165.79200000000003
2015,Office Supplies,Fasteners,United States,South,45.79009999999999,125.408
2016,Office Supplies,Fasteners,United States,South,34.901399999999995,104.87
2017,Office Supplies,Fasteners,United States,South,42.1215,107.24600000000001
2014,Office Supplies,Fasteners,United States,West,79.20759999999999,276.808
2015,Office Supplies,Fasteners,United States,West,50.84629999999999,139.552
2016,Office Supplies,Fasteners,United States,West,63.469199999999994,263.72
2017,Office Supplies,Fasteners,United States,West,81.66760000000001,243.136
2014,Office Supplies,Labels,United States,Central,481.5508,1048.472
2015,Office Supplies,Labels,United States,Central,126.73549999999999,304.5080000000001
2016,Office Supplies,Labels,United States,Central,204.96179999999998,511.24999999999994
2017,Office Supplies,Labels,United States,Central,259.83129999999994,587.2420000000001
2014,Office Supplies,Labels,United States,East,225.02659999999995,516.142
2015,Office Supplies,Labels,United States,East,213.23849999999996,516.2620000000001
2016,Office Supplies,Labels,United States,East,335.69859999999994,779.156
2017,Office Supplies,Labels,United States,East,355.3163,791.3739999999999
2014,Office Supplies,Labels,United States,South,169.61469999999994,401.0419999999999
2015,Office Supplies,Labels,United States,South,534.1857000000001,1118.0439999999999
2016,Office Supplies,Labels,United States,South,132.50410000000002,288.20000000000005
2017,Office Supplies,Labels,United States,South,204.46779999999998,545.894
2014,Office Supplies,Labels,United States,West,409.81209999999993,875.738
2015,Office Supplies,Labels,United States,West,448.8689,1017.648
2016,Office Supplies,Labels,United States,West,519.4473999999999,1248.6340000000002
2017,Office Supplies,Labels,United States,West,924.9939,1936.706
2014,Office Supplies,Paper,United States,Central,896.2071,2346.775999999999
2015,Office Supplies,Paper,United States,Central,1398.7427,3544.238
2016,Office Supplies,Paper,United States,Central,2205.3706999999995,5365.607999999998
2017,Office Supplies,Paper,United States,Central,2471.5800000000004,6235.279999999999
2014,Office Supplies,Paper,United States,East,1748.8552,3917.1480000000015
2015,Office Supplies,Paper,United States,East,1809.0611999999999,3967.6780000000003
2016,Office Supplies,Paper,United States,East,2135.0231999999996,4926.120000000001
2017,Office Supplies,Paper,United States,East,3322.4314,7361.655999999999
2014,Office Supplies,Paper,United States,South,1338.8293999999999,3184.5760000000005
2015,Office Supplies,Paper,United States,South,948.6682000000003,2303.2519999999995
2016,Office Supplies,Paper,United States,South,1724.0622000000003,3923.1639999999993
2017,Office Supplies,Paper,United States,South,1935.5015999999991,4739.9919999999975
2014,Office Supplies,Paper,United States,West,2387.1297000000004,5386.456000000001
2015,Office Supplies,Paper,United States,West,2413.6979,5472.470000000001
2016,Office Supplies,Paper,United States,West,3007.0784000000003,6447.001999999998
2017,Office Supplies,Paper,United States,West,4311.3304000000035,9357.789999999995
2014,Office Supplies,Storage,United States,Central,344.4393999999999,11093.385999999997
2015,Office Supplies,Storage,United States,Central,437.41569999999933,8331.473999999998
2016,Office Supplies,Storage,United States,Central,778.9764999999998,12811.512
2017,Office Supplies,Storage,United States,Central,409.0048999999998,13693.739999999998
2014,Office Supplies,Storage,United States,East,1312.006400000001,16207.261999999997
2015,Office Supplies,Storage,United States,East,1732.557799999999,13309.205999999996
2016,Office Supplies,Storage,United States,East,2804.288900000002,22096.05799999999
2017,Office Supplies,Storage,United States,East,2540.518099999998,20000.05799999999
2014,Office Supplies,Storage,United States,South,462.2265999999996,6715.006
2015,Office Supplies,Storage,United States,South,-268.0479,7487.2260000000015
2016,Office Supplies,Storage,United States,South,1088.0691999999997,10840.395999999997
2017,Office Supplies,Storage,United States,South,992.0485999999995,10725.432000000003
2014,Office Supplies,Storage,United States,West,2047.6063999999992,16313.388000000003
2015,Office Supplies,Storage,United States,West,1603.5344999999995,15920.341999999997
2016,Office Supplies,Storage,United States,West,1532.9522,13040.734000000002
2017,Office Supplies,Storage,United States,West,3461.2290999999987,25258.388000000003
2014,Office Supplies,Supplies,United States,Central,10.464900000000004,440.458
2015,Office Supplies,Supplies,United States,Central,21.678799999999995,324.446
2016,Office Supplies,Supplies,United States,Central,-811.7518000000002,4294.908
2017,Office Supplies,Supplies,United States,Central,117.72000000000007,4407.559999999999
2014,Office Supplies,Supplies,United States,East,-23.298000000000002,467.87200000000007
2015,Office Supplies,Supplies,United States,East,-122.7337,1188.306
2016,Office Supplies,Supplies,United States,East,-27.20429999999999,2086.2580000000003
2017,Office Supplies,Supplies,United States,East,-981.8992,7017.680000000001
2014,Office Supplies,Supplies,United States,South,98.60350000000005,4247.307999999999
2015,Office Supplies,Supplies,United States,South,14.662799999999981,130.336
2016,Office Supplies,Supplies,United States,South,-184.8886,1456.3000000000002
2017,Office Supplies,Supplies,United States,South,73.49960000000002,2484.984
2014,Office Supplies,Supplies,United States,West,404.28519999999963,9238.432000000003
2015,Office Supplies,Supplies,United States,West,61.513699999999986,309.394
2016,Office Supplies,Supplies,United States,West,324.8807999999997,6440.1100000000015
2017,Office Supplies,Supplies,United States,West,-164.63320000000002,2139.186
2014,Technology,Accessories,United States,Central,891.2615000000002,4438.970000000001
2015,Technology,Accessories,United States,Central,1531.0477,7795.228000000002
2016,Technology,Accessories,United States,Central,1888.0898999999997,10802.213999999994
2017,Technology,Accessories,United States,Central,2941.231499999999,10919.664000000004
2014,Technology,Accessories,United States,East,1888.0357999999999,6053.768
2015,Technology,Accessories,United States,East,4688.4591,17911.435999999998
2016,Technology,Accessories,United States,East,1260.0029,6231.378
2017,Technology,Accessories,United States,East,3359.366599999999,14836.790000000003
2014,Technology,Accessories,United States,South,1685.7286000000001,5595.290000000001
2015,Technology,Accessories,United States,South,828.0340999999997,4141.534000000001
2016,Technology,Accessories,United States,South,2543.8409,9379.843999999997
2017,Technology,Accessories,United States,South,1946.9387999999992,8160.085999999998
2014,Technology,Accessories,United States,West,1937.6891000000007,8926.244
2015,Technology,Accessories,United States,West,3149.7343,10675.761999999997
2016,Technology,Accessories,United States,West,3972.354799999999,15482.417999999992
2017,Technology,Accessories,United States,West,7424.820099999998,26029.692000000006
2014,Technology,Copiers,United States,Central,1034.978,3269.926
2015,Technology,Copiers,United States,Central,5159.9078,12809.766000000001
2016,Technology,Copiers,United States,Central,8399.975999999999,17499.949999999997
2017,Technology,Copiers,United States,Central,1013.9795000000001,3679.928
2014,Technology,Copiers,United States,East,650.9887,4099.9259999999995
2015,Technology,Copiers,United States,East,1654.9667,4959.896000000001
2016,Technology,Copiers,United States,East,5143.924799999999,19759.77
2017,Technology,Copiers,United States,East,9572.961599999999,24399.87
2014,Technology,Copiers,United States,South,89.99699999999999,479.98400000000004
2015,Technology,Copiers,United States,South,314.9895,899.97
2016,Technology,Copiers,United States,South,871.9584,2559.888
2017,Technology,Copiers,United States,South,2381.9618,5359.914000000001
2014,Technology,Copiers,United States,West,1136.9796000000001,2999.946
2015,Technology,Copiers,United States,West,2800.4348,7509.818000000001
2016,Technology,Copiers,United States,West,3326.9334,9779.802000000001
2017,Technology,Copiers,United States,West,12062.8873,29459.676000000003
2014,Technology,Machines,United States,Central,-2384.6983000000023,16292.161999999998
2015,Technology,Machines,United States,Central,169.5970999999999,1851.868
2016,Technology,Machines,United States,Central,57.31859999999989,2658.7889999999998
2017,Technology,Machines,United States,Central,671.7159999999993,5994.5650000000005
2014,Technology,Machines,United States,East,4865.814899999999,14636.385000000002
2015,Technology,Machines,United States,East,454.6903999999996,14426.642000000002
2016,Technology,Machines,United States,East,-1342.346500000002,25215.938000000002
2017,Technology,Machines,United States,East,2950.4840999999997,11827.2
2014,Technology,Machines,United States,South,-3254.2075000000023,27594.725000000002
2015,Technology,Machines,United States,South,1414.8208999999997,3112.985
2016,Technology,Machines,United States,South,4308.107,13238.600000000002
2017,Technology,Machines,United States,South,-3907.6133999999984,9944.65
2014,Technology,Machines,United States,West,1142.2597999999998,3500.1010000000006
2015,Technology,Machines,United States,West,938.3771999999989,8372.202000000001
2016,Technology,Machines,United States,West,-115.76110000000034,14793.559
2017,Technology,Machines,United States,West,-2583.8023000000017,15778.260000000002
2014,Technology,Phones,United States,Central,1480.9286999999993,9925.751999999999
2015,Technology,Phones,United States,Central,3307.244099999998,19363.922
2016,Technology,Phones,United States,Central,3415.1335999999988,19902.451999999987
2017,Technology,Phones,United States,Central,4119.7203,23211.15599999999
2014,Technology,Phones,United States,East,3429.1019000000015,20688.649999999998
2015,Technology,Phones,United States,East,3299.667599999998,22561.40599999999
2016,Technology,Phones,United States,East,2167.8120999999983,21290.356000000007
2017,Technology,Phones,United States,East,3418.1044000000043,36074.56999999998
2014,Technology,Phones,United States,South,4085.707599999999,17248.963999999996
2015,Technology,Phones,United States,South,1942.0411000000001,7848.381999999999
2016,Technology,Phones,United States,South,1507.925,11843.822000000004
2017,Technology,Phones,United States,South,3231.601600000001,21363.270000000008
2014,Technology,Phones,United States,West,2812.267099999998,29527.43999999999
2015,Technology,Phones,United States,West,1849.8545999999992,18539.992000000002
2016,Technology,Phones,United States,West,2368.7222000000006,25925.40000000001
2017,Technology,Phones,United States,West,2079.8986999999993,24691.519999999997
