15000.Date.Variation.Date Hierarchy.Year,15000.City,Sum(15000.Bottles Sold),Sum(15000.Sale (Dollars))
2012,VINTON,24,450.6
2013,VINTON,12,61.08
2014,VINTON,21,285.84
2015,VINTON,162,2436.84
2012,CEDAR FALLS,403,5102.29
2013,CEDAR FALLS,694,10418.86
2014,CEDAR FALLS,649,7017.03
2015,CEDAR FALLS,858,12483.1
2012,EVANSDALE,120,821.14
2013,EVANSDALE,71,1037.74
2014,EVANSDALE,34,384.38
2015,EVANSDALE,64,326.48
2012,HUDSON,,
2013,HUDSON,2,25.98
2014,HUDSON,2,43.6
2015,HUDSON,6,45
2012,LA PORTE CITY,12,96.46
2013,LA PORTE CITY,7,58.44
2014,LA PORTE CITY,4,116.98
2015,LA PORTE CITY,6,63.66
2012,RAYMOND,,
2013,RAYMOND,,
2014,RAYMOND,2,37.5
2015,RAYMOND,3,15.75
2012,WATERLOO,1732,18474.91
2013,WATERLOO,1560,17487.03
2014,WATERLOO,2178,23224.84
2015,WATERLOO,1785,22568.3
2012,BOONE,112,1463.71
2013,BOONE,195,2848.14
2014,BOONE,164,2828.2
2015,BOONE,200,1951.12
2012,MADRID,21,234.75
2013,MADRID,12,149.88
2014,MADRID,6,70.34
2015,MADRID,38,244.24
2012,OGDEN,,
2013,OGDEN,24,290.46
2014,OGDEN,,
2015,OGDEN,,
2012,PERRY,37,307.22
2013,PERRY,16,272.12
2014,PERRY,25,197.14
2015,PERRY,23,295.85
2012,DENVER,45,637.86
2013,DENVER,6,68.22
2014,DENVER,9,114.27
2015,DENVER,36,252
2012,SUMNER,20,335.21
2013,SUMNER,41,499.5
2014,SUMNER,7,111.1
2015,SUMNER,19,233.07
2012,TRIPOLI,44,600.04
2013,TRIPOLI,54,590.26
2014,TRIPOLI,23,238.33
2015,TRIPOLI,30,505.96
2012,WAVERLY,178,2372.97
2013,WAVERLY,279,2562.06
2014,WAVERLY,239,2784.79
2015,WAVERLY,215,3293.69
2012,FAIRBANK,8,117.38
2013,FAIRBANK,3,49.47
2014,FAIRBANK,3,36.81
2015,FAIRBANK,7,96.71
2012,HAZLETON,,
2013,HAZLETON,,
2014,HAZLETON,96,224.64
2015,HAZLETON,,
2012,INDEPENDENCE,110,1289.78
2013,INDEPENDENCE,117,1319.93
2014,INDEPENDENCE,104,1398.39
2015,INDEPENDENCE,107,1379.24
2012,JESUP,12,135
2013,JESUP,2,46.48
2014,JESUP,3,44.43
2015,JESUP,5,44.52
2012,OSKALOOSA,39,553.47
2013,OSKALOOSA,48,663.96
2014,OSKALOOSA,11,190.47
2015,OSKALOOSA,26,283.16
2012,WINTHROP,38,401.62
2013,WINTHROP,6,68.22
2014,WINTHROP,6,132.78
2015,WINTHROP,17,229.99
2012,ALTA,,
2013,ALTA,,
2014,ALTA,,
2015,ALTA,12,206.88
2012,SIOUX RAPIDS,14,203.4
2013,SIOUX RAPIDS,14,135.94
2014,SIOUX RAPIDS,10,128.9
2015,SIOUX RAPIDS,14,246.64
2012,STORM LAKE,261,2544.5
2013,STORM LAKE,267,3345.86
2014,STORM LAKE,171,2416.58
2015,STORM LAKE,212,2977.23
2012,ALLISON,24,234.48
2013,ALLISON,6,75.28
2014,ALLISON,14,197.94
2015,ALLISON,4,49.92
2012,CLARKSVILLE,24,191.76
2013,CLARKSVILLE,,
2014,CLARKSVILLE,18,180.48
2015,CLARKSVILLE,,
2012,DUMONT,6,90
2013,DUMONT,10,48.7
2014,DUMONT,4,31.36
2015,DUMONT,3,26.64
2012,GREENE,5,22.9
2013,GREENE,8,79.26
2014,GREENE,15,128.13
2015,GREENE,12,121.56
2012,PARKERSBURG,18,202.56
2013,PARKERSBURG,18,365.88
2014,PARKERSBURG,30,452.52
2015,PARKERSBURG,,
2012,LAKE CITY,24,257.31
2013,LAKE CITY,15,136.5
2014,LAKE CITY,15,344.22
2015,LAKE CITY,3,26.64
2012,MANSON,,
2013,MANSON,8,98.54
2014,MANSON,19,247.07
2015,MANSON,4,44.84
2012,ROCKWELL CITY,3,28.35
2013,ROCKWELL CITY,14,394.42
2014,ROCKWELL CITY,16,272.72
2015,ROCKWELL CITY,13,169.61
2012,CARROLL,296,4109.35
2013,CARROLL,293,4221.37
2014,CARROLL,223,3597.82
2015,CARROLL,176,1967.36
2012,COON RAPIDS,18,413.82
2013,COON RAPIDS,,
2014,COON RAPIDS,,
2015,COON RAPIDS,4,47.82
2012,GLIDDEN,12,99
2013,GLIDDEN,12,116.88
2014,GLIDDEN,,
2015,GLIDDEN,,
2012,MANNING,13,138.34
2013,MANNING,8,90.9
2014,MANNING,1,7.44
2015,MANNING,45,589.55
2012,ANITA,2,29.98
2013,ANITA,18,186.54
2014,ANITA,12,94.08
2015,ANITA,15,193.17
2012,ATLANTIC,107,1338.51
2013,ATLANTIC,75,907.38
2014,ATLANTIC,133,2184.11
2015,ATLANTIC,161,2825.12
2012,GRISWOLD,12,73.29
2013,GRISWOLD,,
2014,GRISWOLD,,
2015,GRISWOLD,,
2012,DURANT,2,24.98
2013,DURANT,16,257.23
2014,DURANT,6,73.27
2015,DURANT,1,7.34
2012,MECHANICSVILLE,,
2013,MECHANICSVILLE,,
2014,MECHANICSVILLE,12,116.88
2015,MECHANICSVILLE,,
2012,TIPTON,12,207.36
2013,TIPTON,26,406.4
2014,TIPTON,58,468.14
2015,TIPTON,51,616.08
2012,WEST BRANCH,12,101
2013,WEST BRANCH,23,207.26
2014,WEST BRANCH,9,121.42
2015,WEST BRANCH,9,89.98
2012,CLEAR LAKE,136,1889.39
2013,CLEAR LAKE,192,2516.93
2014,CLEAR LAKE,264,4558.2
2015,CLEAR LAKE,153,2050.98
2012,MASON CITY,313,4376.14
2013,MASON CITY,845,10643.89
2014,MASON CITY,594,7581.95
2015,MASON CITY,396,6353.33
2012,ROCKWELL,15,121.32
2013,ROCKWELL,13,220.67
2014,ROCKWELL,,
2015,ROCKWELL,15,368.1
2012,AURELIA,,
2013,AURELIA,6,42.78
2014,AURELIA,6,64.8
2015,AURELIA,,
2012,CHEROKEE,86,1075.07
2013,CHEROKEE,100,1386.45
2014,CHEROKEE,36,574.9
2015,CHEROKEE,244,2565.59
2012,MARCUS,3,28.47
2013,MARCUS,2,10.12
2014,MARCUS,1,9.75
2015,MARCUS,6,76.49
2012,FREDERICKSBURG,12,203.28
2013,FREDERICKSBURG,3,80.97
2014,FREDERICKSBURG,21,241.68
2015,FREDERICKSBURG,,
2012,LAWLER,,
2013,LAWLER,,
2014,LAWLER,42,567.9
2015,LAWLER,,
2012,NASHUA,,
2013,NASHUA,16,156.68
2014,NASHUA,11,152.13
2015,NASHUA,14,351
2012,NEW HAMPTON,24,469.86
2013,NEW HAMPTON,110,1724.08
2014,NEW HAMPTON,48,748.26
2015,NEW HAMPTON,15,218.34
2012,MURRAY,,
2013,MURRAY,3,28.35
2014,MURRAY,,
2015,MURRAY,,
2012,OSCEOLA,27,466.75
2013,OSCEOLA,89,785.41
2014,OSCEOLA,84,1284.73
2015,OSCEOLA,35,314.67
2012,SPENCER,292,2884.56
2013,SPENCER,271,2953.09
2014,SPENCER,318,3603.66
2015,SPENCER,285,3081.93
2012,CORNING,21,367.55
2013,CORNING,15,133.98
2014,CORNING,16,191.64
2015,CORNING,11,186.7
2012,EDGEWOOD,11,82.91
2013,EDGEWOOD,3,33.75
2014,EDGEWOOD,6,126
2015,EDGEWOOD,,
2012,ELKADER,,
2013,ELKADER,,
2014,ELKADER,18,233.24
2015,ELKADER,17,233.6
2012,Garnavillo,,
2013,Garnavillo,6,87.36
2014,Garnavillo,,
2015,Garnavillo,,
2012,GUTTENBERG,18,266.94
2013,GUTTENBERG,,
2014,GUTTENBERG,39,462.45
2015,GUTTENBERG,28,454.75
2012,MCGREGOR,29,264.79
2013,MCGREGOR,,
2014,MCGREGOR,,
2015,MCGREGOR,,
2012,MONONA,14,236.77
2013,MONONA,6,78.46
2014,MONONA,14,185.02
2015,MONONA,16,254.23
2012,STRAWBERRY POINT,12,114.36
2013,STRAWBERRY POINT,18,143.82
2014,STRAWBERRY POINT,6,103.98
2015,STRAWBERRY POINT,22,185.16
2012,CAMANCHE,,
2013,CAMANCHE,6,67.14
2014,CAMANCHE,18,142.38
2015,CAMANCHE,14,251.68
2012,CLINTON,413,5140.51
2013,CLINTON,322,3675.54
2014,CLINTON,373,4491.3
2015,CLINTON,406,4193.44
2012,DEWITT,60,622.62
2013,DEWITT,30,256.44
2014,DEWITT,12,106.56
2015,DEWITT,288,3101.76
2012,GRAND MOUND,,
2013,GRAND MOUND,12,129.12
2014,GRAND MOUND,,
2015,GRAND MOUND,12,129.12
2012,LOST NATION,,
2013,LOST NATION,6,159.72
2014,LOST NATION,,
2015,LOST NATION,,
2012,WHEATLAND,,
2013,WHEATLAND,,
2014,WHEATLAND,6,78.72
2015,WHEATLAND,,
2012,DENISON,188,2123.7
2013,DENISON,124,1513.73
2014,DENISON,82,1104.74
2015,DENISON,230,3394.34
2012,SCHLESWIG,5,98.51
2013,SCHLESWIG,3,38.8
2014,SCHLESWIG,4,46.12
2015,SCHLESWIG,9,193.5
2012,ADEL,34,394.8
2013,ADEL,63,879.45
2014,ADEL,9,106.29
2015,ADEL,62,621.75
2012,CLIVE,,
2013,CLIVE,,
2014,CLIVE,,
2015,CLIVE,42,614.94
2012,DE SOTO,23,197.84
2013,DE SOTO,14,214.32
2014,DE SOTO,,
2015,DE SOTO,36,141.3
2012,GRANGER,,
2013,GRANGER,,
2014,GRANGER,11,103.06
2015,GRANGER,,
2012,PERRY,21,228.18
2013,PERRY,28,263.07
2014,PERRY,42,318.99
2015,PERRY,78,756.21
2012,VAN METER,,
2013,VAN METER,96,210.72
2014,VAN METER,24,350.16
2015,VAN METER,12,60.72
2012,WAUKEE,28,463.42
2013,WAUKEE,93,831.76
2014,WAUKEE,262,3935.04
2015,WAUKEE,217,4134.23
2012,WEST DES MOINES,54,830.94
2013,WEST DES MOINES,306,4452.06
2014,WEST DES MOINES,57,1234.05
2015,WEST DES MOINES,120,2869.08
2012,BLOOMFIELD,12,184.02
2013,BLOOMFIELD,6,67.14
2014,BLOOMFIELD,14,144.68
2015,BLOOMFIELD,26,275.98
2012,LAMONI,1,7.44
2013,LAMONI,26,269.74
2014,LAMONI,2,6.84
2015,LAMONI,8,115.08
2012,LEON,9,42.54
2013,LEON,4,86.96
2014,LEON,12,114
2015,LEON,24,234.12
2012,COLESBURG,4,69.24
2013,COLESBURG,4,61.4
2014,COLESBURG,,
2015,COLESBURG,,
2012,DELAWARE,,
2013,DELAWARE,,
2014,DELAWARE,,
2015,DELAWARE,12,79.2
2012,MANCHESTER,60,835.92
2013,MANCHESTER,148,1655.82
2014,MANCHESTER,133,1883.28
2015,MANCHESTER,90,1346.8
2012,BURLINGTON,480,4727.64
2013,BURLINGTON,433,4683.64
2014,BURLINGTON,375,3826.04
2015,BURLINGTON,399,5329.42
2012,MEDIAPOLIS,14,128.72
2013,MEDIAPOLIS,27,221.52
2014,MEDIAPOLIS,20,184.51
2015,MEDIAPOLIS,16,326.63
2012,WEST BURLINGTON,36,422.76
2013,WEST BURLINGTON,40,658.36
2014,WEST BURLINGTON,49,655.92
2015,WEST BURLINGTON,49,818.18
2012,ARNOLDS PARK,42,582.04
2013,ARNOLDS PARK,115,1598.91
2014,ARNOLDS PARK,41,523.84
2015,ARNOLDS PARK,77,1142.33
2012,ARNOLD'S PARK,,
2013,ARNOLD'S PARK,,
2014,ARNOLD'S PARK,,
2015,ARNOLD'S PARK,27,353.7
2012,LAKE PARK,,
2013,LAKE PARK,,
2014,LAKE PARK,9,154.47
2015,LAKE PARK,,
2012,MILFORD,133,1463.98
2013,MILFORD,166,2677.74
2014,MILFORD,156,1985.38
2015,MILFORD,133,1603.08
2012,SPIRIT LAKE,324,4631.12
2013,SPIRIT LAKE,285,4485.66
2014,SPIRIT LAKE,297,3303.67
2015,SPIRIT LAKE,300,4254.42
2012,CASCADE,4,119.64
2013,CASCADE,14,195.34
2014,CASCADE,12,97.16
2015,CASCADE,6,63.48
2012,DUBUQUE,947,9637.74
2013,DUBUQUE,927,10616.38
2014,DUBUQUE,1250,17805.27
2015,DUBUQUE,974,18178.98
2012,DYERSVILLE,29,253.52
2013,DYERSVILLE,31,280.25
2014,DYERSVILLE,79,813.26
2015,DYERSVILLE,43,398.51
2012,FARLEY,6,49.56
2013,FARLEY,,
2014,FARLEY,12,190.32
2015,FARLEY,18,130.02
2012,HOLY CROSS,12,130.44
2013,HOLY CROSS,,
2014,HOLY CROSS,6,112.5
2015,HOLY CROSS,12,137.16
2012,PEOSTA,18,182.88
2013,PEOSTA,6,85.26
2014,PEOSTA,,
2015,PEOSTA,8,25.6
2012,ARMSTRONG,5,87.75
2013,ARMSTRONG,,
2014,ARMSTRONG,,
2015,ARMSTRONG,,
2012,ESTHERVILLE,64,818.96
2013,ESTHERVILLE,48,651.42
2014,ESTHERVILLE,51,492.5
2015,ESTHERVILLE,52,846.69
2012,ARLINGTON,30,239.34
2013,ARLINGTON,10,125.13
2014,ARLINGTON,8,42.48
2015,ARLINGTON,,
2012,FAYETTE,,
2013,FAYETTE,6,162.78
2014,FAYETTE,,
2015,FAYETTE,12,180
2012,OELWEIN,171,1944.75
2013,OELWEIN,72,740.46
2014,OELWEIN,61,827.92
2015,OELWEIN,51,658.92
2012,ST LUCAS,6,116.88
2013,ST LUCAS,,
2014,ST LUCAS,,
2015,ST LUCAS,,
2012,WEST UNION,60,768.24
2013,WEST UNION,56,822.83
2014,WEST UNION,10,187.74
2015,WEST UNION,6,81.18
2012,CHARLES CITY,91,849.69
2013,CHARLES CITY,94,1212.92
2014,CHARLES CITY,175,1591.11
2015,CHARLES CITY,125,1594
2012,FLOYD,12,232.44
2013,FLOYD,16,244
2014,FLOYD,164,5948.14
2015,FLOYD,14,238.36
2012,NORA SPRINGS,6,40.92
2013,NORA SPRINGS,20,204.4
2014,NORA SPRINGS,,
2015,NORA SPRINGS,,
2012,HAMPTON,150,2032.96
2013,HAMPTON,72,1011.67
2014,HAMPTON,82,1168.45
2015,HAMPTON,24,313.08
2012,LATIMER,,
2013,LATIMER,,
2014,LATIMER,,
2015,LATIMER,6,162.84
2012,HAMBURG,12,103.92
2013,HAMBURG,36,393
2014,HAMBURG,,
2015,HAMBURG,,
2012,GRAND JUNCTION,12,189
2013,GRAND JUNCTION,,
2014,GRAND JUNCTION,,
2015,GRAND JUNCTION,5,88.15
2012,JEFFERSON,70,921.73
2013,JEFFERSON,31,418.16
2014,JEFFERSON,81,781.38
2015,JEFFERSON,36,547.86
2012,SCRANTON,15,182.4
2013,SCRANTON,,
2014,SCRANTON,12,161.64
2015,SCRANTON,,
2012,CONRAD,32,577.72
2013,CONRAD,6,40.8
2014,CONRAD,2,19.48
2015,CONRAD,3,40.71
2012,GRUNDY CENTER,43,389.28
2013,GRUNDY CENTER,8,101.2
2014,GRUNDY CENTER,11,54.63
2015,GRUNDY CENTER,33,383.27
2012,REINBECK,,
2013,REINBECK,12,121.56
2014,REINBECK,6,89.52
2015,REINBECK,,
2012,WELLSBURG,6,71.64
2013,WELLSBURG,12,125.88
2014,WELLSBURG,,
2015,WELLSBURG,48,129.6
2012,GUTHRIE CENTER,15,171
2013,GUTHRIE CENTER,14,281.98
2014,GUTHRIE CENTER,15,172.44
2015,GUTHRIE CENTER,30,493.56
2012,PANORA,15,163.5
2013,PANORA,54,627.48
2014,PANORA,39,241.35
2015,PANORA,16,235.22
2012,ELLSWORTH,13,98.31
2013,ELLSWORTH,7,124.38
2014,ELLSWORTH,,
2015,ELLSWORTH,6,101.64
2012,JEWELL,12,138.72
2013,JEWELL,,
2014,JEWELL,6,39.3
2015,JEWELL,4,20.24
2012,STRATFORD,5,55.35
2013,STRATFORD,5,42.72
2014,STRATFORD,9,128.73
2015,STRATFORD,2,48.48
2012,WEBSTER CITY,236,2102.74
2013,WEBSTER CITY,109,1179.42
2014,WEBSTER CITY,53,639.63
2015,WEBSTER CITY,53,813.27
2012,BRITT,22,382.38
2013,BRITT,24,302.48
2014,BRITT,18,366.48
2015,BRITT,18,171.18
2012,GARNER,36,600.06
2013,GARNER,42,515.1
2014,GARNER,5,53.98
2015,GARNER,36,521.7
2012,ACKLEY,,
2013,ACKLEY,12,94.08
2014,ACKLEY,,
2015,ACKLEY,4,35.52
2012,ALDEN,18,296.28
2013,ALDEN,3,68.61
2014,ALDEN,24,374.25
2015,ALDEN,9,65.31
2012,ELDORA,56,831.7
2013,ELDORA,28,432.66
2014,ELDORA,18,223.08
2015,ELDORA,15,196.96
2012,FORT DODGE,24,441.96
2013,FORT DODGE,48,664.32
2014,FORT DODGE,54,708
2015,FORT DODGE,114,1594.68
2012,HUBBARD,,
2013,HUBBARD,,
2014,HUBBARD,2,22.62
2015,HUBBARD,,
2012,IOWA FALLS,142,1314.96
2013,IOWA FALLS,101,1443.07
2014,IOWA FALLS,114,1409.49
2015,IOWA FALLS,170,3746.46
2012,DUNLAP,29,199.92
2013,DUNLAP,15,248.28
2014,DUNLAP,,
2015,DUNLAP,14,230.76
2012,LOGAN,36,413.04
2013,LOGAN,12,233.28
2014,LOGAN,,
2015,LOGAN,6,78.48
2012,MISSOURI VALLEY,24,374.12
2013,MISSOURI VALLEY,32,335.99
2014,MISSOURI VALLEY,16,247
2015,MISSOURI VALLEY,26,294.32
2012,WOODBINE,11,106.31
2013,WOODBINE,7,76.54
2014,WOODBINE,8,97.92
2015,WOODBINE,6,42.78
2012,MOUNT PLEASANT,43,508.33
2013,MOUNT PLEASANT,76,664.12
2014,MOUNT PLEASANT,89,1169.14
2015,MOUNT PLEASANT,121,2296.78
2012,MT PLEASANT,12,151.44
2013,MT PLEASANT,36,180.36
2014,MT PLEASANT,6,93.18
2015,MT PLEASANT,12,199.56
2012,CRESCO,84,1133.82
2013,CRESCO,82,798.3
2014,CRESCO,78,878.44
2015,CRESCO,66,1229.96
2012,ELMA,1,6.75
2013,ELMA,18,136.14
2014,ELMA,,
2015,ELMA,,
2012,DAKOTA CITY,,
2013,DAKOTA CITY,12,103.92
2014,DAKOTA CITY,,
2015,DAKOTA CITY,6,103.44
2012,GILMORE CITY,,
2013,GILMORE CITY,,
2014,GILMORE CITY,6,36
2015,GILMORE CITY,,
2012,HUMBOLDT,145,2146
2013,HUMBOLDT,66,801.18
2014,HUMBOLDT,66,1051.38
2015,HUMBOLDT,72,1029.42
2012,HOLSTEIN,83,337.31
2013,HOLSTEIN,12,304.44
2014,HOLSTEIN,9,69.2
2015,HOLSTEIN,64,993.53
2012,IDA GROVE,15,141.51
2013,IDA GROVE,1,15.63
2014,IDA GROVE,35,376.73
2015,IDA GROVE,69,693.69
2012,BETTENDORF,6,129.72
2013,BETTENDORF,90,1018.32
2014,BETTENDORF,42,449.64
2015,BETTENDORF,36,497.88
2012,GLADBROOK,19,149.61
2013,GLADBROOK,24,264.84
2014,GLADBROOK,1,17.01
2015,GLADBROOK,,
2012,MARENGO,79,867.4
2013,MARENGO,57,399.46
2014,MARENGO,73,955.83
2015,MARENGO,46,496.72
2012,NORTH ENGLISH,11,116.99
2013,NORTH ENGLISH,12,62.28
2014,NORTH ENGLISH,,
2015,NORTH ENGLISH,,
2012,NORTH LIBERTY,60,737.34
2013,NORTH LIBERTY,144,1598.74
2014,NORTH LIBERTY,86,1324.14
2015,NORTH LIBERTY,,
2012,STATE CENTER,5,37.7
2013,STATE CENTER,26,350.07
2014,STATE CENTER,1,20.46
2015,STATE CENTER,1,22.49
2012,WILLIAMSBURG,43,475.45
2013,WILLIAMSBURG,19,201.13
2014,WILLIAMSBURG,18,199.44
2015,WILLIAMSBURG,42,580.74
2012,BALDWIN,,
2013,BALDWIN,,
2014,BALDWIN,12,60.72
2015,BALDWIN,24,81.36
2012,BELLEVUE,51,705
2013,BELLEVUE,66,882.54
2014,BELLEVUE,42,850.44
2015,BELLEVUE,72,1538.04
2012,MAQUOKETA,86,1109.92
2013,MAQUOKETA,104,1527.3
2014,MAQUOKETA,118,1329.91
2015,MAQUOKETA,62,569.5
2012,PRESTON,24,334.08
2013,PRESTON,,
2014,PRESTON,,
2015,PRESTON,,
2012,ZWINGLE,,
2013,ZWINGLE,6,31.14
2014,ZWINGLE,,
2015,ZWINGLE,6,64.8
2012,BAXTER,6,68.22
2013,BAXTER,2,22.6
2014,BAXTER,,
2015,BAXTER,,
2012,COLFAX,21,198.6
2013,COLFAX,35,377.92
2014,COLFAX,3,21.42
2015,COLFAX,20,158.5
2012,KELLOG,8,35.92
2013,KELLOG,3,15.15
2014,KELLOG,,
2015,KELLOG,,
2012,MONROE,10,75.14
2013,MONROE,,
2014,MONROE,6,36.54
2015,MONROE,30,351.18
2012,NEWTON,345,4274.42
2013,NEWTON,133,1429.3
2014,NEWTON,222,2189.35
2015,NEWTON,198,2553.56
2012,PRAIRIE CITY,6,67.8
2013,PRAIRIE CITY,6,66.24
2014,PRAIRIE CITY,48,220.8
2015,PRAIRIE CITY,,
2012,SULLY,15,114.54
2013,SULLY,,
2014,SULLY,,
2015,SULLY,,
2012,FAIRFIELD,128,1090.48
2013,FAIRFIELD,139,1322.88
2014,FAIRFIELD,141,1000.02
2015,FAIRFIELD,78,808.28
2012,CORALVILLE,703,14800.51
2013,CORALVILLE,435,5116.24
2014,CORALVILLE,727,10180.31
2015,CORALVILLE,626,7776.34
2012,IOWA CITY,1593,17957.26
2013,IOWA CITY,2725,27176.61
2014,IOWA CITY,1621,23185.22
2015,IOWA CITY,1036,14507.19
2012,NORTH LIBERTY,97,1037.13
2013,NORTH LIBERTY,114,1059.11
2014,NORTH LIBERTY,111,1090.84
2015,NORTH LIBERTY,105,1513.26
2012,SOLON,42,798.9
2013,SOLON,18,304.44
2014,SOLON,12,60.72
2015,SOLON,54,1139.1
2012,SWISHER,9,106.31
2013,SWISHER,2,13
2014,SWISHER,17,165.26
2015,SWISHER,44,675.26
2012,TIFFIN,42,379.14
2013,TIFFIN,36,261.72
2014,TIFFIN,24,239.16
2015,TIFFIN,22,307.14
2012,ANAMOSA,147,1329.58
2013,ANAMOSA,149,1285.39
2014,ANAMOSA,55,675.17
2015,ANAMOSA,110,1508.41
2012,MONTICELLO,88,1048.13
2013,MONTICELLO,53,595.06
2014,MONTICELLO,115,1143.71
2015,MONTICELLO,75,972.14
2012,KEOTA,6,155.16
2013,KEOTA,12,142.68
2014,KEOTA,12,129.6
2015,KEOTA,12,129.6
2012,SIGOURNEY,7,141.03
2013,SIGOURNEY,26,272.29
2014,SIGOURNEY,3,62.29
2015,SIGOURNEY,30,166.44
2012,ALGONA,86,1089.98
2013,ALGONA,163,2414.04
2014,ALGONA,203,4699.56
2015,ALGONA,214,2190.9
2012,BANCROFT,29,550.37
2013,BANCROFT,,
2014,BANCROFT,90,1552.96
2015,BANCROFT,70,1114.41
2012,SWEA CITY,12,92.76
2013,SWEA CITY,,
2014,SWEA CITY,144,243.84
2015,SWEA CITY,,
2012,WESLEY,,
2013,WESLEY,29,518.93
2014,WESLEY,,
2015,WESLEY,,
2012,WEST BEND,21,280.86
2013,WEST BEND,15,168.69
2014,WEST BEND,,
2015,WEST BEND,9,156.78
2012,WHITTEMORE,,
2013,WHITTEMORE,,
2014,WHITTEMORE,12,160.56
2015,WHITTEMORE,,
2012,FORT MADISON,91,1135.75
2013,FORT MADISON,122,1974.71
2014,FORT MADISON,128,1908.73
2015,FORT MADISON,124,1230.7
2012,KEOKUK,292,3031.45
2013,KEOKUK,232,3467.81
2014,KEOKUK,352,4734.23
2015,KEOKUK,288,3650.54
2012,WEST POINT,8,213.76
2013,WEST POINT,12,161.64
2014,WEST POINT,48,722.04
2015,WEST POINT,50,983.34
2012,CEDAR RAPIDS,2828,39385.88
2013,CEDAR RAPIDS,2575,31864.32
2014,CEDAR RAPIDS,3379,56168.02
2015,CEDAR RAPIDS,4684,74379.02
2012,CENTER POINT,5,51.56
2013,CENTER POINT,8,89.62
2014,CENTER POINT,16,128.88
2015,CENTER POINT,7,60
2012,CENTRAL CITY,3,33.69
2013,CENTRAL CITY,,
2014,CENTRAL CITY,21,419.34
2015,CENTRAL CITY,3,33.75
2012,ELY,12,73.8
2013,ELY,,
2014,ELY,12,156.12
2015,ELY,,
2012,FAIRFAX,,
2013,FAIRFAX,,
2014,FAIRFAX,,
2015,FAIRFAX,18,144
2012,HIAWATHA,66,360.59
2013,HIAWATHA,68,292.84
2014,HIAWATHA,116,608.91
2015,HIAWATHA,99,363.78
2012,LISBON,,
2013,LISBON,14,212.02
2014,LISBON,,
2015,LISBON,4,49.52
2012,MARION,279,2911.49
2013,MARION,292,3003.23
2014,MARION,388,4563.29
2015,MARION,247,2809.36
2012,MOUNT VERNON,23,290.88
2013,MOUNT VERNON,30,395.39
2014,MOUNT VERNON,10,133.34
2015,MOUNT VERNON,152,2245.32
2012,MT VERNON,330,5537.94
2013,MT VERNON,263,5147.65
2014,MT VERNON,281,4557.72
2015,MT VERNON,3,42.75
2012,PALO,18,240.9
2013,PALO,,
2014,PALO,12,224.64
2015,PALO,12,176.16
2012,COLUMBUS JUNCTION,8,92.19
2013,COLUMBUS JUNCTION,22,304.27
2014,COLUMBUS JUNCTION,54,169.64
2015,COLUMBUS JUNCTION,32,379.56
2012,WAPELLO,12,145.53
2013,WAPELLO,39,459.16
2014,WAPELLO,19,136.24
2015,WAPELLO,,
2012,CHARITON,52,683.48
2013,CHARITON,90,1262.26
2014,CHARITON,28,186.1
2015,CHARITON,71,702.9
