Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales)
July,2017,Office Supplies,Art,866.8380000000002
August,2017,Office Supplies,Art,732.8599999999999
September,2017,Office Supplies,Art,970.6739999999999
October,2017,Office Supplies,Art,642.2379999999999
November,2017,Office Supplies,Art,1387.0420000000001
December,2017,Office Supplies,Art,862.2780000000001
January,2014,Office Supplies,Binders,814.5079999999999
February,2014,Office Supplies,Binders,339.262
March,2014,Office Supplies,Binders,1525.6750000000002
April,2014,Office Supplies,Binders,985.7520000000002
May,2014,Office Supplies,Binders,4372.304
June,2014,Office Supplies,Binders,4275.793
July,2014,Office Supplies,Binders,2934.4919999999997
August,2014,Office Supplies,Binders,4251.3870000000015
September,2014,Office Supplies,Binders,12743.615999999998
October,2014,Office Supplies,Binders,480.15600000000006
November,2014,Office Supplies,Binders,6342.268
December,2014,Office Supplies,Binders,4423.052000000001
January,2015,Office Supplies,Binders,206.57399999999998
February,2015,Office Supplies,Binders,2669.275
March,2015,Office Supplies,Binders,8393.596999999998
April,2015,Office Supplies,Binders,4720.428
May,2015,Office Supplies,Binders,692.4359999999997
June,2015,Office Supplies,Binders,5805.269000000002
July,2015,Office Supplies,Binders,1195.295
August,2015,Office Supplies,Binders,2237.3220000000006
September,2015,Office Supplies,Binders,2862.996999999999
October,2015,Office Supplies,Binders,762.2790000000002
November,2015,Office Supplies,Binders,3095.4199999999996
December,2015,Office Supplies,Binders,4812.206
January,2016,Office Supplies,Binders,1756.296
February,2016,Office Supplies,Binders,601.722
March,2016,Office Supplies,Binders,1183.9749999999995
April,2016,Office Supplies,Binders,2743.1589999999997
May,2016,Office Supplies,Binders,1166.0800000000002
June,2016,Office Supplies,Binders,778.6579999999999
July,2016,Office Supplies,Binders,1955.974
August,2016,Office Supplies,Binders,1068.0800000000002
September,2016,Office Supplies,Binders,9579.860000000004
October,2016,Office Supplies,Binders,6694.876000000003
November,2016,Office Supplies,Binders,4929.397999999999
December,2016,Office Supplies,Binders,17225.247
January,2017,Office Supplies,Binders,9436.822999999999
February,2017,Office Supplies,Binders,626.722
March,2017,Office Supplies,Binders,2785.4880000000003
April,2017,Office Supplies,Binders,4915.515000000001
May,2017,Office Supplies,Binders,2928.624
June,2017,Office Supplies,Binders,2427.0410000000006
July,2017,Office Supplies,Binders,2471.5879999999993
August,2017,Office Supplies,Binders,12873.223999999998
September,2017,Office Supplies,Binders,12157.034999999996
October,2017,Office Supplies,Binders,10139.318000000001
November,2017,Office Supplies,Binders,6490.5650000000005
December,2017,Office Supplies,Binders,5536.102000000001
January,2014,Office Supplies,Envelopes,194.36
February,2014,Office Supplies,Envelopes,
March,2014,Office Supplies,Envelopes,353.20000000000005
April,2014,Office Supplies,Envelopes,408.352
May,2014,Office Supplies,Envelopes,214.194
June,2014,Office Supplies,Envelopes,95.56
July,2014,Office Supplies,Envelopes,136.864
August,2014,Office Supplies,Envelopes,203.332
September,2014,Office Supplies,Envelopes,381.372
October,2014,Office Supplies,Envelopes,340.512
November,2014,Office Supplies,Envelopes,1062.8200000000002
December,2014,Office Supplies,Envelopes,465.184
January,2015,Office Supplies,Envelopes,17.48
February,2015,Office Supplies,Envelopes,385.66999999999996
March,2015,Office Supplies,Envelopes,194.19799999999998
April,2015,Office Supplies,Envelopes,202.3
May,2015,Office Supplies,Envelopes,417.838
June,2015,Office Supplies,Envelopes,221.65
July,2015,Office Supplies,Envelopes,510.32
August,2015,Office Supplies,Envelopes,
September,2015,Office Supplies,Envelopes,670.4200000000001
October,2015,Office Supplies,Envelopes,455.844
November,2015,Office Supplies,Envelopes,518.116
December,2015,Office Supplies,Envelopes,918.352
January,2016,Office Supplies,Envelopes,217.58
February,2016,Office Supplies,Envelopes,272.25600000000003
March,2016,Office Supplies,Envelopes,592.1039999999999
April,2016,Office Supplies,Envelopes,177.04200000000003
May,2016,Office Supplies,Envelopes,124.746
June,2016,Office Supplies,Envelopes,115.02
July,2016,Office Supplies,Envelopes,494.996
August,2016,Office Supplies,Envelopes,362.58799999999997
September,2016,Office Supplies,Envelopes,729.1179999999998
October,2016,Office Supplies,Envelopes,176.948
November,2016,Office Supplies,Envelopes,807.5599999999998
December,2016,Office Supplies,Envelopes,659.9320000000001
January,2017,Office Supplies,Envelopes,320.476
February,2017,Office Supplies,Envelopes,10.64
March,2017,Office Supplies,Envelopes,517.016
April,2017,Office Supplies,Envelopes,157.588
May,2017,Office Supplies,Envelopes,339.28200000000004
June,2017,Office Supplies,Envelopes,81.528
July,2017,Office Supplies,Envelopes,57.9
August,2017,Office Supplies,Envelopes,135.16
September,2017,Office Supplies,Envelopes,395.63999999999993
October,2017,Office Supplies,Envelopes,429.8519999999999
November,2017,Office Supplies,Envelopes,518.6320000000001
December,2017,Office Supplies,Envelopes,414.86
January,2014,Office Supplies,Fasteners,37.06
February,2014,Office Supplies,Fasteners,12.350000000000001
March,2014,Office Supplies,Fasteners,48.24
April,2014,Office Supplies,Fasteners,101.684
May,2014,Office Supplies,Fasteners,12.576
June,2014,Office Supplies,Fasteners,45.292
July,2014,Office Supplies,Fasteners,24.348000000000006
August,2014,Office Supplies,Fasteners,85.87
September,2014,Office Supplies,Fasteners,95.478
October,2014,Office Supplies,Fasteners,51.988
November,2014,Office Supplies,Fasteners,68.6
December,2014,Office Supplies,Fasteners,77.842
January,2015,Office Supplies,Fasteners,
February,2015,Office Supplies,Fasteners,5.81
March,2015,Office Supplies,Fasteners,68.428
April,2015,Office Supplies,Fasteners,30.28
May,2015,Office Supplies,Fasteners,31.6
June,2015,Office Supplies,Fasteners,10.39
July,2015,Office Supplies,Fasteners,51.172
August,2015,Office Supplies,Fasteners,22.682
September,2015,Office Supplies,Fasteners,62.572
October,2015,Office Supplies,Fasteners,17.450000000000003
November,2015,Office Supplies,Fasteners,150.78800000000004
December,2015,Office Supplies,Fasteners,94.052
January,2016,Office Supplies,Fasteners,7.5600000000000005
February,2016,Office Supplies,Fasteners,72.27600000000001
March,2016,Office Supplies,Fasteners,8.288
April,2016,Office Supplies,Fasteners,98.65
May,2016,Office Supplies,Fasteners,21.052
June,2016,Office Supplies,Fasteners,31.508
July,2016,Office Supplies,Fasteners,92.192
August,2016,Office Supplies,Fasteners,67.002
September,2016,Office Supplies,Fasteners,88.91600000000001
October,2016,Office Supplies,Fasteners,183.968
November,2016,Office Supplies,Fasteners,192.40800000000002
December,2016,Office Supplies,Fasteners,96.31400000000001
January,2017,Office Supplies,Fasteners,43.04
February,2017,Office Supplies,Fasteners,68.876
March,2017,Office Supplies,Fasteners,24.68
April,2017,Office Supplies,Fasteners,27.79
May,2017,Office Supplies,Fasteners,44.074
June,2017,Office Supplies,Fasteners,28.314
July,2017,Office Supplies,Fasteners,13.796
August,2017,Office Supplies,Fasteners,67.69600000000001
September,2017,Office Supplies,Fasteners,158.72799999999998
October,2017,Office Supplies,Fasteners,72.356
November,2017,Office Supplies,Fasteners,138.21200000000002
December,2017,Office Supplies,Fasteners,170.03199999999998
January,2014,Office Supplies,Labels,44.746
February,2014,Office Supplies,Labels,36.876000000000005
March,2014,Office Supplies,Labels,173.59000000000003
April,2014,Office Supplies,Labels,78.99199999999999
May,2014,Office Supplies,Labels,57.440000000000005
June,2014,Office Supplies,Labels,607.726
July,2014,Office Supplies,Labels,194.79
August,2014,Office Supplies,Labels,41.376
September,2014,Office Supplies,Labels,381.536
October,2014,Office Supplies,Labels,99.102
November,2014,Office Supplies,Labels,609.4819999999999
December,2014,Office Supplies,Labels,515.738
January,2015,Office Supplies,Labels,48.120000000000005
February,2015,Office Supplies,Labels,201.256
March,2015,Office Supplies,Labels,532.338
April,2015,Office Supplies,Labels,121.01399999999998
May,2015,Office Supplies,Labels,240.76600000000002
June,2015,Office Supplies,Labels,61.70599999999999
July,2015,Office Supplies,Labels,325.368
August,2015,Office Supplies,Labels,134.01
September,2015,Office Supplies,Labels,217.22400000000002
October,2015,Office Supplies,Labels,610.774
November,2015,Office Supplies,Labels,122.10000000000001
December,2015,Office Supplies,Labels,341.78600000000006
January,2016,Office Supplies,Labels,91.06
February,2016,Office Supplies,Labels,31.230000000000004
March,2016,Office Supplies,Labels,10.08
April,2016,Office Supplies,Labels,36.412
May,2016,Office Supplies,Labels,178.594
June,2016,Office Supplies,Labels,357.286
July,2016,Office Supplies,Labels,187.89399999999998
August,2016,Office Supplies,Labels,302.16200000000003
September,2016,Office Supplies,Labels,336.28599999999994
October,2016,Office Supplies,Labels,145.752
November,2016,Office Supplies,Labels,910.692
December,2016,Office Supplies,Labels,239.792
January,2017,Office Supplies,Labels,22.74
February,2017,Office Supplies,Labels,30.52
March,2017,Office Supplies,Labels,224.10000000000002
April,2017,Office Supplies,Labels,193.614
May,2017,Office Supplies,Labels,386.31800000000004
June,2017,Office Supplies,Labels,180.29200000000003
July,2017,Office Supplies,Labels,983.964
August,2017,Office Supplies,Labels,398.924
September,2017,Office Supplies,Labels,561.25
October,2017,Office Supplies,Labels,392.85
November,2017,Office Supplies,Labels,207.92800000000003
December,2017,Office Supplies,Labels,278.71599999999995
January,2014,Office Supplies,Paper,242.02
February,2014,Office Supplies,Paper,138.488
March,2014,Office Supplies,Paper,1200.322
April,2014,Office Supplies,Paper,625.4320000000001
May,2014,Office Supplies,Paper,479.1119999999999
June,2014,Office Supplies,Paper,1090.19
July,2014,Office Supplies,Paper,796.3320000000001
August,2014,Office Supplies,Paper,2017.3840000000002
September,2014,Office Supplies,Paper,1445.3580000000002
October,2014,Office Supplies,Paper,990.846
November,2014,Office Supplies,Paper,3743.7599999999998
December,2014,Office Supplies,Paper,2065.7120000000004
January,2015,Office Supplies,Paper,496.80199999999996
February,2015,Office Supplies,Paper,229.76
March,2015,Office Supplies,Paper,1590.27
April,2015,Office Supplies,Paper,454.8560000000001
May,2015,Office Supplies,Paper,1297.7079999999999
June,2015,Office Supplies,Paper,680.2000000000002
July,2015,Office Supplies,Paper,447.098
August,2015,Office Supplies,Paper,1404.7279999999996
September,2015,Office Supplies,Paper,2176.3380000000006
October,2015,Office Supplies,Paper,658.2180000000002
November,2015,Office Supplies,Paper,2884.7700000000004
December,2015,Office Supplies,Paper,2966.89
January,2016,Office Supplies,Paper,596.1759999999999
February,2016,Office Supplies,Paper,1194.2020000000002
March,2016,Office Supplies,Paper,943.84
April,2016,Office Supplies,Paper,1291.3199999999997
May,2016,Office Supplies,Paper,2671.609999999999
June,2016,Office Supplies,Paper,2747.1300000000006
July,2016,Office Supplies,Paper,1473.1900000000005
August,2016,Office Supplies,Paper,1111.094
September,2016,Office Supplies,Paper,2476.556000000001
October,2016,Office Supplies,Paper,1501.1900000000003
November,2016,Office Supplies,Paper,2328.7759999999994
December,2016,Office Supplies,Paper,2326.8099999999995
January,2017,Office Supplies,Paper,928.624
February,2017,Office Supplies,Paper,1250.208
March,2017,Office Supplies,Paper,2551.1000000000004
April,2017,Office Supplies,Paper,1592.5360000000005
May,2017,Office Supplies,Paper,1764.7799999999997
June,2017,Office Supplies,Paper,2204.674
July,2017,Office Supplies,Paper,1463.5800000000004
August,2017,Office Supplies,Paper,1989.9580000000005
September,2017,Office Supplies,Paper,4591.304000000002
October,2017,Office Supplies,Paper,1846.6300000000003
November,2017,Office Supplies,Paper,3620.6140000000014
December,2017,Office Supplies,Paper,3890.7100000000014
January,2014,Office Supplies,Storage,3028.8160000000003
February,2014,Office Supplies,Storage,142.54399999999998
March,2014,Office Supplies,Storage,4370.002
April,2014,Office Supplies,Storage,3680.012
May,2014,Office Supplies,Storage,712.902
June,2014,Office Supplies,Storage,3849.514
July,2014,Office Supplies,Storage,2452.732
August,2014,Office Supplies,Storage,2322.7299999999996
September,2014,Office Supplies,Storage,8810.223999999998
October,2014,Office Supplies,Storage,3739.586
November,2014,Office Supplies,Storage,11338.643999999998
December,2014,Office Supplies,Storage,5881.335999999999
January,2015,Office Supplies,Storage,550.7
February,2015,Office Supplies,Storage,894.7220000000001
March,2015,Office Supplies,Storage,3632.0760000000005
April,2015,Office Supplies,Storage,2178.102
May,2015,Office Supplies,Storage,3112.7599999999993
June,2015,Office Supplies,Storage,3331.086
July,2015,Office Supplies,Storage,1753.6280000000002
August,2015,Office Supplies,Storage,6437.580000000001
September,2015,Office Supplies,Storage,9116.038
October,2015,Office Supplies,Storage,3356.0240000000003
November,2015,Office Supplies,Storage,6715.595999999998
December,2015,Office Supplies,Storage,3969.9360000000006
January,2016,Office Supplies,Storage,2412.44
February,2016,Office Supplies,Storage,3460.426
March,2016,Office Supplies,Storage,2975.238
April,2016,Office Supplies,Storage,3921.0820000000012
May,2016,Office Supplies,Storage,6159.59
June,2016,Office Supplies,Storage,3724.4100000000003
July,2016,Office Supplies,Storage,5389.852
August,2016,Office Supplies,Storage,2443.5780000000004
September,2016,Office Supplies,Storage,6613.862000000001
October,2016,Office Supplies,Storage,4039.972
November,2016,Office Supplies,Storage,7057.631999999998
December,2016,Office Supplies,Storage,10590.617999999999
January,2017,Office Supplies,Storage,3225.846
February,2017,Office Supplies,Storage,1626.9720000000004
March,2017,Office Supplies,Storage,3815.452000000001
April,2017,Office Supplies,Storage,6026.468
May,2017,Office Supplies,Storage,4684.724
June,2017,Office Supplies,Storage,7700.651999999999
July,2017,Office Supplies,Storage,2894.5840000000003
August,2017,Office Supplies,Storage,6538.933999999999
September,2017,Office Supplies,Storage,4947.344000000001
October,2017,Office Supplies,Storage,6104.288000000001
November,2017,Office Supplies,Storage,11911.276
December,2017,Office Supplies,Storage,10201.077999999998
January,2014,Office Supplies,Supplies,
February,2014,Office Supplies,Supplies,238.62
March,2014,Office Supplies,Supplies,18.62
April,2014,Office Supplies,Supplies,4174.353999999999
May,2014,Office Supplies,Supplies,80.28000000000002
June,2014,Office Supplies,Supplies,27.604
July,2014,Office Supplies,Supplies,8243.87
August,2014,Office Supplies,Supplies,156.96800000000002
September,2014,Office Supplies,Supplies,392.59000000000003
October,2014,Office Supplies,Supplies,524.62
November,2014,Office Supplies,Supplies,449.41400000000004
December,2014,Office Supplies,Supplies,87.13
January,2015,Office Supplies,Supplies,88.96000000000001
February,2015,Office Supplies,Supplies,
March,2015,Office Supplies,Supplies,33.36
April,2015,Office Supplies,Supplies,18.72
May,2015,Office Supplies,Supplies,512.3340000000001
June,2015,Office Supplies,Supplies,
July,2015,Office Supplies,Supplies,52.59
August,2015,Office Supplies,Supplies,91.148
September,2015,Office Supplies,Supplies,913.878
October,2015,Office Supplies,Supplies,110.76400000000001
November,2015,Office Supplies,Supplies,92.72000000000001
December,2015,Office Supplies,Supplies,38.008
January,2016,Office Supplies,Supplies,
February,2016,Office Supplies,Supplies,25.71
March,2016,Office Supplies,Supplies,8868.012
April,2016,Office Supplies,Supplies,1127.65
May,2016,Office Supplies,Supplies,189.57000000000002
June,2016,Office Supplies,Supplies,1128.2700000000002
July,2016,Office Supplies,Supplies,240.79999999999998
August,2016,Office Supplies,Supplies,398.982
September,2016,Office Supplies,Supplies,103.46
October,2016,Office Supplies,Supplies,128.576
November,2016,Office Supplies,Supplies,356.026
December,2016,Office Supplies,Supplies,1710.5200000000002
January,2017,Office Supplies,Supplies,4314.41
February,2017,Office Supplies,Supplies,25.02
March,2017,Office Supplies,Supplies,1716.752
