Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Quantity),Sum(Orders.Profit)
2014,August,6,5,106.6392
2015,August,6,16,-81.35049999999997
2016,August,6,15,67.5102
2014,September,1,17,85.94020000000002
2015,September,1,21,751.9427999999999
2016,September,1,65,1896.7401999999997
2014,September,2,28,916.2511999999998
2015,September,2,,
2016,September,2,101,750.1166999999998
2014,September,3,10,-4.4639999999999995
2015,September,3,40,182.8788
2016,September,3,59,-755.7506000000003
2014,September,4,,
2015,September,4,23,252.039
2016,September,4,60,1464.5007999999998
2014,September,5,4,21.822999999999997
2015,September,5,39,-31.056400000000014
2016,September,5,145,425.5153999999999
2014,September,6,14,39.630799999999994
2015,September,6,30,301.34259999999995
2016,September,6,23,204.64179999999988
2014,October,1,1,0
2015,October,1,21,169.70020000000002
2016,October,1,28,-42.78950000000006
2014,October,2,18,133.76319999999998
2015,October,2,62,290.7676000000001
2016,October,2,27,8738.797099999998
2014,October,3,37,-65.42790000000007
2015,October,3,14,-20.209199999999992
2016,October,3,23,224.53379999999987
2014,October,4,16,45.07089999999994
2015,October,4,12,63.98499999999997
2016,October,4,28,2658.3198000000007
2014,October,5,7,46.48299999999999
2015,October,5,23,-21.292799999999943
2016,October,5,,
2014,October,6,12,50.039500000000004
2015,October,6,,
2016,October,6,24,-947.1071
2014,November,1,81,663.3640999999996
2015,November,1,35,922.0565
2016,November,1,17,149.30419999999998
2014,November,2,49,286.5753999999999
2015,November,2,59,759.3802999999997
2016,November,2,,
2014,November,3,52,-108.22130000000007
2015,November,3,25,371.94720000000007
2016,November,3,97,696.3602000000001
2014,November,4,50,2443.3920000000003
2015,November,4,,
2016,November,4,78,-57.334900000000346
2014,November,5,31,-61.611600000000024
2015,November,5,33,113.24299999999998
2016,November,5,71,62.05509999999984
2014,November,6,6,20.9664
2015,November,6,6,-1.0428000000000006
2016,November,6,16,60.87819999999997
2014,December,1,46,875.1448000000003
2015,December,1,62,953.1089999999999
2016,December,1,89,1652.8648000000003
2014,December,2,64,111.37489999999994
2015,December,2,,
2016,December,2,78,992.4431999999997
2014,December,3,8,146.8304
2015,December,3,41,-105.91659999999985
2016,December,3,60,1065.8562000000002
2014,December,4,2,62.3904
2015,December,4,72,-182.66040000000004
2016,December,4,24,146.7888
2014,December,5,69,425.0407999999998
2015,December,5,38,217.53659999999994
2016,December,5,70,1468.7368999999999
2014,December,6,36,-19.01900000000001
2015,December,6,110,931.1059999999998
2016,December,6,93,1017.2350999999999
