Country,City,Year,Value Column Name,Value
"Brazil","Manaus","2017","(Sum of AC - Sum of PL)%","-0.582089552238806"
"Brazil","Manaus","2017","Sum of PL - Sum of PY","62000"
"Brazil","Manaus","2017","(Sum of PL - Sum of PY)%","0.8611111111111112"
"Brazil","Manaus","2017","Sum of BU",""
"Brazil","Manaus","2018","Sum of PY","-122000"
"Brazil","Manaus","2018","Sum of PL","139000"
"Brazil","Manaus","2018","Sum of AC","129000"
"Brazil","Manaus","2018","Sum of AC - Sum of PY","251000"
"Brazil","Manaus","2018","(Sum of AC - Sum of PY)%","2.057377049180328"
"Brazil","Manaus","2018","Sum of AC - Sum of PL","-10000"
"Brazil","Manaus","2018","(Sum of AC - Sum of PL)%","-0.07194244604316546"
"Brazil","Manaus","2018","Sum of PL - Sum of PY","261000"
"Brazil","Manaus","2018","(Sum of PL - Sum of PY)%","2.139344262295082"
"Brazil","Manaus","2018","Sum of BU",""
"Brazil","Manaus","2019","Sum of PY","55000"
"Brazil","Manaus","2019","Sum of PL","144000"
"Brazil","Manaus","2019","Sum of AC","147000"
"Brazil","Manaus","2019","Sum of AC - Sum of PY","92000"
"Brazil","Manaus","2019","(Sum of AC - Sum of PY)%","1.6727272727272726"
"Brazil","Manaus","2019","Sum of AC - Sum of PL","3000"
"Brazil","Manaus","2019","(Sum of AC - Sum of PL)%","0.02083333333333333"
"Brazil","Manaus","2019","Sum of PL - Sum of PY","89000"
"Brazil","Manaus","2019","(Sum of PL - Sum of PY)%","1.6181818181818182"
"Brazil","Manaus","2019","Sum of BU",""
"Brazil","Salvador","2017","Sum of PY","121000"
"Brazil","Salvador","2017","Sum of PL","101000"
"Brazil","Salvador","2017","Sum of AC","39000"
"Brazil","Salvador","2017","Sum of AC - Sum of PY","-82000"
"Brazil","Salvador","2017","(Sum of AC - Sum of PY)%","-0.6776859504132231"
"Brazil","Salvador","2017","Sum of AC - Sum of PL","-62000"
"Brazil","Salvador","2017","(Sum of AC - Sum of PL)%","-0.6138613861386139"
"Brazil","Salvador","2017","Sum of PL - Sum of PY","-20000"
"Brazil","Salvador","2017","(Sum of PL - Sum of PY)%","-0.1652892561983471"
"Brazil","Salvador","2017","Sum of BU",""
"Brazil","Salvador","2018","Sum of PY","0"
"Brazil","Salvador","2018","Sum of PL","64000"
"Brazil","Salvador","2018","Sum of AC","46000"
"Brazil","Salvador","2018","Sum of AC - Sum of PY","46000"
"Brazil","Salvador","2018","(Sum of AC - Sum of PY)%",
"Brazil","Salvador","2018","Sum of AC - Sum of PL","-18000"
"Brazil","Salvador","2018","(Sum of AC - Sum of PL)%","-0.28125"
"Brazil","Salvador","2018","Sum of PL - Sum of PY","64000"
"Brazil","Salvador","2018","(Sum of PL - Sum of PY)%",
"Brazil","Salvador","2018","Sum of BU",""
"Brazil","Salvador","2019","Sum of PY","52000"
"Brazil","Salvador","2019","Sum of PL","46000"
"Brazil","Salvador","2019","Sum of AC","121000"
"Brazil","Salvador","2019","Sum of AC - Sum of PY","69000"
"Brazil","Salvador","2019","(Sum of AC - Sum of PY)%","1.3269230769230769"
"Brazil","Salvador","2019","Sum of AC - Sum of PL","75000"
"Brazil","Salvador","2019","(Sum of AC - Sum of PL)%","1.6304347826086956"
"Brazil","Salvador","2019","Sum of PL - Sum of PY","-6000"
"Brazil","Salvador","2019","(Sum of PL - Sum of PY)%","-0.11538461538461538"
"Brazil","Salvador","2019","Sum of BU",""
"Canada","Vancouver","2017","Sum of PY","42000"
"Canada","Vancouver","2017","Sum of PL","113000"
"Canada","Vancouver","2017","Sum of AC","110000"
"Canada","Vancouver","2017","Sum of AC - Sum of PY","68000"
"Canada","Vancouver","2017","(Sum of AC - Sum of PY)%","1.619047619047619"
"Canada","Vancouver","2017","Sum of AC - Sum of PL","-3000"
"Canada","Vancouver","2017","(Sum of AC - Sum of PL)%","-0.02654867256637168"
"Canada","Vancouver","2017","Sum of PL - Sum of PY","71000"
"Canada","Vancouver","2017","(Sum of PL - Sum of PY)%","1.6904761904761905"
"Canada","Vancouver","2017","Sum of BU",""
"Canada","Vancouver","2018","Sum of PY","102000"
"Canada","Vancouver","2018","Sum of PL","87000"
"Canada","Vancouver","2018","Sum of AC","134000"
"Canada","Vancouver","2018","Sum of AC - Sum of PY","32000"
"Canada","Vancouver","2018","(Sum of AC - Sum of PY)%","0.3137254901960784"
"Canada","Vancouver","2018","Sum of AC - Sum of PL","47000"
"Canada","Vancouver","2018","(Sum of AC - Sum of PL)%","0.5402298850574713"
"Canada","Vancouver","2018","Sum of PL - Sum of PY","-15000"
"Canada","Vancouver","2018","(Sum of PL - Sum of PY)%","-0.14705882352941177"
"Canada","Vancouver","2018","Sum of BU",""
"Canada","Vancouver","2019","Sum of PY","111000"
"Canada","Vancouver","2019","Sum of PL","83000"
"Canada","Vancouver","2019","Sum of AC","150000"
"Canada","Vancouver","2019","Sum of AC - Sum of PY","39000"
"Canada","Vancouver","2019","(Sum of AC - Sum of PY)%","0.35135135135135137"
"Canada","Vancouver","2019","Sum of AC - Sum of PL","67000"
"Canada","Vancouver","2019","(Sum of AC - Sum of PL)%","0.8072289156626506"
"Canada","Vancouver","2019","Sum of PL - Sum of PY","-28000"
"Canada","Vancouver","2019","(Sum of PL - Sum of PY)%","-0.25225225225225223"
"Canada","Vancouver","2019","Sum of BU",""
"Canada","Toronto","2017","Sum of PY","59000"
"Canada","Toronto","2017","Sum of PL","98000"
"Canada","Toronto","2017","Sum of AC","78000"
"Canada","Toronto","2017","Sum of AC - Sum of PY","19000"
"Canada","Toronto","2017","(Sum of AC - Sum of PY)%","0.3220338983050847"
"Canada","Toronto","2017","Sum of AC - Sum of PL","-20000"
"Canada","Toronto","2017","(Sum of AC - Sum of PL)%","-0.20408163265306123"
"Canada","Toronto","2017","Sum of PL - Sum of PY","39000"
"Canada","Toronto","2017","(Sum of PL - Sum of PY)%","0.6610169491525424"
"Canada","Toronto","2017","Sum of BU",""
"Canada","Toronto","2018","Sum of PY","0"
"Canada","Toronto","2018","Sum of PL","42000"
"Canada","Toronto","2018","Sum of AC","96000"
"Canada","Toronto","2018","Sum of AC - Sum of PY","96000"
"Canada","Toronto","2018","(Sum of AC - Sum of PY)%",
"Canada","Toronto","2018","Sum of AC - Sum of PL","54000"
"Canada","Toronto","2018","(Sum of AC - Sum of PL)%","1.2857142857142858"
"Canada","Toronto","2018","Sum of PL - Sum of PY","42000"
"Canada","Toronto","2018","(Sum of PL - Sum of PY)%",
"Canada","Toronto","2018","Sum of BU",""
"Canada","Toronto","2019","Sum of PY","35000"
"Canada","Toronto","2019","Sum of PL","93000"
"Canada","Toronto","2019","Sum of AC","47000"
"Canada","Toronto","2019","Sum of AC - Sum of PY","12000"
"Canada","Toronto","2019","(Sum of AC - Sum of PY)%","0.34285714285714286"
"Canada","Toronto","2019","Sum of AC - Sum of PL","-46000"
"Canada","Toronto","2019","(Sum of AC - Sum of PL)%","-0.4946236559139785"
"Canada","Toronto","2019","Sum of PL - Sum of PY","58000"
"Canada","Toronto","2019","(Sum of PL - Sum of PY)%","1.6571428571428573"
"Canada","Toronto","2019","Sum of BU",""
"Canada","Montreal","2017","Sum of PY","107000"
"Canada","Montreal","2017","Sum of PL","38000"
"Canada","Montreal","2017","Sum of AC","51000"
"Canada","Montreal","2017","Sum of AC - Sum of PY","-56000"
"Canada","Montreal","2017","(Sum of AC - Sum of PY)%","-0.5233644859813084"
"Canada","Montreal","2017","Sum of AC - Sum of PL","13000"
"Canada","Montreal","2017","(Sum of AC - Sum of PL)%","0.34210526315789475"
"Canada","Montreal","2017","Sum of PL - Sum of PY","-69000"
"Canada","Montreal","2017","(Sum of PL - Sum of PY)%","-0.6448598130841121"
"Canada","Montreal","2017","Sum of BU",""
"Canada","Montreal","2018","Sum of PY","-120000"
"Canada","Montreal","2018","Sum of PL","37000"
"Canada","Montreal","2018","Sum of AC","49000"
"Canada","Montreal","2018","Sum of AC - Sum of PY","169000"
"Canada","Montreal","2018","(Sum of AC - Sum of PY)%","1.4083333333333334"
"Canada","Montreal","2018","Sum of AC - Sum of PL","12000"
"Canada","Montreal","2018","(Sum of AC - Sum of PL)%","0.32432432432432434"
"Canada","Montreal","2018","Sum of PL - Sum of PY","157000"
"Canada","Montreal","2018","(Sum of PL - Sum of PY)%","1.3083333333333333"
"Canada","Montreal","2018","Sum of BU",""
"Canada","Montreal","2019","Sum of PY","86000"
"Canada","Montreal","2019","Sum of PL","53000"
"Canada","Montreal","2019","Sum of AC","39000"
"Canada","Montreal","2019","Sum of AC - Sum of PY","-47000"
"Canada","Montreal","2019","(Sum of AC - Sum of PY)%","-0.5465116279069767"
"Canada","Montreal","2019","Sum of AC - Sum of PL","-14000"
"Canada","Montreal","2019","(Sum of AC - Sum of PL)%","-0.2641509433962264"
"Canada","Montreal","2019","Sum of PL - Sum of PY","-33000"
"Canada","Montreal","2019","(Sum of PL - Sum of PY)%","-0.38372093023255816"
"Canada","Montreal","2019","Sum of BU",""
"Other","Chicago","2017","Sum of PY","111000"
"Other","Chicago","2017","Sum of PL","38000"
"Other","Chicago","2017","Sum of AC","97000"
"Other","Chicago","2017","Sum of AC - Sum of PY","-14000"
"Other","Chicago","2017","(Sum of AC - Sum of PY)%","-0.12612612612612611"
"Other","Chicago","2017","Sum of AC - Sum of PL","59000"
"Other","Chicago","2017","(Sum of AC - Sum of PL)%","1.5526315789473686"
"Other","Chicago","2017","Sum of PL - Sum of PY","-73000"
"Other","Chicago","2017","(Sum of PL - Sum of PY)%","-0.6576576576576578"
"Other","Chicago","2017","Sum of BU",""
"Other","Chicago","2018","Sum of PY","93000"
"Other","Chicago","2018","Sum of PL",
"Other","Chicago","2018","Sum of AC","67000"
"Other","Chicago","2018","Sum of AC - Sum of PY","-26000"
"Other","Chicago","2018","(Sum of AC - Sum of PY)%","-0.27956989247311825"
"Other","Chicago","2018","Sum of AC - Sum of PL","67000"
"Other","Chicago","2018","(Sum of AC - Sum of PL)%",
"Other","Chicago","2018","Sum of PL - Sum of PY","-93000"
"Other","Chicago","2018","(Sum of PL - Sum of PY)%","-1"
"Other","Chicago","2018","Sum of BU",""
"Other","Chicago","2019","Sum of PY","85000"
"Other","Chicago","2019","Sum of PL","37000"
"Other","Chicago","2019","Sum of AC","125000"
"Other","Chicago","2019","Sum of AC - Sum of PY","40000"
"Other","Chicago","2019","(Sum of AC - Sum of PY)%","0.4705882352941176"
"Other","Chicago","2019","Sum of AC - Sum of PL","88000"
"Other","Chicago","2019","(Sum of AC - Sum of PL)%","2.3783783783783785"
"Other","Chicago","2019","Sum of PL - Sum of PY","-48000"
"Other","Chicago","2019","(Sum of PL - Sum of PY)%","-0.5647058823529412"
"Other","Chicago","2019","Sum of BU",""
"Other","Finland","2017","Sum of PY","77000"
"Other","Finland","2017","Sum of PL","64000"
"Other","Finland","2017","Sum of AC","142000"
"Other","Finland","2017","Sum of AC - Sum of PY","65000"
"Other","Finland","2017","(Sum of AC - Sum of PY)%","0.8441558441558441"
"Other","Finland","2017","Sum of AC - Sum of PL","78000"
"Other","Finland","2017","(Sum of AC - Sum of PL)%","1.21875"
"Other","Finland","2017","Sum of PL - Sum of PY","-13000"
"Other","Finland","2017","(Sum of PL - Sum of PY)%","-0.16883116883116883"
"Other","Finland","2017","Sum of BU",""
"Other","Finland","2018","Sum of PY","0"
"Other","Finland","2018","Sum of PL","131000"
"Other","Finland","2018","Sum of AC","41000"
"Other","Finland","2018","Sum of AC - Sum of PY","41000"
"Other","Finland","2018","(Sum of AC - Sum of PY)%",
"Other","Finland","2018","Sum of AC - Sum of PL","-90000"
"Other","Finland","2018","(Sum of AC - Sum of PL)%","-0.6870229007633588"
"Other","Finland","2018","Sum of PL - Sum of PY","131000"
"Other","Finland","2018","(Sum of PL - Sum of PY)%",
"Other","Finland","2018","Sum of BU",""
"Other","Finland","2019","Sum of PY","50000"
"Other","Finland","2019","Sum of PL","45000"
"Other","Finland","2019","Sum of AC","83000"
"Other","Finland","2019","Sum of AC - Sum of PY","33000"
"Other","Finland","2019","(Sum of AC - Sum of PY)%","0.66"
"Other","Finland","2019","Sum of AC - Sum of PL","38000"
"Other","Finland","2019","(Sum of AC - Sum of PL)%","0.8444444444444444"
"Other","Finland","2019","Sum of PL - Sum of PY","-5000"
"Other","Finland","2019","(Sum of PL - Sum of PY)%","-0.1"
"Other","Finland","2019","Sum of BU",""
"Other","Seoul","2017","Sum of PY","134000"
"Other","Seoul","2017","Sum of PL","111000"
"Other","Seoul","2017","Sum of AC","50000"
"Other","Seoul","2017","Sum of AC - Sum of PY","-84000"
"Other","Seoul","2017","(Sum of AC - Sum of PY)%","-0.6268656716417911"
"Other","Seoul","2017","Sum of AC - Sum of PL","-61000"
"Other","Seoul","2017","(Sum of AC - Sum of PL)%","-0.5495495495495496"
"Other","Seoul","2017","Sum of PL - Sum of PY","-23000"
"Other","Seoul","2017","(Sum of PL - Sum of PY)%","-0.17164179104477612"
"Other","Seoul","2017","Sum of BU",""
"Other","Seoul","2018","Sum of PY","78000"
"Other","Seoul","2018","Sum of PL","52000"
"Other","Seoul","2018","Sum of AC","78000"
"Other","Seoul","2018","Sum of AC - Sum of PY","0"
"Other","Seoul","2018","(Sum of AC - Sum of PY)%","0"
"Other","Seoul","2018","Sum of AC - Sum of PL","26000"
"Other","Seoul","2018","(Sum of AC - Sum of PL)%","0.5"
"Other","Seoul","2018","Sum of PL - Sum of PY","-26000"
"Other","Seoul","2018","(Sum of PL - Sum of PY)%","-0.33333333333333326"
"Other","Seoul","2018","Sum of BU",""
"Other","Seoul","2019","Sum of PY","66000"
"Other","Seoul","2019","Sum of PL","41000"
"Other","Seoul","2019","Sum of AC","69000"
"Other","Seoul","2019","Sum of AC - Sum of PY","3000"
"Other","Seoul","2019","(Sum of AC - Sum of PY)%","0.045454545454545456"
"Other","Seoul","2019","Sum of AC - Sum of PL","28000"
"Other","Seoul","2019","(Sum of AC - Sum of PL)%","0.6829268292682927"
"Other","Seoul","2019","Sum of PL - Sum of PY","-25000"
"Other","Seoul","2019","(Sum of PL - Sum of PY)%","-0.37878787878787873"
"Other","Seoul","2019","Sum of BU",""
"Australia","Brisbane","2017","Sum of PY","266000"
"Australia","Brisbane","2017","Sum of PL","204000"
"Australia","Brisbane","2017","Sum of AC","231000"
"Australia","Brisbane","2017","Sum of AC - Sum of PY","-35000"
"Australia","Brisbane","2017","(Sum of AC - Sum of PY)%","-0.13157894736842105"
"Australia","Brisbane","2017","Sum of AC - Sum of PL","27000"
"Australia","Brisbane","2017","(Sum of AC - Sum of PL)%","0.1323529411764706"
"Australia","Brisbane","2017","Sum of PL - Sum of PY","-62000"
"Australia","Brisbane","2017","(Sum of PL - Sum of PY)%","-0.23308270676691728"
"Australia","Brisbane","2017","Sum of BU",""
"Australia","Brisbane","2018","Sum of PY","46000"
"Australia","Brisbane","2018","Sum of PL","71000"
"Australia","Brisbane","2018","Sum of AC","149000"
"Australia","Brisbane","2018","Sum of AC - Sum of PY","103000"
"Australia","Brisbane","2018","(Sum of AC - Sum of PY)%","2.239130434782609"
"Australia","Brisbane","2018","Sum of AC - Sum of PL","78000"
"Australia","Brisbane","2018","(Sum of AC - Sum of PL)%","1.0985915492957747"
"Australia","Brisbane","2018","Sum of PL - Sum of PY","25000"
"Australia","Brisbane","2018","(Sum of PL - Sum of PY)%","0.5434782608695652"
"Australia","Brisbane","2018","Sum of BU",""
"Australia","Brisbane","2019","Sum of PY","70000"
"Australia","Brisbane","2019","Sum of PL","97000"
"Australia","Brisbane","2019","Sum of AC","38000"
"Australia","Brisbane","2019","Sum of AC - Sum of PY","-32000"
"Australia","Brisbane","2019","(Sum of AC - Sum of PY)%","-0.45714285714285713"
"Australia","Brisbane","2019","Sum of AC - Sum of PL","-59000"
"Australia","Brisbane","2019","(Sum of AC - Sum of PL)%","-0.6082474226804123"
"Australia","Brisbane","2019","Sum of PL - Sum of PY","27000"
"Australia","Brisbane","2019","(Sum of PL - Sum of PY)%","0.3857142857142858"
"Australia","Brisbane","2019","Sum of BU",""
"Australia","Sydney","2017","Sum of PY","54000"
"Australia","Sydney","2017","Sum of PL","66000"
"Australia","Sydney","2017","Sum of AC","62000"
"Australia","Sydney","2017","Sum of AC - Sum of PY","8000"
"Australia","Sydney","2017","(Sum of AC - Sum of PY)%","0.14814814814814814"
"Australia","Sydney","2017","Sum of AC - Sum of PL","-4000"
"Australia","Sydney","2017","(Sum of AC - Sum of PL)%","-0.06060606060606061"
"Australia","Sydney","2017","Sum of PL - Sum of PY","12000"
"Australia","Sydney","2017","(Sum of PL - Sum of PY)%","0.2222222222222222"
"Australia","Sydney","2017","Sum of BU",""
"Australia","Sydney","2018","Sum of PY","38000"
"Australia","Sydney","2018","Sum of PL","109000"
"Australia","Sydney","2018","Sum of AC","117000"
"Australia","Sydney","2018","Sum of AC - Sum of PY","79000"
"Australia","Sydney","2018","(Sum of AC - Sum of PY)%","2.0789473684210527"
"Australia","Sydney","2018","Sum of AC - Sum of PL","8000"
"Australia","Sydney","2018","(Sum of AC - Sum of PL)%","0.07339449541284404"
"Australia","Sydney","2018","Sum of PL - Sum of PY","71000"
"Australia","Sydney","2018","(Sum of PL - Sum of PY)%","1.868421052631579"
"Australia","Sydney","2018","Sum of BU",""
"Australia","Sydney","2019","Sum of PY","147000"
"Australia","Sydney","2019","Sum of PL","42000"
"Australia","Sydney","2019","Sum of AC","42000"
"Australia","Sydney","2019","Sum of AC - Sum of PY","-105000"
"Australia","Sydney","2019","(Sum of AC - Sum of PY)%","-0.7142857142857143"
"Australia","Sydney","2019","Sum of AC - Sum of PL","0"
"Australia","Sydney","2019","(Sum of AC - Sum of PL)%","0"
"Australia","Sydney","2019","Sum of PL - Sum of PY","-105000"
"Australia","Sydney","2019","(Sum of PL - Sum of PY)%","-0.7142857142857143"
"Australia","Sydney","2019","Sum of BU",""
"Australia","Melbourne","2017","Sum of PY","9000"
"Australia","Melbourne","2017","Sum of PL","12000"
"Australia","Melbourne","2017","Sum of AC","11000"
"Australia","Melbourne","2017","Sum of AC - Sum of PY","2000"
"Australia","Melbourne","2017","(Sum of AC - Sum of PY)%","0.2222222222222222"
"Australia","Melbourne","2017","Sum of AC - Sum of PL","-1000"
"Australia","Melbourne","2017","(Sum of AC - Sum of PL)%","-0.08333333333333331"
"Australia","Melbourne","2017","Sum of PL - Sum of PY","3000"
"Australia","Melbourne","2017","(Sum of PL - Sum of PY)%","0.33333333333333326"
"Australia","Melbourne","2017","Sum of BU",""
"Australia","Melbourne","2018","Sum of PY","96000"
"Australia","Melbourne","2018","Sum of PL","130000"
"Australia","Melbourne","2018","Sum of AC","69000"
"Australia","Melbourne","2018","Sum of AC - Sum of PY","-27000"
"Australia","Melbourne","2018","(Sum of AC - Sum of PY)%","-0.28125"
"Australia","Melbourne","2018","Sum of AC - Sum of PL","-61000"
"Australia","Melbourne","2018","(Sum of AC - Sum of PL)%","-0.4692307692307692"
"Australia","Melbourne","2018","Sum of PL - Sum of PY","34000"
"Australia","Melbourne","2018","(Sum of PL - Sum of PY)%","0.35416666666666674"
"Australia","Melbourne","2018","Sum of BU",""
"Australia","Melbourne","2019","Sum of PY",
"Australia","Melbourne","2019","Sum of PL",
"Australia","Melbourne","2019","Sum of AC",
"Australia","Melbourne","2019","Sum of AC - Sum of PY",
"Australia","Melbourne","2019","(Sum of AC - Sum of PY)%",
"Australia","Melbourne","2019","Sum of AC - Sum of PL",
"Australia","Melbourne","2019","(Sum of AC - Sum of PL)%",
"Australia","Melbourne","2019","Sum of PL - Sum of PY",
"Australia","Melbourne","2019","(Sum of PL - Sum of PY)%",
"Australia","Melbourne","2019","Sum of BU",""
"Japan","Tokyo","2017","Sum of PY","112000"
"Japan","Tokyo","2017","Sum of PL","69000"
"Japan","Tokyo","2017","Sum of AC","119000"
"Japan","Tokyo","2017","Sum of AC - Sum of PY","7000"
"Japan","Tokyo","2017","(Sum of AC - Sum of PY)%","0.0625"
"Japan","Tokyo","2017","Sum of AC - Sum of PL","50000"
"Japan","Tokyo","2017","(Sum of AC - Sum of PL)%","0.7246376811594203"
"Japan","Tokyo","2017","Sum of PL - Sum of PY","-43000"
"Japan","Tokyo","2017","(Sum of PL - Sum of PY)%","-0.38392857142857145"
"Japan","Tokyo","2017","Sum of BU",""
"Japan","Tokyo","2018","Sum of PY","59000"
"Japan","Tokyo","2018","Sum of PL","116000"
"Japan","Tokyo","2018","Sum of AC","89000"
"Japan","Tokyo","2018","Sum of AC - Sum of PY","30000"
"Japan","Tokyo","2018","(Sum of AC - Sum of PY)%","0.5084745762711864"
