0,1,2,Sum(financials. Sales),
[object Object],[object Object],[object Object],36616,432676.9918181818
[object Object],[object Object],[object Object],442574.25,450162.23222222226
[object Object],[object Object],[object Object],645252.6,651358.9431578948
[object Object],[object Object],[object Object],327970.55,521686.4304347827
[object Object],[object Object],[object Object],820455.96,464780.55500000005
[object Object],[object Object],[object Object],2121424,432676.9918181818
[object Object],[object Object],[object Object],408386.25,450162.23222222226
[object Object],[object Object],[object Object],155424.65,651358.9431578948
[object Object],[object Object],[object Object],835033.15,521686.4304347827
[object Object],[object Object],[object Object],1110926,464780.55500000005
[object Object],[object Object],[object Object],743372.4899999999,432676.9918181818
[object Object],[object Object],[object Object],1914766,450162.23222222226
[object Object],[object Object],[object Object],543173.85,651358.9431578948
[object Object],[object Object],[object Object],952310.22,521686.4304347827
[object Object],[object Object],[object Object],370713,464780.55500000005
[object Object],[object Object],[object Object],65013.96,432676.9918181818
[object Object],[object Object],[object Object],8031.599999999999,450162.23222222226
[object Object],[object Object],[object Object],53180.899999999994,651358.9431578948
[object Object],[object Object],[object Object],84543.64,521686.4304347827
[object Object],[object Object],[object Object],37980,464780.55500000005
[object Object],[object Object],[object Object],11802,432676.9918181818
[object Object],[object Object],[object Object],8001,450162.23222222226
[object Object],[object Object],[object Object],9225,651358.9431578948
[object Object],[object Object],[object Object],83040,464780.55500000005
[object Object],[object Object],[object Object],529550,432676.9918181818
[object Object],[object Object],[object Object],43125,464780.55500000005
[object Object],[object Object],[object Object],123786,432676.9918181818
[object Object],[object Object],[object Object],333187.5,450162.23222222226
[object Object],[object Object],[object Object],9225,651358.9431578948
[object Object],[object Object],[object Object],382316,464780.55500000005
[object Object],[object Object],[object Object],4404,432676.9918181818
[object Object],[object Object],[object Object],8001,450162.23222222226
[object Object],[object Object],[object Object],565890,651358.9431578948
[object Object],[object Object],[object Object],43125,464780.55500000005
[object Object],[object Object],[object Object],370640,432676.9918181818
[object Object],[object Object],[object Object],45990,464780.55500000005
[object Object],[object Object],[object Object],36340,432676.9918181818
