Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Region,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity)
2016,Office Supplies,West,Binders,3875.6263,555
2017,Office Supplies,West,Binders,8660.0673,707
2014,Office Supplies,West,Envelopes,292.6254,42
2015,Office Supplies,West,Envelopes,627.1603999999999,46
2016,Office Supplies,West,Envelopes,738.3141999999999,67
2017,Office Supplies,West,Envelopes,250.6624,72
2014,Office Supplies,West,Fasteners,79.20759999999999,68
2015,Office Supplies,West,Fasteners,50.84629999999999,43
2016,Office Supplies,West,Fasteners,63.469199999999994,67
2017,Office Supplies,West,Fasteners,81.66760000000001,85
2014,Office Supplies,West,Labels,409.81209999999993,106
2015,Office Supplies,West,Labels,448.8689,91
2016,Office Supplies,West,Labels,519.4473999999999,118
2017,Office Supplies,West,Labels,924.9939,165
2014,Office Supplies,West,Paper,2387.1297000000004,319
2015,Office Supplies,West,Paper,2413.6979,378
2016,Office Supplies,West,Paper,3007.0784000000003,462
2017,Office Supplies,West,Paper,4311.3304000000035,543
2014,Office Supplies,West,Storage,2047.6063999999992,241
2015,Office Supplies,West,Storage,1603.5344999999995,212
2016,Office Supplies,West,Storage,1532.9522,196
2017,Office Supplies,West,Storage,3461.2290999999987,390
2014,Office Supplies,West,Supplies,404.28519999999963,64
2015,Office Supplies,West,Supplies,61.513699999999986,35
2016,Office Supplies,West,Supplies,324.8807999999997,75
2017,Office Supplies,West,Supplies,-164.63320000000002,64
2014,Technology,Central,Accessories,891.2615000000002,139
2015,Technology,Central,Accessories,1531.0477,148
2016,Technology,Central,Accessories,1888.0898999999997,205
2017,Technology,Central,Accessories,2941.231499999999,224
2014,Technology,Central,Copiers,1034.978,9
2015,Technology,Central,Copiers,5159.9078,26
2016,Technology,Central,Copiers,8399.975999999999,5
2017,Technology,Central,Copiers,1013.9795000000001,9
2014,Technology,Central,Machines,-2384.6983000000023,30
2015,Technology,Central,Machines,169.5970999999999,11
2016,Technology,Central,Machines,57.31859999999989,9
2017,Technology,Central,Machines,671.7159999999993,16
2014,Technology,Central,Phones,1480.9286999999993,98
2015,Technology,Central,Phones,3307.244099999998,178
2016,Technology,Central,Phones,3415.1335999999988,246
2017,Technology,Central,Phones,4119.7203,191
2014,Technology,East,Accessories,1888.0357999999999,103
2015,Technology,East,Accessories,4688.4591,170
2016,Technology,East,Accessories,1260.0029,148
2017,Technology,East,Accessories,3359.366599999999,303
2014,Technology,East,Copiers,650.9887,12
2015,Technology,East,Copiers,1654.9667,13
2016,Technology,East,Copiers,5143.924799999999,29
2017,Technology,East,Copiers,9572.961599999999,17
2014,Technology,East,Machines,4865.814899999999,23
2015,Technology,East,Machines,454.6903999999996,47
2016,Technology,East,Machines,-1342.346500000002,51
2017,Technology,East,Machines,2950.4840999999997,44
2014,Technology,East,Phones,3429.1019000000015,162
2015,Technology,East,Phones,3299.667599999998,225
2016,Technology,East,Phones,2167.8120999999983,230
2017,Technology,East,Phones,3418.1044000000043,365
2014,Technology,South,Accessories,1685.7286000000001,110
2015,Technology,South,Accessories,828.0340999999997,128
2016,Technology,South,Accessories,2543.8409,124
2017,Technology,South,Accessories,1946.9387999999992,142
2014,Technology,South,Copiers,89.99699999999999,2
2015,Technology,South,Copiers,314.9895,3
2016,Technology,South,Copiers,871.9584,12
2017,Technology,South,Copiers,2381.9618,9
2014,Technology,South,Machines,-3254.2075000000023,18
2015,Technology,South,Machines,1414.8208999999997,10
2016,Technology,South,Machines,4308.107,21
2017,Technology,South,Machines,-3907.6133999999984,13
2014,Technology,South,Phones,4085.707599999999,133
2015,Technology,South,Phones,1942.0411000000001,101
2016,Technology,South,Phones,1507.925,113
2017,Technology,South,Phones,3231.601600000001,179
2014,Technology,West,Accessories,1937.6891000000007,228
2015,Technology,West,Accessories,3149.7343,189
2016,Technology,West,Accessories,3972.354799999999,205
2017,Technology,West,Accessories,7424.820099999998,410
2014,Technology,West,Copiers,1136.9796000000001,6
2015,Technology,West,Copiers,2800.4348,21
2016,Technology,West,Copiers,3326.9334,23
2017,Technology,West,Copiers,12062.8873,38
2014,Technology,West,Machines,1142.2597999999998,25
2015,Technology,West,Machines,938.3771999999989,26
2016,Technology,West,Machines,-115.76110000000034,48
2017,Technology,West,Machines,-2583.8023000000017,48
2014,Technology,West,Phones,2812.267099999998,291
2015,Technology,West,Phones,1849.8545999999992,193
2016,Technology,West,Phones,2368.7222000000006,229
2017,Technology,West,Phones,2079.8986999999993,355
