Min.Order Date.Variation.Date Hierarchy.Month,Min.Category,Min.Sub-Category,Sum(Min.Profit),Sum(Min.Sales)
March,Office Supplies,Art,296.57309999999995,1238.5020000000004
April,Office Supplies,Art,443.1326000000001,1782.3919999999998
May,Office Supplies,Art,412.82259999999997,1798.2139999999997
June,Office Supplies,Art,418.1012,1608.464
July,Office Supplies,Art,471.51239999999984,1944.304
August,Office Supplies,Art,444.7847999999999,1696.4939999999997
September,Office Supplies,Art,840.2319,3376.354000000002
October,Office Supplies,Art,449.56940000000003,1748.2120000000014
November,Office Supplies,Art,872.8121,3446.212000000001
December,Office Supplies,Art,522.7730999999999,2186.8580000000006
January,Office Supplies,Binders,2797.9117,11901.348999999998
February,Office Supplies,Binders,690.0398000000002,4236.981000000001
March,Office Supplies,Binders,2281.8478,7082.343999999999
April,Office Supplies,Binders,3318.1817,10807.792999999998
May,Office Supplies,Binders,905.1419999999995,6116.032
June,Office Supplies,Binders,3430.3697999999995,12586.830999999998
July,Office Supplies,Binders,-3433.0339000000017,8329.131000000003
August,Office Supplies,Binders,4257.119,20185.281000000006
September,Office Supplies,Binders,6655.595399999999,30790.111000000008
October,Office Supplies,Binders,3839.947399999998,17620.721
November,Office Supplies,Binders,-1269.8883999999964,19959.145000000004
December,Office Supplies,Binders,3802.732500000001,31108.912000000004
January,Office Supplies,Envelopes,250.84679999999997,642.512
February,Office Supplies,Envelopes,303.17409999999995,668.566
March,Office Supplies,Envelopes,576.5129999999999,1390.0359999999998
April,Office Supplies,Envelopes,391.5077999999999,873.1220000000001
May,Office Supplies,Envelopes,316.4876,708.3859999999999
June,Office Supplies,Envelopes,165.76959999999997,392.53
July,Office Supplies,Envelopes,545.3799,1200.08
August,Office Supplies,Envelopes,191.038,416.32800000000003
September,Office Supplies,Envelopes,762.4976999999999,1781.788
October,Office Supplies,Envelopes,585.1125,1362.558
November,Office Supplies,Envelopes,1043.4953,2543.1599999999994
December,Office Supplies,Envelopes,751.8337,1820.0840000000005
January,Office Supplies,Fasteners,14.673099999999996,80.10000000000001
February,Office Supplies,Fasteners,46.271499999999996,137.856
March,Office Supplies,Fasteners,34.1674,149.63600000000002
April,Office Supplies,Fasteners,31.276999999999994,170.98800000000003
May,Office Supplies,Fasteners,26.798899999999996,109.302
June,Office Supplies,Fasteners,34.8279,110.54399999999998
July,Office Supplies,Fasteners,59.89300000000001,167.43800000000002
August,Office Supplies,Fasteners,42.162099999999995,157.92400000000004
September,Office Supplies,Fasteners,145.70579999999995,389.81399999999996
October,Office Supplies,Fasteners,77.31699999999998,321.742
November,Office Supplies,Fasteners,146.4942,446.564
December,Office Supplies,Fasteners,116.1504,297.434
January,Office Supplies,Labels,64.28410000000001,138.24
February,Office Supplies,Labels,134.8464,299.882
March,Office Supplies,Labels,427.78299999999996,919.4079999999998
April,Office Supplies,Labels,139.2686,320.68
May,Office Supplies,Labels,318.7735,718.0619999999999
June,Office Supplies,Labels,514.8910000000001,1139.33
July,Office Supplies,Labels,635.2902999999998,1335.5160000000005
August,Office Supplies,Labels,352.5606,773.0820000000001
September,Office Supplies,Labels,458.3744,1049.106
October,Office Supplies,Labels,533.0691,1217.478
November,Office Supplies,Labels,743.4728000000001,1779.6360000000002
December,Office Supplies,Labels,558.2769000000001,1233.2020000000002
January,Office Supplies,Paper,959.6478000000003,2159.838
February,Office Supplies,Paper,999.8929999999999,2340.4939999999997
March,Office Supplies,Paper,2614.658999999999,5975.563999999998
April,Office Supplies,Paper,1477.5727,3524.0720000000006
May,Office Supplies,Paper,2601.315699999999,5936.665999999997
June,Office Supplies,Paper,2315.7936,5414.633999999998
July,Office Supplies,Paper,1644.7139000000006,3890.2880000000014
August,Office Supplies,Paper,2456.1352,5739.000000000002
September,Office Supplies,Paper,4189.6568000000025,9419.307999999997
October,Office Supplies,Paper,1692.1359999999995,4082.0380000000005
November,Office Supplies,Paper,5201.073599999998,11846.389999999994
December,Office Supplies,Paper,4543.973600000003,10459.489999999996
January,Office Supplies,Storage,949.1333999999998,6603.868
February,Office Supplies,Storage,468.3598999999999,5881.724
March,Office Supplies,Storage,1627.1746999999996,13637.821999999998
April,Office Supplies,Storage,1293.1126,14817.201999999997
May,Office Supplies,Storage,1228.7561999999994,13691.282
June,Office Supplies,Storage,953.1164999999997,15014.833999999997
July,Office Supplies,Storage,761.1965999999996,10414.343999999997
August,Office Supplies,Storage,1410.6100999999994,15437.096000000001
September,Office Supplies,Storage,2517.110800000001,26842.89799999999
October,Office Supplies,Storage,539.4248999999993,14850.940000000002
November,Office Supplies,Storage,3726.8743999999992,34534.00600000001
December,Office Supplies,Storage,3570.6515000000004,27479.180000000004
January,Office Supplies,Supplies,130.22110000000004,4403.369999999999
February,Office Supplies,Supplies,17.962200000000006,289.35
March,Office Supplies,Supplies,-843.6412000000006,10636.744000000002
April,Office Supplies,Supplies,29.828900000000136,6030.567999999999
May,Office Supplies,Supplies,129.8522,1153.636
June,Office Supplies,Supplies,70.4448,1235.4680000000003
July,Office Supplies,Supplies,419.2236999999996,8752.86
August,Office Supplies,Supplies,40.50169999999997,591.4100000000001
September,Office Supplies,Supplies,-991.9062000000001,5709.3640000000005
October,Office Supplies,Supplies,40.81920000000002,694.7320000000001
November,Office Supplies,Supplies,-123.35690000000004,1314.1979999999999
December,Office Supplies,Supplies,189.27609999999996,3440.5160000000005
January,Technology,Accessories,845.9172999999998,3846.41
February,Technology,Accessories,1168.3732,4614.245999999999
March,Technology,Accessories,2248.8948,8508.210000000001
April,Technology,Accessories,1508.9290999999998,5757.273999999999
May,Technology,Accessories,1625.7697999999993,7359.088
June,Technology,Accessories,1988.281,7875.898
July,Technology,Accessories,3559.395499999999,12463.912000000002
August,Technology,Accessories,2551.1388,12103.367999999999
September,Technology,Accessories,4558.334700000001,17978.568000000003
October,Technology,Accessories,2632.5006999999996,12460.337999999996
November,Technology,Accessories,5956.5665,23999.210000000014
December,Technology,Accessories,6690.981700000001,25096.967999999997
January,Technology,Copiers,119.99599999999992,959.9680000000001
February,Technology,Copiers,,
March,Technology,Copiers,11044.399399999998,25589.736
April,Technology,Copiers,701.9784,2079.936
May,Technology,Copiers,3719.9489999999987,18399.789999999997
June,Technology,Copiers,314.9895,899.97
July,Technology,Copiers,2761.9452999999994,9779.792000000001
August,Technology,Copiers,1569.9734999999998,4529.924
September,Technology,Copiers,2806.9184,7559.7880000000005
October,Technology,Copiers,15863.897999999997,37019.755999999994
November,Technology,Copiers,6280.9634,15149.883999999998
December,Technology,Copiers,6559.886199999999,17599.674
January,Technology,Machines,340.2575999999998,2966.6490000000003
February,Technology,Machines,2838.9813999999997,8989.934000000001
March,Technology,Machines,-1425.586900000003,30151.974000000002
April,Technology,Machines,-552.5183000000015,16809.843
May,Technology,Machines,1626.0846999999994,11267.723000000002
June,Technology,Machines,2433.8314999999993,11174.546000000002
July,Technology,Machines,149.3859,3799.2930000000006
August,Technology,Machines,1374.1189999999995,6261.51
September,Technology,Machines,-74.67660000000083,11552.945
October,Technology,Machines,947.9603999999999,10613.093
November,Technology,Machines,-2483.2696000000005,21815.339
December,Technology,Machines,-111.04000000000087,14247.496000000001
January,Technology,Phones,1743.2417,12292.503999999999
February,Technology,Phones,959.6239999999998,7710.751999999998
March,Technology,Phones,2956.4566999999997,26748.31000000001
April,Technology,Phones,2142.7836,16897.766
May,Technology,Phones,2527.6313,19737.430000000008
June,Technology,Phones,3494.1934000000006,23575.952000000005
July,Technology,Phones,2556.1296,22445.146000000004
August,Technology,Phones,3121.6879,27119.15
September,Technology,Phones,5598.011799999998,31527.99000000001
October,Technology,Phones,3949.605600000001,23117.216000000004
November,Technology,Phones,6752.797699999998,50230.42999999998
December,Technology,Phones,4364.670899999999,32574.322000000007
