Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.State,Orders.Country,Orders.City,Sum(Orders.Quantity),Sum(Orders.Sales)
2014,Consumer,California,United States,Costa Mesa,,
2015,Consumer,California,United States,Costa Mesa,3,29.22
2016,Consumer,California,United States,Costa Mesa,23,686.2439999999999
2017,Consumer,California,United States,Costa Mesa,10,504.496
2014,Consumer,California,United States,Davis,,
2015,Consumer,California,United States,Davis,,
2016,Consumer,California,United States,Davis,5,32.400000000000006
2017,Consumer,California,United States,Davis,,
2014,Consumer,California,United States,Dublin,,
2015,Consumer,California,United States,Dublin,,
2016,Consumer,California,United States,Dublin,,
2017,Consumer,California,United States,Dublin,5,22
2014,Consumer,California,United States,Encinitas,,
2015,Consumer,California,United States,Encinitas,,
2016,Consumer,California,United States,Encinitas,8,305.49600000000004
2017,Consumer,California,United States,Encinitas,5,286.485
2014,Consumer,California,United States,Escondido,3,53.94
2015,Consumer,California,United States,Escondido,,
2016,Consumer,California,United States,Escondido,,
2017,Consumer,California,United States,Escondido,,
2014,Consumer,California,United States,Huntington Beach,,
2015,Consumer,California,United States,Huntington Beach,,
2016,Consumer,California,United States,Huntington Beach,,
2017,Consumer,California,United States,Huntington Beach,8,95.92
2014,Consumer,California,United States,Inglewood,,
2015,Consumer,California,United States,Inglewood,,
2016,Consumer,California,United States,Inglewood,,
2017,Consumer,California,United States,Inglewood,24,492.736
2014,Consumer,California,United States,Lake Elsinore,,
2015,Consumer,California,United States,Lake Elsinore,5,283.92
2016,Consumer,California,United States,Lake Elsinore,,
2017,Consumer,California,United States,Lake Elsinore,,
2014,Consumer,California,United States,Lake Forest,,
2015,Consumer,California,United States,Lake Forest,,
2016,Consumer,California,United States,Lake Forest,,
2017,Consumer,California,United States,Lake Forest,7,597.8599999999999
2014,Consumer,California,United States,Lakewood,,
2015,Consumer,California,United States,Lakewood,11,41.98
2016,Consumer,California,United States,Lakewood,3,257.499
2017,Consumer,California,United States,Lakewood,5,94.2
2014,Consumer,California,United States,Lancaster,,
2015,Consumer,California,United States,Lancaster,7,359.82800000000003
2016,Consumer,California,United States,Lancaster,,
2017,Consumer,California,United States,Lancaster,2,17.456
2014,Consumer,California,United States,Lodi,,
2015,Consumer,California,United States,Lodi,,
2016,Consumer,California,United States,Lodi,,
2017,Consumer,California,United States,Lodi,7,97.3
2014,Consumer,California,United States,Long Beach,,
2015,Consumer,California,United States,Long Beach,34,1021.4460000000001
2016,Consumer,California,United States,Long Beach,25,1059.088
2017,Consumer,California,United States,Long Beach,22,332.8
2014,Consumer,California,United States,Los Angeles,222,13886.478000000005
2015,Consumer,California,United States,Los Angeles,370,28752.404
2016,Consumer,California,United States,Los Angeles,435,26854.938999999995
2017,Consumer,California,United States,Los Angeles,485,20182.819500000005
2014,Consumer,California,United States,Mission Viejo,2,290.666
2015,Consumer,California,United States,Mission Viejo,,
2016,Consumer,California,United States,Mission Viejo,7,128.67
2017,Consumer,California,United States,Mission Viejo,9,356.65
2014,Consumer,California,United States,Modesto,,
2015,Consumer,California,United States,Modesto,,
2016,Consumer,California,United States,Modesto,,
2017,Consumer,California,United States,Modesto,9,273.358
2014,Consumer,California,United States,Moreno Valley,3,19.44
2015,Consumer,California,United States,Moreno Valley,11,68.28
2016,Consumer,California,United States,Moreno Valley,10,884.6800000000001
2017,Consumer,California,United States,Moreno Valley,,
2014,Consumer,California,United States,Morgan Hill,,
2015,Consumer,California,United States,Morgan Hill,,
2016,Consumer,California,United States,Morgan Hill,16,545.01
2017,Consumer,California,United States,Morgan Hill,,
2014,Consumer,California,United States,Murrieta,,
2015,Consumer,California,United States,Murrieta,3,484.65000000000003
2016,Consumer,California,United States,Murrieta,,
2017,Consumer,California,United States,Murrieta,,
2014,Consumer,California,United States,Oakland,12,180.69
2015,Consumer,California,United States,Oakland,20,819.3940000000001
2016,Consumer,California,United States,Oakland,3,479.97
2017,Consumer,California,United States,Oakland,34,1529.6100000000001
2014,Consumer,California,United States,Oceanside,,
2015,Consumer,California,United States,Oceanside,2,204.6
2016,Consumer,California,United States,Oceanside,,
2017,Consumer,California,United States,Oceanside,10,60.08
2014,Consumer,California,United States,Ontario,,
2015,Consumer,California,United States,Ontario,,
2016,Consumer,California,United States,Ontario,,
2017,Consumer,California,United States,Ontario,5,283.92
2014,Consumer,California,United States,Oxnard,3,127.94999999999999
2015,Consumer,California,United States,Oxnard,,
2016,Consumer,California,United States,Oxnard,,
2017,Consumer,California,United States,Oxnard,5,82.95
2014,Consumer,California,United States,Pasadena,6,465.48800000000006
2015,Consumer,California,United States,Pasadena,10,842.2819999999999
2016,Consumer,California,United States,Pasadena,26,849.9199999999998
2017,Consumer,California,United States,Pasadena,34,845.1339999999999
2014,Consumer,California,United States,Pomona,7,118.73
2015,Consumer,California,United States,Pomona,10,942.3520000000001
2016,Consumer,California,United States,Pomona,,
2017,Consumer,California,United States,Pomona,,
2014,Consumer,California,United States,Rancho Cucamonga,3,34.272
2015,Consumer,California,United States,Rancho Cucamonga,,
2016,Consumer,California,United States,Rancho Cucamonga,,
2017,Consumer,California,United States,Rancho Cucamonga,9,191.82
2014,Consumer,California,United States,Redding,3,333.576
2015,Consumer,California,United States,Redding,,
2016,Consumer,California,United States,Redding,,
2017,Consumer,California,United States,Redding,,
2014,Consumer,California,United States,Redlands,,
2015,Consumer,California,United States,Redlands,38,2752.161
2016,Consumer,California,United States,Redlands,16,124.58
2017,Consumer,California,United States,Redlands,,
2014,Consumer,California,United States,Redondo Beach,1,7.64
2015,Consumer,California,United States,Redondo Beach,,
2016,Consumer,California,United States,Redondo Beach,6,112.12
2017,Consumer,California,United States,Redondo Beach,,
2014,Consumer,California,United States,Riverside,,
2015,Consumer,California,United States,Riverside,,
2016,Consumer,California,United States,Riverside,7,36.744
2017,Consumer,California,United States,Riverside,,
2014,Consumer,California,United States,Roseville,3,7.98
2015,Consumer,California,United States,Roseville,3,19.44
2016,Consumer,California,United States,Roseville,38,264.51599999999996
2017,Consumer,California,United States,Roseville,3,17.31
2014,Consumer,California,United States,Sacramento,1,120.71199999999999
2015,Consumer,California,United States,Sacramento,,
2016,Consumer,California,United States,Sacramento,3,41.99
2017,Consumer,California,United States,Sacramento,,
2014,Consumer,California,United States,San Bernardino,,
2015,Consumer,California,United States,San Bernardino,29,868.772
2016,Consumer,California,United States,San Bernardino,,
2017,Consumer,California,United States,San Bernardino,,
2014,Consumer,California,United States,San Clemente,,
2015,Consumer,California,United States,San Clemente,,
2016,Consumer,California,United States,San Clemente,10,90.05799999999999
2017,Consumer,California,United States,San Clemente,,
2014,Consumer,California,United States,San Diego,104,6902.508000000001
2015,Consumer,California,United States,San Diego,150,7864.5700000000015
2016,Consumer,California,United States,San Diego,81,12885.052
2017,Consumer,California,United States,San Diego,57,1741.4780000000003
2014,Consumer,California,United States,San Francisco,276,21752.008999999995
2015,Consumer,California,United States,San Francisco,110,6588.7210000000005
2016,Consumer,California,United States,San Francisco,209,12813.023000000001
2017,Consumer,California,United States,San Francisco,409,18041.346000000005
2014,Consumer,California,United States,San Jose,25,1991.6740000000004
2015,Consumer,California,United States,San Jose,5,526.88
2016,Consumer,California,United States,San Jose,41,1181.33
2017,Consumer,California,United States,San Jose,35,1100.207
2014,Consumer,California,United States,San Luis Obispo,,
2015,Consumer,California,United States,San Luis Obispo,,
2016,Consumer,California,United States,San Luis Obispo,2,3.62
2017,Consumer,California,United States,San Luis Obispo,,
2014,Consumer,California,United States,San Mateo,,
2015,Consumer,California,United States,San Mateo,,
2016,Consumer,California,United States,San Mateo,,
2017,Consumer,California,United States,San Mateo,6,75.17999999999999
2014,Consumer,California,United States,Santa Ana,,
2015,Consumer,California,United States,Santa Ana,,
2016,Consumer,California,United States,Santa Ana,24,1265.188
2017,Consumer,California,United States,Santa Ana,13,1861.27
2014,Consumer,California,United States,Santa Barbara,,
2015,Consumer,California,United States,Santa Barbara,,
2016,Consumer,California,United States,Santa Barbara,,
2017,Consumer,California,United States,Santa Barbara,7,356.78999999999996
2014,Consumer,California,United States,Santa Clara,,
2015,Consumer,California,United States,Santa Clara,,
2016,Consumer,California,United States,Santa Clara,10,79.792
2017,Consumer,California,United States,Santa Clara,,
2014,Consumer,California,United States,Santa Maria,,
2015,Consumer,California,United States,Santa Maria,3,115.44
2016,Consumer,California,United States,Santa Maria,,
2017,Consumer,California,United States,Santa Maria,,
2014,Consumer,California,United States,Stockton,,
2015,Consumer,California,United States,Stockton,,
2016,Consumer,California,United States,Stockton,11,215.24
2017,Consumer,California,United States,Stockton,6,108.80000000000001
2014,Consumer,California,United States,Temecula,,
2015,Consumer,California,United States,Temecula,14,808.6660000000002
2016,Consumer,California,United States,Temecula,,
2017,Consumer,California,United States,Temecula,,
2014,Consumer,California,United States,Thousand Oaks,,
2015,Consumer,California,United States,Thousand Oaks,2,15.984000000000002
2016,Consumer,California,United States,Thousand Oaks,,
2017,Consumer,California,United States,Thousand Oaks,,
2014,Consumer,California,United States,Vacaville,11,423.28
2015,Consumer,California,United States,Vacaville,,
2016,Consumer,California,United States,Vacaville,,
2017,Consumer,California,United States,Vacaville,,
2014,Consumer,California,United States,Vallejo,13,156.786
2015,Consumer,California,United States,Vallejo,,
2016,Consumer,California,United States,Vallejo,,
2017,Consumer,California,United States,Vallejo,,
2014,Consumer,California,United States,Visalia,,
2015,Consumer,California,United States,Visalia,,
2016,Consumer,California,United States,Visalia,12,310.86
2017,Consumer,California,United States,Visalia,,
2014,Consumer,California,United States,Westminster,,
2015,Consumer,California,United States,Westminster,,
2016,Consumer,California,United States,Westminster,,
2017,Consumer,California,United States,Westminster,50,3826.646
2014,Consumer,California,United States,Whittier,,
2015,Consumer,California,United States,Whittier,,
2016,Consumer,California,United States,Whittier,,
2017,Consumer,California,United States,Whittier,4,444.76800000000003
2014,Consumer,California,United States,Woodland,,
2015,Consumer,California,United States,Woodland,,
2016,Consumer,California,United States,Woodland,2,239.98400000000004
2017,Consumer,California,United States,Woodland,,
2014,Consumer,Connecticut,United States,Bristol,8,121.24
2015,Consumer,Connecticut,United States,Bristol,,
2016,Consumer,Connecticut,United States,Bristol,,
2017,Consumer,Connecticut,United States,Bristol,,
2014,Consumer,Connecticut,United States,Fairfield,23,951.31
2015,Consumer,Connecticut,United States,Fairfield,,
2016,Consumer,Connecticut,United States,Fairfield,13,1028.9569999999999
2017,Consumer,Connecticut,United States,Fairfield,18,960.8100000000001
2014,Consumer,Connecticut,United States,Manchester,,
2015,Consumer,Connecticut,United States,Manchester,6,93.78999999999999
2016,Consumer,Connecticut,United States,Manchester,,
2017,Consumer,Connecticut,United States,Manchester,19,853.22
2014,Consumer,Connecticut,United States,Meriden,5,21.400000000000002
2015,Consumer,Connecticut,United States,Meriden,5,63.14
2016,Consumer,Connecticut,United States,Meriden,,
2017,Consumer,Connecticut,United States,Meriden,8,237.64
2014,Consumer,Connecticut,United States,Middletown,2,27.46
2015,Consumer,Connecticut,United States,Middletown,,
2016,Consumer,Connecticut,United States,Middletown,4,552.56
2017,Consumer,Connecticut,United States,Middletown,7,317.58
2014,Consumer,Connecticut,United States,Milford,,
2015,Consumer,Connecticut,United States,Milford,,
2016,Consumer,Connecticut,United States,Milford,11,67.32000000000001
2017,Consumer,Connecticut,United States,Milford,,
2014,Consumer,Connecticut,United States,Norwich,,
2015,Consumer,Connecticut,United States,Norwich,3,370.14
2016,Consumer,Connecticut,United States,Norwich,,
2017,Consumer,Connecticut,United States,Norwich,2,10.36
2014,Consumer,Connecticut,United States,Waterbury,,
2015,Consumer,Connecticut,United States,Waterbury,,
2016,Consumer,Connecticut,United States,Waterbury,13,253.03000000000003
2017,Consumer,Connecticut,United States,Waterbury,2,3.52
2014,Consumer,Delaware,United States,Dover,10,74.26
2015,Consumer,Delaware,United States,Dover,5,96.1
2016,Consumer,Delaware,United States,Dover,5,66.8
2017,Consumer,Delaware,United States,Dover,,
2014,Consumer,Delaware,United States,Newark,17,114.65
2015,Consumer,Delaware,United States,Newark,20,840.0999999999999
2016,Consumer,Delaware,United States,Newark,41,1817.47
2017,Consumer,Delaware,United States,Newark,16,10756.85
2014,Consumer,Delaware,United States,Wilmington,,
2015,Consumer,Delaware,United States,Wilmington,35,1979.06
2016,Consumer,Delaware,United States,Wilmington,29,487.49999999999994
2017,Consumer,Delaware,United States,Wilmington,8,728.9730000000001
2014,Consumer,District of Columbia,United States,Washington,,
2015,Consumer,District of Columbia,United States,Washington,14,2670.1899999999996
2016,Consumer,District of Columbia,United States,Washington,10,83.15
2017,Consumer,District of Columbia,United States,Washington,,
2014,Consumer,Florida,United States,Apopka,18,193.152
2015,Consumer,Florida,United States,Apopka,,
2016,Consumer,Florida,United States,Apopka,,
2017,Consumer,Florida,United States,Apopka,,
2014,Consumer,Florida,United States,Boca Raton,2,4.608
2015,Consumer,Florida,United States,Boca Raton,,
2016,Consumer,Florida,United States,Boca Raton,6,58.400000000000006
2017,Consumer,Florida,United States,Boca Raton,,
2014,Consumer,Florida,United States,Boynton Beach,3,15.552000000000003
2015,Consumer,Florida,United States,Boynton Beach,,
2016,Consumer,Florida,United States,Boynton Beach,13,314.39300000000003
2017,Consumer,Florida,United States,Boynton Beach,4,107.55200000000002
2014,Consumer,Florida,United States,Daytona Beach,,
2015,Consumer,Florida,United States,Daytona Beach,10,272.3315
2016,Consumer,Florida,United States,Daytona Beach,,
2017,Consumer,Florida,United States,Daytona Beach,,
2014,Consumer,Florida,United States,Delray Beach,3,9.912
2015,Consumer,Florida,United States,Delray Beach,,
2016,Consumer,Florida,United States,Delray Beach,,
2017,Consumer,Florida,United States,Delray Beach,,
2014,Consumer,Florida,United States,Deltona,4,186.304
2015,Consumer,Florida,United States,Deltona,3,107.97600000000001
2016,Consumer,Florida,United States,Deltona,,
2017,Consumer,Florida,United States,Deltona,,
2014,Consumer,Florida,United States,Fort Lauderdale,,
2015,Consumer,Florida,United States,Fort Lauderdale,7,979.9455
2016,Consumer,Florida,United States,Fort Lauderdale,12,455.5470000000001
2017,Consumer,Florida,United States,Fort Lauderdale,8,743.024
2014,Consumer,Florida,United States,Hollywood,14,580.6880000000001
2015,Consumer,Florida,United States,Hollywood,7,37.456
2016,Consumer,Florida,United States,Hollywood,6,32.064
2017,Consumer,Florida,United States,Hollywood,,
2014,Consumer,Florida,United States,Homestead,,
2015,Consumer,Florida,United States,Homestead,,
2016,Consumer,Florida,United States,Homestead,3,85.224
2017,Consumer,Florida,United States,Homestead,2,47.328
2014,Consumer,Florida,United States,Jacksonville,14,471.44900000000007
2015,Consumer,Florida,United States,Jacksonville,8,1814.46
2016,Consumer,Florida,United States,Jacksonville,16,914.0400000000002
2017,Consumer,Florida,United States,Jacksonville,35,5121.932
2014,Consumer,Florida,United States,Jupiter,,
2015,Consumer,Florida,United States,Jupiter,,
2016,Consumer,Florida,United States,Jupiter,,
2017,Consumer,Florida,United States,Jupiter,1,2.064
2014,Consumer,Florida,United States,Kissimmee,,
2015,Consumer,Florida,United States,Kissimmee,,
2016,Consumer,Florida,United States,Kissimmee,,
2017,Consumer,Florida,United States,Kissimmee,2,751.984
2014,Consumer,Florida,United States,Lakeland,2,479.98400000000004
2015,Consumer,Florida,United States,Lakeland,11,78.456
2016,Consumer,Florida,United States,Lakeland,,
2017,Consumer,Florida,United States,Lakeland,,
2014,Consumer,Florida,United States,Margate,3,15.552000000000003
2015,Consumer,Florida,United States,Margate,,
2016,Consumer,Florida,United States,Margate,,
2017,Consumer,Florida,United States,Margate,,
2014,Consumer,Florida,United States,Miami,32,1504.5305000000003
2015,Consumer,Florida,United States,Miami,50,836.748
2016,Consumer,Florida,United States,Miami,8,1466.32
2017,Consumer,Florida,United States,Miami,19,1218.2060000000001
2014,Consumer,Florida,United States,Miramar,,
2015,Consumer,Florida,United States,Miramar,,
2016,Consumer,Florida,United States,Miramar,,
2017,Consumer,Florida,United States,Miramar,8,559.2
2014,Consumer,Florida,United States,North Miami,3,7.6320000000000014
2015,Consumer,Florida,United States,North Miami,3,14.496000000000002
2016,Consumer,Florida,United States,North Miami,,
2017,Consumer,Florida,United States,North Miami,,
2014,Consumer,Florida,United States,Orlando,,
2015,Consumer,Florida,United States,Orlando,3,87.168
2016,Consumer,Florida,United States,Orlando,,
2017,Consumer,Florida,United States,Orlando,12,1051.4780000000003
2014,Consumer,Florida,United States,Ormond Beach,,
2015,Consumer,Florida,United States,Ormond Beach,,
2016,Consumer,Florida,United States,Ormond Beach,,
2017,Consumer,Florida,United States,Ormond Beach,3,2.8080000000000007
2014,Consumer,Florida,United States,Palm Coast,,
2015,Consumer,Florida,United States,Palm Coast,,
2016,Consumer,Florida,United States,Palm Coast,,
2017,Consumer,Florida,United States,Palm Coast,4,24.448
2014,Consumer,Florida,United States,Pembroke Pines,,
2015,Consumer,Florida,United States,Pembroke Pines,6,459.43350000000004
2016,Consumer,Florida,United States,Pembroke Pines,11,24.066
2017,Consumer,Florida,United States,Pembroke Pines,30,1230.8760000000002
2014,Consumer,Florida,United States,Pensacola,,
2015,Consumer,Florida,United States,Pensacola,,
2016,Consumer,Florida,United States,Pensacola,3,2.2140000000000004
2017,Consumer,Florida,United States,Pensacola,,
2014,Consumer,Florida,United States,Plantation,,
2015,Consumer,Florida,United States,Plantation,16,598.352
2016,Consumer,Florida,United States,Plantation,,
2017,Consumer,Florida,United States,Plantation,,
2014,Consumer,Florida,United States,Port Orange,,
2015,Consumer,Florida,United States,Port Orange,,
2016,Consumer,Florida,United States,Port Orange,,
2017,Consumer,Florida,United States,Port Orange,1,7.824
2014,Consumer,Florida,United States,Port Saint Lucie,,
2015,Consumer,Florida,United States,Port Saint Lucie,,
2016,Consumer,Florida,United States,Port Saint Lucie,2,2.6940000000000004
2017,Consumer,Florida,United States,Port Saint Lucie,4,14.336000000000002
2014,Consumer,Florida,United States,Saint Petersburg,9,231.28000000000003
2015,Consumer,Florida,United States,Saint Petersburg,,
2016,Consumer,Florida,United States,Saint Petersburg,,
2017,Consumer,Florida,United States,Saint Petersburg,2,17.088
2014,Consumer,Florida,United States,Tallahassee,,
2015,Consumer,Florida,United States,Tallahassee,3,8.226
2016,Consumer,Florida,United States,Tallahassee,9,1401.2440000000001
2017,Consumer,Florida,United States,Tallahassee,33,4617.064000000001
2014,Consumer,Florida,United States,Tampa,48,2158.923
2015,Consumer,Florida,United States,Tampa,6,133.56
2016,Consumer,Florida,United States,Tampa,5,38.19000000000001
2017,Consumer,Florida,United States,Tampa,2,7.904000000000001
2014,Consumer,Florida,United States,West Palm Beach,,
2015,Consumer,Florida,United States,West Palm Beach,2,55.98400000000001
2016,Consumer,Florida,United States,West Palm Beach,4,72.224
2017,Consumer,Florida,United States,West Palm Beach,,
2014,Consumer,Georgia,United States,Athens,15,1220.67
2015,Consumer,Georgia,United States,Athens,,
2016,Consumer,Georgia,United States,Athens,6,201.26999999999998
2017,Consumer,Georgia,United States,Athens,,
2014,Consumer,Georgia,United States,Atlanta,18,256.48
2015,Consumer,Georgia,United States,Atlanta,52,7755.0599999999995
2016,Consumer,Georgia,United States,Atlanta,22,2047.3400000000004
2017,Consumer,Georgia,United States,Atlanta,37,2608.81
2014,Consumer,Georgia,United States,Columbus,9,83.72999999999999
2015,Consumer,Georgia,United States,Columbus,20,508.29999999999995
2016,Consumer,Georgia,United States,Columbus,42,1893.17
2017,Consumer,Georgia,United States,Columbus,32,4167.99
2014,Consumer,Georgia,United States,Macon,7,149.56
2015,Consumer,Georgia,United States,Macon,4,58.72
2016,Consumer,Georgia,United States,Macon,,
2017,Consumer,Georgia,United States,Macon,,
2014,Consumer,Georgia,United States,Marietta,,
2015,Consumer,Georgia,United States,Marietta,3,5.64
2016,Consumer,Georgia,United States,Marietta,,
2017,Consumer,Georgia,United States,Marietta,,
2014,Consumer,Georgia,United States,Roswell,12,755.4199999999998
2015,Consumer,Georgia,United States,Roswell,25,1049.1299999999999
2016,Consumer,Georgia,United States,Roswell,,
2017,Consumer,Georgia,United States,Roswell,,
2014,Consumer,Georgia,United States,Sandy Springs,,
2015,Consumer,Georgia,United States,Sandy Springs,,
2016,Consumer,Georgia,United States,Sandy Springs,10,1302.83
2017,Consumer,Georgia,United States,Sandy Springs,,
2014,Consumer,Georgia,United States,Smyrna,,
2015,Consumer,Georgia,United States,Smyrna,,
2016,Consumer,Georgia,United States,Smyrna,4,17.92
2017,Consumer,Georgia,United States,Smyrna,8,36.57
2014,Consumer,Georgia,United States,Warner Robins,,
2015,Consumer,Georgia,United States,Warner Robins,,
2016,Consumer,Georgia,United States,Warner Robins,7,41.86
2017,Consumer,Georgia,United States,Warner Robins,,
2014,Consumer,Georgia,United States,Woodstock,16,286.65000000000003
2015,Consumer,Georgia,United States,Woodstock,,
2016,Consumer,Georgia,United States,Woodstock,,
2017,Consumer,Georgia,United States,Woodstock,,
2014,Consumer,Idaho,United States,Boise,,
2015,Consumer,Idaho,United States,Boise,,
2016,Consumer,Idaho,United States,Boise,,
2017,Consumer,Idaho,United States,Boise,3,89.97
2014,Consumer,Idaho,United States,Lewiston,1,9.584000000000001
2015,Consumer,Idaho,United States,Lewiston,,
2016,Consumer,Idaho,United States,Lewiston,,
2017,Consumer,Idaho,United States,Lewiston,,
2014,Consumer,Idaho,United States,Pocatello,,
2015,Consumer,Idaho,United States,Pocatello,7,495.736
2016,Consumer,Idaho,United States,Pocatello,6,34.68
2017,Consumer,Idaho,United States,Pocatello,12,814.5260000000001
2014,Consumer,Illinois,United States,Arlington Heights,,
2015,Consumer,Illinois,United States,Arlington Heights,,
2016,Consumer,Illinois,United States,Arlington Heights,6,14.111999999999998
2017,Consumer,Illinois,United States,Arlington Heights,,
2014,Consumer,Illinois,United States,Aurora,3,268.935
2015,Consumer,Illinois,United States,Aurora,5,349.082
2016,Consumer,Illinois,United States,Aurora,6,186.048
2017,Consumer,Illinois,United States,Aurora,23,3230.053
2014,Consumer,Illinois,United States,Bloomington,6,617.7
2015,Consumer,Illinois,United States,Bloomington,14,252.088
2016,Consumer,Illinois,United States,Bloomington,,
2017,Consumer,Illinois,United States,Bloomington,3,39.816
2014,Consumer,Illinois,United States,Bolingbrook,,
2015,Consumer,Illinois,United States,Bolingbrook,16,59.848000000000006
2016,Consumer,Illinois,United States,Bolingbrook,,
2017,Consumer,Illinois,United States,Bolingbrook,2,148.48
2014,Consumer,Illinois,United States,Buffalo Grove,10,831.399
2015,Consumer,Illinois,United States,Buffalo Grove,,
2016,Consumer,Illinois,United States,Buffalo Grove,,
2017,Consumer,Illinois,United States,Buffalo Grove,,
2014,Consumer,Illinois,United States,Carol Stream,,
2015,Consumer,Illinois,United States,Carol Stream,18,1305.81
2016,Consumer,Illinois,United States,Carol Stream,,
2017,Consumer,Illinois,United States,Carol Stream,,
2014,Consumer,Illinois,United States,Champaign,,
2015,Consumer,Illinois,United States,Champaign,5,151.96
2016,Consumer,Illinois,United States,Champaign,,
2017,Consumer,Illinois,United States,Champaign,,
2014,Consumer,Illinois,United States,Chicago,189,7949.391999999998
2015,Consumer,Illinois,United States,Chicago,98,3300.505000000001
2016,Consumer,Illinois,United States,Chicago,161,8643.927000000001
2017,Consumer,Illinois,United States,Chicago,179,5239.979
2014,Consumer,Illinois,United States,Des Plaines,20,1109.3719999999998
2015,Consumer,Illinois,United States,Des Plaines,,
2016,Consumer,Illinois,United States,Des Plaines,,
2017,Consumer,Illinois,United States,Des Plaines,4,383.84000000000003
2014,Consumer,Illinois,United States,Evanston,3,258.279
2015,Consumer,Illinois,United States,Evanston,7,1483.528
