P&L_Template.Period.Variation.Date Hierarchy.Day,P&L_Template.Period.Variation.Date Hierarchy.Month,P&L_Template.Period.Variation.Date Hierarchy.Quarter,P&L_Template.Period.Variation.Date Hierarchy.Year,P&L_Template.Region,P&L_Template.Business Unit,P&L_Template.Product Category,P&L_Template.Product,P&L_Template.GL Account,Sum(P&L_Template.2022),Sum(P&L_Template.2021)
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Units Sold,355,342
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Units Sold,348,374
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Units Sold,424,446
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Units Sold,357,446
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Units Sold,312,392
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Units Sold,308,433
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Units Sold,392,301
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Units Sold,383,322
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Units Sold,399,416
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Units Sold,436,319
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1278,1248
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1279,1267
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1143,1155
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1191,1100
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1102,1210
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1161,1180
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1056,1044
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1083,1281
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1267,1144
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1211,1123
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1098,1029
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Cost of Sales,1218,1292
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Other Costs,797,779
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Other Costs,714,779
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Other Costs,838,703
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Other Costs,828,717
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Other Costs,712,745
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Other Costs,714,817
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Other Costs,812,752
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Other Costs,842,772
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Other Costs,809,757
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Other Costs,814,805
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Other Costs,756,753
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Other Costs,824,801
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Other Income,8555,8869
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Other Income,8779,9392
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Other Income,8755,9897
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Other Income,8271,9971
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Other Income,8538,8465
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Other Income,9109,9040
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Other Income,8448,8798
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Other Income,8185,9471
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Other Income,9113,8346
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Other Income,8024,8136
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Other Income,9754,9280
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Other Income,8890,8119
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Selling Price,18,16
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Selling Price,23,19
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Selling Price,21,20
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Selling Price,19,15
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Selling Price,20,18
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Selling Price,22,19
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Selling Price,22,19
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Selling Price,23,15
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Selling Price,20,20
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Selling Price,20,20
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Selling Price,21,20
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Selling Price,18,15
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Units Sold,384,342
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Units Sold,429,445
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Orange,Units Sold,389,366
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Units Sold,326,369
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Units Sold,415,388
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Orange,Units Sold,339,381
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Units Sold,323,421
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Units Sold,419,345
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Orange,Units Sold,359,414
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Units Sold,380,326
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Units Sold,418,308
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Orange,Units Sold,370,338
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2652,2736
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2982,2918
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2755,2754
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2897,2665
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2855,2722
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2516,2770
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2594,2529
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2874,2918
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2911,2722
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2734,2668
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2924,2534
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Men,Cost of Sales,2597,2551
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Men,Discount %,9,10
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Men,Discount %,9,10
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Men,Discount %,11,11
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Men,Discount %,9,8
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Men,Discount %,8,12
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Men,Discount %,9,10
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Men,Discount %,11,9
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Men,Discount %,11,9
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Men,Discount %,12,10
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Men,Discount %,8,11
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Men,Discount %,9,10
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Men,Discount %,13,10
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Men,Other Costs,332,346
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Men,Other Costs,320,329
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Men,Other Costs,308,301
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Men,Other Costs,302,342
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Men,Other Costs,347,322
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Men,Other Costs,312,314
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Men,Other Costs,310,326
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Men,Other Costs,350,300
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Men,Other Costs,324,341
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Men,Other Costs,323,334
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Men,Other Costs,317,300
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Men,Other Costs,348,325
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Men,Other Income,8301,8575
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Men,Other Income,9699,9033
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Men,Other Income,9729,8389
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Men,Other Income,9392,9069
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Men,Other Income,9424,9149
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Men,Other Income,9520,8678
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Men,Other Income,9419,9537
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Men,Other Income,9204,8048
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Men,Other Income,9930,8495
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Men,Other Income,8344,8365
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Men,Other Income,9320,8940
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Men,Other Income,8802,9365
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Men,Selling Price,216,243
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Men,Selling Price,443,383
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Men,Selling Price,403,306
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Men,Selling Price,284,220
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Men,Selling Price,209,232
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Men,Selling Price,411,229
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Men,Selling Price,383,358
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Men,Selling Price,297,433
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Men,Selling Price,288,296
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Men,Selling Price,463,481
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Men,Selling Price,372,404
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Men,Selling Price,253,252
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Men,Units Sold,105,121
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Men,Units Sold,128,105
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Men,Units Sold,129,113
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Men,Units Sold,117,113
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Men,Units Sold,117,103
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Men,Units Sold,121,109
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Men,Units Sold,122,108
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Men,Units Sold,113,115
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Men,Units Sold,120,110
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Men,Units Sold,118,110
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Men,Units Sold,129,111
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Men,Units Sold,110,100
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2689,2596
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2724,2994
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2808,2635
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2664,2577
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2905,2711
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2516,2927
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2781,2722
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2939,2920
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2788,2997
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2996,2742
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2789,2569
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Women,Cost of Sales,2599,2752
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Women,Discount %,8,11
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Women,Discount %,13,10
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Women,Discount %,11,12
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Women,Discount %,13,11
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Women,Discount %,8,13
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Women,Discount %,10,13
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Women,Discount %,11,12
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Women,Discount %,8,9
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Women,Discount %,9,10
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Women,Discount %,10,11
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Women,Discount %,10,13
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Women,Discount %,10,11
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Women,Other Costs,344,309
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Women,Other Costs,314,310
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Women,Other Costs,339,350
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Women,Other Costs,341,303
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Women,Other Costs,312,345
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Women,Other Costs,330,338
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Women,Other Costs,313,336
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Women,Other Costs,332,300
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Women,Other Costs,337,305
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Women,Other Costs,325,319
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Women,Other Costs,336,326
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Women,Other Costs,314,326
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Women,Other Income,9087,8326
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Women,Other Income,8168,9373
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Women,Other Income,9230,9259
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Women,Other Income,9915,8286
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Women,Other Income,9914,8399
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Women,Other Income,9356,9159
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Women,Other Income,8828,9943
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Women,Other Income,9697,8534
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Women,Other Income,8698,9951
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Women,Other Income,8604,8251
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Women,Other Income,9964,8284
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Women,Other Income,8041,8298
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Women,Selling Price,201,474
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Women,Selling Price,279,426
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Women,Selling Price,293,488
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Women,Selling Price,306,383
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Women,Selling Price,493,232
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Women,Selling Price,416,358
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Women,Selling Price,247,274
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Women,Selling Price,287,287
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Women,Selling Price,259,364
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Women,Selling Price,483,206
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Women,Selling Price,354,310
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Women,Selling Price,349,425
1,January,Qtr 1,2019,Asia,BU 2,Clothing,Women,Units Sold,123,116
1,February,Qtr 1,2019,Asia,BU 2,Clothing,Women,Units Sold,101,129
1,March,Qtr 1,2019,Asia,BU 2,Clothing,Women,Units Sold,100,128
1,April,Qtr 2,2019,Asia,BU 2,Clothing,Women,Units Sold,107,112
1,May,Qtr 2,2019,Asia,BU 2,Clothing,Women,Units Sold,104,100
1,June,Qtr 2,2019,Asia,BU 2,Clothing,Women,Units Sold,100,117
1,July,Qtr 3,2019,Asia,BU 2,Clothing,Women,Units Sold,103,103
1,August,Qtr 3,2019,Asia,BU 2,Clothing,Women,Units Sold,129,130
1,September,Qtr 3,2019,Asia,BU 2,Clothing,Women,Units Sold,122,102
1,October,Qtr 4,2019,Asia,BU 2,Clothing,Women,Units Sold,130,101
1,November,Qtr 4,2019,Asia,BU 2,Clothing,Women,Units Sold,130,111
1,December,Qtr 4,2019,Asia,BU 2,Clothing,Women,Units Sold,106,114
1,January,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1258,1264
1,February,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1028,1171
1,March,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1176,1262
1,April,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1211,1259
1,May,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1130,1079
1,June,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1014,1027
1,July,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1206,1198
1,August,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1172,1171
1,September,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1194,1108
1,October,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1024,1093
1,November,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1263,1276
1,December,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Cost of Sales,1192,1035
1,January,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Other Costs,775,729
1,February,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Other Costs,755,813
1,March,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Other Costs,821,715
1,April,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Other Costs,792,849
1,May,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Other Costs,716,816
1,June,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Other Costs,813,815
1,July,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Other Costs,715,752
1,August,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Other Costs,809,845
1,September,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Other Costs,722,806
1,October,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Other Costs,707,783
1,November,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Other Costs,797,779
1,December,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Other Costs,764,824
1,January,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Other Income,8373,8268
1,February,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Other Income,8219,9655
1,March,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Other Income,9684,8988
1,April,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Other Income,9923,9984
1,May,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Other Income,8785,8123
1,June,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Other Income,9274,8808
1,July,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Other Income,9986,9624
1,August,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Other Income,9884,9752
1,September,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Other Income,9236,9425
1,October,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Other Income,9534,9874
1,November,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Other Income,9865,9567
1,December,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Other Income,9446,8498
1,January,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Selling Price,54,66
1,February,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Selling Price,56,54
1,March,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Selling Price,68,63
1,April,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Selling Price,60,54
1,May,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Selling Price,61,53
1,June,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Selling Price,51,69
1,July,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Selling Price,59,50
1,August,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Selling Price,70,64
1,September,Qtr 3,2019,Europe,BU 1,Dairy,Cheese,Selling Price,51,60
1,October,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Selling Price,69,53
1,November,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Selling Price,55,58
1,December,Qtr 4,2019,Europe,BU 1,Dairy,Cheese,Selling Price,61,55
1,January,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Units Sold,114,120
1,February,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Units Sold,117,108
1,March,Qtr 1,2019,Europe,BU 1,Dairy,Cheese,Units Sold,100,111
1,April,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Units Sold,102,110
1,May,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Units Sold,108,102
1,June,Qtr 2,2019,Europe,BU 1,Dairy,Cheese,Units Sold,114,108
