Fifty Thousand Report.Column.Variation.Date Hierarchy.Month,Fifty Thousand Report.Column.Variation.Date Hierarchy.Quarter,Fifty Thousand Report.Column.Variation.Date Hierarchy.Year,Fifty Thousand Report.Appliances,Fifty Thousand Report.Office Suppliers,Fifty Thousand Report.Performance,Fifty Thousand Report.Sales,Sum(Fifty Thousand Report.Series 2),Sum(Fifty Thousand Report.Series 3),Sum(Fifty Thousand Report.Series 4),Sum(Fifty Thousand Report.Series 5),Sum(Fifty Thousand Report.Series 1)
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0003,570904.5200169999,520422.77792430006,701517.4485945998,620618.9711945,506651.32237
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0004,677269.0978299999,588259.624021,611715.1159342,639049.62972,588980.985949
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0004,642623.534235,505002.9218950001,487237.31120099995,460872.48096099996,636365.1234490001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0004,435176.22702260007,397361.62407900003,579809.123203,696571.32851,416085.38105900004
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0005,795870.15624,588448.264992,648237.2596750001,701613.5295579999,619923.073446
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0005,664318.263575,502208.99225699995,722089.675947,436594.17657400004,695494.4885
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0005,506138.10008799995,580987.860385,619289.030957,736119.92245,484770.23699199996
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0006,485986.0158653001,601845.019287,731573.4771299999,671894.9751050001,685568.2824900001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0006,670377.883757,719077.47464,539637.273454,603629.7340602,440966.823308
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0006,654829.041584,692132.5890200001,579601.965193,817239.8927999999,647310.2668600001
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0007,737113.3326920001,543691.6820666,714077.5615799999,552338.2984699999,458126.441292
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0007,552790.425716,533176.005221,593652.611738,501908.7835689999,694395.6711800001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0007,721220.1886,647158.6343420001,535378.493717,536976.1629110001,592594.076197
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0000,631369.13632,530599.044275,634746.5392199999,549526.5217910002,719706.845125
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0000,718646.6887289999,628788.2368660001,603437.6304510001,460910.11166699993,563933.4173029999
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0000,741021.7543609999,542973.1671229999,526806.9002500001,692072.9087929999,583828.9626809999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0001,751978.07296,498749.03456599993,525571.04687,477475.71819610003,490886.039346
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0001,545812.571704,767467.8249700002,335437.904806,746517.4565899998,555638.6167980001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0001,463933.30039,708057.413789,607503.0177400002,671468.6827499999,560657.6013369999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0002,703515.5209629999,720223.3521,602831.8312380001,646103.7253,613004.45204
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0002,541069.5960360001,517930.542237,594540.666866,707186.42679,616670.4296100001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0002,755200.78662,583595.6998519999,661735.921711,504419.88504400005,468395.752598
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0003,587576.3299946999,698908.89451,463516.980984,553462.8589750001,626183.575115
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0003,436931.0778153,674227.9596930001,411881.8503,524454.726124,565145.3795236
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0003,499618.39119700005,701634.3553931001,500461.30424,579034.9937750001,563533.2392134
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0004,430580.3629004,646300.9268400001,479403.8963592,669658.655016,587368.77191
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0004,817045.556083,679841.09113,500997.847783,626659.9054360001,637460.34853
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0004,672293.156539,456826.72013599996,477452.01577269996,672407.5634369,585105.125548
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0005,577576.29967,706497.4460700002,577803.6172900001,604005.92277,618177.7211
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0005,460454.4812,511458.576642,751248.633956,669775.3409,690988.0126199999
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0005,557468.581674,599878.506018,464531.946539,539508.5899,626415.5906729999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0006,662265.571368,662649.630429,677687.0116249999,728607.0629100001,644696.0623349999
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0006,607248.0624525,447415.1751852,630514.995336,543723.623815,623039.235883
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0006,556241.8754289999,352064.939769,556252.1812006,579976.7776289999,701779.99563
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0007,456092.690802,553172.9988,524816.293006,543783.2171921,479055.76853299997
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0007,686027.085291,601084.357584,494005.39383510005,786298.65485,658172.1190999999
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0001,Sales.0007,685637.0971499999,511621.0421956,510501.828864,531895.738912,612540.26725
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0000,416152.0616559999,534381.3233299999,487477.872278,601842.488352,611664.0913150001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0000,663883.6028720001,650703.3116,635246.8338,663863.9781199999,610280.824653
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0000,613646.5897159999,655499.6935360001,513962.81110100006,462259.36538699997,565260.423739
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0001,567349.23823,617840.010121,686498.6776709999,548917.529978,752061.2577999999
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0001,611713.109345,572825.2668800001,572980.8228879999,551061.980982,565349.92354
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0001,649078.2138799999,723654.9596719999,722989.9308130001,568042.623205,683879.6560300001
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0002,716505.442936,623030.9935379999,609048.523907,708439.8198284,656333.18506
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0002,737160.5907599999,648363.884,615451.12057,695101.498864,430057.3800889999
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0002,584234.809522,583196.7657929999,792891.99645,612240.2951220002,802348.9246669998
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0003,538913.8200141,493881.0106159999,595057.4673130001,464797.5908870001,605728.4560990001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0003,682767.4193300001,406195.8977913,617761.77949,716258.1492100001,785466.30282
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0003,600633.8569990001,571449.06261,521636.1161036,728340.10619,411820.332204
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0004,524151.774478,582342.57458,640032.842041,627884.0016566,560565.6946830001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0004,592681.0187579999,337414.28759400005,811808.53561,678155.817658,615410.5458020001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0004,562274.700915,494476.03831800004,702372.64474,679374.8721573,555686.2915883
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0005,572958.4936936001,469540.6909587,486891.98085000005,595391.1287880001,499404.25151699997
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0005,651058.71725,549891.096396,671401.9353074001,521989.7788429,603096.373613
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0005,572229.03681,517622.24950740003,608937.3213330001,381639.908802,539057.8202300001
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0006,710723.35385,717010.4760700001,554608.899033,553875.001301,410326.0352234
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0006,510192.40459299996,598029.2250480001,399385.5656520001,590175.0435708,467325.141253
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0006,549416.297183,525603.74839,605361.605893,518938.8715419999,519358.4857999999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0007,577275.725145,515497.590121,539245.6737684,649286.597683,473966.14373
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0007,659243.5789150001,674310.6919800001,569986.9795990001,590396.781998,567624.279475
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0002,Sales.0007,514650.96195500006,578813.91032,689770.9325300001,558001.0439841,576552.418832
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0000,703875.7720240001,622569.277719,677827.6185509999,858154.193524,643207.0772753
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0000,488424.8685539999,500513.60084400006,610463.0039940001,657408.5960799999,553375.3187429999
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0000,830316.29411,534173.487824,442851.6952010001,546179.6443459999,735925.790655
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0001,630791.600751,779449.17938,378751.42438599997,657027.15908,598047.0951200001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0001,694770.5835320001,364349.03081699996,670763.3801127,609074.252671,488086.45455799997
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0001,583625.614629,664159.823396,492501.02960999997,607129.41794,481900.99419199995
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0002,677781.1001456999,489061.239084,560545.197131,353475.33767999994,748688.9903800001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0002,746123.0165270001,497604.8738816,686644.439859,706867.51265,638693.6386790001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0002,677403.3255539999,548917.2429,660447.8837700001,837541.779317,516155.68487999996
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0003,469888.91848399997,589626.998603,528450.516772,678447.93984,682669.21363
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0003,446663.550099,445972.32839999994,659944.4728839998,629650.21365,710696.4686720001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0003,584595.7478698,410606.02263599995,639021.8030820001,623422.51171,387568.90222
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0004,553791.5155999999,553082.3355599999,594597.519972,565051.95424,705410.07432
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0004,588081.9960340001,449518.26946300006,429329.33186900005,506806.9171440999,678423.8023910001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0004,601797.53894,499708.57500000007,709897.69993,507272.77920299995,830245.6648199998
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0005,789601.9278400001,595599.6505100001,515342.3931025999,595960.736662,578492.625235
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0005,632656.898095,596764.0848027,559135.129359,676189.5247,437543.54514800006
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0005,608183.32982,676391.2123199999,458895.07283160003,609174.5214189999,691556.6102429999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0006,437448.631425,540142.10817,653523.3946100001,468907.660014,640373.3830276001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0006,685247.8104,707863.5860359999,626089.0889569999,728723.37188,771216.519604
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0006,416078.96610499994,465083.332256,541709.932822,539853.98608,696211.79819
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0007,487029.43190100003,656523.8727580002,634835.066438,632324.4313380001,714881.47344
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0007,600523.493,581485.31382,722456.7478858001,523339.530772,615648.7941320002
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0003,Sales.0007,496998.62297900004,582177.68976,565813.169874,506557.6563073,652030.9791850001
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0000,538082.74001,690541.5349,584980.859124,452400.866146,659092.4282290001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0000,733814.94741,590847.687863,582920.7789892001,505732.52777,638399.4476739998
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0000,583757.2837740001,565640.9530989999,802703.65098,697554.945243,607958.4470746
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0001,569898.583657,579525.532473,609062.21158,689018.1137797,622945.2785680001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0001,559521.887187,532122.185129,511359.62060900003,679540.4223944999,540066.0918869
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0001,562107.232162,771934.30821,775323.1157499999,476052.01959,757213.3988499999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0002,716556.894581,596341.576026,470798.24802199996,604429.4981179999,811833.11499
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0002,485016.412578,678073.1057399998,585823.5277099999,448394.800979,657818.6522599999
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0002,614610.2164400001,806670.32502,692882.8035058001,546944.1983200001,466830.41073
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0003,689825.32694,734758.75215,340451.61313300004,508317.9164410001,722581.48183
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0003,678853.2747668,579760.2894289,636278.4897,668244.48399,505272.616032
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0003,714141.679647,540874.0703210001,384887.470369,636941.102034,430410.869372
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0004,751847.0813600001,650933.0226759999,683528.09082,797710.9661,616623.1012399999
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0004,638028.8632179999,552464.328931,579071.0455080001,549146.7694989999,518926.66618799994
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0004,568719.7427500001,453934.644376,628966.8529099999,595913.8047600001,517226.9431740001
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0005,568058.723047,737948.4683910001,516778.41652960004,601677.352367,700892.6696499999
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0005,467820.011038,618104.4263309999,519197.918991,514427.729578,591334.0822868
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0005,706052.5007480001,600761.974287,552654.27503,660488.27884,685411.57251
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0006,546383.4400800001,732921.0562469,520359.05675,519882.204768,535987.3878050001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0006,505605.7908809999,616951.14309,712764.6216,555634.906867,621056.950318
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0006,531689.589015,739674.4879382,526589.279767,600675.432428,623172.36583
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0007,774826.148409,593768.712302,464255.71142400004,588747.106173,529606.859599
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0007,688714.211564,663269.0765699999,551994.04077,566546.27052,588234.799594
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0004,Sales.0007,437646.59936900006,634539.319557,612371.4591449999,652380.429144,404521.60644000006
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0000,482226.340724,460891.452215,569612.919818,683246.1783699999,544836.4284920001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0000,528657.6738740001,716787.47508,547261.456785,502987.4261969,520114.3037805
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0000,736586.7405999999,552828.46546,664952.7428,451941.1787842,526596.0208559999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0001,539055.3174790001,670158.284354,623751.3662336,566875.9964699999,519228.55757299997
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0001,591416.916029,598537.9093599999,648635.48334,596304.56776,554747.10215
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0001,863748.3668099999,775961.67743,773599.480353,652507.2152979999,548359.329181
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0002,680809.0011389998,462494.8003999,603977.356793,448761.07172640006,485438.574161
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0002,590261.5938505,712586.6782599998,675241.761142,748927.68389,563281.0658389999
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0002,575404.1126604001,415605.9613066,609462.43175,573735.9514962999,663876.34115
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0003,722341.54082,578393.448608,616979.3798999999,646701.7783189999,616387.564118
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0003,519218.218959,435400.1067119999,608310.685721,530380.871431,768941.18362
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0003,607853.839352,627351.00583,479061.90258600004,602282.0893016001,525151.6688378
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0004,593240.287142,455839.204395,636078.7297810001,687092.9141180001,405979.08696
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0004,614806.8102799999,582380.030991,692425.5162099999,649995.8402900001,508767.29905699997
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0004,565236.41614,552369.202362,688534.5411200001,791496.1188099999,529834.6212579999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0005,554379.599351,552755.817609,410838.361354,814957.5562199999,658968.028551
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0005,591803.98375,647790.4108300001,414616.8102400001,655305.1436,681621.5563
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0005,621959.013298,596699.2165668,545191.8558100001,503106.5330110001,588826.5271133
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0006,556999.172709,737263.745769,463067.062213,558889.110007,545251.9955900001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0006,414089.96488899994,427192.82088099996,526872.852124,564350.653861,578535.642769
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0006,586544.916374,642256.025764,731237.0039000001,712870.8159350001,749641.1509819999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0007,742332.8509699999,670584.2087499999,642894.205721,571107.5952670001,686084.1023990001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0007,611479.64016,807389.89375,747907.35839,588928.3779540001,477619.47618199995
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0000,Sales.0007,432538.85861399997,515950.16501699993,470107.94477,692453.32174,647359.93756
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0000,466800.34107499995,715846.0554750001,779299.82065,665396.40511,606346.0864710001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0000,521569.9610189999,648423.610389,627846.132434,509505.02447099995,628037.8939510001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0000,504409.59600399993,365139.273464,548516.6316460001,584142.763624,687317.81694
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0001,629428.3642600001,689958.9896880001,595428.55875,706763.54107,550838.922349
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0001,590957.871003,624663.2228900001,529139.9839309999,569731.438721,719045.88148
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0001,590028.9566689999,669105.9649230001,543875.59326,586098.372811,674424.480944
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0002,484515.16165399994,607507.710663,621486.49948,642872.49112,509362.51403
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0002,544824.342421,357281.164076,524400.97441,611554.5653664,555794.173699
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0002,590947.514215,474932.65335000004,589077.3472699999,586464.1610898001,589368.53771
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0003,541772.44697,620605.303337,568641.217571,609788.379071,585334.637718
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0003,801427.1625099998,812189.18208,588815.690623,489981.76074100006,613042.6174359999
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0003,684069.981453,647004.331343,644425.6362790001,515911.91251299996,566183.478927
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0004,615721.1767501001,679987.5149,536829.553367,754200.03582,567948.07054
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0004,613110.8963649999,600464.78215,651582.39865,676624.4856499999,454253.580013
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0004,462454.37417,581992.153239,672804.5161899999,563794.8439880001,515256.54411799996
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0005,641828.23239,714368.848491,626749.79284,547378.660319,629121.064164
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0005,678200.6301800001,380331.243583,630722.1076849999,667680.6280499999,423385.96778300003
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0005,590887.48232,439590.326061,409146.90643699997,678139.8059700001,643999.40009
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0006,717901.5034500001,516335.498863,519713.596964,755778.9791600001,646899.77108
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0006,584056.6035629999,724639.23524,436774.98692,574255.09627,661265.5083300001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0006,619726.3001599999,749315.603691,654756.0754,435064.6162652001,670965.8028699999
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0007,770524.04928,715837.9503600001,810695.7958569999,638457.8774100001,701179.0339200001
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0007,698605.853136,597649.040509,562926.0186461,668964.69707,654181.964435
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0001,Performance.0001,Sales.0007,409533.458737,590427.869617,573092.652792,574900.3155139999,443985.269427
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0001,Performance.0002,Sales.0000,742497.63849,552106.300569,603870.40159,668042.68876,620138.8155149999
