Category,Sub-Category,Year,Region,Value Column Name,Value
"Furniture","Bookcases","2014","South","(Sum of Discount - Sum of Profit)%","-0.9987857343210981"
"Furniture","Bookcases","2014","South","Count of Postal Code",""
"Furniture","Bookcases","2014","West","Sum of Quantity","57"
"Furniture","Bookcases","2014","West","Sum of Profit","48.351899999999915"
"Furniture","Bookcases","2014","West","Sum of Discount","2.6499999999999995"
"Furniture","Bookcases","2014","West","Sum of Sales","6544.9130000000005"
"Furniture","Bookcases","2014","West","Sum of Sales - Sum of Quantity","6487.9130000000005"
"Furniture","Bookcases","2014","West","(Sum of Sales - Sum of Quantity)%","113.8230350877193"
"Furniture","Bookcases","2014","West","Sum of Sales - Sum of Profit","6496.561100000001"
"Furniture","Bookcases","2014","West","(Sum of Sales - Sum of Profit)%","134.35999619456553"
"Furniture","Bookcases","2014","West","Sum of Sales - Sum of Discount","6542.263000000001"
"Furniture","Bookcases","2014","West","(Sum of Sales - Sum of Discount)%","2468.7784905660387"
"Furniture","Bookcases","2014","West","Sum of Profit - Sum of Quantity","-8.648100000000085"
"Furniture","Bookcases","2014","West","(Sum of Profit - Sum of Quantity)%","-0.15172105263158042"
"Furniture","Bookcases","2014","West","Sum of Discount - Sum of Quantity","-54.35"
"Furniture","Bookcases","2014","West","(Sum of Discount - Sum of Quantity)%","-0.9535087719298246"
"Furniture","Bookcases","2014","West","Sum of Discount - Sum of Profit","-45.70189999999992"
"Furniture","Bookcases","2014","West","(Sum of Discount - Sum of Profit)%","-0.9451934670612736"
"Furniture","Bookcases","2014","West","Count of Postal Code",""
"Furniture","Bookcases","2015","Central","Sum of Quantity","58"
"Furniture","Bookcases","2015","Central","Sum of Profit","-885.1924000000004"
"Furniture","Bookcases","2015","Central","Sum of Discount","3.4399999999999995"
"Furniture","Bookcases","2015","Central","Sum of Sales","8297.722"
"Furniture","Bookcases","2015","Central","Sum of Sales - Sum of Quantity","8239.722"
"Furniture","Bookcases","2015","Central","(Sum of Sales - Sum of Quantity)%","142.0641724137931"
"Furniture","Bookcases","2015","Central","Sum of Sales - Sum of Profit","9182.9144"
"Furniture","Bookcases","2015","Central","(Sum of Sales - Sum of Profit)%","10.373919161529173"
"Furniture","Bookcases","2015","Central","Sum of Sales - Sum of Discount","8294.282"
"Furniture","Bookcases","2015","Central","(Sum of Sales - Sum of Discount)%","2411.128488372093"
"Furniture","Bookcases","2015","Central","Sum of Profit - Sum of Quantity","-943.1924000000004"
"Furniture","Bookcases","2015","Central","(Sum of Profit - Sum of Quantity)%","-16.26193793103449"
"Furniture","Bookcases","2015","Central","Sum of Discount - Sum of Quantity","-54.56"
"Furniture","Bookcases","2015","Central","(Sum of Discount - Sum of Quantity)%","-0.9406896551724138"
"Furniture","Bookcases","2015","Central","Sum of Discount - Sum of Profit","888.6324000000004"
"Furniture","Bookcases","2015","Central","(Sum of Discount - Sum of Profit)%","1.0038861607939698"
"Furniture","Bookcases","2015","Central","Count of Postal Code",""
"Furniture","Bookcases","2015","East","Sum of Quantity","81"
"Furniture","Bookcases","2015","East","Sum of Profit","-987.4247000000008"
"Furniture","Bookcases","2015","East","Sum of Discount","4.6"
"Furniture","Bookcases","2015","East","Sum of Sales","19653.440000000002"
"Furniture","Bookcases","2015","East","Sum of Sales - Sum of Quantity","19572.440000000002"
"Furniture","Bookcases","2015","East","(Sum of Sales - Sum of Quantity)%","241.63506172839507"
"Furniture","Bookcases","2015","East","Sum of Sales - Sum of Profit","20640.864700000002"
"Furniture","Bookcases","2015","East","(Sum of Sales - Sum of Profit)%","20.903735444333105"
"Furniture","Bookcases","2015","East","Sum of Sales - Sum of Discount","19648.840000000004"
"Furniture","Bookcases","2015","East","(Sum of Sales - Sum of Discount)%","4271.4869565217405"
"Furniture","Bookcases","2015","East","Sum of Profit - Sum of Quantity","-1068.424700000001"
"Furniture","Bookcases","2015","East","(Sum of Profit - Sum of Quantity)%","-13.19042839506174"
"Furniture","Bookcases","2015","East","Sum of Discount - Sum of Quantity","-76.4"
"Furniture","Bookcases","2015","East","(Sum of Discount - Sum of Quantity)%","-0.94320987654321"
"Furniture","Bookcases","2015","East","Sum of Discount - Sum of Profit","992.0247000000008"
"Furniture","Bookcases","2015","East","(Sum of Discount - Sum of Profit)%","1.0046585830798034"
"Furniture","Bookcases","2015","East","Count of Postal Code",""
"Furniture","Bookcases","2015","South","Sum of Quantity","21"
"Furniture","Bookcases","2015","South","Sum of Profit","107.61759999999998"
"Furniture","Bookcases","2015","South","Sum of Discount","0.6000000000000001"
"Furniture","Bookcases","2015","South","Sum of Sales","1238.5960000000002"
"Furniture","Bookcases","2015","South","Sum of Sales - Sum of Quantity","1217.5960000000002"
"Furniture","Bookcases","2015","South","(Sum of Sales - Sum of Quantity)%","57.98076190476191"
"Furniture","Bookcases","2015","South","Sum of Sales - Sum of Profit","1130.9784000000002"
"Furniture","Bookcases","2015","South","(Sum of Sales - Sum of Profit)%","10.509232690563628"
"Furniture","Bookcases","2015","South","Sum of Sales - Sum of Discount","1237.9960000000003"
"Furniture","Bookcases","2015","South","(Sum of Sales - Sum of Discount)%","2063.326666666667"
"Furniture","Bookcases","2015","South","Sum of Profit - Sum of Quantity","86.61759999999998"
"Furniture","Bookcases","2015","South","(Sum of Profit - Sum of Quantity)%","4.124647619047618"
"Furniture","Bookcases","2015","South","Sum of Discount - Sum of Quantity","-20.4"
"Furniture","Bookcases","2015","South","(Sum of Discount - Sum of Quantity)%","-0.9714285714285712"
"Furniture","Bookcases","2015","South","Sum of Discount - Sum of Profit","-107.01759999999999"
"Furniture","Bookcases","2015","South","(Sum of Discount - Sum of Profit)%","-0.9944247037659268"
"Furniture","Bookcases","2015","South","Count of Postal Code",""
"Furniture","Bookcases","2015","West","Sum of Quantity","82"
"Furniture","Bookcases","2015","West","Sum of Profit","-990.2307000000004"
"Furniture","Bookcases","2015","West","Sum of Discount","5.300000000000001"
"Furniture","Bookcases","2015","West","Sum of Sales","9353.8145"
"Furniture","Bookcases","2015","West","Sum of Sales - Sum of Quantity","9271.8145"
"Furniture","Bookcases","2015","West","(Sum of Sales - Sum of Quantity)%","113.07090853658536"
"Furniture","Bookcases","2015","West","Sum of Sales - Sum of Profit","10344.0452"
"Furniture","Bookcases","2015","West","(Sum of Sales - Sum of Profit)%","10.446096248076328"
"Furniture","Bookcases","2015","West","Sum of Sales - Sum of Discount","9348.514500000001"
"Furniture","Bookcases","2015","West","(Sum of Sales - Sum of Discount)%","1763.8706603773585"
"Furniture","Bookcases","2015","West","Sum of Profit - Sum of Quantity","-1072.2307000000005"
"Furniture","Bookcases","2015","West","(Sum of Profit - Sum of Quantity)%","-13.07598414634147"
"Furniture","Bookcases","2015","West","Sum of Discount - Sum of Quantity","-76.7"
"Furniture","Bookcases","2015","West","(Sum of Discount - Sum of Quantity)%","-0.9353658536585366"
"Furniture","Bookcases","2015","West","Sum of Discount - Sum of Profit","995.5307000000004"
"Furniture","Bookcases","2015","West","(Sum of Discount - Sum of Profit)%","1.0053522881082155"
"Furniture","Bookcases","2015","West","Count of Postal Code",""
"Furniture","Bookcases","2016","Central","Sum of Quantity","58"
"Furniture","Bookcases","2016","Central","Sum of Profit","-468.0408"
"Furniture","Bookcases","2016","Central","Sum of Discount","2.52"
"Furniture","Bookcases","2016","Central","Sum of Sales","8384.939999999999"
"Furniture","Bookcases","2016","Central","Sum of Sales - Sum of Quantity","8326.939999999999"
"Furniture","Bookcases","2016","Central","(Sum of Sales - Sum of Quantity)%","143.56793103448274"
"Furniture","Bookcases","2016","Central","Sum of Sales - Sum of Profit","8852.9808"
"Furniture","Bookcases","2016","Central","(Sum of Sales - Sum of Profit)%","18.914976643061888"
"Furniture","Bookcases","2016","Central","Sum of Sales - Sum of Discount","8382.419999999998"
"Furniture","Bookcases","2016","Central","(Sum of Sales - Sum of Discount)%","3326.357142857142"
"Furniture","Bookcases","2016","Central","Sum of Profit - Sum of Quantity","-526.0408"
"Furniture","Bookcases","2016","Central","(Sum of Profit - Sum of Quantity)%","-9.069668965517241"
"Furniture","Bookcases","2016","Central","Sum of Discount - Sum of Quantity","-55.48"
"Furniture","Bookcases","2016","Central","(Sum of Discount - Sum of Quantity)%","-0.956551724137931"
"Furniture","Bookcases","2016","Central","Sum of Discount - Sum of Profit","470.5608"
"Furniture","Bookcases","2016","Central","(Sum of Discount - Sum of Profit)%","1.0053841459975283"
"Furniture","Bookcases","2016","Central","Count of Postal Code",""
"Furniture","Bookcases","2016","East","Sum of Quantity","59"
"Furniture","Bookcases","2016","East","Sum of Profit","-198.08580000000018"
"Furniture","Bookcases","2016","East","Sum of Discount","4.1"
"Furniture","Bookcases","2016","East","Sum of Sales","5964.221000000001"
"Furniture","Bookcases","2016","East","Sum of Sales - Sum of Quantity","5905.221000000001"
"Furniture","Bookcases","2016","East","(Sum of Sales - Sum of Quantity)%","100.08849152542375"
"Furniture","Bookcases","2016","East","Sum of Sales - Sum of Profit","6162.306800000001"
"Furniture","Bookcases","2016","East","(Sum of Sales - Sum of Profit)%","31.10928092775957"
"Furniture","Bookcases","2016","East","Sum of Sales - Sum of Discount","5960.121000000001"
"Furniture","Bookcases","2016","East","(Sum of Sales - Sum of Discount)%","1453.688048780488"
"Furniture","Bookcases","2016","East","Sum of Profit - Sum of Quantity","-257.0858000000002"
"Furniture","Bookcases","2016","East","(Sum of Profit - Sum of Quantity)%","-4.357386440677969"
"Furniture","Bookcases","2016","East","Sum of Discount - Sum of Quantity","-54.9"
"Furniture","Bookcases","2016","East","(Sum of Discount - Sum of Quantity)%","-0.9305084745762712"
"Furniture","Bookcases","2016","East","Sum of Discount - Sum of Profit","202.18580000000017"
"Furniture","Bookcases","2016","East","(Sum of Discount - Sum of Profit)%","1.0206981015297412"
"Furniture","Bookcases","2016","East","Count of Postal Code",""
"Furniture","Bookcases","2016","South","Sum of Quantity","32"
"Furniture","Bookcases","2016","South","Sum of Profit","552.7233999999999"
"Furniture","Bookcases","2016","South","Sum of Discount","0.6000000000000001"
"Furniture","Bookcases","2016","South","Sum of Sales","3709.224"
"Furniture","Bookcases","2016","South","Sum of Sales - Sum of Quantity","3677.224"
"Furniture","Bookcases","2016","South","(Sum of Sales - Sum of Quantity)%","114.91325"
"Furniture","Bookcases","2016","South","Sum of Sales - Sum of Profit","3156.5006000000003"
"Furniture","Bookcases","2016","South","(Sum of Sales - Sum of Profit)%","5.710814125112129"
"Furniture","Bookcases","2016","South","Sum of Sales - Sum of Discount","3708.6240000000003"
"Furniture","Bookcases","2016","South","(Sum of Sales - Sum of Discount)%","6181.039999999999"
"Furniture","Bookcases","2016","South","Sum of Profit - Sum of Quantity","520.7233999999999"
"Furniture","Bookcases","2016","South","(Sum of Profit - Sum of Quantity)%","16.272606249999995"
"Furniture","Bookcases","2016","South","Sum of Discount - Sum of Quantity","-31.4"
"Furniture","Bookcases","2016","South","(Sum of Discount - Sum of Quantity)%","-0.98125"
"Furniture","Bookcases","2016","South","Sum of Discount - Sum of Profit","-552.1233999999998"
"Furniture","Bookcases","2016","South","(Sum of Discount - Sum of Profit)%","-0.9989144660783313"
"Furniture","Bookcases","2016","South","Count of Postal Code",""
"Furniture","Bookcases","2016","West","Sum of Quantity","48"
"Furniture","Bookcases","2016","West","Sum of Profit","325.8741999999997"
"Furniture","Bookcases","2016","West","Sum of Discount","3.0499999999999994"
"Furniture","Bookcases","2016","West","Sum of Sales","8217.0815"
"Furniture","Bookcases","2016","West","Sum of Sales - Sum of Quantity","8169.0815"
"Furniture","Bookcases","2016","West","(Sum of Sales - Sum of Quantity)%","170.18919791666667"
"Furniture","Bookcases","2016","West","Sum of Sales - Sum of Profit","7891.207300000001"
"Furniture","Bookcases","2016","West","(Sum of Sales - Sum of Profit)%","24.215501871581147"
"Furniture","Bookcases","2016","West","Sum of Sales - Sum of Discount","8214.031500000001"
"Furniture","Bookcases","2016","West","(Sum of Sales - Sum of Discount)%","2693.1250819672146"
"Furniture","Bookcases","2016","West","Sum of Profit - Sum of Quantity","277.8741999999997"
"Furniture","Bookcases","2016","West","(Sum of Profit - Sum of Quantity)%","5.789045833333327"
"Furniture","Bookcases","2016","West","Sum of Discount - Sum of Quantity","-44.95"
"Furniture","Bookcases","2016","West","(Sum of Discount - Sum of Quantity)%","-0.9364583333333334"
"Furniture","Bookcases","2016","West","Sum of Discount - Sum of Profit","-322.8241999999997"
"Furniture","Bookcases","2016","West","(Sum of Discount - Sum of Profit)%","-0.9906405600688855"
"Furniture","Bookcases","2016","West","Count of Postal Code",""
"Furniture","Bookcases","2017","Central","Sum of Quantity","53"
"Furniture","Bookcases","2017","Central","Sum of Profit","-511.0254000000002"
"Furniture","Bookcases","2017","Central","Sum of Discount","4.119999999999999"
"Furniture","Bookcases","2017","Central","Sum of Sales","5640.4772"
"Furniture","Bookcases","2017","Central","Sum of Sales - Sum of Quantity","5587.4772"
"Furniture","Bookcases","2017","Central","(Sum of Sales - Sum of Quantity)%","105.42409811320755"
"Furniture","Bookcases","2017","Central","Sum of Sales - Sum of Profit","6151.502600000001"
"Furniture","Bookcases","2017","Central","(Sum of Sales - Sum of Profit)%","12.037567212901742"
"Furniture","Bookcases","2017","Central","Sum of Sales - Sum of Discount","5636.3572"
"Furniture","Bookcases","2017","Central","(Sum of Sales - Sum of Discount)%","1368.0478640776703"
"Furniture","Bookcases","2017","Central","Sum of Profit - Sum of Quantity","-564.0254000000002"
"Furniture","Bookcases","2017","Central","(Sum of Profit - Sum of Quantity)%","-10.641988679245287"
"Furniture","Bookcases","2017","Central","Sum of Discount - Sum of Quantity","-48.88"
"Furniture","Bookcases","2017","Central","(Sum of Discount - Sum of Quantity)%","-0.9222641509433963"
"Furniture","Bookcases","2017","Central","Sum of Discount - Sum of Profit","515.1454000000002"
"Furniture","Bookcases","2017","Central","(Sum of Discount - Sum of Profit)%","1.0080622215647206"
"Furniture","Bookcases","2017","Central","Count of Postal Code",""
"Furniture","Bookcases","2017","East","Sum of Quantity","52"
"Furniture","Bookcases","2017","East","Sum of Profit","443.4641999999997"
"Furniture","Bookcases","2017","East","Sum of Discount","3.5"
"Furniture","Bookcases","2017","East","Sum of Sales","7338.222"
"Furniture","Bookcases","2017","East","Sum of Sales - Sum of Quantity","7286.222"
"Furniture","Bookcases","2017","East","(Sum of Sales - Sum of Quantity)%","140.11965384615385"
"Furniture","Bookcases","2017","East","Sum of Sales - Sum of Profit","6894.7578"
"Furniture","Bookcases","2017","East","(Sum of Sales - Sum of Profit)%","15.547495829426602"
"Furniture","Bookcases","2017","East","Sum of Sales - Sum of Discount","7334.722"
"Furniture","Bookcases","2017","East","(Sum of Sales - Sum of Discount)%","2095.634857142857"
"Furniture","Bookcases","2017","East","Sum of Profit - Sum of Quantity","391.4641999999997"
"Furniture","Bookcases","2017","East","(Sum of Profit - Sum of Quantity)%","7.528157692307686"
"Furniture","Bookcases","2017","East","Sum of Discount - Sum of Quantity","-48.5"
"Furniture","Bookcases","2017","East","(Sum of Discount - Sum of Quantity)%","-0.9326923076923077"
"Furniture","Bookcases","2017","East","Sum of Discount - Sum of Profit","-439.9641999999997"
"Furniture","Bookcases","2017","East","(Sum of Discount - Sum of Profit)%","-0.992107592901524"
"Furniture","Bookcases","2017","East","Count of Postal Code",""
"Furniture","Bookcases","2017","South","Sum of Quantity","52"
"Furniture","Bookcases","2017","South","Sum of Profit","514.4422000000001"
"Furniture","Bookcases","2017","South","Sum of Discount","1.4"
"Furniture","Bookcases","2017","South","Sum of Sales","5157.266"
"Furniture","Bookcases","2017","South","Sum of Sales - Sum of Quantity","5105.266"
"Furniture","Bookcases","2017","South","(Sum of Sales - Sum of Quantity)%","98.1781923076923"
"Furniture","Bookcases","2017","South","Sum of Sales - Sum of Profit","4642.823799999999"
"Furniture","Bookcases","2017","South","(Sum of Sales - Sum of Profit)%","9.024966847587539"
"Furniture","Bookcases","2017","South","Sum of Sales - Sum of Discount","5155.866"
"Furniture","Bookcases","2017","South","(Sum of Sales - Sum of Discount)%","3682.761428571429"
"Furniture","Bookcases","2017","South","Sum of Profit - Sum of Quantity","462.44220000000007"
"Furniture","Bookcases","2017","South","(Sum of Profit - Sum of Quantity)%","8.893119230769232"
"Furniture","Bookcases","2017","South","Sum of Discount - Sum of Quantity","-50.6"
"Furniture","Bookcases","2017","South","(Sum of Discount - Sum of Quantity)%","-0.9730769230769231"
"Furniture","Bookcases","2017","South","Sum of Discount - Sum of Profit","-513.0422000000001"
"Furniture","Bookcases","2017","South","(Sum of Discount - Sum of Profit)%","-0.997278605837546"
"Furniture","Bookcases","2017","South","Count of Postal Code",""
"Furniture","Bookcases","2017","West","Sum of Quantity","119"
"Furniture","Bookcases","2017","West","Sum of Profit","-1030.5071000000003"
"Furniture","Bookcases","2017","West","Sum of Discount","7.3000000000000025"
"Furniture","Bookcases","2017","West","Sum of Sales","11888.314499999997"
"Furniture","Bookcases","2017","West","Sum of Sales - Sum of Quantity","11769.314499999997"
"Furniture","Bookcases","2017","West","(Sum of Sales - Sum of Quantity)%","98.90180252100838"
"Furniture","Bookcases","2017","West","Sum of Sales - Sum of Profit","12918.821599999997"
"Furniture","Bookcases","2017","West","(Sum of Sales - Sum of Profit)%","12.53637320887939"
"Furniture","Bookcases","2017","West","Sum of Sales - Sum of Discount","11881.014499999997"
"Furniture","Bookcases","2017","West","(Sum of Sales - Sum of Discount)%","1627.5362328767112"
"Furniture","Bookcases","2017","West","Sum of Profit - Sum of Quantity","-1149.5071000000003"
"Furniture","Bookcases","2017","West","(Sum of Profit - Sum of Quantity)%","-9.659723529411767"
"Furniture","Bookcases","2017","West","Sum of Discount - Sum of Quantity","-111.7"
"Furniture","Bookcases","2017","West","(Sum of Discount - Sum of Quantity)%","-0.938655462184874"
"Furniture","Bookcases","2017","West","Sum of Discount - Sum of Profit","1037.8071000000002"
"Furniture","Bookcases","2017","West","(Sum of Discount - Sum of Profit)%","1.007083891028019"
"Furniture","Bookcases","2017","West","Count of Postal Code",""
"Furniture","Chairs","2014","Central","Sum of Quantity","136"
"Furniture","Chairs","2014","Central","Sum of Profit","699.2616999999998"
"Furniture","Chairs","2014","Central","Sum of Discount","7.1999999999999975"
"Furniture","Chairs","2014","Central","Sum of Sales","20754.052"
"Furniture","Chairs","2014","Central","Sum of Sales - Sum of Quantity","20618.052"
"Furniture","Chairs","2014","Central","(Sum of Sales - Sum of Quantity)%","151.60332352941177"
"Furniture","Chairs","2014","Central","Sum of Sales - Sum of Profit","20054.7903"
"Furniture","Chairs","2014","Central","(Sum of Sales - Sum of Profit)%","28.6799495811082"
"Furniture","Chairs","2014","Central","Sum of Sales - Sum of Discount","20746.852"
"Furniture","Chairs","2014","Central","(Sum of Sales - Sum of Discount)%","2881.507222222223"
"Furniture","Chairs","2014","Central","Sum of Profit - Sum of Quantity","563.2616999999998"
"Furniture","Chairs","2014","Central","(Sum of Profit - Sum of Quantity)%","4.141630147058822"
"Furniture","Chairs","2014","Central","Sum of Discount - Sum of Quantity","-128.8"
"Furniture","Chairs","2014","Central","(Sum of Discount - Sum of Quantity)%","-0.9470588235294118"
"Furniture","Chairs","2014","Central","Sum of Discount - Sum of Profit","-692.0616999999997"
"Furniture","Chairs","2014","Central","(Sum of Discount - Sum of Profit)%","-0.9897034257703516"
"Furniture","Chairs","2014","Central","Count of Postal Code",""
"Furniture","Chairs","2014","East","Sum of Quantity","144"
"Furniture","Chairs","2014","East","Sum of Profit","2719.3840000000014"
"Furniture","Chairs","2014","East","Sum of Discount","4.500000000000001"
"Furniture","Chairs","2014","East","Sum of Sales","22008.267999999993"
"Furniture","Chairs","2014","East","Sum of Sales - Sum of Quantity","21864.267999999993"
"Furniture","Chairs","2014","East","(Sum of Sales - Sum of Quantity)%","151.8351944444444"
"Furniture","Chairs","2014","East","Sum of Sales - Sum of Profit","19288.88399999999"
"Furniture","Chairs","2014","East","(Sum of Sales - Sum of Profit)%","7.093107850895637"
"Furniture","Chairs","2014","East","Sum of Sales - Sum of Discount","22003.767999999993"
"Furniture","Chairs","2014","East","(Sum of Sales - Sum of Discount)%","4889.72622222222"
"Furniture","Chairs","2014","East","Sum of Profit - Sum of Quantity","2575.3840000000014"
"Furniture","Chairs","2014","East","(Sum of Profit - Sum of Quantity)%","17.88461111111112"
"Furniture","Chairs","2014","East","Sum of Discount - Sum of Quantity","-139.5"
"Furniture","Chairs","2014","East","(Sum of Discount - Sum of Quantity)%","-0.96875"
"Furniture","Chairs","2014","East","Sum of Discount - Sum of Profit","-2714.8840000000014"
"Furniture","Chairs","2014","East","(Sum of Discount - Sum of Profit)%","-0.9983452134748163"
"Furniture","Chairs","2014","East","Count of Postal Code",""
"Furniture","Chairs","2014","South","Sum of Quantity","102"
"Furniture","Chairs","2014","South","Sum of Profit","2304.7139999999995"
"Furniture","Chairs","2014","South","Sum of Discount","1.5999999999999999"
"Furniture","Chairs","2014","South","Sum of Sales","13072.28"
"Furniture","Chairs","2014","South","Sum of Sales - Sum of Quantity","12970.28"
"Furniture","Chairs","2014","South","(Sum of Sales - Sum of Quantity)%","127.15960784313728"
"Furniture","Chairs","2014","South","Sum of Sales - Sum of Profit","10767.566"
"Furniture","Chairs","2014","South","(Sum of Sales - Sum of Profit)%","4.671974917495187"
"Furniture","Chairs","2014","South","Sum of Sales - Sum of Discount","13070.68"
"Furniture","Chairs","2014","South","(Sum of Sales - Sum of Discount)%","8169.175000000001"
"Furniture","Chairs","2014","South","Sum of Profit - Sum of Quantity","2202.7139999999995"
"Furniture","Chairs","2014","South","(Sum of Profit - Sum of Quantity)%","21.595235294117643"
"Furniture","Chairs","2014","South","Sum of Discount - Sum of Quantity","-100.4"
"Furniture","Chairs","2014","South","(Sum of Discount - Sum of Quantity)%","-0.9843137254901961"
"Furniture","Chairs","2014","South","Sum of Discount - Sum of Profit","-2303.1139999999996"
"Furniture","Chairs","2014","South","(Sum of Discount - Sum of Profit)%","-0.9993057706943247"
"Furniture","Chairs","2014","South","Count of Postal Code",""
"Furniture","Chairs","2014","West","Sum of Quantity","158"
"Furniture","Chairs","2014","West","Sum of Profit","1231.6872999999996"
"Furniture","Chairs","2014","West","Sum of Discount","9.2"
"Furniture","Chairs","2014","West","Sum of Sales","21406.97599999999"
"Furniture","Chairs","2014","West","Sum of Sales - Sum of Quantity","21248.97599999999"
"Furniture","Chairs","2014","West","(Sum of Sales - Sum of Quantity)%","134.48718987341766"
"Furniture","Chairs","2014","West","Sum of Sales - Sum of Profit","20175.28869999999"
"Furniture","Chairs","2014","West","(Sum of Sales - Sum of Profit)%","16.38020356303097"
"Furniture","Chairs","2014","West","Sum of Sales - Sum of Discount","21397.77599999999"
"Furniture","Chairs","2014","West","(Sum of Sales - Sum of Discount)%","2325.8452173913033"
"Furniture","Chairs","2014","West","Sum of Profit - Sum of Quantity","1073.6872999999996"
"Furniture","Chairs","2014","West","(Sum of Profit - Sum of Quantity)%","6.795489240506327"
"Furniture","Chairs","2014","West","Sum of Discount - Sum of Quantity","-148.8"
"Furniture","Chairs","2014","West","(Sum of Discount - Sum of Quantity)%","-0.9417721518987342"
"Furniture","Chairs","2014","West","Sum of Discount - Sum of Profit","-1222.4872999999995"
"Furniture","Chairs","2014","West","(Sum of Discount - Sum of Profit)%","-0.9925305716800036"
"Furniture","Chairs","2014","West","Count of Postal Code",""
"Furniture","Chairs","2015","Central","Sum of Quantity","145"
"Furniture","Chairs","2015","Central","Sum of Profit","1676.9477999999992"
"Furniture","Chairs","2015","Central","Sum of Discount","5.999999999999998"
"Furniture","Chairs","2015","Central","Sum of Sales","17908.505"
"Furniture","Chairs","2015","Central","Sum of Sales - Sum of Quantity","17763.505"
"Furniture","Chairs","2015","Central","(Sum of Sales - Sum of Quantity)%","122.50693103448276"
