15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.Pack)
2014,Qtr 1,ARNOLDS PARK,
2015,Qtr 1,ARNOLDS PARK,
2012,Qtr 1,ATLANTIC,42
2013,Qtr 1,ATLANTIC,12
2014,Qtr 1,ATLANTIC,30
2015,Qtr 1,ATLANTIC,48
2012,Qtr 1,AUDUBON,12
2013,Qtr 1,AUDUBON,24
2014,Qtr 1,AUDUBON,24
2015,Qtr 1,AUDUBON,12
2012,Qtr 1,AVOCA,24
2013,Qtr 1,AVOCA,6
2014,Qtr 1,AVOCA,12
2015,Qtr 1,AVOCA,12
2012,Qtr 1,BALDWIN,
2013,Qtr 1,BALDWIN,
2014,Qtr 1,BALDWIN,12
2015,Qtr 1,BALDWIN,24
2012,Qtr 1,BANCROFT,12
2013,Qtr 1,BANCROFT,
2014,Qtr 1,BANCROFT,42
2015,Qtr 1,BANCROFT,
2012,Qtr 1,BEDFORD,
2013,Qtr 1,BEDFORD,12
2014,Qtr 1,BEDFORD,6
2015,Qtr 1,BEDFORD,
2012,Qtr 1,BELLE PLAINE,12
2013,Qtr 1,BELLE PLAINE,
2014,Qtr 1,BELLE PLAINE,18
2015,Qtr 1,BELLE PLAINE,18
2012,Qtr 1,BELMOND,6
2013,Qtr 1,BELMOND,12
2014,Qtr 1,BELMOND,
2015,Qtr 1,BELMOND,
2012,Qtr 1,BETTENDORF,162
2013,Qtr 1,BETTENDORF,132
2014,Qtr 1,BETTENDORF,204
2015,Qtr 1,BETTENDORF,110
2012,Qtr 1,BLUE GRASS,24
2013,Qtr 1,BLUE GRASS,24
2014,Qtr 1,BLUE GRASS,
2015,Qtr 1,BLUE GRASS,12
2012,Qtr 1,BONDURANT,
2013,Qtr 1,BONDURANT,24
2014,Qtr 1,BONDURANT,12
2015,Qtr 1,BONDURANT,24
2012,Qtr 1,BOONE,24
2013,Qtr 1,BOONE,42
2014,Qtr 1,BOONE,96
2015,Qtr 1,BOONE,90
2012,Qtr 1,BRITT,18
2013,Qtr 1,BRITT,
2014,Qtr 1,BRITT,12
2015,Qtr 1,BRITT,
2012,Qtr 1,BROOKLYN,
2013,Qtr 1,BROOKLYN,12
2014,Qtr 1,BROOKLYN,18
2015,Qtr 1,BROOKLYN,
2012,Qtr 1,BUFFALO CENTER,6
2013,Qtr 1,BUFFALO CENTER,
2014,Qtr 1,BUFFALO CENTER,
2015,Qtr 1,BUFFALO CENTER,
2012,Qtr 1,BURLINGTON,142
2013,Qtr 1,BURLINGTON,192
2014,Qtr 1,BURLINGTON,246
2015,Qtr 1,BURLINGTON,150
2012,Qtr 1,CAMANCHE,
2013,Qtr 1,CAMANCHE,6
2014,Qtr 1,CAMANCHE,
2015,Qtr 1,CAMANCHE,
2012,Qtr 1,CAMBRIDGE,
2013,Qtr 1,CAMBRIDGE,
2014,Qtr 1,CAMBRIDGE,12
2015,Qtr 1,CAMBRIDGE,
2012,Qtr 1,CARLISLE,
2013,Qtr 1,CARLISLE,
2014,Qtr 1,CARLISLE,
2015,Qtr 1,CARLISLE,12
2012,Qtr 1,CARROLL,90
2013,Qtr 1,CARROLL,78
2014,Qtr 1,CARROLL,48
2015,Qtr 1,CARROLL,108
2012,Qtr 1,CASCADE,
2013,Qtr 1,CASCADE,
2014,Qtr 1,CASCADE,12
2015,Qtr 1,CASCADE,
2012,Qtr 1,CEDAR FALLS,102
2013,Qtr 1,CEDAR FALLS,156
2014,Qtr 1,CEDAR FALLS,160
2015,Qtr 1,CEDAR FALLS,234
2012,Qtr 1,CEDAR RAPIDS,708
2013,Qtr 1,CEDAR RAPIDS,778
2014,Qtr 1,CEDAR RAPIDS,764
2015,Qtr 1,CEDAR RAPIDS,667
2012,Qtr 1,CENTER POINT,12
2013,Qtr 1,CENTER POINT,12
2014,Qtr 1,CENTER POINT,
2015,Qtr 1,CENTER POINT,12
2012,Qtr 1,CENTERVILLE,60
2013,Qtr 1,CENTERVILLE,30
2014,Qtr 1,CENTERVILLE,18
2015,Qtr 1,CENTERVILLE,36
2012,Qtr 1,CENTRAL CITY,
2013,Qtr 1,CENTRAL CITY,
2014,Qtr 1,CENTRAL CITY,
2015,Qtr 1,CENTRAL CITY,12
2012,Qtr 1,CHARITON,
2013,Qtr 1,CHARITON,78
2014,Qtr 1,CHARITON,12
2015,Qtr 1,CHARITON,6
2012,Qtr 1,CHARLES CITY,12
2013,Qtr 1,CHARLES CITY,18
2014,Qtr 1,CHARLES CITY,72
2015,Qtr 1,CHARLES CITY,46
2012,Qtr 1,CHEROKEE,
2013,Qtr 1,CHEROKEE,72
2014,Qtr 1,CHEROKEE,30
2015,Qtr 1,CHEROKEE,40
2012,Qtr 1,CLARINDA,24
2013,Qtr 1,CLARINDA,18
2014,Qtr 1,CLARINDA,
2015,Qtr 1,CLARINDA,
2012,Qtr 1,CLARION,6
2013,Qtr 1,CLARION,6
2014,Qtr 1,CLARION,12
2015,Qtr 1,CLARION,18
2012,Qtr 1,CLARKSVILLE,12
2013,Qtr 1,CLARKSVILLE,
2014,Qtr 1,CLARKSVILLE,
2015,Qtr 1,CLARKSVILLE,
2012,Qtr 1,CLEAR LAKE,84
2013,Qtr 1,CLEAR LAKE,66
2014,Qtr 1,CLEAR LAKE,48
2015,Qtr 1,CLEAR LAKE,138
2012,Qtr 1,CLINTON,138
2013,Qtr 1,CLINTON,144
2014,Qtr 1,CLINTON,156
2015,Qtr 1,CLINTON,241
2012,Qtr 1,CLIVE,66
2013,Qtr 1,CLIVE,100
2014,Qtr 1,CLIVE,72
2015,Qtr 1,CLIVE,72
2012,Qtr 1,COLESBURG,12
2013,Qtr 1,COLESBURG,12
2014,Qtr 1,COLESBURG,
2015,Qtr 1,COLESBURG,
2012,Qtr 1,COLFAX,12
2013,Qtr 1,COLFAX,30
2014,Qtr 1,COLFAX,
2015,Qtr 1,COLFAX,12
2012,Qtr 1,COLUMBUS JUNCTION,36
2013,Qtr 1,COLUMBUS JUNCTION,36
2014,Qtr 1,COLUMBUS JUNCTION,48
2015,Qtr 1,COLUMBUS JUNCTION,12
2012,Qtr 1,CONRAD,6
2013,Qtr 1,CONRAD,
2014,Qtr 1,CONRAD,12
2015,Qtr 1,CONRAD,12
2012,Qtr 1,CORALVILLE,120
2013,Qtr 1,CORALVILLE,120
2014,Qtr 1,CORALVILLE,138
2015,Qtr 1,CORALVILLE,106
2012,Qtr 1,CORNING,36
2013,Qtr 1,CORNING,
2014,Qtr 1,CORNING,
2015,Qtr 1,CORNING,30
2012,Qtr 1,CORYDON,60
2013,Qtr 1,CORYDON,24
2014,Qtr 1,CORYDON,
2015,Qtr 1,CORYDON,
2012,Qtr 1,COUNCIL BLUFFS,246
2013,Qtr 1,COUNCIL BLUFFS,318
2014,Qtr 1,COUNCIL BLUFFS,256
2015,Qtr 1,COUNCIL BLUFFS,557
2012,Qtr 1,CRESCO,42
2013,Qtr 1,CRESCO,6
2014,Qtr 1,CRESCO,24
2015,Qtr 1,CRESCO,12
2012,Qtr 1,CRESTON,42
2013,Qtr 1,CRESTON,60
2014,Qtr 1,CRESTON,66
2015,Qtr 1,CRESTON,
2012,Qtr 1,DAVENPORT,636
2013,Qtr 1,DAVENPORT,642
2014,Qtr 1,DAVENPORT,438
2015,Qtr 1,DAVENPORT,366
2012,Qtr 1,DAYTON,
2013,Qtr 1,DAYTON,12
2014,Qtr 1,DAYTON,12
2015,Qtr 1,DAYTON,
2012,Qtr 1,DE SOTO,12
2013,Qtr 1,DE SOTO,12
2014,Qtr 1,DE SOTO,
2015,Qtr 1,DE SOTO,
2012,Qtr 1,DECORAH,30
2013,Qtr 1,DECORAH,24
2014,Qtr 1,DECORAH,66
2015,Qtr 1,DECORAH,
2012,Qtr 1,DENISON,12
2013,Qtr 1,DENISON,30
2014,Qtr 1,DENISON,54
2015,Qtr 1,DENISON,36
2012,Qtr 1,DENVER,12
2013,Qtr 1,DENVER,
2014,Qtr 1,DENVER,
2015,Qtr 1,DENVER,
2012,Qtr 1,DES MOINES,1050
2013,Qtr 1,DES MOINES,1060
2014,Qtr 1,DES MOINES,1097
2015,Qtr 1,DES MOINES,1060
2012,Qtr 1,DEWITT,12
2013,Qtr 1,DEWITT,12
2014,Qtr 1,DEWITT,12
2015,Qtr 1,DEWITT,
2012,Qtr 1,DUBUQUE,292
2013,Qtr 1,DUBUQUE,228
2014,Qtr 1,DUBUQUE,156
2015,Qtr 1,DUBUQUE,180
2012,Qtr 1,DUMONT,6
2013,Qtr 1,DUMONT,12
2014,Qtr 1,DUMONT,12
2015,Qtr 1,DUMONT,
2012,Qtr 1,DUNLAP,
2013,Qtr 1,DUNLAP,12
2014,Qtr 1,DUNLAP,
2015,Qtr 1,DUNLAP,
2012,Qtr 1,DURANT,
2013,Qtr 1,DURANT,12
2014,Qtr 1,DURANT,
2015,Qtr 1,DURANT,
2012,Qtr 1,DYERSVILLE,24
2013,Qtr 1,DYERSVILLE,
2014,Qtr 1,DYERSVILLE,12
2015,Qtr 1,DYERSVILLE,30
2012,Qtr 1,EAGLE GROVE,6
2013,Qtr 1,EAGLE GROVE,6
2014,Qtr 1,EAGLE GROVE,
2015,Qtr 1,EAGLE GROVE,24
2012,Qtr 1,EDGEWOOD,12
2013,Qtr 1,EDGEWOOD,
2014,Qtr 1,EDGEWOOD,
2015,Qtr 1,EDGEWOOD,
2012,Qtr 1,ELDORA,
2013,Qtr 1,ELDORA,12
2014,Qtr 1,ELDORA,
2015,Qtr 1,ELDORA,
2012,Qtr 1,ELDRIDGE,24
2013,Qtr 1,ELDRIDGE,36
2014,Qtr 1,ELDRIDGE,30
2015,Qtr 1,ELDRIDGE,36
2012,Qtr 1,ELKADER,
2013,Qtr 1,ELKADER,
2014,Qtr 1,ELKADER,
2015,Qtr 1,ELKADER,12
2012,Qtr 1,ELLSWORTH,5
2013,Qtr 1,ELLSWORTH,
2014,Qtr 1,ELLSWORTH,
2015,Qtr 1,ELLSWORTH,
2012,Qtr 1,EMMETSBURG,36
2013,Qtr 1,EMMETSBURG,24
2014,Qtr 1,EMMETSBURG,12
2015,Qtr 1,EMMETSBURG,18
2012,Qtr 1,ESTHERVILLE,6
2013,Qtr 1,ESTHERVILLE,12
2014,Qtr 1,ESTHERVILLE,36
2015,Qtr 1,ESTHERVILLE,36
2012,Qtr 1,EVANSDALE,60
2013,Qtr 1,EVANSDALE,6
2014,Qtr 1,EVANSDALE,18
2015,Qtr 1,EVANSDALE,
2012,Qtr 1,FAIRBANK,6
2013,Qtr 1,FAIRBANK,
2014,Qtr 1,FAIRBANK,
2015,Qtr 1,FAIRBANK,12
2012,Qtr 1,FAIRFAX,
2013,Qtr 1,FAIRFAX,
2014,Qtr 1,FAIRFAX,
2015,Qtr 1,FAIRFAX,24
2012,Qtr 1,FAIRFIELD,30
2013,Qtr 1,FAIRFIELD,90
2014,Qtr 1,FAIRFIELD,66
2015,Qtr 1,FAIRFIELD,60
2012,Qtr 1,FARLEY,
2013,Qtr 1,FARLEY,
2014,Qtr 1,FARLEY,12
2015,Qtr 1,FARLEY,
2012,Qtr 1,FARMINGTON,6
2013,Qtr 1,FARMINGTON,
2014,Qtr 1,FARMINGTON,
2015,Qtr 1,FARMINGTON,
2012,Qtr 1,FLOYD,
2013,Qtr 1,FLOYD,6
2014,Qtr 1,FLOYD,6
2015,Qtr 1,FLOYD,12
2012,Qtr 1,FONTANELLE,
2013,Qtr 1,FONTANELLE,12
2014,Qtr 1,FONTANELLE,
2015,Qtr 1,FONTANELLE,12
2012,Qtr 1,FOREST CITY,18
2013,Qtr 1,FOREST CITY,18
2014,Qtr 1,FOREST CITY,
2015,Qtr 1,FOREST CITY,42
2012,Qtr 1,FORT ATKINSON,
2013,Qtr 1,FORT ATKINSON,
2014,Qtr 1,FORT ATKINSON,
2015,Qtr 1,FORT ATKINSON,12
2012,Qtr 1,FORT DODGE,84
2013,Qtr 1,FORT DODGE,180
2014,Qtr 1,FORT DODGE,66
2015,Qtr 1,FORT DODGE,162
2012,Qtr 1,FORT MADISON,120
2013,Qtr 1,FORT MADISON,60
2014,Qtr 1,FORT MADISON,66
2015,Qtr 1,FORT MADISON,
2012,Qtr 1,GARNER,6
2013,Qtr 1,GARNER,6
2014,Qtr 1,GARNER,12
2015,Qtr 1,GARNER,6
2012,Qtr 1,GEORGE,
2013,Qtr 1,GEORGE,18
2014,Qtr 1,GEORGE,
2015,Qtr 1,GEORGE,
2012,Qtr 1,GLADBROOK,
2013,Qtr 1,GLADBROOK,12
2014,Qtr 1,GLADBROOK,
2015,Qtr 1,GLADBROOK,
2012,Qtr 1,GLENWOOD,18
2013,Qtr 1,GLENWOOD,12
2014,Qtr 1,GLENWOOD,6
2015,Qtr 1,GLENWOOD,24
2012,Qtr 1,GLIDDEN,
2013,Qtr 1,GLIDDEN,12
2014,Qtr 1,GLIDDEN,
2015,Qtr 1,GLIDDEN,
2012,Qtr 1,GOWRIE,24
2013,Qtr 1,GOWRIE,
2014,Qtr 1,GOWRIE,
2015,Qtr 1,GOWRIE,
2012,Qtr 1,GRAETTINGER,
2013,Qtr 1,GRAETTINGER,
2014,Qtr 1,GRAETTINGER,
2015,Qtr 1,GRAETTINGER,6
2012,Qtr 1,GREENE,12
2013,Qtr 1,GREENE,
2014,Qtr 1,GREENE,
2015,Qtr 1,GREENE,
2012,Qtr 1,GREENFIELD,
2013,Qtr 1,GREENFIELD,
2014,Qtr 1,GREENFIELD,18
2015,Qtr 1,GREENFIELD,
2012,Qtr 1,GRIMES,48
2013,Qtr 1,GRIMES,42
2014,Qtr 1,GRIMES,60
2015,Qtr 1,GRIMES,78
2012,Qtr 1,GRINNELL,12
2013,Qtr 1,GRINNELL,54
2014,Qtr 1,GRINNELL,66
2015,Qtr 1,GRINNELL,46
2012,Qtr 1,GRUNDY CENTER,36
2013,Qtr 1,GRUNDY CENTER,6
2014,Qtr 1,GRUNDY CENTER,
2015,Qtr 1,GRUNDY CENTER,12
2012,Qtr 1,GUTHRIE CENTER,6
2013,Qtr 1,GUTHRIE CENTER,6
2014,Qtr 1,GUTHRIE CENTER,
2015,Qtr 1,GUTHRIE CENTER,24
2012,Qtr 1,GUTTENBERG,12
2013,Qtr 1,GUTTENBERG,24
2014,Qtr 1,GUTTENBERG,
2015,Qtr 1,GUTTENBERG,18
2012,Qtr 1,HAMBURG,
2013,Qtr 1,HAMBURG,24
2014,Qtr 1,HAMBURG,
2015,Qtr 1,HAMBURG,
2012,Qtr 1,HAMPTON,30
2013,Qtr 1,HAMPTON,48
2014,Qtr 1,HAMPTON,66
2015,Qtr 1,HAMPTON,60
2012,Qtr 1,HARLAN,12
2013,Qtr 1,HARLAN,18
2014,Qtr 1,HARLAN,78
2015,Qtr 1,HARLAN,6
2012,Qtr 1,HARPERS FERRY,
2013,Qtr 1,HARPERS FERRY,6
2014,Qtr 1,HARPERS FERRY,
2015,Qtr 1,HARPERS FERRY,
2012,Qtr 1,HARTLEY,
2013,Qtr 1,HARTLEY,
2014,Qtr 1,HARTLEY,12
2015,Qtr 1,HARTLEY,
2012,Qtr 1,HAWARDEN,
2013,Qtr 1,HAWARDEN,
2014,Qtr 1,HAWARDEN,
2015,Qtr 1,HAWARDEN,12
2012,Qtr 1,HIAWATHA,18
2013,Qtr 1,HIAWATHA,60
2014,Qtr 1,HIAWATHA,18
2015,Qtr 1,HIAWATHA,48
2012,Qtr 1,HOLSTEIN,6
2013,Qtr 1,HOLSTEIN,
2014,Qtr 1,HOLSTEIN,
2015,Qtr 1,HOLSTEIN,
2012,Qtr 1,HOLY CROSS,12
2013,Qtr 1,HOLY CROSS,
2014,Qtr 1,HOLY CROSS,6
2015,Qtr 1,HOLY CROSS,
2012,Qtr 1,HOSPERS,
2013,Qtr 1,HOSPERS,
2014,Qtr 1,HOSPERS,
2015,Qtr 1,HOSPERS,12
2012,Qtr 1,HUDSON,
2013,Qtr 1,HUDSON,
2014,Qtr 1,HUDSON,
2015,Qtr 1,HUDSON,24
2012,Qtr 1,HUMBOLDT,36
2013,Qtr 1,HUMBOLDT,30
2014,Qtr 1,HUMBOLDT,12
2015,Qtr 1,HUMBOLDT,54
2012,Qtr 1,IDA GROVE,12
2013,Qtr 1,IDA GROVE,
2014,Qtr 1,IDA GROVE,30
2015,Qtr 1,IDA GROVE,24
2012,Qtr 1,INDEPENDENCE,36
2013,Qtr 1,INDEPENDENCE,66
2014,Qtr 1,INDEPENDENCE,60
2015,Qtr 1,INDEPENDENCE,60
2012,Qtr 1,INDIANOLA,15
2013,Qtr 1,INDIANOLA,78
2014,Qtr 1,INDIANOLA,108
2015,Qtr 1,INDIANOLA,54
2012,Qtr 1,INWOOD,
2013,Qtr 1,INWOOD,
2014,Qtr 1,INWOOD,
2015,Qtr 1,INWOOD,72
2012,Qtr 1,IOWA CITY,244
2013,Qtr 1,IOWA CITY,394
2014,Qtr 1,IOWA CITY,330
2015,Qtr 1,IOWA CITY,270
2012,Qtr 1,IOWA FALLS,24
2013,Qtr 1,IOWA FALLS,12
2014,Qtr 1,IOWA FALLS,36
2015,Qtr 1,IOWA FALLS,36
2012,Qtr 1,IRETON,
2013,Qtr 1,IRETON,12
2014,Qtr 1,IRETON,
2015,Qtr 1,IRETON,
2012,Qtr 1,JEFFERSON,54
2013,Qtr 1,JEFFERSON,54
2014,Qtr 1,JEFFERSON,36
2015,Qtr 1,JEFFERSON,16
2012,Qtr 1,JOHNSTON,102
2013,Qtr 1,JOHNSTON,54
2014,Qtr 1,JOHNSTON,60
2015,Qtr 1,JOHNSTON,66
2012,Qtr 1,KEOKUK,54
2013,Qtr 1,KEOKUK,42
2014,Qtr 1,KEOKUK,60
2015,Qtr 1,KEOKUK,30
2012,Qtr 1,KEOSAUQUA,
2013,Qtr 1,KEOSAUQUA,18
2014,Qtr 1,KEOSAUQUA,
2015,Qtr 1,KEOSAUQUA,
2012,Qtr 1,KEOTA,6
2013,Qtr 1,KEOTA,
2014,Qtr 1,KEOTA,
2015,Qtr 1,KEOTA,
2012,Qtr 1,KNOXVILLE,84
2013,Qtr 1,KNOXVILLE,96
2014,Qtr 1,KNOXVILLE,72
2015,Qtr 1,KNOXVILLE,90
2012,Qtr 1,LA PORTE CITY,12
2013,Qtr 1,LA PORTE CITY,12
2014,Qtr 1,LA PORTE CITY,6
2015,Qtr 1,LA PORTE CITY,12
2012,Qtr 1,LAKE CITY,
2013,Qtr 1,LAKE CITY,12
2014,Qtr 1,LAKE CITY,
2015,Qtr 1,LAKE CITY,
2012,Qtr 1,LAKE MILLS,
2013,Qtr 1,LAKE MILLS,
2014,Qtr 1,LAKE MILLS,12
2015,Qtr 1,LAKE MILLS,6
2012,Qtr 1,LAMONI,
2013,Qtr 1,LAMONI,18
2014,Qtr 1,LAMONI,
2015,Qtr 1,LAMONI,
2012,Qtr 1,LANSING,24
2013,Qtr 1,LANSING,18
2014,Qtr 1,LANSING,24
2015,Qtr 1,LANSING,
2012,Qtr 1,LARCHWOOD,
2013,Qtr 1,LARCHWOOD,12
2014,Qtr 1,LARCHWOOD,
2015,Qtr 1,LARCHWOOD,48
2012,Qtr 1,LAURENS,12
2013,Qtr 1,LAURENS,
2014,Qtr 1,LAURENS,24
2015,Qtr 1,LAURENS,
2012,Qtr 1,LAWLER,
2013,Qtr 1,LAWLER,
2014,Qtr 1,LAWLER,12
2015,Qtr 1,LAWLER,
2012,Qtr 1,LE CLAIRE,24
2013,Qtr 1,LE CLAIRE,
2014,Qtr 1,LE CLAIRE,
2015,Qtr 1,LE CLAIRE,
2012,Qtr 1,LE GRAND,18
2013,Qtr 1,LE GRAND,42
2014,Qtr 1,LE GRAND,18
2015,Qtr 1,LE GRAND,10
2012,Qtr 1,LE MARS,24
2013,Qtr 1,LE MARS,
2014,Qtr 1,LE MARS,24
2015,Qtr 1,LE MARS,18
2012,Qtr 1,LECLAIRE,
2013,Qtr 1,LECLAIRE,
2014,Qtr 1,LECLAIRE,6
2015,Qtr 1,LECLAIRE,24
2012,Qtr 1,LEMARS,48
2013,Qtr 1,LEMARS,18
2014,Qtr 1,LEMARS,36
2015,Qtr 1,LEMARS,6
2012,Qtr 1,LENOX,
2013,Qtr 1,LENOX,24
2014,Qtr 1,LENOX,
2015,Qtr 1,LENOX,36
2012,Qtr 1,LEON,
2013,Qtr 1,LEON,12
2014,Qtr 1,LEON,
2015,Qtr 1,LEON,12
2012,Qtr 1,LISBON,
2013,Qtr 1,LISBON,
2014,Qtr 1,LISBON,
2015,Qtr 1,LISBON,12
2012,Qtr 1,LOGAN,24
2013,Qtr 1,LOGAN,12
2014,Qtr 1,LOGAN,
2015,Qtr 1,LOGAN,6
2012,Qtr 1,MADRID,
2013,Qtr 1,MADRID,12
2014,Qtr 1,MADRID,12
2015,Qtr 1,MADRID,24
2012,Qtr 1,MANCHESTER,12
2013,Qtr 1,MANCHESTER,36
2014,Qtr 1,MANCHESTER,18
2015,Qtr 1,MANCHESTER,24
2012,Qtr 1,MANNING,
2013,Qtr 1,MANNING,
2014,Qtr 1,MANNING,6
2015,Qtr 1,MANNING,12
2012,Qtr 1,MANSON,
2013,Qtr 1,MANSON,
2014,Qtr 1,MANSON,
2015,Qtr 1,MANSON,6
2012,Qtr 1,MAPLETON,36
2013,Qtr 1,MAPLETON,18
2014,Qtr 1,MAPLETON,30
2015,Qtr 1,MAPLETON,12
2012,Qtr 1,MAQUOKETA,36
2013,Qtr 1,MAQUOKETA,42
2014,Qtr 1,MAQUOKETA,30
2015,Qtr 1,MAQUOKETA,30
2012,Qtr 1,MARCUS,
2013,Qtr 1,MARCUS,12
2014,Qtr 1,MARCUS,12
2015,Qtr 1,MARCUS,
2012,Qtr 1,MARENGO,30
2013,Qtr 1,MARENGO,18
2014,Qtr 1,MARENGO,12
2015,Qtr 1,MARENGO,24
2012,Qtr 1,MARION,64
2013,Qtr 1,MARION,144
2014,Qtr 1,MARION,144
2015,Qtr 1,MARION,126
2012,Qtr 1,MARSHALLTOWN,162
2013,Qtr 1,MARSHALLTOWN,132
2014,Qtr 1,MARSHALLTOWN,133
2015,Qtr 1,MARSHALLTOWN,108
2012,Qtr 1,MARTENSDALE,
2013,Qtr 1,MARTENSDALE,
2014,Qtr 1,MARTENSDALE,6
2015,Qtr 1,MARTENSDALE,
2012,Qtr 1,MASON CITY,78
2013,Qtr 1,MASON CITY,100
2014,Qtr 1,MASON CITY,162
2015,Qtr 1,MASON CITY,132
2012,Qtr 1,MECHANICSVILLE,
2013,Qtr 1,MECHANICSVILLE,
2014,Qtr 1,MECHANICSVILLE,12
2015,Qtr 1,MECHANICSVILLE,
2012,Qtr 1,MEDIAPOLIS,48
2013,Qtr 1,MEDIAPOLIS,24
2014,Qtr 1,MEDIAPOLIS,42
2015,Qtr 1,MEDIAPOLIS,18
2012,Qtr 1,MELCHER-DALLAS,
2013,Qtr 1,MELCHER-DALLAS,
2014,Qtr 1,MELCHER-DALLAS,12
2015,Qtr 1,MELCHER-DALLAS,12
2012,Qtr 1,MILFORD,6
2013,Qtr 1,MILFORD,18
2014,Qtr 1,MILFORD,84
2015,Qtr 1,MILFORD,30
2012,Qtr 1,MISSOURI VALLEY,18
2013,Qtr 1,MISSOURI VALLEY,12
2014,Qtr 1,MISSOURI VALLEY,
2015,Qtr 1,MISSOURI VALLEY,102
2012,Qtr 1,MONONA,12
2013,Qtr 1,MONONA,12
2014,Qtr 1,MONONA,12
2015,Qtr 1,MONONA,
2012,Qtr 1,MONROE,12
2013,Qtr 1,MONROE,
2014,Qtr 1,MONROE,
2015,Qtr 1,MONROE,
2012,Qtr 1,MONTEZUMA,12
2013,Qtr 1,MONTEZUMA,12
2014,Qtr 1,MONTEZUMA,
2015,Qtr 1,MONTEZUMA,18
2012,Qtr 1,MONTICELLO,42
2013,Qtr 1,MONTICELLO,42
2014,Qtr 1,MONTICELLO,60
2015,Qtr 1,MONTICELLO,30
2012,Qtr 1,MOUNT PLEASANT,
2013,Qtr 1,MOUNT PLEASANT,
2014,Qtr 1,MOUNT PLEASANT,28
2015,Qtr 1,MOUNT PLEASANT,96
2012,Qtr 1,MOUNT VERNON,6
2013,Qtr 1,MOUNT VERNON,36
2014,Qtr 1,MOUNT VERNON,12
2015,Qtr 1,MOUNT VERNON,66
2012,Qtr 1,MT PLEASANT,
2013,Qtr 1,MT PLEASANT,
2014,Qtr 1,MT PLEASANT,
2015,Qtr 1,MT PLEASANT,6
2012,Qtr 1,MT VERNON,54
2013,Qtr 1,MT VERNON,36
2014,Qtr 1,MT VERNON,36
2015,Qtr 1,MT VERNON,12
2012,Qtr 1,MURRAY,
2013,Qtr 1,MURRAY,12
2014,Qtr 1,MURRAY,
2015,Qtr 1,MURRAY,
2012,Qtr 1,MUSCATINE,48
2013,Qtr 1,MUSCATINE,216
2014,Qtr 1,MUSCATINE,156
2015,Qtr 1,MUSCATINE,125
2012,Qtr 1,NASHUA,
2013,Qtr 1,NASHUA,6
2014,Qtr 1,NASHUA,
2015,Qtr 1,NASHUA,
2012,Qtr 1,NEVADA,72
2013,Qtr 1,NEVADA,30
2014,Qtr 1,NEVADA,
2015,Qtr 1,NEVADA,18
2012,Qtr 1,NEW HAMPTON,12
2013,Qtr 1,NEW HAMPTON,12
2014,Qtr 1,NEW HAMPTON,6
2015,Qtr 1,NEW HAMPTON,12
2012,Qtr 1,NEWTON,154
2013,Qtr 1,NEWTON,126
2014,Qtr 1,NEWTON,106
