Region,Year,Value Column Name,Value
"Americas","2019","Sum of FC - Sum of PL","204000"
"Americas","2019","(Sum of FC - Sum of PL)%","0.2446043165467626"
"Europe","2017","Sum of PY","667000"
"Europe","2017","Sum of PL","1292000"
"Europe","2017","Sum of FC","1071000"
"Europe","2017","Sum of AC","734000"
"Europe","2017","Sum of AC - Sum of PY","67000"
"Europe","2017","(Sum of AC - Sum of PY)%","0.10044977511244378"
"Europe","2017","Sum of AC - Sum of PL","-558000"
"Europe","2017","(Sum of AC - Sum of PL)%","-0.43188854489164086"
"Europe","2017","Sum of AC - Sum of FC","-337000"
"Europe","2017","(Sum of AC - Sum of FC)%","-0.3146591970121382"
"Europe","2017","Sum of PL - Sum of PY","625000"
"Europe","2017","(Sum of PL - Sum of PY)%","0.9370314842578711"
"Europe","2017","Sum of FC - Sum of PY","404000"
"Europe","2017","(Sum of FC - Sum of PY)%","0.6056971514242878"
"Europe","2017","Sum of FC - Sum of PL","-221000"
"Europe","2017","(Sum of FC - Sum of PL)%","-0.17105263157894737"
"Europe","2018","Sum of PY","800000"
"Europe","2018","Sum of PL","912000"
"Europe","2018","Sum of FC","1140000"
"Europe","2018","Sum of AC","510000"
"Europe","2018","Sum of AC - Sum of PY","-290000"
"Europe","2018","(Sum of AC - Sum of PY)%","-0.3625"
"Europe","2018","Sum of AC - Sum of PL","-402000"
"Europe","2018","(Sum of AC - Sum of PL)%","-0.44078947368421045"
"Europe","2018","Sum of AC - Sum of FC","-630000"
"Europe","2018","(Sum of AC - Sum of FC)%","-0.5526315789473685"
"Europe","2018","Sum of PL - Sum of PY","112000"
"Europe","2018","(Sum of PL - Sum of PY)%","0.14"
"Europe","2018","Sum of FC - Sum of PY","340000"
"Europe","2018","(Sum of FC - Sum of PY)%","0.425"
"Europe","2018","Sum of FC - Sum of PL","228000"
"Europe","2018","(Sum of FC - Sum of PL)%","0.25"
"Europe","2019","Sum of PY","1223000"
"Europe","2019","Sum of PL","967000"
"Europe","2019","Sum of FC","937000"
"Europe","2019","Sum of AC","1283000"
"Europe","2019","Sum of AC - Sum of PY","60000"
"Europe","2019","(Sum of AC - Sum of PY)%","0.04905968928863451"
"Europe","2019","Sum of AC - Sum of PL","316000"
"Europe","2019","(Sum of AC - Sum of PL)%","0.3267838676318511"
"Europe","2019","Sum of AC - Sum of FC","346000"
"Europe","2019","(Sum of AC - Sum of FC)%","0.36926360725720386"
"Europe","2019","Sum of PL - Sum of PY","-256000"
"Europe","2019","(Sum of PL - Sum of PY)%","-0.20932134096484056"
"Europe","2019","Sum of FC - Sum of PY","-286000"
"Europe","2019","(Sum of FC - Sum of PY)%","-0.23385118560915777"
"Europe","2019","Sum of FC - Sum of PL","-30000"
"Europe","2019","(Sum of FC - Sum of PL)%","-0.031023784901758014"
"Asia-Pacific","2017","Sum of PY","1035000"
"Asia-Pacific","2017","Sum of PL","919000"
"Asia-Pacific","2017","Sum of FC","1030000"
"Asia-Pacific","2017","Sum of AC","804000"
"Asia-Pacific","2017","Sum of AC - Sum of PY","-231000"
"Asia-Pacific","2017","(Sum of AC - Sum of PY)%","-0.22318840579710145"
"Asia-Pacific","2017","Sum of AC - Sum of PL","-115000"
"Asia-Pacific","2017","(Sum of AC - Sum of PL)%","-0.1251360174102285"
"Asia-Pacific","2017","Sum of AC - Sum of FC","-226000"
"Asia-Pacific","2017","(Sum of AC - Sum of FC)%","-0.21941747572815534"
"Asia-Pacific","2017","Sum of PL - Sum of PY","-116000"
"Asia-Pacific","2017","(Sum of PL - Sum of PY)%","-0.11207729468599034"
"Asia-Pacific","2017","Sum of FC - Sum of PY","-5000"
"Asia-Pacific","2017","(Sum of FC - Sum of PY)%","-0.004830917874396135"
"Asia-Pacific","2017","Sum of FC - Sum of PL","111000"
"Asia-Pacific","2017","(Sum of FC - Sum of PL)%","0.12078346028291621"
"Asia-Pacific","2018","Sum of PY","763000"
"Asia-Pacific","2018","Sum of PL","864000"
"Asia-Pacific","2018","Sum of FC","1173000"
"Asia-Pacific","2018","Sum of AC","949000"
"Asia-Pacific","2018","Sum of AC - Sum of PY","186000"
"Asia-Pacific","2018","(Sum of AC - Sum of PY)%","0.2437745740498034"
"Asia-Pacific","2018","Sum of AC - Sum of PL","85000"
"Asia-Pacific","2018","(Sum of AC - Sum of PL)%","0.09837962962962964"
"Asia-Pacific","2018","Sum of AC - Sum of FC","-224000"
"Asia-Pacific","2018","(Sum of AC - Sum of FC)%","-0.19096334185848252"
"Asia-Pacific","2018","Sum of PL - Sum of PY","101000"
"Asia-Pacific","2018","(Sum of PL - Sum of PY)%","0.13237221494102228"
"Asia-Pacific","2018","Sum of FC - Sum of PY","410000"
"Asia-Pacific","2018","(Sum of FC - Sum of PY)%","0.5373525557011796"
"Asia-Pacific","2018","Sum of FC - Sum of PL","309000"
"Asia-Pacific","2018","(Sum of FC - Sum of PL)%","0.35763888888888895"
"Asia-Pacific","2019","Sum of PY","883000"
"Asia-Pacific","2019","Sum of PL","775000"
"Asia-Pacific","2019","Sum of FC","833000"
"Asia-Pacific","2019","Sum of AC","523000"
"Asia-Pacific","2019","Sum of AC - Sum of PY","-360000"
"Asia-Pacific","2019","(Sum of AC - Sum of PY)%","-0.40770101925254815"
"Asia-Pacific","2019","Sum of AC - Sum of PL","-252000"
"Asia-Pacific","2019","(Sum of AC - Sum of PL)%","-0.3251612903225806"
"Asia-Pacific","2019","Sum of AC - Sum of FC","-310000"
"Asia-Pacific","2019","(Sum of AC - Sum of FC)%","-0.37214885954381755"
"Asia-Pacific","2019","Sum of PL - Sum of PY","-108000"
"Asia-Pacific","2019","(Sum of PL - Sum of PY)%","-0.12231030577576445"
"Asia-Pacific","2019","Sum of FC - Sum of PY","-50000"
"Asia-Pacific","2019","(Sum of FC - Sum of PY)%","-0.056625141562853906"
"Asia-Pacific","2019","Sum of FC - Sum of PL","58000"
"Asia-Pacific","2019","(Sum of FC - Sum of PL)%","0.07483870967741936"
