GL Balances.Period Date.Variation.Date Hierarchy.Month,GL Balances.Period Date.Variation.Date Hierarchy.Quarter,GL Balances.Period Date.Variation.Date Hierarchy.Year,Sum(GL Balances.Report Amount)
February,Qtr 1,2022,2368
March,Qtr 1,2022,9677
April,Qtr 2,2022,5174
May,Qtr 2,2022,7332
June,Qtr 2,2022,8365
July,Qtr 3,2022,184
August,Qtr 3,2022,427
September,Qtr 3,2022,9884
October,Qtr 4,2022,592
November,Qtr 4,2022,2539
December,Qtr 4,2022,9666
January,Qtr 1,2023,74630
February,Qtr 1,2023,2843
March,Qtr 1,2023,3265
April,Qtr 2,2023,72833
May,Qtr 2,2023,7581
June,Qtr 2,2023,29
July,Qtr 3,2023,2897
August,Qtr 3,2023,7691
September,Qtr 3,2023,197
October,Qtr 4,2023,1622
November,Qtr 4,2023,1656
December,Qtr 4,2023,2933
January,Qtr 1,2024,73417
February,Qtr 1,2024,2140
March,Qtr 1,2024,4866
April,Qtr 2,2024,2946
May,Qtr 2,2024,3693
June,Qtr 2,2024,4717
July,Qtr 3,2024,1651
August,Qtr 3,2024,3672
September,Qtr 3,2024,8732
October,Qtr 4,2024,7448
November,Qtr 4,2024,2283
December,Qtr 4,2024,8064
January,Qtr 1,2020,6
February,Qtr 1,2020,9
March,Qtr 1,2020,2
April,Qtr 2,2020,1
May,Qtr 2,2020,8
June,Qtr 2,2020,9
July,Qtr 3,2020,5
August,Qtr 3,2020,5
September,Qtr 3,2020,0
October,Qtr 4,2020,8
November,Qtr 4,2020,1
December,Qtr 4,2020,4
January,Qtr 1,2021,2
February,Qtr 1,2021,1
March,Qtr 1,2021,6
April,Qtr 2,2021,5
May,Qtr 2,2021,0
June,Qtr 2,2021,7
July,Qtr 3,2021,4
August,Qtr 3,2021,5
September,Qtr 3,2021,4
October,Qtr 4,2021,4
November,Qtr 4,2021,0
December,Qtr 4,2021,9
January,Qtr 1,2022,6
February,Qtr 1,2022,4
March,Qtr 1,2022,4
April,Qtr 2,2022,3
May,Qtr 2,2022,4
June,Qtr 2,2022,9
July,Qtr 3,2022,1
August,Qtr 3,2022,439463739.5
September,Qtr 3,2022,1607505.35
October,Qtr 4,2022,848884.73
November,Qtr 4,2022,5679
December,Qtr 4,2022,4333
January,Qtr 1,2023,1519
February,Qtr 1,2023,942736
March,Qtr 1,2023,41797.44
April,Qtr 2,2023,35527.62
May,Qtr 2,2023,80815.93
June,Qtr 2,2023,3019151.03
July,Qtr 3,2023,3640794.94
August,Qtr 3,2023,3293980.59
September,Qtr 3,2023,6801343.07
October,Qtr 4,2023,5982619.31
November,Qtr 4,2023,1573231.13
December,Qtr 4,2023,1782329.9
January,Qtr 1,2024,898467.32
February,Qtr 1,2024,6027826.55
March,Qtr 1,2024,2658868.33
April,Qtr 2,2024,8991602.41
May,Qtr 2,2024,5298345.45
June,Qtr 2,2024,9338678.86
July,Qtr 3,2024,6702062.44
August,Qtr 3,2024,1911594.05
September,Qtr 3,2024,7853170.54
October,Qtr 4,2024,2422405.76
November,Qtr 4,2024,3176996.6
December,Qtr 4,2024,9460185.83
January,Qtr 1,2020,5
February,Qtr 1,2020,8
March,Qtr 1,2020,8
April,Qtr 2,2020,5
May,Qtr 2,2020,5
June,Qtr 2,2020,8
July,Qtr 3,2020,7
August,Qtr 3,2020,1
September,Qtr 3,2020,7
October,Qtr 4,2020,6
November,Qtr 4,2020,9
December,Qtr 4,2020,4
January,Qtr 1,2021,7
February,Qtr 1,2021,2
March,Qtr 1,2021,0
April,Qtr 2,2021,6
May,Qtr 2,2021,9
June,Qtr 2,2021,1
July,Qtr 3,2021,9
August,Qtr 3,2021,0
September,Qtr 3,2021,1
October,Qtr 4,2021,1
November,Qtr 4,2021,6
December,Qtr 4,2021,5
January,Qtr 1,2022,7
February,Qtr 1,2022,5
March,Qtr 1,2022,3
April,Qtr 2,2022,2
May,Qtr 2,2022,9
June,Qtr 2,2022,1
July,Qtr 3,2022,9
August,Qtr 3,2022,5
September,Qtr 3,2022,6
October,Qtr 4,2022,3
November,Qtr 4,2022,8
December,Qtr 4,2022,7
January,Qtr 1,2023,9
February,Qtr 1,2023,15653778
March,Qtr 1,2023,95749879
April,Qtr 2,2023,71753463
May,Qtr 2,2023,44398302
June,Qtr 2,2023,11895204
July,Qtr 3,2023,63324
August,Qtr 3,2023,77504
September,Qtr 3,2023,68863
October,Qtr 4,2023,98942
November,Qtr 4,2023,37472
December,Qtr 4,2023,87236
January,Qtr 1,2024,22517
February,Qtr 1,2024,41884
March,Qtr 1,2024,106
April,Qtr 2,2024,90062
May,Qtr 2,2024,47879
June,Qtr 2,2024,30129
July,Qtr 3,2024,97370
August,Qtr 3,2024,50518
September,Qtr 3,2024,25139
October,Qtr 4,2024,21596
November,Qtr 4,2024,21730
December,Qtr 4,2024,61694
January,Qtr 1,2020,1
February,Qtr 1,2020,4
March,Qtr 1,2020,2
April,Qtr 2,2020,3
May,Qtr 2,2020,5
June,Qtr 2,2020,8
July,Qtr 3,2020,3
August,Qtr 3,2020,1
September,Qtr 3,2020,2
October,Qtr 4,2020,1
November,Qtr 4,2020,8
December,Qtr 4,2020,1
January,Qtr 1,2021,9
February,Qtr 1,2021,3
March,Qtr 1,2021,1
April,Qtr 2,2021,4
May,Qtr 2,2021,8
June,Qtr 2,2021,5
July,Qtr 3,2021,7
August,Qtr 3,2021,8
September,Qtr 3,2021,9
October,Qtr 4,2021,3
November,Qtr 4,2021,5
December,Qtr 4,2021,5
January,Qtr 1,2022,7
February,Qtr 1,2022,7
March,Qtr 1,2022,9
April,Qtr 2,2022,7
May,Qtr 2,2022,9
June,Qtr 2,2022,3
July,Qtr 3,2022,6
August,Qtr 3,2022,4
September,Qtr 3,2022,2
October,Qtr 4,2022,4
November,Qtr 4,2022,1
December,Qtr 4,2022,5
January,Qtr 1,2023,9
February,Qtr 1,2023,1
March,Qtr 1,2023,9
April,Qtr 2,2023,6
May,Qtr 2,2023,8
June,Qtr 2,2023,3
July,Qtr 3,2023,3
August,Qtr 3,2023,6
September,Qtr 3,2023,34886684.5
October,Qtr 4,2023,68248359.83
November,Qtr 4,2023,9428550.74
December,Qtr 4,2023,298324.98
January,Qtr 1,2024,1055836.625
February,Qtr 1,2024,638374.17
March,Qtr 1,2024,29560033.67
April,Qtr 2,2024,37590515.85
May,Qtr 2,2024,28495805.58
June,Qtr 2,2024,24405733.03
July,Qtr 3,2024,34110247.22
August,Qtr 3,2024,36852803.89
September,Qtr 3,2024,49349967.31
October,Qtr 4,2024,8804283.66
November,Qtr 4,2024,56566237.39
December,Qtr 4,2024,9459925.16
January,Qtr 1,2020,5
February,Qtr 1,2020,0
March,Qtr 1,2020,6
April,Qtr 2,2020,2
May,Qtr 2,2020,3
June,Qtr 2,2020,7
July,Qtr 3,2020,6
August,Qtr 3,2020,5
September,Qtr 3,2020,6
October,Qtr 4,2020,1
November,Qtr 4,2020,3
December,Qtr 4,2020,0
January,Qtr 1,2021,7
February,Qtr 1,2021,9
March,Qtr 1,2021,3
April,Qtr 2,2021,5
May,Qtr 2,2021,3
June,Qtr 2,2021,9
July,Qtr 3,2021,7
August,Qtr 3,2021,5
September,Qtr 3,2021,0
October,Qtr 4,2021,6
November,Qtr 4,2021,7
December,Qtr 4,2021,8
January,Qtr 1,2022,8
February,Qtr 1,2022,4
March,Qtr 1,2022,6
April,Qtr 2,2022,3
May,Qtr 2,2022,9
June,Qtr 2,2022,9
July,Qtr 3,2022,9
August,Qtr 3,2022,6
September,Qtr 3,2022,5
October,Qtr 4,2022,3
November,Qtr 4,2022,7
December,Qtr 4,2022,9
January,Qtr 1,2023,8
February,Qtr 1,2023,7
March,Qtr 1,2023,4
April,Qtr 2,2023,1
May,Qtr 2,2023,1
June,Qtr 2,2023,1
July,Qtr 3,2023,4
August,Qtr 3,2023,9
September,Qtr 3,2023,8
October,Qtr 4,2023,6
November,Qtr 4,2023,2
December,Qtr 4,2023,2
January,Qtr 1,2024,0
February,Qtr 1,2024,965662.3
March,Qtr 1,2024,613566.9
April,Qtr 2,2024,811412.3
May,Qtr 2,2024,749852.3
June,Qtr 2,2024,519249.2
July,Qtr 3,2024,37092.8
August,Qtr 3,2024,279011.4
September,Qtr 3,2024,967959.2
October,Qtr 4,2024,173351.4
November,Qtr 4,2024,149851.1
December,Qtr 4,2024,202225.6
January,Qtr 1,2020,1
February,Qtr 1,2020,3
March,Qtr 1,2020,4
April,Qtr 2,2020,2
May,Qtr 2,2020,8
June,Qtr 2,2020,6
July,Qtr 3,2020,0
August,Qtr 3,2020,8
September,Qtr 3,2020,3
October,Qtr 4,2020,0
November,Qtr 4,2020,6
December,Qtr 4,2020,3
January,Qtr 1,2021,3
February,Qtr 1,2021,2
March,Qtr 1,2021,2
April,Qtr 2,2021,1
May,Qtr 2,2021,9
June,Qtr 2,2021,4
July,Qtr 3,2021,7
August,Qtr 3,2021,9
September,Qtr 3,2021,5
October,Qtr 4,2021,4
November,Qtr 4,2021,4
December,Qtr 4,2021,1
January,Qtr 1,2022,8
February,Qtr 1,2022,2
March,Qtr 1,2022,0
April,Qtr 2,2022,9
May,Qtr 2,2022,7
June,Qtr 2,2022,2
July,Qtr 3,2022,9
August,Qtr 3,2022,0
September,Qtr 3,2022,8
October,Qtr 4,2022,6
November,Qtr 4,2022,0
December,Qtr 4,2022,6
January,Qtr 1,2023,1
February,Qtr 1,2023,9
March,Qtr 1,2023,8
April,Qtr 2,2023,1
May,Qtr 2,2023,7
June,Qtr 2,2023,7
July,Qtr 3,2023,1
August,Qtr 3,2023,9
September,Qtr 3,2023,5
October,Qtr 4,2023,1
November,Qtr 4,2023,0
December,Qtr 4,2023,7
January,Qtr 1,2024,7
February,Qtr 1,2024,3
March,Qtr 1,2024,3
April,Qtr 2,2024,2
May,Qtr 2,2024,5
June,Qtr 2,2024,8
July,Qtr 3,2024,1
August,Qtr 3,2024,7
September,Qtr 3,2024,9
October,Qtr 4,2024,9
November,Qtr 4,2024,9
December,Qtr 4,2024,6
January,Qtr 1,2020,4
February,Qtr 1,2020,4
March,Qtr 1,2020,4
April,Qtr 2,2020,0
May,Qtr 2,2020,3
June,Qtr 2,2020,0
July,Qtr 3,2020,5
August,Qtr 3,2020,9
September,Qtr 3,2020,7
October,Qtr 4,2020,2
November,Qtr 4,2020,0
December,Qtr 4,2020,908595.7
January,Qtr 1,2021,6618934.4
February,Qtr 1,2021,4441.5
March,Qtr 1,2021,146243.3
April,Qtr 2,2021,393955.3
May,Qtr 2,2021,82238.3
June,Qtr 2,2021,810858.1
July,Qtr 3,2021,782546.6
August,Qtr 3,2021,120832.4
September,Qtr 3,2021,671866.2
October,Qtr 4,2021,319639.1
November,Qtr 4,2021,450154.8
December,Qtr 4,2021,912964.2
January,Qtr 1,2022,2537640.6
February,Qtr 1,2022,198090.6
March,Qtr 1,2022,283284.9
April,Qtr 2,2022,262936.5
May,Qtr 2,2022,865043.5
June,Qtr 2,2022,999247.2
July,Qtr 3,2022,998721.8
August,Qtr 3,2022,933100.8
September,Qtr 3,2022,258014.6
October,Qtr 4,2022,882807.3
November,Qtr 4,2022,450762.4
December,Qtr 4,2022,970800.3
January,Qtr 1,2023,6833774.8
February,Qtr 1,2023,0
March,Qtr 1,2023,8
April,Qtr 2,2023,6
May,Qtr 2,2023,5
June,Qtr 2,2023,7
July,Qtr 3,2023,3
August,Qtr 3,2023,6
September,Qtr 3,2023,2
October,Qtr 4,2023,7
November,Qtr 4,2023,5
December,Qtr 4,2023,8
January,Qtr 1,2024,5
February,Qtr 1,2024,9
March,Qtr 1,2024,3
April,Qtr 2,2024,1
May,Qtr 2,2024,8
June,Qtr 2,2024,1
July,Qtr 3,2024,3
August,Qtr 3,2024,1
September,Qtr 3,2024,0
October,Qtr 4,2024,1
November,Qtr 4,2024,4
December,Qtr 4,2024,5
January,Qtr 1,2020,7
February,Qtr 1,2020,5
March,Qtr 1,2020,5
April,Qtr 2,2020,0
May,Qtr 2,2020,3
June,Qtr 2,2020,7
July,Qtr 3,2020,3
August,Qtr 3,2020,0
September,Qtr 3,2020,7
October,Qtr 4,2020,4
November,Qtr 4,2020,0
December,Qtr 4,2020,90786.07
January,Qtr 1,2021,97677.2
February,Qtr 1,2021,58140.94
March,Qtr 1,2021,27888.17
April,Qtr 2,2021,47264.39
May,Qtr 2,2021,66431.2
June,Qtr 2,2021,81281.49
July,Qtr 3,2021,76330.66
August,Qtr 3,2021,7968.11
September,Qtr 3,2021,1540.72
October,Qtr 4,2021,93590.57
November,Qtr 4,2021,45697.3
December,Qtr 4,2021,3021.26
January,Qtr 1,2022,58562.44
February,Qtr 1,2022,79639.85
March,Qtr 1,2022,12098.42
April,Qtr 2,2022,98031.79
May,Qtr 2,2022,43689.06
June,Qtr 2,2022,7841.7
July,Qtr 3,2022,18416.06
August,Qtr 3,2022,61642.29
September,Qtr 3,2022,90792.36
October,Qtr 4,2022,9418.37
November,Qtr 4,2022,19337.75
December,Qtr 4,2022,64255.94
January,Qtr 1,2023,68228.57
February,Qtr 1,2023,23125.53
March,Qtr 1,2023,18964.73
April,Qtr 2,2023,85619.29
May,Qtr 2,2023,95542.15
June,Qtr 2,2023,12553.51
July,Qtr 3,2023,66629.1
August,Qtr 3,2023,63140.36
September,Qtr 3,2023,29356.83
October,Qtr 4,2023,69593.56
November,Qtr 4,2023,38668.73
December,Qtr 4,2023,39388.77
January,Qtr 1,2024,46675.68
February,Qtr 1,2024,58948.16
March,Qtr 1,2024,82942.4
April,Qtr 2,2024,10865.87
May,Qtr 2,2024,24789.64
June,Qtr 2,2024,65310.85
July,Qtr 3,2024,33364.76
August,Qtr 3,2024,73484.95
September,Qtr 3,2024,67316.65
October,Qtr 4,2024,77624.98
November,Qtr 4,2024,34886
December,Qtr 4,2024,75636.58
January,Qtr 1,2020,3
February,Qtr 1,2020,6
March,Qtr 1,2020,9
April,Qtr 2,2020,8
May,Qtr 2,2020,6
June,Qtr 2,2020,0
July,Qtr 3,2020,5
August,Qtr 3,2020,6
September,Qtr 3,2020,8
October,Qtr 4,2020,7
November,Qtr 4,2020,5
December,Qtr 4,2020,7
January,Qtr 1,2021,5
February,Qtr 1,2021,2
March,Qtr 1,2021,3
April,Qtr 2,2021,9
May,Qtr 2,2021,7
June,Qtr 2,2021,8
July,Qtr 3,2021,4
August,Qtr 3,2021,6
September,Qtr 3,2021,4
October,Qtr 4,2021,7
November,Qtr 4,2021,1
December,Qtr 4,2021,5
January,Qtr 1,2022,4
February,Qtr 1,2022,7
March,Qtr 1,2022,2
April,Qtr 2,2022,2
May,Qtr 2,2022,7
June,Qtr 2,2022,8
July,Qtr 3,2022,6
August,Qtr 3,2022,5
September,Qtr 3,2022,6
October,Qtr 4,2022,3
November,Qtr 4,2022,1
December,Qtr 4,2022,3
January,Qtr 1,2023,0
February,Qtr 1,2023,232544.98
March,Qtr 1,2023,398090.42
April,Qtr 2,2023,0
May,Qtr 2,2023,1
June,Qtr 2,2023,1
July,Qtr 3,2023,0
August,Qtr 3,2023,7
September,Qtr 3,2023,5
October,Qtr 4,2023,4
November,Qtr 4,2023,4
December,Qtr 4,2023,3
January,Qtr 1,2024,3
February,Qtr 1,2024,4
March,Qtr 1,2024,0
April,Qtr 2,2024,8
May,Qtr 2,2024,2
June,Qtr 2,2024,9
July,Qtr 3,2024,8
August,Qtr 3,2024,5
September,Qtr 3,2024,6
October,Qtr 4,2024,5
November,Qtr 4,2024,9
December,Qtr 4,2024,9
January,Qtr 1,2020,7
February,Qtr 1,2020,0
March,Qtr 1,2020,7
April,Qtr 2,2020,3
May,Qtr 2,2020,2
June,Qtr 2,2020,0
July,Qtr 3,2020,9
August,Qtr 3,2020,5
September,Qtr 3,2020,9
October,Qtr 4,2020,6
November,Qtr 4,2020,6
December,Qtr 4,2020,8
January,Qtr 1,2021,5665.53
February,Qtr 1,2021,6095.27
March,Qtr 1,2021,714.79
April,Qtr 2,2021,539.4
May,Qtr 2,2021,891.96
June,Qtr 2,2021,586.02
July,Qtr 3,2021,395.57
August,Qtr 3,2021,370.7
