Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Country,Orders.State,Sum(Orders.Profit),Sum(Orders.Quantity)
2015,United States,Pennsylvania,-3900.3451000000014,497
2016,United States,Pennsylvania,-4184.994100000002,514
2017,United States,Pennsylvania,-5112.8034000000025,713
2014,United States,Tennessee,50.02979999999991,77
2015,United States,Tennessee,-1924.1328,167
2016,United States,Tennessee,-163.30399999999997,133
2017,United States,Tennessee,-3304.2866,304
2014,United States,Texas,-9135.014000000014,799
2015,United States,Texas,-2516.182500000005,767
2016,United States,Texas,-5239.654900000003,1000
2017,United States,Texas,-8838.504900000004,1158
2014,United States,California,12637.949100000002,1537
2015,United States,California,14371.262999999994,1498
2016,United States,California,20005.71609999997,1999
2017,United States,California,29366.45889999998,2633
2014,United States,Michigan,1817.1086999999998,161
2015,United States,Michigan,5165.7983,252
2016,United States,Michigan,8992.518800000002,275
2017,United States,Michigan,8487.761799999998,258
2014,United States,New York,13748.944800000001,746
2015,United States,New York,19277.582600000016,966
2016,United States,New York,16654.94949999999,1193
2017,United States,New York,24357.071700000004,1319
2014,United States,Washington,6607.2765,351
2015,United States,Washington,5328.719700000002,275
2016,United States,Washington,4209.875700000003,451
2017,United States,Washington,17256.779799999993,806
2014,United States,Delaware,1338.5932999999995,74
2015,United States,Delaware,1608.8708,120
2016,United States,Delaware,976.7058000000002,90
2017,United States,Delaware,6053.204900000001,83
2014,United States,Kentucky,2309.3975000000005,107
2015,United States,Kentucky,2921.9150999999993,160
2016,United States,Kentucky,1216.6625999999997,70
2017,United States,Kentucky,4751.721399999999,186
2014,United States,Maryland,484.9964,48
2015,United States,Maryland,2713.8319,130
2016,United States,Maryland,1051.7434999999996,86
2017,United States,Maryland,2780.6069999999986,156
2014,United States,Massachusetts,2060.9683999999997,105
2015,United States,Massachusetts,1955.6684999999993,167
2016,United States,Massachusetts,1058.2778,82
2017,United States,Massachusetts,1710.5869000000012,137
2014,United States,Minnesota,6237.3607,103
2015,United States,Minnesota,1721.4784000000004,62
2016,United States,Minnesota,404.46939999999995,28
2017,United States,Minnesota,2459.8788999999992,138
2014,United States,Missouri,444.2582,50
2015,United States,Missouri,2892.6639999999998,45
2016,United States,Missouri,1365.8578000000002,44
2017,United States,Missouri,1733.4304999999997,113
2014,United States,New Jersey,1244.199,79
2015,United States,New Jersey,1315.6196,70
2016,United States,New Jersey,4947.024499999998,165
2017,United States,New Jersey,2266.0707,140
2014,United States,Rhode Island,1563.9346,41
2015,United States,Rhode Island,94.2376,20
2016,United States,Rhode Island,5160.0436,63
2017,United States,Rhode Island,467.41350000000006,75
2014,United States,Wisconsin,1106.7357,58
2015,United States,Wisconsin,2042.5054,94
2016,United States,Wisconsin,3729.4786000000004,186
2017,United States,Wisconsin,1523.0807000000002,125
2014,United States,Georgia,1491.7120999999997,121
2015,United States,Georgia,4763.914699999999,150
2016,United States,Georgia,3546.434599999999,199
2017,United States,Georgia,6447.9819,235
2014,United States,Indiana,868.1475999999999,72
2015,United States,Indiana,1990.1290999999997,143
2016,United States,Indiana,10385.1339,134
2017,United States,Indiana,5139.525699999998,229
2014,United States,Virginia,5954.670099999998,276
2015,United States,Virginia,2985.7927000000013,201
2016,United States,Virginia,7851.473000000001,254
2017,United States,Virginia,1806.0145999999995,162
