One Lakh Report.column.Variation.Date Hierarchy.Month,One Lakh Report.column.Variation.Date Hierarchy.Quarter,One Lakh Report.column.Variation.Date Hierarchy.Year,One Lakh Report.Continent,One Lakh Report.Country,One Lakh Report.States,One Lakh Report.Districts,One Lakh Report.Villages,Sum(One Lakh Report.Series 2),Sum(One Lakh Report.Series 3),Sum(One Lakh Report.Series 4),Sum(One Lakh Report.Series 5),Sum(One Lakh Report.Series 1)
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0002,Villages.0000,724388.59772,576207.624078,652636.512043,660239.718172,711810.133125
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0002,Villages.0000,569008.223208,491864.38583,472257.785622,442006.59131499997,590453.9493579998
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0002,Villages.0001,549129.3635610001,662760.9971540001,650575.2653948,526424.20847,354791.53935900005
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0002,Villages.0001,550756.0610710001,481668.26881800004,545170.6061018999,513607.3156450001,691991.588046
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0002,Villages.0001,472781.822384,687321.51782,535791.2846799999,484472.7727017,670427.64304
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0003,Villages.0000,450267.29161,421230.899499,766504.63522,474654.985734,547024.298264
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0003,Villages.0000,666569.6818278,567448.78701,642611.65236,666158.8078699999,558108.5227280001
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0003,Villages.0000,542009.761808,699347.08944,591415.7550599999,659690.051446,636381.2839299999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0003,Villages.0001,600441.8689282001,606769.48279,494258.8201479999,510231.59831100004,750731.9778499999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0003,Villages.0001,679159.3050609999,691191.6221199998,603541.543776,564894.1992839001,600997.764121
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0003,Villages.0001,525468.1877149999,654479.38676,529785.343965,679564.8933199999,638467.4946049999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0004,Villages.0000,580422.6790880001,473512.98673,648040.50356,484784.60455750005,522808.38326000003
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0004,Villages.0000,551464.833203,682845.802649,628960.42587,627084.8475299999,665562.11672
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0004,Villages.0000,535073.1790349999,727626.1149970001,586890.0626317,609246.7353899999,717391.50031
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0004,Villages.0001,574140.7371850001,672387.6645497,502027.57487199997,592612.67352,401451.61077240005
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0004,Villages.0001,731388.9379,624628.59705,422496.92143600003,539295.8106890001,644545.4321
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0004,Villages.0001,494710.111719,524428.544727,575451.4249413001,573785.094135,613316.0014999999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0000,Villages.0000,626813.5393160001,759353.7358329999,316248.0008088,644594.2379749999,444330.390137
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0000,Villages.0000,522342.455444,652418.18523,627304.855828,542339.2309760001,640727.39303
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0000,Villages.0000,562997.855342,594511.720006,481115.35972199996,577103.528561,678438.723062
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0000,Villages.0001,630570.215556,699227.93544,607486.967447,555532.9385269999,642926.917974
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0000,Villages.0001,677605.998065,670271.49949,611667.4661099999,580071.2252610001,590004.302592
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0000,Villages.0001,630852.7791030001,702244.246029,544017.2466709999,701768.7294180001,572487.3575320999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0001,Villages.0000,519730.947893,752084.8860599998,581735.10181,667622.1117045998,558042.7742770001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0001,Villages.0000,656450.341267,424444.05187400006,775275.88342,820733.81247,646815.65369
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0001,Villages.0000,650717.179908,685825.5696200001,671123.3484500002,793234.4536799999,597684.243603
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0001,Villages.0001,393435.68076200003,467787.4589269,637976.4958270001,782037.917095,533714.10938
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0001,Villages.0001,675246.714052,650434.0398479998,826367.293324,612892.35612,685400.52597
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0001,Villages.0001,733719.8258140001,632387.588796,652836.2605890001,598268.777501,594984.79395
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0002,Villages.0000,716267.1271525001,607113.579307,614064.89299,476429.61543500004,670653.4987959999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0002,Villages.0000,574078.1477079999,700615.5990490001,594299.09459,411465.266075,749404.0579700002
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0002,Villages.0000,509260.5951840001,567790.254018,527385.83003,736329.3212700001,551571.7290480001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0002,Villages.0001,575978.1920049998,745496.730007,693797.567899,610853.0668899999,534823.4571900001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0002,Villages.0001,645218.0083209999,533967.221302,589077.6839275,747622.413957,658792.8248099999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0002,Villages.0001,609247.88296,581666.5240079999,768849.755814,616891.4490059998,525359.6743308001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0003,Villages.0000,476292.76580199995,662999.506418,551988.5138599998,565264.07011,478207.591476
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0003,Villages.0000,600330.7808076,702142.377518,677196.3933819999,579277.6338549999,703829.7742828
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0003,Villages.0000,593075.1443670001,566508.2512668,618508.1217900001,595891.897863,615491.4656770001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0003,Villages.0001,590434.288828,733605.648607,586372.981965,592831.284289,648600.4827630001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0003,Villages.0001,540400.790401,580665.74262,809627.5053299998,509033.059903,663491.506226
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0003,Villages.0001,680271.4613700002,684453.0370289999,572999.1978100002,639797.3034,528832.6340940001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0004,Villages.0000,671753.77439,446173.497067,606804.9100340001,624186.5640319999,509774.2105426001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0004,Villages.0000,422163.6971724999,500892.6684600001,741451.3473939999,600201.732613,535730.28917
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0004,Villages.0000,539100.2675964001,585627.085683,539297.2584279999,676999.001235,502429.55678999994
January,Qtr 1,2021,Continent.0000,Country.0000,States.0001,Districts.0004,Villages.0001,602355.35503,469254.7971770001,637040.983446,590259.9380900001,570701.263039
January,Qtr 1,2022,Continent.0000,Country.0000,States.0001,Districts.0004,Villages.0001,634186.1556446,627865.2193600001,725740.772939,363864.761644,611901.7947259999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0001,Districts.0004,Villages.0001,617249.3730959999,387986.24784230004,610127.6072199999,791824.09561,495170.03481099993
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0000,Villages.0000,642973.74684,499563.41159599996,553495.020212,394318.35826599994,668693.956724
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0000,Villages.0000,487544.34488899994,522192.32848999987,567631.66515,622863.906382,519567.6239499999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0000,Villages.0000,718933.9847299999,581984.248467,561552.1986883,608455.259661,556665.8964019999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0000,Villages.0001,614045.3122899999,699195.3543750001,743569.8452379999,606334.193144,768821.8883800001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0000,Villages.0001,572799.776007,611796.220537,640449.93217,689432.82962,808502.9443200001
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0000,Villages.0001,648550.21288,687979.7202910001,559172.9996987002,515985.8922491999,533513.624916
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0001,Villages.0000,598871.3290850001,634348.599291,601201.8264230001,375091.31298379996,628602.716416
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0001,Villages.0000,568820.7851,736620.788082,609633.378011,554830.018268,627929.2065389999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0001,Villages.0000,526528.19463,651009.75039,481507.71854170004,665872.40301,385041.7093740001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0001,Villages.0001,639591.7118340001,451209.03487000003,606743.705856,696807.766886,690340.3491729998
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0001,Villages.0001,676654.002975,542858.9264983,572425.043028,512316.0560234999,666682.4137500001
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0001,Villages.0001,521876.9504700001,694509.5286999999,687053.4251559998,520972.837508,506389.04928399995
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0002,Villages.0000,694851.89069,667172.843133,547666.6980529999,632689.0179099999,676005.1562938
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0002,Villages.0000,431076.485359,513954.91896999994,694015.6809700001,579223.454798,558431.3867971
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0002,Villages.0000,483436.183813,745384.97948,501629.881104,663064.0379311,699397.4397240002
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0002,Villages.0001,509720.8498510001,612216.02172,562036.877921,531761.7073990001,454901.612356
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0002,Villages.0001,489525.4625390001,614239.5972719999,484562.88445899996,636333.5180921999,555202.7485806
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0002,Villages.0001,611656.4533670001,648087.969482,559374.5257,716595.731505,654289.2841210001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0003,Villages.0000,696475.8466670001,638959.80845,582843.6157464001,685652.675857,506444.61680539994
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0003,Villages.0000,666428.259766,569562.06995,575671.758012,529827.1978679999,723519.6111700002
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0003,Villages.0000,437970.15443000005,563734.074777,607407.891046,557749.445707,541738.5280840001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0003,Villages.0001,533294.668715,451145.446777,434603.06716800004,608585.5542199999,567632.62994
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0003,Villages.0001,490333.941367,491380.10439,520995.29894699994,512088.995515,674015.32834
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0003,Villages.0001,580061.744907,330472.10323600005,679006.1593489998,600919.0139980001,704901.17125
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0004,Villages.0000,509303.141648,580492.156463,532317.3912110999,510898.416044,607934.02591
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0004,Villages.0000,557450.8222110001,445961.59140499996,570123.3097179999,625955.22922,635495.607758
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0004,Villages.0000,609617.5889291,778558.6521630001,585674.0533319999,603314.3876699999,634252.683323
January,Qtr 1,2021,Continent.0000,Country.0000,States.0002,Districts.0004,Villages.0001,660517.8625660001,501277.96920000005,655583.819192,629222.12604,594161.57935
January,Qtr 1,2022,Continent.0000,Country.0000,States.0002,Districts.0004,Villages.0001,728129.15145,573446.0031,651938.2162620001,726880.70229,370288.635693
January,Qtr 1,2023,Continent.0000,Country.0000,States.0002,Districts.0004,Villages.0001,675395.623925,662934.489447,783962.41404,703831.1630090001,652191.00542
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0000,Villages.0000,850708.8336799999,680017.4361600002,587505.3803569999,583559.3105820001,462314.79821999994
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0000,Villages.0000,762116.1247,785323.63152,565791.528939,543758.44388,563817.871514
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0000,Villages.0000,523877.575449,650567.4518110002,511360.31199300004,399361.86899700004,698719.484108
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0000,Villages.0001,433167.714216,477521.352874,608445.357797,559747.637859,617439.74862
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0000,Villages.0001,666132.5128309999,586168.7606999999,703727.77276,438100.84345399996,542867.68637
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0000,Villages.0001,649669.4152107001,672369.099131,593953.57646,668818.187971,439660.44778100005
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0001,Villages.0000,405933.4406165,709913.7941326,487855.30553699995,902556.1294699999,527092.73022
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0001,Villages.0000,517979.93026199995,376979.31619000004,670969.029686,424828.677734,612113.42109
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0001,Villages.0000,576103.1867399999,516187.659133,621795.0615660001,769189.3133200001,716515.2139199999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0001,Villages.0001,701313.26627,569183.12826,721668.3349199999,708322.67901,475317.39518600004
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0001,Villages.0001,704386.9125349999,837429.6846100001,708982.2425670001,440781.818514,529443.2702011999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0001,Villages.0001,540226.276194,536485.229543,412049.58143500006,580352.627022,524746.6294859999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0002,Villages.0000,539415.5959000002,685157.6391599999,600570.92534,471862.477551,771921.1020699999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0002,Villages.0000,347956.95286230004,505722.16804300004,592130.06554,679568.0321055,602139.623434
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0002,Villages.0000,545537.522622,690206.828632,429847.11947599996,617992.223143,760529.905805
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0002,Villages.0001,577497.73509,783812.27681,507920.976279,574169.232151,655061.5304589999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0002,Villages.0001,460336.1756968,406725.19639099995,813042.8590830001,567251.7906679999,515777.62689220003
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0002,Villages.0001,650323.0080870001,599863.8156509998,640596.3744900001,542927.481923,666088.006572
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0003,Villages.0000,607782.488066,565914.0971741,689273.8943461999,609622.28788,588539.83059
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0003,Villages.0000,547981.745811,540974.8359889999,536539.1771270001,598512.265888,612014.971129
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0003,Villages.0000,679271.1621399999,742902.2569,552718.445205,669479.0399499999,697867.6812860001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0003,Villages.0001,725079.42651,642972.903372,519248.862915,610954.6194980001,544257.1872710001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0003,Villages.0001,678301.660003,741305.55244,531261.473849,645435.798229,587206.0282259999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0003,Villages.0001,486484.5990118,723043.4064099999,667132.356763,654297.38106,377069.31686699996
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0004,Villages.0000,664606.0312399999,614158.74862,714770.2522,531403.318578,523506.93975799996
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0004,Villages.0000,649091.3624597,736925.346275,603693.752711,563767.580447,577139.135458
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0004,Villages.0000,564005.1483410001,573305.169629,537481.2598700001,598954.635176,707291.16835
January,Qtr 1,2021,Continent.0000,Country.0000,States.0003,Districts.0004,Villages.0001,582077.4810140001,631138.002368,611342.6270450001,643914.92432,552548.0572820001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0003,Districts.0004,Villages.0001,577843.3683079999,619385.9757456001,593284.793045,434729.50842699996,607001.6748399999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0003,Districts.0004,Villages.0001,559811.074326,466745.1289007999,552188.994982,498073.24642299995,660209.36696
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0000,Villages.0000,511800.465507,661005.6247599999,671970.1786163001,666832.6450189999,666042.8012969999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0000,Villages.0000,610609.5011999999,729163.196958,414225.25475,522882.58297,644018.2653679999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0000,Villages.0000,615849.4725210001,653681.2483099999,703846.478407,568381.74122,635737.95335
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0000,Villages.0001,614235.197419,713196.91947,742220.27302,434854.362753,438336.30568
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0000,Villages.0001,633278.096387,495059.56697800005,414941.884573,723701.971368,604043.1060449999
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0000,Villages.0001,509501.6001098,548740.41672,654013.9333800001,612920.68517,655864.37692
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0001,Villages.0000,546772.058133,824114.9555549999,596098.313428,851547.8608599999,694914.053113
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0001,Villages.0000,418527.2656040001,638937.339587,830665.9144899999,671659.172054,620451.77472
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0001,Villages.0000,582262.21339,452344.808804,399909.3410124,684288.955051,629915.6821420001
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0001,Villages.0001,572922.741751,718641.5040099999,400228.55773639993,765686.64614,594468.4230009998
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0001,Villages.0001,591341.05393,633249.221029,647859.411388,522447.038399,510536.651843
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0001,Villages.0001,488561.09183499997,504359.88986600004,482132.70920100005,588765.4326999999,675968.5626879999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0002,Villages.0000,418392.20804,633665.4501,658447.6963470001,700385.8717398,657051.4624699999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0002,Villages.0000,720062.937069,727333.5906400001,565830.68268,593460.692962,628884.3975140001
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0002,Villages.0000,466718.322189,690081.2686569999,347737.389989,499760.3618152,709357.7209069999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0002,Villages.0001,349190.25511,578983.416361,426962.2346726,904249.517881,561998.075771
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0002,Villages.0001,593157.0935739999,457442.58204620006,730482.8946600001,642501.4662888,398954.77913499996
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0002,Villages.0001,672100.96436,614288.4663650001,614463.637045,461755.19854199997,497117.17202740005
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0003,Villages.0000,739755.9095000001,598177.6921013,451452.226581,630968.912764,627623.7398099999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0003,Villages.0000,631051.972602,456867.383286,783087.77061,551533.5755090001,467025.9248859
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0003,Villages.0000,533967.2932242,690970.865817,804724.22603,779636.8679099999,547494.07419
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0003,Villages.0001,466699.559289,531566.267869,595436.71434,694196.3224200001,678299.1159399999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0003,Villages.0001,378032.4593185,654978.698619,594687.2294344,628538.7498999999,652184.71172
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0003,Villages.0001,634759.35241,570593.746651,498097.67511999997,666161.7476499998,852487.1561800002
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0004,Villages.0000,732373.25029,721099.7932800001,695203.616428,464849.069396,743050.2209040001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0004,Villages.0000,556908.78921,550693.1823299999,715963.79243,486442.7136100001,460954.2618820001
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0004,Villages.0000,450690.21733799996,817566.760646,486092.523259,535730.9675848,601701.88435
January,Qtr 1,2021,Continent.0000,Country.0000,States.0004,Districts.0004,Villages.0001,546398.7790498,551923.1551713999,530099.551536,650383.27415,583276.446049
January,Qtr 1,2022,Continent.0000,Country.0000,States.0004,Districts.0004,Villages.0001,660717.72242,494743.61255400005,635916.1511469,385217.9089078,550081.61457
January,Qtr 1,2023,Continent.0000,Country.0000,States.0004,Districts.0004,Villages.0001,782197.02518,677486.00834,578035.438916,658183.4052500002,402730.878687
January,Qtr 1,2021,Continent.0000,Country.0000,States.0005,Districts.0000,Villages.0000,518870.4887570001,483019.97518800007,804449.1794400001,609794.1706892,476027.157806
January,Qtr 1,2022,Continent.0000,Country.0000,States.0005,Districts.0000,Villages.0000,601964.7115971,603694.98618,536326.8440810001,824318.8462700001,629596.387074
January,Qtr 1,2023,Continent.0000,Country.0000,States.0005,Districts.0000,Villages.0000,786671.0425399998,780111.2573399999,774463.73277,553446.20297,419180.234487
January,Qtr 1,2021,Continent.0000,Country.0000,States.0005,Districts.0000,Villages.0001,700039.2412541,532537.883627,729808.08936,604803.607575,627855.455228
January,Qtr 1,2022,Continent.0000,Country.0000,States.0005,Districts.0000,Villages.0001,425459.127249,639913.102917,549594.610936,713782.604121,610778.5760000001
January,Qtr 1,2023,Continent.0000,Country.0000,States.0005,Districts.0000,Villages.0001,594077.7273799999,413541.60382200003,562172.36653,545075.889921,569192.03689
January,Qtr 1,2021,Continent.0000,Country.0000,States.0005,Districts.0001,Villages.0000,432696.5671601,566988.526052,576925.2939149999,708101.90105,462747.76491639996
January,Qtr 1,2022,Continent.0000,Country.0000,States.0005,Districts.0001,Villages.0000,670779.9085939999,565642.9421999999,576199.0080299999,632360.2739720001,613550.685812
January,Qtr 1,2023,Continent.0000,Country.0000,States.0005,Districts.0001,Villages.0000,599887.291307,613566.7749858999,715751.30621,507024.77770100004,376250.858862
January,Qtr 1,2021,Continent.0000,Country.0000,States.0005,Districts.0001,Villages.0001,683902.6995379999,444123.075073,560179.6229350001,495591.76149199996,629544.5075339999
January,Qtr 1,2022,Continent.0000,Country.0000,States.0005,Districts.0001,Villages.0001,526106.57043,542376.9940944001,792416.1009460001,760204.0911750001,695383.7815080001
January,Qtr 1,2023,Continent.0000,Country.0000,States.0005,Districts.0001,Villages.0001,617870.362002,704696.497291,685810.998349,506187.6010379999,582940.218215
January,Qtr 1,2021,Continent.0000,Country.0000,States.0005,Districts.0002,Villages.0000,712560.818713,615959.8117,536676.338533,583844.11772,622760.95995
January,Qtr 1,2022,Continent.0000,Country.0000,States.0005,Districts.0002,Villages.0000,433367.4400105,600101.5930819999,588698.403387,671177.424219,571529.660533
January,Qtr 1,2023,Continent.0000,Country.0000,States.0005,Districts.0002,Villages.0000,485988.175695,661996.1322046999,638223.1454739999,559317.2812619999,571266.058477
January,Qtr 1,2021,Continent.0000,Country.0000,States.0005,Districts.0002,Villages.0001,533679.7758501,725310.794989,642444.0986250001,510844.76586099993,755469.81054
January,Qtr 1,2022,Continent.0000,Country.0000,States.0005,Districts.0002,Villages.0001,375308.049214,554140.234114,656139.085276,633271.26565,730734.676772
January,Qtr 1,2023,Continent.0000,Country.0000,States.0005,Districts.0002,Villages.0001,674859.54693,675238.925442,528793.4780039999,729878.4573999998,397091.7015809999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0005,Districts.0003,Villages.0000,684908.961527,596832.651928,440063.1766250001,682160.430057,367694.9372431001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0005,Districts.0003,Villages.0000,679158.4062999999,697391.5483640002,427778.3696089999,797473.11619,597786.3232420001
January,Qtr 1,2023,Continent.0000,Country.0000,States.0005,Districts.0003,Villages.0000,597299.0250489999,590756.800919,623845.1758360001,566554.5500180001,560016.0963619999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0005,Districts.0003,Villages.0001,488044.619987,664849.9971899999,584139.286382,643656.8489349,668115.27783
