15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Item Number)
2012,Qtr 2,Clarke,64136
2012,Qtr 3,Clarke,179002
2012,Qtr 4,Clarke,77344
2012,Qtr 1,Clay,263063
2012,Qtr 2,Clay,132994
2012,Qtr 3,Clay,282942
2012,Qtr 4,Clay,332201
2012,Qtr 1,Clayton,96137
2012,Qtr 2,Clayton,413423
2012,Qtr 3,Clayton,148042
2012,Qtr 4,Clayton,216146
2012,Qtr 1,Clinton,478265
2012,Qtr 2,Clinton,556935
2012,Qtr 3,Clinton,612634
2012,Qtr 4,Clinton,748399
2012,Qtr 1,Crawford,169733
2012,Qtr 2,Crawford,334890
2012,Qtr 3,Crawford,289632
2012,Qtr 4,Crawford,395326
2012,Qtr 1,Dallas,121416
2012,Qtr 2,Dallas,284664
2012,Qtr 3,Dallas,495094
2012,Qtr 4,Dallas,131610
2012,Qtr 1,Davis,
2012,Qtr 2,Davis,27102
2012,Qtr 3,Davis,11788
2012,Qtr 4,Davis,
2012,Qtr 1,Decatur,
2012,Qtr 2,Decatur,87911
2012,Qtr 3,Decatur,
2012,Qtr 4,Decatur,
2012,Qtr 1,Delaware,84267
2012,Qtr 2,Delaware,15247
2012,Qtr 3,Delaware,
2012,Qtr 4,Delaware,11788
2012,Qtr 1,Des Moines,631105
2012,Qtr 2,Des Moines,551136
2012,Qtr 3,Des Moines,481033
2012,Qtr 4,Des Moines,1649187
2012,Qtr 1,Dickinson,186725
2012,Qtr 2,Dickinson,901841
2012,Qtr 3,Dickinson,790129
2012,Qtr 4,Dickinson,761559
2012,Qtr 1,Dubuque,1131053
2012,Qtr 2,Dubuque,1435437
2012,Qtr 3,Dubuque,1055458
2012,Qtr 4,Dubuque,1528727
2012,Qtr 1,Emmet,157446
2012,Qtr 2,Emmet,130709
2012,Qtr 3,Emmet,107086
2012,Qtr 4,Emmet,16283
2012,Qtr 1,Fayette,484292
2012,Qtr 2,Fayette,101172
2012,Qtr 3,Fayette,63134
2012,Qtr 4,Fayette,231966
2012,Qtr 1,Floyd,87995
2012,Qtr 2,Floyd,232649
2012,Qtr 3,Floyd,280700
2012,Qtr 4,Floyd,11774
2012,Qtr 1,Franklin,120500
2012,Qtr 2,Franklin,242755
2012,Qtr 3,Franklin,91431
2012,Qtr 4,Franklin,98900
2012,Qtr 1,Fremont,
2012,Qtr 2,Fremont,
2012,Qtr 3,Fremont,43026
2012,Qtr 4,Fremont,
2012,Qtr 1,Greene,311109
2012,Qtr 2,Greene,197029
2012,Qtr 3,Greene,205778
2012,Qtr 4,Greene,358097
2012,Qtr 1,Grundy,224423
2012,Qtr 2,Grundy,123306
2012,Qtr 3,Grundy,85942
2012,Qtr 4,Grundy,60826
2012,Qtr 1,Guthrie,20248
2012,Qtr 2,Guthrie,
2012,Qtr 3,Guthrie,75934
2012,Qtr 4,Guthrie,98935
2012,Qtr 1,Hamilton,511945
2012,Qtr 2,Hamilton,152024
2012,Qtr 3,Hamilton,265976
2012,Qtr 4,Hamilton,677415
2012,Qtr 1,Hancock,183949
2012,Qtr 2,Hancock,19067
2012,Qtr 3,Hancock,11294
2012,Qtr 4,Hancock,134476
2012,Qtr 1,Hardin,164031
2012,Qtr 2,Hardin,230960
2012,Qtr 3,Hardin,275426
2012,Qtr 4,Hardin,273276
2012,Qtr 1,Harrison,138934
2012,Qtr 2,Harrison,262815
2012,Qtr 3,Harrison,228320
2012,Qtr 4,Harrison,204354
2012,Qtr 1,Henry,
2012,Qtr 2,Henry,129256
2012,Qtr 3,Henry,10890
2012,Qtr 4,Henry,71230
2012,Qtr 1,Howard,173135
2012,Qtr 2,Howard,223763
2012,Qtr 3,Howard,236102
2012,Qtr 4,Howard,141598
2012,Qtr 1,Humboldt,165526
2012,Qtr 2,Humboldt,42717
2012,Qtr 3,Humboldt,94271
2012,Qtr 4,Humboldt,213514
2012,Qtr 1,Ida,59221
2012,Qtr 2,Ida,86983
2012,Qtr 3,Ida,88304
2012,Qtr 4,Ida,161778
2012,Qtr 1,Iowa,463936
2012,Qtr 2,Iowa,289449
2012,Qtr 3,Iowa,216106
2012,Qtr 4,Iowa,812108
2012,Qtr 1,Jackson,213839
2012,Qtr 2,Jackson,138294
2012,Qtr 3,Jackson,377138
2012,Qtr 4,Jackson,565173
2012,Qtr 1,Jasper,656718
2012,Qtr 2,Jasper,381821
2012,Qtr 3,Jasper,595774
2012,Qtr 4,Jasper,738186
2012,Qtr 1,Jefferson,56871
2012,Qtr 2,Jefferson,36305
2012,Qtr 3,Jefferson,195890
2012,Qtr 4,Jefferson,235220
2012,Qtr 1,Johnson,2424035
2012,Qtr 2,Johnson,2196667
2012,Qtr 3,Johnson,2424731
2012,Qtr 4,Johnson,4127873
2012,Qtr 1,Jones,259379
2012,Qtr 2,Jones,626941
2012,Qtr 3,Jones,502872
2012,Qtr 4,Jones,453151
2012,Qtr 1,Keokuk,54631
2012,Qtr 2,Keokuk,67266
2012,Qtr 3,Keokuk,
2012,Qtr 4,Keokuk,43338
2012,Qtr 1,Kossuth,377740
2012,Qtr 2,Kossuth,268278
2012,Qtr 3,Kossuth,206034
2012,Qtr 4,Kossuth,184655
2012,Qtr 1,Lee,629629
2012,Qtr 2,Lee,457879
2012,Qtr 3,Lee,689447
2012,Qtr 4,Lee,500777
2012,Qtr 1,Linn,2482959
2012,Qtr 2,Linn,2894682
2012,Qtr 3,Linn,4381330
2012,Qtr 4,Linn,3700212
2012,Qtr 1,Louisa,169642
2012,Qtr 2,Louisa,99361
2012,Qtr 3,Louisa,65256
2012,Qtr 4,Louisa,
2012,Qtr 1,Lucas,
2012,Qtr 2,Lucas,70808
2012,Qtr 3,Lucas,12408
2012,Qtr 4,Lucas,271024
2012,Qtr 1,Lyon,49186
2012,Qtr 2,Lyon,124112
2012,Qtr 3,Lyon,84378
2012,Qtr 4,Lyon,134037
2012,Qtr 1,Madison,34366
2012,Qtr 2,Madison,36554
2012,Qtr 3,Madison,144996
2012,Qtr 4,Madison,110168
2012,Qtr 1,Mahaska,139101
2012,Qtr 2,Mahaska,280902
2012,Qtr 3,Mahaska,39840
2012,Qtr 4,Mahaska,167591
2012,Qtr 1,Marion,448306
2012,Qtr 2,Marion,488533
2012,Qtr 3,Marion,255193
2012,Qtr 4,Marion,341249
2012,Qtr 1,Marshall,633075
2012,Qtr 2,Marshall,1086081
2012,Qtr 3,Marshall,361242
2012,Qtr 4,Marshall,1292720
2012,Qtr 1,Mills,130659
2012,Qtr 2,Mills,27102
2012,Qtr 3,Mills,24456
2012,Qtr 4,Mills,197871
2012,Qtr 1,Mitchell,179844
2012,Qtr 2,Mitchell,80578
2012,Qtr 3,Mitchell,121590
2012,Qtr 4,Mitchell,35914
2012,Qtr 1,Monona,257688
2012,Qtr 2,Monona,165661
2012,Qtr 3,Monona,326617
2012,Qtr 4,Monona,199321
2012,Qtr 1,Monroe,21598
2012,Qtr 2,Monroe,45278
2012,Qtr 3,Monroe,51935
2012,Qtr 4,Monroe,83907
2012,Qtr 1,Montgomery,70054
2012,Qtr 2,Montgomery,
2012,Qtr 3,Montgomery,11586
2012,Qtr 4,Montgomery,67301
2012,Qtr 1,Muscatine,132319
2012,Qtr 2,Muscatine,490332
2012,Qtr 3,Muscatine,879849
2012,Qtr 4,Muscatine,1020208
2012,Qtr 1,O'Brien,190119
2012,Qtr 2,O'Brien,148784
2012,Qtr 3,O'Brien,556314
2012,Qtr 4,O'Brien,216364
2012,Qtr 1,Osceola,85500
2012,Qtr 2,Osceola,86658
2012,Qtr 3,Osceola,43035
2012,Qtr 4,Osceola,181377
2012,Qtr 1,Page,163851
2012,Qtr 2,Page,47082
2012,Qtr 3,Page,542111
2012,Qtr 4,Page,5106
2012,Qtr 1,Palo Alto,290338
2012,Qtr 2,Palo Alto,171549
2012,Qtr 3,Palo Alto,146881
2012,Qtr 4,Palo Alto,134607
2012,Qtr 1,Plymouth,105486
2012,Qtr 2,Plymouth,333315
2012,Qtr 3,Plymouth,325284
2012,Qtr 4,Plymouth,89099
2012,Qtr 1,Pocahontas,43337
2012,Qtr 2,Pocahontas,138772
2012,Qtr 3,Pocahontas,11586
2012,Qtr 4,Pocahontas,112771
2012,Qtr 1,Polk,9459787
2012,Qtr 2,Polk,8254547
2012,Qtr 3,Polk,7960007
2012,Qtr 4,Polk,7306567
2012,Qtr 1,Pottawattamie,1142695
2012,Qtr 2,Pottawattamie,1941195
2012,Qtr 3,Pottawattamie,986064
2012,Qtr 4,Pottawattamie,935746
2012,Qtr 1,Poweshiek,92452
2012,Qtr 2,Poweshiek,384091
2012,Qtr 3,Poweshiek,209980
2012,Qtr 4,Poweshiek,440001
2012,Qtr 1,Ringgold,
2012,Qtr 2,Ringgold,25608
2012,Qtr 3,Ringgold,
2012,Qtr 4,Ringgold,86354
2012,Qtr 1,Sac,58838
2012,Qtr 2,Sac,206205
2012,Qtr 3,Sac,177835
2012,Qtr 4,Sac,11786
2012,Qtr 1,Scott,2497010
2012,Qtr 2,Scott,2883278
2012,Qtr 3,Scott,2286282
2012,Qtr 4,Scott,3269767
2012,Qtr 1,Shelby,64866
2012,Qtr 2,Shelby,223530
2012,Qtr 3,Shelby,143434
2012,Qtr 4,Shelby,71446
2012,Qtr 1,Sioux,95255
2012,Qtr 2,Sioux,347819
2012,Qtr 3,Sioux,87741
2012,Qtr 4,Sioux,253615
2012,Qtr 1,Story,1403392
2012,Qtr 2,Story,861997
2012,Qtr 3,Story,2403064
2012,Qtr 4,Story,1841448
2012,Qtr 1,Tama,54448
2012,Qtr 2,Tama,118348
2012,Qtr 3,Tama,152053
2012,Qtr 4,Tama,1131254
2012,Qtr 1,Taylor,
2012,Qtr 2,Taylor,41704
2012,Qtr 3,Taylor,
2012,Qtr 4,Taylor,11788
2012,Qtr 1,Union,247412
2012,Qtr 2,Union,175846
2012,Qtr 3,Union,202623
2012,Qtr 4,Union,130441
2012,Qtr 1,Van Buren,25608
2012,Qtr 2,Van Buren,
2012,Qtr 3,Van Buren,
2012,Qtr 4,Van Buren,5430
2012,Qtr 1,Wapello,905769
2012,Qtr 2,Wapello,467648
2012,Qtr 3,Wapello,365019
2012,Qtr 4,Wapello,497556
2012,Qtr 1,Warren,136472
2012,Qtr 2,Warren,163054
2012,Qtr 3,Warren,43036
2012,Qtr 4,Warren,359440
2012,Qtr 1,Washington,282621
2012,Qtr 2,Washington,306335
2012,Qtr 3,Washington,195855
2012,Qtr 4,Washington,142442
2012,Qtr 1,Wayne,208045
2012,Qtr 2,Wayne,118625
2012,Qtr 3,Wayne,65256
2012,Qtr 4,Wayne,65714
2012,Qtr 1,Webster,316201
2012,Qtr 2,Webster,269915
2012,Qtr 3,Webster,618140
2012,Qtr 4,Webster,382040
2012,Qtr 1,Winnebago,64633
2012,Qtr 2,Winnebago,91142
2012,Qtr 3,Winnebago,370214
2012,Qtr 4,Winnebago,185751
2012,Qtr 1,Winneshiek,171525
2012,Qtr 2,Winneshiek,266524
2012,Qtr 3,Winneshiek,356701
2012,Qtr 4,Winneshiek,200712
2012,Qtr 1,Woodbury,897179
2012,Qtr 2,Woodbury,1546872
2012,Qtr 3,Woodbury,1396336
2012,Qtr 4,Woodbury,1533786
2012,Qtr 1,Worth,
2012,Qtr 2,Worth,34433
2012,Qtr 3,Worth,
2012,Qtr 4,Worth,
2012,Qtr 1,Wright,112118
2012,Qtr 2,Wright,132445
2012,Qtr 3,Wright,194191
2012,Qtr 4,Wright,132831
