Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.Order Date,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
West,Furniture,Bookcases,20 September 2020,,
Central,Furniture,Bookcases,23 September 2020,,
East,Furniture,Bookcases,23 September 2020,,
South,Furniture,Bookcases,23 September 2020,,
West,Furniture,Bookcases,23 September 2020,20.5176,435.999
Central,Furniture,Bookcases,25 September 2020,-97.2312,300.5328
East,Furniture,Bookcases,25 September 2020,,
South,Furniture,Bookcases,25 September 2020,,
West,Furniture,Bookcases,25 September 2020,,
Central,Furniture,Bookcases,28 October 2020,,
East,Furniture,Bookcases,28 October 2020,,
South,Furniture,Bookcases,28 October 2020,,
West,Furniture,Bookcases,28 October 2020,-36.294,616.998
Central,Furniture,Bookcases,09 November 2020,,
East,Furniture,Bookcases,09 November 2020,,
South,Furniture,Bookcases,09 November 2020,,
West,Furniture,Bookcases,09 November 2020,10.4784,222.666
Central,Furniture,Bookcases,11 November 2020,,
East,Furniture,Bookcases,11 November 2020,-250.5408,521.96
South,Furniture,Bookcases,11 November 2020,,
West,Furniture,Bookcases,11 November 2020,,
Central,Furniture,Bookcases,12 November 2020,-12.9987,67.9932
East,Furniture,Bookcases,12 November 2020,,
South,Furniture,Bookcases,12 November 2020,,
West,Furniture,Bookcases,12 November 2020,,
Central,Furniture,Bookcases,16 November 2020,,
East,Furniture,Bookcases,16 November 2020,,
South,Furniture,Bookcases,16 November 2020,,
West,Furniture,Bookcases,16 November 2020,25.1979,305.9745
Central,Furniture,Bookcases,17 November 2020,,
East,Furniture,Bookcases,17 November 2020,-50.098,4007.84
South,Furniture,Bookcases,17 November 2020,,
West,Furniture,Bookcases,17 November 2020,,
Central,Furniture,Bookcases,18 November 2020,-30.294,424.116
East,Furniture,Bookcases,18 November 2020,,
South,Furniture,Bookcases,18 November 2020,,
West,Furniture,Bookcases,18 November 2020,,
Central,Furniture,Bookcases,19 November 2020,,
East,Furniture,Bookcases,19 November 2020,235.9524,1025.88
South,Furniture,Bookcases,19 November 2020,,
West,Furniture,Bookcases,19 November 2020,,
Central,Furniture,Bookcases,25 November 2020,,
East,Furniture,Bookcases,25 November 2020,-37.9434,275.952
South,Furniture,Bookcases,25 November 2020,,
West,Furniture,Bookcases,25 November 2020,,
Central,Furniture,Bookcases,28 November 2020,,
East,Furniture,Bookcases,28 November 2020,,
South,Furniture,Bookcases,28 November 2020,,
West,Furniture,Bookcases,28 November 2020,-4.8392,411.332
Central,Furniture,Bookcases,02 December 2020,,
East,Furniture,Bookcases,02 December 2020,-110.49,883.92
South,Furniture,Bookcases,02 December 2020,,
West,Furniture,Bookcases,02 December 2020,,
Central,Furniture,Bookcases,12 December 2020,,
East,Furniture,Bookcases,12 December 2020,,
South,Furniture,Bookcases,12 December 2020,,
West,Furniture,Bookcases,12 December 2020,11.9988,254.9745
Central,Furniture,Bookcases,31 December 2020,,
East,Furniture,Bookcases,31 December 2020,275.3368,1915.448
South,Furniture,Bookcases,31 December 2020,,
West,Furniture,Bookcases,31 December 2020,,
Central,Furniture,Bookcases,02 January 2021,,
East,Furniture,Bookcases,02 January 2021,-244.323,452.45
South,Furniture,Bookcases,02 January 2021,,
West,Furniture,Bookcases,02 January 2021,,
Central,Furniture,Bookcases,03 January 2021,-437.5404,1352.3976
East,Furniture,Bookcases,03 January 2021,,
South,Furniture,Bookcases,03 January 2021,,
West,Furniture,Bookcases,03 January 2021,,
Central,Furniture,Bookcases,06 February 2021,,
East,Furniture,Bookcases,06 February 2021,82.3368,283.92
South,Furniture,Bookcases,06 February 2021,,
West,Furniture,Bookcases,06 February 2021,,
Central,Furniture,Bookcases,01 March 2021,-36.1176,1227.9984
East,Furniture,Bookcases,01 March 2021,,
South,Furniture,Bookcases,01 March 2021,,
West,Furniture,Bookcases,01 March 2021,,
Central,Furniture,Bookcases,08 March 2021,97.4586,512.94
East,Furniture,Bookcases,08 March 2021,,
South,Furniture,Bookcases,08 March 2021,,
West,Furniture,Bookcases,08 March 2021,,
Central,Furniture,Bookcases,13 March 2021,,
East,Furniture,Bookcases,13 March 2021,,
South,Furniture,Bookcases,13 March 2021,,
West,Furniture,Bookcases,13 March 2021,39.7488,141.96
Central,Furniture,Bookcases,19 March 2021,-67.6704,383.4656
East,Furniture,Bookcases,19 March 2021,,
South,Furniture,Bookcases,19 March 2021,,
West,Furniture,Bookcases,19 March 2021,,
Central,Furniture,Bookcases,24 March 2021,-35.9058,359.058
East,Furniture,Bookcases,24 March 2021,,
South,Furniture,Bookcases,24 March 2021,,
West,Furniture,Bookcases,24 March 2021,,
Central,Furniture,Bookcases,05 April 2021,,
East,Furniture,Bookcases,05 April 2021,-211.47,352.45
South,Furniture,Bookcases,05 April 2021,,
West,Furniture,Bookcases,05 April 2021,,
Central,Furniture,Bookcases,16 April 2021,,
East,Furniture,Bookcases,16 April 2021,,
South,Furniture,Bookcases,16 April 2021,125.5824,523.26
West,Furniture,Bookcases,16 April 2021,,
Central,Furniture,Bookcases,14 May 2021,,
East,Furniture,Bookcases,14 May 2021,,
South,Furniture,Bookcases,14 May 2021,,
West,Furniture,Bookcases,14 May 2021,41.9965,509.9575
Central,Furniture,Bookcases,31 May 2021,,
East,Furniture,Bookcases,31 May 2021,,
South,Furniture,Bookcases,31 May 2021,,
West,Furniture,Bookcases,31 May 2021,140.686,1406.86
Central,Furniture,Bookcases,28 June 2021,,
East,Furniture,Bookcases,28 June 2021,-376.6932,482.94
South,Furniture,Bookcases,28 June 2021,,
West,Furniture,Bookcases,28 June 2021,,
Central,Furniture,Bookcases,06 July 2021,,
East,Furniture,Bookcases,06 July 2021,60.392,301.96
South,Furniture,Bookcases,06 July 2021,,
West,Furniture,Bookcases,06 July 2021,,
Central,Furniture,Bookcases,14 July 2021,,
East,Furniture,Bookcases,14 July 2021,,
South,Furniture,Bookcases,14 July 2021,,
West,Furniture,Bookcases,14 July 2021,-191.646,127.764
Central,Furniture,Bookcases,17 July 2021,,
East,Furniture,Bookcases,17 July 2021,,
South,Furniture,Bookcases,17 July 2021,5.798,231.92
West,Furniture,Bookcases,17 July 2021,-13.7976,195.466
Central,Furniture,Bookcases,20 July 2021,-178.6776,1298.374
East,Furniture,Bookcases,20 July 2021,,
South,Furniture,Bookcases,20 July 2021,,
West,Furniture,Bookcases,20 July 2021,,
Central,Furniture,Bookcases,25 July 2021,,
East,Furniture,Bookcases,25 July 2021,,
South,Furniture,Bookcases,25 July 2021,,
West,Furniture,Bookcases,25 July 2021,56.392,704.9
Central,Furniture,Bookcases,06 August 2021,-114.0174,369.1992
East,Furniture,Bookcases,06 August 2021,,
South,Furniture,Bookcases,06 August 2021,,
West,Furniture,Bookcases,06 August 2021,,
Central,Furniture,Bookcases,09 August 2021,48.118,687.4
East,Furniture,Bookcases,09 August 2021,,
South,Furniture,Bookcases,09 August 2021,,
West,Furniture,Bookcases,09 August 2021,,
Central,Furniture,Bookcases,16 August 2021,,
East,Furniture,Bookcases,16 August 2021,-204.9996,301.47
South,Furniture,Bookcases,16 August 2021,,
West,Furniture,Bookcases,16 August 2021,,
Central,Furniture,Bookcases,21 August 2021,,
East,Furniture,Bookcases,21 August 2021,,
South,Furniture,Bookcases,21 August 2021,,
West,Furniture,Bookcases,21 August 2021,34.494,586.398
Central,Furniture,Bookcases,28 August 2021,,
East,Furniture,Bookcases,28 August 2021,,
South,Furniture,Bookcases,28 August 2021,,
West,Furniture,Bookcases,28 August 2021,28.9568,307.666
Central,Furniture,Bookcases,31 August 2021,,
East,Furniture,Bookcases,31 August 2021,,
South,Furniture,Bookcases,31 August 2021,,
West,Furniture,Bookcases,31 August 2021,200.9546,1552.831
Central,Furniture,Bookcases,05 September 2021,,
East,Furniture,Bookcases,05 September 2021,,
South,Furniture,Bookcases,05 September 2021,,
West,Furniture,Bookcases,05 September 2021,-25.5356,704.531
Central,Furniture,Bookcases,10 September 2021,,
East,Furniture,Bookcases,10 September 2021,83.2508,361.96
South,Furniture,Bookcases,10 September 2021,,
West,Furniture,Bookcases,10 September 2021,,
Central,Furniture,Bookcases,15 September 2021,,
East,Furniture,Bookcases,15 September 2021,1.1596,46.384
South,Furniture,Bookcases,15 September 2021,,
West,Furniture,Bookcases,15 September 2021,,
Central,Furniture,Bookcases,17 September 2021,,
East,Furniture,Bookcases,17 September 2021,-1531.5248,9316.054
South,Furniture,Bookcases,17 September 2021,,
West,Furniture,Bookcases,17 September 2021,,
Central,Furniture,Bookcases,19 September 2021,,
East,Furniture,Bookcases,19 September 2021,,
South,Furniture,Bookcases,19 September 2021,4.3372,61.96
West,Furniture,Bookcases,19 September 2021,,
Central,Furniture,Bookcases,21 September 2021,31.0912,194.32
East,Furniture,Bookcases,21 September 2021,,
South,Furniture,Bookcases,21 September 2021,,
West,Furniture,Bookcases,21 September 2021,,
Central,Furniture,Bookcases,03 October 2021,,
East,Furniture,Bookcases,03 October 2021,-15.6156,35.49
South,Furniture,Bookcases,03 October 2021,,
West,Furniture,Bookcases,03 October 2021,18.4548,120.666
Central,Furniture,Bookcases,05 October 2021,,
East,Furniture,Bookcases,05 October 2021,,
South,Furniture,Bookcases,05 October 2021,,
West,Furniture,Bookcases,05 October 2021,-103.8606,66.294
Central,Furniture,Bookcases,12 October 2021,,
East,Furniture,Bookcases,12 October 2021,159.3684,1525.488
South,Furniture,Bookcases,12 October 2021,,
West,Furniture,Bookcases,12 October 2021,,
Central,Furniture,Bookcases,31 October 2021,,
East,Furniture,Bookcases,31 October 2021,,
South,Furniture,Bookcases,31 October 2021,,
West,Furniture,Bookcases,31 October 2021,20.0392,425.833
Central,Furniture,Bookcases,02 November 2021,,
East,Furniture,Bookcases,02 November 2021,,
South,Furniture,Bookcases,02 November 2021,,
West,Furniture,Bookcases,02 November 2021,-30.147,512.499
Central,Furniture,Bookcases,08 November 2021,,
East,Furniture,Bookcases,08 November 2021,1013.127,4404.9
South,Furniture,Bookcases,08 November 2021,,
West,Furniture,Bookcases,08 November 2021,,
Central,Furniture,Bookcases,13 November 2021,-18.0588,613.9992
East,Furniture,Bookcases,13 November 2021,56.9943,299.97
South,Furniture,Bookcases,13 November 2021,,
West,Furniture,Bookcases,13 November 2021,-40.196,683.332
Central,Furniture,Bookcases,20 November 2021,,
East,Furniture,Bookcases,20 November 2021,9.3024,186.048
South,Furniture,Bookcases,20 November 2021,-36.294,290.352
West,Furniture,Bookcases,20 November 2021,-247.7988,145.764
Central,Furniture,Bookcases,21 November 2021,-76.0116,246.1328
East,Furniture,Bookcases,21 November 2021,,
South,Furniture,Bookcases,21 November 2021,,
West,Furniture,Bookcases,21 November 2021,41.1684,141.96
Central,Furniture,Bookcases,27 November 2021,,
East,Furniture,Bookcases,27 November 2021,32.4862,170.98
South,Furniture,Bookcases,27 November 2021,,
West,Furniture,Bookcases,27 November 2021,,
Central,Furniture,Bookcases,30 November 2021,,
East,Furniture,Bookcases,30 November 2021,42.588,681.408
South,Furniture,Bookcases,30 November 2021,,
West,Furniture,Bookcases,30 November 2021,,
Central,Furniture,Bookcases,03 December 2021,,
East,Furniture,Bookcases,03 December 2021,,
South,Furniture,Bookcases,03 December 2021,,
West,Furniture,Bookcases,03 December 2021,-29.6058,359.499
Central,Furniture,Bookcases,11 December 2021,,
East,Furniture,Bookcases,11 December 2021,,
South,Furniture,Bookcases,11 December 2021,,
West,Furniture,Bookcases,11 December 2021,-143.7904,69.576
Central,Furniture,Bookcases,20 December 2021,-71.8116,359.058
East,Furniture,Bookcases,20 December 2021,,
South,Furniture,Bookcases,20 December 2021,,
West,Furniture,Bookcases,20 December 2021,,
Central,Furniture,Bookcases,24 December 2021,,
East,Furniture,Bookcases,24 December 2021,,
South,Furniture,Bookcases,24 December 2021,,
West,Furniture,Bookcases,24 December 2021,-786.744,590.058
Central,Furniture,Bookcases,25 December 2021,20.9274,160.98
East,Furniture,Bookcases,25 December 2021,56.196,449.568
South,Furniture,Bookcases,25 December 2021,,
West,Furniture,Bookcases,25 December 2021,,
Central,Furniture,Bookcases,27 December 2021,-46.9764,532.3992
East,Furniture,Bookcases,27 December 2021,,
South,Furniture,Bookcases,27 December 2021,8.194,131.104
West,Furniture,Bookcases,27 December 2021,,
Central,Furniture,Bookcases,02 January 2022,,
East,Furniture,Bookcases,02 January 2022,38.2668,173.94
South,Furniture,Bookcases,02 January 2022,,
West,Furniture,Bookcases,02 January 2022,,
Central,Furniture,Bookcases,08 January 2022,407.1288,1565.88
East,Furniture,Bookcases,08 January 2022,,
South,Furniture,Bookcases,08 January 2022,,
West,Furniture,Bookcases,08 January 2022,,
Central,Furniture,Bookcases,22 January 2022,,
East,Furniture,Bookcases,22 January 2022,,
South,Furniture,Bookcases,22 January 2022,-67.6704,451.136
West,Furniture,Bookcases,22 January 2022,,
Central,Furniture,Bookcases,30 January 2022,,
East,Furniture,Bookcases,30 January 2022,,
South,Furniture,Bookcases,30 January 2022,,
West,Furniture,Bookcases,30 January 2022,7.7728,48.58
Central,Furniture,Bookcases,05 February 2022,,
East,Furniture,Bookcases,05 February 2022,,
South,Furniture,Bookcases,05 February 2022,52.7956,239.98
West,Furniture,Bookcases,05 February 2022,,
Central,Furniture,Bookcases,10 March 2022,,
East,Furniture,Bookcases,10 March 2022,-22.098,176.784
South,Furniture,Bookcases,10 March 2022,,
West,Furniture,Bookcases,10 March 2022,,
Central,Furniture,Bookcases,14 March 2022,-14.196,241.332
East,Furniture,Bookcases,14 March 2022,,
South,Furniture,Bookcases,14 March 2022,,
West,Furniture,Bookcases,14 March 2022,,
Central,Furniture,Bookcases,19 March 2022,,
East,Furniture,Bookcases,19 March 2022,,
South,Furniture,Bookcases,19 March 2022,,
West,Furniture,Bookcases,19 March 2022,-98.8018,72.294
Central,Furniture,Bookcases,24 March 2022,,
East,Furniture,Bookcases,24 March 2022,-241.176,301.47
South,Furniture,Bookcases,24 March 2022,,
West,Furniture,Bookcases,24 March 2022,,
Central,Furniture,Bookcases,29 March 2022,,
East,Furniture,Bookcases,29 March 2022,-167.986,299.975
South,Furniture,Bookcases,29 March 2022,,
West,Furniture,Bookcases,29 March 2022,,
Central,Furniture,Bookcases,08 April 2022,,
East,Furniture,Bookcases,08 April 2022,-4.8588,388.704
South,Furniture,Bookcases,08 April 2022,88.725,354.9
West,Furniture,Bookcases,08 April 2022,,
Central,Furniture,Bookcases,09 April 2022,,
East,Furniture,Bookcases,09 April 2022,,
South,Furniture,Bookcases,09 April 2022,,
West,Furniture,Bookcases,09 April 2022,6.549,556.665
Central,Furniture,Bookcases,17 April 2022,,
East,Furniture,Bookcases,17 April 2022,,
South,Furniture,Bookcases,17 April 2022,,
West,Furniture,Bookcases,17 April 2022,24.2352,257.499
Central,Furniture,Bookcases,04 June 2022,,
East,Furniture,Bookcases,04 June 2022,5.1294,136.784
South,Furniture,Bookcases,04 June 2022,,
West,Furniture,Bookcases,04 June 2022,,
Central,Furniture,Bookcases,14 June 2022,,
East,Furniture,Bookcases,14 June 2022,,
South,Furniture,Bookcases,14 June 2022,,
West,Furniture,Bookcases,14 June 2022,35.245,599.165
Central,Furniture,Bookcases,17 June 2022,,
East,Furniture,Bookcases,17 June 2022,,
South,Furniture,Bookcases,17 June 2022,,
West,Furniture,Bookcases,17 June 2022,14.098,239.666
Central,Furniture,Bookcases,21 June 2022,,
East,Furniture,Bookcases,21 June 2022,-44.196,353.568
South,Furniture,Bookcases,21 June 2022,,
West,Furniture,Bookcases,21 June 2022,,
Central,Furniture,Bookcases,30 June 2022,,
East,Furniture,Bookcases,30 June 2022,,
South,Furniture,Bookcases,30 June 2022,291.3778,1266.86
West,Furniture,Bookcases,30 June 2022,,
Central,Furniture,Bookcases,04 July 2022,,
East,Furniture,Bookcases,04 July 2022,,
South,Furniture,Bookcases,04 July 2022,,
West,Furniture,Bookcases,04 July 2022,225.735,1279.165
Central,Furniture,Bookcases,14 July 2022,,
East,Furniture,Bookcases,14 July 2022,21.7176,579.136
South,Furniture,Bookcases,14 July 2022,,
West,Furniture,Bookcases,14 July 2022,,
Central,Furniture,Bookcases,19 July 2022,,
East,Furniture,Bookcases,19 July 2022,,
South,Furniture,Bookcases,19 July 2022,126.225,504.9
West,Furniture,Bookcases,19 July 2022,,
Central,Furniture,Bookcases,28 July 2022,,
East,Furniture,Bookcases,28 July 2022,-78.078,177.45
South,Furniture,Bookcases,28 July 2022,,
West,Furniture,Bookcases,28 July 2022,,
Central,Furniture,Bookcases,13 August 2022,24.196,241.96
East,Furniture,Bookcases,13 August 2022,,
South,Furniture,Bookcases,13 August 2022,,
West,Furniture,Bookcases,13 August 2022,,
Central,Furniture,Bookcases,28 August 2022,-52.8908,156.3728
East,Furniture,Bookcases,28 August 2022,,
South,Furniture,Bookcases,28 August 2022,,
West,Furniture,Bookcases,28 August 2022,,
Central,Furniture,Bookcases,29 August 2022,,
East,Furniture,Bookcases,29 August 2022,-81.94,163.88
South,Furniture,Bookcases,29 August 2022,,
West,Furniture,Bookcases,29 August 2022,,
Central,Furniture,Bookcases,03 September 2022,0,198.744
East,Furniture,Bookcases,03 September 2022,31.0446,344.94
South,Furniture,Bookcases,03 September 2022,,
West,Furniture,Bookcases,03 September 2022,,
Central,Furniture,Bookcases,06 September 2022,,
East,Furniture,Bookcases,06 September 2022,90.294,722.352
South,Furniture,Bookcases,06 September 2022,,
West,Furniture,Bookcases,06 September 2022,,
Central,Furniture,Bookcases,08 September 2022,-317.1528,2396.2656
East,Furniture,Bookcases,08 September 2022,13.9152,173.94
South,Furniture,Bookcases,08 September 2022,,
West,Furniture,Bookcases,08 September 2022,,
Central,Furniture,Bookcases,16 September 2022,,
East,Furniture,Bookcases,16 September 2022,,
South,Furniture,Bookcases,16 September 2022,,
West,Furniture,Bookcases,16 September 2022,-12.8784,273.666
Central,Furniture,Bookcases,20 September 2022,,
East,Furniture,Bookcases,20 September 2022,,
South,Furniture,Bookcases,20 September 2022,,
West,Furniture,Bookcases,20 September 2022,40.97,163.88
Central,Furniture,Bookcases,25 September 2022,,
East,Furniture,Bookcases,25 September 2022,,
South,Furniture,Bookcases,25 September 2022,,
West,Furniture,Bookcases,25 September 2022,84.294,477.666
Central,Furniture,Bookcases,26 September 2022,,
East,Furniture,Bookcases,26 September 2022,,
South,Furniture,Bookcases,26 September 2022,,
West,Furniture,Bookcases,26 September 2022,19.998,424.9575
Central,Furniture,Bookcases,27 September 2022,-225.0976,956.6648
East,Furniture,Bookcases,27 September 2022,,
South,Furniture,Bookcases,27 September 2022,,
West,Furniture,Bookcases,27 September 2022,,
Central,Furniture,Bookcases,30 September 2022,,
East,Furniture,Bookcases,30 September 2022,-26.196,523.92
South,Furniture,Bookcases,30 September 2022,,
West,Furniture,Bookcases,30 September 2022,,
Central,Furniture,Bookcases,10 October 2022,,
East,Furniture,Bookcases,10 October 2022,,
South,Furniture,Bookcases,10 October 2022,,
West,Furniture,Bookcases,10 October 2022,-190.8522,90.882
Central,Furniture,Bookcases,17 October 2022,,
East,Furniture,Bookcases,17 October 2022,12.098,120.98
South,Furniture,Bookcases,17 October 2022,,
West,Furniture,Bookcases,17 October 2022,21.294,120.666
Central,Furniture,Bookcases,21 October 2022,,
East,Furniture,Bookcases,21 October 2022,271.4192,1043.92
South,Furniture,Bookcases,21 October 2022,,
West,Furniture,Bookcases,21 October 2022,,
Central,Furniture,Bookcases,05 November 2022,-225.0976,956.6648
East,Furniture,Bookcases,05 November 2022,,
South,Furniture,Bookcases,05 November 2022,,
West,Furniture,Bookcases,05 November 2022,,
Central,Furniture,Bookcases,08 November 2022,,
East,Furniture,Bookcases,08 November 2022,,
South,Furniture,Bookcases,08 November 2022,41.9136,261.96
West,Furniture,Bookcases,08 November 2022,,
Central,Furniture,Bookcases,10 November 2022,54.7136,341.96
East,Furniture,Bookcases,10 November 2022,,
South,Furniture,Bookcases,10 November 2022,,
West,Furniture,Bookcases,10 November 2022,,
Central,Furniture,Bookcases,20 November 2022,,
East,Furniture,Bookcases,20 November 2022,-48.7032,86.97
South,Furniture,Bookcases,20 November 2022,10.8588,289.568
West,Furniture,Bookcases,20 November 2022,,
Central,Furniture,Bookcases,21 November 2022,,
East,Furniture,Bookcases,21 November 2022,12.7764,113.568
South,Furniture,Bookcases,21 November 2022,,
West,Furniture,Bookcases,21 November 2022,,
Central,Furniture,Bookcases,24 November 2022,,
East,Furniture,Bookcases,24 November 2022,,
South,Furniture,Bookcases,24 November 2022,8.498,339.92
West,Furniture,Bookcases,24 November 2022,,
Central,Furniture,Bookcases,26 November 2022,,
East,Furniture,Bookcases,26 November 2022,,
South,Furniture,Bookcases,26 November 2022,,
West,Furniture,Bookcases,26 November 2022,160.3136,3406.664
Central,Furniture,Bookcases,02 December 2022,-137.976,781.864
East,Furniture,Bookcases,02 December 2022,,
South,Furniture,Bookcases,02 December 2022,,
West,Furniture,Bookcases,02 December 2022,,
Central,Furniture,Bookcases,03 December 2022,,
East,Furniture,Bookcases,03 December 2022,,
South,Furniture,Bookcases,03 December 2022,,
West,Furniture,Bookcases,03 December 2022,-12.098,205.666
Central,Furniture,Bookcases,05 December 2022,,
East,Furniture,Bookcases,05 December 2022,20.485,81.94
South,Furniture,Bookcases,05 December 2022,,
West,Furniture,Bookcases,05 December 2022,,
Central,Furniture,Bookcases,08 December 2022,32.4688,405.86
East,Furniture,Bookcases,08 December 2022,,
South,Furniture,Bookcases,08 December 2022,,
West,Furniture,Bookcases,08 December 2022,,
Central,Furniture,Bookcases,23 December 2022,-14.1372,141.372
East,Furniture,Bookcases,23 December 2022,,
South,Furniture,Bookcases,23 December 2022,,
West,Furniture,Bookcases,23 December 2022,,
Central,Furniture,Bookcases,13 January 2023,53.235,212.94
East,Furniture,Bookcases,13 January 2023,,
South,Furniture,Bookcases,13 January 2023,,
West,Furniture,Bookcases,13 January 2023,,
Central,Furniture,Bookcases,21 January 2023,,
East,Furniture,Bookcases,21 January 2023,,
South,Furniture,Bookcases,21 January 2023,,
West,Furniture,Bookcases,21 January 2023,18.6956,84.98
Central,Furniture,Bookcases,06 February 2023,,
East,Furniture,Bookcases,06 February 2023,30.098,240.784
South,Furniture,Bookcases,06 February 2023,79.1934,359.97
West,Furniture,Bookcases,06 February 2023,,
Central,Furniture,Bookcases,10 February 2023,,
East,Furniture,Bookcases,10 February 2023,,
South,Furniture,Bookcases,10 February 2023,,
West,Furniture,Bookcases,10 February 2023,16.7986,203.983
Central,Furniture,Bookcases,17 February 2023,-17.0274,89.0664
East,Furniture,Bookcases,17 February 2023,,
South,Furniture,Bookcases,17 February 2023,,
West,Furniture,Bookcases,17 February 2023,,
Central,Furniture,Bookcases,25 February 2023,,
East,Furniture,Bookcases,25 February 2023,,
South,Furniture,Bookcases,25 February 2023,5.798,231.92
West,Furniture,Bookcases,25 February 2023,,
Central,Furniture,Bookcases,02 March 2023,,
East,Furniture,Bookcases,02 March 2023,101.6508,441.96
South,Furniture,Bookcases,02 March 2023,,
West,Furniture,Bookcases,02 March 2023,,
Central,Furniture,Bookcases,26 March 2023,,
East,Furniture,Bookcases,26 March 2023,-28.9764,257.568
South,Furniture,Bookcases,26 March 2023,,
West,Furniture,Bookcases,26 March 2023,,
Central,Furniture,Bookcases,27 March 2023,-30.098,1023.332
East,Furniture,Bookcases,27 March 2023,,
South,Furniture,Bookcases,27 March 2023,,
West,Furniture,Bookcases,27 March 2023,,
Central,Furniture,Bookcases,31 March 2023,-36.2352,205.3328
East,Furniture,Bookcases,31 March 2023,,
South,Furniture,Bookcases,31 March 2023,,
West,Furniture,Bookcases,31 March 2023,,
Central,Furniture,Bookcases,01 April 2023,,
East,Furniture,Bookcases,01 April 2023,,
South,Furniture,Bookcases,01 April 2023,,
West,Furniture,Bookcases,01 April 2023,85.176,482.664
Central,Furniture,Bookcases,14 April 2023,,
East,Furniture,Bookcases,14 April 2023,9.0882,242.352
South,Furniture,Bookcases,14 April 2023,-32.2192,198.272
West,Furniture,Bookcases,14 April 2023,,
Central,Furniture,Bookcases,16 April 2023,,
