Retail Orders.Order Date.Variation.Date Hierarchy.Day,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Category,Sum(Retail Orders.Sales)
10,August,Qtr 3,2022,Furniture,145.764
11,August,Qtr 3,2022,Furniture,274.2
12,August,Qtr 3,2022,Furniture,3368.265
13,August,Qtr 3,2022,Furniture,455.632
14,August,Qtr 3,2022,Furniture,418.296
15,August,Qtr 3,2022,Furniture,
16,August,Qtr 3,2022,Furniture,
17,August,Qtr 3,2022,Furniture,4970.114
18,August,Qtr 3,2022,Furniture,204.38
19,August,Qtr 3,2022,Furniture,
20,August,Qtr 3,2022,Furniture,
21,August,Qtr 3,2022,Furniture,2093.584
22,August,Qtr 3,2022,Furniture,524.54
23,August,Qtr 3,2022,Furniture,2.784
24,August,Qtr 3,2022,Furniture,
25,August,Qtr 3,2022,Furniture,130.98
26,August,Qtr 3,2022,Furniture,64.96
27,August,Qtr 3,2022,Furniture,2037.74
28,August,Qtr 3,2022,Furniture,1137.75
29,August,Qtr 3,2022,Furniture,148.02
31,August,Qtr 3,2022,Furniture,569.568
1,September,Qtr 3,2022,Furniture,
2,September,Qtr 3,2022,Furniture,25.104
3,September,Qtr 3,2022,Furniture,
4,September,Qtr 3,2022,Furniture,
5,September,Qtr 3,2022,Furniture,493.85
6,September,Qtr 3,2022,Furniture,132.901
7,September,Qtr 3,2022,Furniture,526.45
9,September,Qtr 3,2022,Furniture,482.564
10,September,Qtr 3,2022,Furniture,1333.393
11,September,Qtr 3,2022,Furniture,883.018
12,September,Qtr 3,2022,Furniture,1927.233
13,September,Qtr 3,2022,Furniture,
14,September,Qtr 3,2022,Furniture,830.718
15,September,Qtr 3,2022,Furniture,2612.768
16,September,Qtr 3,2022,Furniture,22.512
17,September,Qtr 3,2022,Furniture,2335.29
18,September,Qtr 3,2022,Furniture,30.14
19,September,Qtr 3,2022,Furniture,481.804
20,September,Qtr 3,2022,Furniture,5496.174
21,September,Qtr 3,2022,Furniture,
22,September,Qtr 3,2022,Furniture,254.03
23,September,Qtr 3,2022,Furniture,804.732
24,September,Qtr 3,2022,Furniture,1427.24
25,September,Qtr 3,2022,Furniture,805.736
26,September,Qtr 3,2022,Furniture,428.376
28,September,Qtr 3,2022,Furniture,42.016
29,September,Qtr 3,2022,Furniture,553.688
30,September,Qtr 3,2022,Furniture,
2,October,Qtr 4,2022,Furniture,203.983
3,October,Qtr 4,2022,Furniture,983.976
4,October,Qtr 4,2022,Furniture,48.992
6,October,Qtr 4,2022,Furniture,514.165
7,October,Qtr 4,2022,Furniture,18.84
8,October,Qtr 4,2022,Furniture,121.3
9,October,Qtr 4,2022,Furniture,362.352
10,October,Qtr 4,2022,Furniture,239.358
11,October,Qtr 4,2022,Furniture,1482.52
12,October,Qtr 4,2022,Furniture,2102.264
13,October,Qtr 4,2022,Furniture,1514.996
14,October,Qtr 4,2022,Furniture,9.46
15,October,Qtr 4,2022,Furniture,532.96
16,October,Qtr 4,2022,Furniture,2422.558
17,October,Qtr 4,2022,Furniture,
19,October,Qtr 4,2022,Furniture,531.1622
20,October,Qtr 4,2022,Furniture,328.3
21,October,Qtr 4,2022,Furniture,1470.238
22,October,Qtr 4,2022,Furniture,1005.341
23,October,Qtr 4,2022,Furniture,1193.4
24,October,Qtr 4,2022,Furniture,517.405
26,October,Qtr 4,2022,Furniture,356.85
27,October,Qtr 4,2022,Furniture,746.241
28,October,Qtr 4,2022,Furniture,77.952
29,October,Qtr 4,2022,Furniture,
30,October,Qtr 4,2022,Furniture,1301.758
31,October,Qtr 4,2022,Furniture,
2,November,Qtr 4,2022,Furniture,1110.704
3,November,Qtr 4,2022,Furniture,181.484
4,November,Qtr 4,2022,Furniture,
5,November,Qtr 4,2022,Furniture,217.975
6,November,Qtr 4,2022,Furniture,455.212
7,November,Qtr 4,2022,Furniture,
8,November,Qtr 4,2022,Furniture,
9,November,Qtr 4,2022,Furniture,2810.894
11,November,Qtr 4,2022,Furniture,123.84
12,November,Qtr 4,2022,Furniture,1448.529
13,November,Qtr 4,2022,Furniture,2765.6532
14,November,Qtr 4,2022,Furniture,321.568
15,November,Qtr 4,2022,Furniture,559.2
16,November,Qtr 4,2022,Furniture,289.59
17,November,Qtr 4,2022,Furniture,515.4928
18,November,Qtr 4,2022,Furniture,152.966
19,November,Qtr 4,2022,Furniture,2603.165
20,November,Qtr 4,2022,Furniture,880.862
21,November,Qtr 4,2022,Furniture,98.4
22,November,Qtr 4,2022,Furniture,
23,November,Qtr 4,2022,Furniture,186.697
24,November,Qtr 4,2022,Furniture,1734.028
25,November,Qtr 4,2022,Furniture,2639.309
26,November,Qtr 4,2022,Furniture,1375.6
