Category,Sub-Category,Segment,Region,Value Column Name,Value
"Technology","Machines","Home Office","East","Sum of Profit","5600.125599999999"
"Technology","Machines","Home Office","South","Sum of Profit","-1829.3339000000021"
"Technology","Machines","Home Office","West","Sum of Profit","-3772.581400000001"
"Office Supplies","Paper","Consumer","Central","Sum of Profit","2914.6376999999993"
"Office Supplies","Paper","Consumer","East","Sum of Profit","3917.330700000003"
"Office Supplies","Paper","Consumer","South","Sum of Profit","3085.3364"
"Office Supplies","Paper","Consumer","West","Sum of Profit","5617.338800000002"
"Office Supplies","Paper","Corporate","Central","Sum of Profit","2399.2305"
"Office Supplies","Paper","Corporate","East","Sum of Profit","2668.9581999999987"
"Office Supplies","Paper","Corporate","South","Sum of Profit","1410.0632999999998"
"Office Supplies","Paper","Corporate","West","Sum of Profit","3883.294800000001"
"Office Supplies","Paper","Home Office","Central","Sum of Profit","1658.0322999999999"
"Office Supplies","Paper","Home Office","East","Sum of Profit","2429.082099999999"
"Office Supplies","Paper","Home Office","South","Sum of Profit","1451.6616999999997"
"Office Supplies","Paper","Home Office","West","Sum of Profit","2618.6028000000015"
"Office Supplies","Binders","Consumer","Central","Sum of Profit","1832.3210000000026"
"Office Supplies","Binders","Consumer","East","Sum of Profit","6740.669700000001"
"Office Supplies","Binders","Consumer","South","Sum of Profit","1583.9285000000007"
"Office Supplies","Binders","Consumer","West","Sum of Profit","7838.678000000003"
"Office Supplies","Binders","Corporate","Central","Sum of Profit","-4420.424900000004"
"Office Supplies","Binders","Corporate","East","Sum of Profit","2833.003399999999"
"Office Supplies","Binders","Corporate","South","Sum of Profit","2496.2000999999987"
"Office Supplies","Binders","Corporate","West","Sum of Profit","5468.5415"
"Office Supplies","Binders","Home Office","Central","Sum of Profit","1544.4669999999992"
"Office Supplies","Binders","Home Office","East","Sum of Profit","1694.2614999999998"
"Office Supplies","Binders","Home Office","South","Sum of Profit","-179.46459999999976"
"Office Supplies","Binders","Home Office","West","Sum of Profit","2789.5821"
"Office Supplies","Storage","Corporate","Central","Sum of Profit","1084.5102000000004"
"Office Supplies","Storage","Corporate","East","Sum of Profit","3836.4565000000002"
"Office Supplies","Storage","Corporate","South","Sum of Profit","718.5710999999998"
"Office Supplies","Storage","Corporate","West","Sum of Profit","3491.4869"
"Office Supplies","Storage","Consumer","Central","Sum of Profit","413.31009999999895"
"Office Supplies","Storage","Consumer","East","Sum of Profit","1973.924199999998"
"Office Supplies","Storage","Consumer","South","Sum of Profit","888.6696999999998"
"Office Supplies","Storage","Consumer","West","Sum of Profit","3828.2964000000006"
"Office Supplies","Storage","Home Office","Central","Sum of Profit","472.0162"
"Office Supplies","Storage","Home Office","East","Sum of Profit","2578.990499999999"
"Office Supplies","Storage","Home Office","South","Sum of Profit","667.0556999999999"
"Office Supplies","Storage","Home Office","West","Sum of Profit","1325.5388999999993"
"Office Supplies","Appliances","Corporate","Central","Sum of Profit","-459.2306000000005"
"Office Supplies","Appliances","Corporate","East","Sum of Profit","2607.2871999999993"
"Office Supplies","Appliances","Corporate","South","Sum of Profit","2543.821799999999"
"Office Supplies","Appliances","Corporate","West","Sum of Profit","2738.0168000000003"
"Office Supplies","Appliances","Consumer","Central","Sum of Profit","-3775.6065000000012"
"Office Supplies","Appliances","Consumer","East","Sum of Profit","5008.7579000000005"
"Office Supplies","Appliances","Consumer","South","Sum of Profit","1455.2631999999996"
"Office Supplies","Appliances","Consumer","West","Sum of Profit","4293.513599999998"
"Office Supplies","Appliances","Home Office","Central","Sum of Profit","1596.2196"
"Office Supplies","Appliances","Home Office","East","Sum of Profit","775.3682999999995"
"Office Supplies","Appliances","Home Office","South","Sum of Profit","124.85459999999995"
"Office Supplies","Appliances","Home Office","West","Sum of Profit","1229.7395"
"Office Supplies","Envelopes","Consumer","Central","Sum of Profit","912.6615999999998"
"Office Supplies","Envelopes","Consumer","East","Sum of Profit","881.8797000000001"
"Office Supplies","Envelopes","Consumer","South","Sum of Profit","503.43069999999994"
"Office Supplies","Envelopes","Consumer","West","Sum of Profit","966.4405999999999"
"Office Supplies","Envelopes","Corporate","Central","Sum of Profit","483.66419999999994"
"Office Supplies","Envelopes","Corporate","East","Sum of Profit","663.5851999999999"
"Office Supplies","Envelopes","Corporate","South","Sum of Profit","643.3798"
"Office Supplies","Envelopes","Corporate","West","Sum of Profit","780.5997999999998"
"Office Supplies","Envelopes","Home Office","Central","Sum of Profit","381.20249999999993"
"Office Supplies","Envelopes","Home Office","East","Sum of Profit","266.9441"
"Office Supplies","Envelopes","Home Office","South","Sum of Profit","318.6664999999999"
"Office Supplies","Envelopes","Home Office","West","Sum of Profit","161.72199999999998"
"Office Supplies","Art","Consumer","Central","Sum of Profit","605.5615"
"Office Supplies","Art","Consumer","East","Sum of Profit","989.0641999999997"
"Office Supplies","Art","Consumer","South","Sum of Profit","648.4542999999995"
"Office Supplies","Art","Consumer","West","Sum of Profit","1211.2211000000002"
"Office Supplies","Art","Corporate","Central","Sum of Profit","343.9692999999999"
"Office Supplies","Art","Corporate","East","Sum of Profit","566.1715999999999"
"Office Supplies","Art","Corporate","South","Sum of Profit","264.25429999999994"
"Office Supplies","Art","Corporate","West","Sum of Profit","830.2524999999998"
"Office Supplies","Art","Home Office","Central","Sum of Profit","245.62829999999997"
"Office Supplies","Art","Home Office","East","Sum of Profit","344.7084999999999"
"Office Supplies","Art","Home Office","South","Sum of Profit","145.87799999999993"
"Office Supplies","Art","Home Office","West","Sum of Profit","332.6234"
"Office Supplies","Labels","Consumer","Central","Sum of Profit","334.20230000000004"
"Office Supplies","Labels","Consumer","East","Sum of Profit","733.5290000000001"
"Office Supplies","Labels","Consumer","South","Sum of Profit","840.9037999999999"
"Office Supplies","Labels","Consumer","West","Sum of Profit","1167.3532999999995"
"Office Supplies","Labels","Corporate","Central","Sum of Profit","487.17"
"Office Supplies","Labels","Corporate","East","Sum of Profit","218.62989999999994"
"Office Supplies","Labels","Corporate","South","Sum of Profit","150.43720000000002"
"Office Supplies","Labels","Corporate","West","Sum of Profit","904.5902000000003"
"Office Supplies","Labels","Home Office","Central","Sum of Profit","251.7071"
"Office Supplies","Labels","Home Office","East","Sum of Profit","177.1211"
"Office Supplies","Labels","Home Office","South","Sum of Profit","49.4313"
"Office Supplies","Labels","Home Office","West","Sum of Profit","231.17880000000002"
"Office Supplies","Fasteners","Consumer","Central","Sum of Profit","128.14770000000001"
"Office Supplies","Fasteners","Consumer","East","Sum of Profit","149.17299999999997"
"Office Supplies","Fasteners","Consumer","South","Sum of Profit","114.2714"
"Office Supplies","Fasteners","Consumer","West","Sum of Profit","185.2087"
"Office Supplies","Fasteners","Corporate","Central","Sum of Profit","78.5563"
"Office Supplies","Fasteners","Corporate","East","Sum of Profit","76.4704"
"Office Supplies","Fasteners","Corporate","South","Sum of Profit","27.569899999999997"
"Office Supplies","Fasteners","Corporate","West","Sum of Profit","69.3064"
"Office Supplies","Fasteners","Home Office","Central","Sum of Profit","29.9146"
"Office Supplies","Fasteners","Home Office","East","Sum of Profit","38.34739999999999"
"Office Supplies","Fasteners","Home Office","South","Sum of Profit","31.876799999999996"
"Office Supplies","Fasteners","Home Office","West","Sum of Profit","20.675600000000003"
"Office Supplies","Supplies","Corporate","Central","Sum of Profit","101.84980000000003"
"Office Supplies","Supplies","Corporate","East","Sum of Profit","-12.897400000000047"
"Office Supplies","Supplies","Corporate","South","Sum of Profit","-111.63789999999989"
"Office Supplies","Supplies","Corporate","West","Sum of Profit","361.6118999999998"
"Office Supplies","Supplies","Home Office","Central","Sum of Profit","18.354300000000002"
"Office Supplies","Supplies","Home Office","East","Sum of Profit","29.397900000000014"
"Office Supplies","Supplies","Home Office","South","Sum of Profit","43.655999999999985"
"Office Supplies","Supplies","Home Office","West","Sum of Profit","38.117199999999976"
"Office Supplies","Supplies","Consumer","Central","Sum of Profit","-782.0922000000003"
"Office Supplies","Supplies","Consumer","East","Sum of Profit","-1171.6356999999998"
"Office Supplies","Supplies","Consumer","South","Sum of Profit","69.85919999999999"
"Office Supplies","Supplies","Consumer","West","Sum of Profit","226.3173999999996"
"Furniture","Chairs","Consumer","Central","Sum of Profit","2920.9013000000004"
"Furniture","Chairs","Consumer","East","Sum of Profit","4917.395199999997"
"Furniture","Chairs","Consumer","South","Sum of Profit","4017.0347"
"Furniture","Chairs","Consumer","West","Sum of Profit","1380.0006999999987"
"Furniture","Chairs","Corporate","Central","Sum of Profit","3206.8836999999976"
"Furniture","Chairs","Corporate","East","Sum of Profit","2720.5878"
"Furniture","Chairs","Corporate","South","Sum of Profit","1183.9544999999994"
"Furniture","Chairs","Corporate","West","Sum of Profit","1233.2304999999983"
"Furniture","Chairs","Home Office","Central","Sum of Profit","464.9370999999995"
"Furniture","Chairs","Home Office","East","Sum of Profit","1719.7875999999994"
"Furniture","Chairs","Home Office","South","Sum of Profit","1411.1000999999997"
"Furniture","Chairs","Home Office","West","Sum of Profit","1414.3530999999994"
"Furniture","Furnishings","Consumer","Central","Sum of Profit","-1454.0523999999998"
"Furniture","Furnishings","Consumer","East","Sum of Profit","3021.1370000000006"
"Furniture","Furnishings","Consumer","South","Sum of Profit","1957.1855000000005"
"Furniture","Furnishings","Consumer","West","Sum of Profit","4395.1526"
"Furniture","Furnishings","Corporate","Central","Sum of Profit","-1209.3583"
"Furniture","Furnishings","Corporate","East","Sum of Profit","1956.2305999999996"
"Furniture","Furnishings","Corporate","South","Sum of Profit","1087.9331000000002"
"Furniture","Furnishings","Corporate","West","Sum of Profit","1673.4023"
"Furniture","Furnishings","Home Office","Central","Sum of Profit","-1242.8060999999998"
"Furniture","Furnishings","Home Office","East","Sum of Profit","904.0395"
"Furniture","Furnishings","Home Office","South","Sum of Profit","397.5642999999999"
"Furniture","Furnishings","Home Office","West","Sum of Profit","1572.7154999999996"
"Furniture","Bookcases","Corporate","Central","Sum of Profit","-382.7121000000001"
"Furniture","Bookcases","Corporate","East","Sum of Profit","964.9629999999996"
"Furniture","Bookcases","Corporate","South","Sum of Profit","68.36659999999996"
"Furniture","Bookcases","Corporate","West","Sum of Profit","-12.167300000000452"
"Furniture","Bookcases","Home Office","Central","Sum of Profit","-118.06620000000007"
"Furniture","Bookcases","Home Office","East","Sum of Profit","59.47239999999985"
"Furniture","Bookcases","Home Office","South","Sum of Profit","51.11319999999992"
"Furniture","Bookcases","Home Office","West","Sum of Profit","332.11260000000004"
"Furniture","Bookcases","Consumer","Central","Sum of Profit","-1497.1260000000002"
"Furniture","Bookcases","Consumer","East","Sum of Profit","-2192.0672000000013"
"Furniture","Bookcases","Consumer","South","Sum of Profit","1220.0119999999995"
"Furniture","Bookcases","Consumer","West","Sum of Profit","-1966.457000000001"
"Furniture","Tables","Home Office","Central","Sum of Profit","-302.67390000000034"
"Furniture","Tables","Home Office","East","Sum of Profit","-2017.3716000000002"
"Furniture","Tables","Home Office","South","Sum of Profit","-657.3344"
"Furniture","Tables","Home Office","West","Sum of Profit","-113.56480000000028"
"Furniture","Tables","Corporate","Central","Sum of Profit","707.1805999999998"
"Furniture","Tables","Corporate","East","Sum of Profit","-5299.655700000001"
"Furniture","Tables","Corporate","South","Sum of Profit","-1388.2239000000009"
"Furniture","Tables","Corporate","West","Sum of Profit","1074.2003999999995"
"Furniture","Tables","Consumer","Central","Sum of Profit","-3964.1571000000004"
"Furniture","Tables","Consumer","East","Sum of Profit","-3708.352800000001"
"Furniture","Tables","Consumer","South","Sum of Profit","-2577.4996000000006"
"Furniture","Tables","Consumer","West","Sum of Profit","521.9716999999994"
