Cat1,Cat2,Year,Sum of S1,Sum of S2,Sum of S3,Sum of S4
Level1.0000,Level2.0000,2021,682714.2438603999,721179.1843097999,543882.3857421,509170.95601360005
Level1.0006,Level2.0004,2022,681325.9874929999,544334.2199509001,549896.7626122,445800.2267111001
Level1.0007,Level2.0000,2022,680576.6240361,433220.5163732,713055.7800746,589106.9433432
Level1.0014,Level2.0000,2021,680509.1857552,642110.1084847,698389.4903714,489444.2905186999
Level1.0007,Level2.0000,2021,680294.200501,717906.0516578001,610667.8692909,575549.3383254
Level1.0010,Level2.0004,2021,670927.5608107001,808654.1593404,525034.6234246,395825.5938237999
Level1.0000,Level2.0002,2022,668523.6843905,652126.9775647001,537070.946819,572214.7207285999
Level1.0006,Level2.0003,2021,668483.3250364,562297.331355,571305.2705684,618066.9984469
Level1.0013,Level2.0004,2021,665034.429725,393889.4744301,698078.0340997999,444315.1797814
Level1.0003,Level2.0002,2021,664908.9140631,566650.1191032,542145.3297296,492291.8508062
Level1.0018,Level2.0004,2021,663279.7465086,525714.9692946,529068.105032,565740.2506798999
Level1.0001,Level2.0004,2021,662709.5663624,686293.5942062,591811.6228400001,501358.0854095
Level1.0017,Level2.0001,2021,661463.4112996,580349.3034291,660910.0302127001,533260.9133182
Level1.0013,Level2.0002,2022,660299.5257440001,604377.2304509,356291.1334599,513560.5439751999
Level1.0010,Level2.0002,2022,659806.379132,625560.0282018,537342.1619936001,625631.3126711999
Level1.0003,Level2.0003,2022,654391.6100526999,670670.7937203001,604849.8512717,601661.3718287
Level1.0015,Level2.0003,2022,654137.0391292,514927.83608879993,510983.47989360004,499736.46207189996
Level1.0006,Level2.0004,2021,654049.4536002,666636.0170168,689570.675293,755651.0868535999
Level1.0002,Level2.0004,2022,652814.1692958999,626970.1843836001,635976.3054917001,536452.3091434
Level1.0015,Level2.0002,2021,651770.23264,572865.9321084,595271.0633540001,717932.5848808
Level1.0019,Level2.0004,2021,650558.8798748,554750.4501658999,576945.578771,461718.30521430005
Level1.0009,Level2.0002,2021,650147.7435513,579975.8782479,721083.2151511,486791.2477278
Level1.0007,Level2.0001,2022,649511.7286587,727372.3966664,600312.9705634,572651.3627168
Level1.0012,Level2.0001,2022,648127.0809069,538244.3527253,528084.7109399,463025.56186599995
Level1.0019,Level2.0000,2021,647679.2245315,524844.0674373,632478.0163387001,568887.9134990999
Level1.0009,Level2.0000,2022,644304.4615748001,493874.7040421,577707.6491327999,570901.9157244998
Level1.0015,Level2.0000,2022,642180.8229441001,621701.8828177999,633819.5402122999,297004.5832264
Level1.0004,Level2.0001,2021,641536.2421934,602512.6771992,643029.8497721,604753.9029888
Level1.0015,Level2.0004,2022,638309.1262527001,473993.9531875,575940.8740140001,514156.086758
Level1.0008,Level2.0001,2021,637918.2484080001,572319.4989538998,552688.1900644,508821.41370470007
Level1.0004,Level2.0000,2021,637253.5388896,661167.644878,542993.6300312,584879.1711219
Level1.0005,Level2.0003,2021,636160.3298835999,564747.9024919,636261.0243575,456229.32959800004
Level1.0009,Level2.0001,2022,634588.3158295,728543.20439,511342.15932730003,534410.3219075
Level1.0012,Level2.0001,2021,633345.0526611999,668310.7176025001,557892.2423525,622759.9277238001
Level1.0014,Level2.0004,2021,633273.0254744999,689785.7105479001,464793.148498,547318.8814686
Level1.0000,Level2.0001,2021,630972.7298133998,597821.7892008999,663713.8324472999,404716.148481
Level1.0015,Level2.0001,2022,628557.0191060001,546510.3817687999,481350.886193,790037.5379674999
Level1.0018,Level2.0001,2022,628365.8605846999,676641.3247583001,537580.1168339,751799.5643925999
Level1.0000,Level2.0000,2022,627044.9302063,631925.6416427001,540392.3716662,586940.3841981
Level1.0008,Level2.0002,2021,626956.1868519,557487.6124909,622303.4034986,564343.9686233001
Level1.0003,Level2.0000,2022,625606.1056521,603423.4320562,664731.8691754001,598048.8761655
Level1.0008,Level2.0004,2022,625209.0632655,731948.5572367999,631408.3516749,696980.5546461
Level1.0011,Level2.0001,2022,625013.7361256001,543914.1900818,404030.9226308,500754.78090699995
Level1.0015,Level2.0003,2021,619688.4910391001,467123.93579409993,711571.8394519,573203.2491880001
Level1.0004,Level2.0004,2022,618302.8669674001,641977.1012347,405764.48437699996,560798.0546442
Level1.0007,Level2.0003,2022,616008.5960006,557238.1925341,601639.8224234999,470331.83300589997
Level1.0011,Level2.0002,2022,615745.0333231001,524782.7993658,691568.4016024001,656497.3545194
Level1.0001,Level2.0001,2021,614172.2629189,577008.6549827,688741.7237341999,628350.7432641999
Level1.0006,Level2.0001,2021,613481.2832993001,624191.6707627,673111.3902219001,600173.1186545999
Level1.0006,Level2.0000,2021,609126.997007,715914.475724,697163.0154445,428419.51366920007
Level1.0015,Level2.0002,2022,607786.5095452,621170.7980018,467590.87244909996,460848.674864
Level1.0018,Level2.0003,2022,605626.7455551999,635879.4268504999,697667.6218456001,625285.9129709001
Level1.0008,Level2.0000,2021,604948.6857181,384888.0850898,509514.65122040006,725218.1507615
Level1.0011,Level2.0000,2021,602209.1333949,693277.5911876,635791.1329790001,729738.0349699
Level1.0000,Level2.0004,2021,600924.2700397,626169.4331162,528296.7126119001,562531.4791081
Level1.0014,Level2.0000,2022,598518.5944623,442141.36290639994,510861.9145965001,763360.9180958
Level1.0019,Level2.0002,2021,598311.3736033001,796646.311647,483948.33062150003,626040.1765072001
Level1.0017,Level2.0003,2021,597559.508654,622619.8640239999,710946.0043092,610573.8835502
Level1.0011,Level2.0004,2022,595246.660594,553560.3148044001,665533.5254255001,849481.6869731001
Level1.0010,Level2.0004,2022,594102.4889946,454551.5743250001,666908.3300934001,730184.3101176001
Level1.0001,Level2.0000,2021,593610.7063245,749044.183735,608411.0548945,642564.6400866
Level1.0010,Level2.0003,2021,593254.5595086,578381.9798501,621606.929681,516654.6935569
Level1.0016,Level2.0003,2021,592389.3193428001,777991.3031119001,762143.5064669999,716460.2610277
Level1.0013,Level2.0003,2022,590913.4081838999,711258.8784285999,671706.4288337,616114.4046634999
Level1.0008,Level2.0003,2021,588309.2650416,459121.7917182001,363917.1721288,660841.3722589
Level1.0000,Level2.0004,2022,588133.7100651,577153.6260206001,637722.9836096,607044.5332851999
Level1.0013,Level2.0001,2022,587370.9536329999,493997.6922727999,796342.0810012,614080.9526018
Level1.0007,Level2.0002,2022,587017.8843552999,579131.0050624999,522916.85536499997,543419.4698853
Level1.0005,Level2.0001,2021,586872.2897675,597616.7267850001,691163.5624263001,580725.7637861
Level1.0004,Level2.0002,2021,586020.5115998,561224.8686832,651075.5461359,765157.0527860001
Level1.0019,Level2.0001,2022,585632.5900541,522827.0344771,577262.6930847,720291.0078903998
Level1.0004,Level2.0000,2022,585045.2828641001,565495.5552655,503403.23473250004,633942.9867858
Level1.0001,Level2.0001,2022,584072.4086723,565952.4841859001,557006.9792727999,566240.2994481999
Level1.0003,Level2.0003,2021,583674.8015276999,527669.1014558,667200.2307909001,303764.00615800003
Level1.0014,Level2.0002,2022,581094.9543893,699166.1545843,516583.54665190005,663773.3341852
Level1.0018,Level2.0002,2022,579541.1042773,539412.7912014,838132.4804157999,605759.7047129
Level1.0003,Level2.0001,2022,578762.4873343,714533.4783827,508349.35269269993,656976.623943
Level1.0009,Level2.0001,2021,577962.4736428999,699742.4785481,744617.4749493999,548063.0553427999
Level1.0017,Level2.0000,2022,576974.4883121001,685399.315026,596999.2890467,484125.1157054
Level1.0016,Level2.0004,2021,576673.6465393,635683.043616,567321.1956027,496848.02354930004
Level1.0013,Level2.0004,2022,572155.9974186001,839228.4110859,543838.3103404,676996.3566156001
Level1.0003,Level2.0004,2022,571839.6822204,502734.6442313999,618296.0872723,694222.1808295001
Level1.0011,Level2.0003,2021,570330.1702219001,679002.5987345999,603141.3559685,588510.0767628
Level1.0014,Level2.0001,2021,568129.7838977,649466.3229027,700992.939753,589564.8423064
Level1.0000,Level2.0003,2022,565001.4130146,693692.2408851,665483.4961809,409248.4868222
Level1.0011,Level2.0001,2021,564379.2459305,582409.0097366001,513373.4521452,735466.3615738
Level1.0016,Level2.0001,2022,561088.6770409,546362.1196874,734194.7118351999,595716.6996605
Level1.0001,Level2.0000,2022,561033.914557,614096.8993833,585227.2022317,441808.2866609
Level1.0006,Level2.0002,2022,560862.2292434999,566683.3962021,392208.4257536001,705401.6431679999
Level1.0010,Level2.0003,2022,558885.6200459001,510598.4432541,595149.8473426,652740.3879454
Level1.0012,Level2.0002,2022,557085.1780882,850807.8047666001,374918.44510000007,681014.7208652
Level1.0006,Level2.0002,2021,556880.9765380999,451400.2426551,698922.4608121001,513563.7651002
Level1.0014,Level2.0002,2021,556700.7589836,589314.3239454,645769.862427,512808.1076034001
Level1.0005,Level2.0000,2021,556125.8414418,516174.1187866,612838.7276414,706300.9026826001
Level1.0009,Level2.0004,2022,556059.7624138,537860.3291447,424207.5966868999,622732.1375513
Level1.0013,Level2.0002,2021,555492.7956455001,476174.2890115,547773.9718383,620899.5435216
Level1.0006,Level2.0003,2022,555453.6743180001,632410.7067937,621088.0685599999,418208.04309019994
Level1.0007,Level2.0004,2022,552239.2459594001,648379.934369,658489.3654190999,882815.3054492
Level1.0002,Level2.0002,2022,547617.1411672,439899.12706960004,582454.6332687,686901.782631
Level1.0014,Level2.0003,2021,541842.991868,636526.0679396,615208.7310953999,429941.20255250006
Level1.0005,Level2.0004,2022,539915.0964865999,649433.1007612,673552.7086052,550664.5870871999
Level1.0011,Level2.0004,2021,536215.3921875,533503.8884518,613829.2208553,734515.4538782999
Level1.0016,Level2.0001,2021,536046.2416145,547997.8799461001,579569.379312,733032.0536345
Level1.0006,Level2.0000,2022,533652.6851262,598301.8749103,654775.4096831998,695050.2945246999
Level1.0005,Level2.0001,2022,531458.6848365,576774.8021719999,523619.89487270004,573890.7068967
Level1.0003,Level2.0000,2021,528269.4788899999,552842.717888,677890.3140194,525320.1356323
Level1.0000,Level2.0003,2021,527714.1388927001,610043.4746546001,518781.94767170004,729432.8778072002
Level1.0009,Level2.0003,2021,526832.8440304,555055.8311772998,507241.98697399994,652292.3167747001
Level1.0002,Level2.0003,2022,526472.5169295,605549.9853454999,608558.8273098,734085.3063195001
Level1.0005,Level2.0002,2022,523080.108977,709608.1724001999,552326.4425771999,714254.6265355
Level1.0019,Level2.0000,2022,522096.02516059997,581004.8391203999,659184.5348839001,581386.0225486
Level1.0014,Level2.0001,2022,521074.5745996,564439.1398534,455195.6105669,516774.2384255
Level1.0005,Level2.0000,2022,520119.88705889997,542597.7103932,640145.8586506998,624278.1783428
Level1.0011,Level2.0003,2022,515262.38389979996,352596.38974390004,671607.5818962,725531.7743646001
Level1.0017,Level2.0002,2021,514471.1024387,679622.6309149,534906.3783139,460550.68704289995
Level1.0015,Level2.0000,2021,513765.71386779996,501014.79614179995,726795.7419226001,578544.7582407
Level1.0018,Level2.0004,2022,512722.80221200007,491005.39392839995,717807.9925867,415981.8472408
Level1.0002,Level2.0000,2021,511419.3913199,615759.3755565,542605.012355,547384.5683882
Level1.0001,Level2.0002,2021,508715.03695190005,468480.0097984,711320.1183572001,597988.0429610999
Level1.0002,Level2.0001,2022,506930.38188570004,563048.0888356001,593716.1671129,698892.5005699
Level1.0005,Level2.0003,2022,505417.9567753,628813.839297,645387.0705460999,635704.0174532
Level1.0013,Level2.0003,2021,504769.14559689997,594894.4855321,605841.0987985001,646275.7184774
Level1.0019,Level2.0004,2022,501486.74932839995,667285.8644052001,555818.5782400001,452328.07794310007
Level1.0001,Level2.0003,2021,499719.40060520003,809337.2103892,572127.971164,771007.3717243001
Level1.0018,Level2.0002,2021,499268.6974948999,729746.7291828999,587435.6104495001,626691.6881688
Level1.0007,Level2.0002,2021,498885.054228,551929.4580167,646846.7953945999,684815.4779934
Level1.0003,Level2.0001,2021,497934.4085072,685407.1858697999,703408.906883,559756.5514433
Level1.0017,Level2.0000,2021,497639.63079080003,469755.72896740003,488230.3539294999,556253.3605829
Level1.0006,Level2.0001,2022,497001.73795499996,420062.051298,557290.8666151,546733.5997829
Level1.0010,Level2.0001,2022,493528.90245740005,484888.5925366,387956.2864248,505092.3807104
Level1.0010,Level2.0000,2022,493488.576538,846519.3137739002,564545.2867778,561397.1197518
Level1.0002,Level2.0001,2021,493065.9706878,545413.0452894999,495628.9531116001,386562.95688699995
Level1.0011,Level2.0000,2022,484514.32297380007,496479.9133983,571622.1195882999,551056.5218037
Level1.0019,Level2.0002,2022,484477.76246570004,634669.0185926,497421.4787359,333856.7350216
Level1.0019,Level2.0001,2021,484008.65139729995,727299.5260933001,562661.3683443,655030.5490482
Level1.0016,Level2.0000,2022,482213.5168997,633229.033746,856873.8105003999,810162.1589982
Level1.0016,Level2.0003,2022,480789.2620975,703369.6830578999,855900.9049929001,463619.72661659995
Level1.0012,Level2.0003,2021,480447.7581114,576308.7274175999,670925.3831263001,615428.0496384
Level1.0005,Level2.0004,2021,475124.9950321,613180.6365254,536304.3766495001,702982.405275
Level1.0012,Level2.0004,2021,473501.9788503,690323.2204613,630507.9836426,458345.82892279996
Level1.0005,Level2.0002,2021,468575.60596310004,575960.5184593999,547734.4757829001,376317.769311
Level1.0000,Level2.0001,2022,467573.1370431,605303.1906509,773840.2873683998,339220.67390359996
Level1.0002,Level2.0000,2022,465906.5841977,619156.9091097,488655.35685269994,682608.7722958999
Level1.0002,Level2.0004,2021,465833.5225248,614608.0783838,681545.5128139,451099.3957753
Level1.0012,Level2.0000,2021,457296.9212736,725041.4475552001,669204.7073257,612586.9030547
Level1.0003,Level2.0004,2021,454851.8828437,639993.6438156001,468499.3361983,600817.1845294
Level1.0004,Level2.0001,2022,453535.5690843001,625120.3396637001,556016.585497,730284.6271052
Level1.0004,Level2.0002,2022,446523.8406958,812560.7666035999,524219.17646870005,466165.7028217
Level1.0010,Level2.0001,2021,446351.40271860006,431707.99843669997,652953.3385588999,581727.8286734
Level1.0016,Level2.0002,2021,445621.2342538999,653933.9835155,523514.1182095,600058.6615282
Level1.0018,Level2.0000,2021,444359.54501759994,689698.6945386,686389.5624108,719634.8993250999
Level1.0018,Level2.0003,2021,440911.07640650007,758439.4299521,605389.0031455,492723.9059881
Level1.0014,Level2.0004,2022,439009.7800399,727599.6370908,534671.4476758001,739460.6957138001
Level1.0001,Level2.0003,2022,435647.19153380004,733909.8456382,517306.4685838,585771.517229
Level1.0009,Level2.0002,2022,433865.9662017,767409.0847259,494375.68544860004,692298.4755564
Level1.0011,Level2.0002,2021,405828.35866820003,562963.6091715001,740654.1447663002,537483.7396521999
Level1.0004,Level2.0003,2022,384762.0502725,615574.4566162999,362720.0646606,400768.18899269996
Level1.0018,Level2.0001,2021,370596.24005689996,650129.2834334,590142.0546293,510838.41205329995
Level1.0016,Level2.0004,2022,348637.16716049996,551583.3223788999,663867.4233549001,502305.2848246
Level1.0007,Level2.0003,2021,332757.2946967,755063.4849326,491823.0025288,617565.6108588
