C13 : Small Multiples.City,C13 : Small Multiples.Year,Sum(C13 : Small Multiples.AC),
Bulgaria,2008,8,35.48
Cologne,2008,69,"35.48,289.19999999999993,324.67999999999995"
Denmark,2008,-4,35.48
Finland,2008,1,35.48
Frankfurt,2008,40,"35.48,289.19999999999993,324.67999999999995"
Greece,2008,15,"35.48,289.19999999999993,324.67999999999995"
Ireland,2008,6,35.48
Italy,2008,8,35.48
Lausanne,2008,73,"35.48,289.19999999999993,324.67999999999995"
Linz,2008,134,"35.48,289.19999999999993,324.67999999999995"
Lyon,2008,36,"35.48,289.19999999999993,324.67999999999995"
Munich,2008,26,"35.48,289.19999999999993,324.67999999999995"
Norway,2008,9,35.48
Paris,2008,98,"35.48,289.19999999999993,324.67999999999995"
Poland,2008,-7,35.48
Salzburg,2008,25,"35.48,289.19999999999993,324.67999999999995"
San Mario,2008,10,35.48
Serbia,2008,8,35.48
Vienna,2008,99,"35.48,289.19999999999993,324.67999999999995"
Zurich,2008,56,"35.48,289.19999999999993,324.67999999999995"
Albania,2009,6,34.76
Austria,2009,5,34.76
Basel,2009,56,"34.76,324.67999999999995,359.43999999999994"
Berlin,2009,65,"34.76,324.67999999999995,359.43999999999994"
Bordeaux,2009,84,"34.76,324.67999999999995,359.43999999999994"
Bulgaria,2009,8,34.76
Cologne,2009,53,"34.76,324.67999999999995,359.43999999999994"
Denmark,2009,6,34.76
Finland,2009,3,34.76
Frankfurt,2009,34,"34.76,324.67999999999995,359.43999999999994"
Greece,2009,8,"34.76,324.67999999999995,359.43999999999994"
Ireland,2009,6,34.76
Italy,2009,-8,34.76
Lausanne,2009,79,"34.76,324.67999999999995,359.43999999999994"
Linz,2009,113,"34.76,324.67999999999995,359.43999999999994"
Lyon,2009,46,"34.76,324.67999999999995,359.43999999999994"
Munich,2009,45,"34.76,324.67999999999995,359.43999999999994"
Norway,2009,9,34.76
Paris,2009,81,"34.76,324.67999999999995,359.43999999999994"
Poland,2009,7,34.76
Salzburg,2009,27,"34.76,324.67999999999995,359.43999999999994"
San Mario,2009,8,34.76
Serbia,2009,10,34.76
Vienna,2009,34,"34.76,324.67999999999995,359.43999999999994"
Zurich,2009,84,"34.76,324.67999999999995,359.43999999999994"
Albania,2007,5,32.88
Austria,2007,8,32.88
Basel,2007,78,"32.88,359.43999999999994,392.31999999999994"
Berlin,2007,34,"32.88,359.43999999999994,392.31999999999994"
Bordeaux,2007,62,"32.88,359.43999999999994,392.31999999999994"
Bulgaria,2007,0,32.88
Cologne,2007,73,"32.88,359.43999999999994,392.31999999999994"
Denmark,2007,7,32.88
Finland,2007,-6,32.88
Frankfurt,2007,48,"32.88,359.43999999999994,392.31999999999994"
Greece,2007,6,"32.88,359.43999999999994,392.31999999999994"
Ireland,2007,8,32.88
Italy,2007,10,32.88
Lausanne,2007,88,"32.88,359.43999999999994,392.31999999999994"
Linz,2007,104,"32.88,359.43999999999994,392.31999999999994"
Lyon,2007,34,"32.88,359.43999999999994,392.31999999999994"
Munich,2007,26,"32.88,359.43999999999994,392.31999999999994"
Norway,2007,8,32.88
Paris,2007,64,"32.88,359.43999999999994,392.31999999999994"
Poland,2007,-8,32.88
Salzburg,2007,-5,"32.88,359.43999999999994,392.31999999999994"
San Mario,2007,8,32.88
Serbia,2007,7,32.88
Vienna,2007,94,"32.88,359.43999999999994,392.31999999999994"
Zurich,2007,69,"32.88,359.43999999999994,392.31999999999994"
