Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Order Date.Variation.Date Hierarchy.Quarter,Sum(Orders.Quantity),Sum(Orders.Profit)
2016,Office Supplies,Paper,Qtr 4,432,2720.1902999999998
2017,Office Supplies,Paper,Qtr 4,619,4034.3806999999983
2016,Office Supplies,Storage,Qtr 1,104,1008.8664999999996
2017,Office Supplies,Storage,Qtr 1,151,812.5550999999996
2016,Office Supplies,Storage,Qtr 2,207,1154.0078000000003
2017,Office Supplies,Storage,Qtr 2,208,2018.1876999999993
2016,Office Supplies,Storage,Qtr 3,201,1204.9054999999996
2017,Office Supplies,Storage,Qtr 3,274,1293.8884000000005
2016,Office Supplies,Storage,Qtr 4,296,2836.5069999999996
2017,Office Supplies,Storage,Qtr 4,389,3278.1694999999977
2016,Office Supplies,Supplies,Qtr 1,12,-575.2212000000005
2017,Office Supplies,Supplies,Qtr 1,32,-149.09049999999996
2016,Office Supplies,Supplies,Qtr 2,60,-57.40329999999997
2017,Office Supplies,Supplies,Qtr 2,47,107.23780000000002
2016,Office Supplies,Supplies,Qtr 3,69,61.07499999999993
2017,Office Supplies,Supplies,Qtr 3,60,-971.0515999999999
2016,Office Supplies,Supplies,Qtr 4,75,-127.4144
2017,Office Supplies,Supplies,Qtr 4,53,57.59149999999998
2016,Technology,Accessories,Qtr 1,96,1035.9632999999994
2017,Technology,Accessories,Qtr 1,146,2291.9934
2016,Technology,Accessories,Qtr 2,143,1684.7750999999994
2017,Technology,Accessories,Qtr 2,218,2575.8228999999988
2016,Technology,Accessories,Qtr 3,158,2585.2865
2017,Technology,Accessories,Qtr 3,318,6334.611800000003
2016,Technology,Accessories,Qtr 4,285,4358.2636
2017,Technology,Accessories,Qtr 4,397,4469.928899999999
2016,Technology,Copiers,Qtr 1,4,119.99599999999992
2017,Technology,Copiers,Qtr 1,25,10565.914699999998
2016,Technology,Copiers,Qtr 2,9,1564.9882999999988
2017,Technology,Copiers,Qtr 2,6,1049.985
2016,Technology,Copiers,Qtr 3,32,3895.9001
2017,Technology,Copiers,Qtr 3,17,1527.9651000000001
2016,Technology,Copiers,Qtr 4,24,12161.908199999998
2017,Technology,Copiers,Qtr 4,25,11887.925399999998
2016,Technology,Machines,Qtr 1,21,4968.559199999999
2017,Technology,Machines,Qtr 1,13,905.5250999999996
2016,Technology,Machines,Qtr 2,43,4580.507099999998
2017,Technology,Machines,Qtr 2,24,-1166.7751000000012
2016,Technology,Machines,Qtr 3,20,-161.63730000000015
2017,Technology,Machines,Qtr 3,25,256.15279999999984
2016,Technology,Machines,Qtr 4,45,-6480.111000000001
2017,Technology,Machines,Qtr 4,59,-2864.118399999999
2016,Technology,Phones,Qtr 1,134,1195.2467000000001
2017,Technology,Phones,Qtr 1,207,2050.1640999999995
2016,Technology,Phones,Qtr 2,171,2712.5184
2017,Technology,Phones,Qtr 2,190,2102.291
2016,Technology,Phones,Qtr 3,249,1789.4981999999977
2017,Technology,Phones,Qtr 3,294,3191.9692000000005
2016,Technology,Phones,Qtr 4,264,3762.3296
2017,Technology,Phones,Qtr 4,399,5504.900699999998
