Orders.Sub-Category,Orders.Category,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Sum(Orders.Sales)
Appliances,Office Supplies,Qtr 2,June,7479.46
Art,Office Supplies,Qtr 2,June,2217.6960000000004
Binders,Office Supplies,Qtr 2,June,13286.761000000002
Envelopes,Office Supplies,Qtr 2,June,513.7579999999999
Fasteners,Office Supplies,Qtr 2,June,115.50399999999999
Labels,Office Supplies,Qtr 2,June,1207.01
Paper,Office Supplies,Qtr 2,June,6722.1939999999995
Storage,Office Supplies,Qtr 2,June,18605.662
Supplies,Office Supplies,Qtr 2,June,1266.5880000000004
Accessories,Technology,Qtr 2,June,8908.384000000002
Copiers,Technology,Qtr 2,June,899.97
Machines,Technology,Qtr 2,June,12182.525
Phones,Technology,Qtr 2,June,26313.703999999998
Bookcases,Furniture,Qtr 3,July,8588.983
Chairs,Furniture,Qtr 3,July,23016.351000000002
Furnishings,Furniture,Qtr 3,July,7609.052000000002
Tables,Furniture,Qtr 3,July,10162.625999999998
Appliances,Office Supplies,Qtr 3,July,3823.2540000000004
Art,Office Supplies,Qtr 3,July,2065.94
Binders,Office Supplies,Qtr 3,July,8557.349
Envelopes,Office Supplies,Qtr 3,July,1200.0800000000002
Fasteners,Office Supplies,Qtr 3,July,181.50799999999995
Labels,Office Supplies,Qtr 3,July,1692.0159999999998
Paper,Office Supplies,Qtr 3,July,4180.200000000001
Storage,Office Supplies,Qtr 3,July,12490.796000000004
Supplies,Office Supplies,Qtr 3,July,8815.916
Accessories,Technology,Qtr 3,July,17126.417999999998
Copiers,Technology,Qtr 3,July,9779.792000000001
Machines,Technology,Qtr 3,July,4064.768
Phones,Technology,Qtr 3,July,23883.048
Bookcases,Furniture,Qtr 3,August,5621.545000000001
Chairs,Furniture,Qtr 3,August,18339.804
Furnishings,Furniture,Qtr 3,August,4033.594000000001
Tables,Furniture,Qtr 3,August,16889.102
Appliances,Office Supplies,Qtr 3,August,13061.658999999998
Art,Office Supplies,Qtr 3,August,1690.1339999999998
Binders,Office Supplies,Qtr 3,August,20430.013
Envelopes,Office Supplies,Qtr 3,August,701.08
Fasteners,Office Supplies,Qtr 3,August,243.25000000000003
Labels,Office Supplies,Qtr 3,August,876.472
Paper,Office Supplies,Qtr 3,August,6523.164000000002
Storage,Office Supplies,Qtr 3,August,17742.822000000004
Supplies,Office Supplies,Qtr 3,August,865.5679999999999
Accessories,Technology,Qtr 3,August,12376.144
Copiers,Technology,Qtr 3,August,5729.9000000000015
Machines,Technology,Qtr 3,August,6261.509999999999
Phones,Technology,Qtr 3,August,27658.301999999985
Bookcases,Furniture,Qtr 3,September,23372.530699999996
Chairs,Furniture,Qtr 3,September,51577.218
Furnishings,Furniture,Qtr 3,September,11804.909999999996
Tables,Furniture,Qtr 3,September,19625.932
Appliances,Office Supplies,Qtr 3,September,10193.027999999998
Art,Office Supplies,Qtr 3,September,3660.3699999999994
Binders,Office Supplies,Qtr 3,September,37343.50800000005
Envelopes,Office Supplies,Qtr 3,September,2176.550000000001
Fasteners,Office Supplies,Qtr 3,September,405.6940000000001
Labels,Office Supplies,Qtr 3,September,1496.2959999999998
Paper,Office Supplies,Qtr 3,September,10689.555999999997
Storage,Office Supplies,Qtr 3,September,29487.467999999993
Supplies,Office Supplies,Qtr 3,September,6436.176000000001
Accessories,Technology,Qtr 3,September,24900.353999999992
Copiers,Technology,Qtr 3,September,10319.742000000002
Machines,Technology,Qtr 3,September,26385.656999999996
Phones,Technology,Qtr 3,September,37774.956
Bookcases,Furniture,Qtr 4,October,8246.9432
Chairs,Furniture,Qtr 4,October,24170.45
Furnishings,Furniture,Qtr 4,October,5447.186000000002
Tables,Furniture,Qtr 4,October,20222.936500000003
Appliances,Office Supplies,Qtr 4,October,9151.597
Art,Office Supplies,Qtr 4,October,1923.0560000000014
Binders,Office Supplies,Qtr 4,October,18076.629000000004
Envelopes,Office Supplies,Qtr 4,October,1403.156
Fasteners,Office Supplies,Qtr 4,October,325.762
Labels,Office Supplies,Qtr 4,October,1248.4779999999998
Paper,Office Supplies,Qtr 4,October,4996.883999999998
Storage,Office Supplies,Qtr 4,October,17239.87
Supplies,Office Supplies,Qtr 4,October,838.0920000000001
Accessories,Technology,Qtr 4,October,12927.141999999996
Copiers,Technology,Qtr 4,October,37019.755999999994
Machines,Technology,Qtr 4,October,10613.093000000003
Phones,Technology,Qtr 4,October,26471.95399999999
Bookcases,Furniture,Qtr 4,November,23561.0205
Chairs,Furniture,Qtr 4,November,47760.01299999999
Furnishings,Furniture,Qtr 4,November,16782.539999999994
Tables,Furniture,Qtr 4,November,33182.4755
Appliances,Office Supplies,Qtr 4,November,18969.931999999997
Art,Office Supplies,Qtr 4,November,3954.034
Binders,Office Supplies,Qtr 4,November,20857.650999999994
Envelopes,Office Supplies,Qtr 4,November,2907.128
Fasteners,Office Supplies,Qtr 4,November,550.0079999999999
Labels,Office Supplies,Qtr 4,November,1850.202
Paper,Office Supplies,Qtr 4,November,12577.919999999995
Storage,Office Supplies,Qtr 4,November,37023.148
Supplies,Office Supplies,Qtr 4,November,1350.1580000000001
Accessories,Technology,Qtr 4,November,25956.732000000015
Copiers,Technology,Qtr 4,November,15149.884
Machines,Technology,Qtr 4,November,33807.299000000006
Phones,Technology,Qtr 4,November,56220.92599999998
Bookcases,Furniture,Qtr 4,December,10977.384499999998
Chairs,Furniture,Qtr 4,December,57429.048999999985
Furnishings,Furniture,Qtr 4,December,14218.275999999996
Tables,Furniture,Qtr 4,December,39193.25799999999
Appliances,Office Supplies,Qtr 4,December,16442.637000000002
Art,Office Supplies,Qtr 4,December,3635.7140000000004
Binders,Office Supplies,Qtr 4,December,31996.60699999998
Envelopes,Office Supplies,Qtr 4,December,2458.3279999999995
Fasteners,Office Supplies,Qtr 4,December,438.24000000000007
Labels,Office Supplies,Qtr 4,December,1376.0319999999997
Paper,Office Supplies,Qtr 4,December,11250.121999999996
Storage,Office Supplies,Qtr 4,December,30642.967999999997
Supplies,Office Supplies,Qtr 4,December,4401.996000000001
Accessories,Technology,Qtr 4,December,28006.515999999996
Copiers,Technology,Qtr 4,December,18799.65
Machines,Technology,Qtr 4,December,15209.824
Phones,Technology,Qtr 4,December,38816.902
