30ColumnData.Column.Variation.Date Hierarchy.Month,30ColumnData.Column.Variation.Date Hierarchy.Year,30ColumnData.Cameras,30ColumnData.Books,Sum(30ColumnData.Series 2)
December,2021,Cameras.0000,Books.0002,8502694.111455802
January,2022,Cameras.0000,Books.0002,8146357.3755387
February,2022,Cameras.0000,Books.0002,7962856.535582001
March,2022,Cameras.0000,Books.0002,8131267.479667802
April,2022,Cameras.0000,Books.0002,7552240.858209999
May,2022,Cameras.0000,Books.0002,7376164.5875713965
June,2022,Cameras.0000,Books.0002,8053127.268969001
July,2022,Cameras.0000,Books.0002,8094889.122817798
August,2022,Cameras.0000,Books.0002,8010089.284398004
September,2022,Cameras.0000,Books.0002,8379004.541241997
October,2022,Cameras.0000,Books.0002,7441231.169167503
November,2022,Cameras.0000,Books.0002,8290345.552950599
December,2022,Cameras.0000,Books.0002,7783065.012663499
January,2023,Cameras.0000,Books.0002,7931177.1060208
February,2023,Cameras.0000,Books.0002,8193706.735985999
March,2023,Cameras.0000,Books.0002,8540299.681576703
April,2023,Cameras.0000,Books.0002,7745936.9744315995
May,2023,Cameras.0000,Books.0002,7835176.896883703
June,2023,Cameras.0000,Books.0002,7836605.024018301
July,2023,Cameras.0000,Books.0002,7919361.771503604
August,2023,Cameras.0000,Books.0002,8696911.006163
September,2023,Cameras.0000,Books.0002,7604569.818669001
October,2023,Cameras.0000,Books.0002,7818801.384388298
November,2023,Cameras.0000,Books.0002,8356061.792755399
December,2023,Cameras.0000,Books.0002,8031531.701597598
January,2021,Cameras.0000,Books.0003,8183862.898695799
February,2021,Cameras.0000,Books.0003,8300503.7829503035
March,2021,Cameras.0000,Books.0003,7299536.649125401
April,2021,Cameras.0000,Books.0003,7938075.752951
May,2021,Cameras.0000,Books.0003,7886441.819464497
June,2021,Cameras.0000,Books.0003,7784646.430338898
July,2021,Cameras.0000,Books.0003,7334126.4579182975
August,2021,Cameras.0000,Books.0003,7361139.118291401
September,2021,Cameras.0000,Books.0003,8093185.6181756975
October,2021,Cameras.0000,Books.0003,7721132.437136496
November,2021,Cameras.0000,Books.0003,6892645.956810002
December,2021,Cameras.0000,Books.0003,8226517.085495297
January,2022,Cameras.0000,Books.0003,7943826.248616297
February,2022,Cameras.0000,Books.0003,7152729.302265701
March,2022,Cameras.0000,Books.0003,8058121.195241
April,2022,Cameras.0000,Books.0003,8251485.985460901
May,2022,Cameras.0000,Books.0003,7714099.306161999
June,2022,Cameras.0000,Books.0003,8029537.238248998
July,2022,Cameras.0000,Books.0003,7456580.589082001
August,2022,Cameras.0000,Books.0003,7761771.200277302
September,2022,Cameras.0000,Books.0003,7879235.529527696
October,2022,Cameras.0000,Books.0003,7727283.770700997
November,2022,Cameras.0000,Books.0003,7627174.740013698
December,2022,Cameras.0000,Books.0003,7876208.635089003
January,2023,Cameras.0000,Books.0003,8222342.647797803
February,2023,Cameras.0000,Books.0003,7876832.402661496
March,2023,Cameras.0000,Books.0003,8244955.062086502
April,2023,Cameras.0000,Books.0003,7714333.3029748
May,2023,Cameras.0000,Books.0003,8620560.582601998
June,2023,Cameras.0000,Books.0003,8417260.341372697
July,2023,Cameras.0000,Books.0003,7750666.625127701
August,2023,Cameras.0000,Books.0003,7765657.091148397
September,2023,Cameras.0000,Books.0003,7821698.191564101
October,2023,Cameras.0000,Books.0003,8183672.643361403
November,2023,Cameras.0000,Books.0003,8473113.5874982
December,2023,Cameras.0000,Books.0003,7322728.4239936
January,2021,Cameras.0000,Books.0004,7421337.756341199
February,2021,Cameras.0000,Books.0004,7321819.256039007
March,2021,Cameras.0000,Books.0004,8004315.086218899
April,2021,Cameras.0000,Books.0004,8308066.351689599
May,2021,Cameras.0000,Books.0004,8217355.460415001
June,2021,Cameras.0000,Books.0004,8065498.360409104
July,2021,Cameras.0000,Books.0004,7761925.760651
August,2021,Cameras.0000,Books.0004,7540443.770086102
September,2021,Cameras.0000,Books.0004,7523514.466017502
October,2021,Cameras.0000,Books.0004,8435897.322579004
November,2021,Cameras.0000,Books.0004,7907581.233639997
December,2021,Cameras.0000,Books.0004,7555646.437425902
January,2022,Cameras.0000,Books.0004,7950972.795892799
February,2022,Cameras.0000,Books.0004,8003037.257435898
March,2022,Cameras.0000,Books.0004,7967585.458364102
April,2022,Cameras.0000,Books.0004,8790121.312708998
May,2022,Cameras.0000,Books.0004,7959535.131344693
June,2022,Cameras.0000,Books.0004,8168992.759710901
July,2022,Cameras.0000,Books.0004,8560563.370434398
August,2022,Cameras.0000,Books.0004,8167646.638484298
September,2022,Cameras.0000,Books.0004,8170600.162984698
October,2022,Cameras.0000,Books.0004,7918119.903032101
November,2022,Cameras.0000,Books.0004,7927711.3442096
December,2022,Cameras.0000,Books.0004,7639819.241824804
January,2023,Cameras.0000,Books.0004,8131285.9187451005
February,2023,Cameras.0000,Books.0004,8383338.243201402
March,2023,Cameras.0000,Books.0004,8191890.1545068
April,2023,Cameras.0000,Books.0004,8133857.466250697
May,2023,Cameras.0000,Books.0004,7805446.867976502
June,2023,Cameras.0000,Books.0004,8352134.115692001
July,2023,Cameras.0000,Books.0004,8330352.049620497
August,2023,Cameras.0000,Books.0004,8682485.237540007
September,2023,Cameras.0000,Books.0004,7776859.093806
October,2023,Cameras.0000,Books.0004,7857895.590515003
November,2023,Cameras.0000,Books.0004,8330411.929676301
December,2023,Cameras.0000,Books.0004,8162129.5460181
January,2021,Cameras.0001,Books.0000,8168439.671765896
February,2021,Cameras.0001,Books.0000,8072418.487001
March,2021,Cameras.0001,Books.0000,8169682.092255695
April,2021,Cameras.0001,Books.0000,8193019.670300397
May,2021,Cameras.0001,Books.0000,7874072.330179703
June,2021,Cameras.0001,Books.0000,8160393.914963598
July,2021,Cameras.0001,Books.0000,8160107.037322999
August,2021,Cameras.0001,Books.0000,8279695.427501898
September,2021,Cameras.0001,Books.0000,8189243.021430698
October,2021,Cameras.0001,Books.0000,8484636.707968201
November,2021,Cameras.0001,Books.0000,7390604.282507303
December,2021,Cameras.0001,Books.0000,7876210.367397497
January,2022,Cameras.0001,Books.0000,7729646.3639218975
February,2022,Cameras.0001,Books.0000,8428446.420363601
March,2022,Cameras.0001,Books.0000,7782124.203758202
April,2022,Cameras.0001,Books.0000,7670646.832883394
May,2022,Cameras.0001,Books.0000,7428812.552102598
June,2022,Cameras.0001,Books.0000,8243310.385113
July,2022,Cameras.0001,Books.0000,8532927.9770006
August,2022,Cameras.0001,Books.0000,7755380.308963999
September,2022,Cameras.0001,Books.0000,7684728.267284399
October,2022,Cameras.0001,Books.0000,7665375.150083995
November,2022,Cameras.0001,Books.0000,7353721.233619998
December,2022,Cameras.0001,Books.0000,7792402.621950098
January,2023,Cameras.0001,Books.0000,8567228.1165834
February,2023,Cameras.0001,Books.0000,8122973.532725997
March,2023,Cameras.0001,Books.0000,8136017.153543895
April,2023,Cameras.0001,Books.0000,7676134.621868699
May,2023,Cameras.0001,Books.0000,8232747.2875834005
June,2023,Cameras.0001,Books.0000,7796447.620258598
July,2023,Cameras.0001,Books.0000,7744584.939340399
August,2023,Cameras.0001,Books.0000,8211777.9604958
September,2023,Cameras.0001,Books.0000,8305260.414750798
October,2023,Cameras.0001,Books.0000,7980543.578126898
November,2023,Cameras.0001,Books.0000,7831699.357035001
December,2023,Cameras.0001,Books.0000,7920296.876837902
January,2021,Cameras.0001,Books.0001,8213946.159729
February,2021,Cameras.0001,Books.0001,8129667.909441701
March,2021,Cameras.0001,Books.0001,8206717.630403799
April,2021,Cameras.0001,Books.0001,8014779.882794094
May,2021,Cameras.0001,Books.0001,7995795.160551001
June,2021,Cameras.0001,Books.0001,7196898.500042798
July,2021,Cameras.0001,Books.0001,7580195.828397505
August,2021,Cameras.0001,Books.0001,8417298.458725303
September,2021,Cameras.0001,Books.0001,8012574.858917701
October,2021,Cameras.0001,Books.0001,7740840.635025601
November,2021,Cameras.0001,Books.0001,8086757.943360004
December,2021,Cameras.0001,Books.0001,7585718.7982107
January,2022,Cameras.0001,Books.0001,8730311.2242686
February,2022,Cameras.0001,Books.0001,7598071.483014303
March,2022,Cameras.0001,Books.0001,7420323.839451002
April,2022,Cameras.0001,Books.0001,7638409.546963996
May,2022,Cameras.0001,Books.0001,8490203.888141502
June,2022,Cameras.0001,Books.0001,8147645.198569902
July,2022,Cameras.0001,Books.0001,7771326.794628698
August,2022,Cameras.0001,Books.0001,8471117.0621664
September,2022,Cameras.0001,Books.0001,8110761.627226098
October,2022,Cameras.0001,Books.0001,8037561.746918798
November,2022,Cameras.0001,Books.0001,7791321.892847796
December,2022,Cameras.0001,Books.0001,7736564.076126401
January,2023,Cameras.0001,Books.0001,8045921.439084698
February,2023,Cameras.0001,Books.0001,8327053.9296227
March,2023,Cameras.0001,Books.0001,8094911.004105004
April,2023,Cameras.0001,Books.0001,8180673.743076007
May,2023,Cameras.0001,Books.0001,7725409.229576899
June,2023,Cameras.0001,Books.0001,7757903.756362804
July,2023,Cameras.0001,Books.0001,7550195.3846752
August,2023,Cameras.0001,Books.0001,7901338.924668701
September,2023,Cameras.0001,Books.0001,7784605.1189725995
October,2023,Cameras.0001,Books.0001,8402065.8777137
November,2023,Cameras.0001,Books.0001,8266361.884497303
December,2023,Cameras.0001,Books.0001,8006999.547104003
January,2021,Cameras.0001,Books.0002,7475238.1061012
February,2021,Cameras.0001,Books.0002,8023800.240123998
March,2021,Cameras.0001,Books.0002,7388710.404518103
April,2021,Cameras.0001,Books.0002,7636763.175903302
May,2021,Cameras.0001,Books.0002,7835776.8585935
June,2021,Cameras.0001,Books.0002,7826729.609123001
July,2021,Cameras.0001,Books.0002,7794092.052539697
August,2021,Cameras.0001,Books.0002,8308989.035821299
September,2021,Cameras.0001,Books.0002,7819155.120538101
October,2021,Cameras.0001,Books.0002,7436611.881714998
November,2021,Cameras.0001,Books.0002,7831909.0142882
December,2021,Cameras.0001,Books.0002,7759264.343678299
January,2022,Cameras.0001,Books.0002,7848400.7202168945
February,2022,Cameras.0001,Books.0002,7982632.633976
March,2022,Cameras.0001,Books.0002,7720027.156854101
April,2022,Cameras.0001,Books.0002,8081013.560434202
May,2022,Cameras.0001,Books.0002,7361080.413552801
June,2022,Cameras.0001,Books.0002,8678732.9821247
July,2022,Cameras.0001,Books.0002,7822864.683160699
August,2022,Cameras.0001,Books.0002,8204708.653156404
September,2022,Cameras.0001,Books.0002,7530238.192750596
October,2022,Cameras.0001,Books.0002,7852760.3266517
November,2022,Cameras.0001,Books.0002,8091929.657479805
December,2022,Cameras.0001,Books.0002,7865133.697781302
January,2023,Cameras.0001,Books.0002,7630522.484158198
February,2023,Cameras.0001,Books.0002,7916534.656063204
March,2023,Cameras.0001,Books.0002,8200174.771301701
April,2023,Cameras.0001,Books.0002,7592576.072681499
May,2023,Cameras.0001,Books.0002,8076388.794778602
June,2023,Cameras.0001,Books.0002,8192387.556169999
July,2023,Cameras.0001,Books.0002,8146203.5240665
August,2023,Cameras.0001,Books.0002,8010949.742320002
September,2023,Cameras.0001,Books.0002,8126211.891346797
October,2023,Cameras.0001,Books.0002,7358873.112449996
November,2023,Cameras.0001,Books.0002,7763051.0854758
December,2023,Cameras.0001,Books.0002,7645029.6356436
January,2021,Cameras.0001,Books.0003,7286814.324887903
February,2021,Cameras.0001,Books.0003,8053527.2484726
March,2021,Cameras.0001,Books.0003,7910296.890915602
April,2021,Cameras.0001,Books.0003,7588291.515685503
May,2021,Cameras.0001,Books.0003,7933028.709700999
June,2021,Cameras.0001,Books.0003,8316029.557825296
July,2021,Cameras.0001,Books.0003,8123783.618902606
August,2021,Cameras.0001,Books.0003,7739281.3982689
September,2021,Cameras.0001,Books.0003,8187377.245177894
October,2021,Cameras.0001,Books.0003,8700362.971093602
November,2021,Cameras.0001,Books.0003,8437636.538724598
December,2021,Cameras.0001,Books.0003,8162315.400151001
January,2022,Cameras.0001,Books.0003,7237700.628536797
February,2022,Cameras.0001,Books.0003,7882975.411799304
March,2022,Cameras.0001,Books.0003,7455701.7553026015
April,2022,Cameras.0001,Books.0003,7851393.558681895
May,2022,Cameras.0001,Books.0003,8209093.117375002
June,2022,Cameras.0001,Books.0003,7832435.381097901
July,2022,Cameras.0001,Books.0003,7958161.280737799
August,2022,Cameras.0001,Books.0003,7261345.074867196
September,2022,Cameras.0001,Books.0003,7900303.987079105
October,2022,Cameras.0001,Books.0003,8215189.0102050025
November,2022,Cameras.0001,Books.0003,8025843.542989397
December,2022,Cameras.0001,Books.0003,7768065.967313402
January,2023,Cameras.0001,Books.0003,7527078.037453602
February,2023,Cameras.0001,Books.0003,7866274.484278502
March,2023,Cameras.0001,Books.0003,7714810.955022804
April,2023,Cameras.0001,Books.0003,8783619.391542003
May,2023,Cameras.0001,Books.0003,8152172.557134398
June,2023,Cameras.0001,Books.0003,8226345.5602282975
July,2023,Cameras.0001,Books.0003,8223634.637618503
August,2023,Cameras.0001,Books.0003,7670033.946215501
September,2023,Cameras.0001,Books.0003,7939292.058129699
October,2023,Cameras.0001,Books.0003,8558415.7590243
November,2023,Cameras.0001,Books.0003,8014665.4101678
December,2023,Cameras.0001,Books.0003,8349788.883703203
January,2021,Cameras.0001,Books.0004,7938946.510880396
February,2021,Cameras.0001,Books.0004,8231729.806590298
March,2021,Cameras.0001,Books.0004,8049678.785155303
April,2021,Cameras.0001,Books.0004,8257523.139445004
May,2021,Cameras.0001,Books.0004,8019777.1677391995
June,2021,Cameras.0001,Books.0004,8418755.4863054
July,2021,Cameras.0001,Books.0004,7638050.7343229
August,2021,Cameras.0001,Books.0004,8180471.185610598
September,2021,Cameras.0001,Books.0004,8870837.934199097
October,2021,Cameras.0001,Books.0004,8027786.385295299
November,2021,Cameras.0001,Books.0004,7841138.3330040965
December,2021,Cameras.0001,Books.0004,8011127.428242003
January,2022,Cameras.0001,Books.0004,7895384.868551399
February,2022,Cameras.0001,Books.0004,8544881.057232002
March,2022,Cameras.0001,Books.0004,7353147.459815203
April,2022,Cameras.0001,Books.0004,7479209.370751299
May,2022,Cameras.0001,Books.0004,7932250.253228603
June,2022,Cameras.0001,Books.0004,8204197.1676731035
July,2022,Cameras.0001,Books.0004,8146408.036833499
August,2022,Cameras.0001,Books.0004,7103090.840538999
September,2022,Cameras.0001,Books.0004,7067037.7071965
October,2022,Cameras.0001,Books.0004,7872462.3492855
November,2022,Cameras.0001,Books.0004,8509444.894535601
December,2022,Cameras.0001,Books.0004,8787711.462163
January,2023,Cameras.0001,Books.0004,7661771.110735498
February,2023,Cameras.0001,Books.0004,8379375.277237503
March,2023,Cameras.0001,Books.0004,8101634.283189001
April,2023,Cameras.0001,Books.0004,7828317.8047536
May,2023,Cameras.0001,Books.0004,7886655.5649488
June,2023,Cameras.0001,Books.0004,7394140.577583198
July,2023,Cameras.0001,Books.0004,8206745.748180703
August,2023,Cameras.0001,Books.0004,8393665.8473207
September,2023,Cameras.0001,Books.0004,7556586.042106
October,2023,Cameras.0001,Books.0004,8166532.573355198
November,2023,Cameras.0001,Books.0004,7707639.650064201
December,2023,Cameras.0001,Books.0004,7880838.909446002
January,2021,Cameras.0002,Books.0000,8108327.2003731
February,2021,Cameras.0002,Books.0000,7505706.7600003015
March,2021,Cameras.0002,Books.0000,8081714.628704199
April,2021,Cameras.0002,Books.0000,7927307.035047098
May,2021,Cameras.0002,Books.0000,8327118.0040567955
June,2021,Cameras.0002,Books.0000,7963008.304201403
July,2021,Cameras.0002,Books.0000,8328745.257453204
August,2021,Cameras.0002,Books.0000,8383557.795945001
September,2021,Cameras.0002,Books.0000,7853239.162765403
October,2021,Cameras.0002,Books.0000,8084369.411786702
November,2021,Cameras.0002,Books.0000,8583907.827539697
December,2021,Cameras.0002,Books.0000,8648357.872061698
January,2022,Cameras.0002,Books.0000,8031960.0783456
February,2022,Cameras.0002,Books.0000,7207154.688612497
March,2022,Cameras.0002,Books.0000,8206392.179768399
April,2022,Cameras.0002,Books.0000,7436723.299248606
May,2022,Cameras.0002,Books.0000,8476104.144981993
June,2022,Cameras.0002,Books.0000,8342989.1995219
July,2022,Cameras.0002,Books.0000,7433668.343316101
August,2022,Cameras.0002,Books.0000,8583284.555098202
September,2022,Cameras.0002,Books.0000,8546408.980203798
October,2022,Cameras.0002,Books.0000,7984172.684188999
November,2022,Cameras.0002,Books.0000,8043767.673561003
December,2022,Cameras.0002,Books.0000,7738810.741671999
January,2023,Cameras.0002,Books.0000,8531162.550780097
February,2023,Cameras.0002,Books.0000,8126383.948578197
March,2023,Cameras.0002,Books.0000,8045203.549761898
April,2023,Cameras.0002,Books.0000,7761683.756385295
May,2023,Cameras.0002,Books.0000,7640262.153832204
June,2023,Cameras.0002,Books.0000,7887132.178056599
July,2023,Cameras.0002,Books.0000,7591048.459012498
August,2023,Cameras.0002,Books.0000,7825005.137166099
September,2023,Cameras.0002,Books.0000,7930078.959841097
October,2023,Cameras.0002,Books.0000,8220482.766269299
November,2023,Cameras.0002,Books.0000,7575833.2270921
December,2023,Cameras.0002,Books.0000,7467169.363483001
January,2021,Cameras.0002,Books.0001,8402542.563473303
February,2021,Cameras.0002,Books.0001,7721667.650641605
March,2021,Cameras.0002,Books.0001,8583796.525227001
April,2021,Cameras.0002,Books.0001,7780938.708077899
May,2021,Cameras.0002,Books.0001,7872232.440459001
June,2021,Cameras.0002,Books.0001,8101262.068947997
July,2021,Cameras.0002,Books.0001,7870809.017848698
August,2021,Cameras.0002,Books.0001,8001846.3602816975
September,2021,Cameras.0002,Books.0001,8132652.538867001
October,2021,Cameras.0002,Books.0001,8044026.715452301
November,2021,Cameras.0002,Books.0001,8691818.538356999
December,2021,Cameras.0002,Books.0001,7633345.721830998
January,2022,Cameras.0002,Books.0001,8204253.721392906
February,2022,Cameras.0002,Books.0001,8299518.846756795
March,2022,Cameras.0002,Books.0001,8487406.624661202
April,2022,Cameras.0002,Books.0001,8253130.941103798
May,2022,Cameras.0002,Books.0001,8326555.694480001
June,2022,Cameras.0002,Books.0001,7494716.995549002
July,2022,Cameras.0002,Books.0001,8349306.324993002
August,2022,Cameras.0002,Books.0001,7535169.998335197
September,2022,Cameras.0002,Books.0001,7870852.756629299
October,2022,Cameras.0002,Books.0001,7431464.856948304
November,2022,Cameras.0002,Books.0001,8073860.788124797
December,2022,Cameras.0002,Books.0001,7811998.592396102
January,2023,Cameras.0002,Books.0001,7910130.4215125
February,2023,Cameras.0002,Books.0001,7686122.089925003
March,2023,Cameras.0002,Books.0001,7583313.664349402
April,2023,Cameras.0002,Books.0001,7686602.611479601
May,2023,Cameras.0002,Books.0001,8161702.617219501
June,2023,Cameras.0002,Books.0001,7796104.180980303
July,2023,Cameras.0002,Books.0001,7812169.011950101
August,2023,Cameras.0002,Books.0001,9484607.532742698
September,2023,Cameras.0002,Books.0001,8056969.0297789
October,2023,Cameras.0002,Books.0001,8055854.4587212
November,2023,Cameras.0002,Books.0001,7870524.212094104
December,2023,Cameras.0002,Books.0001,7266198.516537205
January,2021,Cameras.0002,Books.0002,8711357.061472995
February,2021,Cameras.0002,Books.0002,8045422.616835998
March,2021,Cameras.0002,Books.0002,7837748.487912102
April,2021,Cameras.0002,Books.0002,8433722.891732004
May,2021,Cameras.0002,Books.0002,8091760.314733899
June,2021,Cameras.0002,Books.0002,7785916.503911801
July,2021,Cameras.0002,Books.0002,8040794.355040999
August,2021,Cameras.0002,Books.0002,7911497.833507304
September,2021,Cameras.0002,Books.0002,8384414.766896599
October,2021,Cameras.0002,Books.0002,8706514.016282002
November,2021,Cameras.0002,Books.0002,8671318.009679997
December,2021,Cameras.0002,Books.0002,8298092.733461298
January,2022,Cameras.0002,Books.0002,8011445.254012101
February,2022,Cameras.0002,Books.0002,8351174.833988
March,2022,Cameras.0002,Books.0002,8279455.319176001
April,2022,Cameras.0002,Books.0002,8560135.5417102
May,2022,Cameras.0002,Books.0002,7216902.034650796
June,2022,Cameras.0002,Books.0002,8351785.191561502
July,2022,Cameras.0002,Books.0002,7488611.573553001
August,2022,Cameras.0002,Books.0002,7733413.134236195
September,2022,Cameras.0002,Books.0002,8286433.952891699
October,2022,Cameras.0002,Books.0002,7940837.915852002
November,2022,Cameras.0002,Books.0002,8374448.8707595
December,2022,Cameras.0002,Books.0002,8253073.811272401
January,2023,Cameras.0002,Books.0002,8086410.0377533
February,2023,Cameras.0002,Books.0002,7573002.639726003
March,2023,Cameras.0002,Books.0002,7638856.4526283
April,2023,Cameras.0002,Books.0002,8018548.051241001
May,2023,Cameras.0002,Books.0002,7953723.301064998
June,2023,Cameras.0002,Books.0002,8085583.7308117
July,2023,Cameras.0002,Books.0002,8251716.809192
August,2023,Cameras.0002,Books.0002,7852512.288584302
September,2023,Cameras.0002,Books.0002,8003383.030861499
October,2023,Cameras.0002,Books.0002,8209364.215566602
November,2023,Cameras.0002,Books.0002,7895159.900571995
December,2023,Cameras.0002,Books.0002,8473874.392344905
January,2021,Cameras.0002,Books.0003,7969610.4842719985
February,2021,Cameras.0002,Books.0003,8200347.425232295
March,2021,Cameras.0002,Books.0003,8014223.089151002
April,2021,Cameras.0002,Books.0003,7609851.940814799
May,2021,Cameras.0002,Books.0003,8027926.442396
June,2021,Cameras.0002,Books.0003,8045122.1175099
July,2021,Cameras.0002,Books.0003,8195132.106573004
August,2021,Cameras.0002,Books.0003,8206207.081523598
September,2021,Cameras.0002,Books.0003,7833298.916228497
October,2021,Cameras.0002,Books.0003,7993413.142795398
November,2021,Cameras.0002,Books.0003,7966747.792807998
December,2021,Cameras.0002,Books.0003,7898432.196849698
January,2022,Cameras.0002,Books.0003,8169138.969061693
February,2022,Cameras.0002,Books.0003,8569380.4038114
March,2022,Cameras.0002,Books.0003,8385743.101973002
April,2022,Cameras.0002,Books.0003,7892961.454305896
May,2022,Cameras.0002,Books.0003,7822317.2224766
June,2022,Cameras.0002,Books.0003,8502630.058619097
July,2022,Cameras.0002,Books.0003,8307336.2635099
August,2022,Cameras.0002,Books.0003,8035576.5227623
September,2022,Cameras.0002,Books.0003,7973168.419255898
October,2022,Cameras.0002,Books.0003,8209617.639929698
November,2022,Cameras.0002,Books.0003,8463794.280551199
December,2022,Cameras.0002,Books.0003,8266504.720730197
January,2023,Cameras.0002,Books.0003,8319558.5121349
February,2023,Cameras.0002,Books.0003,8486347.43299
March,2023,Cameras.0002,Books.0003,8649621.365879495
April,2023,Cameras.0002,Books.0003,8324470.499241002
May,2023,Cameras.0002,Books.0003,7696763.517128698
June,2023,Cameras.0002,Books.0003,7961658.4521355
July,2023,Cameras.0002,Books.0003,7110886.540279999
August,2023,Cameras.0002,Books.0003,7125313.594262304
September,2023,Cameras.0002,Books.0003,7725220.961387401
October,2023,Cameras.0002,Books.0003,7370197.371488398
November,2023,Cameras.0002,Books.0003,8038602.622185099
December,2023,Cameras.0002,Books.0003,7345014.1985960975
January,2021,Cameras.0002,Books.0004,7950494.541062295
February,2021,Cameras.0002,Books.0004,7834275.8143691
March,2021,Cameras.0002,Books.0004,7815799.847097597
April,2021,Cameras.0002,Books.0004,8174722.519434401
May,2021,Cameras.0002,Books.0004,8033316.4789121
June,2021,Cameras.0002,Books.0004,8170465.695939997
July,2021,Cameras.0002,Books.0004,8079464.366823702
