Date.Month,Date.Fiscal Quarter,Date.Fiscal Year,Product.Category,Product.Subcategory,Customer.Country-Region,Avg(Sales.Unit Price),Sum(Sales.Sales Amount),Sum(Bullet_Report.Total Sales)
2019 May,FY2019 Q4,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Racks,[Not Applicable],70.4889,14905.272,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Racks,[Not Applicable],71.1579,24684,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Racks,[Not Applicable],70.848,26802.3,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Racks,[Not Applicable],71.4857,13187.184,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Racks,[Not Applicable],71.6151,20668.512,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Racks,[Not Applicable],71.6267,18181.2,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Bike Racks,[Not Applicable],72,8352,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Bike Racks,[Not Applicable],71.9143,10182.288,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Bike Racks,[Not Applicable],72,9720,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Bike Racks,[Not Applicable],71.1429,12412.488,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Bike Racks,[Not Applicable],71.7176,20656.224,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Bike Racks,[Not Applicable],71.76,17984.688,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Racks,Australia,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Racks,Australia,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Racks,Australia,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Racks,Australia,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Racks,Australia,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Racks,Australia,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Racks,Australia,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Racks,Australia,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Racks,Australia,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Racks,Australia,,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Racks,Australia,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Racks,Australia,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Racks,Australia,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Racks,Australia,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Racks,Australia,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Racks,Australia,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Racks,Australia,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Racks,Australia,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Racks,Australia,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Racks,Australia,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Racks,Australia,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Racks,Australia,,,
2019 May,FY2019 Q4,FY2019,Accessories,Bike Racks,Australia,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Racks,Australia,120,480,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Racks,Australia,,,
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Racks,Australia,120,120,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Racks,Australia,120,480,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Racks,Australia,120,360,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Racks,Australia,120,360,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Racks,Australia,120,600,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Bike Racks,Australia,120,600,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Bike Racks,Australia,120,840,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Bike Racks,Australia,120,480,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Bike Racks,Australia,120,960,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Bike Racks,Australia,120,480,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Bike Racks,Australia,120,240,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Racks,Canada,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Racks,Canada,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Racks,Canada,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Racks,Canada,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Racks,Canada,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Racks,Canada,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Racks,Canada,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Racks,Canada,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Racks,Canada,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Racks,Canada,,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Racks,Canada,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Racks,Canada,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Racks,Canada,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Racks,Canada,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Racks,Canada,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Racks,Canada,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Racks,Canada,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Racks,Canada,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Racks,Canada,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Racks,Canada,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Racks,Canada,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Racks,Canada,,,
2019 May,FY2019 Q4,FY2019,Accessories,Bike Racks,Canada,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Racks,Canada,,,
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Racks,Canada,120,1200,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Racks,Canada,120,960,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Racks,Canada,,,
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Racks,Canada,120,600,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Racks,Canada,120,360,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Racks,Canada,120,600,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Bike Racks,Canada,120,360,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Bike Racks,Canada,120,480,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Bike Racks,Canada,120,480,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Bike Racks,Canada,120,840,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Bike Racks,Canada,120,600,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Bike Racks,Canada,120,600,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Racks,France,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Racks,France,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Racks,France,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Racks,France,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Racks,France,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Racks,France,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Racks,France,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Racks,France,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Racks,France,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Racks,France,,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Racks,France,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Racks,France,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Racks,France,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Racks,France,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Racks,France,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Racks,France,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Racks,France,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Racks,France,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Racks,France,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Racks,France,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Racks,France,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Racks,France,,,
2019 May,FY2019 Q4,FY2019,Accessories,Bike Racks,France,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Racks,France,120,120,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Racks,France,120,240,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Racks,France,120,120,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Racks,France,120,240,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Racks,France,120,120,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Racks,France,120,480,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Racks,France,120,120,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Bike Racks,France,120,120,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Bike Racks,France,120,360,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Bike Racks,France,120,120,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Bike Racks,France,120,480,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Bike Racks,France,120,360,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Bike Racks,France,120,120,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Racks,Germany,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Racks,Germany,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Racks,Germany,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Racks,Germany,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Racks,Germany,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Racks,Germany,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Racks,Germany,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Racks,Germany,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Racks,Germany,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Racks,Germany,,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Racks,Germany,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Racks,Germany,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Racks,Germany,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Racks,Germany,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Racks,Germany,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Racks,Germany,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Racks,Germany,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Racks,Germany,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Racks,Germany,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Racks,Germany,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Racks,Germany,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Racks,Germany,,,
2019 May,FY2019 Q4,FY2019,Accessories,Bike Racks,Germany,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Racks,Germany,120,120,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Racks,Germany,120,240,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Racks,Germany,120,480,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Racks,Germany,120,120,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Racks,Germany,,,
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Racks,Germany,120,120,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Racks,Germany,120,120,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Bike Racks,Germany,120,480,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Bike Racks,Germany,,,
2020 Mar,FY2020 Q3,FY2020,Accessories,Bike Racks,Germany,,,
2020 Apr,FY2020 Q4,FY2020,Accessories,Bike Racks,Germany,120,480,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Bike Racks,Germany,120,360,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Bike Racks,Germany,120,360,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Racks,United Kingdom,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Racks,United Kingdom,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Racks,United Kingdom,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Racks,United Kingdom,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Racks,United Kingdom,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Racks,United Kingdom,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Racks,United Kingdom,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Racks,United Kingdom,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Racks,United Kingdom,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Racks,United Kingdom,,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Racks,United Kingdom,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Racks,United Kingdom,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Racks,United Kingdom,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Racks,United Kingdom,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Racks,United Kingdom,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Racks,United Kingdom,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Racks,United Kingdom,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Racks,United Kingdom,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Racks,United Kingdom,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Racks,United Kingdom,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Racks,United Kingdom,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Racks,United Kingdom,,,
2019 May,FY2019 Q4,FY2019,Accessories,Bike Racks,United Kingdom,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Racks,United Kingdom,,,
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Racks,United Kingdom,120,240,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Racks,United Kingdom,120,600,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Racks,United Kingdom,120,360,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Racks,United Kingdom,120,360,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Racks,United Kingdom,,,
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Racks,United Kingdom,120,120,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Bike Racks,United Kingdom,,,
2020 Feb,FY2020 Q3,FY2020,Accessories,Bike Racks,United Kingdom,120,240,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Bike Racks,United Kingdom,120,600,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Bike Racks,United Kingdom,120,360,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Bike Racks,United Kingdom,120,480,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Bike Racks,United Kingdom,120,120,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Racks,United States,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Racks,United States,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Racks,United States,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Racks,United States,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Racks,United States,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Racks,United States,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Racks,United States,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Racks,United States,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Racks,United States,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Racks,United States,,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Racks,United States,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Racks,United States,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Racks,United States,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Racks,United States,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Racks,United States,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Racks,United States,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Racks,United States,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Racks,United States,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Racks,United States,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Racks,United States,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Racks,United States,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Racks,United States,,,
2019 May,FY2019 Q4,FY2019,Accessories,Bike Racks,United States,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Racks,United States,120,360,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Racks,United States,120,1080,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Racks,United States,120,1800,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Racks,United States,120,1080,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Racks,United States,120,1560,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Racks,United States,120,1680,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Racks,United States,120,600,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Bike Racks,United States,120,1920,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Bike Racks,United States,120,1320,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Bike Racks,United States,120,840,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Bike Racks,United States,120,2280,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Bike Racks,United States,120,1440,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Bike Racks,United States,120,960,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Stands,Australia,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Stands,Australia,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Stands,Australia,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Stands,Australia,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Stands,Australia,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Stands,Australia,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Stands,Australia,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Stands,Australia,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Stands,Australia,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Stands,Australia,,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Stands,Australia,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Stands,Australia,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Stands,Australia,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Stands,Australia,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Stands,Australia,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Stands,Australia,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Stands,Australia,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Stands,Australia,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Stands,Australia,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Stands,Australia,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Stands,Australia,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Stands,Australia,,,
2019 May,FY2019 Q4,FY2019,Accessories,Bike Stands,Australia,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Stands,Australia,159,159,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Stands,Australia,159,1113,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Stands,Australia,159,795,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Stands,Australia,159,795,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Stands,Australia,159,1113,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Stands,Australia,159,1272,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Stands,Australia,159,477,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Bike Stands,Australia,159,954,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Bike Stands,Australia,159,795,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Bike Stands,Australia,159,636,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Bike Stands,Australia,159,954,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Bike Stands,Australia,159,477,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Bike Stands,Australia,159,795,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Stands,Canada,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Stands,Canada,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Stands,Canada,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Stands,Canada,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Stands,Canada,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Stands,Canada,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Stands,Canada,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Stands,Canada,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Stands,Canada,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Stands,Canada,,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Stands,Canada,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Stands,Canada,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Stands,Canada,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Stands,Canada,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Stands,Canada,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Stands,Canada,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Stands,Canada,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Stands,Canada,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Stands,Canada,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Stands,Canada,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Stands,Canada,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Stands,Canada,,,
2019 May,FY2019 Q4,FY2019,Accessories,Bike Stands,Canada,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Bike Stands,Canada,,,
2019 Jul,FY2020 Q1,FY2020,Accessories,Bike Stands,Canada,159,159,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Bike Stands,Canada,159,636,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Bike Stands,Canada,159,159,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Bike Stands,Canada,159,318,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Bike Stands,Canada,159,318,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Bike Stands,Canada,159,477,933216056.6900003
