Table5.Year,Table5.PY,Table5.PL,Table5.City,Table5.Country,Table5.FC,Table5.BU,Sum(Table5.AC)
2018,78000,52000,Seoul,Other,55000,130000,78000
2019,78000,52000,Seoul,Other,55000,130000,
2017,78000,94000,Brussels,Belgium,76000,64000,
2018,78000,94000,Brussels,Belgium,76000,64000,64000
2019,78000,94000,Brussels,Belgium,76000,64000,
2017,101000,43000,Gothenburg,Sweden,51000,110000,
2018,101000,43000,Gothenburg,Sweden,51000,110000,
2019,101000,43000,Gothenburg,Sweden,51000,110000,141000
2017,101000,148000,Malmo,Sweden,122000,107000,
2018,101000,148000,Malmo,Sweden,122000,107000,
2019,101000,148000,Malmo,Sweden,122000,107000,60000
2017,101000,95000,Marseille,France,54000,150000,
2018,101000,95000,Marseille,France,54000,150000,
2019,101000,95000,Marseille,France,54000,150000,44000
2017,112000,35000,Brussels,Belgium,140000,136000,
2018,112000,35000,Brussels,Belgium,140000,136000,
2019,112000,35000,Brussels,Belgium,140000,136000,119000
2017,112000,69000,Tokyo,Japan,150000,99000,119000
2018,112000,69000,Tokyo,Japan,150000,99000,
2019,112000,69000,Tokyo,Japan,150000,99000,
2017,112000,135000,Gothenburg,Sweden,54000,109000,0
2018,112000,135000,Gothenburg,Sweden,54000,109000,
2019,112000,135000,Gothenburg,Sweden,54000,109000,
2017,92000,114000,New York,USA,136000,123000,116000
2018,92000,114000,New York,USA,136000,123000,
2019,92000,114000,New York,USA,136000,123000,
2017,92000,133000,Beijing,China,149000,133000,
2018,92000,133000,Beijing,China,149000,133000,115000
2019,92000,133000,Beijing,China,149000,133000,
2017,266000,204000,Brisbane,Australia,275000,225000,231000
2018,266000,204000,Brisbane,Australia,275000,225000,
2019,266000,204000,Brisbane,Australia,275000,225000,
2017,128000,106000,Lublin,Poland,53000,97000,
2018,128000,106000,Lublin,Poland,53000,97000,
2019,128000,106000,Lublin,Poland,53000,97000,121000
2017,128000,78000,Flanders,Belgium,51000,67000,
2018,128000,78000,Flanders,Belgium,51000,67000,
2019,128000,78000,Flanders,Belgium,51000,67000,108000
2017,117000,55000,Stockholm,Sweden,42000,81000,
2018,117000,55000,Stockholm,Sweden,42000,81000,
2019,117000,55000,Stockholm,Sweden,42000,81000,139000
2017,117000,41000,Chengdu,China,138000,65000,
2018,117000,41000,Chengdu,China,138000,65000,48000
2019,117000,41000,Chengdu,China,138000,65000,
2017,117000,78000,Hiroshima,Japan,39000,86000,40000
2018,117000,78000,Hiroshima,Japan,39000,86000,
2019,117000,78000,Hiroshima,Japan,39000,86000,
2017,139000,66000,California,USA,139000,85000,
2018,139000,66000,California,USA,139000,85000,
2019,139000,66000,California,USA,139000,85000,113000
2017,139000,94000,Tokyo,Japan,93000,127000,
2018,139000,94000,Tokyo,Japan,93000,127000,
2019,139000,94000,Tokyo,Japan,93000,127000,91000
2017,104000,146000,Rio,Brazil,87000,127000,138000
2018,104000,146000,Rio,Brazil,87000,127000,
2019,104000,146000,Rio,Brazil,87000,127000,
2017,104000,35000,Beijing,China,137000,78000,48000
2018,104000,35000,Beijing,China,137000,78000,
2019,104000,35000,Beijing,China,137000,78000,
2017,107000,99000,Marseille,France,99000,90000,118000
2018,107000,99000,Marseille,France,99000,90000,
2019,107000,99000,Marseille,France,99000,90000,
2017,107000,38000,Montreal,Canada,70000,89000,51000
2018,107000,38000,Montreal,Canada,70000,89000,
2019,107000,38000,Montreal,Canada,70000,89000,
2017,59000,116000,Tokyo,Japan,145000,141000,
2018,59000,116000,Tokyo,Japan,145000,141000,89000
2019,59000,116000,Tokyo,Japan,145000,141000,
2017,59000,98000,Toronto,Canada,127000,39000,78000
2018,59000,98000,Toronto,Canada,127000,39000,
2019,59000,98000,Toronto,Canada,127000,39000,
2017,46000,71000,Brisbane,Australia,131000,82000,
2018,46000,71000,Brisbane,Australia,131000,82000,149000
2019,46000,71000,Brisbane,Australia,131000,82000,
2017,55000,144000,Manaus,Brazil,71000,71000,
2018,55000,144000,Manaus,Brazil,71000,71000,
2019,55000,144000,Manaus,Brazil,71000,71000,147000
2017,77000,64000,Finland,Other,77000,122000,142000
2018,77000,64000,Finland,Other,77000,122000,
2019,77000,64000,Finland,Other,77000,122000,
2017,66000,41000,Seoul,Other,87000,95000,
2018,66000,41000,Seoul,Other,87000,95000,
2019,66000,41000,Seoul,Other,87000,95000,69000
2017,66000,62000,Yokohoma,Japan,144000,131000,
2018,66000,62000,Yokohoma,Japan,144000,131000,68000
2019,66000,62000,Yokohoma,Japan,144000,131000,
2017,95000,141000,Flanders,Belgium,135000,83000,
2018,95000,141000,Flanders,Belgium,135000,83000,134000
2019,95000,141000,Flanders,Belgium,135000,83000,
2017,102000,87000,Vancouver,Canada,79000,41000,
2018,102000,87000,Vancouver,Canada,79000,41000,134000
2019,102000,87000,Vancouver,Canada,79000,41000,
2017,108000,129000,Shangai,China,80000,136000,134000
2018,108000,129000,Shangai,China,80000,136000,
2019,108000,129000,Shangai,China,80000,136000,
2017,81000,60000,California,USA,85000,129000,
2018,81000,60000,California,USA,85000,129000,131000
2019,81000,60000,California,USA,85000,129000,
2017,90000,92000,California,USA,144000,121000,131000
2018,90000,92000,California,USA,144000,121000,
2019,90000,92000,California,USA,144000,121000,
2017,-122000,139000,Manaus,Brazil,81000,144000,
2018,-122000,139000,Manaus,Brazil,81000,144000,129000
2019,-122000,139000,Manaus,Brazil,81000,144000,
2017,48000,93000,Berlin,Germany,63000,86000,
2018,48000,93000,Berlin,Germany,63000,86000,
2019,48000,93000,Berlin,Germany,63000,86000,128000
2017,85000,37000,Chicago,Other,113000,77000,
2018,85000,37000,Chicago,Other,113000,77000,
2019,85000,37000,Chicago,Other,113000,77000,125000
2017,109000,63000,Shangai,China,126000,92000,
2018,109000,63000,Shangai,China,126000,92000,124000
2019,109000,63000,Shangai,China,126000,92000,
2017,52000,46000,Salvador,Brazil,101000,145000,
2018,52000,46000,Salvador,Brazil,101000,145000,
2019,52000,46000,Salvador,Brazil,101000,145000,121000
2017,144000,67000,Warsaw,Poland,118000,131000,
2018,144000,67000,Warsaw,Poland,118000,131000,
2019,144000,67000,Warsaw,Poland,118000,131000,118000
2017,38000,109000,Sydney,Australia,101000,115000,
2018,38000,109000,Sydney,Australia,101000,115000,117000
2019,38000,109000,Sydney,Australia,101000,115000,
2017,84000,130000,Stockholm,Sweden,45000,99000,115000
2018,84000,130000,Stockholm,Sweden,45000,99000,
2019,84000,130000,Stockholm,Sweden,45000,99000,
2017,42000,113000,Vancouver,Canada,117000,114000,110000
2018,42000,113000,Vancouver,Canada,117000,114000,
2019,42000,113000,Vancouver,Canada,117000,114000,
2017,67000,92000,Hiroshima,Japan,82000,59000,
2018,67000,92000,Hiroshima,Japan,82000,59000,
2019,67000,92000,Hiroshima,Japan,82000,59000,102000
2017,80000,140000,Malmo,Sweden,38000,120000,61000
2018,80000,140000,Malmo,Sweden,38000,120000,
2019,80000,140000,Malmo,Sweden,38000,120000,
2017,80000,47000,Chengdu,China,69000,108000,
2018,80000,47000,Chengdu,China,69000,108000,
2019,80000,47000,Chengdu,China,69000,108000,38000
2017,103000,55000,Warsaw,Poland,141000,77000,
2018,103000,55000,Warsaw,Poland,141000,77000,99000
2019,103000,55000,Warsaw,Poland,141000,77000,
2017,119000,,New York,USA,82000,60000,
2018,119000,,New York,USA,82000,60000,99000
2019,119000,,New York,USA,82000,60000,
2017,131000,119000,Rio,Brazil,70000,60000,
2018,131000,119000,Rio,Brazil,70000,60000,
2019,131000,119000,Rio,Brazil,70000,60000,99000
2017,35000,85000,Yokohoma,Japan,65000,121000,47000
2018,35000,85000,Yokohoma,Japan,65000,121000,
2019,35000,85000,Yokohoma,Japan,65000,121000,
2017,35000,93000,Toronto,Canada,75000,98000,
2018,35000,93000,Toronto,Canada,75000,98000,
2019,35000,93000,Toronto,Canada,75000,98000,47000
2017,62000,87000,Hiroshima,Japan,121000,136000,
2018,62000,87000,Hiroshima,Japan,121000,136000,92000
2019,62000,87000,Hiroshima,Japan,121000,136000,
2017,100000,126000,Frankfurt,Germany,39000,54000,
2018,100000,126000,Frankfurt,Germany,39000,54000,91000
2019,100000,126000,Frankfurt,Germany,39000,54000,
2017,142000,139000,Frankfurt,Germany,53000,113000,
2018,142000,139000,Frankfurt,Germany,53000,113000,
2019,142000,139000,Frankfurt,Germany,53000,113000,91000
2017,118000,77000,Flanders,Belgium,150000,35000,88000
2018,118000,77000,Flanders,Belgium,150000,35000,
2019,118000,77000,Flanders,Belgium,150000,35000,
2017,50000,45000,Finland,Other,102000,74000,
2018,50000,45000,Finland,Other,102000,74000,
2019,50000,45000,Finland,Other,102000,74000,83000
2017,79000,118000,Lublin,Poland,80000,59000,
2018,79000,118000,Lublin,Poland,80000,59000,81000
2019,79000,118000,Lublin,Poland,80000,59000,
2017,93000,,Chicago,Other,147000,56000,
2018,93000,,Chicago,Other,147000,56000,67000
2019,93000,,Chicago,Other,147000,56000,
2017,54000,66000,Sydney,Australia,58000,75000,62000
2018,54000,66000,Sydney,Australia,58000,75000,
2019,54000,66000,Sydney,Australia,58000,75000,
2017,72000,134000,Manaus,Brazil,130000,122000,56000
2018,72000,134000,Manaus,Brazil,130000,122000,
2019,72000,134000,Manaus,Brazil,130000,122000,
2017,134000,111000,Seoul,Other,118000,93000,50000
2018,134000,111000,Seoul,Other,118000,93000,
2019,134000,111000,Seoul,Other,118000,93000,
2017,-120000,37000,Montreal,Canada,64000,144000,
2018,-120000,37000,Montreal,Canada,64000,144000,49000
2019,-120000,37000,Montreal,Canada,64000,144000,
2017,141000,73000,Texas,USA,75000,128000,
2018,141000,73000,Texas,USA,75000,128000,45000
2019,141000,73000,Texas,USA,75000,128000,
2017,147000,42000,Sydney,Australia,106000,96000,
2018,147000,42000,Sydney,Australia,106000,96000,
2019,147000,42000,Sydney,Australia,106000,96000,42000
2017,86000,53000,Montreal,Canada,97000,113000,
2018,86000,53000,Montreal,Canada,97000,113000,
2019,86000,53000,Montreal,Canada,97000,113000,39000
2017,121000,101000,Salvador,Brazil,63000,130000,39000
2018,121000,101000,Salvador,Brazil,63000,130000,
2019,121000,101000,Salvador,Brazil,63000,130000,
2017,145000,135000,Beijing,China,124000,115000,
2018,145000,135000,Beijing,China,124000,115000,
2019,145000,135000,Beijing,China,124000,115000,39000
2017,70000,97000,Brisbane,Australia,70000,150000,
2018,70000,97000,Brisbane,Australia,70000,150000,
2019,70000,97000,Brisbane,Australia,70000,150000,38000
2017,73000,114000,Yokohoma,Japan,46000,129000,
2018,73000,114000,Yokohoma,Japan,46000,129000,
2019,73000,114000,Yokohoma,Japan,46000,129000,36000
2017,9000,12000,Melbourne,Australia,14000,16000,11000
2018,9000,12000,Melbourne,Australia,14000,16000,
2019,9000,12000,Melbourne,Australia,14000,16000,
2017,89000,100000,Paris,France,92000,131000,0
2018,89000,100000,Paris,France,92000,131000,
2019,89000,100000,Paris,France,92000,131000,
