financials.Discount Band,financials.Product,financials.Country,Sum(financials. Sales),Sum(financials.Units Sold),
Low,VTT,Germany,1591909.4,10334,"1591909.4,3396480.25,4988389.65"
Medium,Amarilla,Germany,1004539.55,9320,"1004539.55,4439865.8149999995,5444405.364999999"
Medium,Carretera,Germany,153021.5,5262,"153021.5,2109480.6799999997,2262502.1799999997"
Medium,Montana,Germany,918232.9500000001,9151,"918232.9500000001,4716522.51,5634755.46"
Medium,Paseo,Germany,1613763.1400000001,25934,"1613763.1400000001,5018718.48,6632481.620000001"
Medium,Velo,Germany,1177359.8199999998,10908,"1177359.8199999998,5085473.03,6262832.85"
Medium,VTT,Germany,957112.92,11171,"957112.92,3721607.9499999997,4678720.87"
None,Amarilla,Germany,539239.5,5905.5,"539239.5,1066834,1606073.5"
None,Carretera,Germany,569290,3722,"569290,65040,634330"
None,Montana,Germany,47377,4612,"47377,453733.5,501110.5"
None,Paseo,Germany,886054,2886,"886054,735606,1621660"
None,Velo,Germany,396572,4712,"396572,621250,1017822"
None,VTT,Germany,47376,3726,"47376,1849060,1896436"
High,Amarilla,Mexico,502833.84,12669,"502833.84,4364596.035,4867429.875"
High,Carretera,Mexico,1081180.68,11949,"1081180.68,4483980.27,5565160.949999999"
High,Montana,Mexico,305296.21,15453,"305296.21,3545194.55,3850490.76"
High,Paseo,Mexico,3238792.29,22687,"3238792.29,7224004.245000001,10462796.535"
High,Velo,Mexico,1426391.9100000001,8993,"1426391.9100000001,5149040.145,6575432.055"
High,VTT,Mexico,275198.76,7109,"275198.76,5775977.79,6051176.55"
Low,Amarilla,Mexico,1079214,4040,"1079214,3254485.77,4333699.77"
Low,Carretera,Mexico,1050043.5,3101,"1050043.5,3554894.015,4604937.515000001"
Low,Montana,Mexico,410148.7,7733,"410148.7,3768412.0599999996,4178560.76"
Low,Paseo,Mexico,781759.99,12157,"781759.99,9905266.695,10687026.685"
Low,Velo,Mexico,288681.4,4135,"288681.4,3569626.58,3858307.98"
Low,VTT,Mexico,1978856.34,9565,"1978856.34,4988389.65,6967245.99"
Medium,Amarilla,Mexico,1495507.5499999998,11687,"1495507.5499999998,5444405.364999999,6939912.914999999"
Medium,Carretera,Mexico,711327.24,9704,"711327.24,2262502.1799999997,2973829.42"
Medium,Montana,Mexico,901434.4,5140,"901434.4,5634755.46,6536189.86"
Medium,Paseo,Mexico,3312908.1100000003,23321,"3312908.1100000003,6632481.620000001,9945389.73"
Medium,Velo,Mexico,525213.58,11919,"525213.58,6262832.85,6788046.43"
Medium,VTT,Mexico,918341.61,9455,"918341.61,4678720.87,5597062.48"
None,Carretera,Mexico,37050,2470,"37050,634330,671380"
None,Montana,Mexico,324450,3428,"324450,501110.5,825560.5"
None,Paseo,Mexico,294271,5117,"294271,1621660,1915931"
None,Velo,Mexico,10451,1493,"10451,1017822,1028273"
