Region,Category,Segment,Value Column Name,Value
"West","Office Supplies","Consumer","Sales - Profit","84746.57210000012"
"West","Office Supplies","Consumer","(Sales - Profit)%","3.345122816346257"
"West","Office Supplies","Consumer","Profit - Quantity","21497.367899999972"
"West","Office Supplies","Consumer","(Profit - Quantity)%","5.60264996090695"
"West","Office Supplies","Corporate","Quantity","2097"
"West","Office Supplies","Corporate","Profit","18527.70079999999"
"West","Office Supplies","Corporate","Sales","77133.85600000006"
"West","Office Supplies","Corporate","Sales - Quantity","75036.85600000006"
"West","Office Supplies","Corporate","(Sales - Quantity)%","35.78295469718648"
"West","Office Supplies","Corporate","Sales - Profit","58606.15520000007"
"West","Office Supplies","Corporate","(Sales - Profit)%","3.1631639474661686"
"West","Office Supplies","Corporate","Profit - Quantity","16430.70079999999"
"West","Office Supplies","Corporate","(Profit - Quantity)%","7.835336576061035"
"West","Office Supplies","Home Office","Quantity","1301"
"West","Office Supplies","Home Office","Profit","8747.780299999995"
"West","Office Supplies","Home Office","Sales","33638.452999999994"
"West","Office Supplies","Home Office","Sales - Quantity","32337.452999999994"
"West","Office Supplies","Home Office","(Sales - Quantity)%","24.855843966179858"
"West","Office Supplies","Home Office","Sales - Profit","24890.6727"
"West","Office Supplies","Home Office","(Sales - Profit)%","2.8453701220639953"
"West","Office Supplies","Home Office","Profit - Quantity","7446.780299999995"
"West","Office Supplies","Home Office","(Profit - Quantity)%","5.723889546502686"
"East","Technology","Consumer","Quantity","988"
"East","Technology","Consumer","Profit","19930.179399999997"
"East","Technology","Consumer","Sales","135441.229"
"East","Technology","Consumer","Sales - Quantity","134453.229"
"East","Technology","Consumer","(Sales - Quantity)%","136.08626417004047"
"East","Technology","Consumer","Sales - Profit","115511.0496"
"East","Technology","Consumer","(Sales - Profit)%","5.79578574189854"
"East","Technology","Consumer","Profit - Quantity","18942.179399999997"
"East","Technology","Consumer","(Profit - Quantity)%","19.172246356275302"
"East","Technology","Corporate","Quantity","600"
"East","Technology","Corporate","Profit","9822.788199999999"
"East","Technology","Corporate","Sales","69725.566"
"East","Technology","Corporate","Sales - Quantity","69125.566"
"East","Technology","Corporate","(Sales - Quantity)%","115.20927666666668"
"East","Technology","Corporate","Sales - Profit","59902.77780000001"
"East","Technology","Corporate","(Sales - Profit)%","6.098347697245474"
"East","Technology","Corporate","Profit - Quantity","9222.788199999999"
"East","Technology","Corporate","(Profit - Quantity)%","15.371313666666666"
"East","Technology","Home Office","Quantity","354"
"East","Technology","Home Office","Profit","17709.0675"
"East","Technology","Home Office","Sales","59807.18599999999"
"East","Technology","Home Office","Sales - Quantity","59453.18599999999"
"East","Technology","Home Office","(Sales - Quantity)%","167.94685310734457"
"East","Technology","Home Office","Sales - Profit","42098.11849999998"
"East","Technology","Home Office","(Sales - Profit)%","2.377206959090307"
"East","Technology","Home Office","Profit - Quantity","17355.0675"
"East","Technology","Home Office","(Profit - Quantity)%","49.02561440677967"
"East","Furniture","Consumer","Quantity","1114"
"East","Furniture","Consumer","Profit","2038.1121999999918"
"East","Furniture","Consumer","Sales","114211.80199999992"
"East","Furniture","Consumer","Sales - Quantity","113097.80199999992"
"East","Furniture","Consumer","(Sales - Quantity)%","101.52405924596043"
"East","Furniture","Consumer","Sales - Profit","112173.68979999993"
"East","Furniture","Consumer","(Sales - Profit)%","55.03803460869347"
"East","Furniture","Consumer","Profit - Quantity","924.1121999999918"
"East","Furniture","Consumer","(Profit - Quantity)%","0.8295441651705492"
"East","Furniture","Corporate","Quantity","723"
"East","Furniture","Corporate","Profit","342.12569999999795"
"East","Furniture","Corporate","Sales","64209.045999999995"
"East","Furniture","Corporate","Sales - Quantity","63486.045999999995"
"East","Furniture","Corporate","(Sales - Quantity)%","87.80919225449516"
"East","Furniture","Corporate","Sales - Profit","63866.9203"
"East","Furniture","Corporate","(Sales - Profit)%","186.67676909393356"
"East","Furniture","Corporate","Profit - Quantity","-380.87430000000205"
"East","Furniture","Corporate","(Profit - Quantity)%","-0.5267970954356875"
"East","Furniture","Home Office","Quantity","377"
"East","Furniture","Home Office","Profit","665.9278999999982"
"East","Furniture","Home Office","Sales","29870.355999999996"
"East","Furniture","Home Office","Sales - Quantity","29493.355999999996"
"East","Furniture","Home Office","(Sales - Quantity)%","78.23171352785145"
"East","Furniture","Home Office","Sales - Profit","29204.428099999997"
"East","Furniture","Home Office","(Sales - Profit)%","43.85524033457688"
"East","Furniture","Home Office","Profit - Quantity","288.9278999999982"
"East","Furniture","Home Office","(Profit - Quantity)%","0.7663870026525151"
"East","Static row Office supplies","Consumer","Quantity","333.3333333333333"
"East","Static row Office supplies","Consumer","Profit","666.6666666666666"
"East","Static row Office supplies","Consumer","Sales","333.3333333333333"
"East","Static row Office supplies","Consumer","Sales - Quantity","0"
"East","Static row Office supplies","Consumer","(Sales - Quantity)%","0"
"East","Static row Office supplies","Consumer","Sales - Profit","-333.3333333333333"
"East","Static row Office supplies","Consumer","(Sales - Profit)%","-0.5"
"East","Static row Office supplies","Consumer","Profit - Quantity","333.3333333333333"
"East","Static row Office supplies","Consumer","(Profit - Quantity)%","1"
"East","Static row Office supplies","Corporate","Quantity","333.3333333333333"
"East","Static row Office supplies","Corporate","Profit","666.6666666666666"
"East","Static row Office supplies","Corporate","Sales","333.3333333333333"
"East","Static row Office supplies","Corporate","Sales - Quantity","0"
"East","Static row Office supplies","Corporate","(Sales - Quantity)%","0"
"East","Static row Office supplies","Corporate","Sales - Profit","-333.3333333333333"
"East","Static row Office supplies","Corporate","(Sales - Profit)%","-0.5"
"East","Static row Office supplies","Corporate","Profit - Quantity","333.3333333333333"
"East","Static row Office supplies","Corporate","(Profit - Quantity)%","1"
"East","Static row Office supplies","Home Office","Quantity","333.3333333333333"
"East","Static row Office supplies","Home Office","Profit","666.6666666666666"
"East","Static row Office supplies","Home Office","Sales","333.3333333333333"
"East","Static row Office supplies","Home Office","Sales - Quantity","0"
"East","Static row Office supplies","Home Office","(Sales - Quantity)%","0"
"East","Static row Office supplies","Home Office","Sales - Profit","-333.3333333333333"
"East","Static row Office supplies","Home Office","(Sales - Profit)%","-0.5"
"East","Static row Office supplies","Home Office","Profit - Quantity","333.3333333333333"
"East","Static row Office supplies","Home Office","(Profit - Quantity)%","1"
"East","Office Supplies","Consumer","Quantity","3245"
"East","Office Supplies","Consumer","Profit","19222.69270000004"
"East","Office Supplies","Consumer","Sales","101255.13600000006"
"East","Office Supplies","Consumer","Sales - Quantity","98010.13600000006"
"East","Office Supplies","Consumer","(Sales - Quantity)%","30.20343174114023"
"East","Office Supplies","Consumer","Sales - Profit","82032.44330000001"
"East","Office Supplies","Consumer","(Sales - Profit)%","4.267479305851872"
"East","Office Supplies","Consumer","Profit - Quantity","15977.69270000004"
"East","Office Supplies","Consumer","(Profit - Quantity)%","4.923788197226514"
"East","Office Supplies","Corporate","Quantity","2035"
"East","Office Supplies","Corporate","Profit","13457.664999999997"
"East","Office Supplies","Corporate","Sales","66474.73499999994"
"East","Office Supplies","Corporate","Sales - Quantity","64439.73499999994"
"East","Office Supplies","Corporate","(Sales - Quantity)%","31.665717444717416"
"East","Office Supplies","Corporate","Sales - Profit","53017.06999999995"
"East","Office Supplies","Corporate","(Sales - Profit)%","3.9395444900731262"
"East","Office Supplies","Corporate","Profit - Quantity","11422.664999999997"
"East","Office Supplies","Corporate","(Profit - Quantity)%","5.613103194103193"
"East","Office Supplies","Home Office","Quantity","1182"
"East","Office Supplies","Home Office","Profit","8334.221399999991"
"East","Office Supplies","Home Office","Sales","37786.18400000001"
"East","Office Supplies","Home Office","Sales - Quantity","36604.18400000001"
"East","Office Supplies","Home Office","(Sales - Quantity)%","30.968006768189515"
"East","Office Supplies","Home Office","Sales - Profit","29451.962600000017"
"East","Office Supplies","Home Office","(Sales - Profit)%","3.533858915723075"
"East","Office Supplies","Home Office","Profit - Quantity","7152.221399999991"
"East","Office Supplies","Home Office","(Profit - Quantity)%","6.0509487309644605"
"Central","Technology","Consumer","Quantity","790"
"Central","Technology","Consumer","Profit","9975.3391"
"Central","Technology","Consumer","Sales","72690.73599999999"
"Central","Technology","Consumer","Sales - Quantity","71900.73599999999"
"Central","Technology","Consumer","(Sales - Quantity)%","91.01358987341771"
"Central","Technology","Consumer","Sales - Profit","62715.39689999999"
"Central","Technology","Consumer","(Sales - Profit)%","6.287044106600847"
"Central","Technology","Consumer","Profit - Quantity","9185.3391"
"Central","Technology","Consumer","(Profit - Quantity)%","11.627011518987342"
"Central","Technology","Corporate","Quantity","457"
"Central","Technology","Corporate","Profit","16282.613299999995"
"Central","Technology","Corporate","Sales","64772.509999999966"
"Central","Technology","Corporate","Sales - Quantity","64315.509999999966"
"Central","Technology","Corporate","(Sales - Quantity)%","140.73415754923406"
"Central","Technology","Corporate","Sales - Profit","48489.89669999997"
"Central","Technology","Corporate","(Sales - Profit)%","2.9780168457356893"
"Central","Technology","Corporate","Profit - Quantity","15825.613299999995"
"Central","Technology","Corporate","(Profit - Quantity)%","34.629350765864324"
"Central","Technology","Home Office","Quantity","297"
"Central","Technology","Home Office","Profit","7439.479600000001"
"Central","Technology","Home Office","Sales","32953.066"
"Central","Technology","Home Office","Sales - Quantity","32656.066"
"Central","Technology","Home Office","(Sales - Quantity)%","109.95308417508417"
"Central","Technology","Home Office","Sales - Profit","25513.5864"
"Central","Technology","Home Office","(Sales - Profit)%","3.4294853634654765"
"Central","Technology","Home Office","Profit - Quantity","7142.479600000001"
"Central","Technology","Home Office","(Profit - Quantity)%","24.048752861952863"
"Central","Office Supplies","Consumer","Quantity","2777"
"Central","Office Supplies","Consumer","Profit","2583.143200000011"
"Central","Office Supplies","Consumer","Sales","93111.47900000002"
"Central","Office Supplies","Consumer","Sales - Quantity","90334.47900000002"
"Central","Office Supplies","Consumer","(Sales - Quantity)%","32.52952070579763"
"Central","Office Supplies","Consumer","Sales - Profit","90528.33580000002"
"Central","Office Supplies","Consumer","(Sales - Profit)%","35.04580613262154"
"Central","Office Supplies","Consumer","Profit - Quantity","-193.8567999999891"
"Central","Office Supplies","Consumer","(Profit - Quantity)%","-0.06980799423838283"
"Central","Office Supplies","Corporate","Quantity","1605"
"Central","Office Supplies","Corporate","Profit","99.29479999998387"
"Central","Office Supplies","Corporate","Sales","41137.70100000002"
"Central","Office Supplies","Corporate","Sales - Quantity","39532.70100000002"
"Central","Office Supplies","Corporate","(Sales - Quantity)%","24.630966355140202"
"Central","Office Supplies","Corporate","Sales - Profit","41038.40620000004"
"Central","Office Supplies","Corporate","(Sales - Profit)%","413.2986440378218"
"Central","Office Supplies","Corporate","Profit - Quantity","-1505.7052000000162"
"Central","Office Supplies","Corporate","(Profit - Quantity)%","-0.9381340809968948"
"Central","Office Supplies","Home Office","Quantity","1027"
"Central","Office Supplies","Home Office","Profit","6197.541900000003"
"Central","Office Supplies","Home Office","Sales","32777.23500000002"
"Central","Office Supplies","Home Office","Sales - Quantity","31750.235000000022"
"Central","Office Supplies","Home Office","(Sales - Quantity)%","30.91551606621229"
"Central","Office Supplies","Home Office","Sales - Profit","26579.69310000002"
"Central","Office Supplies","Home Office","(Sales - Profit)%","4.288747624279879"
"Central","Office Supplies","Home Office","Profit - Quantity","5170.541900000003"
"Central","Office Supplies","Home Office","(Profit - Quantity)%","5.0346074975657285"
"Central","Furniture","Consumer","Quantity","952"
"Central","Furniture","Consumer","Profit","-3994.434200000001"
"Central","Furniture","Consumer","Sales","86229.2189999999"
"Central","Furniture","Consumer","Sales - Quantity","85277.2189999999"
"Central","Furniture","Consumer","(Sales - Quantity)%","89.5769107142856"
"Central","Furniture","Consumer","Sales - Profit","90223.6531999999"
"Central","Furniture","Consumer","(Sales - Profit)%","22.58734245766268"
"Central","Furniture","Consumer","Profit - Quantity","-4946.4342000000015"
"Central","Furniture","Consumer","(Profit - Quantity)%","-5.1958342436974805"
"Central","Furniture","Corporate","Quantity","542"
"Central","Furniture","Corporate","Profit","2321.993899999999"
"Central","Furniture","Corporate","Sales","52085.60179999999"
"Central","Furniture","Corporate","Sales - Quantity","51543.60179999999"
"Central","Furniture","Corporate","(Sales - Quantity)%","95.09889630996308"
"Central","Furniture","Corporate","Sales - Profit","49763.60789999999"
"Central","Furniture","Corporate","(Sales - Profit)%","21.43141198605217"
"Central","Furniture","Corporate","Profit - Quantity","1779.993899999999"
"Central","Furniture","Corporate","(Profit - Quantity)%","3.2841215867158655"
"Central","Furniture","Home Office","Quantity","333"
"Central","Furniture","Home Office","Profit","-1198.6091000000017"
"Central","Furniture","Home Office","Sales","25482.342999999997"
"Central","Furniture","Home Office","Sales - Quantity","25149.342999999997"
"Central","Furniture","Home Office","(Sales - Quantity)%","75.52355255255254"
"Central","Furniture","Home Office","Sales - Profit","26680.9521"
"Central","Furniture","Home Office","(Sales - Profit)%","22.2599278613853"
"Central","Furniture","Home Office","Profit - Quantity","-1531.6091000000017"
"Central","Furniture","Home Office","(Profit - Quantity)%","-4.5994267267267315"
"South","Static Row Technology","Consumer","Quantity","333.3333333333333"
"South","Static Row Technology","Consumer","Profit","666.6666666666666"
"South","Static Row Technology","Consumer","Sales","333.3333333333333"
"South","Static Row Technology","Consumer","Sales - Quantity","0"
"South","Static Row Technology","Consumer","(Sales - Quantity)%","0"
"South","Static Row Technology","Consumer","Sales - Profit","-333.3333333333333"
"South","Static Row Technology","Consumer","(Sales - Profit)%","-0.5"
"South","Static Row Technology","Consumer","Profit - Quantity","333.3333333333333"
"South","Static Row Technology","Consumer","(Profit - Quantity)%","1"
"South","Static Row Technology","Corporate","Quantity","333.3333333333333"
"South","Static Row Technology","Corporate","Profit","666.6666666666666"
"South","Static Row Technology","Corporate","Sales","333.3333333333333"
"South","Static Row Technology","Corporate","Sales - Quantity","0"
"South","Static Row Technology","Corporate","(Sales - Quantity)%","0"
"South","Static Row Technology","Corporate","Sales - Profit","-333.3333333333333"
"South","Static Row Technology","Corporate","(Sales - Profit)%","-0.5"
"South","Static Row Technology","Corporate","Profit - Quantity","333.3333333333333"
"South","Static Row Technology","Corporate","(Profit - Quantity)%","1"
"South","Static Row Technology","Home Office","Quantity","333.3333333333333"
"South","Static Row Technology","Home Office","Profit","666.6666666666666"
"South","Static Row Technology","Home Office","Sales","333.3333333333333"
"South","Static Row Technology","Home Office","Sales - Quantity","0"
"South","Static Row Technology","Home Office","(Sales - Quantity)%","0"
"South","Static Row Technology","Home Office","Sales - Profit","-333.3333333333333"
"South","Static Row Technology","Home Office","(Sales - Profit)%","-0.5"
"South","Static Row Technology","Home Office","Profit - Quantity","333.3333333333333"
"South","Static Row Technology","Home Office","(Profit - Quantity)%","1"
"South","Technology","Consumer","Quantity","584"
"South","Technology","Consumer","Profit","13106.723000000007"
"South","Technology","Consumer","Sales","65276.186000000016"
"South","Technology","Consumer","Sales - Quantity","64692.186000000016"
"South","Technology","Consumer","(Sales - Quantity)%","110.77429109589043"
"South","Technology","Consumer","Sales - Profit","52169.46300000001"
"South","Technology","Consumer","(Sales - Profit)%","3.9803590111731193"
"South","Technology","Consumer","Profit - Quantity","12522.723000000007"
"South","Technology","Consumer","(Profit - Quantity)%","21.44301883561645"
"South","Technology","Corporate","Quantity","320"
"South","Technology","Corporate","Profit","6120.533300000003"
"South","Technology","Corporate","Sales","46310.73099999999"
"South","Technology","Corporate","Sales - Quantity","45990.73099999999"
"South","Technology","Corporate","(Sales - Quantity)%","143.721034375"
"South","Technology","Corporate","Sales - Profit","40190.19769999999"
"South","Technology","Corporate","(Sales - Profit)%","6.566453563776864"
"South","Technology","Corporate","Profit - Quantity","5800.533300000003"
"South","Technology","Corporate","(Profit - Quantity)%","18.12666656250001"
"South","Technology","Home Office","Quantity","214"
"South","Technology","Home Office","Profit","764.5750999999975"
"South","Technology","Home Office","Sales","37184.991"
"South","Technology","Home Office","Sales - Quantity","36970.991"
"South","Technology","Home Office","(Sales - Quantity)%","172.7616401869159"
"South","Technology","Home Office","Sales - Profit","36420.41590000001"
"South","Technology","Home Office","(Sales - Profit)%","47.634844373038206"
"South","Technology","Home Office","Profit - Quantity","550.5750999999975"
"South","Technology","Home Office","(Profit - Quantity)%","2.572780841121484"
"South","Office Supplies","Consumer","Quantity","1899"
"South","Office Supplies","Consumer","Profit","9190.117199999995"
"South","Office Supplies","Consumer","Sales","59504.580999999984"
"South","Office Supplies","Consumer","Sales - Quantity","57605.580999999984"
"South","Office Supplies","Consumer","(Sales - Quantity)%","30.334692469720896"
"South","Office Supplies","Consumer","Sales - Profit","50314.46379999999"
"South","Office Supplies","Consumer","(Sales - Profit)%","5.4748446298378015"
"South","Office Supplies","Consumer","Profit - Quantity","7291.117199999995"
"South","Office Supplies","Consumer","(Profit - Quantity)%","3.8394508688783544"
"South","Office Supplies","Corporate","Quantity","1281"
"South","Office Supplies","Corporate","Profit","8142.659599999995"
"South","Office Supplies","Corporate","Sales","45930.16999999996"
"South","Office Supplies","Corporate","Sales - Quantity","44649.16999999996"
"South","Office Supplies","Corporate","(Sales - Quantity)%","34.854933645589355"
"South","Office Supplies","Corporate","Sales - Profit","37787.51039999997"
"South","Office Supplies","Corporate","(Sales - Profit)%","4.640684033997933"
"South","Office Supplies","Corporate","Profit - Quantity","6861.659599999995"
"South","Office Supplies","Corporate","(Profit - Quantity)%","5.356486807181885"
"South","Office Supplies","Home Office","Quantity","620"
"South","Office Supplies","Home Office","Profit","2653.6159999999995"
"South","Office Supplies","Home Office","Sales","20216.562000000005"
"South","Office Supplies","Home Office","Sales - Quantity","19596.562000000005"
"South","Office Supplies","Home Office","(Sales - Quantity)%","31.607358064516138"
"South","Office Supplies","Home Office","Sales - Profit","17562.946000000007"
"South","Office Supplies","Home Office","(Sales - Profit)%","6.618495667798209"
"South","Office Supplies","Home Office","Profit - Quantity","2033.6159999999995"
"South","Office Supplies","Home Office","(Profit - Quantity)%","3.2800258064516123"
"South","Furniture","Consumer","Quantity","695"
"South","Furniture","Consumer","Profit","4616.732600000003"
"South","Furniture","Consumer","Sales","70800.20399999993"
"South","Furniture","Consumer","Sales - Quantity","70105.20399999993"
"South","Furniture","Consumer","(Sales - Quantity)%","100.87079712230205"
"South","Furniture","Consumer","Sales - Profit","66183.47139999992"
"South","Furniture","Consumer","(Sales - Profit)%","14.33556524369635"
"South","Furniture","Consumer","Profit - Quantity","3921.732600000003"
"South","Furniture","Consumer","(Profit - Quantity)%","5.642780719424466"
"South","Furniture","Corporate","Quantity","415"
"South","Furniture","Corporate","Profit","952.0302999999976"
"South","Furniture","Corporate","Sales","29645.03149999998"
"South","Furniture","Corporate","Sales - Quantity","29230.03149999998"
"South","Furniture","Corporate","(Sales - Quantity)%","70.43381084337345"
"South","Furniture","Corporate","Sales - Profit","28693.00119999998"
"South","Furniture","Corporate","(Sales - Profit)%","30.138747894893736"
"South","Furniture","Corporate","Profit - Quantity","537.0302999999976"
"South","Furniture","Corporate","(Profit - Quantity)%","1.294048915662645"
"South","Furniture","Home Office","Quantity","181"
"South","Furniture","Home Office","Profit","1202.4431999999993"
"South","Furniture","Home Office","Sales","16853.4485"
"South","Furniture","Home Office","Sales - Quantity","16672.4485"
"South","Furniture","Home Office","(Sales - Quantity)%","92.11297513812154"
"South","Furniture","Home Office","Sales - Profit","15651.005299999999"
"South","Furniture","Home Office","(Sales - Profit)%","13.016003832862966"
"South","Furniture","Home Office","Profit - Quantity","1021.4431999999993"
"South","Furniture","Home Office","(Profit - Quantity)%","5.643332596685079"
