15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.State Bottle Retail)
2012,Qtr 1,Clarke,
2012,Qtr 2,Clarke,19.99
2012,Qtr 3,Clarke,20.44
2012,Qtr 4,Clarke,41.98
2012,Qtr 1,Clay,62.48
2012,Qtr 2,Clay,36.64
2012,Qtr 3,Clay,105.52
2012,Qtr 4,Clay,80.22
2012,Qtr 1,Clayton,54.61
2012,Qtr 2,Clayton,119.04
2012,Qtr 3,Clayton,77.58
2012,Qtr 4,Clayton,65.66
2012,Qtr 1,Clinton,102.07
2012,Qtr 2,Clinton,234.34
2012,Qtr 3,Clinton,195.43
2012,Qtr 4,Clinton,154.86
2012,Qtr 1,Crawford,25.06
2012,Qtr 2,Crawford,84.65
2012,Qtr 3,Crawford,104.9
2012,Qtr 4,Crawford,83.01
2012,Qtr 1,Dallas,36.38
2012,Qtr 2,Dallas,100.55
2012,Qtr 3,Dallas,128.21
2012,Qtr 4,Dallas,31.45
2012,Qtr 1,Davis,
2012,Qtr 2,Davis,15.75
2012,Qtr 3,Davis,14.92
2012,Qtr 4,Davis,
2012,Qtr 1,Decatur,
2012,Qtr 2,Decatur,18.66
2012,Qtr 3,Decatur,
2012,Qtr 4,Decatur,
2012,Qtr 1,Delaware,32.38
2012,Qtr 2,Delaware,9.83
2012,Qtr 3,Delaware,
2012,Qtr 4,Delaware,14.92
2012,Qtr 1,Des Moines,135.78
2012,Qtr 2,Des Moines,182.38
2012,Qtr 3,Des Moines,152.5
2012,Qtr 4,Des Moines,243.05
2012,Qtr 1,Dickinson,76.78
2012,Qtr 2,Dickinson,192.27
2012,Qtr 3,Dickinson,262.48
2012,Qtr 4,Dickinson,187.48
2012,Qtr 1,Dubuque,303.31
2012,Qtr 2,Dubuque,350.99
2012,Qtr 3,Dubuque,405.35
2012,Qtr 4,Dubuque,466.12
2012,Qtr 1,Emmet,55.97
2012,Qtr 2,Emmet,35.09
2012,Qtr 3,Emmet,20.16
2012,Qtr 4,Emmet,31.8
2012,Qtr 1,Fayette,169.48
2012,Qtr 2,Fayette,52.86
2012,Qtr 3,Fayette,31.01
2012,Qtr 4,Fayette,49.73
2012,Qtr 1,Floyd,15.69
2012,Qtr 2,Floyd,69.6
2012,Qtr 3,Floyd,59.52
2012,Qtr 4,Floyd,4.6
2012,Qtr 1,Franklin,34.65
2012,Qtr 2,Franklin,47.21
2012,Qtr 3,Franklin,51.36
2012,Qtr 4,Franklin,28.82
2012,Qtr 1,Fremont,
2012,Qtr 2,Fremont,
2012,Qtr 3,Fremont,8.66
2012,Qtr 4,Fremont,
2012,Qtr 1,Greene,110.68
2012,Qtr 2,Greene,34.67
2012,Qtr 3,Greene,65.72
2012,Qtr 4,Greene,121.04
2012,Qtr 1,Grundy,54.59
2012,Qtr 2,Grundy,41.37
2012,Qtr 3,Grundy,48.97
2012,Qtr 4,Grundy,25.93
2012,Qtr 1,Guthrie,13.38
2012,Qtr 2,Guthrie,
2012,Qtr 3,Guthrie,21.94
2012,Qtr 4,Guthrie,16.98
2012,Qtr 1,Hamilton,188.14
2012,Qtr 2,Hamilton,36.95
2012,Qtr 3,Hamilton,70.3
2012,Qtr 4,Hamilton,174.09
2012,Qtr 1,Hancock,64.46
2012,Qtr 2,Hancock,17.31
2012,Qtr 3,Hancock,11.04
2012,Qtr 4,Hancock,41.74
2012,Qtr 1,Hardin,48.43
2012,Qtr 2,Hardin,72.22
2012,Qtr 3,Hardin,128.07
2012,Qtr 4,Hardin,83.93
2012,Qtr 1,Harrison,46.76
2012,Qtr 2,Harrison,78.93
2012,Qtr 3,Harrison,62.27
2012,Qtr 4,Harrison,68.42
2012,Qtr 1,Henry,
2012,Qtr 2,Henry,20.35
2012,Qtr 3,Henry,18
2012,Qtr 4,Henry,41.26
2012,Qtr 1,Howard,89.41
2012,Qtr 2,Howard,59.08
2012,Qtr 3,Howard,50.85
2012,Qtr 4,Howard,28.05
2012,Qtr 1,Humboldt,50.43
2012,Qtr 2,Humboldt,14.66
2012,Qtr 3,Humboldt,11.28
2012,Qtr 4,Humboldt,43.81
2012,Qtr 1,Ida,27.22
2012,Qtr 2,Ida,17.34
2012,Qtr 3,Ida,23.09
2012,Qtr 4,Ida,6.79
2012,Qtr 1,Iowa,70.61
2012,Qtr 2,Iowa,100.77
2012,Qtr 3,Iowa,38.33
2012,Qtr 4,Iowa,177.84
2012,Qtr 1,Jackson,44.66
2012,Qtr 2,Jackson,47.21
2012,Qtr 3,Jackson,106.73
2012,Qtr 4,Jackson,113.55
2012,Qtr 1,Jasper,157.64
2012,Qtr 2,Jasper,133.82
2012,Qtr 3,Jasper,168.92
2012,Qtr 4,Jasper,113.43
2012,Qtr 1,Jefferson,35.46
2012,Qtr 2,Jefferson,4.88
2012,Qtr 3,Jefferson,61.54
2012,Qtr 4,Jefferson,39.23
2012,Qtr 1,Johnson,515.27
2012,Qtr 2,Johnson,665.03
2012,Qtr 3,Johnson,815.52
2012,Qtr 4,Johnson,819.21
2012,Qtr 1,Jones,134.73
2012,Qtr 2,Jones,160.81
2012,Qtr 3,Jones,136.97
2012,Qtr 4,Jones,72.43
2012,Qtr 1,Keokuk,46.85
2012,Qtr 2,Keokuk,12.81
2012,Qtr 3,Keokuk,
2012,Qtr 4,Keokuk,26.24
2012,Qtr 1,Kossuth,56.28
2012,Qtr 2,Kossuth,89.85
2012,Qtr 3,Kossuth,48.8
2012,Qtr 4,Kossuth,81.71
2012,Qtr 1,Lee,139.15
2012,Qtr 2,Lee,99.37
2012,Qtr 3,Lee,185.55
2012,Qtr 4,Lee,173.46
2012,Qtr 1,Linn,787
2012,Qtr 2,Linn,1021.22
2012,Qtr 3,Linn,1203.64
2012,Qtr 4,Linn,1290.06
2012,Qtr 1,Louisa,46.92
2012,Qtr 2,Louisa,19.51
2012,Qtr 3,Louisa,18.06
2012,Qtr 4,Louisa,
2012,Qtr 1,Lucas,
2012,Qtr 2,Lucas,27.85
2012,Qtr 3,Lucas,13.49
2012,Qtr 4,Lucas,65.41
2012,Qtr 1,Lyon,31.25
2012,Qtr 2,Lyon,28.09
2012,Qtr 3,Lyon,30.97
2012,Qtr 4,Lyon,76.44
2012,Qtr 1,Madison,7.69
2012,Qtr 2,Madison,31.62
2012,Qtr 3,Madison,29.39
2012,Qtr 4,Madison,20.71
2012,Qtr 1,Mahaska,76.91
2012,Qtr 2,Mahaska,76.11
2012,Qtr 3,Mahaska,60.52
2012,Qtr 4,Mahaska,85.74
2012,Qtr 1,Marion,285.01
2012,Qtr 2,Marion,121.51
2012,Qtr 3,Marion,84.98
2012,Qtr 4,Marion,97.34
2012,Qtr 1,Marshall,381.7
2012,Qtr 2,Marshall,61.68
2012,Qtr 3,Marshall,110.9
2012,Qtr 4,Marshall,128.8
2012,Qtr 1,Mills,30.78
2012,Qtr 2,Mills,15.75
2012,Qtr 3,Mills,8.26
2012,Qtr 4,Mills,70.45
2012,Qtr 1,Mitchell,71.57
2012,Qtr 2,Mitchell,10.56
2012,Qtr 3,Mitchell,41.18
2012,Qtr 4,Mitchell,2.75
2012,Qtr 1,Monona,43.23
2012,Qtr 2,Monona,75.32
2012,Qtr 3,Monona,110.09
2012,Qtr 4,Monona,74.98
2012,Qtr 1,Monroe,13.14
2012,Qtr 2,Monroe,11.37
2012,Qtr 3,Monroe,36.8
2012,Qtr 4,Monroe,6.81
2012,Qtr 1,Montgomery,51.24
2012,Qtr 2,Montgomery,
2012,Qtr 3,Montgomery,10.12
2012,Qtr 4,Montgomery,26.39
2012,Qtr 1,Muscatine,52.47
2012,Qtr 2,Muscatine,138.7
2012,Qtr 3,Muscatine,254.11
2012,Qtr 4,Muscatine,278.26
2012,Qtr 1,O'Brien,102.06
2012,Qtr 2,O'Brien,38.1
2012,Qtr 3,O'Brien,159.7
2012,Qtr 4,O'Brien,62.52
2012,Qtr 1,Osceola,20.69
2012,Qtr 2,Osceola,35.81
2012,Qtr 3,Osceola,11.3
2012,Qtr 4,Osceola,52.51
2012,Qtr 1,Page,57.59
2012,Qtr 2,Page,27.3
2012,Qtr 3,Page,119.67
2012,Qtr 4,Page,15.75
2012,Qtr 1,Palo Alto,63.88
2012,Qtr 2,Palo Alto,54.05
2012,Qtr 3,Palo Alto,66.08
2012,Qtr 4,Palo Alto,68.99
2012,Qtr 1,Plymouth,34.1
2012,Qtr 2,Plymouth,89.54
2012,Qtr 3,Plymouth,97.97
2012,Qtr 4,Plymouth,31.21
2012,Qtr 1,Pocahontas,16.49
2012,Qtr 2,Pocahontas,27.51
2012,Qtr 3,Pocahontas,10.12
2012,Qtr 4,Pocahontas,15.99
2012,Qtr 1,Polk,2027.27
2012,Qtr 2,Polk,2166.35
2012,Qtr 3,Polk,2283.74
2012,Qtr 4,Polk,2308.24
2012,Qtr 1,Pottawattamie,371.22
2012,Qtr 2,Pottawattamie,595.41
2012,Qtr 3,Pottawattamie,261.57
2012,Qtr 4,Pottawattamie,280.55
2012,Qtr 1,Poweshiek,17.87
2012,Qtr 2,Poweshiek,117.07
2012,Qtr 3,Poweshiek,56.88
2012,Qtr 4,Poweshiek,160.06
2012,Qtr 1,Ringgold,
2012,Qtr 2,Ringgold,16.4
2012,Qtr 3,Ringgold,
2012,Qtr 4,Ringgold,25.84
2012,Qtr 1,Sac,12.3
2012,Qtr 2,Sac,44.1
2012,Qtr 3,Sac,82.93
2012,Qtr 4,Sac,7.84
2012,Qtr 1,Scott,955.5
2012,Qtr 2,Scott,882.17
2012,Qtr 3,Scott,810.83
2012,Qtr 4,Scott,903.55
2012,Qtr 1,Shelby,12.99
2012,Qtr 2,Shelby,55.52
2012,Qtr 3,Shelby,29.62
2012,Qtr 4,Shelby,17.31
2012,Qtr 1,Sioux,24.51
2012,Qtr 2,Sioux,102.29
2012,Qtr 3,Sioux,36.66
2012,Qtr 4,Sioux,55.62
2012,Qtr 1,Story,489.74
2012,Qtr 2,Story,348.03
2012,Qtr 3,Story,559.02
2012,Qtr 4,Story,631.82
2012,Qtr 1,Tama,16.12
2012,Qtr 2,Tama,38.49
2012,Qtr 3,Tama,44.4
2012,Qtr 4,Tama,70.47
2012,Qtr 1,Taylor,
2012,Qtr 2,Taylor,9.74
2012,Qtr 3,Taylor,
2012,Qtr 4,Taylor,15.67
2012,Qtr 1,Union,57.75
2012,Qtr 2,Union,71.1
2012,Qtr 3,Union,75.19
2012,Qtr 4,Union,138.45
2012,Qtr 1,Van Buren,16.4
2012,Qtr 2,Van Buren,
2012,Qtr 3,Van Buren,
2012,Qtr 4,Van Buren,71.24
2012,Qtr 1,Wapello,323.59
2012,Qtr 2,Wapello,167.15
2012,Qtr 3,Wapello,77.55
2012,Qtr 4,Wapello,105.16
2012,Qtr 1,Warren,93.86
2012,Qtr 2,Warren,93.44
2012,Qtr 3,Warren,11.3
2012,Qtr 4,Warren,72.47
2012,Qtr 1,Washington,119.83
2012,Qtr 2,Washington,94.17
2012,Qtr 3,Washington,102.84
2012,Qtr 4,Washington,67.26
2012,Qtr 1,Wayne,52.61
2012,Qtr 2,Wayne,18.11
2012,Qtr 3,Wayne,18.06
2012,Qtr 4,Wayne,24.35
2012,Qtr 1,Webster,82.26
2012,Qtr 2,Webster,63.42
2012,Qtr 3,Webster,236.71
2012,Qtr 4,Webster,153.66
2012,Qtr 1,Winnebago,31.67
2012,Qtr 2,Winnebago,49.62
2012,Qtr 3,Winnebago,65.75
2012,Qtr 4,Winnebago,53.24
2012,Qtr 1,Winneshiek,47.49
2012,Qtr 2,Winneshiek,70.97
2012,Qtr 3,Winneshiek,131.36
2012,Qtr 4,Winneshiek,71.87
2012,Qtr 1,Woodbury,327.59
2012,Qtr 2,Woodbury,444.1
2012,Qtr 3,Woodbury,427.56
2012,Qtr 4,Woodbury,438.34
2012,Qtr 1,Worth,
2012,Qtr 2,Worth,26.96
2012,Qtr 3,Worth,
2012,Qtr 4,Worth,
2012,Qtr 1,Wright,26.19
2012,Qtr 2,Wright,38.69
2012,Qtr 3,Wright,58.69
2012,Qtr 4,Wright,54.61
