Region,Business Unit,Product Category,Product,GL Account,Year,Quarter,Month,Day,Sum of 2021,Sum of 2022
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 1,March,1,20,21
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 2,April,1,15,19
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 2,May,1,18,20
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 2,June,1,19,22
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 3,July,1,19,22
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 3,August,1,15,23
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 3,September,1,20,20
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 4,October,1,20,20
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 4,November,1,20,21
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 4,December,1,15,18
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 1,January,1,342,384
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 1,February,1,445,429
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 1,March,1,366,389
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 2,April,1,369,326
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 2,May,1,388,415
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 2,June,1,381,339
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 3,July,1,421,323
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 3,August,1,345,419
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 3,September,1,414,359
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 4,October,1,326,380
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 4,November,1,308,418
Asia,BU 1,Beverages,Orange,Units Sold,2019,Qtr 4,December,1,338,370
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 1,January,1,2736,2652
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 1,February,1,2918,2982
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 1,March,1,2754,2755
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 2,April,1,2665,2897
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 2,May,1,2722,2855
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 2,June,1,2770,2516
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 3,July,1,2529,2594
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 3,August,1,2918,2874
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 3,September,1,2722,2911
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 4,October,1,2668,2734
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 4,November,1,2534,2924
Asia,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 4,December,1,2551,2597
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 1,January,1,10,9
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 1,February,1,10,9
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 1,March,1,11,11
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 2,April,1,8,9
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 2,May,1,12,8
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 2,June,1,10,9
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 3,July,1,9,11
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 3,August,1,9,11
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 3,September,1,10,12
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 4,October,1,11,8
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 4,November,1,10,9
Asia,BU 2,Clothing,Men,Discount %,2019,Qtr 4,December,1,10,13
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 1,January,1,346,332
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 1,February,1,329,320
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 1,March,1,301,308
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 2,April,1,342,302
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 2,May,1,322,347
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 2,June,1,314,312
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 3,July,1,326,310
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 3,August,1,300,350
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 3,September,1,341,324
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 4,October,1,334,323
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 4,November,1,300,317
Asia,BU 2,Clothing,Men,Other Costs,2019,Qtr 4,December,1,325,348
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 1,January,1,8575,8301
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 1,February,1,9033,9699
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 1,March,1,8389,9729
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 2,April,1,9069,9392
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 2,May,1,9149,9424
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 2,June,1,8678,9520
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 3,July,1,9537,9419
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 3,August,1,8048,9204
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 3,September,1,8495,9930
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 4,October,1,8365,8344
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 4,November,1,8940,9320
Asia,BU 2,Clothing,Men,Other Income,2019,Qtr 4,December,1,9365,8802
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 1,January,1,243,216
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 1,February,1,383,443
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 1,March,1,306,403
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 2,April,1,220,284
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 2,May,1,232,209
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 2,June,1,229,411
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 3,July,1,358,383
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 3,August,1,433,297
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 3,September,1,296,288
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 4,October,1,481,463
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 4,November,1,404,372
Asia,BU 2,Clothing,Men,Selling Price,2019,Qtr 4,December,1,252,253
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 1,January,1,121,105
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 1,February,1,105,128
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 1,March,1,113,129
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 2,April,1,113,117
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 2,May,1,103,117
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 2,June,1,109,121
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 3,July,1,108,122
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 3,August,1,115,113
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 3,September,1,110,120
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 4,October,1,110,118
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 4,November,1,111,129
Asia,BU 2,Clothing,Men,Units Sold,2019,Qtr 4,December,1,100,110
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 1,January,1,2596,2689
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 1,February,1,2994,2724
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 1,March,1,2635,2808
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 2,April,1,2577,2664
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 2,May,1,2711,2905
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 2,June,1,2927,2516
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 3,July,1,2722,2781
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 3,August,1,2920,2939
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 3,September,1,2997,2788
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 4,October,1,2742,2996
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 4,November,1,2569,2789
Asia,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 4,December,1,2752,2599
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 1,January,1,11,8
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 1,February,1,10,13
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 1,March,1,12,11
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 2,April,1,11,13
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 2,May,1,13,8
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 2,June,1,13,10
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 3,July,1,12,11
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 3,August,1,9,8
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 3,September,1,10,9
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 4,October,1,11,10
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 4,November,1,13,10
Asia,BU 2,Clothing,Women,Discount %,2019,Qtr 4,December,1,11,10
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 1,January,1,309,344
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 1,February,1,310,314
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 1,March,1,350,339
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 2,April,1,303,341
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 2,May,1,345,312
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 2,June,1,338,330
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 3,July,1,336,313
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 3,August,1,300,332
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 3,September,1,305,337
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 4,October,1,319,325
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 4,November,1,326,336
Asia,BU 2,Clothing,Women,Other Costs,2019,Qtr 4,December,1,326,314
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 1,January,1,8326,9087
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 1,February,1,9373,8168
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 1,March,1,9259,9230
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 2,April,1,8286,9915
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 2,May,1,8399,9914
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 2,June,1,9159,9356
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 3,July,1,9943,8828
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 3,August,1,8534,9697
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 3,September,1,9951,8698
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 4,October,1,8251,8604
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 4,November,1,8284,9964
Asia,BU 2,Clothing,Women,Other Income,2019,Qtr 4,December,1,8298,8041
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 1,January,1,474,201
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 1,February,1,426,279
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 1,March,1,488,293
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 2,April,1,383,306
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 2,May,1,232,493
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 2,June,1,358,416
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 3,July,1,274,247
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 3,August,1,287,287
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 3,September,1,364,259
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 4,October,1,206,483
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 4,November,1,310,354
Asia,BU 2,Clothing,Women,Selling Price,2019,Qtr 4,December,1,425,349
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 1,January,1,116,123
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 1,February,1,129,101
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 1,March,1,128,100
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 2,April,1,112,107
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 2,May,1,100,104
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 2,June,1,117,100
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 3,July,1,103,103
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 3,August,1,130,129
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 3,September,1,102,122
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 4,October,1,101,130
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 4,November,1,111,130
Asia,BU 2,Clothing,Women,Units Sold,2019,Qtr 4,December,1,114,106
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 1,January,1,1264,1258
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 1,February,1,1171,1028
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 1,March,1,1262,1176
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 2,April,1,1259,1211
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 2,May,1,1079,1130
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 2,June,1,1027,1014
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 3,July,1,1198,1206
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 3,August,1,1171,1172
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 3,September,1,1108,1194
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 4,October,1,1093,1024
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 4,November,1,1276,1263
Europe,BU 1,Dairy,Cheese,Cost of Sales,2019,Qtr 4,December,1,1035,1192
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 1,January,1,729,775
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 1,February,1,813,755
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 1,March,1,715,821
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 2,April,1,849,792
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 2,May,1,816,716
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 2,June,1,815,813
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 3,July,1,752,715
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 3,August,1,845,809
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 3,September,1,806,722
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 4,October,1,783,707
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 4,November,1,779,797
Europe,BU 1,Dairy,Cheese,Other Costs,2019,Qtr 4,December,1,824,764
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 1,January,1,8268,8373
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 1,February,1,9655,8219
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 1,March,1,8988,9684
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 2,April,1,9984,9923
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 2,May,1,8123,8785
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 2,June,1,8808,9274
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 3,July,1,9624,9986
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 3,August,1,9752,9884
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 3,September,1,9425,9236
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 4,October,1,9874,9534
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 4,November,1,9567,9865
Europe,BU 1,Dairy,Cheese,Other Income,2019,Qtr 4,December,1,8498,9446
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 1,January,1,66,54
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 1,February,1,54,56
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 1,March,1,63,68
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 2,April,1,54,60
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 2,May,1,53,61
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 2,June,1,69,51
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 3,July,1,50,59
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 3,August,1,64,70
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 3,September,1,60,51
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 4,October,1,53,69
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 4,November,1,58,55
Europe,BU 1,Dairy,Cheese,Selling Price,2019,Qtr 4,December,1,55,61
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 1,January,1,120,114
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 1,February,1,108,117
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 1,March,1,111,100
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 2,April,1,110,102
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 2,May,1,102,108
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 2,June,1,108,114
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 3,July,1,119,104
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 3,August,1,116,117
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 3,September,1,112,120
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 4,October,1,110,103
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 4,November,1,108,120
Europe,BU 1,Dairy,Cheese,Units Sold,2019,Qtr 4,December,1,100,114
