Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Quantity),Sum(Orders.Profit)
Qtr 2,April,2014,6,38,299.51519999999994
Qtr 2,May,2014,6,16,85.7158
Qtr 2,June,2014,6,34,-265.23670000000016
Qtr 3,July,2014,6,3,222.8455
Qtr 3,August,2014,6,5,106.6392
Qtr 3,September,2014,6,14,39.630799999999994
Qtr 1,January,2015,1,,
Qtr 1,February,2015,1,,
Qtr 1,March,2015,1,23,12.718199999999825
Qtr 2,April,2015,1,,
Qtr 2,May,2015,1,21,66.22339999999997
Qtr 2,June,2015,1,37,300.4786
Qtr 3,July,2015,1,,
Qtr 3,August,2015,1,10,-172.51080000000007
Qtr 3,September,2015,1,21,751.9427999999999
Qtr 1,January,2015,2,29,-1161.5484000000001
Qtr 1,February,2015,2,,
Qtr 1,March,2015,2,10,218.96289999999996
Qtr 2,April,2015,2,23,-35.82450000000002
Qtr 2,May,2015,2,6,16.84680000000001
Qtr 2,June,2015,2,,
Qtr 3,July,2015,2,46,-50.82450000000013
Qtr 3,August,2015,2,16,-37.160499999999956
Qtr 3,September,2015,2,,
Qtr 1,January,2015,3,19,-348.45780000000025
Qtr 1,February,2015,3,22,157.41179999999997
Qtr 1,March,2015,3,,
Qtr 2,April,2015,3,,
Qtr 2,May,2015,3,45,255.46429999999998
Qtr 2,June,2015,3,,
Qtr 3,July,2015,3,17,179.01669999999996
Qtr 3,August,2015,3,,
Qtr 3,September,2015,3,40,182.8788
Qtr 1,January,2015,4,22,104.67240000000001
Qtr 1,February,2015,4,,
Qtr 1,March,2015,4,,
Qtr 2,April,2015,4,20,384.47649999999993
Qtr 2,May,2015,4,23,157.5021999999999
Qtr 2,June,2015,4,16,464.80840000000006
Qtr 3,July,2015,4,9,297.90439999999995
Qtr 3,August,2015,4,,
Qtr 3,September,2015,4,23,252.039
Qtr 1,January,2015,5,20,62.5086
Qtr 1,February,2015,5,,
Qtr 1,March,2015,5,57,-417.895
Qtr 2,April,2015,5,56,-243.81410000000008
Qtr 2,May,2015,5,,
Qtr 2,June,2015,5,11,173.93400000000005
Qtr 3,July,2015,5,23,8.6351
Qtr 3,August,2015,5,16,-19.77000000000001
Qtr 3,September,2015,5,39,-31.056400000000014
Qtr 1,January,2015,6,7,7.893399999999997
Qtr 1,February,2015,6,34,242.11719999999983
Qtr 1,March,2015,6,9,473.75179999999995
Qtr 2,April,2015,6,25,-0.17040000000000433
Qtr 2,May,2015,6,,
Qtr 2,June,2015,6,,
Qtr 3,July,2015,6,24,275.7629999999999
Qtr 3,August,2015,6,16,-81.35049999999997
Qtr 3,September,2015,6,30,301.34259999999995
Qtr 1,January,2016,1,,
Qtr 1,February,2016,1,9,63.21619999999999
Qtr 1,March,2016,1,20,2267.4250999999995
Qtr 2,April,2016,1,61,485.77099999999996
Qtr 2,May,2016,1,13,-75.2426000000001
Qtr 2,June,2016,1,,
Qtr 3,July,2016,1,25,545.6345999999999
Qtr 3,August,2016,1,8,114.53360000000005
Qtr 3,September,2016,1,65,1896.7401999999997
Qtr 1,January,2016,2,5,105.54099999999998
Qtr 1,February,2016,2,24,2753.7109999999993
Qtr 1,March,2016,2,,
Qtr 2,April,2016,2,5,378.274
Qtr 2,May,2016,2,42,58.107399999999956
Qtr 2,June,2016,2,19,23.579599999999996
Qtr 3,July,2016,2,16,37.1906
Qtr 3,August,2016,2,7,53.41380000000001
Qtr 3,September,2016,2,101,750.1166999999998
Qtr 1,January,2016,3,21,386.486
Qtr 1,February,2016,3,4,225.264
Qtr 1,March,2016,3,59,-383.7433000000003
Qtr 2,April,2016,3,20,66.83300000000003
Qtr 2,May,2016,3,31,-309.44660000000005
Qtr 2,June,2016,3,2,-1.777200000000004
Qtr 3,July,2016,3,16,242.9458
Qtr 3,August,2016,3,15,61.74300000000001
Qtr 3,September,2016,3,59,-755.7506000000003
Qtr 1,January,2016,4,11,40.4019999999999
Qtr 1,February,2016,4,6,31.196799999999996
Qtr 1,March,2016,4,10,130.2479
Qtr 2,April,2016,4,15,256.3547
Qtr 2,May,2016,4,,
Qtr 2,June,2016,4,38,-29.897700000000018
Qtr 3,July,2016,4,27,293.1900999999999
Qtr 3,August,2016,4,27,98.0654
Qtr 3,September,2016,4,60,1464.5007999999998
Qtr 1,January,2016,5,10,46.45680000000001
Qtr 1,February,2016,5,55,721.2766
Qtr 1,March,2016,5,4,49.59429999999998
Qtr 2,April,2016,5,14,-177.31019999999995
Qtr 2,May,2016,5,40,449.3112
Qtr 2,June,2016,5,30,121.3312
Qtr 3,July,2016,5,,
Qtr 3,August,2016,5,7,59.11499999999998
Qtr 3,September,2016,5,145,425.5153999999999
Qtr 1,January,2016,6,,
Qtr 1,February,2016,6,4,-18.180799999999998
Qtr 1,March,2016,6,20,-389.1555
Qtr 2,April,2016,6,5,336.635
Qtr 2,May,2016,6,20,49.66329999999999
Qtr 2,June,2016,6,67,1049.4815
Qtr 3,July,2016,6,,
Qtr 3,August,2016,6,15,67.5102
Qtr 3,September,2016,6,23,204.64179999999988
