Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Country,Orders.Region,Orders.State,CountNonNull(Orders.Postal Code),Sum(Orders.Profit)
2016,United States,South,Tennessee,39,-163.30399999999997
2017,United States,South,Tennessee,81,-3304.2866
2014,United States,South,Virginia,70,5954.670099999998
2015,United States,South,Virginia,50,2985.7927000000013
2016,United States,South,Virginia,61,7851.473000000001
2017,United States,South,Virginia,43,1806.0145999999995
2014,United States,West,Arizona,48,-903.1981000000005
2015,United States,West,Arizona,63,236.38349999999937
2016,United States,West,Arizona,43,-1485.1074999999998
2017,United States,West,Arizona,70,-1276.0025
2014,United States,West,California,415,12637.949100000002
2015,United States,West,California,397,14371.262999999994
2016,United States,West,California,526,20005.71609999997
2017,United States,West,California,663,29366.45889999998
2014,United States,West,Colorado,29,438.1888999999999
2015,United States,West,Colorado,40,-1141.0659
2016,United States,West,Colorado,52,-1389.1326000000008
2017,United States,West,Colorado,61,-4435.8483000000015
2014,United States,West,Idaho,4,62.050999999999966
2015,United States,West,Idaho,5,285.317
2016,United States,West,Idaho,4,280.34650000000005
2017,United States,West,Idaho,8,199.00859999999992
2014,United States,West,Montana,5,129.84920000000002
2015,United States,West,Montana,5,237.5537999999999
2016,United States,West,Montana,,
2017,United States,West,Montana,5,1465.9254999999998
2014,United States,West,Nevada,11,250.27239999999978
2015,United States,West,Nevada,12,468.0479999999999
2016,United States,West,Nevada,10,2293.2508
2017,United States,West,Nevada,6,305.1946999999997
2014,United States,West,New Mexico,5,156.05150000000003
2015,United States,West,New Mexico,6,148.72219999999993
2016,United States,West,New Mexico,4,24.95199999999999
2017,United States,West,New Mexico,22,827.3904
2014,United States,West,Oregon,32,-135.40489999999994
2015,United States,West,Oregon,27,-112.0937000000001
2016,United States,West,Oregon,35,-565.8461999999998
2017,United States,West,Oregon,30,-377.1256999999999
2014,United States,West,Utah,18,822.6555999999999
2015,United States,West,Utah,12,669.3470999999998
2016,United States,West,Utah,8,577.3561000000001
2017,United States,West,Utah,15,477.1747
2014,United States,West,Washington,94,6607.2765
2015,United States,West,Washington,75,5328.719700000002
2016,United States,West,Washington,122,4209.875700000003
2017,United States,West,Washington,215,17256.779799999993
2014,United States,West,Wyoming,,
2015,United States,West,Wyoming,,
2016,United States,West,Wyoming,1,100.19599999999997
2017,United States,West,Wyoming,,
