Superstore 2023.Region,Superstore 2023.Category,Dates.Date,Sum(Superstore 2023.Sales)
West,Furniture,"Sunday, January 26, 2020",
Central,Furniture,"Monday, January 27, 2020",
East,Furniture,"Monday, January 27, 2020",
South,Furniture,"Monday, January 27, 2020",
West,Furniture,"Monday, January 27, 2020",333
Central,Furniture,"Friday, January 31, 2020",
East,Furniture,"Friday, January 31, 2020",
South,Furniture,"Friday, January 31, 2020",
West,Furniture,"Friday, January 31, 2020",290.666
Central,Furniture,"Saturday, February 08, 2020",
East,Furniture,"Saturday, February 08, 2020",
South,Furniture,"Saturday, February 08, 2020",
West,Furniture,"Saturday, February 08, 2020",14.56
Central,Furniture,"Tuesday, February 11, 2020",393.83
East,Furniture,"Tuesday, February 11, 2020",
South,Furniture,"Tuesday, February 11, 2020",1256.22
West,Furniture,"Tuesday, February 11, 2020",
Central,Furniture,"Wednesday, February 12, 2020",
East,Furniture,"Wednesday, February 12, 2020",
South,Furniture,"Wednesday, February 12, 2020",
West,Furniture,"Wednesday, February 12, 2020",129.568
Central,Furniture,"Tuesday, February 18, 2020",25.16
East,Furniture,"Tuesday, February 18, 2020",
South,Furniture,"Tuesday, February 18, 2020",
West,Furniture,"Tuesday, February 18, 2020",
Central,Furniture,"Thursday, February 20, 2020",20.32
East,Furniture,"Thursday, February 20, 2020",
South,Furniture,"Thursday, February 20, 2020",
West,Furniture,"Thursday, February 20, 2020",
Central,Furniture,"Sunday, March 01, 2020",1436.427
East,Furniture,"Sunday, March 01, 2020",
South,Furniture,"Sunday, March 01, 2020",
West,Furniture,"Sunday, March 01, 2020",457.568
Central,Furniture,"Tuesday, March 03, 2020",
East,Furniture,"Tuesday, March 03, 2020",302.45
South,Furniture,"Tuesday, March 03, 2020",
West,Furniture,"Tuesday, March 03, 2020",626.352
Central,Furniture,"Saturday, March 07, 2020",
East,Furniture,"Saturday, March 07, 2020",
South,Furniture,"Saturday, March 07, 2020",
West,Furniture,"Saturday, March 07, 2020",966.984
Central,Furniture,"Wednesday, March 11, 2020",
East,Furniture,"Wednesday, March 11, 2020",8.32
South,Furniture,"Wednesday, March 11, 2020",
West,Furniture,"Wednesday, March 11, 2020",
Central,Furniture,"Saturday, March 14, 2020",
East,Furniture,"Saturday, March 14, 2020",
South,Furniture,"Saturday, March 14, 2020",1139.92
West,Furniture,"Saturday, March 14, 2020",
Central,Furniture,"Sunday, March 15, 2020",
East,Furniture,"Sunday, March 15, 2020",
South,Furniture,"Sunday, March 15, 2020",45.696
West,Furniture,"Sunday, March 15, 2020",
Central,Furniture,"Tuesday, March 17, 2020",
East,Furniture,"Tuesday, March 17, 2020",3265.23
South,Furniture,"Tuesday, March 17, 2020",
West,Furniture,"Tuesday, March 17, 2020",
Central,Furniture,"Wednesday, March 18, 2020",
East,Furniture,"Wednesday, March 18, 2020",
South,Furniture,"Wednesday, March 18, 2020",153.12
West,Furniture,"Wednesday, March 18, 2020",1309.33
Central,Furniture,"Thursday, March 19, 2020",
East,Furniture,"Thursday, March 19, 2020",
South,Furniture,"Thursday, March 19, 2020",25.008
West,Furniture,"Thursday, March 19, 2020",
Central,Furniture,"Saturday, March 21, 2020",
East,Furniture,"Saturday, March 21, 2020",
South,Furniture,"Saturday, March 21, 2020",251.328
West,Furniture,"Saturday, March 21, 2020",
Central,Furniture,"Sunday, March 22, 2020",
East,Furniture,"Sunday, March 22, 2020",
South,Furniture,"Sunday, March 22, 2020",
West,Furniture,"Sunday, March 22, 2020",314.352
Central,Furniture,"Tuesday, March 24, 2020",
East,Furniture,"Tuesday, March 24, 2020",
South,Furniture,"Tuesday, March 24, 2020",
West,Furniture,"Tuesday, March 24, 2020",40.48
Central,Furniture,"Wednesday, March 25, 2020",
East,Furniture,"Wednesday, March 25, 2020",366.786
South,Furniture,"Wednesday, March 25, 2020",
West,Furniture,"Wednesday, March 25, 2020",
Central,Furniture,"Saturday, March 28, 2020",1184.72
East,Furniture,"Saturday, March 28, 2020",330.588
South,Furniture,"Saturday, March 28, 2020",
West,Furniture,"Saturday, March 28, 2020",
Central,Furniture,"Sunday, March 29, 2020",890.841
East,Furniture,"Sunday, March 29, 2020",
South,Furniture,"Sunday, March 29, 2020",
West,Furniture,"Sunday, March 29, 2020",
Central,Furniture,"Monday, March 30, 2020",127.302
East,Furniture,"Monday, March 30, 2020",
South,Furniture,"Monday, March 30, 2020",
West,Furniture,"Monday, March 30, 2020",205.666
Central,Furniture,"Tuesday, March 31, 2020",
East,Furniture,"Tuesday, March 31, 2020",
South,Furniture,"Tuesday, March 31, 2020",1125.488
West,Furniture,"Tuesday, March 31, 2020",
Central,Furniture,"Thursday, April 02, 2020",
East,Furniture,"Thursday, April 02, 2020",
South,Furniture,"Thursday, April 02, 2020",177.68
West,Furniture,"Thursday, April 02, 2020",
Central,Furniture,"Saturday, April 04, 2020",5.47
East,Furniture,"Saturday, April 04, 2020",
South,Furniture,"Saturday, April 04, 2020",
West,Furniture,"Saturday, April 04, 2020",
Central,Furniture,"Monday, April 06, 2020",
East,Furniture,"Monday, April 06, 2020",154.764
South,Furniture,"Monday, April 06, 2020",
West,Furniture,"Monday, April 06, 2020",778.62
Central,Furniture,"Tuesday, April 07, 2020",
East,Furniture,"Tuesday, April 07, 2020",
South,Furniture,"Tuesday, April 07, 2020",8.96
West,Furniture,"Tuesday, April 07, 2020",
Central,Furniture,"Wednesday, April 08, 2020",
East,Furniture,"Wednesday, April 08, 2020",172.11
South,Furniture,"Wednesday, April 08, 2020",1215.92
West,Furniture,"Wednesday, April 08, 2020",99.592
Central,Furniture,"Sunday, April 12, 2020",
East,Furniture,"Sunday, April 12, 2020",
South,Furniture,"Sunday, April 12, 2020",
West,Furniture,"Sunday, April 12, 2020",308.499
Central,Furniture,"Wednesday, April 15, 2020",
East,Furniture,"Wednesday, April 15, 2020",
South,Furniture,"Wednesday, April 15, 2020",
West,Furniture,"Wednesday, April 15, 2020",187.76
Central,Furniture,"Saturday, April 18, 2020",317.058
East,Furniture,"Saturday, April 18, 2020",
South,Furniture,"Saturday, April 18, 2020",
West,Furniture,"Saturday, April 18, 2020",
Central,Furniture,"Sunday, April 19, 2020",
East,Furniture,"Sunday, April 19, 2020",
South,Furniture,"Sunday, April 19, 2020",
West,Furniture,"Sunday, April 19, 2020",76.14
Central,Furniture,"Monday, April 20, 2020",1145.69
East,Furniture,"Monday, April 20, 2020",
South,Furniture,"Monday, April 20, 2020",
West,Furniture,"Monday, April 20, 2020",59.92
Central,Furniture,"Thursday, April 23, 2020",
East,Furniture,"Thursday, April 23, 2020",585.08
South,Furniture,"Thursday, April 23, 2020",
West,Furniture,"Thursday, April 23, 2020",
Central,Furniture,"Saturday, April 25, 2020",
East,Furniture,"Saturday, April 25, 2020",
South,Furniture,"Saturday, April 25, 2020",
West,Furniture,"Saturday, April 25, 2020",1790.29
Central,Furniture,"Sunday, April 26, 2020",
East,Furniture,"Sunday, April 26, 2020",
South,Furniture,"Sunday, April 26, 2020",
West,Furniture,"Sunday, April 26, 2020",230.28
Central,Furniture,"Wednesday, April 29, 2020",
East,Furniture,"Wednesday, April 29, 2020",17.46
South,Furniture,"Wednesday, April 29, 2020",613.544
West,Furniture,"Wednesday, April 29, 2020",
Central,Furniture,"Monday, May 04, 2020",
East,Furniture,"Monday, May 04, 2020",27.46
South,Furniture,"Monday, May 04, 2020",
West,Furniture,"Monday, May 04, 2020",12.18
Central,Furniture,"Tuesday, May 05, 2020",127.869
East,Furniture,"Tuesday, May 05, 2020",
South,Furniture,"Tuesday, May 05, 2020",
West,Furniture,"Tuesday, May 05, 2020",
Central,Furniture,"Thursday, May 07, 2020",
East,Furniture,"Thursday, May 07, 2020",1066.57
South,Furniture,"Thursday, May 07, 2020",
West,Furniture,"Thursday, May 07, 2020",
Central,Furniture,"Sunday, May 10, 2020",
East,Furniture,"Sunday, May 10, 2020",349.965
South,Furniture,"Sunday, May 10, 2020",
West,Furniture,"Sunday, May 10, 2020",256.784
Central,Furniture,"Monday, May 11, 2020",1279.072
East,Furniture,"Monday, May 11, 2020",
South,Furniture,"Monday, May 11, 2020",
West,Furniture,"Monday, May 11, 2020",
Central,Furniture,"Tuesday, May 12, 2020",34.79
East,Furniture,"Tuesday, May 12, 2020",700.056
South,Furniture,"Tuesday, May 12, 2020",
West,Furniture,"Tuesday, May 12, 2020",
Central,Furniture,"Wednesday, May 13, 2020",
East,Furniture,"Wednesday, May 13, 2020",
South,Furniture,"Wednesday, May 13, 2020",
West,Furniture,"Wednesday, May 13, 2020",279.456
Central,Furniture,"Thursday, May 14, 2020",
East,Furniture,"Thursday, May 14, 2020",
South,Furniture,"Thursday, May 14, 2020",310.88
West,Furniture,"Thursday, May 14, 2020",
Central,Furniture,"Saturday, May 16, 2020",
East,Furniture,"Saturday, May 16, 2020",
South,Furniture,"Saturday, May 16, 2020",
West,Furniture,"Saturday, May 16, 2020",232.88
Central,Furniture,"Monday, May 18, 2020",
East,Furniture,"Monday, May 18, 2020",149.232
South,Furniture,"Monday, May 18, 2020",
West,Furniture,"Monday, May 18, 2020",
Central,Furniture,"Wednesday, May 20, 2020",10.332
East,Furniture,"Wednesday, May 20, 2020",139.86
South,Furniture,"Wednesday, May 20, 2020",
West,Furniture,"Wednesday, May 20, 2020",
Central,Furniture,"Thursday, May 21, 2020",107.772
East,Furniture,"Thursday, May 21, 2020",
South,Furniture,"Thursday, May 21, 2020",
West,Furniture,"Thursday, May 21, 2020",
Central,Furniture,"Monday, May 25, 2020",29.32
East,Furniture,"Monday, May 25, 2020",
South,Furniture,"Monday, May 25, 2020",
West,Furniture,"Monday, May 25, 2020",
Central,Furniture,"Tuesday, May 26, 2020",359.772
East,Furniture,"Tuesday, May 26, 2020",
South,Furniture,"Tuesday, May 26, 2020",
West,Furniture,"Tuesday, May 26, 2020",515.962
Central,Furniture,"Wednesday, May 27, 2020",
East,Furniture,"Wednesday, May 27, 2020",
South,Furniture,"Wednesday, May 27, 2020",
West,Furniture,"Wednesday, May 27, 2020",567.12
Central,Furniture,"Saturday, May 30, 2020",355.455
East,Furniture,"Saturday, May 30, 2020",
South,Furniture,"Saturday, May 30, 2020",
West,Furniture,"Saturday, May 30, 2020",
Central,Furniture,"Monday, June 01, 2020",2001.86
East,Furniture,"Monday, June 01, 2020",
South,Furniture,"Monday, June 01, 2020",22.2
West,Furniture,"Monday, June 01, 2020",
Central,Furniture,"Tuesday, June 02, 2020",
East,Furniture,"Tuesday, June 02, 2020",
South,Furniture,"Tuesday, June 02, 2020",
West,Furniture,"Tuesday, June 02, 2020",73.32
Central,Furniture,"Wednesday, June 03, 2020",61.544
East,Furniture,"Wednesday, June 03, 2020",
South,Furniture,"Wednesday, June 03, 2020",
West,Furniture,"Wednesday, June 03, 2020",515.88
Central,Furniture,"Thursday, June 04, 2020",
East,Furniture,"Thursday, June 04, 2020",424.488
South,Furniture,"Thursday, June 04, 2020",
West,Furniture,"Thursday, June 04, 2020",
Central,Furniture,"Saturday, June 06, 2020",
East,Furniture,"Saturday, June 06, 2020",991.764
South,Furniture,"Saturday, June 06, 2020",
West,Furniture,"Saturday, June 06, 2020",
Central,Furniture,"Sunday, June 07, 2020",268.935
East,Furniture,"Sunday, June 07, 2020",
South,Furniture,"Sunday, June 07, 2020",
West,Furniture,"Sunday, June 07, 2020",
Central,Furniture,"Monday, June 08, 2020",
East,Furniture,"Monday, June 08, 2020",
South,Furniture,"Monday, June 08, 2020",170.352
West,Furniture,"Monday, June 08, 2020",585.552
Central,Furniture,"Tuesday, June 09, 2020",
East,Furniture,"Tuesday, June 09, 2020",
South,Furniture,"Tuesday, June 09, 2020",1441.3
West,Furniture,"Tuesday, June 09, 2020",1792.444
Central,Furniture,"Sunday, June 14, 2020",212.94
East,Furniture,"Sunday, June 14, 2020",
South,Furniture,"Sunday, June 14, 2020",
West,Furniture,"Sunday, June 14, 2020",
Central,Furniture,"Monday, June 15, 2020",897.862
East,Furniture,"Monday, June 15, 2020",
South,Furniture,"Monday, June 15, 2020",
West,Furniture,"Monday, June 15, 2020",
Central,Furniture,"Tuesday, June 16, 2020",647.84
East,Furniture,"Tuesday, June 16, 2020",
South,Furniture,"Tuesday, June 16, 2020",
West,Furniture,"Tuesday, June 16, 2020",
Central,Furniture,"Wednesday, June 17, 2020",
East,Furniture,"Wednesday, June 17, 2020",
South,Furniture,"Wednesday, June 17, 2020",
West,Furniture,"Wednesday, June 17, 2020",6.24
Central,Furniture,"Saturday, June 20, 2020",193.0656
East,Furniture,"Saturday, June 20, 2020",
South,Furniture,"Saturday, June 20, 2020",
West,Furniture,"Saturday, June 20, 2020",
Central,Furniture,"Sunday, June 21, 2020",
East,Furniture,"Sunday, June 21, 2020",3.984
South,Furniture,"Sunday, June 21, 2020",104.01
West,Furniture,"Sunday, June 21, 2020",
Central,Furniture,"Monday, June 22, 2020",
East,Furniture,"Monday, June 22, 2020",1023.988
South,Furniture,"Monday, June 22, 2020",
West,Furniture,"Monday, June 22, 2020",
Central,Furniture,"Wednesday, June 24, 2020",
East,Furniture,"Wednesday, June 24, 2020",
South,Furniture,"Wednesday, June 24, 2020",
West,Furniture,"Wednesday, June 24, 2020",4.272
Central,Furniture,"Thursday, June 25, 2020",
East,Furniture,"Thursday, June 25, 2020",
South,Furniture,"Thursday, June 25, 2020",
West,Furniture,"Thursday, June 25, 2020",447.84
Central,Furniture,"Saturday, June 27, 2020",
East,Furniture,"Saturday, June 27, 2020",
South,Furniture,"Saturday, June 27, 2020",85.98
West,Furniture,"Saturday, June 27, 2020",
Central,Furniture,"Sunday, June 28, 2020",
East,Furniture,"Sunday, June 28, 2020",1228.465
South,Furniture,"Sunday, June 28, 2020",
West,Furniture,"Sunday, June 28, 2020",
Central,Furniture,"Sunday, July 05, 2020",
East,Furniture,"Sunday, July 05, 2020",
South,Furniture,"Sunday, July 05, 2020",232.736
West,Furniture,"Sunday, July 05, 2020",
Central,Furniture,"Monday, July 06, 2020",
East,Furniture,"Monday, July 06, 2020",
South,Furniture,"Monday, July 06, 2020",
West,Furniture,"Monday, July 06, 2020",478.48
Central,Furniture,"Tuesday, July 07, 2020",
East,Furniture,"Tuesday, July 07, 2020",241.194
South,Furniture,"Tuesday, July 07, 2020",
West,Furniture,"Tuesday, July 07, 2020",
Central,Furniture,"Wednesday, July 08, 2020",
East,Furniture,"Wednesday, July 08, 2020",63.882
South,Furniture,"Wednesday, July 08, 2020",
West,Furniture,"Wednesday, July 08, 2020",502.488
Central,Furniture,"Thursday, July 09, 2020",
East,Furniture,"Thursday, July 09, 2020",
South,Furniture,"Thursday, July 09, 2020",
West,Furniture,"Thursday, July 09, 2020",119.833
Central,Furniture,"Saturday, July 11, 2020",
East,Furniture,"Saturday, July 11, 2020",979.05
South,Furniture,"Saturday, July 11, 2020",
West,Furniture,"Saturday, July 11, 2020",
Central,Furniture,"Sunday, July 12, 2020",512.358
East,Furniture,"Sunday, July 12, 2020",
South,Furniture,"Sunday, July 12, 2020",
West,Furniture,"Sunday, July 12, 2020",821.488
Central,Furniture,"Monday, July 13, 2020",
East,Furniture,"Monday, July 13, 2020",
South,Furniture,"Monday, July 13, 2020",
West,Furniture,"Monday, July 13, 2020",351.216
Central,Furniture,"Tuesday, July 14, 2020",
East,Furniture,"Tuesday, July 14, 2020",31.984
South,Furniture,"Tuesday, July 14, 2020",
West,Furniture,"Tuesday, July 14, 2020",
Central,Furniture,"Saturday, July 18, 2020",
East,Furniture,"Saturday, July 18, 2020",
South,Furniture,"Saturday, July 18, 2020",
West,Furniture,"Saturday, July 18, 2020",259.136
Central,Furniture,"Sunday, July 19, 2020",
East,Furniture,"Sunday, July 19, 2020",70.56
South,Furniture,"Sunday, July 19, 2020",
West,Furniture,"Sunday, July 19, 2020",
Central,Furniture,"Monday, July 20, 2020",998.112
East,Furniture,"Monday, July 20, 2020",
South,Furniture,"Monday, July 20, 2020",
West,Furniture,"Monday, July 20, 2020",43.02
Central,Furniture,"Tuesday, July 21, 2020",657.93
East,Furniture,"Tuesday, July 21, 2020",
South,Furniture,"Tuesday, July 21, 2020",
West,Furniture,"Tuesday, July 21, 2020",1074.416
Central,Furniture,"Wednesday, July 22, 2020",
East,Furniture,"Wednesday, July 22, 2020",
South,Furniture,"Wednesday, July 22, 2020",
West,Furniture,"Wednesday, July 22, 2020",888.072
Central,Furniture,"Saturday, July 25, 2020",
East,Furniture,"Saturday, July 25, 2020",
South,Furniture,"Saturday, July 25, 2020",
West,Furniture,"Saturday, July 25, 2020",77.92
Central,Furniture,"Sunday, July 26, 2020",17.496
East,Furniture,"Sunday, July 26, 2020",
South,Furniture,"Sunday, July 26, 2020",93.59
West,Furniture,"Sunday, July 26, 2020",808.362
Central,Furniture,"Tuesday, July 28, 2020",
East,Furniture,"Tuesday, July 28, 2020",
South,Furniture,"Tuesday, July 28, 2020",129.888
West,Furniture,"Tuesday, July 28, 2020",
Central,Furniture,"Thursday, July 30, 2020",
East,Furniture,"Thursday, July 30, 2020",
South,Furniture,"Thursday, July 30, 2020",
West,Furniture,"Thursday, July 30, 2020",1367.84
Central,Furniture,"Saturday, August 01, 2020",
East,Furniture,"Saturday, August 01, 2020",
South,Furniture,"Saturday, August 01, 2020",44.128
West,Furniture,"Saturday, August 01, 2020",
Central,Furniture,"Monday, August 03, 2020",
East,Furniture,"Monday, August 03, 2020",
South,Furniture,"Monday, August 03, 2020",
West,Furniture,"Monday, August 03, 2020",218.75
Central,Furniture,"Wednesday, August 05, 2020",489.23
East,Furniture,"Wednesday, August 05, 2020",1133.35
South,Furniture,"Wednesday, August 05, 2020",
West,Furniture,"Wednesday, August 05, 2020",340.144
Central,Furniture,"Saturday, August 08, 2020",53.88
East,Furniture,"Saturday, August 08, 2020",
South,Furniture,"Saturday, August 08, 2020",155.456
West,Furniture,"Saturday, August 08, 2020",449.136
Central,Furniture,"Tuesday, August 11, 2020",
East,Furniture,"Tuesday, August 11, 2020",
South,Furniture,"Tuesday, August 11, 2020",
West,Furniture,"Tuesday, August 11, 2020",12.35
Central,Furniture,"Wednesday, August 12, 2020",
East,Furniture,"Wednesday, August 12, 2020",
South,Furniture,"Wednesday, August 12, 2020",
West,Furniture,"Wednesday, August 12, 2020",85.44
Central,Furniture,"Saturday, August 15, 2020",
East,Furniture,"Saturday, August 15, 2020",
South,Furniture,"Saturday, August 15, 2020",
West,Furniture,"Saturday, August 15, 2020",195.136
Central,Furniture,"Sunday, August 16, 2020",
East,Furniture,"Sunday, August 16, 2020",853.092
South,Furniture,"Sunday, August 16, 2020",
West,Furniture,"Sunday, August 16, 2020",
Central,Furniture,"Wednesday, August 19, 2020",
East,Furniture,"Wednesday, August 19, 2020",
South,Furniture,"Wednesday, August 19, 2020",638.82
West,Furniture,"Wednesday, August 19, 2020",289.24
Central,Furniture,"Thursday, August 20, 2020",421.372
East,Furniture,"Thursday, August 20, 2020",
South,Furniture,"Thursday, August 20, 2020",500.24
West,Furniture,"Thursday, August 20, 2020",
Central,Furniture,"Sunday, August 23, 2020",
East,Furniture,"Sunday, August 23, 2020",
South,Furniture,"Sunday, August 23, 2020",
West,Furniture,"Sunday, August 23, 2020",4.224
Central,Furniture,"Monday, August 24, 2020",
East,Furniture,"Monday, August 24, 2020",13.28
South,Furniture,"Monday, August 24, 2020",
West,Furniture,"Monday, August 24, 2020",
Central,Furniture,"Tuesday, August 25, 2020",
East,Furniture,"Tuesday, August 25, 2020",
South,Furniture,"Tuesday, August 25, 2020",
West,Furniture,"Tuesday, August 25, 2020",6.28
Central,Furniture,"Wednesday, August 26, 2020",
East,Furniture,"Wednesday, August 26, 2020",10.68
South,Furniture,"Wednesday, August 26, 2020",
West,Furniture,"Wednesday, August 26, 2020",
Central,Furniture,"Thursday, August 27, 2020",
East,Furniture,"Thursday, August 27, 2020",
South,Furniture,"Thursday, August 27, 2020",1232.06
West,Furniture,"Thursday, August 27, 2020",
Central,Furniture,"Saturday, August 29, 2020",
East,Furniture,"Saturday, August 29, 2020",
South,Furniture,"Saturday, August 29, 2020",174.0585
West,Furniture,"Saturday, August 29, 2020",
Central,Furniture,"Wednesday, September 02, 2020",
East,Furniture,"Wednesday, September 02, 2020",70.71
South,Furniture,"Wednesday, September 02, 2020",
West,Furniture,"Wednesday, September 02, 2020",
Central,Furniture,"Saturday, September 05, 2020",
East,Furniture,"Saturday, September 05, 2020",
South,Furniture,"Saturday, September 05, 2020",31.984
West,Furniture,"Saturday, September 05, 2020",
Central,Furniture,"Sunday, September 06, 2020",
East,Furniture,"Sunday, September 06, 2020",
South,Furniture,"Sunday, September 06, 2020",
West,Furniture,"Sunday, September 06, 2020",41.88
Central,Furniture,"Monday, September 07, 2020",1672.225
East,Furniture,"Monday, September 07, 2020",42.368
South,Furniture,"Monday, September 07, 2020",
West,Furniture,"Monday, September 07, 2020",
Central,Furniture,"Tuesday, September 08, 2020",2706.76
East,Furniture,"Tuesday, September 08, 2020",172.764
South,Furniture,"Tuesday, September 08, 2020",
West,Furniture,"Tuesday, September 08, 2020",975.92
Central,Furniture,"Wednesday, September 09, 2020",
East,Furniture,"Wednesday, September 09, 2020",864.024
South,Furniture,"Wednesday, September 09, 2020",
West,Furniture,"Wednesday, September 09, 2020",
Central,Furniture,"Thursday, September 10, 2020",
East,Furniture,"Thursday, September 10, 2020",254.9
South,Furniture,"Thursday, September 10, 2020",
West,Furniture,"Thursday, September 10, 2020",1487.04
Central,Furniture,"Friday, September 11, 2020",
East,Furniture,"Friday, September 11, 2020",
South,Furniture,"Friday, September 11, 2020",
West,Furniture,"Friday, September 11, 2020",127.95
Central,Furniture,"Saturday, September 12, 2020",40.56
East,Furniture,"Saturday, September 12, 2020",3785.292
South,Furniture,"Saturday, September 12, 2020",
West,Furniture,"Saturday, September 12, 2020",
Central,Furniture,"Sunday, September 13, 2020",340.116
East,Furniture,"Sunday, September 13, 2020",
South,Furniture,"Sunday, September 13, 2020",
West,Furniture,"Sunday, September 13, 2020",14.19
Central,Furniture,"Monday, September 14, 2020",9.96
East,Furniture,"Monday, September 14, 2020",464.292
South,Furniture,"Monday, September 14, 2020",155.528
West,Furniture,"Monday, September 14, 2020",
Central,Furniture,"Tuesday, September 15, 2020",
East,Furniture,"Tuesday, September 15, 2020",118.496
South,Furniture,"Tuesday, September 15, 2020",
West,Furniture,"Tuesday, September 15, 2020",
Central,Furniture,"Thursday, September 17, 2020",
East,Furniture,"Thursday, September 17, 2020",
South,Furniture,"Thursday, September 17, 2020",
West,Furniture,"Thursday, September 17, 2020",35.34
Central,Furniture,"Saturday, September 19, 2020",
East,Furniture,"Saturday, September 19, 2020",887.103
South,Furniture,"Saturday, September 19, 2020",
West,Furniture,"Saturday, September 19, 2020",73.915
Central,Furniture,"Sunday, September 20, 2020",1111.13
East,Furniture,"Sunday, September 20, 2020",1960.51
South,Furniture,"Sunday, September 20, 2020",
West,Furniture,"Sunday, September 20, 2020",
Central,Furniture,"Monday, September 21, 2020",8.544
East,Furniture,"Monday, September 21, 2020",
South,Furniture,"Monday, September 21, 2020",
West,Furniture,"Monday, September 21, 2020",
Central,Furniture,"Tuesday, September 22, 2020",
East,Furniture,"Tuesday, September 22, 2020",676.968
South,Furniture,"Tuesday, September 22, 2020",
West,Furniture,"Tuesday, September 22, 2020",
Central,Furniture,"Wednesday, September 23, 2020",
East,Furniture,"Wednesday, September 23, 2020",
South,Furniture,"Wednesday, September 23, 2020",
West,Furniture,"Wednesday, September 23, 2020",435.999
Central,Furniture,"Friday, September 25, 2020",300.5328
East,Furniture,"Friday, September 25, 2020",
South,Furniture,"Friday, September 25, 2020",
West,Furniture,"Friday, September 25, 2020",
Central,Furniture,"Saturday, September 26, 2020",
East,Furniture,"Saturday, September 26, 2020",21.184
South,Furniture,"Saturday, September 26, 2020",
West,Furniture,"Saturday, September 26, 2020",731.12
Central,Furniture,"Sunday, September 27, 2020",
East,Furniture,"Sunday, September 27, 2020",87.54
South,Furniture,"Sunday, September 27, 2020",
West,Furniture,"Sunday, September 27, 2020",603.92
Central,Furniture,"Monday, September 28, 2020",
East,Furniture,"Monday, September 28, 2020",
South,Furniture,"Monday, September 28, 2020",337.088
West,Furniture,"Monday, September 28, 2020",
Central,Furniture,"Tuesday, September 29, 2020",
East,Furniture,"Tuesday, September 29, 2020",593.808
South,Furniture,"Tuesday, September 29, 2020",
West,Furniture,"Tuesday, September 29, 2020",2559.58
Central,Furniture,"Wednesday, September 30, 2020",
East,Furniture,"Wednesday, September 30, 2020",15.24
South,Furniture,"Wednesday, September 30, 2020",
West,Furniture,"Wednesday, September 30, 2020",
Central,Furniture,"Saturday, October 03, 2020",290.055
East,Furniture,"Saturday, October 03, 2020",
South,Furniture,"Saturday, October 03, 2020",
West,Furniture,"Saturday, October 03, 2020",265.784
Central,Furniture,"Sunday, October 04, 2020",
East,Furniture,"Sunday, October 04, 2020",589.41
South,Furniture,"Sunday, October 04, 2020",
West,Furniture,"Sunday, October 04, 2020",
Central,Furniture,"Wednesday, October 07, 2020",
East,Furniture,"Wednesday, October 07, 2020",129.92
South,Furniture,"Wednesday, October 07, 2020",
West,Furniture,"Wednesday, October 07, 2020",
Central,Furniture,"Saturday, October 10, 2020",
East,Furniture,"Saturday, October 10, 2020",
South,Furniture,"Saturday, October 10, 2020",
West,Furniture,"Saturday, October 10, 2020",169.224
Central,Furniture,"Sunday, October 11, 2020",
East,Furniture,"Sunday, October 11, 2020",
South,Furniture,"Sunday, October 11, 2020",8.92
West,Furniture,"Sunday, October 11, 2020",497.038
Central,Furniture,"Tuesday, October 13, 2020",
East,Furniture,"Tuesday, October 13, 2020",245.98
South,Furniture,"Tuesday, October 13, 2020",
West,Furniture,"Tuesday, October 13, 2020",1298.55
