Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Category,Orders.Region,Orders.Sub-Category,Sum(Orders.Quantity)
2015,Qtr 1,Office Supplies,South,Paper,35
2016,Qtr 1,Office Supplies,South,Paper,41
2017,Qtr 1,Office Supplies,South,Paper,14
2014,Qtr 1,Office Supplies,South,Storage,24
2015,Qtr 1,Office Supplies,South,Storage,19
2016,Qtr 1,Office Supplies,South,Storage,29
2017,Qtr 1,Office Supplies,South,Storage,11
2014,Qtr 1,Office Supplies,South,Supplies,
2015,Qtr 1,Office Supplies,South,Supplies,8
2016,Qtr 1,Office Supplies,South,Supplies,
2017,Qtr 1,Office Supplies,South,Supplies,
2014,Qtr 1,Office Supplies,West,Appliances,8
2015,Qtr 1,Office Supplies,West,Appliances,16
2016,Qtr 1,Office Supplies,West,Appliances,10
2017,Qtr 1,Office Supplies,West,Appliances,44
2014,Qtr 1,Office Supplies,West,Art,37
2015,Qtr 1,Office Supplies,West,Art,4
2016,Qtr 1,Office Supplies,West,Art,4
2017,Qtr 1,Office Supplies,West,Art,67
2014,Qtr 1,Office Supplies,West,Binders,39
2015,Qtr 1,Office Supplies,West,Binders,26
2016,Qtr 1,Office Supplies,West,Binders,41
2017,Qtr 1,Office Supplies,West,Binders,118
2014,Qtr 1,Office Supplies,West,Envelopes,5
2015,Qtr 1,Office Supplies,West,Envelopes,
2016,Qtr 1,Office Supplies,West,Envelopes,4
2017,Qtr 1,Office Supplies,West,Envelopes,12
2014,Qtr 1,Office Supplies,West,Fasteners,5
2015,Qtr 1,Office Supplies,West,Fasteners,5
2016,Qtr 1,Office Supplies,West,Fasteners,3
2017,Qtr 1,Office Supplies,West,Fasteners,27
2014,Qtr 1,Office Supplies,West,Labels,8
2015,Qtr 1,Office Supplies,West,Labels,16
2016,Qtr 1,Office Supplies,West,Labels,20
2017,Qtr 1,Office Supplies,West,Labels,6
2014,Qtr 1,Office Supplies,West,Paper,36
2015,Qtr 1,Office Supplies,West,Paper,74
2016,Qtr 1,Office Supplies,West,Paper,33
2017,Qtr 1,Office Supplies,West,Paper,84
2014,Qtr 1,Office Supplies,West,Storage,32
2015,Qtr 1,Office Supplies,West,Storage,11
2016,Qtr 1,Office Supplies,West,Storage,31
2017,Qtr 1,Office Supplies,West,Storage,78
2014,Qtr 1,Office Supplies,West,Supplies,2
2015,Qtr 1,Office Supplies,West,Supplies,4
2016,Qtr 1,Office Supplies,West,Supplies,6
2017,Qtr 1,Office Supplies,West,Supplies,13
2014,Qtr 1,Technology,Central,Accessories,14
2015,Qtr 1,Technology,Central,Accessories,29
2016,Qtr 1,Technology,Central,Accessories,24
2017,Qtr 1,Technology,Central,Accessories,37
2014,Qtr 1,Technology,Central,Copiers,
2015,Qtr 1,Technology,Central,Copiers,
2016,Qtr 1,Technology,Central,Copiers,
2017,Qtr 1,Technology,Central,Copiers,7
2014,Qtr 1,Technology,Central,Machines,2
2015,Qtr 1,Technology,Central,Machines,
2016,Qtr 1,Technology,Central,Machines,3
2017,Qtr 1,Technology,Central,Machines,7
2014,Qtr 1,Technology,Central,Phones,7
2015,Qtr 1,Technology,Central,Phones,26
2016,Qtr 1,Technology,Central,Phones,34
2017,Qtr 1,Technology,Central,Phones,31
2014,Qtr 1,Technology,East,Accessories,13
2015,Qtr 1,Technology,East,Accessories,15
2016,Qtr 1,Technology,East,Accessories,33
2017,Qtr 1,Technology,East,Accessories,41
2014,Qtr 1,Technology,East,Machines,
2015,Qtr 1,Technology,East,Machines,9
2016,Qtr 1,Technology,East,Machines,10
2017,Qtr 1,Technology,East,Machines,
2014,Qtr 1,Technology,East,Phones,7
2015,Qtr 1,Technology,East,Phones,40
2016,Qtr 1,Technology,East,Phones,38
2017,Qtr 1,Technology,East,Phones,70
2014,Qtr 1,Technology,South,Accessories,18
2015,Qtr 1,Technology,South,Accessories,8
2016,Qtr 1,Technology,South,Accessories,17
2017,Qtr 1,Technology,South,Accessories,6
2014,Qtr 1,Technology,South,Copiers,
2015,Qtr 1,Technology,South,Copiers,
2016,Qtr 1,Technology,South,Copiers,4
2017,Qtr 1,Technology,South,Copiers,5
2014,Qtr 1,Technology,South,Machines,10
2015,Qtr 1,Technology,South,Machines,
2016,Qtr 1,Technology,South,Machines,5
2017,Qtr 1,Technology,South,Machines,2
2014,Qtr 1,Technology,South,Phones,54
2015,Qtr 1,Technology,South,Phones,5
2016,Qtr 1,Technology,South,Phones,18
2017,Qtr 1,Technology,South,Phones,29
2014,Qtr 1,Technology,West,Accessories,22
2015,Qtr 1,Technology,West,Accessories,16
2016,Qtr 1,Technology,West,Accessories,22
2017,Qtr 1,Technology,West,Accessories,62
2014,Qtr 1,Technology,West,Copiers,
2015,Qtr 1,Technology,West,Copiers,9
2016,Qtr 1,Technology,West,Copiers,
2017,Qtr 1,Technology,West,Copiers,13
2014,Qtr 1,Technology,West,Machines,4
2015,Qtr 1,Technology,West,Machines,3
2016,Qtr 1,Technology,West,Machines,3
2017,Qtr 1,Technology,West,Machines,4
2014,Qtr 1,Technology,West,Phones,11
2015,Qtr 1,Technology,West,Phones,13
2016,Qtr 1,Technology,West,Phones,44
2017,Qtr 1,Technology,West,Phones,77
