Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.Region,Orders.City,Sum(Orders.Profit)
2016,Consumer,Central,Lawrence,16.146
2017,Consumer,Central,Lawrence,221.99219999999997
2014,Consumer,Central,Lawton,157.4166
2015,Consumer,Central,Lawton,
2016,Consumer,Central,Lawton,
2017,Consumer,Central,Lawton,78.09189999999998
2014,Consumer,Central,League City,
2015,Consumer,Central,League City,
2016,Consumer,Central,League City,
2017,Consumer,Central,League City,-26.789499999999997
2014,Consumer,Central,Lubbock,-11.322
2015,Consumer,Central,Lubbock,172.15429999999998
2016,Consumer,Central,Lubbock,
2017,Consumer,Central,Lubbock,
2014,Consumer,Central,Madison,699.7920000000001
2015,Consumer,Central,Madison,
2016,Consumer,Central,Madison,4.5338
2017,Consumer,Central,Madison,419.3294000000001
2014,Consumer,Central,Mansfield,
2015,Consumer,Central,Mansfield,
2016,Consumer,Central,Mansfield,
2017,Consumer,Central,Mansfield,-81.30650000000003
2014,Consumer,Central,Marion,
2015,Consumer,Central,Marion,
2016,Consumer,Central,Marion,
2017,Consumer,Central,Marion,59.875699999999995
2014,Consumer,Central,Mcallen,
2015,Consumer,Central,Mcallen,
2016,Consumer,Central,Mcallen,10.225800000000007
2017,Consumer,Central,Mcallen,
2014,Consumer,Central,Midland,338.21459999999996
2015,Consumer,Central,Midland,
2016,Consumer,Central,Midland,
2017,Consumer,Central,Midland,
2014,Consumer,Central,Milwaukee,10.784899999999999
2015,Consumer,Central,Milwaukee,378.4316
2016,Consumer,Central,Milwaukee,71.67080000000003
2017,Consumer,Central,Milwaukee,13.665399999999998
2014,Consumer,Central,Minneapolis,4678.409900000001
2015,Consumer,Central,Minneapolis,948.2365999999998
2016,Consumer,Central,Minneapolis,
2017,Consumer,Central,Minneapolis,978.6507999999999
2014,Consumer,Central,Mishawaka,32.39199999999994
2015,Consumer,Central,Mishawaka,
2016,Consumer,Central,Mishawaka,64.19999999999999
2017,Consumer,Central,Mishawaka,
2014,Consumer,Central,Moorhead,
2015,Consumer,Central,Moorhead,
2016,Consumer,Central,Moorhead,
2017,Consumer,Central,Moorhead,19.827599999999997
2014,Consumer,Central,Mount Pleasant,
2015,Consumer,Central,Mount Pleasant,6.170400000000001
2016,Consumer,Central,Mount Pleasant,
2017,Consumer,Central,Mount Pleasant,
2014,Consumer,Central,Naperville,
2015,Consumer,Central,Naperville,-181.08470000000005
2016,Consumer,Central,Naperville,
2017,Consumer,Central,Naperville,83.98599999999999
2014,Consumer,Central,New Albany,
2015,Consumer,Central,New Albany,73.35289999999998
2016,Consumer,Central,New Albany,
2017,Consumer,Central,New Albany,
2014,Consumer,Central,New Castle,
2015,Consumer,Central,New Castle,23.083900000000003
2016,Consumer,Central,New Castle,
2017,Consumer,Central,New Castle,
2014,Consumer,Central,Noblesville,
2015,Consumer,Central,Noblesville,112.20840000000001
2016,Consumer,Central,Noblesville,
2017,Consumer,Central,Noblesville,
2014,Consumer,Central,Norfolk,
2015,Consumer,Central,Norfolk,8.0178
2016,Consumer,Central,Norfolk,
2017,Consumer,Central,Norfolk,
2014,Consumer,Central,Norman,
2015,Consumer,Central,Norman,
2016,Consumer,Central,Norman,244.61549999999988
2017,Consumer,Central,Norman,
2014,Consumer,Central,Oklahoma City,134.3888
2015,Consumer,Central,Oklahoma City,439.31379999999996
2016,Consumer,Central,Oklahoma City,121.61999999999999
2017,Consumer,Central,Oklahoma City,452.5456999999999
2014,Consumer,Central,Omaha,10.0744
2015,Consumer,Central,Omaha,62.0658
2016,Consumer,Central,Omaha,696.2946999999999
2017,Consumer,Central,Omaha,753.2201999999999
2014,Consumer,Central,Oswego,-536.1276
2015,Consumer,Central,Oswego,
2016,Consumer,Central,Oswego,
2017,Consumer,Central,Oswego,
2014,Consumer,Central,Park Ridge,
2015,Consumer,Central,Park Ridge,
2016,Consumer,Central,Park Ridge,
2017,Consumer,Central,Park Ridge,48.551399999999994
2014,Consumer,Central,Pasadena,-11.084800000000005
2015,Consumer,Central,Pasadena,
2016,Consumer,Central,Pasadena,
2017,Consumer,Central,Pasadena,-22.788199999999996
2014,Consumer,Central,Pearland,
2015,Consumer,Central,Pearland,
2016,Consumer,Central,Pearland,
2017,Consumer,Central,Pearland,52.917299999999955
2014,Consumer,Central,Peoria,
2015,Consumer,Central,Peoria,
2016,Consumer,Central,Peoria,-6.567000000000002
2017,Consumer,Central,Peoria,
2014,Consumer,Central,Pharr,
2015,Consumer,Central,Pharr,
2016,Consumer,Central,Pharr,
2017,Consumer,Central,Pharr,-21.3264
2014,Consumer,Central,Plano,-373.09159999999997
2015,Consumer,Central,Plano,
2016,Consumer,Central,Plano,
2017,Consumer,Central,Plano,-16.987599999999972
2014,Consumer,Central,Port Arthur,
2015,Consumer,Central,Port Arthur,
2016,Consumer,Central,Port Arthur,11.0288
2017,Consumer,Central,Port Arthur,
2014,Consumer,Central,Portage,6.5120000000000005
2015,Consumer,Central,Portage,
2016,Consumer,Central,Portage,
2017,Consumer,Central,Portage,
2014,Consumer,Central,Quincy,
2015,Consumer,Central,Quincy,4.673999999999987
2016,Consumer,Central,Quincy,-3.2406000000000006
2017,Consumer,Central,Quincy,1.7115
2014,Consumer,Central,Richmond,58.0272
2015,Consumer,Central,Richmond,5.5664
2016,Consumer,Central,Richmond,388.3232
2017,Consumer,Central,Richmond,
2014,Consumer,Central,Rochester,
2015,Consumer,Central,Rochester,
2016,Consumer,Central,Rochester,11.7208
2017,Consumer,Central,Rochester,488.21160000000003
2014,Consumer,Central,Rochester Hills,
2015,Consumer,Central,Rochester Hills,
2016,Consumer,Central,Rochester Hills,
2017,Consumer,Central,Rochester Hills,54.333200000000005
2014,Consumer,Central,Rockford,
2015,Consumer,Central,Rockford,12.874400000000001
2016,Consumer,Central,Rockford,-397.1276
2017,Consumer,Central,Rockford,-53.708800000000025
2014,Consumer,Central,Romeoville,-14.770800000000001
2015,Consumer,Central,Romeoville,
2016,Consumer,Central,Romeoville,
2017,Consumer,Central,Romeoville,
2014,Consumer,Central,Roseville,
2015,Consumer,Central,Roseville,
2016,Consumer,Central,Roseville,
2017,Consumer,Central,Roseville,8.39
2014,Consumer,Central,Round Rock,
2015,Consumer,Central,Round Rock,
2016,Consumer,Central,Round Rock,-747.1021000000002
2017,Consumer,Central,Round Rock,-8.879199999999997
2014,Consumer,Central,Royal Oak,10.7424
2015,Consumer,Central,Royal Oak,6.2208000000000006
2016,Consumer,Central,Royal Oak,
2017,Consumer,Central,Royal Oak,
2014,Consumer,Central,Saginaw,
2015,Consumer,Central,Saginaw,
2016,Consumer,Central,Saginaw,
2017,Consumer,Central,Saginaw,68.8809
2014,Consumer,Central,Saint Charles,5.6644000000000005
2015,Consumer,Central,Saint Charles,
2016,Consumer,Central,Saint Charles,-31.861200000000004
2017,Consumer,Central,Saint Charles,84.4272
2014,Consumer,Central,Saint Louis,43.5981
2015,Consumer,Central,Saint Louis,
2016,Consumer,Central,Saint Louis,
2017,Consumer,Central,Saint Louis,26.7374
2014,Consumer,Central,San Angelo,
2015,Consumer,Central,San Angelo,
2016,Consumer,Central,San Angelo,-49.829999999999984
2017,Consumer,Central,San Angelo,
2014,Consumer,Central,San Antonio,-5674.122900000004
2015,Consumer,Central,San Antonio,-1246.3796000000004
2016,Consumer,Central,San Antonio,-86.5341
2017,Consumer,Central,San Antonio,93.1969
2014,Consumer,Central,Sioux Falls,
2015,Consumer,Central,Sioux Falls,
2016,Consumer,Central,Sioux Falls,
2017,Consumer,Central,Sioux Falls,9.5081
2014,Consumer,Central,Skokie,-16.769599999999997
2015,Consumer,Central,Skokie,
2016,Consumer,Central,Skokie,
2017,Consumer,Central,Skokie,-318.5254
2014,Consumer,Central,South Bend,
2015,Consumer,Central,South Bend,279.5512
2016,Consumer,Central,South Bend,
2017,Consumer,Central,South Bend,
2014,Consumer,Central,Springfield,
2015,Consumer,Central,Springfield,243.86099999999993
2016,Consumer,Central,Springfield,166.7936
2017,Consumer,Central,Springfield,162.20589999999999
2014,Consumer,Central,Sterling Heights,
2015,Consumer,Central,Sterling Heights,
2016,Consumer,Central,Sterling Heights,3.5039999999999996
2017,Consumer,Central,Sterling Heights,
2014,Consumer,Central,Taylor,
2015,Consumer,Central,Taylor,
2016,Consumer,Central,Taylor,33.215599999999995
2017,Consumer,Central,Taylor,
2014,Consumer,Central,Texas City,41.934
2015,Consumer,Central,Texas City,-21.71220000000001
2016,Consumer,Central,Texas City,
2017,Consumer,Central,Texas City,
2014,Consumer,Central,The Colony,
2015,Consumer,Central,The Colony,
2016,Consumer,Central,The Colony,31.658599999999996
2017,Consumer,Central,The Colony,
2014,Consumer,Central,Trenton,
2015,Consumer,Central,Trenton,
2016,Consumer,Central,Trenton,88.4908
2017,Consumer,Central,Trenton,107.6926
2014,Consumer,Central,Tulsa,291.9927
2015,Consumer,Central,Tulsa,7.021800000000001
2016,Consumer,Central,Tulsa,76.168
2017,Consumer,Central,Tulsa,769.4921999999997
2014,Consumer,Central,Tyler,-79.33519999999999
2015,Consumer,Central,Tyler,
2016,Consumer,Central,Tyler,
2017,Consumer,Central,Tyler,-364.37340000000006
2014,Consumer,Central,Urbandale,
2015,Consumer,Central,Urbandale,
2016,Consumer,Central,Urbandale,36.13559999999999
2017,Consumer,Central,Urbandale,21.5824
2014,Consumer,Central,Waco,
2015,Consumer,Central,Waco,
2016,Consumer,Central,Waco,2.396799999999999
2017,Consumer,Central,Waco,-521.5550000000001
2014,Consumer,Central,Waterloo,
2015,Consumer,Central,Waterloo,
2016,Consumer,Central,Waterloo,
2017,Consumer,Central,Waterloo,11.8248
2014,Consumer,Central,Waukesha,
2015,Consumer,Central,Waukesha,
2016,Consumer,Central,Waukesha,14.169999999999998
2017,Consumer,Central,Waukesha,
2014,Consumer,Central,Wausau,90.4306
2015,Consumer,Central,Wausau,
2016,Consumer,Central,Wausau,
2017,Consumer,Central,Wausau,
2014,Consumer,Central,Westland,192.03300000000002
2015,Consumer,Central,Westland,
2016,Consumer,Central,Westland,197.56650000000002
2017,Consumer,Central,Westland,
2014,Consumer,Central,Wheeling,
2015,Consumer,Central,Wheeling,
2016,Consumer,Central,Wheeling,-308.50980000000004
2017,Consumer,Central,Wheeling,15.191999999999979
2014,Consumer,Central,Wichita,
2015,Consumer,Central,Wichita,
2016,Consumer,Central,Wichita,118.56319999999998
2017,Consumer,Central,Wichita,137.151
2014,Consumer,Central,Woodstock,-13.717499999999998
2015,Consumer,Central,Woodstock,
2016,Consumer,Central,Woodstock,
2017,Consumer,Central,Woodstock,
2014,Consumer,East,Akron,9.507600000000004
2015,Consumer,East,Akron,-92.83680000000003
2016,Consumer,East,Akron,
2017,Consumer,East,Akron,-67.6034
2014,Consumer,East,Allentown,
2015,Consumer,East,Allentown,
2016,Consumer,East,Allentown,3.7128000000000014
2017,Consumer,East,Allentown,
2014,Consumer,East,Andover,
2015,Consumer,East,Andover,
2016,Consumer,East,Andover,124.18860000000002
2017,Consumer,East,Andover,
2014,Consumer,East,Auburn,
2015,Consumer,East,Auburn,44.749399999999994
2016,Consumer,East,Auburn,135.49630000000002
2017,Consumer,East,Auburn,
2014,Consumer,East,Baltimore,56.977199999999996
2015,Consumer,East,Baltimore,2.2194000000000007
2016,Consumer,East,Baltimore,91.52879999999998
2017,Consumer,East,Baltimore,452.2894
2014,Consumer,East,Belleville,
2015,Consumer,East,Belleville,
2016,Consumer,East,Belleville,36.473600000000005
2017,Consumer,East,Belleville,148.8892
2014,Consumer,East,Bethlehem,
2015,Consumer,East,Bethlehem,
2016,Consumer,East,Bethlehem,-990.5429999999999
2017,Consumer,East,Bethlehem,
2014,Consumer,East,Bowling Green,19.823999999999998
2015,Consumer,East,Bowling Green,55.54709999999992
2016,Consumer,East,Bowling Green,-4.072200000000002
2017,Consumer,East,Bowling Green,
2014,Consumer,East,Bristol,21.485
2015,Consumer,East,Bristol,
2016,Consumer,East,Bristol,
2017,Consumer,East,Bristol,
2014,Consumer,East,Buffalo,687.1108999999996
2015,Consumer,East,Buffalo,36.70479999999999
2016,Consumer,East,Buffalo,16.703400000000016
2017,Consumer,East,Buffalo,
2014,Consumer,East,Burlington,
2015,Consumer,East,Burlington,178.79999999999998
2016,Consumer,East,Burlington,
2017,Consumer,East,Burlington,196.31599999999997
2014,Consumer,East,Chester,-20.035499999999992
2015,Consumer,East,Chester,
2016,Consumer,East,Chester,
2017,Consumer,East,Chester,
2014,Consumer,East,Cincinnati,4.111899999999996
2015,Consumer,East,Cincinnati,-4.640999999999998
2016,Consumer,East,Cincinnati,22.3632
2017,Consumer,East,Cincinnati,70.41959999999997
2014,Consumer,East,Cleveland,-203.57149999999996
2015,Consumer,East,Cleveland,-187.1828
2016,Consumer,East,Cleveland,-205.1479
2017,Consumer,East,Cleveland,-118.15150000000003
2014,Consumer,East,Clifton,98.58839999999998
2015,Consumer,East,Clifton,
2016,Consumer,East,Clifton,
2017,Consumer,East,Clifton,
2014,Consumer,East,Clinton,
2015,Consumer,East,Clinton,435.0198
2016,Consumer,East,Clinton,-38.31210000000003
2017,Consumer,East,Clinton,11.328800000000001
2014,Consumer,East,Columbia,113.5934
2015,Consumer,East,Columbia,1270.99
2016,Consumer,East,Columbia,640.1885
2017,Consumer,East,Columbia,81.92099999999999
2014,Consumer,East,Columbus,19.430900000000094
2015,Consumer,East,Columbus,13.38089999999999
2016,Consumer,East,Columbus,169.22290000000004
2017,Consumer,East,Columbus,-169.81289999999996
2014,Consumer,East,Concord,
2015,Consumer,East,Concord,49.4714
2016,Consumer,East,Concord,
2017,Consumer,East,Concord,26.598
2014,Consumer,East,Cranston,472.08439999999996
2015,Consumer,East,Cranston,
2016,Consumer,East,Cranston,
2017,Consumer,East,Cranston,48.377100000000006
2014,Consumer,East,Cuyahoga Falls,
2015,Consumer,East,Cuyahoga Falls,
2016,Consumer,East,Cuyahoga Falls,-1.4760000000000004
2017,Consumer,East,Cuyahoga Falls,-12.352
2014,Consumer,East,Dover,26.654799999999994
2015,Consumer,East,Dover,359.4411999999999
2016,Consumer,East,Dover,11.054000000000002
2017,Consumer,East,Dover,
2014,Consumer,East,Dublin,
2015,Consumer,East,Dublin,-365.987
2016,Consumer,East,Dublin,
2017,Consumer,East,Dublin,82.86700000000002
2014,Consumer,East,East Orange,
2015,Consumer,East,East Orange,
2016,Consumer,East,East Orange,160.9451
2017,Consumer,East,East Orange,13.674000000000003
2014,Consumer,East,Everett,312.9472000000001
2015,Consumer,East,Everett,
2016,Consumer,East,Everett,
2017,Consumer,East,Everett,515.8233
2014,Consumer,East,Fairfield,121.04159999999992
2015,Consumer,East,Fairfield,
2016,Consumer,East,Fairfield,213.72899999999998
2017,Consumer,East,Fairfield,246.93019999999984
2014,Consumer,East,Franklin,-130.0104
2015,Consumer,East,Franklin,3.378499999999999
2016,Consumer,East,Franklin,335.3556
2017,Consumer,East,Franklin,
2014,Consumer,East,Freeport,6.036799999999999
2015,Consumer,East,Freeport,101.325
