Acme - Region Master.Region Hierarchy.Sub Region,Acme - Region Master.Region Hierarchy.Region,Acme - Category Master.Category Hierarchy.Category,Acme - Category Master.Category Hierarchy.Sub Category,Acme - Values.AC vs PL % 2019,Acme - Values.AC vs PL % 2020,Acme - Values.AC vs PL % 2021,Acme - Values.2019 Plan,Acme - Values.2020 Plan,Acme - Values.2021 Plan,Acme - Values.2019 Actuals,Acme - Values.2020 Actuals,Acme - Values.2021 Actuals
Pacific,United States,Beverages,Soda,0.025525822110476687,-0.045612737364129775,-0.10987977528096844,43316667.93000004,43871046.01999983,44400739.239999905,44422361.48999981,41869967.51999993,39521995.98999984
APAC,International,Beverages,Tea & Coffee,0.12529825371116685,0.09974366708310892,0.014696666108641983,11475934.319999976,11348429.360000025,10768709.639999943,12913848.85000002,12480363.320000047,10926973.769999936
EMEA,International,Beverages,Tea & Coffee,0.15055047987067535,0.21045049525160828,0.15079418460202085,19258087.470000017,25181942.45,27032024.34999986,22157401.77999996,30481494.709999997,31108296.42000006
Central,United States,Beverages,Tea & Coffee,0.04403421061217334,0.008772357830849741,0.14395192383638625,10661323.400000006,10157458.43000005,11750930.969999945,11130786.360000098,10246563.289999992,13442500.09000001
East,United States,Beverages,Tea & Coffee,-0.04633517038022725,0.1405627335753455,0.33611373264135735,24424341.180000115,19981640.500000034,16908222.45000008,23292635.17000001,22790314.50999987,22591308.210000005
Midwest,United States,Beverages,Tea & Coffee,0.18454203895580776,0.1385020561208168,0.05467717085397454,8186966.550000022,6875323.129999979,10386930.800000018,9697806.050000021,7827569.5199999865,10954858.790000029
Pacific,United States,Beverages,Tea & Coffee,-0.07716256907016171,0.1591465501140787,0.2480575213855478,14685562.619999977,14135834.10000002,12680277.310000017,13552386.880000044,16385503.329999976,15825715.470000023
APAC,International,Water,Mineral Water,0.02686480892376925,0.02421989127854022,0.05729531728142646,28713001.54000004,29830723.08999996,33211101.53999995,29484370.840000033,30553219.959999997,35113942.13999992
EMEA,International,Water,Mineral Water,0.07952994991857038,-0.060954804212540466,-0.0522591757057178,58552045.17000008,69281447.37000003,66894452.75000006,63208686.39000005,65058410.310000256,63398603.78999997
Central,United States,Water,Mineral Water,0.0630254126526234,-0.044207477024898974,0.07599721269806009,25995344.90999998,27641056.269999944,27800490.11000001,27633712.250000004,26419114.90999998,29913249.869999997
East,United States,Water,Mineral Water,0.011454602344181152,-0.07358262739297719,-0.02244418020697765,64713368.280000016,71842445.65999986,69376930.92999987,65454634.17999996,66556089.74999988,67819822.58999991
Midwest,United States,Water,Mineral Water,0.01020753329294082,-0.029809849370374793,0.07342710903985293,22080382.550000012,23025645.030000042,22077299.940000024,22305768.790000007,22339254.020000022,23698372.249999944
Pacific,United States,Water,Mineral Water,0.00824366071871927,-0.012871719370026291,0.015877527405190713,42137836.80000008,43729354.54999996,43646137.22999998,42485206.83000004,43166482.56999998,44339129.97000002
APAC,International,Water,Sparkling Water,0.05301109699463191,0.04107044402464441,0.041041021800641155,4660754.7100000065,4654734.189999999,4862350.430000003,4907826.430000004,4845906.189999992,5061906.25999999
EMEA,International,Water,Sparkling Water,-0.038991893207806536,0.13567985945972869,0.22259507114686328,10783183.769999998,9928792.640000012,10641614.29,10362727.020000005,11275929.830000002,13010385.180000026
Central,United States,Water,Sparkling Water,0.01240978971144161,0.002197713118673534,-0.05433124224674167,4374070.090000006,4721817.380000005,4764781.169999992,4428351.380000013,4732194.580000011,4505904.690000009
East,United States,Water,Sparkling Water,-0.0063955085404835115,-0.0897336054375348,0.2189388654588544,10245599.639999988,13910587.609999996,11673690.29999998,10180073.819999993,12662340.429999996,14229514.81000001
Midwest,United States,Water,Sparkling Water,-0.05507733496914144,0.020205555011510265,0.08531670800827577,4245942.73,4362299.870000008,4223662.379999996,4012087.5199999996,4450442.559999997,4584011.349999995
Pacific,United States,Water,Sparkling Water,0.025216105386702815,0.11832947240523317,-0.16336565530638686,6618951.160000006,6598495.489999999,7630272.639999995,6785855.330000005,7379291.98000001,6383748.150000001
