New Report.CO_DIV_FIP NO,Min(New Report.SHIPMENT_TYPE)
AI/FR/1426/2023,20GP
AI/FR/1429/2023,LCL
AI/FR/1432/2022,LCL
AI/FR/1433/2022,LCL
AI/FR/1438/2022,LCL
AI/FR/1438/2023,LCL
AI/FR/1439/2022,LCL
AI/FR/1440/2023,LCL
AI/FR/1441/2022,LCL
AI/FR/1443/2022,LCL
AI/FR/1443/2024,LCL
AI/FR/1444/2022,LCL
AI/FR/1446/2022,LCL
AI/FR/1447/2022,LCL
AI/FR/1449/2022,LCL
AI/FR/1452/2022,LCL
AI/FR/1453/2022,LCL
AI/FR/1454/2022,LCL
AI/FR/1455/2022,LCL
AI/FR/1456/2022,LCL
AI/FR/1457/2022,LCL
AI/FR/1457/2023,LCL
AI/FR/1458/2022,LCL
AI/FR/1459/2022,LCL
AI/FR/1462/2022,LCL
AI/FR/1466/2022,LCL
AI/FR/1468/2022,LCL
AI/FR/1469/2022,LCL
AI/FR/147/2024,LCL
AI/FR/1470/2022,LCL
AI/FR/1473/2024,LCL
AI/FR/1474/2022,LCL
AI/FR/1475/2022,LCL
AI/FR/1475/2024,LCL
AI/FR/1477/2022,LCL
AI/FR/1479/2022,LCL
AI/FR/1480/2022,LCL
AI/FR/1481/2022,LCL
AI/FR/1483/2024,LCL
AI/FR/1485/2022,LCL
AI/FR/1487/2024,LCL
AI/FR/149/2024,LCL
AI/FR/1493/2023,20GP
AI/FR/1494/2023,LCL
AI/FR/1496/2023,LCL
AI/FR/1497/2023,LCL
AI/FR/150/2024,LCL
AI/FR/1500/2022,LCL
AI/FR/1501/2022,LCL
AI/FR/1504/2022,LCL
AI/FR/1508/2023,LCL
AI/FR/1509/2022,LCL
AI/FR/1512/2022,LCL
AI/FR/1515/2022,LCL
AI/FR/1521/2024,LCL
AI/FR/1536/2024,LCL
AI/FR/1537/2024,LCL
AI/FR/1538/2024,LCL
AI/FR/1540/2022,LCL
AI/FR/1542/2022,LCL
AI/FR/1542/2023,LCL
AI/FR/1542/2024,LCL
AI/FR/1547/2024,LCL
AI/FR/1548/2024,LCL
AI/FR/1549/2022,LCL
AI/FR/1549/2024,LCL
AI/FR/1550/2022,LCL
AI/FR/1551/2023,LCL
AI/FR/1552/2022,LCL
AI/FR/1553/2022,LCL
AI/FR/1566/2022,LCL
AI/FR/1567/2022,LCL
AI/FR/1569/2023,40GP
AI/FR/1570/2023,LCL
AI/FR/1571/2023,LCL
AI/FR/1573/2022,LCL
AI/FR/1573/2023,LCL
AI/FR/1574/2022,LCL
AI/FR/1575/2022,LCL
AI/FR/1576/2023,LCL
AI/FR/1576/2024,LCL
AI/FR/1577/2023,LCL
AI/FR/1583/2023,LCL
AI/FR/1584/2023,LCL
AI/FR/1586/2024,LCL
AI/FR/1587/2023,LCL
AI/FR/1588/2023,LCL
AI/FR/1588/2024,LCL
AI/FR/1589/2023,LCL
AI/FR/1589/2024,LCL
AI/FR/1590/2023,LCL
AI/FR/1591/2023,LCL
AI/FR/1593/2022,LCL
AI/FR/1593/2023,LCL
AI/FR/1597/2022,LCL
AI/FR/1600/2022,LCL
AI/FR/1601/2022,LCL
AI/FR/1602/2022,LCL
AI/FR/1604/2022,20GP
AI/FR/1607/2022,LCL
AI/FR/1608/2022,LCL
AI/FR/1609/2022,LCL
AI/FR/1610/2022,LCL
AI/FR/1610/2023,LCL
AI/FR/1612/2023,LCL
AI/FR/1614/2022,LCL
AI/FR/1615/2022,LCL
AI/FR/1617/2022,LCL
AI/FR/1618/2022,LCL
AI/FR/1618/2023,LCL
AI/FR/1619/2022,LCL
AI/FR/1619/2023,LCL
AI/FR/1623/2022,LCL
AI/FR/1628/2024,LCL
AI/FR/1629/2022,LCL
AI/FR/1629/2024,LCL
AI/FR/163/2024,LCL
AI/FR/1630/2022,LCL
AI/FR/1630/2024,LCL
AI/FR/1634/2022,LCL
AI/FR/1635/2022,LCL
AI/FR/1635/2023,LCL
AI/FR/1635/2024,LCL
AI/FR/1643/2022,LCL
AI/FR/1644/2022,LCL
AI/FR/1646/2022,40GP
AI/FR/1648/2022,LCL
AI/FR/1648/2023,LCL
AI/FR/1649/2024,LCL
AI/FR/1650/2022,LCL
AI/FR/1651/2023,LCL
AI/FR/1652/2023,LCL
AI/FR/1653/2024,LCL
AI/FR/1654/2023,LCL
AI/FR/1656/2023,LCL
AI/FR/1657/2023,LCL
AI/FR/1660/2023,40GP
AI/FR/1662/2022,LCL
AI/FR/1662/2023,LCL
AI/FR/1663/2023,LCL
AI/FR/1667/2023,LCL
AI/FR/1668/2023,LCL
AI/FR/1669/2023,LCL
AI/FR/1673/2022,LCL
AI/FR/1676/2022,LCL
AI/FR/1676/2023,LCL
AI/FR/1679/2022,LCL
AI/FR/168/2024,LCL
AI/FR/1680/2022,LCL
AI/FR/1680/2023,LCL
AI/FR/1698/2022,LCL
AI/FR/1703/2023,LCL
AI/FR/1704/2022,LCL
AI/FR/1704/2023,LCL
AI/FR/1705/2022,LCL
AI/FR/1705/2023,LCL
AI/FR/1711/2022,LCL
AI/FR/1723/2023,LCL
AI/FR/1726/2022,LCL
AI/FR/1732/2022,40GP
AI/FR/1734/2022,LCL
AI/FR/1739/2023,LCL
AI/FR/1743/2022,LCL
AI/FR/1743/2023,LCL
AI/FR/1744/2022,LCL
AI/FR/1745/2024,LCL
AI/FR/1746/2022,LCL
AI/FR/1746/2024,LCL
AI/FR/1747/2022,LCL
AI/FR/1748/2022,LCL
AI/FR/1749/2022,LCL
AI/FR/1750/2022,LCL
AI/FR/1751/2022,LCL
AI/FR/1752/2022,LCL
AI/FR/1755/2023,20GP
AI/FR/1758/2024,LCL
AI/FR/1759/2024,LCL
AI/FR/1760/2024,LCL
AI/FR/1761/2024,LCL
AI/FR/1762/2024,LCL
AI/FR/1765/2023,LCL
AI/FR/1766/2022,LCL
AI/FR/1767/2024,LCL
AI/FR/1768/2024,LCL
AI/FR/1769/2023,LCL
AI/FR/1771/2024,LCL
AI/FR/1772/2022,LCL
AI/FR/1772/2023,LCL
AI/FR/1772/2024,LCL
AI/FR/1773/2022,LCL
AI/FR/1773/2024,LCL
AI/FR/1774/2023,LCL
AI/FR/1776/2022,LCL
AI/FR/1780/2022,LCL
AI/FR/1781/2022,LCL
AI/FR/1782/2022,LCL
AI/FR/1783/2022,LCL
AI/FR/1787/2023,LCL
AI/FR/1788/2022,LCL
AI/FR/1788/2023,LCL
AI/FR/1790/2022,LCL
AI/FR/1790/2023,LCL
AI/FR/1791/2023,LCL
AI/FR/1792/2022,LCL
AI/FR/1800/2022,LCL
AI/FR/1800/2024,LCL
AI/FR/1801/2023,LCL
AI/FR/1802/2023,LCL
AI/FR/1806/2022,LCL
AI/FR/1806/2023,LCL
AI/FR/1808/2023,LCL
AI/FR/1809/2023,LCL
AI/FR/1810/2023,LCL
AI/FR/1815/2022,LCL
AI/FR/1815/2023,LCL
AI/FR/1816/2023,LCL
AI/FR/1819/2022,LCL
AI/FR/1820/2023,LCL
AI/FR/1825/2022,LCL
AI/FR/1825/2024,LCL
AI/FR/1826/2024,LCL
AI/FR/1827/2024,LCL
AI/FR/1829/2022,LCL
AI/FR/1830/2022,LCL
AI/FR/1831/2022,LCL
AI/FR/1831/2024,LCL
AI/FR/1833/2024,LCL
AI/FR/1834/2022,LCL
AI/FR/1837/2022,LCL
AI/FR/1838/2022,LCL
AI/FR/1839/2022,40GP
AI/FR/1840/2022,LCL
AI/FR/1841/2022,LCL
AI/FR/1842/2023,LCL
AI/FR/1844/2022,20GP
AI/FR/1848/2022,40GP
AI/FR/1850/2022,LCL
AI/FR/1854/2023,LCL
AI/FR/1855/2022,LCL
AI/FR/1858/2023,LCL
AI/FR/1859/2023,20GP
AI/FR/1867/2023,LCL
AI/FR/187/2024,LCL
AI/FR/1871/2023,LCL
AI/FR/1872/2022,LCL
AI/FR/1879/2024,LCL
AI/FR/1880/2023,LCL
AI/FR/1881/2022,LCL
AI/FR/1882/2022,LCL
AI/FR/1888/2022,LCL
AI/FR/189/2024,LCL
AI/FR/1892/2023,LCL
AI/FR/1893/2023,LCL
AI/FR/1897/2024,LCL
AI/FR/1898/2022,LCL
AI/FR/1899/2024,LCL
AI/FR/190/2024,LCL
AI/FR/1901/2022,LCL
AI/FR/1901/2024,LCL
AI/FR/1903/2022,LCL
AI/FR/1904/2022,LCL
AI/FR/1905/2022,LCL
AI/FR/1907/2022,LCL
AI/FR/1908/2022,LCL
AI/FR/191/2024,LCL
AI/FR/1913/2022,LCL
AI/FR/1913/2024,LCL
AI/FR/1914/2024,LCL
AI/FR/1915/2022,LCL
AI/FR/1915/2024,LCL
AI/FR/1916/2024,LCL
AI/FR/192/2024,LCL
AI/FR/1920/2022,LCL
AI/FR/1921/2023,LCL
AI/FR/1922/2022,LCL
AI/FR/1923/2023,LCL
AI/FR/1925/2024,LCL
AI/FR/1926/2023,LCL
AI/FR/1926/2024,LCL
AI/FR/1927/2024,LCL
AI/FR/1928/2022,40GP
AI/FR/1928/2023,LCL
AI/FR/1928/2024,LCL
AI/FR/1929/2023,LCL
AI/FR/193/2024,LCL
AI/FR/1930/2023,40GP
AI/FR/1933/2022,LCL
AI/FR/1936/2022,LCL
AI/FR/1942/2023,LCL
AI/FR/1943/2022,LCL
AI/FR/1944/2022,LCL
AI/FR/1946/2024,LCL
AI/FR/1948/2024,LCL
AI/FR/1949/2024,LCL
AI/FR/195/2024,LCL
AI/FR/1950/2024,LCL
AI/FR/1959/2022,40GP
AI/FR/196/2023,LCL
AI/FR/1962/2022,LCL
AI/FR/1962/2024,LCL
AI/FR/1963/2022,LCL
AI/FR/1964/2022,LCL
AI/FR/1967/2023,LCL
AI/FR/1968/2022,LCL
AI/FR/197/2023,LCL
AI/FR/1970/2022,LCL
AI/FR/1971/2022,LCL
AI/FR/1971/2023,LCL
AI/FR/1972/2023,LCL
AI/FR/1973/2023,LCL
AI/FR/1974/2022,LCL
AI/FR/1975/2022,LCL
AI/FR/1975/2024,LCL
AI/FR/1976/2023,LCL
AI/FR/1976/2024,LCL
AI/FR/1977/2023,LCL
AI/FR/1977/2024,LCL
AI/FR/198/2023,LCL
AI/FR/198/2024,LCL
AI/FR/1985/2024,LCL
AI/FR/1986/2024,LCL
AI/FR/1987/2022,LCL
AI/FR/1987/2023,LCL
AI/FR/1988/2022,LCL
AI/FR/1989/2022,LCL
AI/FR/199/2023,LCL
AI/FR/199/2024,LCL
AI/FR/1990/2022,LCL
AI/FR/1993/2024,LCL
AI/FR/1996/2024,LCL
AI/FR/1997/2024,LCL
AI/FR/2/2023,LCL
AI/FR/200/2023,LCL
AI/FR/2000/2024,LCL
AI/FR/20001/2021,LCL
AI/FR/20001/2022,LCL
AI/FR/20002/2021,ROAD
AI/FR/20002/2022,LCL
AI/FR/20003/2021,LCL
AI/FR/20003/2022,LCL
AI/FR/20004/2021,LCL
AI/FR/20004/2022,LCL
AI/FR/20005/2021,LCL
AI/FR/20006/2021,LCL
AI/FR/20006/2022,LCL
AI/FR/20007/2021,LCL
AI/FR/20007/2022,LCL
AI/FR/20008/2021,ROAD
AI/FR/20008/2022,LCL
AI/FR/20009/2021,LCL
AI/FR/20009/2022,LCL
AI/FR/2001/2022,LCL
AI/FR/20010/2021,LCL
AI/FR/20010/2022,LCL
AI/FR/20011/2021,LCL
AI/FR/20011/2022,LCL
AI/FR/20012/2021,LCL
AI/FR/20012/2022,LCL
AI/FR/20013/2021,ROAD
AI/FR/20014/2021,LCL
AI/FR/20014/2022,LCL
AI/FR/20015/2021,LCL
AI/FR/20015/2022,LCL
AI/FR/20016/2021,LCL
AI/FR/20016/2022,LCL
AI/FR/20017/2021,LCL
AI/FR/20017/2022,LCL
AI/FR/20018/2021,LCL
AI/FR/20018/2022,LCL
AI/FR/20019/2021,LCL
AI/FR/20019/2022,LCL
AI/FR/2002/2022,LCL
AI/FR/20020/2021,LCL
AI/FR/20020/2022,ROAD
AI/FR/20021/2021,LCL
AI/FR/20021/2022,LCL
AI/FR/20022/2021,LCL
AI/FR/20022/2022,LCL
AI/FR/20023/2021,LCL
AI/FR/20023/2022,LCL
AI/FR/20024/2021,LCL
AI/FR/20024/2022,LCL
AI/FR/20025/2021,LCL
AI/FR/20025/2022,LCL
AI/FR/20026/2021,LCL
AI/FR/20026/2022,LCL
AI/FR/20027/2021,LCL
AI/FR/20027/2022,LCL
AI/FR/20028/2021,LCL
AI/FR/20028/2022,LCL
AI/FR/20029/2022,LCL
AI/FR/2003/2022,LCL
AI/FR/20030/2021,LCL
AI/FR/20030/2022,LCL
AI/FR/20031/2021,LCL
AI/FR/20031/2022,LCL
AI/FR/20032/2021,LCL
AI/FR/20032/2022,LCL
AI/FR/20033/2021,LCL
AI/FR/20033/2022,LCL
AI/FR/20034/2021,LCL
AI/FR/20035/2021,LCL
AI/FR/20035/2022,LCL
AI/FR/20036/2021,ROAD
AI/FR/20036/2022,LCL
AI/FR/20037/2021,LCL
AI/FR/20037/2022,LCL
AI/FR/20038/2022,LCL
AI/FR/20039/2022,LCL
AI/FR/20040/2021,LCL
AI/FR/20040/2022,LCL
AI/FR/20041/2021,LCL
AI/FR/20041/2022,LCL
AI/FR/20042/2021,LCL
AI/FR/20042/2022,LCL
AI/FR/20043/2021,ROAD
AI/FR/20044/2021,LCL
AI/FR/20044/2022,LCL
AI/FR/20045/2021,LCL
AI/FR/20045/2022,LCL
AI/FR/20046/2021,LCL
AI/FR/20046/2022,LCL
AI/FR/20047/2021,LCL
AI/FR/20047/2022,LCL
AI/FR/20048/2021,LCL
AI/FR/20048/2022,LCL
AI/FR/20049/2021,LCL
AI/FR/20049/2022,LCL
AI/FR/20050/2021,LCL
AI/FR/20050/2022,LCL
AI/FR/20051/2021,LCL
AI/FR/20051/2022,LCL
AI/FR/20052/2021,LCL
AI/FR/20052/2022,LCL
AI/FR/20053/2021,LCL
AI/FR/20053/2022,LCL
AI/FR/20054/2021,LCL
AI/FR/20054/2022,ROAD
AI/FR/20055/2021,LCL
AI/FR/20055/2022,LCL
AI/FR/20056/2021,LCL
AI/FR/20056/2022,LCL
AI/FR/20057/2021,LCL
AI/FR/20057/2022,LCL
AI/FR/20058/2021,LCL
AI/FR/20058/2022,LCL
AI/FR/20059/2021,LCL
AI/FR/20059/2022,LCL
AI/FR/2006/2022,LCL
AI/FR/2006/2024,LCL
AI/FR/20060/2021,LCL
AI/FR/20060/2022,LCL
AI/FR/20061/2021,LCL
AI/FR/20061/2022,LCL
AI/FR/20062/2021,LCL
AI/FR/20062/2022,ROAD
AI/FR/20063/2021,LCL
AI/FR/20063/2022,ROAD
AI/FR/20064/2021,LCL
AI/FR/20064/2022,LCL
AI/FR/20065/2021,LCL
AI/FR/20065/2022,LCL
AI/FR/20066/2021,LCL
AI/FR/20066/2022,LCL
AI/FR/20067/2021,LCL
AI/FR/20067/2022,ROAD
AI/FR/20068/2021,LCL
AI/FR/20068/2022,LCL
AI/FR/20069/2021,LCL
AI/FR/20069/2022,LCL
AI/FR/2007/2024,LCL
AI/FR/20070/2021,LCL
AI/FR/20070/2022,LCL
AI/FR/20071/2021,LCL
AI/FR/20071/2022,LCL
AI/FR/20072/2021,LCL
AI/FR/20072/2022,LCL
AI/FR/20073/2021,LCL
AI/FR/20073/2022,LCL
AI/FR/20074/2021,LCL
AI/FR/20074/2022,LCL
AI/FR/20075/2021,LCL
AI/FR/20075/2022,LCL
AI/FR/20076/2021,LCL
AI/FR/20076/2022,LCL
AI/FR/20077/2021,LCL
AI/FR/20077/2022,LCL
AI/FR/20078/2021,LCL
AI/FR/20078/2022,LCL
AI/FR/20079/2021,LCL
AI/FR/20079/2022,LCL
AI/FR/2008/2022,LCL
AI/FR/20080/2021,LCL
AI/FR/20080/2022,LCL
AI/FR/20081/2021,LCL
AI/FR/20081/2022,LCL
AI/FR/20082/2022,LCL
AI/FR/20083/2021,LCL
AI/FR/20083/2022,LCL
AI/FR/20084/2021,LCL
AI/FR/20084/2022,LCL
AI/FR/20085/2021,LCL
AI/FR/20085/2022,LCL
AI/FR/20086/2021,LCL
AI/FR/20086/2022,LCL
AI/FR/20087/2021,LCL
AI/FR/20087/2022,LCL
AI/FR/20088/2021,LCL
AI/FR/20088/2022,LCL
AI/FR/20089/2021,LCL
AI/FR/20089/2022,LCL
AI/FR/2009/2024,ROAD
AI/FR/20090/2021,LCL
AI/FR/20090/2022,LCL
AI/FR/20091/2021,LCL
AI/FR/20091/2022,LCL
AI/FR/20092/2021,LCL
AI/FR/20092/2022,LCL
AI/FR/20093/2021,LCL
AI/FR/20093/2022,LCL
AI/FR/20094/2021,LCL
AI/FR/20094/2022,LCL
AI/FR/20095/2021,LCL
AI/FR/20095/2022,LCL
AI/FR/20096/2021,LCL
AI/FR/20096/2022,LCL
AI/FR/20097/2021,LCL
AI/FR/20097/2022,LCL
AI/FR/20098/2021,LCL
AI/FR/20098/2022,LCL
AI/FR/20099/2021,LCL
AI/FR/20099/2022,LCL
AI/FR/2010/2024,LCL
AI/FR/20100/2021,LCL
AI/FR/20100/2022,LCL
AI/FR/20101/2021,LCL
AI/FR/20101/2022,LCL
AI/FR/20102/2021,LCL
AI/FR/20102/2022,LCL
AI/FR/20103/2021,LCL
AI/FR/20103/2022,LCL
AI/FR/20104/2021,LCL
AI/FR/20104/2022,LCL
AI/FR/20105/2021,LCL
AI/FR/20105/2022,LCL
AI/FR/20106/2021,LCL
AI/FR/20106/2022,LCL
AI/FR/20107/2021,LCL
AI/FR/20107/2022,LCL
AI/FR/20108/2021,LCL
AI/FR/20108/2022,LCL
AI/FR/20109/2021,LCL
AI/FR/20109/2022,LCL
AI/FR/20110/2021,LCL
AI/FR/20110/2022,LCL
AI/FR/20111/2021,LCL
AI/FR/20111/2022,LCL
AI/FR/20112/2021,LCL
AI/FR/20112/2022,LCL
AI/FR/20113/2021,LCL
AI/FR/20113/2022,LCL
AI/FR/20114/2021,LCL
AI/FR/20114/2022,LCL
AI/FR/20115/2021,LCL
AI/FR/20115/2022,LCL
AI/FR/20116/2021,LCL
AI/FR/20116/2022,LCL
AI/FR/20117/2021,LCL
AI/FR/20118/2021,LCL
AI/FR/20119/2021,LCL
AI/FR/20119/2022,LCL
AI/FR/20120/2021,LCL
AI/FR/20120/2022,LCL
AI/FR/20121/2022,ROAD
AI/FR/20122/2021,ROAD
AI/FR/20122/2022,LCL
AI/FR/20123/2021,LCL
AI/FR/20123/2022,LCL
AI/FR/20124/2021,LCL
AI/FR/20124/2022,LCL
AI/FR/20125/2021,LCL
AI/FR/20125/2022,LCL
AI/FR/20126/2021,LCL
AI/FR/20126/2022,LCL
AI/FR/20127/2021,LCL
AI/FR/20127/2022,LCL
AI/FR/20129/2021,ROAD
AI/FR/20129/2022,LCL
AI/FR/20130/2021,LCL
AI/FR/20131/2021,LCL
AI/FR/20132/2022,LCL
AI/FR/20133/2021,LCL
AI/FR/20133/2022,LCL
AI/FR/20134/2021,LCL
AI/FR/20134/2022,LCL
AI/FR/20135/2021,LCL
AI/FR/20135/2022,LCL
AI/FR/20136/2021,LCL
AI/FR/20136/2022,LCL
AI/FR/20137/2021,LCL
AI/FR/20137/2022,LCL
AI/FR/20138/2021,LCL
AI/FR/20138/2022,LCL
AI/FR/20139/2021,LCL
AI/FR/20139/2022,LCL
AI/FR/2014/2024,LCL
AI/FR/20140/2021,LCL
AI/FR/20140/2022,LCL
AI/FR/20141/2021,LCL
AI/FR/20141/2022,LCL
AI/FR/20142/2021,LCL
AI/FR/20142/2022,LCL
AI/FR/20143/2021,LCL
AI/FR/20143/2022,LCL
AI/FR/20144/2021,LCL
AI/FR/20144/2022,LCL
AI/FR/20145/2021,LCL
AI/FR/20145/2022,LCL
AI/FR/20146/2021,LCL
AI/FR/20146/2022,LCL
AI/FR/20147/2021,LCL
AI/FR/20147/2022,LCL
AI/FR/20148/2021,LCL
AI/FR/20148/2022,LCL
AI/FR/20149/2022,LCL
AI/FR/2015/2022,LCL
AI/FR/20150/2021,ROAD
AI/FR/20150/2022,LCL
AI/FR/20151/2021,LCL
AI/FR/20151/2022,LCL
AI/FR/20152/2021,LCL
AI/FR/20153/2021,LCL
AI/FR/20154/2021,ROAD
AI/FR/20154/2022,LCL
AI/FR/20155/2021,LCL
AI/FR/20155/2022,LCL
AI/FR/20156/2021,LCL
AI/FR/20156/2022,LCL
AI/FR/20157/2021,LCL
AI/FR/20157/2022,LCL
AI/FR/20158/2021,LCL
AI/FR/20158/2022,LCL
AI/FR/20159/2021,LCL
AI/FR/20159/2022,LCL
AI/FR/20160/2021,LCL
AI/FR/20160/2022,LCL
AI/FR/20161/2021,LCL
AI/FR/20161/2022,LCL
AI/FR/20162/2021,LCL
AI/FR/20162/2022,LCL
AI/FR/20163/2022,LCL
AI/FR/20164/2021,LCL
AI/FR/20164/2022,LCL
AI/FR/20165/2021,LCL
AI/FR/20165/2022,LCL
AI/FR/20166/2021,LCL
AI/FR/20166/2022,LCL
AI/FR/20167/2021,LCL
AI/FR/20167/2022,LCL
AI/FR/20168/2021,ROAD
AI/FR/20168/2022,LCL
AI/FR/20169/2021,LCL
AI/FR/20169/2022,ROAD
AI/FR/2017/2022,LCL
AI/FR/20170/2021,LCL
AI/FR/20170/2022,LCL
AI/FR/20171/2021,LCL
AI/FR/20171/2022,LCL
AI/FR/20172/2021,LCL
AI/FR/20172/2022,LCL
AI/FR/20173/2021,LCL
AI/FR/20173/2022,LCL
AI/FR/20174/2021,LCL
AI/FR/20174/2022,LCL
AI/FR/20175/2021,LCL
AI/FR/20175/2022,LCL
AI/FR/20176/2021,LCL
AI/FR/20176/2022,LCL
AI/FR/20177/2021,LCL
AI/FR/20177/2022,LCL
AI/FR/20178/2022,LCL
AI/FR/20179/2021,LCL
AI/FR/20179/2022,ROAD
AI/FR/20180/2021,LCL
AI/FR/20180/2022,LCL
AI/FR/20181/2021,LCL
AI/FR/20181/2022,LCL
AI/FR/20182/2021,LCL
AI/FR/20182/2022,ROAD
AI/FR/20184/2021,LCL
AI/FR/20184/2022,LCL
AI/FR/20185/2022,LCL
AI/FR/20186/2021,LCL
AI/FR/20186/2022,LCL
AI/FR/20187/2021,LCL
AI/FR/20187/2022,LCL
AI/FR/20188/2021,LCL
AI/FR/20188/2022,LCL
AI/FR/20189/2021,LCL
AI/FR/20189/2022,LCL
AI/FR/20190/2021,LCL
AI/FR/20191/2021,LCL
AI/FR/20192/2021,LCL
AI/FR/20193/2021,LCL
AI/FR/20193/2022,LCL
AI/FR/20194/2022,LCL
AI/FR/20195/2021,LCL
AI/FR/20195/2022,LCL
AI/FR/20196/2021,LCL
AI/FR/20196/2022,LCL
AI/FR/20197/2021,LCL
AI/FR/20197/2022,LCL
AI/FR/20198/2021,LCL
AI/FR/20198/2022,LCL
AI/FR/20199/2021,LCL
AI/FR/20199/2022,ROAD
AI/FR/202/2023,LCL
AI/FR/20200/2021,LCL
AI/FR/20200/2022,LCL
AI/FR/20201/2021,LCL
AI/FR/20201/2022,LCL
AI/FR/20202/2021,ROAD
AI/FR/20202/2022,LCL
AI/FR/20203/2021,LCL
AI/FR/20203/2022,LCL
AI/FR/20204/2021,LCL
AI/FR/20204/2022,LCL
AI/FR/20205/2021,LCL
AI/FR/20205/2022,LCL
AI/FR/20206/2021,LCL
AI/FR/20206/2022,LCL
AI/FR/20207/2021,LCL
AI/FR/20207/2022,LCL
AI/FR/20208/2021,LCL
AI/FR/20208/2022,LCL
AI/FR/20209/2021,LCL
AI/FR/20209/2022,LCL
AI/FR/2021/2024,LCL
AI/FR/20210/2021,ROAD
AI/FR/20210/2022,LCL
AI/FR/20211/2021,LCL
AI/FR/20211/2022,LCL
