Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.City,Orders.Category,Sum(Orders.Profit),Sum(Orders.Quantity)
2016,Central,Aurora,Office Supplies,74.8967,20
2017,Central,Aurora,Office Supplies,-43.10400000000007,29
2014,Central,Aurora,Technology,3.8272000000000013,4
2015,Central,Aurora,Technology,,
2016,Central,Aurora,Technology,-0.6265000000000072,7
2017,Central,Aurora,Technology,252.99339999999984,5
2014,Central,Austin,Furniture,,
2015,Central,Austin,Furniture,-2.569800000000029,1
2016,Central,Austin,Furniture,-24.84299999999996,7
2017,Central,Austin,Furniture,-6.996499999999999,1
2014,Central,Austin,Office Supplies,,
2015,Central,Austin,Office Supplies,77.05959999999995,24
2016,Central,Austin,Office Supplies,-46.03800000000017,22
2017,Central,Austin,Office Supplies,-92.03150000000002,47
2014,Central,Austin,Technology,265.4232,6
2015,Central,Austin,Technology,6.430800000000001,4
2016,Central,Austin,Technology,,
2017,Central,Austin,Technology,-196.82860000000028,19
2014,Central,Baytown,Office Supplies,,
2015,Central,Baytown,Office Supplies,3.6288,2
2016,Central,Baytown,Office Supplies,,
2017,Central,Baytown,Office Supplies,,
2014,Central,Beaumont,Furniture,-2.587200000000001,7
2015,Central,Beaumont,Furniture,,
2016,Central,Beaumont,Furniture,,
2017,Central,Beaumont,Furniture,,
2014,Central,Beaumont,Office Supplies,-17.248000000000008,5
2015,Central,Beaumont,Office Supplies,,
2016,Central,Beaumont,Office Supplies,,
2017,Central,Beaumont,Office Supplies,0.9575999999999993,2
2014,Central,Beaumont,Technology,77.99399999999999,7
2015,Central,Beaumont,Technology,,
2016,Central,Beaumont,Technology,,
2017,Central,Beaumont,Technology,,
2014,Central,Bedford,Office Supplies,,
2015,Central,Bedford,Office Supplies,6.811999999999999,4
2016,Central,Bedford,Office Supplies,,
2017,Central,Bedford,Office Supplies,-9.630400000000003,19
2014,Central,Bedford,Technology,,
2015,Central,Bedford,Technology,,
2016,Central,Bedford,Technology,,
2017,Central,Bedford,Technology,13.438599999999994,2
2014,Central,Bloomington,Furniture,-407.68200000000013,6
2015,Central,Bloomington,Furniture,-19.737199999999994,2
2016,Central,Bloomington,Furniture,21.751499999999986,3
2017,Central,Bloomington,Furniture,,
2014,Central,Bloomington,Office Supplies,123.26379999999999,25
2015,Central,Bloomington,Office Supplies,-17.608200000000007,12
2016,Central,Bloomington,Office Supplies,,
2017,Central,Bloomington,Office Supplies,5.4336,4
2014,Central,Bloomington,Technology,,
2015,Central,Bloomington,Technology,,
2016,Central,Bloomington,Technology,37.757999999999996,3
2017,Central,Bloomington,Technology,7.465499999999999,3
2014,Central,Bolingbrook,Office Supplies,-16.467000000000002,5
2015,Central,Bolingbrook,Office Supplies,-4.898000000000005,16
2016,Central,Bolingbrook,Office Supplies,,
2017,Central,Bolingbrook,Office Supplies,,
2014,Central,Bolingbrook,Technology,,
2015,Central,Bolingbrook,Technology,,
2016,Central,Bolingbrook,Technology,,
2017,Central,Bolingbrook,Technology,16.703999999999986,2
2014,Central,Broken Arrow,Furniture,,
2015,Central,Broken Arrow,Furniture,,
2016,Central,Broken Arrow,Furniture,350.427,7
2017,Central,Broken Arrow,Furniture,,
2014,Central,Broken Arrow,Office Supplies,,
2015,Central,Broken Arrow,Office Supplies,,
2016,Central,Broken Arrow,Office Supplies,11.3912,4
2017,Central,Broken Arrow,Office Supplies,,
2014,Central,Broken Arrow,Technology,,
2015,Central,Broken Arrow,Technology,213.70440000000002,6
2016,Central,Broken Arrow,Technology,,
2017,Central,Broken Arrow,Technology,,
2014,Central,Brownsville,Furniture,-9.092999999999996,7
2015,Central,Brownsville,Furniture,,
2016,Central,Brownsville,Furniture,,
2017,Central,Brownsville,Furniture,-14.458800000000025,2
2014,Central,Brownsville,Office Supplies,137.79219999999998,10
2015,Central,Brownsville,Office Supplies,,
2016,Central,Brownsville,Office Supplies,,
2017,Central,Brownsville,Office Supplies,-0.34880000000000033,1
2014,Central,Brownsville,Technology,88.18039999999998,7
2015,Central,Brownsville,Technology,,
2016,Central,Brownsville,Technology,,
2017,Central,Brownsville,Technology,,
2014,Central,Bryan,Furniture,,
2015,Central,Bryan,Furniture,,
2016,Central,Bryan,Furniture,-143.43099999999998,5
2017,Central,Bryan,Furniture,,
2014,Central,Bryan,Office Supplies,,
2015,Central,Bryan,Office Supplies,,
2016,Central,Bryan,Office Supplies,-35.81760000000001,7
2017,Central,Bryan,Office Supplies,-34.46300000000001,15
2014,Central,Buffalo Grove,Furniture,-184.83660000000003,3
2015,Central,Buffalo Grove,Furniture,,
2016,Central,Buffalo Grove,Furniture,,
2017,Central,Buffalo Grove,Furniture,,
2014,Central,Buffalo Grove,Technology,95.18879999999997,7
2015,Central,Buffalo Grove,Technology,,
2016,Central,Buffalo Grove,Technology,,
2017,Central,Buffalo Grove,Technology,,
2014,Central,Burlington,Office Supplies,,
2015,Central,Burlington,Office Supplies,,
2016,Central,Burlington,Office Supplies,,
2017,Central,Burlington,Office Supplies,26.67139999999999,9
2014,Central,Canton,Furniture,,
2015,Central,Canton,Furniture,,
2016,Central,Canton,Furniture,,
2017,Central,Canton,Furniture,11.076,2
2014,Central,Canton,Office Supplies,,
2015,Central,Canton,Office Supplies,,
2016,Central,Canton,Office Supplies,,
2017,Central,Canton,Office Supplies,138.2016,11
2014,Central,Carol Stream,Furniture,,
2015,Central,Carol Stream,Furniture,-98.63420000000005,8
2016,Central,Carol Stream,Furniture,,
2017,Central,Carol Stream,Furniture,,
2014,Central,Carol Stream,Office Supplies,,
2015,Central,Carol Stream,Office Supplies,58.76589999999992,10
2016,Central,Carol Stream,Office Supplies,,
2017,Central,Carol Stream,Office Supplies,,
2014,Central,Carrollton,Furniture,-6.9102,3
2015,Central,Carrollton,Furniture,,
2016,Central,Carrollton,Furniture,,
2017,Central,Carrollton,Furniture,-13.992999999999999,2
2014,Central,Carrollton,Office Supplies,,
2015,Central,Carrollton,Office Supplies,-563.2456000000002,17
2016,Central,Carrollton,Office Supplies,3.6288,2
2017,Central,Carrollton,Office Supplies,8.814199999999992,12
2014,Central,Carrollton,Technology,25.596799999999998,2
2015,Central,Carrollton,Technology,,
2016,Central,Carrollton,Technology,78.88910000000001,11
2017,Central,Carrollton,Technology,-2.9940000000000015,1
2014,Central,Cedar Hill,Office Supplies,2.477999999999999,3
2015,Central,Cedar Hill,Office Supplies,,
2016,Central,Cedar Hill,Office Supplies,,
2017,Central,Cedar Hill,Office Supplies,40.353599999999986,3
2014,Central,Cedar Rapids,Technology,,
2015,Central,Cedar Rapids,Technology,,
2016,Central,Cedar Rapids,Technology,80.73599999999998,3
2017,Central,Cedar Rapids,Technology,,
2014,Central,Champaign,Furniture,,
2015,Central,Champaign,Furniture,-182.35200000000003,5
2016,Central,Champaign,Furniture,,
2017,Central,Champaign,Furniture,,
2014,Central,Chicago,Furniture,-396.6562000000001,33
2015,Central,Chicago,Furniture,-214.75920000000005,49
2016,Central,Chicago,Furniture,-975.6068,68
2017,Central,Chicago,Furniture,-1929.4441000000002,81
2014,Central,Chicago,Office Supplies,-600.4914000000002,169
2015,Central,Chicago,Office Supplies,-968.3234000000002,95
2016,Central,Chicago,Office Supplies,-154.8310000000002,175
2017,Central,Chicago,Office Supplies,-4506.1836,261
2014,Central,Chicago,Technology,845.4808999999996,47
2015,Central,Chicago,Technology,1177.5370999999998,45
2016,Central,Chicago,Technology,334.21159999999975,57
2017,Central,Chicago,Technology,734.4973,52
2014,Central,College Station,Furniture,,
2015,Central,College Station,Furniture,,
2016,Central,College Station,Furniture,,
2017,Central,College Station,Furniture,-53.270399999999995,3
2014,Central,College Station,Office Supplies,,
2015,Central,College Station,Office Supplies,,
2016,Central,College Station,Office Supplies,,
2017,Central,College Station,Office Supplies,-64.352,16
2014,Central,Columbia,Furniture,68.49289999999999,4
2015,Central,Columbia,Furniture,,
2016,Central,Columbia,Furniture,,
2017,Central,Columbia,Furniture,,
2014,Central,Columbia,Office Supplies,49.8734,17
2015,Central,Columbia,Office Supplies,,
2016,Central,Columbia,Office Supplies,751.7601000000001,7
2017,Central,Columbia,Office Supplies,,
2014,Central,Columbia,Technology,16.160200000000003,7
2015,Central,Columbia,Technology,,
2016,Central,Columbia,Technology,220.48530000000002,3
2017,Central,Columbia,Technology,,
2014,Central,Columbus,Furniture,,
2015,Central,Columbus,Furniture,394.212,7
2016,Central,Columbus,Furniture,,
2017,Central,Columbus,Furniture,29.461499999999997,6
2014,Central,Columbus,Office Supplies,35.663599999999995,2
2015,Central,Columbus,Office Supplies,98.36149999999998,14
2016,Central,Columbus,Office Supplies,180.36449999999996,18
2017,Central,Columbus,Office Supplies,1176.6123000000002,43
2014,Central,Columbus,Technology,0.891,2
2015,Central,Columbus,Technology,29.248999999999974,7
2016,Central,Columbus,Technology,,
2017,Central,Columbus,Technology,577.6692,15
2014,Central,Conroe,Office Supplies,,
2015,Central,Conroe,Office Supplies,,
2016,Central,Conroe,Office Supplies,6.979499999999991,9
2017,Central,Conroe,Office Supplies,,
2014,Central,Coon Rapids,Office Supplies,57.501599999999996,4
2015,Central,Coon Rapids,Office Supplies,,
2016,Central,Coon Rapids,Office Supplies,,
2017,Central,Coon Rapids,Office Supplies,,
2014,Central,Coon Rapids,Technology,78.9516,3
2015,Central,Coon Rapids,Technology,,
2016,Central,Coon Rapids,Technology,,
2017,Central,Coon Rapids,Technology,,
2014,Central,Coppell,Office Supplies,,
2015,Central,Coppell,Office Supplies,,
2016,Central,Coppell,Office Supplies,,
2017,Central,Coppell,Office Supplies,6.747199999999999,13
2014,Central,Coppell,Technology,,
2015,Central,Coppell,Technology,34.742,4
2016,Central,Coppell,Technology,,
2017,Central,Coppell,Technology,,
2014,Central,Corpus Christi,Furniture,-55.501999999999995,15
2015,Central,Corpus Christi,Furniture,,
2016,Central,Corpus Christi,Furniture,,
2017,Central,Corpus Christi,Furniture,,
2014,Central,Corpus Christi,Office Supplies,-11.4634,15
2015,Central,Corpus Christi,Office Supplies,,
2016,Central,Corpus Christi,Office Supplies,,
2017,Central,Corpus Christi,Office Supplies,23.234999999999992,3
2014,Central,Cottage Grove,Office Supplies,6.876799999999999,2
2015,Central,Cottage Grove,Office Supplies,,
2016,Central,Cottage Grove,Office Supplies,,
2017,Central,Cottage Grove,Office Supplies,,
2014,Central,Cottage Grove,Technology,47.92,4
2015,Central,Cottage Grove,Technology,,
2016,Central,Cottage Grove,Technology,,
2017,Central,Cottage Grove,Technology,,
2014,Central,Dallas,Furniture,-267.4805999999999,15
2015,Central,Dallas,Furniture,-631.4488000000002,24
2016,Central,Dallas,Furniture,-92.85480000000001,14
2017,Central,Dallas,Furniture,-1031.3890000000001,50
2014,Central,Dallas,Office Supplies,9.44379999999991,60
2015,Central,Dallas,Office Supplies,-220.87360000000007,35
2016,Central,Dallas,Office Supplies,165.1826999999999,100
2017,Central,Dallas,Office Supplies,-1458.43,165
2014,Central,Dallas,Technology,16.747500000000016,5
2015,Central,Dallas,Technology,230.82819999999987,24
2016,Central,Dallas,Technology,168.3856999999999,31
2017,Central,Dallas,Technology,265.3631999999999,32
2014,Central,Danville,Office Supplies,,
2015,Central,Danville,Office Supplies,,
2016,Central,Danville,Office Supplies,,
2017,Central,Danville,Office Supplies,-69.39520000000003,7
2014,Central,Dearborn,Furniture,,
2015,Central,Dearborn,Furniture,87.56839999999997,2
2016,Central,Dearborn,Furniture,,
2017,Central,Dearborn,Furniture,23.1192,3
2014,Central,Dearborn,Office Supplies,,
2015,Central,Dearborn,Office Supplies,356.6988,18
2016,Central,Dearborn,Office Supplies,,
2017,Central,Dearborn,Office Supplies,,
2014,Central,Dearborn Heights,Furniture,,
2015,Central,Dearborn Heights,Furniture,,
2016,Central,Dearborn Heights,Furniture,,
2017,Central,Dearborn Heights,Furniture,47.0548,1
2014,Central,Dearborn Heights,Office Supplies,50.844300000000004,16
2015,Central,Dearborn Heights,Office Supplies,,
2016,Central,Dearborn Heights,Office Supplies,,
2017,Central,Dearborn Heights,Office Supplies,,
2014,Central,Dearborn Heights,Technology,,
2015,Central,Dearborn Heights,Technology,,
2016,Central,Dearborn Heights,Technology,,
2017,Central,Dearborn Heights,Technology,42.991400000000006,2
2014,Central,Decatur,Furniture,-41.0692,9
2015,Central,Decatur,Furniture,,
2016,Central,Decatur,Furniture,-147.15600000000006,9
2017,Central,Decatur,Furniture,-12.233100000000077,4
2014,Central,Decatur,Office Supplies,24.622200000000003,17
2015,Central,Decatur,Office Supplies,,
2016,Central,Decatur,Office Supplies,13.681600000000001,8
2017,Central,Decatur,Office Supplies,-315.50850000000014,17
2014,Central,Decatur,Technology,76.63949999999998,7
2015,Central,Decatur,Technology,89.99099999999999,6
2016,Central,Decatur,Technology,,
2017,Central,Decatur,Technology,,
2014,Central,Deer Park,Office Supplies,,
2015,Central,Deer Park,Office Supplies,,
2016,Central,Deer Park,Office Supplies,-10.386,6
2017,Central,Deer Park,Office Supplies,,
2014,Central,Des Moines,Furniture,106.62480000000005,4
2015,Central,Des Moines,Furniture,,
2016,Central,Des Moines,Furniture,,
2017,Central,Des Moines,Furniture,14.523600000000002,7
2014,Central,Des Moines,Office Supplies,2.8763999999999994,3
2015,Central,Des Moines,Office Supplies,12.690999999999999,5
2016,Central,Des Moines,Office Supplies,22.9358,8
2017,Central,Des Moines,Office Supplies,39.665499999999994,10
2014,Central,Des Moines,Technology,,
2015,Central,Des Moines,Technology,,
2016,Central,Des Moines,Technology,109.33379999999998,3
2017,Central,Des Moines,Technology,51.75,3
2014,Central,Des Plaines,Furniture,-213.03000000000003,12
2015,Central,Des Plaines,Furniture,,
2016,Central,Des Plaines,Furniture,,
2017,Central,Des Plaines,Furniture,,
2014,Central,Des Plaines,Office Supplies,-71.71740000000004,8
2015,Central,Des Plaines,Office Supplies,,
2016,Central,Des Plaines,Office Supplies,,
2017,Central,Des Plaines,Office Supplies,,
2014,Central,Des Plaines,Technology,,
2015,Central,Des Plaines,Technology,,
2016,Central,Des Plaines,Technology,,
2017,Central,Des Plaines,Technology,47.97999999999999,4
2014,Central,Detroit,Furniture,59.8459,4
2015,Central,Detroit,Furniture,572.7312999999999,44
2016,Central,Detroit,Furniture,1138.9039000000002,27
2017,Central,Detroit,Furniture,1561.1936999999998,31
2014,Central,Detroit,Office Supplies,469.32269999999994,38
2015,Central,Detroit,Office Supplies,901.1256999999998,78
2016,Central,Detroit,Office Supplies,5610.539199999999,86
2017,Central,Detroit,Office Supplies,903.6545999999998,59
2014,Central,Detroit,Technology,,
2015,Central,Detroit,Technology,375.5756,34
2016,Central,Detroit,Technology,636.3898,18
2017,Central,Detroit,Technology,952.5083999999997,22
2014,Central,Dubuque,Furniture,,
2015,Central,Dubuque,Furniture,394.26800000000003,10
2016,Central,Dubuque,Furniture,,
2017,Central,Dubuque,Furniture,,
2014,Central,Dubuque,Office Supplies,,
2015,Central,Dubuque,Office Supplies,6.857999999999999,4
2016,Central,Dubuque,Office Supplies,,
2017,Central,Dubuque,Office Supplies,,
2014,Central,Dubuque,Technology,,
2015,Central,Dubuque,Technology,76.54839999999999,4
2016,Central,Dubuque,Technology,,
2017,Central,Dubuque,Technology,,
2014,Central,Eagan,Office Supplies,,
2015,Central,Eagan,Office Supplies,34.183800000000005,8
2016,Central,Eagan,Office Supplies,8.206199999999999,2
2017,Central,Eagan,Office Supplies,24.8724,10
2014,Central,Eagan,Technology,,
2015,Central,Eagan,Technology,,
2016,Central,Eagan,Technology,19.7714,2
2017,Central,Eagan,Technology,,
2014,Central,Eau Claire,Furniture,,
2015,Central,Eau Claire,Furniture,,
2016,Central,Eau Claire,Furniture,209.2714,10
2017,Central,Eau Claire,Furniture,,
2014,Central,Eau Claire,Office Supplies,45.839999999999996,3
2015,Central,Eau Claire,Office Supplies,91.95079999999999,4
2016,Central,Eau Claire,Office Supplies,,
2017,Central,Eau Claire,Office Supplies,8.465600000000002,2
2014,Central,Eau Claire,Technology,,
2015,Central,Eau Claire,Technology,71.97,2
2016,Central,Eau Claire,Technology,,
2017,Central,Eau Claire,Technology,,
2014,Central,Edinburg,Office Supplies,,
2015,Central,Edinburg,Office Supplies,,
2016,Central,Edinburg,Office Supplies,26.979799999999997,9
2017,Central,Edinburg,Office Supplies,0.8287999999999999,2
2014,Central,Edmond,Office Supplies,,
2015,Central,Edmond,Office Supplies,,
2016,Central,Edmond,Office Supplies,6.8713999999999995,2
2017,Central,Edmond,Office Supplies,,
2014,Central,Edmond,Technology,,
2015,Central,Edmond,Technology,,
2016,Central,Edmond,Technology,236.23250000000002,7
2017,Central,Edmond,Technology,,
2014,Central,El Paso,Furniture,-56.761599999999994,17
2015,Central,El Paso,Furniture,-2.0364000000000004,2
2016,Central,El Paso,Furniture,,
2017,Central,El Paso,Furniture,-169.63700000000009,5
2014,Central,El Paso,Office Supplies,2.7473999999999847,20
2015,Central,El Paso,Office Supplies,,
2016,Central,El Paso,Office Supplies,4.2408,4
2017,Central,El Paso,Office Supplies,18.298800000000004,7
2014,Central,El Paso,Technology,34.04460000000002,7
2015,Central,El Paso,Technology,,
2016,Central,El Paso,Technology,,
2017,Central,El Paso,Technology,-10.79730000000001,3
2014,Central,Elkhart,Office Supplies,,
2015,Central,Elkhart,Office Supplies,,
2016,Central,Elkhart,Office Supplies,,
2017,Central,Elkhart,Office Supplies,5.489599999999999,2
2014,Central,Elkhart,Technology,,
2015,Central,Elkhart,Technology,,
2016,Central,Elkhart,Technology,,
2017,Central,Elkhart,Technology,11.182499999999997,5
2014,Central,Elmhurst,Furniture,-172.11720000000003,6
2015,Central,Elmhurst,Furniture,,
2016,Central,Elmhurst,Furniture,,
2017,Central,Elmhurst,Furniture,,
2014,Central,Elmhurst,Office Supplies,5.678399999999998,3
2015,Central,Elmhurst,Office Supplies,,
2016,Central,Elmhurst,Office Supplies,-45.6933,5
2017,Central,Elmhurst,Office Supplies,,
2014,Central,Evanston,Furniture,-70.10430000000002,3
2015,Central,Evanston,Furniture,,
2016,Central,Evanston,Furniture,,
2017,Central,Evanston,Furniture,,
2014,Central,Evanston,Technology,,
2015,Central,Evanston,Technology,481.0886999999999,7
2016,Central,Evanston,Technology,0.8993999999999991,1
2017,Central,Evanston,Technology,,
2014,Central,Fargo,Office Supplies,,
2015,Central,Fargo,Office Supplies,,
2016,Central,Fargo,Office Supplies,,
2017,Central,Fargo,Office Supplies,230.14969999999994,30
2014,Central,Fort Worth,Furniture,-84.29279999999999,4
2015,Central,Fort Worth,Furniture,,
2016,Central,Fort Worth,Furniture,-88.78399999999998,5
2017,Central,Fort Worth,Furniture,-162.74270000000007,12
2014,Central,Fort Worth,Office Supplies,-17.004800000000003,5
2015,Central,Fort Worth,Office Supplies,-207.1831,39
2016,Central,Fort Worth,Office Supplies,12.934800000000001,8
2017,Central,Fort Worth,Office Supplies,-65.161,19
2014,Central,Fort Worth,Technology,638.5509999999999,8
2015,Central,Fort Worth,Technology,150.36000000000013,6
2016,Central,Fort Worth,Technology,-5.618699999999996,4
2017,Central,Fort Worth,Technology,,
2014,Central,Frankfort,Office Supplies,,
2015,Central,Frankfort,Office Supplies,-52.95840000000001,8
2016,Central,Frankfort,Office Supplies,26.902399999999993,2
2017,Central,Frankfort,Office Supplies,,
2014,Central,Franklin,Furniture,43.223399999999984,3
2015,Central,Franklin,Furniture,,
2016,Central,Franklin,Furniture,992.6808,14
2017,Central,Franklin,Furniture,,
2014,Central,Franklin,Office Supplies,,
2015,Central,Franklin,Office Supplies,,
2016,Central,Franklin,Office Supplies,130.472,12
2017,Central,Franklin,Office Supplies,1.728,2
2014,Central,Franklin,Technology,,
2015,Central,Franklin,Technology,,
2016,Central,Franklin,Technology,124.67100000000002,17
2017,Central,Franklin,Technology,,
2014,Central,Freeport,Furniture,,
2015,Central,Freeport,Furniture,,
2016,Central,Freeport,Furniture,,
2017,Central,Freeport,Furniture,-6.809400000000004,3
2014,Central,Freeport,Office Supplies,3.959199999999999,2
2015,Central,Freeport,Office Supplies,,
2016,Central,Freeport,Office Supplies,,
2017,Central,Freeport,Office Supplies,-124.59960000000002,7
2014,Central,Fremont,Furniture,,
2015,Central,Fremont,Furniture,,
2016,Central,Fremont,Furniture,,
2017,Central,Fremont,Furniture,7.004800000000001,2
2014,Central,Fremont,Office Supplies,,
2015,Central,Fremont,Office Supplies,,
2016,Central,Fremont,Office Supplies,36.342,19
2017,Central,Fremont,Office Supplies,113.73399999999998,8
2014,Central,Fremont,Technology,,
2015,Central,Fremont,Technology,,
2016,Central,Fremont,Technology,,
2017,Central,Fremont,Technology,22.388800000000003,4
2014,Central,Frisco,Furniture,,
2015,Central,Frisco,Furniture,,
2016,Central,Frisco,Furniture,,
2017,Central,Frisco,Furniture,-17.443199999999997,6
2014,Central,Frisco,Technology,,
2015,Central,Frisco,Technology,-1.3583999999999987,4
2016,Central,Frisco,Technology,,
2017,Central,Frisco,Technology,,
2014,Central,Garden City,Office Supplies,,
2015,Central,Garden City,Office Supplies,7.822099999999999,5
2016,Central,Garden City,Office Supplies,,
2017,Central,Garden City,Office Supplies,7.989599999999999,1
2014,Central,Garden City,Technology,74.8142,2
2015,Central,Garden City,Technology,,
2016,Central,Garden City,Technology,,
2017,Central,Garden City,Technology,,
2014,Central,Garland,Furniture,-7.475999999999999,2
2015,Central,Garland,Furniture,,
2016,Central,Garland,Furniture,,
2017,Central,Garland,Furniture,,
2014,Central,Garland,Office Supplies,,
2015,Central,Garland,Office Supplies,,
2016,Central,Garland,Office Supplies,,
2017,Central,Garland,Office Supplies,-24.897000000000013,10
2014,Central,Gladstone,Furniture,,
2015,Central,Gladstone,Furniture,,
2016,Central,Gladstone,Furniture,,
2017,Central,Gladstone,Furniture,40.416,3
2014,Central,Gladstone,Technology,,
2015,Central,Gladstone,Technology,,
2016,Central,Gladstone,Technology,,
2017,Central,Gladstone,Technology,12.172799999999999,2
2014,Central,Glenview,Technology,,
2015,Central,Glenview,Technology,13.857900000000008,3
2016,Central,Glenview,Technology,,
2017,Central,Glenview,Technology,,
2014,Central,Grand Island,Office Supplies,,
2015,Central,Grand Island,Office Supplies,,
2016,Central,Grand Island,Office Supplies,,
2017,Central,Grand Island,Office Supplies,7.98,2
2014,Central,Grand Prairie,Furniture,,
2015,Central,Grand Prairie,Furniture,-36.815400000000025,7
2016,Central,Grand Prairie,Furniture,-29.512000000000008,5
2017,Central,Grand Prairie,Furniture,-18.117599999999996,3
2014,Central,Grand Prairie,Office Supplies,-49.55160000000002,2
2015,Central,Grand Prairie,Office Supplies,13.360599999999994,10
2016,Central,Grand Prairie,Office Supplies,9.977399999999996,6
2017,Central,Grand Prairie,Office Supplies,8.879999999999999,2
2014,Central,Grand Prairie,Technology,-8.180000000000003,5
2015,Central,Grand Prairie,Technology,,
2016,Central,Grand Prairie,Technology,,
2017,Central,Grand Prairie,Technology,24.72749999999997,5
2014,Central,Grand Rapids,Office Supplies,9.5256,3
2015,Central,Grand Rapids,Office Supplies,,
2016,Central,Grand Rapids,Office Supplies,69.4057,19
2017,Central,Grand Rapids,Office Supplies,127.55699999999999,7
2014,Central,Grand Rapids,Technology,,
2015,Central,Grand Rapids,Technology,,
2016,Central,Grand Rapids,Technology,27.43440000000001,2
2017,Central,Grand Rapids,Technology,,
2014,Central,Grapevine,Office Supplies,,
2015,Central,Grapevine,Office Supplies,,
2016,Central,Grapevine,Office Supplies,8.774899999999995,12
2017,Central,Grapevine,Office Supplies,,
2014,Central,Green Bay,Furniture,,
2015,Central,Green Bay,Furniture,,
2016,Central,Green Bay,Furniture,11.9364,4
2017,Central,Green Bay,Furniture,,
2014,Central,Green Bay,Office Supplies,,
2015,Central,Green Bay,Office Supplies,,
2016,Central,Green Bay,Office Supplies,,
2017,Central,Green Bay,Office Supplies,10.223999999999998,4
2014,Central,Green Bay,Technology,206.31600000000006,6
2015,Central,Green Bay,Technology,,
2016,Central,Green Bay,Technology,,
2017,Central,Green Bay,Technology,,
2014,Central,Greenwood,Furniture,,
2015,Central,Greenwood,Furniture,,
2016,Central,Greenwood,Furniture,356.225,5
2017,Central,Greenwood,Furniture,,
2014,Central,Greenwood,Office Supplies,,
2015,Central,Greenwood,Office Supplies,,
2016,Central,Greenwood,Office Supplies,,
2017,Central,Greenwood,Office Supplies,115.5072,14
