financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),Sum(financials.Profit)
High,Canada,547170,655551.75,108381.75
None,Canada,448500,603750,155250
None,Canada,500250,600300,100050
Low,Canada,462280,597408,135128
Medium,Canada,273500,597324,50324
Medium,Canada,533500,588984,55484
Low,Canada,468500,545334,76834
Low,Canada,241080,487182.5,5022.5
Medium,Canada,425500,474858,49358
Medium,Canada,351000,391716,40716
High,Canada,341500,364722,23222
Medium,Canada,320750,354108,33358
High,Canada,189960,344302.5,-35617.5
None,Canada,319860,333187.5,13327.5
Low,Canada,245310,326922.75,81612.75
High,Canada,354480,313862.5,-40617.5
High,Canada,303480,284512.5,-18967.5
High,Canada,239980,281053.5,41073.5
High,Canada,289920,265760,-24160
High,Canada,218250,233091,14841
High,Canada,222000,229104,7104
High,Canada,183820,222705,38885
High,Canada,229920,215550,-14370
Low,Canada,212880,215097.5,2217.5
High,Canada,182000,210700,28700
High,Canada,161980,191884,29904
Medium,Canada,197400,191231.25,-6168.75
Medium,Canada,143520,183540,40020
High,Canada,199080,180416.25,-18663.75
High,Canada,67250,138804,4304
Low,Canada,110760,114221.25,3461.25
Medium,Canada,114240,111860,-2380
Low,Canada,89100,90956.25,1856.25
None,Canada,41400,86250,3450
Medium,Canada,28440,80200.8,23320.800000000003
Low,Canada,38505,74699.70000000001,36194.700000000004
None,Canada,18170,72680,36340
Medium,Canada,68040,64496.25,-3543.75
None,Canada,7554,60432,45324
High,Canada,52000,60200,8200
High,Canada,23000,59340,13340
Medium,Canada,7293,55426.8,40840.8
Medium,Canada,13890,52782,25002
High,Canada,29350,52243,22893
Medium,Canada,6897,51865.44,38071.44
Low,Canada,26460,50803.2,24343.199999999997
High,Canada,17430,44969.4,10109.400000000001
High,Canada,12490,43465.2,18485.199999999997
High,Canada,12078,42997.68,30919.68
High,Canada,23940,42613.2,18673.199999999997
High,Canada,24280,41761.6,17481.6
High,Canada,15650,40846.5,9546.5
Low,Canada,20740,39820.8,19080.800000000003
Low,Canada,14255,38317.44,9807.440000000002
High,Canada,10561.5,38021.399999999994,27459.899999999998
Medium,Canada,9733.5,36208.62,26475.120000000003
High,Canada,26890,35494.8,8604.800000000003
Low,Canada,23630,34736.1,11106.099999999999
Medium,Canada,18020,34238,16218
High,Canada,13670,33682.88,6342.879999999997
High,Canada,25590,32627.25,7037.25
None,Canada,16185,32370,16185
None,Canada,21520,32280,10760
High,Canada,24700,31863,7163
Low,Canada,3885,30458.4,22688.4
High,Canada,8283,29156.16,20873.16
Low,Canada,21255,28566.72,7311.719999999999
Low,Canada,19670,28324.8,8654.8
Medium,Canada,7080,26054.4,11894.400000000001
Medium,Canada,6963,25345.32,18382.32
High,Canada,6666,22931.04,16265.04
High,Canada,6327,22271.04,15944.04
Medium,Canada,16305,22256.324999999997,5951.324999999999
Medium,Canada,5652,21025.44,15373.439999999999
High,Canada,15600,20826,5226
Medium,Canada,11180,20794.8,9614.8
High,Canada,5811,20687.16,14876.16
Medium,Canada,7910,20597.64,4777.639999999999
High,Canada,16140,20578.5,4438.5
Medium,Canada,12620,17604.9,4984.9000000000015
Low,Canada,4335,17166.6,12831.599999999999
Low,Canada,8310,16121.4,7811.4
Medium,Canada,11745,15620.85,3875.8500000000004
Medium,Canada,5675,14777.7,3427.7000000000007
High,Canada,8655,14713.5,6058.5
Low,Canada,10460,14497.56,4037.5599999999995
Low,Canada,9150,12681.9,3531.8999999999996
High,Canada,9040,11263.84,2223.84
Low,Canada,2724,10569.12,7845.120000000001
Medium,Canada,8055,10262.07,2207.0699999999997
Low,Canada,6630,9189.18,2559.1800000000003
Medium,Canada,1794,6601.92,4807.92
None,Canada,2920,5840,2920
Medium,Canada,4095,5217.03,1122.03
High,Canada,3840,5126.4,1286.3999999999999
High,Canada,3615,4301.85,686.8500000000001
Medium,Canada,2440,3142.7200000000003,702.7200000000003
Low,Canada,2180,3139.2,959.1999999999998
High,Canada,1940,2335.76,395.7600000000002
Medium,Canada,1285,1655.08,370.0799999999999
High,Canada,,8657237.659999998,911261.1600000001
Low,Canada,,6537899.37,1140580.3699999999
Medium,Canada,,7865428.355000001,1093780.855
None,Canada,,1827089.5,383606.5
Low,France,560300,1493415,372815
Low,France,566020,1462944,330904
Medium,France,539760,1366008,286488
Medium,France,545250,1216998,126498
Medium,France,388960,984368,206448
None,France,715000,962500,247500
Medium,France,747760,936138,188378
Low,France,608625,708439.5,99814.5
Medium,France,305250,688644,78144
None,France,537750,645300,107550
High,France,618750,631125,12375
High,France,499720,578522,78802
High,France,465400,545055,79655
High,France,292920,543122.5,-42717.5
None,France,397020,534450,137430
Medium,France,433160,530621,97461
Low,France,509220,514524.375,5304.375
High,France,414440,490952,76512
High,France,443250,468072,24822
Medium,France,414750,462861,48111
High,France,213250,460620,34120
Medium,France,359970,460346.25,100376.25
Medium,France,390500,431112,40612
High,France,333060,385581,52521
Medium,France,331000,361452,30452
Low,France,358560,358560,0
High,France,296500,313104,16604
Low,France,154440,312097.5,3217.5
Medium,France,286200,283218.75,-2981.25
Low,France,229500,269892,40392
Medium,France,239750,267561,27811
Medium,France,112000,249984,25984
Medium,France,238500,233531.25,-4968.75
None,France,216480,225500,9020
Low,France,209280,215820,6540
Medium,France,222840,211233.75,-11606.25
High,France,166140,201285,35145
Low,France,94440,194782.5,5902.5
Medium,France,149370,184989,35619
Medium,France,84480,167200,-1760
High,France,177840,166725,-11115
High,France,171960,159421.25,-12538.75
High,France,140880,124737.5,-16142.5
Medium,France,99060,122682,23622
High,France,122760,109972.5,-12787.5
Medium,France,96500,106536,10036
Medium,France,80500,87906,7406
Low,France,38640,76507.20000000001,37867.200000000004
None,France,18990,75960,37980
Medium,France,19760,73507.2,33987.2
High,France,79560,70443.75,-9116.25
Medium,France,17570,66063.2,30923.199999999997
None,France,21780,65340,21780
High,France,21670,58509,15169
High,France,20720,55944,14504
Medium,France,38010,53594.100000000006,15584.100000000002
High,France,39975,52167.375,12192.375
High,France,38745,51143.399999999994,12398.399999999998
High,France,28050,49929,21879
Medium,France,26820,48812.4,21992.4
High,France,25215,44378.399999999994,19163.399999999998
Low,France,5703,44255.28,32849.28
Medium,France,26200,37335,11135
High,France,28260,36031.5,7771.5
High,France,19540,35172,15632
Medium,France,25010,34513.8,9503.800000000003
Low,France,22960,34095.6,11135.599999999999
Medium,France,12270,33497.1,8957.099999999999
Medium,France,12435,33077.1,8207.099999999999
Low,France,22610,32558.4,9948.400000000001
Low,France,8013,31731.48,23718.48
Medium,France,15790,30001,14211
Medium,France,15630,29697,14067
Medium,France,21010,29308.95,8298.95
High,France,4179,28751.52,20393.52
Medium,France,15350,28551,13201
Low,France,19725,27338.850000000002,7613.850000000002
Low,France,13755,27234.899999999998,13479.899999999998
Medium,France,7026,26136.72,19110.72
High,France,7276.5,25904.340000000004,18627.840000000004
High,France,3594,25589.28,18401.28
High,France,7425,25542,18117
Low,France,3165,24813.6,18483.6
Medium,France,13030,24757,11727
Medium,France,6702,24395.28,17693.28
Medium,France,5901,21479.64,15578.64
Medium,France,5595,21261,15666
High,France,17107.5,21076.44,3968.9399999999987
Low,France,5355,20991.6,15636.599999999999
High,France,8655,20841.239999999998,3531.239999999998
Medium,France,10330,19627,9297
Medium,France,5215.5,19401.66,14186.16
High,France,5202,18519.12,13317.119999999999
Medium,France,7015,18463.48,4433.48
Low,France,9410,18443.6,9033.599999999999
High,France,13480,16418.64,2938.6399999999994
High,France,12660,15774.36,3114.3599999999997
Low,France,10725,14714.7,3989.7000000000007
High,France,5950,14494.2,2594.2000000000007
Medium,France,10680,14204.4,3524.3999999999996
Low,France,2598,9976.32,7378.32
High,France,2930,9962,4102
High,France,7455,9184.56,1729.5599999999995
None,France,5490,8235,2745
Low,France,5150,7137.9,1987.8999999999996
Medium,France,4900,6762,1862
Medium,France,5155,6711.81,1556.8100000000004
Low,France,3210,4766.85,1556.8500000000004
Low,France,3195,4428.27,1233.2700000000004
Low,France,2720,3693.76,973.7600000000002
Medium,France,918,3341.52,2423.52
High,France,1465,1763.8600000000001,298.8600000000001
High,France,,5865834.735000001,535982.7350000001
Low,France,,5913163.185,1061776.185
Medium,France,,10057889.36,1619256.8599999999
None,France,,2517285,564005
Low,Germany,771160,2034676,492356
Low,Germany,748020,1973622,477582
Low,Germany,505250,1164096,153596
None,Germany,393380,1059100,272340
High,Germany,702750,750537,47787
Medium,Germany,664750,725907,61157
Medium,Germany,312500,712500,87500
None,Germany,261560,704200,181080
Medium,Germany,557960,691012,133052
High,Germany,634000,654288,20288
Low,Germany,495820,640752,144932
Low,Germany,467220,610081.5,142861.5
High,Germany,486200,589050,102850
Low,Germany,464750,535392,70642
None,Germany,506340,527437.5,21097.5
Low,Germany,432000,508032,76032
Medium,Germany,379600,480340,100740
Medium,Germany,351000,448875,97875
Medium,Germany,339820,416279.5,76459.5
Low,Germany,204720,413705,4265
Medium,Germany,421560,408386.25,-13173.75
Low,Germany,353625,407376,53751
Low,Germany,172250,400998,56498
Low,Germany,188400,380725,3925
High,Germany,311740,360899,49159
High,Germany,339750,358776,19026
High,Germany,379800,352106.25,-27693.75
Medium,Germany,280750,313317,32567
High,Germany,332040,293993.75,-38046.25
Low,Germany,246500,292842,46342
Medium,Germany,300000,290625,-9375
Low,Germany,273120,278810,5690
High,Germany,205920,246708,40788
Medium,Germany,250440,242613.75,-7826.25
High,Germany,199160,238609,39449
High,Germany,130200,230562.5,-29837.5
High,Germany,201750,210627,8877
Low,Germany,97080,198205,4045
Medium,Germany,109720,135884,26164
Low,Germany,53500,125832,18832
Medium,Germany,119280,115552.5,-3727.5
High,Germany,92820,108706.5,15886.5
High,Germany,29920,106515.2,46675.2
Medium,Germany,106440,104222.5,-2217.5
Medium,Germany,96840,95831.25,-1008.75
Low,Germany,95400,95400,0
Medium,Germany,83500,91182,7682
Low,Germany,64750,76146,11396
High,Germany,66240,58650,-7590
Low,Germany,19450,56599.5,17699.5
High,Germany,15310,53891.2,23271.199999999997
Medium,Germany,13660,50268.8,22948.800000000003
Low,Germany,25800,50052,24252
High,Germany,27080,47119.2,20039.199999999997
Medium,Germany,22970,43643,20673
None,Germany,4635,37080,27810
Medium,Germany,19340,35585.6,16245.599999999999
None,Germany,8514,34056,25542
Medium,Germany,21160,30153,8993
Medium,Germany,11690,30113.44,6733.439999999999
High,Germany,11750,29962.5,6462.5
Low,Germany,7437,28855.56,21418.56
Medium,Germany,15200,27968,12768
High,Germany,7722,27799.2,20077.2
Medium,Germany,7026,26698.8,19672.8
None,Germany,8880,26640,8880
None,Germany,13210,26420,13210
None,Germany,6483,25932,19449
Medium,Germany,6645,24719.4,18074.4
Medium,Germany,17430,24576.3,7146.299999999999
Medium,Germany,15300,21573,6273
High,Germany,3039,21151.44,15073.439999999999
High,Germany,11580,19686,8106
Medium,Germany,7110,19623.6,5403.5999999999985
High,Germany,15130,19517.7,4387.700000000001
Medium,Germany,5325,19383,14058
Medium,Germany,10010,18818.8,8808.8
High,Germany,5310,18478.8,13168.8
Low,Germany,2298,18200.16,13604.16
Medium,Germany,4740,17253.6,12513.599999999999
High,Germany,13325,16789.5,3464.5
Medium,Germany,12045,15513.96,3468.959999999999
Medium,Germany,5795,15414.7,3824.7000000000007
None,Germany,10730,15022,4292
Medium,Germany,10625,13833.75,3208.75
None,Germany,9210,13815,4605
Low,Germany,9790,13294.82,3504.8199999999997
Medium,Germany,9700,13240.5,3540.5
Medium,Germany,3348,12722.4,9374.4
Medium,Germany,6630,12066.6,5436.6
Medium,Germany,6450,11868,5418
None,Germany,8430,11802,3372
Low,Germany,7470,11092.95,3622.9500000000007
Medium,Germany,5880,10936.8,5056.799999999999
Medium,Germany,7990,10291.12,2301.120000000001
High,Germany,1416,10081.92,7249.92
Medium,Germany,2640,9609.6,6969.6
High,Germany,6810,9193.5,2383.5
Medium,Germany,6860,9123.8,2263.7999999999993
High,Germany,2410,8676,3856
High,Germany,6600,8613,2013
Medium,Germany,6295,8107.96,1812.96
High,Germany,4420,7690.8,3270.8
Medium,Germany,5475,7051.8,1576.8000000000002
High,Germany,5100,6885,1785
Medium,Germany,5080,6756.4,1676.3999999999996
High,Germany,4920,6273,1353
Medium,Germany,1800,4586.4,986.3999999999996
None,Germany,1101,4404,3303
High,Germany,2780,3586.2,806.1999999999998
High,Germany,1400,3371.2,571.1999999999998
Low,Germany,1315,1822.59,507.5899999999999
High,Germany,,4878794.360000001,424957.36000000004
Low,Germany,,10316608.08,1847355.08
Medium,Germany,,5824029.879999999,823095.8800000001
None,Germany,,2485908.5,584980.5
Medium,Mexico,615000,1357920,127920
Low,Mexico,363220,968121,241681
Medium,Mexico,354120,877128,168888
High,Mexico,741260,848172.5,106912.5
Medium,Mexico,628420,769814.5,141394.5
Medium,Mexico,686750,766413,79663
Medium,Mexico,641250,700245,58995
High,Mexico,651250,679905,28655
Low,Mexico,504400,665420,161020
High,Mexico,559260,639922.5,80662.5
Low,Mexico,484900,626640,141740
High,Mexico,537500,567600,30100
Low,Mexico,426920,557459,130539
Medium,Mexico,436540,552391,115851
High,Mexico,230360,545776,85056
Low,Mexico,257400,525525,10725
High,Mexico,258720,474320,-43120
Medium,Mexico,401750,457995,56245
High,Mexico,362700,429660,66960
Low,Mexico,314600,419265,104665
High,Mexico,311220,368676,57456
Medium,Mexico,158750,350520,33020
Low,Mexico,275250,323694,48444
Medium,Mexico,254800,322420,67620
Medium,Mexico,275000,313500,38500
High,Mexico,338520,303257.5,-35262.5
Low,Mexico,123500,293436,46436
None,Mexico,239500,287400,47900
High,Mexico,136500,278460,5460
Low,Mexico,136560,273120,0
Medium,Mexico,253200,240012.5,-13187.5
Medium,Mexico,187200,239400,52200
None,Mexico,197000,236400,39400
Low,Mexico,218760,225596.25,6836.25
High,Mexico,89440,214312,35432
High,Mexico,200250,206658,6408
Low,Mexico,199200,203350,4150
Medium,Mexico,184800,177100,-7700
High,Mexico,189000,169312.5,-19687.5
Low,Mexico,79440,162190,3310
High,Mexico,147750,159570,11820
Low,Mexico,128880,128880,0
Medium,Mexico,133680,128110,-5570
High,Mexico,108000,116640,8640
High,Mexico,113640,105353.75,-8286.25
Medium,Mexico,105240,99758.75,-5481.25
None,Mexico,24700,74100,24700
High,Mexico,66480,61632.5,-4847.5
High,Mexico,17150,60368,26068
Low,Mexico,20310,58492.8,17872.800000000003
High,Mexico,21570,57591.9,14451.900000000001
Medium,Mexico,29930,55071.2,25141.199999999997
High,Mexico,26290,46796.2,20506.199999999997
High,Mexico,25790,44358.8,18568.800000000003
Low,Mexico,15140,43603.2,13323.199999999997
High,Mexico,12330,43401.6,18741.6
Medium,Mexico,28610,40769.25,12159.25
Medium,Mexico,27910,39771.75,11861.75
High,Mexico,22550,39237,16687
High,Mexico,40920,38362.5,-2557.5
Medium,Mexico,10380,37783.2,17023.199999999997
None,Mexico,24720,37080,12360
High,Mexico,20390,36702,16312
Medium,Mexico,26280,35872.2,9592.199999999997
Medium,Mexico,13445,35763.7,8873.699999999997
Medium,Mexico,18340,34112.4,15772.400000000001
Low,Mexico,22140,32877.9,10737.900000000001
High,Mexico,9050,31856,13756
Medium,Mexico,8289,30835.08,22546.08
Medium,Mexico,16940,30830.8,13890.8
High,Mexico,7983,28100.16,20117.16
High,Mexico,19840,26486.4,6646.4000000000015
Medium,Mexico,7020,26114.4,19094.4
Low,Mexico,3252,25495.68,18991.68
High,Mexico,18700,24123,5423
Low,Mexico,5748,22302.24,16554.24
Medium,Mexico,11230,21112.4,9882.400000000001
High,Mexico,8635,20793.08,3523.0800000000017
High,Mexico,11220,19971.6,8751.599999999999
Medium,Mexico,7490,19713.68,4733.68
High,Mexico,14515,17476.06,2961.0600000000013
High,Mexico,13530,16858.38,3328.380000000001
Medium,Mexico,4125,15180,11055
High,Mexico,12675,15083.25,2408.25
High,Mexico,12100,14907.2,2807.2000000000007
None,Mexico,9740,14610,4870
Medium,Mexico,3369,12802.2,9433.2
High,Mexico,1812,12611.52,8987.52
Medium,Mexico,9730,12532.24,2802.24
Low,Mexico,8800,11950.4,3150.3999999999996
Medium,Mexico,6090,11327.4,5237.4
Medium,Mexico,8415,11191.95,2776.9500000000007
High,Mexico,3015,10733.4,7718.4
Low,Mexico,5440,10662.4,5222.4
None,Mexico,7465,10451,2986
Medium,Mexico,6665,8771.14,2106.1399999999994
High,Mexico,6550,8744.25,2194.25
High,Mexico,6410,8653.5,2243.5
High,Mexico,1230,8560.8,6100.799999999999
High,Mexico,6840,8139.6,1299.6000000000004
Low,Mexico,2070,8114.4,6044.4
Medium,Mexico,2181,8113.32,5932.32
Medium,Mexico,1101,8015.28,5813.28
Medium,Mexico,2605,6637.54,1427.54
Medium,Mexico,1686,6339.36,4653.36
None,Mexico,4415,6181,1766
High,Mexico,1713,5961.24,4248.24
High,Mexico,1500,5100,3600
High,Mexico,3800,5016,1216
High,Mexico,2600,4472,1872
Medium,Mexico,2450,3344.25,894.25
Low,Mexico,1810,2508.66,698.6599999999999
High,Mexico,,6829693.6899999995,650338.6900000001
Low,Mexico,,5588703.930000002,992141.9300000002
Medium,Mexico,,7864732.490000003,1131060.4899999995
None,Mexico,,666222,133982
