Table5.Year,Table5.Country,Table5.Region,Table5.City,Sum(Table5.PY),Sum(Table5.AC)
2018,Belgium,Americas,Toronto,,
2018,Brazil,Americas,Toronto,,
2018,Canada,Americas,Toronto,0,96000
2018,China,Americas,Toronto,,
2018,France,Americas,Toronto,,
2018,Germany,Americas,Toronto,,
2018,Japan,Americas,Toronto,,
2018,Other,Americas,Toronto,,
2018,Poland,Americas,Toronto,,
2018,Sweden,Americas,Toronto,,
2018,USA,Americas,Toronto,,
2019,Australia,Americas,Toronto,,
2019,Belgium,Americas,Toronto,,
2019,Brazil,Americas,Toronto,,
2019,Canada,Americas,Toronto,35000,47000
2019,China,Americas,Toronto,,
2019,France,Americas,Toronto,,
2019,Germany,Americas,Toronto,,
2019,Japan,Americas,Toronto,,
2019,Other,Americas,Toronto,,
2019,Poland,Americas,Toronto,,
2019,Sweden,Americas,Toronto,,
2019,USA,Americas,Toronto,,
2017,Australia,Americas,Salvador,,
2017,Belgium,Americas,Salvador,,
2017,Brazil,Americas,Salvador,121000,39000
2017,Canada,Americas,Salvador,,
2017,China,Americas,Salvador,,
2017,France,Americas,Salvador,,
2017,Germany,Americas,Salvador,,
2017,Japan,Americas,Salvador,,
2017,Other,Americas,Salvador,,
2017,Poland,Americas,Salvador,,
2017,Sweden,Americas,Salvador,,
2017,USA,Americas,Salvador,,
2018,Australia,Americas,Salvador,,
2018,Belgium,Americas,Salvador,,
2018,Brazil,Americas,Salvador,0,46000
2018,Canada,Americas,Salvador,,
2018,China,Americas,Salvador,,
2018,France,Americas,Salvador,,
2018,Germany,Americas,Salvador,,
2018,Japan,Americas,Salvador,,
2018,Other,Americas,Salvador,,
2018,Poland,Americas,Salvador,,
2018,Sweden,Americas,Salvador,,
2018,USA,Americas,Salvador,,
2019,Australia,Americas,Salvador,,
2019,Belgium,Americas,Salvador,,
2019,Brazil,Americas,Salvador,52000,121000
2019,Canada,Americas,Salvador,,
2019,China,Americas,Salvador,,
2019,France,Americas,Salvador,,
2019,Germany,Americas,Salvador,,
2019,Japan,Americas,Salvador,,
2019,Other,Americas,Salvador,,
2019,Poland,Americas,Salvador,,
2019,Sweden,Americas,Salvador,,
2019,USA,Americas,Salvador,,
2017,Australia,Americas,Montreal,,
2017,Belgium,Americas,Montreal,,
2017,Brazil,Americas,Montreal,,
2017,Canada,Americas,Montreal,107000,51000
2017,China,Americas,Montreal,,
2017,France,Americas,Montreal,,
2017,Germany,Americas,Montreal,,
2017,Japan,Americas,Montreal,,
2017,Other,Americas,Montreal,,
2017,Poland,Americas,Montreal,,
2017,Sweden,Americas,Montreal,,
2017,USA,Americas,Montreal,,
2018,Australia,Americas,Montreal,,
2018,Belgium,Americas,Montreal,,
2018,Brazil,Americas,Montreal,,
2018,Canada,Americas,Montreal,-120000,49000
2018,China,Americas,Montreal,,
2018,France,Americas,Montreal,,
2018,Germany,Americas,Montreal,,
2018,Japan,Americas,Montreal,,
2018,Other,Americas,Montreal,,
2018,Poland,Americas,Montreal,,
2018,Sweden,Americas,Montreal,,
2018,USA,Americas,Montreal,,
2019,Australia,Americas,Montreal,,
2019,Belgium,Americas,Montreal,,
2019,Brazil,Americas,Montreal,,
2019,Canada,Americas,Montreal,86000,39000
2019,China,Americas,Montreal,,
2019,France,Americas,Montreal,,
2019,Germany,Americas,Montreal,,
2019,Japan,Americas,Montreal,,
2019,Other,Americas,Montreal,,
2019,Poland,Americas,Montreal,,
2019,Sweden,Americas,Montreal,,
2019,USA,Americas,Montreal,,
2017,Australia,Europe,Flanders,,
2017,Belgium,Europe,Flanders,118000,88000
2017,Brazil,Europe,Flanders,,
2017,Canada,Europe,Flanders,,
2017,China,Europe,Flanders,,
2017,France,Europe,Flanders,,
2017,Germany,Europe,Flanders,,
2017,Japan,Europe,Flanders,,
2017,Other,Europe,Flanders,,
2017,Poland,Europe,Flanders,,
2017,Sweden,Europe,Flanders,,
2017,USA,Europe,Flanders,,
2018,Australia,Europe,Flanders,,
2018,Belgium,Europe,Flanders,95000,134000
2018,Brazil,Europe,Flanders,,
2018,Canada,Europe,Flanders,,
2018,China,Europe,Flanders,,
2018,France,Europe,Flanders,,
2018,Germany,Europe,Flanders,,
2018,Japan,Europe,Flanders,,
2018,Other,Europe,Flanders,,
2018,Poland,Europe,Flanders,,
2018,Sweden,Europe,Flanders,,
2018,USA,Europe,Flanders,,
2019,Australia,Europe,Flanders,,
2019,Belgium,Europe,Flanders,128000,108000
2019,Brazil,Europe,Flanders,,
2019,Canada,Europe,Flanders,,
2019,China,Europe,Flanders,,
2019,France,Europe,Flanders,,
2019,Germany,Europe,Flanders,,
2019,Japan,Europe,Flanders,,
2019,Other,Europe,Flanders,,
2019,Poland,Europe,Flanders,,
2019,Sweden,Europe,Flanders,,
2019,USA,Europe,Flanders,,
2017,Australia,Europe,Warsaw,,
2017,Belgium,Europe,Warsaw,,
2017,Brazil,Europe,Warsaw,,
2017,Canada,Europe,Warsaw,,
2017,China,Europe,Warsaw,,
2017,France,Europe,Warsaw,,
2017,Germany,Europe,Warsaw,,
2017,Japan,Europe,Warsaw,,
2017,Other,Europe,Warsaw,,
2017,Poland,Europe,Warsaw,0,103000
2017,Sweden,Europe,Warsaw,,
2017,USA,Europe,Warsaw,,
2018,Australia,Europe,Warsaw,,
2018,Belgium,Europe,Warsaw,,
2018,Brazil,Europe,Warsaw,,
2018,Canada,Europe,Warsaw,,
2018,China,Europe,Warsaw,,
2018,France,Europe,Warsaw,,
2018,Germany,Europe,Warsaw,,
2018,Japan,Europe,Warsaw,,
2018,Other,Europe,Warsaw,,
2018,Poland,Europe,Warsaw,103000,99000
2018,Sweden,Europe,Warsaw,,
2018,USA,Europe,Warsaw,,
2019,Australia,Europe,Warsaw,,
2019,Belgium,Europe,Warsaw,,
2019,Brazil,Europe,Warsaw,,
2019,Canada,Europe,Warsaw,,
2019,China,Europe,Warsaw,,
2019,France,Europe,Warsaw,,
2019,Germany,Europe,Warsaw,,
2019,Japan,Europe,Warsaw,,
2019,Other,Europe,Warsaw,,
2019,Poland,Europe,Warsaw,144000,118000
2019,Sweden,Europe,Warsaw,,
2019,USA,Europe,Warsaw,,
2017,Australia,Europe,Frankfurt,,
2017,Belgium,Europe,Frankfurt,,
2017,Brazil,Europe,Frankfurt,,
2017,Canada,Europe,Frankfurt,,
2017,China,Europe,Frankfurt,,
2017,France,Europe,Frankfurt,,
2017,Germany,Europe,Frankfurt,0,107000
2017,Japan,Europe,Frankfurt,,
2017,Other,Europe,Frankfurt,,
2017,Poland,Europe,Frankfurt,,
2017,Sweden,Europe,Frankfurt,,
2017,USA,Europe,Frankfurt,,
2018,Australia,Europe,Frankfurt,,
2018,Belgium,Europe,Frankfurt,,
2018,Brazil,Europe,Frankfurt,,
2018,Canada,Europe,Frankfurt,,
2018,China,Europe,Frankfurt,,
2018,France,Europe,Frankfurt,,
2018,Germany,Europe,Frankfurt,100000,91000
2018,Japan,Europe,Frankfurt,,
2018,Other,Europe,Frankfurt,,
2018,Poland,Europe,Frankfurt,,
2018,Sweden,Europe,Frankfurt,,
2018,USA,Europe,Frankfurt,,
2019,Australia,Europe,Frankfurt,,
2019,Belgium,Europe,Frankfurt,,
2019,Brazil,Europe,Frankfurt,,
2019,Canada,Europe,Frankfurt,,
2019,China,Europe,Frankfurt,,
2019,France,Europe,Frankfurt,,
2019,Germany,Europe,Frankfurt,142000,91000
2019,Japan,Europe,Frankfurt,,
2019,Other,Europe,Frankfurt,,
2019,Poland,Europe,Frankfurt,,
2019,Sweden,Europe,Frankfurt,,
2019,USA,Europe,Frankfurt,,
2017,Australia,Europe,Finland,,
2017,Belgium,Europe,Finland,,
2017,Brazil,Europe,Finland,,
2017,Canada,Europe,Finland,,
2017,China,Europe,Finland,,
2017,France,Europe,Finland,,
2017,Germany,Europe,Finland,,
2017,Japan,Europe,Finland,,
2017,Other,Europe,Finland,77000,142000
2017,Poland,Europe,Finland,,
2017,Sweden,Europe,Finland,,
2017,USA,Europe,Finland,,
2018,Australia,Europe,Finland,,
2018,Belgium,Europe,Finland,,
2018,Brazil,Europe,Finland,,
2018,Canada,Europe,Finland,,
2018,China,Europe,Finland,,
2018,France,Europe,Finland,,
2018,Germany,Europe,Finland,,
2018,Japan,Europe,Finland,,
2018,Other,Europe,Finland,0,41000
2018,Poland,Europe,Finland,,
2018,Sweden,Europe,Finland,,
2018,USA,Europe,Finland,,
2019,Australia,Europe,Finland,,
2019,Belgium,Europe,Finland,,
2019,Brazil,Europe,Finland,,
2019,Canada,Europe,Finland,,
2019,China,Europe,Finland,,
2019,France,Europe,Finland,,
2019,Germany,Europe,Finland,,
2019,Japan,Europe,Finland,,
2019,Other,Europe,Finland,50000,83000
2019,Poland,Europe,Finland,,
2019,Sweden,Europe,Finland,,
2019,USA,Europe,Finland,,
2017,Australia,Europe,Stockholm,,
2017,Belgium,Europe,Stockholm,,
2017,Brazil,Europe,Stockholm,,
2017,Canada,Europe,Stockholm,,
2017,China,Europe,Stockholm,,
2017,France,Europe,Stockholm,,
2017,Germany,Europe,Stockholm,,
2017,Japan,Europe,Stockholm,,
2017,Other,Europe,Stockholm,,
2017,Poland,Europe,Stockholm,,
2017,Sweden,Europe,Stockholm,84000,115000
2017,USA,Europe,Stockholm,,
2018,Australia,Europe,Stockholm,,
2018,Belgium,Europe,Stockholm,,
2018,Brazil,Europe,Stockholm,,
2018,Canada,Europe,Stockholm,,
2018,China,Europe,Stockholm,,
2018,France,Europe,Stockholm,,
2018,Germany,Europe,Stockholm,,
2018,Japan,Europe,Stockholm,,
2018,Other,Europe,Stockholm,,
2018,Poland,Europe,Stockholm,,
2018,Sweden,Europe,Stockholm,131000,
2018,USA,Europe,Stockholm,,
2019,Australia,Europe,Stockholm,,
2019,Belgium,Europe,Stockholm,,
2019,Brazil,Europe,Stockholm,,
2019,Canada,Europe,Stockholm,,
2019,China,Europe,Stockholm,,
2019,France,Europe,Stockholm,,
2019,Germany,Europe,Stockholm,,
2019,Japan,Europe,Stockholm,,
2019,Other,Europe,Stockholm,,
2019,Poland,Europe,Stockholm,,
2019,Sweden,Europe,Stockholm,117000,139000
2019,USA,Europe,Stockholm,,
2017,Australia,Europe,Lublin,,
2017,Belgium,Europe,Lublin,,
2017,Brazil,Europe,Lublin,,
2017,Canada,Europe,Lublin,,
2017,China,Europe,Lublin,,
2017,France,Europe,Lublin,,
2017,Germany,Europe,Lublin,,
2017,Japan,Europe,Lublin,,
2017,Other,Europe,Lublin,,
2017,Poland,Europe,Lublin,0,0
2017,Sweden,Europe,Lublin,,
2017,USA,Europe,Lublin,,
2018,Australia,Europe,Lublin,,
2018,Belgium,Europe,Lublin,,
2018,Brazil,Europe,Lublin,,
2018,Canada,Europe,Lublin,,
2018,China,Europe,Lublin,,
2018,France,Europe,Lublin,,
2018,Germany,Europe,Lublin,,
2018,Japan,Europe,Lublin,,
2018,Other,Europe,Lublin,,
2018,Poland,Europe,Lublin,79000,81000
2018,Sweden,Europe,Lublin,,
2018,USA,Europe,Lublin,,
2019,Australia,Europe,Lublin,,
2019,Belgium,Europe,Lublin,,
2019,Brazil,Europe,Lublin,,
2019,Canada,Europe,Lublin,,
2019,China,Europe,Lublin,,
2019,France,Europe,Lublin,,
2019,Germany,Europe,Lublin,,
2019,Japan,Europe,Lublin,,
2019,Other,Europe,Lublin,,
2019,Poland,Europe,Lublin,128000,121000
2019,Sweden,Europe,Lublin,,
2019,USA,Europe,Lublin,,
2017,Australia,Europe,Brussels,,
2017,Belgium,Europe,Brussels,0,0
2017,Brazil,Europe,Brussels,,
2017,Canada,Europe,Brussels,,
2017,China,Europe,Brussels,,
2017,France,Europe,Brussels,,
2017,Germany,Europe,Brussels,,
2017,Japan,Europe,Brussels,,
2017,Other,Europe,Brussels,,
2017,Poland,Europe,Brussels,,
2017,Sweden,Europe,Brussels,,
2017,USA,Europe,Brussels,,
2018,Australia,Europe,Brussels,,
2018,Belgium,Europe,Brussels,78000,64000
2018,Brazil,Europe,Brussels,,
2018,Canada,Europe,Brussels,,
2018,China,Europe,Brussels,,
2018,France,Europe,Brussels,,
2018,Germany,Europe,Brussels,,
2018,Japan,Europe,Brussels,,
2018,Other,Europe,Brussels,,
2018,Poland,Europe,Brussels,,
2018,Sweden,Europe,Brussels,,
2018,USA,Europe,Brussels,,
2019,Australia,Europe,Brussels,,
2019,Belgium,Europe,Brussels,112000,119000
2019,Brazil,Europe,Brussels,,
2019,Canada,Europe,Brussels,,
2019,China,Europe,Brussels,,
2019,France,Europe,Brussels,,
2019,Germany,Europe,Brussels,,
2019,Japan,Europe,Brussels,,
2019,Other,Europe,Brussels,,
2019,Poland,Europe,Brussels,,
2019,Sweden,Europe,Brussels,,
2019,USA,Europe,Brussels,,
2017,Australia,Europe,Marseille,,
2017,Belgium,Europe,Marseille,,
2017,Brazil,Europe,Marseille,,
2017,Canada,Europe,Marseille,,
2017,China,Europe,Marseille,,
2017,France,Europe,Marseille,107000,118000
2017,Germany,Europe,Marseille,,
2017,Japan,Europe,Marseille,,
2017,Other,Europe,Marseille,,
2017,Poland,Europe,Marseille,,
2017,Sweden,Europe,Marseille,,
2017,USA,Europe,Marseille,,
2018,Australia,Europe,Marseille,,
2018,Belgium,Europe,Marseille,,
2018,Brazil,Europe,Marseille,,
2018,Canada,Europe,Marseille,,
2018,China,Europe,Marseille,,
2018,France,Europe,Marseille,0,0
2018,Germany,Europe,Marseille,,
2018,Japan,Europe,Marseille,,
2018,Other,Europe,Marseille,,
2018,Poland,Europe,Marseille,,
2018,Sweden,Europe,Marseille,,
2018,USA,Europe,Marseille,,
2019,Australia,Europe,Marseille,,
2019,Belgium,Europe,Marseille,,
2019,Brazil,Europe,Marseille,,
2019,Canada,Europe,Marseille,,
2019,China,Europe,Marseille,,
2019,France,Europe,Marseille,101000,44000
2019,Germany,Europe,Marseille,,
2019,Japan,Europe,Marseille,,
2019,Other,Europe,Marseille,,
2019,Poland,Europe,Marseille,,
2019,Sweden,Europe,Marseille,,
2019,USA,Europe,Marseille,,
2017,Australia,Europe,Gothenburg,,
2017,Belgium,Europe,Gothenburg,,
2017,Brazil,Europe,Gothenburg,,
2017,Canada,Europe,Gothenburg,,
2017,China,Europe,Gothenburg,,
2017,France,Europe,Gothenburg,,
2017,Germany,Europe,Gothenburg,,
2017,Japan,Europe,Gothenburg,,
2017,Other,Europe,Gothenburg,,
2017,Poland,Europe,Gothenburg,,
2017,Sweden,Europe,Gothenburg,112000,0
2017,USA,Europe,Gothenburg,,
2018,Australia,Europe,Gothenburg,,
2018,Belgium,Europe,Gothenburg,,
2018,Brazil,Europe,Gothenburg,,
2018,Canada,Europe,Gothenburg,,
2018,China,Europe,Gothenburg,,
2018,France,Europe,Gothenburg,,
2018,Germany,Europe,Gothenburg,,
2018,Japan,Europe,Gothenburg,,
2018,Other,Europe,Gothenburg,,
2018,Poland,Europe,Gothenburg,,
2018,Sweden,Europe,Gothenburg,130000,
2018,USA,Europe,Gothenburg,,
2019,Australia,Europe,Gothenburg,,
2019,Belgium,Europe,Gothenburg,,
2019,Brazil,Europe,Gothenburg,,
2019,Canada,Europe,Gothenburg,,
2019,China,Europe,Gothenburg,,
2019,France,Europe,Gothenburg,,
2019,Germany,Europe,Gothenburg,,
2019,Japan,Europe,Gothenburg,,
2019,Other,Europe,Gothenburg,,
2019,Poland,Europe,Gothenburg,,
2019,Sweden,Europe,Gothenburg,101000,141000
2019,USA,Europe,Gothenburg,,
2017,Australia,Europe,Paris,,
2017,Belgium,Europe,Paris,,
2017,Brazil,Europe,Paris,,
2017,Canada,Europe,Paris,,
2017,China,Europe,Paris,,
2017,France,Europe,Paris,89000,0
2017,Germany,Europe,Paris,,
2017,Japan,Europe,Paris,,
2017,Other,Europe,Paris,,
2017,Poland,Europe,Paris,,
2017,Sweden,Europe,Paris,,
2017,USA,Europe,Paris,,
2018,Australia,Europe,Paris,,
2018,Belgium,Europe,Paris,,
2018,Brazil,Europe,Paris,,
2018,Canada,Europe,Paris,,
2018,China,Europe,Paris,,
2018,France,Europe,Paris,0,0
2018,Germany,Europe,Paris,,
2018,Japan,Europe,Paris,,
2018,Other,Europe,Paris,,
2018,Poland,Europe,Paris,,
2018,Sweden,Europe,Paris,,
2018,USA,Europe,Paris,,
2019,Australia,Europe,Paris,,
2019,Belgium,Europe,Paris,,
2019,Brazil,Europe,Paris,,
2019,Canada,Europe,Paris,,
2019,China,Europe,Paris,,
2019,France,Europe,Paris,51000,131000
2019,Germany,Europe,Paris,,
2019,Japan,Europe,Paris,,
2019,Other,Europe,Paris,,
2019,Poland,Europe,Paris,,
2019,Sweden,Europe,Paris,,
2019,USA,Europe,Paris,,
2017,Australia,Europe,Berlin,,
2017,Belgium,Europe,Berlin,,
2017,Brazil,Europe,Berlin,,
2017,Canada,Europe,Berlin,,
2017,China,Europe,Berlin,,
2017,France,Europe,Berlin,,
2017,Germany,Europe,Berlin,0,0
2017,Japan,Europe,Berlin,,
2017,Other,Europe,Berlin,,
2017,Poland,Europe,Berlin,,
2017,Sweden,Europe,Berlin,,
2017,USA,Europe,Berlin,,
2018,Australia,Europe,Berlin,,
2018,Belgium,Europe,Berlin,,
2018,Brazil,Europe,Berlin,,
2018,Canada,Europe,Berlin,,
2018,China,Europe,Berlin,,
2018,France,Europe,Berlin,,
2018,Germany,Europe,Berlin,,
2018,Japan,Europe,Berlin,,
2018,Other,Europe,Berlin,,
2018,Poland,Europe,Berlin,,
2018,Sweden,Europe,Berlin,,
2018,USA,Europe,Berlin,,
2019,Australia,Europe,Berlin,,
2019,Belgium,Europe,Berlin,,
2019,Brazil,Europe,Berlin,,
2019,Canada,Europe,Berlin,,
2019,China,Europe,Berlin,,
2019,France,Europe,Berlin,,
2019,Germany,Europe,Berlin,48000,128000
2019,Japan,Europe,Berlin,,
2019,Other,Europe,Berlin,,
2019,Poland,Europe,Berlin,,
2019,Sweden,Europe,Berlin,,
2019,USA,Europe,Berlin,,
2017,Australia,Europe,Malmo,,
2017,Belgium,Europe,Malmo,,
2017,Brazil,Europe,Malmo,,
2017,Canada,Europe,Malmo,,
2017,China,Europe,Malmo,,
2017,France,Europe,Malmo,,
2017,Germany,Europe,Malmo,,
2017,Japan,Europe,Malmo,,
2017,Other,Europe,Malmo,,
2017,Poland,Europe,Malmo,,
2017,Sweden,Europe,Malmo,80000,61000
2017,USA,Europe,Malmo,,
2018,Australia,Europe,Malmo,,
2018,Belgium,Europe,Malmo,,
2018,Brazil,Europe,Malmo,,
2018,Canada,Europe,Malmo,,
2018,China,Europe,Malmo,,
2018,France,Europe,Malmo,,
