Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales)
Corporate,Central,Furniture,Chairs,178,3206.8836999999994,7.499999999999997,27989.552000000003
Home Office,Central,Furniture,Chairs,130,464.9370999999999,5.999999999999998,14307.719000000003
Consumer,East,Furniture,Chairs,387,4917.395199999995,15.200000000000001,59645.13300000002
Corporate,East,Furniture,Chairs,189,2720.5878000000002,6.399999999999997,23505.229999999996
Home Office,East,Furniture,Chairs,100,1719.7875999999992,3.7,13110.319999999998
Consumer,South,Furniture,Chairs,195,4017.0346999999992,4.600000000000001,26804.22599999999
Corporate,South,Furniture,Chairs,102,1183.9544999999994,3.400000000000001,11366.872000000003
Home Office,South,Furniture,Chairs,34,1411.1000999999997,0.6000000000000001,7005.348
Consumer,West,Furniture,Chairs,345,1380.0006999999987,20.19999999999996,43480.00799999997
Corporate,West,Furniture,Chairs,250,1233.2304999999983,14.199999999999982,36279.22399999999
Home Office,West,Furniture,Chairs,139,1414.353099999999,7.0000000000000036,22022.095999999998
Consumer,Central,Furniture,Tables,151,-3964.1571000000013,13.100000000000001,20834.999999999996
Corporate,Central,Furniture,Tables,66,707.1805999999999,3.0999999999999996,12562.593000000003
Home Office,Central,Furniture,Tables,45,-302.67390000000046,2.7,5757.378000000001
Consumer,East,Furniture,Tables,106,-3708.3528000000006,12.000000000000009,14082.466999999999
Corporate,East,Furniture,Tables,109,-5299.6557,12.200000000000008,17551.558
Home Office,East,Furniture,Tables,56,-2017.3716000000002,5.7,7505.782000000001
Consumer,South,Furniture,Tables,119,-2577.4996000000006,5.500000000000001,24408.841999999997
Corporate,South,Furniture,Tables,79,-1388.2239000000006,4.1499999999999995,12619.6755
Home Office,South,Furniture,Tables,29,-657.3344000000001,1.7,6887.674500000001
Consumer,West,Furniture,Tables,226,521.9716999999998,11.700000000000003,40607.48599999999
Corporate,West,Furniture,Tables,165,1074.2003999999988,8.100000000000001,28137.891000000003
Home Office,West,Furniture,Tables,90,-113.56480000000028,3.4,16009.185
Consumer,Central,Furniture,Bookcases,95,-1497.1260000000002,6.26,12960.854
Corporate,Central,Furniture,Bookcases,74,-382.7121000000001,3.7999999999999994,8389.5008
Home Office,Central,Furniture,Bookcases,23,-118.0662000000001,1.58,2806.8219999999997
Consumer,East,Furniture,Bookcases,140,-2192.0672000000013,9.100000000000001,27307.134000000002
Corporate,East,Furniture,Bookcases,84,964.963,4.5,13168.931999999997
Home Office,East,Furniture,Bookcases,28,59.472399999999894,1.8,3343.2679999999996
Consumer,South,Furniture,Bookcases,85,1220.0119999999997,1.5999999999999999,8716.561999999998
Corporate,South,Furniture,Bookcases,20,68.36659999999996,0.8,1153.804
Home Office,South,Furniture,Bookcases,13,51.11319999999992,0.4,1028.996
Consumer,West,Furniture,Bookcases,176,-1966.457000000001,12.050000000000002,19648.179
Corporate,West,Furniture,Bookcases,93,-12.167300000000196,4.8999999999999995,11293.6875
Home Office,West,Furniture,Bookcases,37,332.11260000000004,1.3499999999999999,5062.257
Consumer,Central,Furniture,Furnishings,399,-1454.0524,44.40000000000006,9499.989999999998
Corporate,Central,Furniture,Furnishings,224,-1209.3583000000003,23.400000000000013,3143.956000000001
Home Office,Central,Furniture,Furnishings,135,-1242.8061,14.999999999999995,2610.424
Consumer,East,Furniture,Furnishings,481,3021.137000000002,11.59999999999999,13177.067999999997
Corporate,East,Furniture,Furnishings,341,1956.2305999999992,6.000000000000003,9983.326
Home Office,East,Furniture,Furnishings,193,904.0394999999999,4.400000000000001,5910.986000000002
Consumer,South,Furniture,Furnishings,296,1957.1855,8.400000000000002,10870.574000000002
Corporate,South,Furniture,Furnishings,214,1087.9331,7.0000000000000036,4504.68
Home Office,South,Furniture,Furnishings,105,397.5642999999999,2.1999999999999997,1931.4299999999998
Consumer,West,Furniture,Furnishings,658,4395.1526,4.800000000000002,16072.413999999999
Corporate,West,Furniture,Furnishings,307,1673.4023000000002,3.0000000000000004,7369.304000000002
Home Office,West,Furniture,Furnishings,210,1572.7154999999993,2.1999999999999997,6631.012000000001
Consumer,Central,Office Supplies,Storage,400,426.6276999999984,14.999999999999979,25337.689999999984
Corporate,Central,Office Supplies,Storage,195,1084.5101999999995,7.200000000000004,12656.604
Home Office,Central,Office Supplies,Storage,135,472.0162000000001,3.800000000000001,8601.698000000002
Consumer,East,Office Supplies,Storage,398,1973.9241999999992,8.8,24994.45799999998
Corporate,East,Office Supplies,Storage,356,3836.456500000001,6.200000000000003,30968.37
Home Office,East,Office Supplies,Storage,153,2578.9904999999994,2.1999999999999997,15649.756
Consumer,South,Office Supplies,Storage,252,888.6697000000004,5.8000000000000025,16881.745999999996
Corporate,South,Office Supplies,Storage,150,718.5710999999995,3.800000000000001,11362.258
Home Office,South,Office Supplies,Storage,86,667.0556999999998,2.1999999999999997,7524.056
Consumer,West,Office Supplies,Storage,575,3828.2963999999984,5.000000000000002,33944.387999999984
Corporate,West,Office Supplies,Storage,299,3491.4868999999985,2.1999999999999997,24803.766
Home Office,West,Office Supplies,Storage,165,1325.5388999999998,1,11784.698
Consumer,Central,Office Supplies,Binders,769,1832.3209999999972,101.59999999999977,39693.576
Corporate,Central,Office Supplies,Binders,427,-4420.424900000003,53.59999999999994,8879.539999999994
Home Office,Central,Office Supplies,Binders,280,1540.6509999999992,32.000000000000014,8352.709999999995
Consumer,East,Office Supplies,Binders,858,6740.6697,83.20000000000016,31622.609999999982
Corporate,East,Office Supplies,Binders,491,2833.0034000000014,46.900000000000034,12048.38100000001
Home Office,East,Office Supplies,Binders,303,1694.2614999999994,25.399999999999984,9827.006
Consumer,South,Office Supplies,Binders,429,1583.9285000000027,42.00000000000002,18617.702999999994
Corporate,South,Office Supplies,Binders,365,2496.2000999999987,33.59999999999999,11827.631999999992
Home Office,South,Office Supplies,Binders,187,-179.46459999999925,16.799999999999994,6585.0059999999985
Consumer,West,Office Supplies,Binders,962,7971.270199999999,67.80000000000018,28635.096000000005
Corporate,West,Office Supplies,Binders,565,5468.5415,40.89999999999998,18804.759999999995
Home Office,West,Office Supplies,Binders,344,2789.5821,24.199999999999974,8929.233000000002
Consumer,Central,Office Supplies,Appliances,247,-3775.6065000000017,32.60000000000002,9818.720999999998
Corporate,Central,Office Supplies,Appliances,134,-459.23060000000066,16.700000000000003,5224.759000000001
Home Office,Central,Office Supplies,Appliances,94,1472.3615999999997,6.699999999999998,8607.363
Consumer,East,Office Supplies,Appliances,245,5008.757900000001,5.000000000000002,19389.755999999998
Corporate,East,Office Supplies,Appliances,162,2607.2871999999998,3.0000000000000004,10981.264
Home Office,East,Office Supplies,Appliances,67,775.3682999999996,1.2,3817.446000000001
Consumer,South,Office Supplies,Appliances,178,1455.2631999999992,5.200000000000002,8287.354
Corporate,South,Office Supplies,Appliances,100,2543.821799999999,3.2000000000000006,10123.636
Home Office,South,Office Supplies,Appliances,15,124.85459999999995,0.6000000000000001,1114.336
Consumer,West,Office Supplies,Appliances,238,4293.5136,1.4,15323.750000000004
Corporate,West,Office Supplies,Appliances,173,2738.0167999999994,1.7999999999999998,10259.023999999998
Home Office,West,Office Supplies,Appliances,81,1229.7394999999997,1,4653.562
Consumer,Central,Office Supplies,Paper,586,2914.6376999999998,19.79999999999996,7564.020000000004
Corporate,Central,Office Supplies,Paper,426,2399.2304999999997,15.399999999999977,5952.002000000001
Home Office,Central,Office Supplies,Paper,213,1658.0323,6.200000000000003,3975.8799999999997
Consumer,East,Office Supplies,Paper,679,3917.330699999998,10.399999999999995,8661.268
Corporate,East,Office Supplies,Paper,385,2668.958199999999,6.400000000000003,5975.116
Home Office,East,Office Supplies,Paper,336,2429.0821,7.600000000000004,5536.218
Consumer,South,Office Supplies,Paper,446,3090.7796000000008,13.599999999999984,7618.824000000001
Corporate,South,Office Supplies,Paper,256,1410.0632999999996,6.000000000000003,3345.321999999999
Home Office,South,Office Supplies,Paper,152,1451.6616999999997,3.2000000000000006,3202.3899999999994
Consumer,West,Office Supplies,Paper,894,5617.3388,7.400000000000004,12495.807999999994
Corporate,West,Office Supplies,Paper,488,3883.294800000001,4.600000000000001,8610.689999999999
Home Office,West,Office Supplies,Paper,320,2618.6028000000015,2.1999999999999997,5557.219999999997
Consumer,Central,Office Supplies,Supplies,63,-782.0922000000003,3.2000000000000006,4559.912
Corporate,Central,Office Supplies,Supplies,38,101.84980000000004,1.5999999999999999,4382.928
Home Office,Central,Office Supplies,Supplies,21,18.354300000000002,0.4,524.532
Consumer,East,Office Supplies,Supplies,137,-1171.6356999999998,2.8000000000000003,8567.826000000001
Corporate,East,Office Supplies,Supplies,43,-12.897400000000045,0.6000000000000001,1849.2579999999998
Home Office,East,Office Supplies,Supplies,15,29.397900000000014,0.4,343.032
Consumer,South,Office Supplies,Supplies,39,69.85919999999999,1.5999999999999999,2123.554
Corporate,South,Office Supplies,Supplies,40,-111.63789999999992,1,6022.1539999999995
Home Office,South,Office Supplies,Supplies,13,43.655999999999985,0.4,173.22
Consumer,West,Office Supplies,Supplies,120,226.3173999999996,1.4,10490.203999999998
Corporate,West,Office Supplies,Supplies,81,361.61189999999976,0.6000000000000001,7180.943999999999
Home Office,West,Office Supplies,Supplies,37,38.11719999999996,0.6000000000000001,455.97400000000005
Consumer,Central,Office Supplies,Art,374,605.5614999999999,12.799999999999986,3272.3519999999994
Corporate,Central,Office Supplies,Art,177,343.9692999999999,4.600000000000001,1478.7420000000004
Home Office,Central,Office Supplies,Art,127,245.6283,4.200000000000001,1014.2460000000002
Consumer,East,Office Supplies,Art,420,989.0642,8.200000000000003,3847.198
Corporate,East,Office Supplies,Art,287,566.1715999999998,5.200000000000002,2278.4020000000005
Home Office,East,Office Supplies,Art,142,344.70849999999984,2.4,1360.1640000000004
Consumer,South,Office Supplies,Art,312,648.4542999999998,8.000000000000004,2654.756000000001
Corporate,South,Office Supplies,Art,157,264.25429999999994,4.200000000000001,1332.4040000000005
Home Office,South,Office Supplies,Art,78,145.878,2.1999999999999997,668.4620000000001
Consumer,West,Office Supplies,Art,519,1211.2211,4.800000000000002,4477.624
Corporate,West,Office Supplies,Art,229,830.2525,1.5999999999999999,3500.9000000000005
Home Office,West,Office Supplies,Art,178,332.62339999999995,1.4,1233.542
Consumer,Central,Office Supplies,Envelopes,99,912.6615999999998,3.600000000000001,2365.45
Corporate,Central,Office Supplies,Envelopes,57,483.66419999999994,2.1999999999999997,1235.9080000000001
Home Office,Central,Office Supplies,Envelopes,50,381.2025,1.7999999999999998,1035.5140000000001
Consumer,East,Office Supplies,Envelopes,133,881.8797000000001,3.0000000000000004,2095.5220000000004
Corporate,East,Office Supplies,Envelopes,97,663.5852,1.9999999999999998,1579.2660000000003
Home Office,East,Office Supplies,Envelopes,37,266.94409999999993,1,701.086
Consumer,South,Office Supplies,Envelopes,92,503.4307,2.6,1191.5579999999998
Corporate,South,Office Supplies,Envelopes,90,643.3797999999998,1.2,1470.904
Home Office,South,Office Supplies,Envelopes,24,318.6664999999999,0.2,683.094
Consumer,West,Office Supplies,Envelopes,118,966.4406,1.9999999999999998,2118.616
Corporate,West,Office Supplies,Envelopes,79,780.5998000000001,0.4,1656.592
Home Office,West,Office Supplies,Envelopes,30,161.72199999999998,0.4,342.89199999999994
Consumer,Central,Office Supplies,Labels,123,334.2023000000001,3.2000000000000006,743.2059999999999
Corporate,Central,Office Supplies,Labels,80,487.17,3.400000000000001,1095.1080000000002
Home Office,Central,Office Supplies,Labels,81,251.70709999999997,1.9999999999999998,613.158
Consumer,East,Office Supplies,Labels,239,733.5290000000003,3.600000000000001,1652.8000000000002
Corporate,East,Office Supplies,Labels,98,218.62989999999996,1.5999999999999999,508.58599999999996
Home Office,East,Office Supplies,Labels,83,177.12109999999998,1.9999999999999998,441.54799999999994
Consumer,South,Office Supplies,Labels,94,840.9038,3.0000000000000004,1868.2219999999998
Corporate,South,Office Supplies,Labels,87,150.43720000000002,2.4,365.22600000000006
Home Office,South,Office Supplies,Labels,35,49.4313,1.5999999999999999,119.732
Consumer,West,Office Supplies,Labels,259,1167.3532999999998,0.8,2445.033999999999
Corporate,West,Office Supplies,Labels,133,904.5902,1,2132.7259999999997
Home Office,West,Office Supplies,Labels,88,231.17880000000002,0.4,500.966
Consumer,Central,Office Supplies,Fasteners,122,128.14770000000001,4.200000000000001,422.43199999999996
Corporate,Central,Office Supplies,Fasteners,71,78.55630000000002,2.6,232.10999999999999
Home Office,Central,Office Supplies,Fasteners,34,29.9146,0.6000000000000001,123.48799999999999
Consumer,East,Office Supplies,Fasteners,136,149.17300000000003,1.7999999999999998,423.69800000000004
Corporate,East,Office Supplies,Fasteners,116,76.4704,2.4,286.092
Home Office,East,Office Supplies,Fasteners,46,38.34739999999999,1.4,109.928
Consumer,South,Office Supplies,Fasteners,60,114.2714,0.8,276.416
Corporate,South,Office Supplies,Fasteners,36,27.569899999999997,1,80.63400000000001
Home Office,South,Office Supplies,Fasteners,30,31.876799999999996,0.6000000000000001,146.26600000000002
Consumer,West,Office Supplies,Fasteners,155,185.20869999999996,0.8,558.396
Corporate,West,Office Supplies,Fasteners,50,69.3064,1.2,184.45399999999998
Home Office,West,Office Supplies,Fasteners,58,20.675599999999996,0.4,180.36599999999999
