Table5.Year,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.FC),Sum(Table5.AC),Table5.Region,Table5.Country,Table5.City
2017,112000,135000,54000,0,Europe,Sweden,Gothenburg
2018,130000,68000,123000,,Europe,Sweden,Gothenburg
2019,101000,43000,51000,141000,Europe,Sweden,Gothenburg
2017,80000,140000,38000,61000,Europe,Sweden,Malmo
2018,84000,68000,76000,,Europe,Sweden,Malmo
2019,101000,148000,122000,60000,Europe,Sweden,Malmo
2017,118000,77000,150000,88000,Europe,Belgium,Flanders
2018,95000,141000,135000,134000,Europe,Belgium,Flanders
2019,128000,78000,51000,108000,Europe,Belgium,Flanders
2017,0,115000,101000,0,Europe,Belgium,Brussels
2018,78000,94000,76000,64000,Europe,Belgium,Brussels
2019,112000,35000,140000,119000,Europe,Belgium,Brussels
2017,0,133000,121000,107000,Europe,Germany,Frankfurt
2018,100000,126000,39000,91000,Europe,Germany,Frankfurt
2019,142000,139000,53000,91000,Europe,Germany,Frankfurt
2017,0,127000,86000,0,Europe,Germany,Berlin
2018,,,45000,,Europe,Germany,Berlin
2019,48000,93000,63000,128000,Europe,Germany,Berlin
2017,107000,99000,99000,118000,Europe,France,Marseille
2018,0,0,43000,0,Europe,France,Marseille
2019,101000,95000,54000,44000,Europe,France,Marseille
2017,89000,100000,92000,0,Europe,France,Paris
2018,0,0,127000,0,Europe,France,Paris
2019,51000,63000,88000,131000,Europe,France,Paris
2017,77000,64000,77000,142000,Europe,Other,Finland
2018,0,131000,129000,41000,Europe,Other,Finland
2019,50000,45000,102000,83000,Europe,Other,Finland
2017,266000,204000,275000,231000,Asia-Pacific,Australia,Brisbane
2018,46000,71000,131000,149000,Asia-Pacific,Australia,Brisbane
2019,70000,97000,70000,38000,Asia-Pacific,Australia,Brisbane
2017,54000,66000,58000,62000,Asia-Pacific,Australia,Sydney
2018,38000,109000,101000,117000,Asia-Pacific,Australia,Sydney
2019,147000,42000,106000,42000,Asia-Pacific,Australia,Sydney
2017,9000,12000,14000,11000,Asia-Pacific,Australia,Melbourne
2018,96000,130000,63000,69000,Asia-Pacific,Australia,Melbourne
2019,,,93000,,Asia-Pacific,Australia,Melbourne
2017,112000,69000,150000,119000,Asia-Pacific,Japan,Tokyo
2018,59000,116000,145000,89000,Asia-Pacific,Japan,Tokyo
2019,139000,94000,93000,91000,Asia-Pacific,Japan,Tokyo
2017,117000,78000,39000,40000,Asia-Pacific,Japan,Hiroshima
2018,62000,87000,121000,92000,Asia-Pacific,Japan,Hiroshima
2019,67000,92000,82000,102000,Asia-Pacific,Japan,Hiroshima
2017,35000,85000,65000,47000,Asia-Pacific,Japan,Yokohoma
2018,66000,62000,144000,68000,Asia-Pacific,Japan,Yokohoma
2019,73000,114000,46000,36000,Asia-Pacific,Japan,Yokohoma
2017,108000,129000,80000,134000,Asia-Pacific,China,Shangai
2018,109000,63000,126000,124000,Asia-Pacific,China,Shangai
2019,96000,113000,63000,68000,Asia-Pacific,China,Shangai
2017,104000,35000,137000,48000,Asia-Pacific,China,Beijing
2018,92000,133000,149000,115000,Asia-Pacific,China,Beijing
2019,145000,135000,124000,39000,Asia-Pacific,China,Beijing
2017,96000,130000,94000,62000,Asia-Pacific,China,Chengdu
2018,117000,41000,138000,48000,Asia-Pacific,China,Chengdu
2019,80000,47000,69000,38000,Asia-Pacific,China,Chengdu
2017,134000,111000,118000,50000,Asia-Pacific,Other,Seoul
2018,78000,52000,55000,78000,Asia-Pacific,Other,Seoul
2019,66000,41000,87000,69000,Asia-Pacific,Other,Seoul
