Orders.Country,Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
United States,Home Office,East,Office Supplies,Binders,1694.2614999999998,9827.006000000005
United States,Consumer,South,Office Supplies,Binders,1583.9285000000007,18617.702999999994
United States,Corporate,South,Office Supplies,Binders,2496.2000999999987,11827.631999999996
United States,Home Office,South,Office Supplies,Binders,-179.46459999999976,6585.005999999997
United States,Consumer,West,Office Supplies,Binders,7838.678000000003,28227.120000000006
United States,Corporate,West,Office Supplies,Binders,5468.5415,18804.75999999999
United States,Home Office,West,Office Supplies,Binders,2789.5821,8929.233000000006
United States,Consumer,Central,Office Supplies,Appliances,-3775.6065000000012,9818.720999999998
United States,Corporate,Central,Office Supplies,Appliances,-459.2306000000005,5224.759000000001
United States,Home Office,Central,Office Supplies,Appliances,1596.2196,8538.553
United States,Consumer,East,Office Supplies,Appliances,5008.7579000000005,19389.75599999999
United States,Corporate,East,Office Supplies,Appliances,2607.2871999999993,10981.264000000001
United States,Home Office,East,Office Supplies,Appliances,775.3682999999995,3817.446000000001
United States,Consumer,South,Office Supplies,Appliances,1455.2631999999996,8287.354
United States,Corporate,South,Office Supplies,Appliances,2543.821799999999,10123.635999999997
United States,Home Office,South,Office Supplies,Appliances,124.85459999999995,1114.336
United States,Consumer,West,Office Supplies,Appliances,4293.513599999998,15323.750000000002
United States,Corporate,West,Office Supplies,Appliances,2738.0168000000003,10259.023999999998
United States,Home Office,West,Office Supplies,Appliances,1229.7395,4653.562
United States,Consumer,Central,Office Supplies,Paper,2914.6376999999993,7564.020000000006
United States,Corporate,Central,Office Supplies,Paper,2399.2305,5952.002000000001
United States,Home Office,Central,Office Supplies,Paper,1658.0322999999999,3975.88
United States,Consumer,East,Office Supplies,Paper,3917.330700000003,8661.268000000002
United States,Corporate,East,Office Supplies,Paper,2668.9581999999987,5975.116
United States,Home Office,East,Office Supplies,Paper,2429.082099999999,5536.218000000001
United States,Consumer,South,Office Supplies,Paper,3085.3364,7603.272000000003
United States,Corporate,South,Office Supplies,Paper,1410.0632999999998,3345.321999999999
United States,Home Office,South,Office Supplies,Paper,1451.6616999999997,3202.39
United States,Consumer,West,Office Supplies,Paper,5617.338800000002,12495.807999999995
United States,Corporate,West,Office Supplies,Paper,3883.294800000001,8610.689999999999
United States,Home Office,West,Office Supplies,Paper,2618.6028000000015,5557.2199999999975
United States,Consumer,Central,Office Supplies,Supplies,-782.0922000000003,4559.912000000001
United States,Corporate,Central,Office Supplies,Supplies,101.84980000000003,4382.928
United States,Home Office,Central,Office Supplies,Supplies,18.354300000000002,524.532
United States,Consumer,East,Office Supplies,Supplies,-1171.6356999999998,8567.826000000003
United States,Corporate,East,Office Supplies,Supplies,-12.897400000000047,1849.2580000000003
United States,Home Office,East,Office Supplies,Supplies,29.397900000000014,343.03200000000004
United States,Consumer,South,Office Supplies,Supplies,69.85919999999999,2123.554
United States,Corporate,South,Office Supplies,Supplies,-111.63789999999989,6022.1539999999995
United States,Home Office,South,Office Supplies,Supplies,43.655999999999985,173.22
United States,Consumer,West,Office Supplies,Supplies,226.3173999999996,10490.203999999996
United States,Corporate,West,Office Supplies,Supplies,361.6118999999998,7180.943999999999
United States,Home Office,West,Office Supplies,Supplies,38.117199999999976,455.97400000000005
United States,Consumer,Central,Office Supplies,Art,605.5615,3272.352
United States,Corporate,Central,Office Supplies,Art,343.9692999999999,1478.7420000000002
United States,Home Office,Central,Office Supplies,Art,245.62829999999997,1014.2460000000002
United States,Consumer,East,Office Supplies,Art,989.0641999999997,3847.198
United States,Corporate,East,Office Supplies,Art,566.1715999999999,2278.402
United States,Home Office,East,Office Supplies,Art,344.7084999999999,1360.1639999999998
United States,Consumer,South,Office Supplies,Art,648.4542999999995,2654.7560000000008
United States,Corporate,South,Office Supplies,Art,264.25429999999994,1332.4040000000002
United States,Home Office,South,Office Supplies,Art,145.87799999999993,668.462
United States,Consumer,West,Office Supplies,Art,1211.2211000000002,4477.6240000000025
United States,Corporate,West,Office Supplies,Art,830.2524999999998,3500.9
United States,Home Office,West,Office Supplies,Art,332.6234,1233.542
United States,Consumer,Central,Office Supplies,Envelopes,912.6615999999998,2365.4500000000003
United States,Corporate,Central,Office Supplies,Envelopes,483.66419999999994,1235.9080000000001
United States,Home Office,Central,Office Supplies,Envelopes,381.20249999999993,1035.514
United States,Consumer,East,Office Supplies,Envelopes,881.8797000000001,2095.522
United States,Corporate,East,Office Supplies,Envelopes,663.5851999999999,1579.2660000000003
United States,Home Office,East,Office Supplies,Envelopes,266.9441,701.086
United States,Consumer,South,Office Supplies,Envelopes,503.43069999999994,1191.5579999999998
United States,Corporate,South,Office Supplies,Envelopes,643.3798,1470.904
United States,Home Office,South,Office Supplies,Envelopes,318.6664999999999,683.094
United States,Consumer,West,Office Supplies,Envelopes,966.4405999999999,2118.616000000001
United States,Corporate,West,Office Supplies,Envelopes,780.5997999999998,1656.5919999999999
United States,Home Office,West,Office Supplies,Envelopes,161.72199999999998,342.89199999999994
United States,Consumer,Central,Office Supplies,Labels,334.20230000000004,743.2059999999999
United States,Corporate,Central,Office Supplies,Labels,487.17,1095.108
United States,Home Office,Central,Office Supplies,Labels,251.7071,613.1580000000001
United States,Consumer,East,Office Supplies,Labels,733.5290000000001,1652.7999999999997
United States,Corporate,East,Office Supplies,Labels,218.62989999999994,508.5859999999999
United States,Home Office,East,Office Supplies,Labels,177.1211,441.548
United States,Consumer,South,Office Supplies,Labels,840.9037999999999,1868.2219999999995
United States,Corporate,South,Office Supplies,Labels,150.43720000000002,365.2260000000001
United States,Home Office,South,Office Supplies,Labels,49.4313,119.732
United States,Consumer,West,Office Supplies,Labels,1167.3532999999995,2445.033999999999
United States,Corporate,West,Office Supplies,Labels,904.5902000000003,2132.726
United States,Home Office,West,Office Supplies,Labels,231.17880000000002,500.96600000000007
United States,Consumer,Central,Office Supplies,Fasteners,128.14770000000001,422.43199999999996
United States,Corporate,Central,Office Supplies,Fasteners,78.5563,232.11000000000004
United States,Home Office,Central,Office Supplies,Fasteners,29.9146,123.48799999999999
United States,Consumer,East,Office Supplies,Fasteners,149.17299999999997,423.698
United States,Corporate,East,Office Supplies,Fasteners,76.4704,286.09200000000004
United States,Home Office,East,Office Supplies,Fasteners,38.34739999999999,109.928
United States,Consumer,South,Office Supplies,Fasteners,114.2714,276.416
United States,Corporate,South,Office Supplies,Fasteners,27.569899999999997,80.63400000000001
United States,Home Office,South,Office Supplies,Fasteners,31.876799999999996,146.266
United States,Consumer,West,Office Supplies,Fasteners,185.2087,558.3960000000002
United States,Corporate,West,Office Supplies,Fasteners,69.3064,184.45399999999998
United States,Home Office,West,Office Supplies,Fasteners,20.675600000000003,180.36599999999999
