15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.Volume Sold (Gallons))
2013,Qtr 4,BELLE PLAINE,3.76
2014,Qtr 2,BELLE PLAINE,2.77
2014,Qtr 4,BELLE PLAINE,1.19
2015,Qtr 2,BELLE PLAINE,2.38
2015,Qtr 4,BELLE PLAINE,0.4
2012,Qtr 2,BELLEVUE,
2012,Qtr 4,BELLEVUE,6.34
2013,Qtr 2,BELLEVUE,5.9399999999999995
2013,Qtr 4,BELLEVUE,11.1
2014,Qtr 2,BELLEVUE,3.17
2014,Qtr 4,BELLEVUE,2.77
2015,Qtr 2,BELLEVUE,3.17
2015,Qtr 4,BELLEVUE,
2012,Qtr 2,BELMOND,8.92
2012,Qtr 4,BELMOND,
2013,Qtr 2,BELMOND,5.9399999999999995
2013,Qtr 4,BELMOND,
2014,Qtr 2,BELMOND,6.9399999999999995
2014,Qtr 4,BELMOND,
2015,Qtr 2,BELMOND,0.4
2015,Qtr 4,BELMOND,2.97
2012,Qtr 2,BETTENDORF,31.419999999999998
2012,Qtr 4,BETTENDORF,27.02
2013,Qtr 2,BETTENDORF,21.299999999999997
2013,Qtr 4,BETTENDORF,33.11000000000001
2014,Qtr 2,BETTENDORF,44.17000000000001
2014,Qtr 4,BETTENDORF,93.53000000000003
2015,Qtr 2,BETTENDORF,29.53
2015,Qtr 4,BETTENDORF,25.200000000000003
2012,Qtr 2,BEVINGTON,
2012,Qtr 4,BEVINGTON,
2013,Qtr 2,BEVINGTON,
2013,Qtr 4,BEVINGTON,2.77
2014,Qtr 2,BEVINGTON,2.77
2014,Qtr 4,BEVINGTON,1.19
2015,Qtr 2,BEVINGTON,
2015,Qtr 4,BEVINGTON,
2012,Qtr 2,BLOOMFIELD,1.19
2012,Qtr 4,BLOOMFIELD,
2013,Qtr 2,BLOOMFIELD,2.77
2013,Qtr 4,BLOOMFIELD,
2014,Qtr 2,BLOOMFIELD,0.66
2014,Qtr 4,BLOOMFIELD,2.38
2015,Qtr 2,BLOOMFIELD,2.38
2015,Qtr 4,BLOOMFIELD,
2012,Qtr 2,BLUE GRASS,1.32
2012,Qtr 4,BLUE GRASS,2.57
2013,Qtr 2,BLUE GRASS,
2013,Qtr 4,BLUE GRASS,0.26
2014,Qtr 2,BLUE GRASS,1.7200000000000002
2014,Qtr 4,BLUE GRASS,0.2
2015,Qtr 2,BLUE GRASS,0.2
2015,Qtr 4,BLUE GRASS,
2012,Qtr 2,BONDURANT,
2012,Qtr 4,BONDURANT,
2013,Qtr 2,BONDURANT,
2013,Qtr 4,BONDURANT,0.2
2014,Qtr 2,BONDURANT,0.61
2014,Qtr 4,BONDURANT,2.38
2015,Qtr 2,BONDURANT,
2015,Qtr 4,BONDURANT,
2012,Qtr 2,BOONE,12.09
2012,Qtr 4,BOONE,
2013,Qtr 2,BOONE,5.949999999999999
2013,Qtr 4,BOONE,31.5
2014,Qtr 2,BOONE,5.9399999999999995
2014,Qtr 4,BOONE,15.059999999999999
2015,Qtr 2,BOONE,28.85
2015,Qtr 4,BOONE,0.13
2012,Qtr 2,BRITT,0.26
2012,Qtr 4,BRITT,2.77
2013,Qtr 2,BRITT,3.17
2013,Qtr 4,BRITT,0.79
2014,Qtr 2,BRITT,1.7799999999999998
2014,Qtr 4,BRITT,
2015,Qtr 2,BRITT,3.17
2015,Qtr 4,BRITT,2.77
2012,Qtr 2,BROOKLYN,
2012,Qtr 4,BROOKLYN,0.4
2013,Qtr 2,BROOKLYN,1.5899999999999999
2013,Qtr 4,BROOKLYN,2.77
2014,Qtr 2,BROOKLYN,2.38
2014,Qtr 4,BROOKLYN,
2015,Qtr 2,BROOKLYN,
2015,Qtr 4,BROOKLYN,
2012,Qtr 2,BURLINGTON,20.26
2012,Qtr 4,BURLINGTON,33.059999999999995
2013,Qtr 2,BURLINGTON,23.29
2013,Qtr 4,BURLINGTON,21.74
2014,Qtr 2,BURLINGTON,13.44
2014,Qtr 4,BURLINGTON,18.34
2015,Qtr 2,BURLINGTON,10.830000000000002
2015,Qtr 4,BURLINGTON,30.33
2012,Qtr 2,CAMANCHE,
2012,Qtr 4,CAMANCHE,
2013,Qtr 2,CAMANCHE,
2013,Qtr 4,CAMANCHE,
2014,Qtr 2,CAMANCHE,2.77
2014,Qtr 4,CAMANCHE,3.17
2015,Qtr 2,CAMANCHE,3.17
2015,Qtr 4,CAMANCHE,0.92
2012,Qtr 2,CAMBRIDGE,
2012,Qtr 4,CAMBRIDGE,1.12
2013,Qtr 2,CAMBRIDGE,
2013,Qtr 4,CAMBRIDGE,0.92
2014,Qtr 2,CAMBRIDGE,0.4
2014,Qtr 4,CAMBRIDGE,
2015,Qtr 2,CAMBRIDGE,
2015,Qtr 4,CAMBRIDGE,
2012,Qtr 2,CARLISLE,
2012,Qtr 4,CARLISLE,
2013,Qtr 2,CARLISLE,
2013,Qtr 4,CARLISLE,
2014,Qtr 2,CARLISLE,
2014,Qtr 4,CARLISLE,2.38
2015,Qtr 2,CARLISLE,2.38
2015,Qtr 4,CARLISLE,0.59
2012,Qtr 2,CARROLL,26.68
2012,Qtr 4,CARROLL,12.69
2013,Qtr 2,CARROLL,4.44
2013,Qtr 4,CARROLL,40.730000000000004
2014,Qtr 2,CARROLL,12.85
2014,Qtr 4,CARROLL,9.41
2015,Qtr 2,CARROLL,9.309999999999999
2015,Qtr 4,CARROLL,11.86
2012,Qtr 2,CARTER LAKE,
2012,Qtr 4,CARTER LAKE,
2013,Qtr 2,CARTER LAKE,
2013,Qtr 4,CARTER LAKE,
2014,Qtr 2,CARTER LAKE,
2014,Qtr 4,CARTER LAKE,0.59
2015,Qtr 2,CARTER LAKE,0.13
2015,Qtr 4,CARTER LAKE,
2012,Qtr 2,CASCADE,
2012,Qtr 4,CASCADE,
2013,Qtr 2,CASCADE,0.53
2013,Qtr 4,CASCADE,
2014,Qtr 2,CASCADE,2.6500000000000004
2014,Qtr 4,CASCADE,
2015,Qtr 2,CASCADE,
2015,Qtr 4,CASCADE,2.77
2012,Qtr 2,CEDAR FALLS,21.33
2012,Qtr 4,CEDAR FALLS,33.800000000000004
2013,Qtr 2,CEDAR FALLS,31.419999999999998
2013,Qtr 4,CEDAR FALLS,32.660000000000004
2014,Qtr 2,CEDAR FALLS,41.87000000000001
2014,Qtr 4,CEDAR FALLS,31.309999999999995
2015,Qtr 2,CEDAR FALLS,61.81
2015,Qtr 4,CEDAR FALLS,45.91000000000001
2012,Qtr 2,CEDAR RAPIDS,238.2300000000001
2012,Qtr 4,CEDAR RAPIDS,148.34
2013,Qtr 2,CEDAR RAPIDS,149.7
2013,Qtr 4,CEDAR RAPIDS,142.00999999999996
2014,Qtr 2,CEDAR RAPIDS,87.77999999999996
2014,Qtr 4,CEDAR RAPIDS,374.1799999999999
2015,Qtr 2,CEDAR RAPIDS,185.73000000000013
2015,Qtr 4,CEDAR RAPIDS,149.55999999999997
2012,Qtr 2,CENTER POINT,0.59
2012,Qtr 4,CENTER POINT,
2013,Qtr 2,CENTER POINT,
2013,Qtr 4,CENTER POINT,
2014,Qtr 2,CENTER POINT,
2014,Qtr 4,CENTER POINT,0.79
2015,Qtr 2,CENTER POINT,
2015,Qtr 4,CENTER POINT,0.8
2012,Qtr 2,CENTERVILLE,5.88
2012,Qtr 4,CENTERVILLE,0.66
2013,Qtr 2,CENTERVILLE,0.8600000000000001
2013,Qtr 4,CENTERVILLE,5.54
2014,Qtr 2,CENTERVILLE,6.47
2014,Qtr 4,CENTERVILLE,4.36
2015,Qtr 2,CENTERVILLE,3.4699999999999998
2015,Qtr 4,CENTERVILLE,4.29
2012,Qtr 2,CENTRAL CITY,
2012,Qtr 4,CENTRAL CITY,0.59
2013,Qtr 2,CENTRAL CITY,
2013,Qtr 4,CENTRAL CITY,
2014,Qtr 2,CENTRAL CITY,3.36
2014,Qtr 4,CENTRAL CITY,
2015,Qtr 2,CENTRAL CITY,
2015,Qtr 4,CENTRAL CITY,
2012,Qtr 2,CHARITON,3.69
2012,Qtr 4,CHARITON,10.7
2013,Qtr 2,CHARITON,5.95
2013,Qtr 4,CHARITON,6.88
2014,Qtr 2,CHARITON,0.99
2014,Qtr 4,CHARITON,2.38
2015,Qtr 2,CHARITON,5.15
2015,Qtr 4,CHARITON,1.59
2012,Qtr 2,CHARLES CITY,16.63
2012,Qtr 4,CHARLES CITY,2.38
2013,Qtr 2,CHARLES CITY,13.469999999999999
2013,Qtr 4,CHARLES CITY,7.93
2014,Qtr 2,CHARLES CITY,6.74
2014,Qtr 4,CHARLES CITY,4.76
2015,Qtr 2,CHARLES CITY,4.24
2015,Qtr 4,CHARLES CITY,2.38
2012,Qtr 2,CHEROKEE,3.56
2012,Qtr 4,CHEROKEE,9.370000000000001
2013,Qtr 2,CHEROKEE,9.77
2013,Qtr 4,CHEROKEE,7.109999999999999
2014,Qtr 2,CHEROKEE,0.59
2014,Qtr 4,CHEROKEE,2.97
2015,Qtr 2,CHEROKEE,75.89
2015,Qtr 4,CHEROKEE,2.38
2012,Qtr 2,CLARINDA,2.58
2012,Qtr 4,CLARINDA,0.4
2013,Qtr 2,CLARINDA,9.04
2013,Qtr 4,CLARINDA,1.19
2014,Qtr 2,CLARINDA,1.58
2014,Qtr 4,CLARINDA,4.359999999999999
2015,Qtr 2,CLARINDA,3.96
2015,Qtr 4,CLARINDA,3.5
2012,Qtr 2,CLARION,1.06
2012,Qtr 4,CLARION,5.55
2013,Qtr 2,CLARION,3.17
2013,Qtr 4,CLARION,2.38
2014,Qtr 2,CLARION,0.4
2014,Qtr 4,CLARION,
2015,Qtr 2,CLARION,5.55
2015,Qtr 4,CLARION,
2012,Qtr 2,CLEAR LAKE,6.9
2012,Qtr 4,CLEAR LAKE,23.56
2013,Qtr 2,CLEAR LAKE,17.709999999999997
2013,Qtr 4,CLEAR LAKE,12.78
2014,Qtr 2,CLEAR LAKE,40.59
2014,Qtr 4,CLEAR LAKE,14.299999999999999
2015,Qtr 2,CLEAR LAKE,13.609999999999998
2015,Qtr 4,CLEAR LAKE,11.61
2012,Qtr 2,CLINTON,47.78
2012,Qtr 4,CLINTON,26.11
2013,Qtr 2,CLINTON,13.329999999999998
2013,Qtr 4,CLINTON,20.8
2014,Qtr 2,CLINTON,32.269999999999996
2014,Qtr 4,CLINTON,15.739999999999998
2015,Qtr 2,CLINTON,16.23
2015,Qtr 4,CLINTON,5.84
2012,Qtr 2,CLIVE,14.849999999999998
2012,Qtr 4,CLIVE,9.709999999999999
2013,Qtr 2,CLIVE,25.15
2013,Qtr 4,CLIVE,8.92
2014,Qtr 2,CLIVE,3.96
2014,Qtr 4,CLIVE,19.51
2015,Qtr 2,CLIVE,16.83
2015,Qtr 4,CLIVE,2.38
2012,Qtr 2,COLFAX,1.39
2012,Qtr 4,COLFAX,
2013,Qtr 2,COLFAX,2.38
2013,Qtr 4,COLFAX,
2014,Qtr 2,COLFAX,
2014,Qtr 4,COLFAX,
2015,Qtr 2,COLFAX,
2015,Qtr 4,COLFAX,4.359999999999999
2012,Qtr 2,COLUMBUS JUNCTION,0.92
2012,Qtr 4,COLUMBUS JUNCTION,
2013,Qtr 2,COLUMBUS JUNCTION,1.12
2013,Qtr 4,COLUMBUS JUNCTION,0.99
2014,Qtr 2,COLUMBUS JUNCTION,0.8
2014,Qtr 4,COLUMBUS JUNCTION,0.92
2015,Qtr 2,COLUMBUS JUNCTION,2.78
2015,Qtr 4,COLUMBUS JUNCTION,
2012,Qtr 2,CONRAD,6.74
2012,Qtr 4,CONRAD,0.4
2013,Qtr 2,CONRAD,
2013,Qtr 4,CONRAD,
2014,Qtr 2,CONRAD,
2014,Qtr 4,CONRAD,
2015,Qtr 2,CONRAD,0.4
2015,Qtr 4,CONRAD,
2012,Qtr 2,COON RAPIDS,2.77
2012,Qtr 4,COON RAPIDS,
2013,Qtr 2,COON RAPIDS,
2013,Qtr 4,COON RAPIDS,
2014,Qtr 2,COON RAPIDS,
2014,Qtr 4,COON RAPIDS,
2015,Qtr 2,COON RAPIDS,
2015,Qtr 4,COON RAPIDS,0.99
2012,Qtr 2,CORALVILLE,145.55999999999995
2012,Qtr 4,CORALVILLE,15.379999999999999
2013,Qtr 2,CORALVILLE,30.849999999999998
2013,Qtr 4,CORALVILLE,20.36
2014,Qtr 2,CORALVILLE,36.29
2014,Qtr 4,CORALVILLE,84.41999999999997
2015,Qtr 2,CORALVILLE,61.91999999999999
2015,Qtr 4,CORALVILLE,16.33
2012,Qtr 2,CORNING,1.9100000000000001
2012,Qtr 4,CORNING,3.6199999999999997
2013,Qtr 2,CORNING,1.19
2013,Qtr 4,CORNING,2.38
2014,Qtr 2,CORNING,3.56
2014,Qtr 4,CORNING,2.38
2015,Qtr 2,CORNING,0.4
2015,Qtr 4,CORNING,3.0300000000000002
2012,Qtr 2,CORYDON,0.99
2012,Qtr 4,CORYDON,1.06
2013,Qtr 2,CORYDON,
2013,Qtr 4,CORYDON,
2014,Qtr 2,CORYDON,
2014,Qtr 4,CORYDON,
2015,Qtr 2,CORYDON,
2015,Qtr 4,CORYDON,2.38
2012,Qtr 2,COUNCIL BLUFFS,123.04999999999997
2012,Qtr 4,COUNCIL BLUFFS,67.81
2013,Qtr 2,COUNCIL BLUFFS,114.91999999999997
2013,Qtr 4,COUNCIL BLUFFS,143.88
2014,Qtr 2,COUNCIL BLUFFS,73.14
2014,Qtr 4,COUNCIL BLUFFS,52.760000000000026
2015,Qtr 2,COUNCIL BLUFFS,65.72
2015,Qtr 4,COUNCIL BLUFFS,22.289999999999996
2012,Qtr 2,CRESCENT,
2012,Qtr 4,CRESCENT,
2013,Qtr 2,CRESCENT,
2013,Qtr 4,CRESCENT,
2014,Qtr 2,CRESCENT,
2014,Qtr 4,CRESCENT,
2015,Qtr 2,CRESCENT,0.26
2015,Qtr 4,CRESCENT,
2012,Qtr 2,CRESCO,8.91
2012,Qtr 4,CRESCO,9.120000000000001
2013,Qtr 2,CRESCO,6.08
2013,Qtr 4,CRESCO,6.34
2014,Qtr 2,CRESCO,7.92
2014,Qtr 4,CRESCO,3.17
2015,Qtr 2,CRESCO,0.79
2015,Qtr 4,CRESCO,4.76
2012,Qtr 2,CRESTON,10.5
2012,Qtr 4,CRESTON,6.58
2013,Qtr 2,CRESTON,8.19
2013,Qtr 4,CRESTON,27.08
2014,Qtr 2,CRESTON,1.45
2014,Qtr 4,CRESTON,12.879999999999999
2015,Qtr 2,CRESTON,3.17
2015,Qtr 4,CRESTON,2.38
2012,Qtr 2,DAKOTA CITY,
2012,Qtr 4,DAKOTA CITY,
2013,Qtr 2,DAKOTA CITY,
2013,Qtr 4,DAKOTA CITY,
2014,Qtr 2,DAKOTA CITY,
2014,Qtr 4,DAKOTA CITY,
2015,Qtr 2,DAKOTA CITY,1.19
2015,Qtr 4,DAKOTA CITY,
2012,Qtr 2,DAVENPORT,98.81999999999996
2012,Qtr 4,DAVENPORT,127.63999999999999
2013,Qtr 2,DAVENPORT,74.48000000000002
2013,Qtr 4,DAVENPORT,72.20999999999998
2014,Qtr 2,DAVENPORT,81.81999999999998
2014,Qtr 4,DAVENPORT,136.21999999999994
2015,Qtr 2,DAVENPORT,82.52999999999999
2015,Qtr 4,DAVENPORT,93.67999999999998
2012,Qtr 2,DAYTON,
2012,Qtr 4,DAYTON,
2013,Qtr 2,DAYTON,0.79
2013,Qtr 4,DAYTON,2.38
2014,Qtr 2,DAYTON,
2014,Qtr 4,DAYTON,1.06
2015,Qtr 2,DAYTON,
2015,Qtr 4,DAYTON,
2012,Qtr 2,DE SOTO,1.19
2012,Qtr 4,DE SOTO,0.2
2013,Qtr 2,DE SOTO,1.19
2013,Qtr 4,DE SOTO,
2014,Qtr 2,DE SOTO,
2014,Qtr 4,DE SOTO,
2015,Qtr 2,DE SOTO,
2015,Qtr 4,DE SOTO,
2012,Qtr 2,DECORAH,22.14
2012,Qtr 4,DECORAH,7.93
2013,Qtr 2,DECORAH,3.83
2013,Qtr 4,DECORAH,16.64
2014,Qtr 2,DECORAH,6.529999999999999
2014,Qtr 4,DECORAH,7.92
2015,Qtr 2,DECORAH,11.489999999999998
2015,Qtr 4,DECORAH,7.53
2012,Qtr 2,DELAWARE,
2012,Qtr 4,DELAWARE,
2013,Qtr 2,DELAWARE,
2013,Qtr 4,DELAWARE,
2014,Qtr 2,DELAWARE,
2014,Qtr 4,DELAWARE,
2015,Qtr 2,DELAWARE,
2015,Qtr 4,DELAWARE,2.38
2012,Qtr 2,DENISON,14.079999999999998
2012,Qtr 4,DENISON,14.07
2013,Qtr 2,DENISON,0.2
2013,Qtr 4,DENISON,9.18
2014,Qtr 2,DENISON,4.22
2014,Qtr 4,DENISON,2.77
2015,Qtr 2,DENISON,12.489999999999998
2015,Qtr 4,DENISON,56.87
2012,Qtr 2,DENVER,5.55
2012,Qtr 4,DENVER,2.77
2013,Qtr 2,DENVER,
2013,Qtr 4,DENVER,
2014,Qtr 2,DENVER,
2014,Qtr 4,DENVER,3.36
2015,Qtr 2,DENVER,
2015,Qtr 4,DENVER,4.76
2012,Qtr 2,DES MOINES,215.38000000000002
2012,Qtr 4,DES MOINES,267.78999999999985
2013,Qtr 2,DES MOINES,278.94999999999993
2013,Qtr 4,DES MOINES,290.65
2014,Qtr 2,DES MOINES,319.92999999999967
2014,Qtr 4,DES MOINES,184.47999999999996
2015,Qtr 2,DES MOINES,231.72
2015,Qtr 4,DES MOINES,172.24000000000007
2012,Qtr 2,DEWITT,7.529999999999999
2012,Qtr 4,DEWITT,2.77
2013,Qtr 2,DEWITT,2.77
2013,Qtr 4,DEWITT,
2014,Qtr 2,DEWITT,
2014,Qtr 4,DEWITT,
2015,Qtr 2,DEWITT,
2015,Qtr 4,DEWITT,
2012,Qtr 2,DUBUQUE,41.089999999999996
2012,Qtr 4,DUBUQUE,71.39000000000001
2013,Qtr 2,DUBUQUE,57.46
2013,Qtr 4,DUBUQUE,68.11000000000001
2014,Qtr 2,DUBUQUE,54.94
2014,Qtr 4,DUBUQUE,204.37
2015,Qtr 2,DUBUQUE,66.21
2015,Qtr 4,DUBUQUE,72.93
2012,Qtr 2,DUMONT,
2012,Qtr 4,DUMONT,
2013,Qtr 2,DUMONT,
2013,Qtr 4,DUMONT,
2014,Qtr 2,DUMONT,
2014,Qtr 4,DUMONT,
2015,Qtr 2,DUMONT,
2015,Qtr 4,DUMONT,0.59
2012,Qtr 2,DUNLAP,0.2
2012,Qtr 4,DUNLAP,2.78
2013,Qtr 2,DUNLAP,3.27
2013,Qtr 4,DUNLAP,
2014,Qtr 2,DUNLAP,
2014,Qtr 4,DUNLAP,
2015,Qtr 2,DUNLAP,
2015,Qtr 4,DUNLAP,0.08
2012,Qtr 2,DURANT,0.4
2012,Qtr 4,DURANT,
2013,Qtr 2,DURANT,1.39
2013,Qtr 4,DURANT,3.0300000000000002
2014,Qtr 2,DURANT,0.93
2014,Qtr 4,DURANT,
2015,Qtr 2,DURANT,
2015,Qtr 4,DURANT,0.13
2012,Qtr 2,DYERSVILLE,5.95
2012,Qtr 4,DYERSVILLE,0.2
