Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Sub-Category,Orders.Region,Sum(Orders.Sales),Min(Orders.Ship Date),Sum(Orders.Profit)
2017,Bookcases,East,7338.222,2017-02-10T18:30:00.000Z,443.4641999999997
2014,Bookcases,South,794.2760000000001,2014-08-09T18:30:00.000Z,164.70860000000002
2015,Bookcases,South,1238.5960000000002,2015-04-17T18:30:00.000Z,107.61759999999998
2016,Bookcases,South,3709.224,2016-01-27T18:30:00.000Z,552.7233999999999
2017,Bookcases,South,5157.266,2017-02-08T18:30:00.000Z,514.4422000000001
2014,Bookcases,West,6544.9130000000005,2014-01-17T18:30:00.000Z,48.351899999999915
2015,Bookcases,West,9353.8145,2015-03-14T18:30:00.000Z,-990.2307000000004
2016,Bookcases,West,8217.0815,2016-01-31T18:30:00.000Z,325.8741999999997
2017,Bookcases,West,11888.314499999997,2017-01-24T18:30:00.000Z,-1030.5071000000003
2014,Chairs,Central,20754.052,2014-02-14T18:30:00.000Z,699.2616999999998
2015,Chairs,Central,17908.505,2015-01-22T18:30:00.000Z,1676.9477999999992
2016,Chairs,Central,23349.623999999996,2016-02-14T18:30:00.000Z,1504.2379999999998
2017,Chairs,Central,23218.465000000004,2017-01-04T18:30:00.000Z,2712.274599999999
2014,Chairs,East,22008.267999999993,2014-03-31T18:30:00.000Z,2719.3840000000014
2015,Chairs,East,20009.271999999997,2015-01-28T18:30:00.000Z,2478.8016
2016,Chairs,East,23010.482999999993,2016-02-19T18:30:00.000Z,1782.8010999999997
2017,Chairs,East,31232.659999999996,2017-01-22T18:30:00.000Z,2376.783899999999
2014,Chairs,South,13072.28,2014-01-09T18:30:00.000Z,2304.7139999999995
2015,Chairs,South,10116.736,2015-03-03T18:30:00.000Z,1100.2275999999997
2016,Chairs,South,6331.122,2016-02-09T18:30:00.000Z,1276.07
2017,Chairs,South,15656.308,2017-02-03T18:30:00.000Z,1931.0776999999998
2014,Chairs,West,21406.97599999999,2014-02-17T18:30:00.000Z,1231.6872999999996
2015,Chairs,West,23700.016000000003,2015-01-09T18:30:00.000Z,972.4390999999996
2016,Chairs,West,31227.415999999987,2016-01-22T18:30:00.000Z,1200.0447999999983
2017,Chairs,West,25446.919999999984,2017-02-05T18:30:00.000Z,623.4130999999986
2014,Copiers,Central,3269.926,2014-06-02T18:30:00.000Z,1034.978
2015,Copiers,Central,12809.766000000001,2015-04-03T18:30:00.000Z,5159.9078
2016,Copiers,Central,17499.949999999997,2016-10-08T18:30:00.000Z,8399.975999999999
2017,Copiers,Central,3679.928,2017-03-12T18:30:00.000Z,1013.9795000000001
2014,Copiers,East,4099.9259999999995,2014-05-09T18:30:00.000Z,650.9887
2015,Copiers,East,4959.896000000001,2015-05-14T18:30:00.000Z,1654.9667
2016,Copiers,East,19759.77,2016-05-26T18:30:00.000Z,5143.924799999999
2017,Copiers,East,24399.87,2017-07-22T18:30:00.000Z,9572.961599999999
2014,Copiers,South,479.98400000000004,2014-05-03T18:30:00.000Z,89.99699999999999
2015,Copiers,South,899.97,2015-06-18T18:30:00.000Z,314.9895
2016,Copiers,South,2559.888,2016-01-08T18:30:00.000Z,871.9584
2017,Copiers,South,5359.914000000001,2017-04-01T18:30:00.000Z,2381.9618
2014,Copiers,West,2999.946,2014-08-14T18:30:00.000Z,1136.9796000000001
2015,Copiers,West,7509.818000000001,2015-03-10T18:30:00.000Z,2800.4348
2016,Copiers,West,9779.802000000001,2016-04-08T18:30:00.000Z,3326.9334
2017,Copiers,West,29459.676000000003,2017-01-26T18:30:00.000Z,12062.8873
2014,Envelopes,Central,1598.6860000000001,2014-03-31T18:30:00.000Z,570.8482
2015,Envelopes,Central,870.8579999999998,2015-03-06T18:30:00.000Z,346.95279999999997
2016,Envelopes,Central,970.7959999999999,2016-03-07T18:30:00.000Z,371.9226999999999
2017,Envelopes,Central,1196.5320000000002,2017-01-24T18:30:00.000Z,487.80459999999994
2014,Envelopes,East,1347.622,2014-03-07T18:30:00.000Z,524.5098999999999
2015,Envelopes,East,876.8399999999999,2015-01-09T18:30:00.000Z,363.84529999999995
2016,Envelopes,East,1304.7500000000002,2016-01-18T18:30:00.000Z,556.6349999999999
2017,Envelopes,East,846.6619999999999,2017-01-22T18:30:00.000Z,367.4188
2014,Envelopes,South,251.85399999999998,2014-01-14T18:30:00.000Z,107.49529999999999
2015,Envelopes,South,1409.0539999999996,2015-02-06T18:30:00.000Z,622.2321
2016,Envelopes,South,895.7420000000001,2016-02-04T18:30:00.000Z,399.8763999999999
2017,Envelopes,South,788.906,2017-01-14T18:30:00.000Z,335.8732
2014,Envelopes,West,657.588,2014-01-19T18:30:00.000Z,292.6254
2015,Envelopes,West,1355.4360000000001,2015-05-01T18:30:00.000Z,627.1603999999999
2016,Envelopes,West,1558.6020000000005,2016-03-14T18:30:00.000Z,738.3141999999999
2017,Envelopes,West,546.4739999999999,2017-01-15T18:30:00.000Z,250.6624
2014,Fasteners,Central,121.816,2014-01-26T18:30:00.000Z,16.063399999999998
2015,Fasteners,Central,88.61,2015-02-10T18:30:00.000Z,25.098300000000002
2016,Fasteners,Central,247.37399999999997,2016-02-19T18:30:00.000Z,83.2255
2017,Fasteners,Central,320.23,2017-01-19T18:30:00.000Z,112.23140000000004
2014,Fasteners,East,96.912,2014-03-15T18:30:00.000Z,32.38219999999999
2015,Fasteners,East,191.654,2015-04-20T18:30:00.000Z,50.2029
2016,Fasteners,East,344.1700000000001,2016-01-27T18:30:00.000Z,112.47730000000001
2017,Fasteners,East,186.982,2017-02-04T18:30:00.000Z,68.92839999999998
2014,Fasteners,South,165.79200000000003,2014-01-09T18:30:00.000Z,50.90509999999999
2015,Fasteners,South,125.408,2015-03-25T18:30:00.000Z,45.79009999999999
2016,Fasteners,South,104.87,2016-02-04T18:30:00.000Z,34.901399999999995
2017,Fasteners,South,107.24600000000001,2017-01-29T18:30:00.000Z,42.1215
2014,Fasteners,West,276.808,2014-02-05T18:30:00.000Z,79.20759999999999
2015,Fasteners,West,139.552,2015-03-19T18:30:00.000Z,50.84629999999999
2016,Fasteners,West,263.72,2016-02-25T18:30:00.000Z,63.469199999999994
2017,Fasteners,West,243.136,2017-01-08T18:30:00.000Z,81.66760000000001
2014,Furnishings,Central,2536.096,2014-01-11T18:30:00.000Z,-246.5090999999999
2015,Furnishings,Central,2528.5600000000013,2015-01-23T18:30:00.000Z,-757.6987999999999
2016,Furnishings,Central,5115.692000000001,2016-01-10T18:30:00.000Z,-1582.3255000000001
2017,Furnishings,Central,5074.022000000001,2017-01-04T18:30:00.000Z,-1319.6834
2014,Furnishings,East,3757.3160000000003,2014-01-13T18:30:00.000Z,744.3808999999995
2015,Furnishings,East,5269.913999999999,2015-03-06T18:30:00.000Z,737.0739999999997
2016,Furnishings,East,9587.140000000001,2016-01-12T18:30:00.000Z,2135.1757
2017,Furnishings,East,10457.01,2017-01-05T18:30:00.000Z,2264.7764999999995
2014,Furnishings,South,3160.502000000001,2014-01-14T18:30:00.000Z,423.1665999999998
2015,Furnishings,South,5377.807999999999,2015-01-08T18:30:00.000Z,1172.1376999999998
2016,Furnishings,South,5382.784000000001,2016-01-19T18:30:00.000Z,1278.3998999999994
2017,Furnishings,South,3385.590000000001,2017-01-30T18:30:00.000Z,568.9786999999999
2014,Furnishings,West,4372.319999999999,2014-01-24T18:30:00.000Z,1051.8535000000002
2015,Furnishings,West,7913.43,2015-01-16T18:30:00.000Z,1900.3060000000003
2016,Furnishings,West,7788.5080000000025,2016-01-12T18:30:00.000Z,2104.0199
2017,Furnishings,West,9998.471999999998,2017-01-04T18:30:00.000Z,2585.0909999999994
2014,Labels,Central,1048.472,2014-01-07T18:30:00.000Z,481.5508
2015,Labels,Central,304.5080000000001,2015-02-10T18:30:00.000Z,126.73549999999999
2016,Labels,Central,511.24999999999994,2016-04-30T18:30:00.000Z,204.96179999999998
2017,Labels,Central,587.2420000000001,2017-01-20T18:30:00.000Z,259.83129999999994
2014,Labels,East,516.142,2014-01-17T18:30:00.000Z,225.02659999999995
2015,Labels,East,516.2620000000001,2015-01-08T18:30:00.000Z,213.23849999999996
2016,Labels,East,779.156,2016-02-22T18:30:00.000Z,335.69859999999994
2017,Labels,East,791.3739999999999,2017-02-04T18:30:00.000Z,355.3163
2014,Labels,South,401.0419999999999,2014-01-14T18:30:00.000Z,169.61469999999994
2015,Labels,South,1118.0439999999999,2015-01-14T18:30:00.000Z,534.1857000000001
2016,Labels,South,288.20000000000005,2016-02-06T18:30:00.000Z,132.50410000000002
2017,Labels,South,545.894,2017-03-10T18:30:00.000Z,204.46779999999998
2014,Labels,West,875.738,2014-03-29T18:30:00.000Z,409.81209999999993
2015,Labels,West,1017.648,2015-01-26T18:30:00.000Z,448.8689
2016,Labels,West,1248.6340000000002,2016-01-27T18:30:00.000Z,519.4473999999999
2017,Labels,West,1936.706,2017-02-20T18:30:00.000Z,924.9939
2014,Machines,Central,16292.161999999998,2014-03-16T18:30:00.000Z,-2384.6983000000023
2015,Machines,Central,1851.868,2015-05-27T18:30:00.000Z,169.5970999999999
2016,Machines,Central,2658.7889999999998,2016-03-07T18:30:00.000Z,57.31859999999989
2017,Machines,Central,5994.5650000000005,2017-01-09T18:30:00.000Z,671.7159999999993
2014,Machines,East,14636.385000000002,2014-06-22T18:30:00.000Z,4865.814899999999
2015,Machines,East,14426.642000000002,2015-01-08T18:30:00.000Z,454.6903999999996
2016,Machines,East,25215.938000000002,2016-03-04T18:30:00.000Z,-1342.346500000002
2017,Machines,East,11827.2,2017-06-08T18:30:00.000Z,2950.4840999999997
2014,Machines,South,27594.725000000002,2014-03-22T18:30:00.000Z,-3254.2075000000023
2015,Machines,South,3112.985,2015-08-27T18:30:00.000Z,1414.8208999999997
2016,Machines,South,13238.600000000002,2016-02-03T18:30:00.000Z,4308.107
2017,Machines,South,9944.65,2017-01-03T18:30:00.000Z,-3907.6133999999984
2014,Machines,West,3500.1010000000006,2014-03-23T18:30:00.000Z,1142.2597999999998
2015,Machines,West,8372.202000000001,2015-02-05T18:30:00.000Z,938.3771999999989
2016,Machines,West,14793.559,2016-03-12T18:30:00.000Z,-115.76110000000034
2017,Machines,West,15778.260000000002,2017-02-06T18:30:00.000Z,-2583.8023000000017
2014,Paper,Central,2346.775999999999,2014-01-06T18:30:00.000Z,896.2071
2015,Paper,Central,3544.238,2015-01-07T18:30:00.000Z,1398.7427
2016,Paper,Central,5365.607999999998,2016-01-10T18:30:00.000Z,2205.3706999999995
2017,Paper,Central,6235.279999999999,2017-01-17T18:30:00.000Z,2471.5800000000004
2014,Paper,East,3917.1480000000015,2014-01-17T18:30:00.000Z,1748.8552
2015,Paper,East,3967.6780000000003,2015-01-03T18:30:00.000Z,1809.0611999999999
2016,Paper,East,4926.120000000001,2016-01-12T18:30:00.000Z,2135.0231999999996
2017,Paper,East,7361.655999999999,2017-01-16T18:30:00.000Z,3322.4314
2014,Paper,South,3184.5760000000005,2014-01-09T18:30:00.000Z,1338.8293999999999
2015,Paper,South,2303.2519999999995,2015-01-12T18:30:00.000Z,948.6682000000003
2016,Paper,South,3923.1639999999993,2016-01-19T18:30:00.000Z,1724.0622000000003
2017,Paper,South,4739.9919999999975,2017-01-17T18:30:00.000Z,1935.5015999999991
2014,Paper,West,5386.456000000001,2014-01-07T18:30:00.000Z,2387.1297000000004
2015,Paper,West,5472.470000000001,2015-01-11T18:30:00.000Z,2413.6979
2016,Paper,West,6447.001999999998,2016-01-26T18:30:00.000Z,3007.0784000000003
2017,Paper,West,9357.789999999995,2017-01-07T18:30:00.000Z,4311.3304000000035
2014,Phones,Central,9925.751999999999,2014-03-31T18:30:00.000Z,1480.9286999999993
2015,Phones,Central,19363.922,2015-02-18T18:30:00.000Z,3307.244099999998
2016,Phones,Central,19902.451999999987,2016-01-07T18:30:00.000Z,3415.1335999999988
2017,Phones,Central,23211.15599999999,2017-01-19T18:30:00.000Z,4119.7203
2014,Phones,East,20688.649999999998,2014-01-17T18:30:00.000Z,3429.1019000000015
2015,Phones,East,22561.40599999999,2015-01-08T18:30:00.000Z,3299.667599999998
2016,Phones,East,21290.356000000007,2016-01-06T18:30:00.000Z,2167.8120999999983
2017,Phones,East,36074.56999999998,2017-01-23T18:30:00.000Z,3418.1044000000043
2014,Phones,South,17248.963999999996,2014-01-09T18:30:00.000Z,4085.707599999999
2015,Phones,South,7848.381999999999,2015-04-03T18:30:00.000Z,1942.0411000000001
2016,Phones,South,11843.822000000004,2016-01-06T18:30:00.000Z,1507.925
2017,Phones,South,21363.270000000008,2017-01-14T18:30:00.000Z,3231.601600000001
2014,Phones,West,29527.43999999999,2014-03-25T18:30:00.000Z,2812.267099999998
2015,Phones,West,18539.992000000002,2015-03-02T18:30:00.000Z,1849.8545999999992
2016,Phones,West,25925.40000000001,2016-01-14T18:30:00.000Z,2368.7222000000006
2017,Phones,West,24691.519999999997,2017-01-24T18:30:00.000Z,2079.8986999999993
2014,Storage,Central,11093.385999999997,2014-01-07T18:30:00.000Z,344.4393999999999
2015,Storage,Central,8331.473999999998,2015-02-12T18:30:00.000Z,437.41569999999933
2016,Storage,Central,12811.512,2016-03-10T18:30:00.000Z,778.9764999999998
2017,Storage,Central,13693.739999999998,2017-01-03T18:30:00.000Z,409.0048999999998
2014,Storage,East,16207.261999999997,2014-02-09T18:30:00.000Z,1312.006400000001
2015,Storage,East,13309.205999999996,2015-01-03T18:30:00.000Z,1732.557799999999
2016,Storage,East,22096.05799999999,2016-01-26T18:30:00.000Z,2804.288900000002
2017,Storage,East,20000.05799999999,2017-02-07T18:30:00.000Z,2540.518099999998
2014,Storage,South,6715.006,2014-01-14T18:30:00.000Z,462.2265999999996
2015,Storage,South,7487.2260000000015,2015-02-07T18:30:00.000Z,-268.0479
2016,Storage,South,10840.395999999997,2016-02-02T18:30:00.000Z,1088.0691999999997
2017,Storage,South,10725.432000000003,2017-01-25T18:30:00.000Z,992.0485999999995
2014,Storage,West,16313.388000000003,2014-01-17T18:30:00.000Z,2047.6063999999992
2015,Storage,West,15920.341999999997,2015-03-19T18:30:00.000Z,1603.5344999999995
2016,Storage,West,13040.734000000002,2016-01-04T18:30:00.000Z,1532.9522
2017,Storage,West,25258.388000000003,2017-01-08T18:30:00.000Z,3461.2290999999987
2014,Supplies,Central,440.458,2014-09-18T18:30:00.000Z,10.464900000000004
2015,Supplies,Central,324.446,2015-05-27T18:30:00.000Z,21.678799999999995
2016,Supplies,Central,4294.908,2016-03-07T18:30:00.000Z,-811.7518000000002
2017,Supplies,Central,4407.559999999999,2017-01-17T18:30:00.000Z,117.72000000000007
2014,Supplies,East,467.87200000000007,2014-03-07T18:30:00.000Z,-23.298000000000002
2015,Supplies,East,1188.306,2015-05-14T18:30:00.000Z,-122.7337
2016,Supplies,East,2086.2580000000003,2016-02-22T18:30:00.000Z,-27.20429999999999
2017,Supplies,East,7017.680000000001,2017-02-19T18:30:00.000Z,-981.8992
2014,Supplies,South,4247.307999999999,2014-04-08T18:30:00.000Z,98.60350000000005
2015,Supplies,South,130.336,2015-01-22T18:30:00.000Z,14.662799999999981
2016,Supplies,South,1456.3000000000002,2016-05-23T18:30:00.000Z,-184.8886
2017,Supplies,South,2484.984,2017-04-17T18:30:00.000Z,73.49960000000002
2014,Supplies,West,9238.432000000003,2014-02-17T18:30:00.000Z,404.28519999999963
2015,Supplies,West,309.394,2015-03-22T18:30:00.000Z,61.513699999999986
2016,Supplies,West,6440.1100000000015,2016-03-02T18:30:00.000Z,324.8807999999997
2017,Supplies,West,2139.186,2017-01-08T18:30:00.000Z,-164.63320000000002
2014,Tables,Central,7785.477999999999,2014-03-06T18:30:00.000Z,-1424.3310000000004
2015,Tables,Central,6857.26,2015-01-22T18:30:00.000Z,-265.09390000000053
2016,Tables,Central,13922.926,2016-01-07T18:30:00.000Z,292.6210999999996
2017,Tables,Central,10589.307000000003,2017-01-03T18:30:00.000Z,-2162.8466000000008
2014,Tables,East,10603.704,2014-03-20T18:30:00.000Z,-3537.8375000000005
2015,Tables,East,8884.806,2015-01-14T18:30:00.000Z,-2275.8641000000007
2016,Tables,East,7825.328,2016-01-14T18:30:00.000Z,-2306.7783
2017,Tables,East,11825.968999999997,2017-02-19T18:30:00.000Z,-2904.9002
2014,Tables,South,9940.9445,2014-02-14T18:30:00.000Z,1107.9901999999997
2015,Tables,South,7370.6745,2015-01-30T18:30:00.000Z,-2171.3765000000003
2016,Tables,South,12498.3115,2016-03-20T18:30:00.000Z,39.22299999999967
2017,Tables,South,14106.261499999999,2017-03-28T18:30:00.000Z,-3598.8946
2014,Tables,West,17758.239000000005,2014-02-01T18:30:00.000Z,730.1355999999994
2015,Tables,West,16037.683,2015-02-23T18:30:00.000Z,1202.5326
2016,Tables,West,26586.635000000006,2016-02-09T18:30:00.000Z,-976.0075999999999
2017,Tables,West,24372.004999999994,2017-01-10T18:30:00.000Z,525.9466999999997
