Category,Sub-Category,Region,Segment,Value Column Name,Value
"Technology","Copiers","West","Corporate","Sum of Profit","3190.4365999999995"
"Technology","Copiers","West","Home Office","Sum of Sales","11219.788"
"Technology","Copiers","West","Home Office","Sum of Profit","3977.927199999999"
"Furniture","Chairs","Central","Consumer","Sum of Sales","42933.37499999999"
"Furniture","Chairs","Central","Consumer","Sum of Profit","2920.9013000000004"
"Furniture","Chairs","Central","Corporate","Sum of Sales","27989.551999999992"
"Furniture","Chairs","Central","Corporate","Sum of Profit","3206.8836999999976"
"Furniture","Chairs","Central","Home Office","Sum of Sales","14307.719000000003"
"Furniture","Chairs","Central","Home Office","Sum of Profit","464.9370999999995"
"Furniture","Chairs","East","Consumer","Sum of Sales","59645.13300000001"
"Furniture","Chairs","East","Consumer","Sum of Profit","4917.395199999997"
"Furniture","Chairs","East","Corporate","Sum of Sales","23505.23"
"Furniture","Chairs","East","Corporate","Sum of Profit","2720.5878"
"Furniture","Chairs","East","Home Office","Sum of Sales","13110.32"
"Furniture","Chairs","East","Home Office","Sum of Profit","1719.7875999999994"
"Furniture","Chairs","South","Consumer","Sum of Sales","26804.226"
"Furniture","Chairs","South","Consumer","Sum of Profit","4017.0347"
"Furniture","Chairs","South","Corporate","Sum of Sales","11366.872000000003"
"Furniture","Chairs","South","Corporate","Sum of Profit","1183.9544999999994"
"Furniture","Chairs","South","Home Office","Sum of Sales","7005.348"
"Furniture","Chairs","South","Home Office","Sum of Profit","1411.1000999999997"
"Furniture","Chairs","West","Consumer","Sum of Sales","43480.007999999965"
"Furniture","Chairs","West","Consumer","Sum of Profit","1380.0006999999987"
"Furniture","Chairs","West","Corporate","Sum of Sales","36279.223999999995"
"Furniture","Chairs","West","Corporate","Sum of Profit","1233.2304999999983"
"Furniture","Chairs","West","Home Office","Sum of Sales","22022.096"
"Furniture","Chairs","West","Home Office","Sum of Profit","1414.3530999999994"
"Furniture","Tables","Central","Consumer","Sum of Sales","20834.999999999996"
"Furniture","Tables","Central","Consumer","Sum of Profit","-3964.1571000000004"
"Furniture","Tables","Central","Corporate","Sum of Sales","12562.592999999999"
"Furniture","Tables","Central","Corporate","Sum of Profit","707.1805999999998"
"Furniture","Tables","Central","Home Office","Sum of Sales","5757.378000000001"
"Furniture","Tables","Central","Home Office","Sum of Profit","-302.67390000000034"
"Furniture","Tables","East","Consumer","Sum of Sales","14082.466999999999"
"Furniture","Tables","East","Consumer","Sum of Profit","-3708.352800000001"
"Furniture","Tables","East","Corporate","Sum of Sales","17551.558"
"Furniture","Tables","East","Corporate","Sum of Profit","-5299.655700000001"
"Furniture","Tables","East","Home Office","Sum of Sales","7505.782000000001"
"Furniture","Tables","East","Home Office","Sum of Profit","-2017.3716000000002"
"Furniture","Tables","South","Consumer","Sum of Sales","24408.842"
"Furniture","Tables","South","Consumer","Sum of Profit","-2577.4996000000006"
"Furniture","Tables","South","Corporate","Sum of Sales","12619.6755"
"Furniture","Tables","South","Corporate","Sum of Profit","-1388.2239000000009"
"Furniture","Tables","South","Home Office","Sum of Sales","6887.6745"
"Furniture","Tables","South","Home Office","Sum of Profit","-657.3344"
"Furniture","Tables","West","Consumer","Sum of Sales","40607.48600000001"
"Furniture","Tables","West","Consumer","Sum of Profit","521.9716999999994"
"Furniture","Tables","West","Corporate","Sum of Sales","28137.891000000003"
"Furniture","Tables","West","Corporate","Sum of Profit","1074.2003999999995"
"Furniture","Tables","West","Home Office","Sum of Sales","16009.185000000001"
"Furniture","Tables","West","Home Office","Sum of Profit","-113.56480000000028"
"Furniture","Bookcases","Central","Consumer","Sum of Sales","12960.854"
"Furniture","Bookcases","Central","Consumer","Sum of Profit","-1497.1260000000002"
"Furniture","Bookcases","Central","Corporate","Sum of Sales","8389.500799999998"
"Furniture","Bookcases","Central","Corporate","Sum of Profit","-382.7121000000001"
"Furniture","Bookcases","Central","Home Office","Sum of Sales","2806.822"
"Furniture","Bookcases","Central","Home Office","Sum of Profit","-118.06620000000007"
"Furniture","Bookcases","East","Consumer","Sum of Sales","27307.134"
"Furniture","Bookcases","East","Consumer","Sum of Profit","-2192.0672000000013"
"Furniture","Bookcases","East","Corporate","Sum of Sales","13168.932"
"Furniture","Bookcases","East","Corporate","Sum of Profit","964.9629999999996"
"Furniture","Bookcases","East","Home Office","Sum of Sales","3343.2680000000005"
"Furniture","Bookcases","East","Home Office","Sum of Profit","59.47239999999985"
"Furniture","Bookcases","South","Consumer","Sum of Sales","8716.562"
"Furniture","Bookcases","South","Consumer","Sum of Profit","1220.0119999999995"
"Furniture","Bookcases","South","Corporate","Sum of Sales","1153.804"
"Furniture","Bookcases","South","Corporate","Sum of Profit","68.36659999999996"
"Furniture","Bookcases","South","Home Office","Sum of Sales","1028.996"
"Furniture","Bookcases","South","Home Office","Sum of Profit","51.11319999999992"
"Furniture","Bookcases","West","Consumer","Sum of Sales","19648.17899999999"
"Furniture","Bookcases","West","Consumer","Sum of Profit","-1966.457000000001"
"Furniture","Bookcases","West","Corporate","Sum of Sales","11293.6875"
"Furniture","Bookcases","West","Corporate","Sum of Profit","-12.167300000000452"
"Furniture","Bookcases","West","Home Office","Sum of Sales","5062.257"
"Furniture","Bookcases","West","Home Office","Sum of Profit","332.11260000000004"
"Furniture","Furnishings","Central","Consumer","Sum of Sales","9499.989999999993"
"Furniture","Furnishings","Central","Consumer","Sum of Profit","-1454.0523999999998"
"Furniture","Furnishings","Central","Corporate","Sum of Sales","3143.956000000001"
"Furniture","Furnishings","Central","Corporate","Sum of Profit","-1209.3583"
"Furniture","Furnishings","Central","Home Office","Sum of Sales","2610.424"
"Furniture","Furnishings","Central","Home Office","Sum of Profit","-1242.8060999999998"
"Furniture","Furnishings","East","Consumer","Sum of Sales","13177.067999999994"
"Furniture","Furnishings","East","Consumer","Sum of Profit","3021.1370000000006"
"Furniture","Furnishings","East","Corporate","Sum of Sales","9983.326000000001"
"Furniture","Furnishings","East","Corporate","Sum of Profit","1956.2305999999996"
"Furniture","Furnishings","East","Home Office","Sum of Sales","5910.986000000003"
"Furniture","Furnishings","East","Home Office","Sum of Profit","904.0395"
"Furniture","Furnishings","South","Consumer","Sum of Sales","10870.574"
"Furniture","Furnishings","South","Consumer","Sum of Profit","1957.1855000000005"
"Furniture","Furnishings","South","Corporate","Sum of Sales","4504.680000000001"
"Furniture","Furnishings","South","Corporate","Sum of Profit","1087.9331000000002"
"Furniture","Furnishings","South","Home Office","Sum of Sales","1931.4299999999998"
"Furniture","Furnishings","South","Home Office","Sum of Profit","397.5642999999999"
"Furniture","Furnishings","West","Consumer","Sum of Sales","16072.413999999995"
"Furniture","Furnishings","West","Consumer","Sum of Profit","4395.1526"
"Furniture","Furnishings","West","Corporate","Sum of Sales","7369.304000000001"
"Furniture","Furnishings","West","Corporate","Sum of Profit","1673.4023"
"Furniture","Furnishings","West","Home Office","Sum of Sales","6631.012000000001"
"Furniture","Furnishings","West","Home Office","Sum of Profit","1572.7154999999996"
"Office Supplies","Storage","Central","Consumer","Sum of Sales","24671.80999999999"
"Office Supplies","Storage","Central","Consumer","Sum of Profit","413.31009999999895"
"Office Supplies","Storage","Central","Corporate","Sum of Sales","12656.604"
"Office Supplies","Storage","Central","Corporate","Sum of Profit","1084.5102000000004"
"Office Supplies","Storage","Central","Home Office","Sum of Sales","8601.698000000002"
"Office Supplies","Storage","Central","Home Office","Sum of Profit","472.0162"
"Office Supplies","Storage","East","Consumer","Sum of Sales","24994.45799999998"
"Office Supplies","Storage","East","Consumer","Sum of Profit","1973.924199999998"
"Office Supplies","Storage","East","Corporate","Sum of Sales","30968.37000000001"
"Office Supplies","Storage","East","Corporate","Sum of Profit","3836.4565000000002"
"Office Supplies","Storage","East","Home Office","Sum of Sales","15649.755999999998"
"Office Supplies","Storage","East","Home Office","Sum of Profit","2578.990499999999"
"Office Supplies","Storage","South","Consumer","Sum of Sales","16881.745999999996"
"Office Supplies","Storage","South","Consumer","Sum of Profit","888.6696999999998"
"Office Supplies","Storage","South","Corporate","Sum of Sales","11362.257999999998"
"Office Supplies","Storage","South","Corporate","Sum of Profit","718.5710999999998"
"Office Supplies","Storage","South","Home Office","Sum of Sales","7524.056"
"Office Supplies","Storage","South","Home Office","Sum of Profit","667.0556999999999"
"Office Supplies","Storage","West","Consumer","Sum of Sales","33944.387999999984"
"Office Supplies","Storage","West","Consumer","Sum of Profit","3828.2964000000006"
"Office Supplies","Storage","West","Corporate","Sum of Sales","24803.76600000001"
"Office Supplies","Storage","West","Corporate","Sum of Profit","3491.4869"
"Office Supplies","Storage","West","Home Office","Sum of Sales","11784.698"
"Office Supplies","Storage","West","Home Office","Sum of Profit","1325.5388999999993"
"Office Supplies","Binders","Central","Consumer","Sum of Sales","39693.575999999994"
"Office Supplies","Binders","Central","Consumer","Sum of Profit","1832.3210000000026"
"Office Supplies","Binders","Central","Corporate","Sum of Sales","8879.539999999999"
"Office Supplies","Binders","Central","Corporate","Sum of Profit","-4420.424900000004"
"Office Supplies","Binders","Central","Home Office","Sum of Sales","8350.165999999997"
"Office Supplies","Binders","Central","Home Office","Sum of Profit","1544.4669999999992"
"Office Supplies","Binders","East","Consumer","Sum of Sales","31622.609999999982"
"Office Supplies","Binders","East","Consumer","Sum of Profit","6740.669700000001"
"Office Supplies","Binders","East","Corporate","Sum of Sales","12048.381000000007"
"Office Supplies","Binders","East","Corporate","Sum of Profit","2833.003399999999"
"Office Supplies","Binders","East","Home Office","Sum of Sales","9827.006000000005"
"Office Supplies","Binders","East","Home Office","Sum of Profit","1694.2614999999998"
"Office Supplies","Binders","South","Consumer","Sum of Sales","18617.702999999994"
"Office Supplies","Binders","South","Consumer","Sum of Profit","1583.9285000000007"
"Office Supplies","Binders","South","Corporate","Sum of Sales","11827.631999999996"
"Office Supplies","Binders","South","Corporate","Sum of Profit","2496.2000999999987"
"Office Supplies","Binders","South","Home Office","Sum of Sales","6585.005999999997"
"Office Supplies","Binders","South","Home Office","Sum of Profit","-179.46459999999976"
"Office Supplies","Binders","West","Consumer","Sum of Sales","28227.120000000006"
"Office Supplies","Binders","West","Consumer","Sum of Profit","7838.678000000003"
"Office Supplies","Binders","West","Corporate","Sum of Sales","18804.75999999999"
"Office Supplies","Binders","West","Corporate","Sum of Profit","5468.5415"
"Office Supplies","Binders","West","Home Office","Sum of Sales","8929.233000000006"
"Office Supplies","Binders","West","Home Office","Sum of Profit","2789.5821"
"Office Supplies","Appliances","Central","Consumer","Sum of Sales","9818.720999999998"
"Office Supplies","Appliances","Central","Consumer","Sum of Profit","-3775.6065000000012"
"Office Supplies","Appliances","Central","Corporate","Sum of Sales","5224.759000000001"
"Office Supplies","Appliances","Central","Corporate","Sum of Profit","-459.2306000000005"
"Office Supplies","Appliances","Central","Home Office","Sum of Sales","8538.553"
"Office Supplies","Appliances","Central","Home Office","Sum of Profit","1596.2196"
"Office Supplies","Appliances","East","Consumer","Sum of Sales","19389.75599999999"
"Office Supplies","Appliances","East","Consumer","Sum of Profit","5008.7579000000005"
"Office Supplies","Appliances","East","Corporate","Sum of Sales","10981.264000000001"
"Office Supplies","Appliances","East","Corporate","Sum of Profit","2607.2871999999993"
"Office Supplies","Appliances","East","Home Office","Sum of Sales","3817.446000000001"
"Office Supplies","Appliances","East","Home Office","Sum of Profit","775.3682999999995"
"Office Supplies","Appliances","South","Consumer","Sum of Sales","8287.354"
"Office Supplies","Appliances","South","Consumer","Sum of Profit","1455.2631999999996"
"Office Supplies","Appliances","South","Corporate","Sum of Sales","10123.635999999997"
"Office Supplies","Appliances","South","Corporate","Sum of Profit","2543.821799999999"
"Office Supplies","Appliances","South","Home Office","Sum of Sales","1114.336"
"Office Supplies","Appliances","South","Home Office","Sum of Profit","124.85459999999995"
"Office Supplies","Appliances","West","Consumer","Sum of Sales","15323.750000000002"
"Office Supplies","Appliances","West","Consumer","Sum of Profit","4293.513599999998"
"Office Supplies","Appliances","West","Corporate","Sum of Sales","10259.023999999998"
"Office Supplies","Appliances","West","Corporate","Sum of Profit","2738.0168000000003"
"Office Supplies","Appliances","West","Home Office","Sum of Sales","4653.562"
"Office Supplies","Appliances","West","Home Office","Sum of Profit","1229.7395"
"Office Supplies","Paper","Central","Consumer","Sum of Sales","7564.020000000006"
"Office Supplies","Paper","Central","Consumer","Sum of Profit","2914.6376999999993"
"Office Supplies","Paper","Central","Corporate","Sum of Sales","5952.002000000001"
"Office Supplies","Paper","Central","Corporate","Sum of Profit","2399.2305"
"Office Supplies","Paper","Central","Home Office","Sum of Sales","3975.88"
"Office Supplies","Paper","Central","Home Office","Sum of Profit","1658.0322999999999"
"Office Supplies","Paper","East","Consumer","Sum of Sales","8661.268000000002"
"Office Supplies","Paper","East","Consumer","Sum of Profit","3917.330700000003"
"Office Supplies","Paper","East","Corporate","Sum of Sales","5975.116"
"Office Supplies","Paper","East","Corporate","Sum of Profit","2668.9581999999987"
"Office Supplies","Paper","East","Home Office","Sum of Sales","5536.218000000001"
"Office Supplies","Paper","East","Home Office","Sum of Profit","2429.082099999999"
"Office Supplies","Paper","South","Consumer","Sum of Sales","7603.272000000003"
"Office Supplies","Paper","South","Consumer","Sum of Profit","3085.3364"
"Office Supplies","Paper","South","Corporate","Sum of Sales","3345.321999999999"
"Office Supplies","Paper","South","Corporate","Sum of Profit","1410.0632999999998"
"Office Supplies","Paper","South","Home Office","Sum of Sales","3202.39"
"Office Supplies","Paper","South","Home Office","Sum of Profit","1451.6616999999997"
"Office Supplies","Paper","West","Consumer","Sum of Sales","12495.807999999995"
"Office Supplies","Paper","West","Consumer","Sum of Profit","5617.338800000002"
"Office Supplies","Paper","West","Corporate","Sum of Sales","8610.689999999999"
"Office Supplies","Paper","West","Corporate","Sum of Profit","3883.294800000001"
"Office Supplies","Paper","West","Home Office","Sum of Sales","5557.2199999999975"
"Office Supplies","Paper","West","Home Office","Sum of Profit","2618.6028000000015"
"Office Supplies","Supplies","Central","Consumer","Sum of Sales","4559.912000000001"
"Office Supplies","Supplies","Central","Consumer","Sum of Profit","-782.0922000000003"
"Office Supplies","Supplies","Central","Corporate","Sum of Sales","4382.928"
"Office Supplies","Supplies","Central","Corporate","Sum of Profit","101.84980000000003"
"Office Supplies","Supplies","Central","Home Office","Sum of Sales","524.532"
"Office Supplies","Supplies","Central","Home Office","Sum of Profit","18.354300000000002"
"Office Supplies","Supplies","East","Consumer","Sum of Sales","8567.826000000003"
"Office Supplies","Supplies","East","Consumer","Sum of Profit","-1171.6356999999998"
"Office Supplies","Supplies","East","Corporate","Sum of Sales","1849.2580000000003"
"Office Supplies","Supplies","East","Corporate","Sum of Profit","-12.897400000000047"
"Office Supplies","Supplies","East","Home Office","Sum of Sales","343.03200000000004"
"Office Supplies","Supplies","East","Home Office","Sum of Profit","29.397900000000014"
"Office Supplies","Supplies","South","Consumer","Sum of Sales","2123.554"
"Office Supplies","Supplies","South","Consumer","Sum of Profit","69.85919999999999"
"Office Supplies","Supplies","South","Corporate","Sum of Sales","6022.1539999999995"
"Office Supplies","Supplies","South","Corporate","Sum of Profit","-111.63789999999989"
"Office Supplies","Supplies","South","Home Office","Sum of Sales","173.22"
"Office Supplies","Supplies","South","Home Office","Sum of Profit","43.655999999999985"
"Office Supplies","Supplies","West","Consumer","Sum of Sales","10490.203999999996"
"Office Supplies","Supplies","West","Consumer","Sum of Profit","226.3173999999996"
"Office Supplies","Supplies","West","Corporate","Sum of Sales","7180.943999999999"
"Office Supplies","Supplies","West","Corporate","Sum of Profit","361.6118999999998"
"Office Supplies","Supplies","West","Home Office","Sum of Sales","455.97400000000005"
"Office Supplies","Supplies","West","Home Office","Sum of Profit","38.117199999999976"
"Office Supplies","Art","Central","Consumer","Sum of Sales","3272.352"
"Office Supplies","Art","Central","Consumer","Sum of Profit","605.5615"
"Office Supplies","Art","Central","Corporate","Sum of Sales","1478.7420000000002"
"Office Supplies","Art","Central","Corporate","Sum of Profit","343.9692999999999"
"Office Supplies","Art","Central","Home Office","Sum of Sales","1014.2460000000002"
"Office Supplies","Art","Central","Home Office","Sum of Profit","245.62829999999997"
"Office Supplies","Art","East","Consumer","Sum of Sales","3847.198"
"Office Supplies","Art","East","Consumer","Sum of Profit","989.0641999999997"
"Office Supplies","Art","East","Corporate","Sum of Sales","2278.402"
"Office Supplies","Art","East","Corporate","Sum of Profit","566.1715999999999"
"Office Supplies","Art","East","Home Office","Sum of Sales","1360.1639999999998"
"Office Supplies","Art","East","Home Office","Sum of Profit","344.7084999999999"
"Office Supplies","Art","South","Consumer","Sum of Sales","2654.7560000000008"
"Office Supplies","Art","South","Consumer","Sum of Profit","648.4542999999995"
"Office Supplies","Art","South","Corporate","Sum of Sales","1332.4040000000002"
"Office Supplies","Art","South","Corporate","Sum of Profit","264.25429999999994"
"Office Supplies","Art","South","Home Office","Sum of Sales","668.462"
"Office Supplies","Art","South","Home Office","Sum of Profit","145.87799999999993"
"Office Supplies","Art","West","Consumer","Sum of Sales","4477.6240000000025"
"Office Supplies","Art","West","Consumer","Sum of Profit","1211.2211000000002"
"Office Supplies","Art","West","Corporate","Sum of Sales","3500.9"
"Office Supplies","Art","West","Corporate","Sum of Profit","830.2524999999998"
"Office Supplies","Art","West","Home Office","Sum of Sales","1233.542"
"Office Supplies","Art","West","Home Office","Sum of Profit","332.6234"
"Office Supplies","Envelopes","Central","Consumer","Sum of Sales","2365.4500000000003"
"Office Supplies","Envelopes","Central","Consumer","Sum of Profit","912.6615999999998"
"Office Supplies","Envelopes","Central","Corporate","Sum of Sales","1235.9080000000001"
"Office Supplies","Envelopes","Central","Corporate","Sum of Profit","483.66419999999994"
"Office Supplies","Envelopes","Central","Home Office","Sum of Sales","1035.514"
"Office Supplies","Envelopes","Central","Home Office","Sum of Profit","381.20249999999993"
"Office Supplies","Envelopes","East","Consumer","Sum of Sales","2095.522"
"Office Supplies","Envelopes","East","Consumer","Sum of Profit","881.8797000000001"
"Office Supplies","Envelopes","East","Corporate","Sum of Sales","1579.2660000000003"
"Office Supplies","Envelopes","East","Corporate","Sum of Profit","663.5851999999999"
"Office Supplies","Envelopes","East","Home Office","Sum of Sales","701.086"
"Office Supplies","Envelopes","East","Home Office","Sum of Profit","266.9441"
"Office Supplies","Envelopes","South","Consumer","Sum of Sales","1191.5579999999998"
"Office Supplies","Envelopes","South","Consumer","Sum of Profit","503.43069999999994"
"Office Supplies","Envelopes","South","Corporate","Sum of Sales","1470.904"
"Office Supplies","Envelopes","South","Corporate","Sum of Profit","643.3798"
"Office Supplies","Envelopes","South","Home Office","Sum of Sales","683.094"
"Office Supplies","Envelopes","South","Home Office","Sum of Profit","318.6664999999999"
"Office Supplies","Envelopes","West","Consumer","Sum of Sales","2118.616000000001"
"Office Supplies","Envelopes","West","Consumer","Sum of Profit","966.4405999999999"
"Office Supplies","Envelopes","West","Corporate","Sum of Sales","1656.5919999999999"
"Office Supplies","Envelopes","West","Corporate","Sum of Profit","780.5997999999998"
"Office Supplies","Envelopes","West","Home Office","Sum of Sales","342.89199999999994"
"Office Supplies","Envelopes","West","Home Office","Sum of Profit","161.72199999999998"
"Office Supplies","Labels","Central","Consumer","Sum of Sales","743.2059999999999"
"Office Supplies","Labels","Central","Consumer","Sum of Profit","334.20230000000004"
"Office Supplies","Labels","Central","Corporate","Sum of Sales","1095.108"
"Office Supplies","Labels","Central","Corporate","Sum of Profit","487.17"
"Office Supplies","Labels","Central","Home Office","Sum of Sales","613.1580000000001"
"Office Supplies","Labels","Central","Home Office","Sum of Profit","251.7071"
"Office Supplies","Labels","East","Consumer","Sum of Sales","1652.7999999999997"
"Office Supplies","Labels","East","Consumer","Sum of Profit","733.5290000000001"
"Office Supplies","Labels","East","Corporate","Sum of Sales","508.5859999999999"
"Office Supplies","Labels","East","Corporate","Sum of Profit","218.62989999999994"
"Office Supplies","Labels","East","Home Office","Sum of Sales","441.548"
"Office Supplies","Labels","East","Home Office","Sum of Profit","177.1211"
"Office Supplies","Labels","South","Consumer","Sum of Sales","1868.2219999999995"
"Office Supplies","Labels","South","Consumer","Sum of Profit","840.9037999999999"
"Office Supplies","Labels","South","Corporate","Sum of Sales","365.2260000000001"
"Office Supplies","Labels","South","Corporate","Sum of Profit","150.43720000000002"
"Office Supplies","Labels","South","Home Office","Sum of Sales","119.732"
"Office Supplies","Labels","South","Home Office","Sum of Profit","49.4313"
"Office Supplies","Labels","West","Consumer","Sum of Sales","2445.033999999999"
"Office Supplies","Labels","West","Consumer","Sum of Profit","1167.3532999999995"
"Office Supplies","Labels","West","Corporate","Sum of Sales","2132.726"
"Office Supplies","Labels","West","Corporate","Sum of Profit","904.5902000000003"
"Office Supplies","Labels","West","Home Office","Sum of Sales","500.96600000000007"
"Office Supplies","Labels","West","Home Office","Sum of Profit","231.17880000000002"
"Office Supplies","Fasteners","Central","Consumer","Sum of Sales","422.43199999999996"
"Office Supplies","Fasteners","Central","Consumer","Sum of Profit","128.14770000000001"
"Office Supplies","Fasteners","Central","Corporate","Sum of Sales","232.11000000000004"
"Office Supplies","Fasteners","Central","Corporate","Sum of Profit","78.5563"
"Office Supplies","Fasteners","Central","Home Office","Sum of Sales","123.48799999999999"
"Office Supplies","Fasteners","Central","Home Office","Sum of Profit","29.9146"
"Office Supplies","Fasteners","East","Consumer","Sum of Sales","423.698"
"Office Supplies","Fasteners","East","Consumer","Sum of Profit","149.17299999999997"
"Office Supplies","Fasteners","East","Corporate","Sum of Sales","286.09200000000004"
"Office Supplies","Fasteners","East","Corporate","Sum of Profit","76.4704"
"Office Supplies","Fasteners","East","Home Office","Sum of Sales","109.928"
"Office Supplies","Fasteners","East","Home Office","Sum of Profit","38.34739999999999"
