Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
September,Technology,Accessories,24900.353999999992,6357.666300000001
October,Technology,Accessories,12927.141999999996,2709.6759999999995
November,Technology,Accessories,25956.732000000015,6352.691800000001
December,Technology,Accessories,28006.515999999996,7509.024399999998
January,Technology,Copiers,3959.9179999999997,1499.9729999999997
February,Technology,Copiers,,
March,Technology,Copiers,25589.736,11044.399399999998
April,Technology,Copiers,3879.892,1286.9638999999997
May,Technology,Copiers,18399.79,3719.9489999999987
June,Technology,Copiers,899.97,314.9895
July,Technology,Copiers,9779.792000000001,2761.9452999999994
August,Technology,Copiers,5729.9000000000015,2004.9648000000002
September,Technology,Copiers,10319.742000000002,3844.9011
October,Technology,Copiers,37019.755999999994,15863.897999999997
November,Technology,Copiers,15149.884,6280.963400000001
December,Technology,Copiers,18799.65,6994.8775
January,Technology,Machines,7214.631,69.85359999999935
February,Technology,Machines,8989.934000000001,2838.9813999999997
March,Technology,Machines,35051.904,975.3787999999972
April,Technology,Machines,18189.763,96.0440999999978
May,Technology,Machines,11267.722999999998,1626.0846999999994
June,Technology,Machines,12182.525,2477.0306
July,Technology,Machines,4064.768,37.886399999999924
August,Technology,Machines,6261.509999999999,1374.1189999999997
September,Technology,Machines,26385.656999999996,-1898.6437000000033
October,Technology,Machines,10613.093000000003,947.9604000000004
November,Technology,Machines,33807.299000000006,-4327.2699999999995
December,Technology,Machines,15209.824,-832.6684000000008
January,Technology,Phones,13469.308000000005,1927.2268999999994
February,Technology,Phones,8984.207999999999,1006.2468999999996
March,Technology,Phones,28443.292,3043.881999999998
April,Technology,Phones,17608.912,2164.4611
May,Technology,Phones,24361.541999999994,3261.2361999999985
June,Technology,Phones,26313.703999999998,4204.509599999999
July,Technology,Phones,23883.048,2517.1575
August,Technology,Phones,27658.301999999985,3157.0316999999986
September,Technology,Phones,37774.956,5794.3399
October,Technology,Phones,26471.95399999999,4361.0307999999995
November,Technology,Phones,56220.92599999998,7734.0278
December,Technology,Phones,38816.902,5344.5801999999985
