Category,Subcategory,Fiscal Year,Fiscal Quarter,Channel,Value Column Name,Value
"Bikes","Road Bikes","FY2019","FY2019 Q1","Internet","(Sales Amount - Unit Price)%","526.9999999438942"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Reseller","Unit Price","719.243"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Reseller","Sales Amount","3829770.5076"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Reseller","Sales Amount - Unit Price","3829051.2646000003"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Reseller","(Sales Amount - Unit Price)%","5323.724060713834"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Internet","Unit Price","1617.9447"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Internet","Sales Amount","836477.3925"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Internet","Sales Amount - Unit Price","834859.4478"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Internet","(Sales Amount - Unit Price)%","515.9999892456151"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Reseller","Unit Price","737.4577"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Reseller","Sales Amount","3335842.3886"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Reseller","Sales Amount - Unit Price","3335104.9309"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Reseller","(Sales Amount - Unit Price)%","4522.4355659992425"
"Bikes","Road Bikes","FY2019","FY2019 Q2","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Internet","Unit Price","1581.7741"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Internet","Sales Amount","827267.8725"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Internet","Sales Amount - Unit Price","825686.0984"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Internet","(Sales Amount - Unit Price)%","522.0000115060677"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Reseller","Unit Price","718.5076"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Reseller","Sales Amount","2795651.38"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Reseller","Sales Amount - Unit Price","2794932.8723999998"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Reseller","(Sales Amount - Unit Price)%","3889.9141392519714"
"Bikes","Road Bikes","FY2019","FY2019 Q3","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Internet","Unit Price","1477.2792"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Internet","Sales Amount","910003.96"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Internet","Sales Amount - Unit Price","908526.6808"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Internet","(Sales Amount - Unit Price)%","614.9999815877729"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Reseller","Unit Price","727.8186"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Reseller","Sales Amount","3271296.8461"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Reseller","Sales Amount - Unit Price","3270569.0275000003"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Reseller","(Sales Amount - Unit Price)%","4493.659584270037"
"Bikes","Road Bikes","FY2019","FY2019 Q4","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Internet","Unit Price","1332.4617"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Internet","Sales Amount","1018000.76"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Internet","Sales Amount - Unit Price","1016668.2983"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Internet","(Sales Amount - Unit Price)%","763.000015910401"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Reseller","Unit Price","862.3363"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Reseller","Sales Amount","2796037.8057"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Reseller","Sales Amount - Unit Price","2795175.4694"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Reseller","(Sales Amount - Unit Price)%","3241.398360941085"
"Bikes","Road Bikes","FY2020","FY2020 Q1","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Internet","Unit Price","1279.7345"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Internet","Sales Amount","1347560.43"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Internet","Sales Amount - Unit Price","1346280.6955"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Internet","(Sales Amount - Unit Price)%","1052.0000011721181"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Reseller","Unit Price","847.9389"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Reseller","Sales Amount","2431395.3354"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Reseller","Sales Amount - Unit Price","2430547.3965000003"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Reseller","(Sales Amount - Unit Price)%","2866.418083307654"
"Bikes","Road Bikes","FY2020","FY2020 Q2","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Internet","Unit Price","1242.2322"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Internet","Sales Amount","1413660.2"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Internet","Sales Amount - Unit Price","1412417.9678"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Internet","(Sales Amount - Unit Price)%","1136.999964901892"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Reseller","Unit Price","845.5407"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Reseller","Sales Amount","2097817.3437"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Reseller","Sales Amount - Unit Price","2096971.803"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Reseller","(Sales Amount - Unit Price)%","2480.036505634797"
"Bikes","Road Bikes","FY2020","FY2020 Q3","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Internet","Unit Price","1202.5768"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Internet","Sales Amount","1106370.7"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Internet","Sales Amount - Unit Price","1105168.1232"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Internet","(Sales Amount - Unit Price)%","919.0000365880998"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Reseller","Unit Price","844.8918"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Reseller","Sales Amount","2350819.5522"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Reseller","Sales Amount - Unit Price","2349974.6604"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Reseller","(Sales Amount - Unit Price)%","2781.3912508086833"
"Bikes","Road Bikes","FY2020","FY2020 Q4","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Internet","Unit Price","3387.9802"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Internet","Sales Amount","345573.98"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Internet","Sales Amount - Unit Price","342185.9998"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Internet","(Sales Amount - Unit Price)%","100.99999988193555"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Reseller","Unit Price","2031.528"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Reseller","Sales Amount","2353570.0098"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Reseller","Sales Amount - Unit Price","2351538.4818"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Reseller","(Sales Amount - Unit Price)%","1157.5220630973338"
"Bikes","Mountain Bikes","FY2018","FY2018 Q1","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Internet","Unit Price","3386.4386"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Internet","Sales Amount","362348.93"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Internet","Sales Amount - Unit Price","358962.4914"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Internet","(Sales Amount - Unit Price)%","105.99999994094091"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Reseller","Unit Price","2031.7095"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Reseller","Sales Amount","2191766.4989"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Reseller","Sales Amount - Unit Price","2189734.7894"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Reseller","(Sales Amount - Unit Price)%","1077.7794706379038"
"Bikes","Mountain Bikes","FY2018","FY2018 Q2","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Internet","Unit Price","3385.7043"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Internet","Sales Amount","331799.02"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Internet","Sales Amount - Unit Price","328413.31570000004"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Internet","(Sales Amount - Unit Price)%","96.99999958649668"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Reseller","Unit Price","2032.4736"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Reseller","Sales Amount","2182568.556"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Reseller","Sales Amount - Unit Price","2180536.0823999997"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Reseller","(Sales Amount - Unit Price)%","1072.8484160384664"
"Bikes","Mountain Bikes","FY2018","FY2018 Q3","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Internet","Unit Price","2885.0616"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Internet","Sales Amount","412563.805"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Internet","Sales Amount - Unit Price","409678.7434"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Internet","(Sales Amount - Unit Price)%","141.9999986828704"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Reseller","Unit Price","1614.5614"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Reseller","Sales Amount","1841053.2051"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Reseller","Sales Amount - Unit Price","1839438.6437"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Reseller","(Sales Amount - Unit Price)%","1139.2807010622203"
"Bikes","Mountain Bikes","FY2018","FY2018 Q4","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Internet","Unit Price","2059.8869"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Internet","Sales Amount","370779.6378"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Internet","Sales Amount - Unit Price","368719.75090000004"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Internet","(Sales Amount - Unit Price)%","178.9999979610531"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Reseller","Unit Price","1042.4939"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Reseller","Sales Amount","2808523.044"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Reseller","Sales Amount - Unit Price","2807480.5501"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Reseller","(Sales Amount - Unit Price)%","2693.0426644223057"
"Bikes","Mountain Bikes","FY2019","FY2019 Q1","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Internet","Unit Price","2059.1875"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Internet","Sales Amount","514796.8682"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Internet","Sales Amount - Unit Price","512737.6807"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Internet","(Sales Amount - Unit Price)%","248.9999966977267"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Reseller","Unit Price","1035.3524"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Reseller","Sales Amount","2358693.2893"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Reseller","Sales Amount - Unit Price","2357657.9368999996"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Reseller","(Sales Amount - Unit Price)%","2277.1550410275763"
"Bikes","Mountain Bikes","FY2019","FY2019 Q2","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Internet","Unit Price","2060.5992"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Internet","Sales Amount","675876.5262"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Internet","Sales Amount - Unit Price","673815.9269999999"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Internet","(Sales Amount - Unit Price)%","326.9999944676286"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Reseller","Unit Price","1020.4301"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Reseller","Sales Amount","1890325.9662"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Reseller","Sales Amount - Unit Price","1889305.5361"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Reseller","(Sales Amount - Unit Price)%","1851.4796222690802"
"Bikes","Mountain Bikes","FY2019","FY2019 Q3","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Internet","Unit Price","2005.504"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Internet","Sales Amount","916515.3472"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Internet","Sales Amount - Unit Price","914509.8432"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Internet","(Sales Amount - Unit Price)%","456.0000095736533"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Reseller","Unit Price","1037.0985"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Reseller","Sales Amount","2127316.2721"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Reseller","Sales Amount - Unit Price","2126279.1736000003"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Reseller","(Sales Amount - Unit Price)%","2050.219119591823"
"Bikes","Mountain Bikes","FY2019","FY2019 Q4","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Internet","Unit Price","1851.6453"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Internet","Sales Amount","1114690.48"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Internet","Sales Amount - Unit Price","1112838.8347"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Internet","(Sales Amount - Unit Price)%","601.0000050765663"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Reseller","Unit Price","738.9575"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Reseller","Sales Amount","2530563.6536"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Reseller","Sales Amount - Unit Price","2529824.6961"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Reseller","(Sales Amount - Unit Price)%","3423.5050000845786"
"Bikes","Mountain Bikes","FY2020","FY2020 Q1","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Internet","Unit Price","1804.6352"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Internet","Sales Amount","1609734.58"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Internet","Sales Amount - Unit Price","1607929.9448000002"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Internet","(Sales Amount - Unit Price)%","890.9999898040337"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Reseller","Unit Price","775.6137"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Reseller","Sales Amount","2306057.1416"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Reseller","Sales Amount - Unit Price","2305281.5279"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Reseller","(Sales Amount - Unit Price)%","2972.2032087623"
"Bikes","Mountain Bikes","FY2020","FY2020 Q2","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Internet","Unit Price","1813.6729"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Internet","Sales Amount","1755635.32"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Internet","Sales Amount - Unit Price","1753821.6471000002"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Internet","(Sales Amount - Unit Price)%","966.9999739754617"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Reseller","Unit Price","841.8841"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Reseller","Sales Amount","1812527.1257"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Reseller","Sales Amount - Unit Price","1811685.2416"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Reseller","(Sales Amount - Unit Price)%","2151.9413914575653"
"Bikes","Mountain Bikes","FY2020","FY2020 Q3","Reseller","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Internet","Unit Price","1829.7095"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Internet","Sales Amount","1542445.07"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Internet","Sales Amount - Unit Price","1540615.3605"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Internet","(Sales Amount - Unit Price)%","841.9999789584085"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Internet","Total Sales","933216056.6900003"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Reseller","Unit Price","738.5045"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Reseller","Sales Amount","2089719.6142"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Reseller","Sales Amount - Unit Price","2088981.1097"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Reseller","(Sales Amount - Unit Price)%","2828.6640226295167"
"Bikes","Mountain Bikes","FY2020","FY2020 Q4","Reseller","Total Sales","933216056.6900003"
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Internet","Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Internet","Sales Amount",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Internet","Sales Amount - Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Internet","(Sales Amount - Unit Price)%",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Internet","Total Sales",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Reseller","Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Reseller","Sales Amount",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Reseller","Sales Amount - Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Reseller","(Sales Amount - Unit Price)%",
"Bikes","Touring Bikes","FY2018","FY2018 Q1","Reseller","Total Sales",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Internet","Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Internet","Sales Amount",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Internet","Sales Amount - Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Internet","(Sales Amount - Unit Price)%",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Internet","Total Sales",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Reseller","Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Reseller","Sales Amount",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Reseller","Sales Amount - Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Reseller","(Sales Amount - Unit Price)%",
"Bikes","Touring Bikes","FY2018","FY2018 Q2","Reseller","Total Sales",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Internet","Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Internet","Sales Amount",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Internet","Sales Amount - Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Internet","(Sales Amount - Unit Price)%",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Internet","Total Sales",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Reseller","Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Reseller","Sales Amount",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Reseller","Sales Amount - Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Reseller","(Sales Amount - Unit Price)%",
"Bikes","Touring Bikes","FY2018","FY2018 Q3","Reseller","Total Sales",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Internet","Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Internet","Sales Amount",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Internet","Sales Amount - Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Internet","(Sales Amount - Unit Price)%",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Internet","Total Sales",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Reseller","Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Reseller","Sales Amount",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Reseller","Sales Amount - Unit Price",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Reseller","(Sales Amount - Unit Price)%",
"Bikes","Touring Bikes","FY2018","FY2018 Q4","Reseller","Total Sales",
"Bikes","Touring Bikes","FY2019","FY2019 Q1","Internet","Unit Price",
"Bikes","Touring Bikes","FY2019","FY2019 Q1","Internet","Sales Amount",
"Bikes","Touring Bikes","FY2019","FY2019 Q1","Internet","Sales Amount - Unit Price",
