Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Qtr 3,2015,Office Supplies,Fasteners,136.426,45.33979999999999
Qtr 4,2015,Office Supplies,Fasteners,262.29,80.70339999999999
Qtr 1,2016,Office Supplies,Fasteners,88.12400000000001,28.5745
Qtr 2,2016,Office Supplies,Fasteners,151.21,54.276399999999995
Qtr 3,2016,Office Supplies,Fasteners,248.11,80.20309999999999
Qtr 4,2016,Office Supplies,Fasteners,472.69000000000005,131.01940000000002
Qtr 1,2017,Office Supplies,Fasteners,136.596,35.39469999999999
Qtr 2,2017,Office Supplies,Fasteners,100.178,19.0085
Qtr 3,2017,Office Supplies,Fasteners,240.21999999999997,96.9488
Qtr 4,2017,Office Supplies,Fasteners,380.59999999999997,153.59689999999998
Qtr 1,2014,Office Supplies,Labels,255.21200000000002,104.33719999999998
Qtr 2,2014,Office Supplies,Labels,744.1580000000001,344.25750000000005
Qtr 3,2014,Office Supplies,Labels,617.702,276.63399999999996
Qtr 4,2014,Office Supplies,Labels,1224.322,560.7755
Qtr 1,2015,Office Supplies,Labels,781.7139999999999,368.11859999999996
Qtr 2,2015,Office Supplies,Labels,423.48600000000005,171.65800000000004
Qtr 3,2015,Office Supplies,Labels,676.602,312.8239
Qtr 4,2015,Office Supplies,Labels,1074.66,470.42810000000003
Qtr 1,2016,Office Supplies,Labels,132.37,62.34609999999999
Qtr 2,2016,Office Supplies,Labels,572.2919999999999,263.2686
Qtr 3,2016,Office Supplies,Labels,826.3420000000001,356.81199999999995
Qtr 4,2016,Office Supplies,Labels,1296.2360000000003,510.18519999999995
Qtr 1,2017,Office Supplies,Labels,277.35999999999996,126.70689999999999
Qtr 2,2017,Office Supplies,Labels,760.2239999999998,325.52959999999996
Qtr 3,2017,Office Supplies,Labels,1944.1380000000001,889.8238000000001
Qtr 4,2017,Office Supplies,Labels,879.4940000000003,402.549
Qtr 1,2014,Office Supplies,Paper,1580.83,663.2356000000001
Qtr 2,2014,Office Supplies,Paper,2194.733999999999,911.9930000000002
Qtr 3,2014,Office Supplies,Paper,4259.074000000001,1812.6979999999999
Qtr 4,2014,Office Supplies,Paper,6800.318000000002,2983.094800000001
Qtr 1,2015,Office Supplies,Paper,2316.8320000000003,1000.3266
Qtr 2,2015,Office Supplies,Paper,2432.764000000001,956.2088000000006
Qtr 3,2015,Office Supplies,Paper,4028.164,1793.7208000000003
Qtr 4,2015,Office Supplies,Paper,6509.878000000002,2819.9138000000003
Qtr 1,2016,Office Supplies,Paper,2734.2180000000003,1219.1531999999997
Qtr 2,2016,Office Supplies,Paper,6710.059999999999,2913.0705000000003
Qtr 3,2016,Office Supplies,Paper,5060.840000000002,2219.1205
Qtr 4,2016,Office Supplies,Paper,6156.776,2720.1902999999998
Qtr 1,2017,Office Supplies,Paper,4729.932000000001,2081.6452000000004
Qtr 2,2017,Office Supplies,Paper,5561.989999999999,2441.7446
Qtr 3,2017,Office Supplies,Paper,8044.841999999999,3483.0729000000038
Qtr 4,2017,Office Supplies,Paper,9357.954000000003,4034.3806999999983
Qtr 1,2014,Office Supplies,Storage,7541.361999999996,693.2789999999995
Qtr 2,2014,Office Supplies,Storage,8242.428,543.1238
Qtr 3,2014,Office Supplies,Storage,13585.685999999998,1180.8009999999997
Qtr 4,2014,Office Supplies,Storage,20959.566000000006,1749.0750000000005
Qtr 1,2015,Office Supplies,Storage,5077.498000000001,746.0945000000002
Qtr 2,2015,Office Supplies,Storage,8621.948000000002,689.7557999999998
Qtr 3,2015,Office Supplies,Storage,17307.246,1434.177799999999
Qtr 4,2015,Office Supplies,Storage,14041.556,635.4319999999998
Qtr 1,2016,Office Supplies,Storage,8848.104,1008.8664999999996
Qtr 2,2016,Office Supplies,Storage,13805.082000000002,1154.0078000000003
Qtr 3,2016,Office Supplies,Storage,14447.292,1204.9054999999996
Qtr 4,2016,Office Supplies,Storage,21688.221999999994,2836.5069999999996
Qtr 1,2017,Office Supplies,Storage,8668.269999999999,812.5550999999996
Qtr 2,2017,Office Supplies,Storage,18411.844,2018.1876999999993
Qtr 3,2017,Office Supplies,Storage,14380.861999999997,1293.8884000000005
Qtr 4,2017,Office Supplies,Storage,28216.641999999993,3278.1694999999977
Qtr 1,2014,Office Supplies,Supplies,257.24,10.172200000000004
Qtr 2,2014,Office Supplies,Supplies,4282.237999999999,106.51020000000005
Qtr 3,2014,Office Supplies,Supplies,8793.427999999998,392.5779999999997
Qtr 4,2014,Office Supplies,Supplies,1061.1639999999998,-19.204799999999985
Qtr 1,2015,Office Supplies,Supplies,122.32000000000001,18.68159999999999
Qtr 2,2015,Office Supplies,Supplies,531.054,41.24939999999999
Qtr 3,2015,Office Supplies,Supplies,1057.616,-113.66950000000001
Qtr 4,2015,Office Supplies,Supplies,241.49200000000002,28.860099999999996
Qtr 1,2016,Office Supplies,Supplies,8893.722000000002,-575.2212000000005
Qtr 2,2016,Office Supplies,Supplies,2445.4900000000002,-57.40329999999997
Qtr 3,2016,Office Supplies,Supplies,743.242,61.07499999999993
Qtr 4,2016,Office Supplies,Supplies,2195.1220000000003,-127.4144
Qtr 1,2017,Office Supplies,Supplies,6056.181999999999,-149.09049999999996
Qtr 2,2017,Office Supplies,Supplies,1377.386,107.23780000000002
Qtr 3,2017,Office Supplies,Supplies,5523.374000000002,-971.0515999999999
Qtr 4,2017,Office Supplies,Supplies,3092.4680000000003,57.59149999999998
Qtr 1,2014,Technology,Accessories,3057.814,1124.5735000000002
Qtr 2,2014,Technology,Accessories,3908.5200000000004,1038.4554999999998
Qtr 3,2014,Technology,Accessories,7705.984,1685.6122999999998
Qtr 4,2014,Technology,Accessories,10341.954000000002,2554.0737
Qtr 1,2015,Technology,Accessories,3149.7279999999996,670.5037999999997
Qtr 2,2015,Technology,Accessories,4600.2480000000005,1238.1835999999998
Qtr 3,2015,Technology,Accessories,11973.883999999998,3099.461799999999
Qtr 4,2015,Technology,Accessories,20800.100000000002,5189.126000000001
Qtr 1,2016,Technology,Accessories,4890.926000000001,1035.9632999999994
Qtr 2,2016,Technology,Accessories,7222.557999999999,1684.7750999999994
Qtr 3,2016,Technology,Accessories,12445.411999999995,2585.2865
Qtr 4,2016,Technology,Accessories,17336.957999999995,4358.2636
Qtr 1,2017,Technology,Accessories,8515.352,2291.9934
Qtr 2,2017,Technology,Accessories,10741.866000000004,2575.8228999999988
Qtr 3,2017,Technology,Accessories,22277.63599999999,6334.611800000003
Qtr 4,2017,Technology,Accessories,18411.377999999997,4469.928899999999
Qtr 1,2014,Technology,Copiers,,
Qtr 2,2014,Technology,Copiers,2999.93,464.98850000000004
Qtr 3,2014,Technology,Copiers,4109.928,1586.9721
Qtr 4,2014,Technology,Copiers,3739.924,860.9826999999999
Qtr 1,2015,Technology,Copiers,4269.914000000001,1858.4616999999998
Qtr 2,2015,Technology,Copiers,6379.83,2241.9406
Qtr 3,2015,Technology,Copiers,5119.912000000001,1600.9739
Qtr 4,2015,Technology,Copiers,10409.794000000002,4228.9226
Qtr 1,2016,Technology,Copiers,959.9680000000001,119.99599999999992
Qtr 2,2016,Technology,Copiers,10439.939999999999,1564.9882999999988
Qtr 3,2016,Technology,Copiers,11619.722000000002,3895.9001
Qtr 4,2016,Technology,Copiers,26579.779999999995,12161.908199999998
Qtr 1,2017,Technology,Copiers,24319.772,10565.914699999998
Qtr 2,2017,Technology,Copiers,3359.952,1049.985
Qtr 3,2017,Technology,Copiers,4979.872,1527.9651000000001
Qtr 4,2017,Technology,Copiers,30239.792,11887.925399999998
Qtr 1,2014,Technology,Machines,25314.658,-1255.4678000000022
Qtr 2,2014,Technology,Machines,979.729,-142.0174
Qtr 3,2014,Technology,Machines,22420.282,-2626.1293000000032
Qtr 4,2014,Technology,Machines,13308.704000000002,4392.783399999998
Qtr 1,2015,Technology,Machines,3107.9760000000006,-734.4027000000003
Qtr 2,2015,Technology,Machines,4824.756,927.4447999999995
Qtr 3,2015,Technology,Machines,4973.276,2044.9754999999998
Qtr 4,2015,Technology,Machines,14857.689,739.4679999999989
Qtr 1,2016,Technology,Machines,17744.49,4968.559199999999
Qtr 2,2016,Technology,Machines,24273.397,4580.507099999998
Qtr 3,2016,Technology,Machines,3309.518,-161.63730000000015
Qtr 4,2016,Technology,Machines,10579.481000000003,-6480.111000000001
Qtr 1,2017,Technology,Machines,5089.345,905.5250999999996
Qtr 2,2017,Technology,Machines,11562.129,-1166.7751000000012
Qtr 3,2017,Technology,Machines,6008.859,256.15279999999984
Qtr 4,2017,Technology,Machines,20884.342,-2864.118399999999
Qtr 1,2014,Technology,Phones,8890.502,1909.1652000000004
Qtr 2,2014,Technology,Phones,19343.095999999994,3262.9792000000007
Qtr 3,2014,Technology,Phones,13515.171999999999,2276.827
Qtr 4,2014,Technology,Phones,35642.036,4359.033899999999
Qtr 1,2015,Technology,Phones,7890.6280000000015,822.7797999999996
Qtr 2,2015,Technology,Phones,13434.484000000002,1552.4182999999996
Qtr 3,2015,Technology,Phones,22845.654,4210.234699999999
Qtr 4,2015,Technology,Phones,24142.936,3813.374600000001
Qtr 1,2016,Technology,Phones,15851.447999999999,1195.2467000000001
Qtr 2,2016,Technology,Phones,18159.45,2712.5184
Qtr 3,2016,Technology,Phones,18450.156,1789.4981999999977
Qtr 4,2016,Technology,Phones,26500.975999999995,3762.3296
Qtr 1,2017,Technology,Phones,18264.23,2050.1640999999995
Qtr 2,2017,Technology,Phones,17347.127999999997,2102.291
Qtr 3,2017,Technology,Phones,34505.323999999986,3191.9692000000005
Qtr 4,2017,Technology,Phones,35223.83399999999,5504.900699999998
