Category,Region,Year,Quarter,Month,Day,Sum of  Sales Budget ,Sum of  Sales Forecast 
Others,Midwest,2019,Qtr 3,August,1,5569010,6314853
Others,Midwest,2019,Qtr 3,September,1,3206546,7865480
Others,Midwest,2019,Qtr 4,October,1,4730619,4547314
Others,Midwest,2019,Qtr 4,November,1,3636511,4979678
Others,Midwest,2019,Qtr 4,December,1,4856947,7573214
Others,West,2019,Qtr 1,January,1,5129765,5725106
Others,West,2019,Qtr 1,February,1,5461355,3723065
Others,West,2019,Qtr 1,March,1,2187115,2830678
Others,West,2019,Qtr 2,April,1,3538940,3859182
Others,West,2019,Qtr 2,May,1,4846165,3508803
Others,West,2019,Qtr 2,June,1,6470176,3170413
Others,West,2019,Qtr 3,July,1,3808765,6430574
Others,West,2019,Qtr 3,August,1,7426171,4456435
Others,West,2019,Qtr 3,September,1,3437648,5772907
Others,West,2019,Qtr 4,October,1,6503487,4118157
Others,West,2019,Qtr 4,November,1,4933267,4696578
Others,West,2019,Qtr 4,December,1,5497975,4751200
