World Food Price.Food Group,Table3.Date.Variation.Date Hierarchy.Year,Table3.Date.Variation.Date Hierarchy.Month,Sum(World Food Price.Price),
FAO VEGETABLE OIL PRICE INDEX,2003,August,57.08945294860328,102.390855715947
FOOD PRICE INDEX,2003,August,57.57707052752848,98.2717052576407
FAO CEREAL PRICE INDEX,2003,September,60.525357750624174,101.17827210952213
FAO DAIRY FOOD PRICE INDEX,2003,September,55.223216138257925,103.84621437396761
FAO MEAT PRICE INDEX,2003,September,62.96442752848394,93.00257260656764
FAO SUGAR PRICE INDEX,2003,September,37.030210894731965,93.89311016104124
FAO VEGETABLE OIL PRICE INDEX,2003,September,59.33497306114799,102.31418609382202
FOOD PRICE INDEX,2003,September,58.73217748144158,98.50212207078461
FAO CEREAL PRICE INDEX,2003,October,60.59597195853807,101.8571219449347
FAO DAIRY FOOD PRICE INDEX,2003,October,57.592765104604354,104.62964308281964
FAO MEAT PRICE INDEX,2003,October,62.70584333363975,91.96498722673425
FAO SUGAR PRICE INDEX,2003,October,36.87586331256073,96.3546808785908
FAO VEGETABLE OIL PRICE INDEX,2003,October,67.38665882653439,102.79642199338896
FOOD PRICE INDEX,2003,October,60.330371924093434,98.71712421645435
FAO CEREAL PRICE INDEX,2003,November,64.77850472418294,102.35957129498412
FAO DAIRY FOOD PRICE INDEX,2003,November,58.559986434233124,104.49185233613642
FAO MEAT PRICE INDEX,2003,November,62.17200214036321,91.91808658895592
FAO SUGAR PRICE INDEX,2003,November,37.626564944388875,95.87622296088315
FAO VEGETABLE OIL PRICE INDEX,2003,November,68.83389281093454,106.0066577417501
FOOD PRICE INDEX,2003,November,61.79105311737168,99.3286168852461
FAO CEREAL PRICE INDEX,2003,December,65.67672642885479,103.26800669791598
FAO DAIRY FOOD PRICE INDEX,2003,December,59.717850599793024,104.78757904117812
FAO MEAT PRICE INDEX,2003,December,61.229206681676644,90.71526611326958
FAO SUGAR PRICE INDEX,2003,December,38.89080338119515,95.83529807773397
FAO VEGETABLE OIL PRICE INDEX,2003,December,71.56378627419143,107.10895926373618
FOOD PRICE INDEX,2003,December,62.44352102623007,99.41264911092858
FAO CEREAL PRICE INDEX,2003,,712.5997305756385,672.987204373041
FAO DAIRY FOOD PRICE INDEX,2003,,653.808933167457,672.987204373041
FAO MEAT PRICE INDEX,2003,,700.1743619108391,672.987204373041
FAO SUGAR PRICE INDEX,2003,,526.2558913935242,672.987204373041
FAO VEGETABLE OIL PRICE INDEX,2003,,751.5717725362343,672.987204373041
FOOD PRICE INDEX,2003,,693.512536654553,672.987204373041
FAO CEREAL PRICE INDEX,2004,January,66.92288497218289,102.63742916595577
FAO DAIRY FOOD PRICE INDEX,2004,January,60.94762087734763,102.00492945559489
FAO MEAT PRICE INDEX,2004,January,65.93828478437403,88.06036790640158
FAO SUGAR PRICE INDEX,2004,January,35.92912592434128,96.61330829648912
FAO VEGETABLE OIL PRICE INDEX,2004,January,71.21869198484032,107.59094383620615
FOOD PRICE INDEX,2004,January,64.27814580241326,98.09062736119324
FAO CEREAL PRICE INDEX,2004,February,67.48168078635155,104.1463044043392
FAO DAIRY FOOD PRICE INDEX,2004,February,64.3282477563362,103.28815882696858
FAO MEAT PRICE INDEX,2004,February,63.82470741005065,88.34166999338643
FAO SUGAR PRICE INDEX,2004,February,36.16296583100927,97.93407346617218
FAO VEGETABLE OIL PRICE INDEX,2004,February,76.06333012230827,109.81480904431206
FOOD PRICE INDEX,2004,February,65.03403225836601,99.26465512562595
FAO CEREAL PRICE INDEX,2004,March,68.46616512415642,104.79473299308552
FAO DAIRY FOOD PRICE INDEX,2004,March,65.24808043012705,104.30682235844907
FAO MEAT PRICE INDEX,2004,March,66.32455660565296,89.64441027384376
FAO SUGAR PRICE INDEX,2004,March,39.962081132298614,93.5406663314412
FAO VEGETABLE OIL PRICE INDEX,2004,March,76.73328079341162,112.13459295240872
FOOD PRICE INDEX,2004,March,66.66120222037621,100.10479854995658
FAO CEREAL PRICE INDEX,2004,April,70.24966810992413,101.42500763717695
FAO DAIRY FOOD PRICE INDEX,2004,April,65.81146312880892,102.17201806113785
FAO MEAT PRICE INDEX,2004,April,66.29510281857222,89.25242743857746
FAO SUGAR PRICE INDEX,2004,April,40.69300621576135,88.48188559670608
FAO VEGETABLE OIL PRICE INDEX,2004,April,76.45253650627517,105.34454427402288
FOOD PRICE INDEX,2004,April,67.25068901533884,97.21090148164497
FAO CEREAL PRICE INDEX,2004,May,68.84606489196729,101.98351881314993
FAO DAIRY FOOD PRICE INDEX,2004,May,67.76786817534534,101.86377897843484
FAO MEAT PRICE INDEX,2004,May,65.78091225175591,90.39458409118944
FAO SUGAR PRICE INDEX,2004,May,39.2290813876575,87.82690676805765
FAO VEGETABLE OIL PRICE INDEX,2004,May,73.51595748131575,106.28896868346804
FOOD PRICE INDEX,2004,May,66.35527305517249,97.82066009598026
FAO CEREAL PRICE INDEX,2004,June,66.39026459061472,101.62428406480797
FAO DAIRY FOOD PRICE INDEX,2004,June,70.74094548195693,102.59587277595189
FAO MEAT PRICE INDEX,2004,June,68.79103726942576,91.48465272217048
FAO SUGAR PRICE INDEX,2004,June,42.886857740890605,89.08028204861803
FAO VEGETABLE OIL PRICE INDEX,2004,June,66.06363235183748,104.46835786753736
FOOD PRICE INDEX,2004,June,66.08270148408934,97.96808621369334
FAO CEREAL PRICE INDEX,2004,July,60.70945304861875,100.52989723869926
FAO DAIRY FOOD PRICE INDEX,2004,July,72.56498934826806,103.02880989297145
FAO MEAT PRICE INDEX,2004,July,70.71367948495465,92.60140364152569
FAO SUGAR PRICE INDEX,2004,July,48.9769828234715,93.94961334754449
FAO VEGETABLE OIL PRICE INDEX,2004,July,64.81972209222134,102.58369953955201
FOOD PRICE INDEX,2004,July,65.56188847581292,98.11531050432275
FAO CEREAL PRICE INDEX,2004,August,59.09336884923566,100.72586227130942
FAO DAIRY FOOD PRICE INDEX,2004,August,72.74244704080243,102.95162161375463
FAO MEAT PRICE INDEX,2004,August,68.9309673648018,93.06032948683205
FAO SUGAR PRICE INDEX,2004,August,46.884117668071866,93.80606354872593
FAO VEGETABLE OIL PRICE INDEX,2004,August,65.44023197021244,102.390855715947
FOOD PRICE INDEX,2004,August,64.4811447580688,98.2717052576407
FAO CEREAL PRICE INDEX,2004,September,59.97720175651407,101.17827210952213
FAO DAIRY FOOD PRICE INDEX,2004,September,73.30439640049462,103.84621437396761
FAO MEAT PRICE INDEX,2004,September,69.60988034124627,93.00257260656764
FAO SUGAR PRICE INDEX,2004,September,47.570487423337326,93.89311016104124
FAO VEGETABLE OIL PRICE INDEX,2004,September,66.27003740616895,102.31418609382202
FOOD PRICE INDEX,2004,September,65.22852640979781,98.50212207078461
FAO CEREAL PRICE INDEX,2004,October,59.33595437353962,101.8571219449347
FAO DAIRY FOOD PRICE INDEX,2004,October,73.79475608598091,104.62964308281964
FAO MEAT PRICE INDEX,2004,October,67.67760699227131,91.96498722673425
FAO SUGAR PRICE INDEX,2004,October,52.30233980521724,96.3546808785908
FAO VEGETABLE OIL PRICE INDEX,2004,October,65.80293521980045,102.79642199338896
FOOD PRICE INDEX,2004,October,64.72532031565534,98.71712421645435
FAO CEREAL PRICE INDEX,2004,November,60.02006362554658,102.35957129498412
FAO DAIRY FOOD PRICE INDEX,2004,November,75.12101921059579,104.49185233613642
FAO MEAT PRICE INDEX,2004,November,68.2918430899717,91.91808658895592
FAO SUGAR PRICE INDEX,2004,November,50.507249818817414,95.87622296088315
FAO VEGETABLE OIL PRICE INDEX,2004,November,66.93783393238756,106.0066577417501
FOOD PRICE INDEX,2004,November,65.37593348806891,99.3286168852461
FAO CEREAL PRICE INDEX,2004,December,60.526197694531795,103.26800669791598
FAO DAIRY FOOD PRICE INDEX,2004,December,75.81473677471593,104.78757904117812
FAO MEAT PRICE INDEX,2004,December,68.60121134687412,90.71526611326958
FAO SUGAR PRICE INDEX,2004,December,51.04771096431245,95.83529807773397
FAO VEGETABLE OIL PRICE INDEX,2004,December,66.02137321844262,107.10895926373618
FOOD PRICE INDEX,2004,December,65.6081064901301,99.41264911092858
FAO CEREAL PRICE INDEX,2004,,768.0189678231834,761.8533103136023
FAO DAIRY FOOD PRICE INDEX,2004,,838.1865707107798,761.8533103136023
FAO MEAT PRICE INDEX,2004,,810.7797897599514,761.8533103136023
FAO SUGAR PRICE INDEX,2004,,532.1520067351864,761.8533103136023
FAO VEGETABLE OIL PRICE INDEX,2004,,835.339563079222,761.8533103136023
FOOD PRICE INDEX,2004,,786.64296377329,761.8533103136023
FAO CEREAL PRICE INDEX,2005,January,60.49896336476862,102.63742916595577
FAO DAIRY FOOD PRICE INDEX,2005,January,76.21881756446444,102.00492945559489
FAO MEAT PRICE INDEX,2005,January,68.61124206453472,88.06036790640158
FAO SUGAR PRICE INDEX,2005,January,53.96736245509033,96.61330829648912
FAO VEGETABLE OIL PRICE INDEX,2005,January,63.14893798093526,107.59094383620615
FOOD PRICE INDEX,2005,January,65.38812876463247,98.09062736119324
FAO CEREAL PRICE INDEX,2005,February,60.27037833192888,104.1463044043392
FAO DAIRY FOOD PRICE INDEX,2005,February,76.66764718966928,103.28815882696858
FAO MEAT PRICE INDEX,2005,February,70.02858819437192,88.34166999338643
FAO SUGAR PRICE INDEX,2005,February,56.33154727077297,97.93407346617218
FAO VEGETABLE OIL PRICE INDEX,2005,February,62.26632197577167,109.81480904431206
FOOD PRICE INDEX,2005,February,65.87759865851137,99.26465512562595
FAO CEREAL PRICE INDEX,2005,March,61.54803977872932,104.79473299308552
FAO DAIRY FOOD PRICE INDEX,2005,March,77.00667737694059,104.30682235844907
FAO MEAT PRICE INDEX,2005,March,70.62158325525324,89.64441027384376
FAO SUGAR PRICE INDEX,2005,March,54.96266033459896,93.5406663314412
FAO VEGETABLE OIL PRICE INDEX,2005,March,66.74267313018764,112.13459295240872
FOOD PRICE INDEX,2005,March,67.14125464242638,100.10479854995658
FAO CEREAL PRICE INDEX,2005,April,59.54505267504478,101.42500763717695
FAO DAIRY FOOD PRICE INDEX,2005,April,76.17646355525639,102.17201806113785
FAO MEAT PRICE INDEX,2005,April,69.30113538946843,89.25242743857746
FAO SUGAR PRICE INDEX,2005,April,53.15695320072733,88.48188559670608
FAO VEGETABLE OIL PRICE INDEX,2005,April,65.07478932076579,105.34454427402288
FOOD PRICE INDEX,2005,April,65.60015461111074,97.21090148164497
FAO CEREAL PRICE INDEX,2005,May,59.36642199345889,101.98351881314993
FAO DAIRY FOOD PRICE INDEX,2005,May,76.51078967793883,101.86377897843484
FAO MEAT PRICE INDEX,2005,May,71.8478536748791,90.39458409118944
FAO SUGAR PRICE INDEX,2005,May,53.132051534547806,87.82690676805765
FAO VEGETABLE OIL PRICE INDEX,2005,May,64.22690057351276,106.28896868346804
FOOD PRICE INDEX,2005,May,66.30097886107384,97.82066009598026
FAO CEREAL PRICE INDEX,2005,June,60.164119707330514,101.62428406480797
FAO DAIRY FOOD PRICE INDEX,2005,June,76.36046465437391,102.59587277595189
FAO MEAT PRICE INDEX,2005,June,72.99314523837752,91.48465272217048
FAO SUGAR PRICE INDEX,2005,June,56.015085805742814,89.08028204861803
FAO VEGETABLE OIL PRICE INDEX,2005,June,64.63713855623178,104.46835786753736
FOOD PRICE INDEX,2005,June,67.16445562192885,97.96808621369334
FAO CEREAL PRICE INDEX,2005,July,61.182181076640106,100.52989723869926
FAO DAIRY FOOD PRICE INDEX,2005,July,77.09911569520531,103.02880989297145
FAO MEAT PRICE INDEX,2005,July,71.91119649568061,92.60140364152569
FAO SUGAR PRICE INDEX,2005,July,59.65201500660399,93.94961334754449
FAO VEGETABLE OIL PRICE INDEX,2005,July,64.43517445949284,102.58369953955201
FOOD PRICE INDEX,2005,July,67.42553521450318,98.11531050432275
FAO CEREAL PRICE INDEX,2005,August,60.947789543683605,100.72586227130942
FAO DAIRY FOOD PRICE INDEX,2005,August,78.34242863730444,102.95162161375463
FAO MEAT PRICE INDEX,2005,August,72.2851950945516,93.06032948683205
FAO SUGAR PRICE INDEX,2005,August,61.48219457803816,93.80606354872593
FAO VEGETABLE OIL PRICE INDEX,2005,August,62.50964334981427,102.390855715947
FOOD PRICE INDEX,2005,August,67.46552300172714,98.2717052576407
FAO CEREAL PRICE INDEX,2005,September,61.53264342255477,101.17827210952213
FAO DAIRY FOOD PRICE INDEX,2005,September,78.74656266687686,103.84621437396761
FAO MEAT PRICE INDEX,2005,September,73.20944352250064,93.00257260656764
FAO SUGAR PRICE INDEX,2005,September,63.80425733168574,93.89311016104124
FAO VEGETABLE OIL PRICE INDEX,2005,September,64.00235215017715,102.31418609382202
FOOD PRICE INDEX,2005,September,68.41242408629168,98.50212207078461
FAO CEREAL PRICE INDEX,2005,October,62.07397201870674,101.8571219449347
FAO DAIRY FOOD PRICE INDEX,2005,October,78.49946708804961,104.62964308281964
FAO MEAT PRICE INDEX,2005,October,73.30522634673413,91.96498722673425
FAO SUGAR PRICE INDEX,2005,October,68.82584776599346,96.3546808785908
FAO VEGETABLE OIL PRICE INDEX,2005,October,66.80753884402131,102.79642199338896
FOOD PRICE INDEX,2005,October,69.3891740787144,98.71712421645435
FAO CEREAL PRICE INDEX,2005,November,60.59673004002824,102.35957129498412
FAO DAIRY FOOD PRICE INDEX,2005,November,77.9655762912991,104.49185233613642
FAO MEAT PRICE INDEX,2005,November,73.50624011415884,91.91808658895592
FAO SUGAR PRICE INDEX,2005,November,70.43391404975792,95.87622296088315
FAO VEGETABLE OIL PRICE INDEX,2005,November,65.44132746850877,106.0066577417501
FOOD PRICE INDEX,2005,November,68.84049538383653,99.3286168852461
FAO CEREAL PRICE INDEX,2005,December,61.472838447617995,103.26800669791598
FAO DAIRY FOOD PRICE INDEX,2005,December,76.92674117428238,104.78757904117812
FAO MEAT PRICE INDEX,2005,December,73.6167380505584,90.71526611326958
FAO SUGAR PRICE INDEX,2005,December,82.58512343370562,95.83529807773397
FAO VEGETABLE OIL PRICE INDEX,2005,December,63.49195562755826,107.10895926373618
FOOD PRICE INDEX,2005,December,69.51982197454255,99.41264911092858
FAO CEREAL PRICE INDEX,2005,,729.1991304004924,805.4361300861275
FAO DAIRY FOOD PRICE INDEX,2005,,926.5207515716613,805.4361300861275
FAO MEAT PRICE INDEX,2005,,861.237587441069,805.4361300861275
FAO SUGAR PRICE INDEX,2005,,734.3490127672651,805.4361300861275
FAO VEGETABLE OIL PRICE INDEX,2005,,772.7847534369774,805.4361300861275
FOOD PRICE INDEX,2005,,808.5255448992991,805.4361300861275
FAO CEREAL PRICE INDEX,2006,January,62.74352301876942,102.63742916595577
FAO DAIRY FOOD PRICE INDEX,2006,January,74.33502425159384,102.00492945559489
FAO MEAT PRICE INDEX,2006,January,70.0469676325743,88.06036790640158
FAO SUGAR PRICE INDEX,2006,January,97.45244957283828,96.61330829648912
FAO VEGETABLE OIL PRICE INDEX,2006,January,63.67327271248753,107.59094383620615
FOOD PRICE INDEX,2006,January,69.41630632644666,98.09062736119324
FAO CEREAL PRICE INDEX,2006,February,64.7910731274822,104.1463044043392
FAO DAIRY FOOD PRICE INDEX,2006,February,74.45543302356798,103.28815882696858
FAO MEAT PRICE INDEX,2006,February,67.704022167716,88.34166999338643
FAO SUGAR PRICE INDEX,2006,February,111.05406380379247,97.93407346617218
FAO VEGETABLE OIL PRICE INDEX,2006,February,64.98834715617325,109.81480904431206
FOOD PRICE INDEX,2006,February,70.42614704078687,99.26465512562595
FAO CEREAL PRICE INDEX,2006,March,63.928474835239456,104.79473299308552
FAO DAIRY FOOD PRICE INDEX,2006,March,73.06998018636052,104.30682235844907
FAO MEAT PRICE INDEX,2006,March,66.79460012439495,89.64441027384376
FAO SUGAR PRICE INDEX,2006,March,106.69649644628127,93.5406663314412
FAO VEGETABLE OIL PRICE INDEX,2006,March,65.15630922012828,112.13459295240872
FOOD PRICE INDEX,2006,March,69.398946124191,100.10479854995658
FAO CEREAL PRICE INDEX,2006,April,65.12106361666847,101.42500763717695
FAO DAIRY FOOD PRICE INDEX,2006,April,71.60039966543243,102.17201806113785
FAO MEAT PRICE INDEX,2006,April,66.1831264352107,89.25242743857746
FAO SUGAR PRICE INDEX,2006,April,108.22450761325608,88.48188559670608
FAO VEGETABLE OIL PRICE INDEX,2006,April,66.75830033921292,105.34454427402288
FOOD PRICE INDEX,2006,April,69.70869181160748,97.21090148164497
FAO CEREAL PRICE INDEX,2006,May,67.7871224680707,101.98351881314993
FAO DAIRY FOOD PRICE INDEX,2006,May,71.259657954217,101.86377897843484
FAO MEAT PRICE INDEX,2006,May,67.99182904574245,90.39458409118944
FAO SUGAR PRICE INDEX,2006,May,104.09780545861483,87.82690676805765
FAO VEGETABLE OIL PRICE INDEX,2006,May,68.28309273141605,106.28896868346804
FOOD PRICE INDEX,2006,May,70.99588269221591,97.82066009598026
FAO CEREAL PRICE INDEX,2006,June,67.78429956124934,101.62428406480797
FAO DAIRY FOOD PRICE INDEX,2006,June,71.00055587078161,102.59587277595189
FAO MEAT PRICE INDEX,2006,June,70.44927448053112,91.48465272217048
FAO SUGAR PRICE INDEX,2006,June,95.30131532229025,89.08028204861803
FAO VEGETABLE OIL PRICE INDEX,2006,June,67.93735981760595,104.46835786753736
FOOD PRICE INDEX,2006,June,71.09722700380533,97.96808621369334
FAO CEREAL PRICE INDEX,2006,July,69.85457889334856,100.52989723869926
FAO DAIRY FOOD PRICE INDEX,2006,July,71.28180873558216,103.02880989297145
FAO MEAT PRICE INDEX,2006,July,71.79553435600452,92.60140364152569
FAO SUGAR PRICE INDEX,2006,July,99.32670515747391,93.94961334754449
FAO VEGETABLE OIL PRICE INDEX,2006,July,70.44588721324885,102.58369953955201
FOOD PRICE INDEX,2006,July,72.88658372674283,98.11531050432275
FAO CEREAL PRICE INDEX,2006,August,69.6462169104853,100.72586227130942
FAO DAIRY FOOD PRICE INDEX,2006,August,70.29798391146184,102.95162161375463
FAO MEAT PRICE INDEX,2006,August,74.18336142570308,93.06032948683205
FAO SUGAR PRICE INDEX,2006,August,83.24985121420148,93.80606354872593
FAO VEGETABLE OIL PRICE INDEX,2006,August,73.54572923906005,102.390855715947
FOOD PRICE INDEX,2006,August,72.86264223154387,98.2717052576407
FAO CEREAL PRICE INDEX,2006,September,72.53916248933173,101.17827210952213
FAO DAIRY FOOD PRICE INDEX,2006,September,70.3439299175523,103.84621437396761
FAO MEAT PRICE INDEX,2006,September,74.81864571939053,93.00257260656764
FAO SUGAR PRICE INDEX,2006,September,74.77867210713228,93.89311016104124
FAO VEGETABLE OIL PRICE INDEX,2006,September,71.7034921010491,102.31418609382202
FOOD PRICE INDEX,2006,September,73.00980691185909,98.50212207078461
FAO CEREAL PRICE INDEX,2006,October,79.85754290451833,101.8571219449347
FAO DAIRY FOOD PRICE INDEX,2006,October,71.90488977279357,104.62964308281964
FAO MEAT PRICE INDEX,2006,October,73.63004259996568,91.96498722673425
FAO SUGAR PRICE INDEX,2006,October,72.03225542247081,96.3546808785908
FAO VEGETABLE OIL PRICE INDEX,2006,October,72.69758563718393,102.79642199338896
FOOD PRICE INDEX,2006,October,74.91854080961748,98.71712421645435
FAO CEREAL PRICE INDEX,2006,November,85.33230128782064,102.35957129498412
FAO DAIRY FOOD PRICE INDEX,2006,November,75.39288214642639,104.49185233613642
FAO MEAT PRICE INDEX,2006,November,72.0617686254971,91.91808658895592
FAO SUGAR PRICE INDEX,2006,November,72.89584359815285,95.87622296088315
FAO VEGETABLE OIL PRICE INDEX,2006,November,78.34697735991229,106.0066577417501
FOOD PRICE INDEX,2006,November,77.47023193918427,99.3286168852461
FAO CEREAL PRICE INDEX,2006,December,85.35516442425448,103.26800669791598
FAO DAIRY FOOD PRICE INDEX,2006,December,81.69783661515693,104.78757904117812
FAO MEAT PRICE INDEX,2006,December,70.62015012473381,90.71526611326958
FAO SUGAR PRICE INDEX,2006,December,71.60776171551588,95.83529807773397
FAO VEGETABLE OIL PRICE INDEX,2006,December,83.00505253905517,107.10895926373618
FOOD PRICE INDEX,2006,December,78.56684046934117,99.41264911092858
FAO CEREAL PRICE INDEX,2006,,854.7405235372387,898.6128681519209
FAO DAIRY FOOD PRICE INDEX,2006,,876.6403820509265,898.6128681519209
FAO MEAT PRICE INDEX,2006,,846.2793227374641,898.6128681519209
FAO SUGAR PRICE INDEX,2006,,1096.7177274320204,898.6128681519209
FAO VEGETABLE OIL PRICE INDEX,2006,,846.5414060665333,898.6128681519209
FOOD PRICE INDEX,2006,,870.757847087342,898.6128681519209
FAO CEREAL PRICE INDEX,2007,January,85.10891731313366,102.63742916595577
FAO DAIRY FOOD PRICE INDEX,2007,January,84.24031081045712,102.00492945559489
FAO MEAT PRICE INDEX,2007,January,69.5947902940656,88.06036790640158
FAO SUGAR PRICE INDEX,2007,January,67.75566550882263,96.61330829648912
FAO VEGETABLE OIL PRICE INDEX,2007,January,82.27075995686415,107.59094383620615
FOOD PRICE INDEX,2007,January,78.1158140841558,98.09062736119324
FAO CEREAL PRICE INDEX,2007,February,87.01684140099431,104.1463044043392
FAO DAIRY FOOD PRICE INDEX,2007,February,88.2844623558332,103.28815882696858
FAO MEAT PRICE INDEX,2007,February,70.94922632530752,88.34166999338643
FAO SUGAR PRICE INDEX,2007,February,65.41328806943922,97.93407346617218
FAO VEGETABLE OIL PRICE INDEX,2007,February,82.87024233885491,109.81480904431206
FOOD PRICE INDEX,2007,February,79.62016436210182,99.26465512562595
FAO CEREAL PRICE INDEX,2007,March,86.42964367426433,104.79473299308552
FAO DAIRY FOOD PRICE INDEX,2007,March,91.77370071031397,104.30682235844907
FAO MEAT PRICE INDEX,2007,March,72.8566923185778,89.64441027384376
FAO SUGAR PRICE INDEX,2007,March,64.60877270056247,93.5406663314412
FAO VEGETABLE OIL PRICE INDEX,2007,March,84.41828569352397,112.13459295240872
FOOD PRICE INDEX,2007,March,80.77702211334471,100.10479854995658
FAO CEREAL PRICE INDEX,2007,April,85.07588981924538,101.42500763717695
FAO DAIRY FOOD PRICE INDEX,2007,April,102.02972646826132,102.17201806113785
FAO MEAT PRICE INDEX,2007,April,74.8082544392658,89.25242743857746
FAO SUGAR PRICE INDEX,2007,April,60.15299527293748,88.48188559670608
FAO VEGETABLE OIL PRICE INDEX,2007,April,92.7592497781534,105.34454427402288
FOOD PRICE INDEX,2007,April,83.55091430003799,97.21090148164497
FAO CEREAL PRICE INDEX,2007,May,86.56297461734206,101.98351881314993
FAO DAIRY FOOD PRICE INDEX,2007,May,105.27600492558253,101.86377897843484
FAO MEAT PRICE INDEX,2007,May,76.63258759072521,90.39458409118944
FAO SUGAR PRICE INDEX,2007,May,58.35830714236629,87.82690676805765
FAO VEGETABLE OIL PRICE INDEX,2007,May,100.25345854845983,106.28896868346804
FOOD PRICE INDEX,2007,May,86.16642717220637,97.82066009598026
FAO CEREAL PRICE INDEX,2007,June,91.94718045533855,101.62428406480797
FAO DAIRY FOOD PRICE INDEX,2007,June,121.04466813430344,102.59587277595189
FAO MEAT PRICE INDEX,2007,June,78.02316576332052,91.48465272217048
FAO SUGAR PRICE INDEX,2007,June,57.491905975883654,89.08028204861803
FAO VEGETABLE OIL PRICE INDEX,2007,June,104.92411526100337,104.46835786753736
FOOD PRICE INDEX,2007,June,91.11611704867843,97.96808621369334
FAO CEREAL PRICE INDEX,2007,July,94.85390282724232,100.52989723869926
FAO DAIRY FOOD PRICE INDEX,2007,July,135.03389545618126,103.02880989297145
FAO MEAT PRICE INDEX,2007,July,79.24787479983655,92.60140364152569
FAO SUGAR PRICE INDEX,2007,July,62.9378561652031,93.94961334754449
FAO VEGETABLE OIL PRICE INDEX,2007,July,108.5781594365497,102.58369953955201
FOOD PRICE INDEX,2007,July,95.32235025470675,98.11531050432275
FAO CEREAL PRICE INDEX,2007,August,102.13852226175487,100.72586227130942
FAO DAIRY FOOD PRICE INDEX,2007,August,141.49546780181674,102.95162161375463
FAO MEAT PRICE INDEX,2007,August,79.36011639423148,93.06032948683205
FAO SUGAR PRICE INDEX,2007,August,60.683060582866275,93.80606354872593
FAO VEGETABLE OIL PRICE INDEX,2007,August,112.79817485547257,102.390855715947
