Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.Region,Orders.Category,CountNonNull(Orders.Postal Code)
2015,Corporate,South,Office Supplies,73
2016,Corporate,South,Office Supplies,69
2017,Corporate,South,Office Supplies,88
2018,Corporate,South,Office Supplies,
2014,Corporate,South,Technology,23
2015,Corporate,South,Technology,16
2016,Corporate,South,Technology,19
2017,Corporate,South,Technology,27
2018,Corporate,South,Technology,
2014,Corporate,West,Furniture,43
2015,Corporate,West,Furniture,43
2016,Corporate,West,Furniture,58
2017,Corporate,West,Furniture,64
2018,Corporate,West,Furniture,2
2014,Corporate,West,Office Supplies,114
2015,Corporate,West,Office Supplies,105
2016,Corporate,West,Office Supplies,139
2017,Corporate,West,Office Supplies,198
2018,Corporate,West,Office Supplies,3
2014,Corporate,West,Technology,34
2015,Corporate,West,Technology,36
2016,Corporate,West,Technology,46
2017,Corporate,West,Technology,75
2018,Corporate,West,Technology,
2014,Home Office,Central,Furniture,17
2015,Home Office,Central,Furniture,20
2016,Home Office,Central,Furniture,22
2017,Home Office,Central,Furniture,30
2018,Home Office,Central,Furniture,
2014,Home Office,Central,Office Supplies,51
2015,Home Office,Central,Office Supplies,47
2016,Home Office,Central,Office Supplies,67
2017,Home Office,Central,Office Supplies,98
2018,Home Office,Central,Office Supplies,3
2014,Home Office,Central,Technology,14
2015,Home Office,Central,Technology,19
2016,Home Office,Central,Technology,19
2017,Home Office,Central,Technology,31
2018,Home Office,Central,Technology,
2014,Home Office,East,Furniture,14
2015,Home Office,East,Furniture,30
2016,Home Office,East,Furniture,18
2017,Home Office,East,Furniture,38
2018,Home Office,East,Furniture,
2014,Home Office,East,Office Supplies,40
2015,Home Office,East,Office Supplies,86
2016,Home Office,East,Office Supplies,82
2017,Home Office,East,Office Supplies,96
2018,Home Office,East,Office Supplies,
2014,Home Office,East,Technology,9
2015,Home Office,East,Technology,26
2016,Home Office,East,Technology,28
2017,Home Office,East,Technology,35
2018,Home Office,East,Technology,
2014,Home Office,South,Furniture,9
2015,Home Office,South,Furniture,6
2016,Home Office,South,Furniture,15
2017,Home Office,South,Furniture,21
2018,Home Office,South,Furniture,
2014,Home Office,South,Office Supplies,31
2015,Home Office,South,Office Supplies,23
2016,Home Office,South,Office Supplies,56
2017,Home Office,South,Office Supplies,55
2018,Home Office,South,Office Supplies,1
2014,Home Office,South,Technology,15
2015,Home Office,South,Technology,4
2016,Home Office,South,Technology,13
2017,Home Office,South,Technology,23
2018,Home Office,South,Technology,
2014,Home Office,West,Furniture,23
2015,Home Office,West,Furniture,23
2016,Home Office,West,Furniture,29
2017,Home Office,West,Furniture,47
2018,Home Office,West,Furniture,
2014,Home Office,West,Office Supplies,63
2015,Home Office,West,Office Supplies,55
2016,Home Office,West,Office Supplies,88
2017,Home Office,West,Office Supplies,137
2018,Home Office,West,Office Supplies,
2014,Home Office,West,Technology,18
2015,Home Office,West,Technology,9
2016,Home Office,West,Technology,30
2017,Home Office,West,Technology,49
2018,Home Office,West,Technology,
