Orders.Region,Orders.State,Orders.City,Min(Orders.Order ID),Min(Orders.Ship Date)
East,Maine,Bangor,CA-2014-134215,2014-08-07T18:30:00.000Z
East,Maine,Lewiston,CA-2015-155054,2015-06-18T18:30:00.000Z
East,Vermont,Burlington,CA-2015-117086,2015-11-08T18:30:00.000Z
East,District of Columbia,Washington,CA-2015-124450,2015-05-02T18:30:00.000Z
East,New Hampshire,Concord,CA-2015-131128,2014-10-15T18:30:00.000Z
East,New Hampshire,Dover,CA-2015-156923,2014-05-21T18:30:00.000Z
East,New Hampshire,Nashua,CA-2016-101168,2016-12-31T18:30:00.000Z
East,West Virginia,Wheeling,CA-2017-124744,2017-06-24T18:30:00.000Z
West,California,San Francisco,CA-2014-100090,2014-01-17T18:30:00.000Z
West,California,Pomona,CA-2014-100860,2014-03-29T18:30:00.000Z
West,California,Lakewood,CA-2014-100867,2014-10-23T18:30:00.000Z
West,California,Los Angeles,CA-2014-101462,2014-01-07T18:30:00.000Z
West,California,Sacramento,CA-2014-102295,2014-11-25T18:30:00.000Z
West,California,Brentwood,CA-2014-102330,2014-11-26T18:30:00.000Z
West,California,San Jose,CA-2014-103310,2014-04-20T18:30:00.000Z
West,California,San Diego,CA-2014-104780,2014-02-01T18:30:00.000Z
West,California,Escondido,CA-2014-104808,2014-02-07T18:30:00.000Z
West,California,Santa Clara,CA-2014-109918,2014-09-11T18:30:00.000Z
West,California,Oxnard,CA-2014-112837,2014-09-15T18:30:00.000Z
West,California,Chula Vista,CA-2014-112851,2014-09-20T18:30:00.000Z
West,California,Oakland,CA-2014-113320,2014-05-16T18:30:00.000Z
West,California,Mission Viejo,CA-2014-115161,2014-02-01T18:30:00.000Z
West,California,Riverside,CA-2014-127866,2014-07-22T18:30:00.000Z
West,California,Redondo Beach,CA-2014-128538,2014-04-16T18:30:00.000Z
West,California,Rancho Cucamonga,CA-2014-130729,2014-10-28T18:30:00.000Z
West,California,Moreno Valley,CA-2014-133354,2014-02-23T18:30:00.000Z
West,California,Manteca,CA-2014-140403,2014-10-09T18:30:00.000Z
West,California,Fresno,CA-2014-141110,2014-03-28T18:30:00.000Z
West,California,Concord,CA-2014-141607,2014-02-17T18:30:00.000Z
West,California,Lodi,CA-2014-142979,2014-04-17T18:30:00.000Z
West,California,Anaheim,CA-2014-143371,2015-01-02T18:30:00.000Z
West,California,El Cajon,CA-2014-147543,2014-07-11T18:30:00.000Z
West,California,Vallejo,CA-2014-153479,2014-04-05T18:30:00.000Z
West,California,Vacaville,CA-2014-154669,2014-08-10T18:30:00.000Z
West,California,Long Beach,CA-2014-156601,2014-09-23T18:30:00.000Z
West,California,Huntington Beach,CA-2014-157623,2014-03-17T18:30:00.000Z
West,California,Pasadena,CA-2014-157924,2014-10-12T18:30:00.000Z
West,California,San Gabriel,CA-2014-166954,2014-04-29T18:30:00.000Z
West,California,Camarillo,CA-2015-100146,2015-05-18T18:30:00.000Z
West,California,Lake Elsinore,CA-2015-101910,2015-12-02T18:30:00.000Z
West,California,San Bernardino,CA-2015-104948,2015-03-22T18:30:00.000Z
West,California,Yucaipa,CA-2015-112014,2015-08-19T18:30:00.000Z
West,California,Oceanside,CA-2015-112571,2015-09-21T18:30:00.000Z
West,California,Costa Mesa,CA-2015-114048,2015-12-17T18:30:00.000Z
West,California,Murrieta,CA-2015-126445,2015-08-30T18:30:00.000Z
West,California,Roseville,CA-2015-126466,2014-03-14T18:30:00.000Z
West,California,Redlands,CA-2015-131457,2015-09-14T18:30:00.000Z
West,California,Santa Barbara,CA-2015-132388,2015-10-11T18:30:00.000Z
West,California,Bakersfield,CA-2015-138534,2015-07-18T18:30:00.000Z
West,California,La Quinta,CA-2015-143238,2015-09-07T18:30:00.000Z
West,California,Thousand Oaks,CA-2015-148628,2015-03-23T18:30:00.000Z
West,California,Lancaster,CA-2015-149993,2015-03-19T18:30:00.000Z
West,California,Santa Ana,CA-2015-154340,2015-11-29T18:30:00.000Z
West,California,Visalia,CA-2015-155145,2015-12-28T18:30:00.000Z
West,California,Chico,CA-2015-155586,2015-03-17T18:30:00.000Z
West,California,Temecula,CA-2015-157770,2015-12-14T18:30:00.000Z
West,California,Lake Forest,CA-2016-101672,2016-10-06T18:30:00.000Z
West,California,San Luis Obispo,CA-2016-105291,2016-11-03T18:30:00.000Z
West,California,Woodland,CA-2016-110086,2016-09-21T18:30:00.000Z
West,California,Stockton,CA-2016-112893,2016-09-12T18:30:00.000Z
West,California,Davis,CA-2016-113117,2016-08-21T18:30:00.000Z
West,California,Apple Valley,CA-2016-118332,2016-12-22T18:30:00.000Z
West,California,San Clemente,CA-2016-126270,2016-04-26T18:30:00.000Z
West,California,Redwood City,CA-2016-133802,2016-03-19T18:30:00.000Z
West,California,Montebello,CA-2016-142615,2016-11-23T18:30:00.000Z
West,California,Torrance,CA-2016-142958,2016-12-19T18:30:00.000Z
West,California,Morgan Hill,CA-2016-149762,2016-12-06T18:30:00.000Z
West,California,Salinas,CA-2016-152534,2015-11-03T18:30:00.000Z
West,California,Encinitas,CA-2016-160500,2016-05-07T18:30:00.000Z
West,California,Hesperia,CA-2016-162138,2016-04-26T18:30:00.000Z
West,California,Whittier,CA-2017-108329,2017-12-13T18:30:00.000Z
West,California,Modesto,CA-2017-114804,2017-09-11T18:30:00.000Z
West,California,Fairfield,CA-2017-115427,2017-03-30T18:30:00.000Z
West,California,Inglewood,CA-2017-118136,2017-08-28T18:30:00.000Z
West,California,Westminster,CA-2017-119914,2017-05-08T18:30:00.000Z
West,California,La Mesa,CA-2017-123022,2017-09-07T18:30:00.000Z
West,California,Laguna Niguel,CA-2017-124086,2016-09-21T18:30:00.000Z
West,California,Pico Rivera,CA-2017-133249,2017-07-10T18:30:00.000Z
West,California,Sunnyvale,CA-2017-137463,2017-11-10T18:30:00.000Z
West,California,San Mateo,CA-2017-150189,2017-07-09T18:30:00.000Z
West,California,Coachella,CA-2017-159597,2017-11-13T18:30:00.000Z
West,California,Citrus Heights,CA-2017-169124,2017-07-09T18:30:00.000Z
West,California,Redding,US-2014-126340,2014-11-13T18:30:00.000Z
West,California,Burbank,US-2014-131275,2014-03-23T18:30:00.000Z
West,California,Santa Maria,US-2015-113593,2015-04-19T18:30:00.000Z
West,California,Antioch,US-2016-114776,2016-12-06T18:30:00.000Z
West,California,Ontario,US-2017-110996,2017-11-24T18:30:00.000Z
West,California,Dublin,US-2017-140312,2017-11-18T18:30:00.000Z
West,California,Danville,US-2017-163790,2017-11-03T18:30:00.000Z
West,Arizona,Glendale,CA-2014-100363,2014-04-14T18:30:00.000Z
West,Arizona,Mesa,CA-2014-101175,2014-12-13T18:30:00.000Z
West,Arizona,Gilbert,CA-2014-106376,2014-12-09T18:30:00.000Z
West,Arizona,Tempe,CA-2014-108189,2014-09-16T18:30:00.000Z
West,Arizona,Tucson,CA-2014-123295,2014-03-25T18:30:00.000Z
West,Arizona,Phoenix,CA-2014-124079,2014-06-21T18:30:00.000Z
West,Arizona,Chandler,CA-2014-138177,2014-04-12T18:30:00.000Z
West,Arizona,Scottsdale,CA-2014-146591,2014-01-19T18:30:00.000Z
West,Arizona,Avondale,CA-2014-146843,2014-11-02T18:30:00.000Z
West,Arizona,Peoria,CA-2015-119627,2015-06-22T18:30:00.000Z
West,Arizona,Bullhead City,CA-2015-154795,2015-12-23T18:30:00.000Z
West,Arizona,Sierra Vista,CA-2016-103947,2016-02-07T18:30:00.000Z
West,Arizona,Yuma,CA-2016-106621,2016-05-13T18:30:00.000Z
West,New Mexico,Albuquerque,CA-2014-100881,2014-03-31T18:30:00.000Z
West,New Mexico,Santa Fe,CA-2014-143385,2014-09-04T18:30:00.000Z
West,New Mexico,Rio Rancho,CA-2015-123141,2015-11-18T18:30:00.000Z
West,New Mexico,Las Cruces,CA-2015-129770,2015-02-22T18:30:00.000Z
West,New Mexico,Farmington,CA-2015-149678,2015-04-14T18:30:00.000Z
West,New Mexico,Carlsbad,CA-2016-131639,2016-11-19T18:30:00.000Z
West,New Mexico,Clovis,CA-2017-166856,2017-09-21T18:30:00.000Z
West,Utah,Salt Lake City,CA-2014-100972,2014-11-23T18:30:00.000Z
West,Utah,Orem,CA-2014-104472,2014-06-06T18:30:00.000Z
West,Utah,Provo,CA-2014-104829,2014-11-20T18:30:00.000Z
West,Utah,Logan,CA-2014-114510,2014-03-18T18:30:00.000Z
West,Utah,Pleasant Grove,CA-2014-126361,2014-08-08T18:30:00.000Z
West,Utah,Murray,CA-2014-129574,2014-05-28T18:30:00.000Z
West,Utah,Draper,CA-2014-159121,2014-07-31T18:30:00.000Z
West,Utah,West Jordan,CA-2014-167164,2014-05-14T18:30:00.000Z
West,Utah,Layton,CA-2015-128167,2015-06-25T18:30:00.000Z
West,Utah,Lehi,CA-2015-155124,2015-03-20T18:30:00.000Z
West,Washington,Seattle,CA-2014-101392,2014-02-05T18:30:00.000Z
West,Washington,Pasco,CA-2014-107818,2014-09-13T18:30:00.000Z
West,Washington,Olympia,CA-2014-135608,2014-12-09T18:30:00.000Z
West,Washington,Bellevue,CA-2014-138513,2014-05-26T18:30:00.000Z
West,Washington,Edmonds,CA-2014-151995,2014-10-14T18:30:00.000Z
West,Washington,Kent,CA-2014-159709,2014-05-14T18:30:00.000Z
West,Washington,Spokane,CA-2015-102855,2015-04-05T18:30:00.000Z
West,Washington,Covington,CA-2015-145457,2015-03-26T18:30:00.000Z
West,Washington,Des Moines,CA-2015-150511,2014-03-10T18:30:00.000Z
West,Washington,Marysville,CA-2016-127250,2016-10-10T18:30:00.000Z
West,Washington,Auburn,CA-2016-149461,2016-11-18T18:30:00.000Z
West,Washington,Vancouver,CA-2016-155488,2016-11-16T18:30:00.000Z
West,Washington,Longview,CA-2016-163937,2016-01-12T18:30:00.000Z
West,Washington,Redmond,CA-2017-107909,2016-09-22T18:30:00.000Z
West,Washington,Renton,CA-2017-110443,2017-11-24T18:30:00.000Z
West,Washington,Bellingham,CA-2017-123967,2017-06-07T18:30:00.000Z
West,Washington,Everett,CA-2017-162880,2017-12-28T18:30:00.000Z
West,Nevada,Las Vegas,CA-2014-102645,2014-01-27T18:30:00.000Z
West,Nevada,North Las Vegas,CA-2014-125759,2014-02-08T18:30:00.000Z
West,Nevada,Sparks,CA-2015-105844,2015-10-26T18:30:00.000Z
West,Nevada,Henderson,CA-2017-118857,2016-05-05T18:30:00.000Z
West,Nevada,Reno,CA-2017-160395,2014-10-04T18:30:00.000Z
West,Montana,Billings,CA-2014-106719,2014-08-23T18:30:00.000Z
West,Montana,Great Falls,CA-2014-110555,2014-04-17T18:30:00.000Z
West,Montana,Missoula,CA-2015-109197,2016-01-03T18:30:00.000Z
West,Montana,Bozeman,CA-2015-119214,2015-01-26T18:30:00.000Z
West,Montana,Helena,CA-2015-144519,2015-11-16T18:30:00.000Z
West,Colorado,Colorado Springs,CA-2014-111451,2014-12-27T18:30:00.000Z
West,Colorado,Aurora,CA-2014-120096,2014-07-06T18:30:00.000Z
West,Colorado,Denver,CA-2014-124737,2014-03-16T18:30:00.000Z
West,Colorado,Thornton,CA-2014-140816,2014-12-19T18:30:00.000Z
West,Colorado,Louisville,CA-2014-142048,2014-06-24T18:30:00.000Z
West,Colorado,Pueblo,CA-2015-107741,2014-06-20T18:30:00.000Z
West,Colorado,Littleton,CA-2016-106383,2016-03-20T18:30:00.000Z
West,Colorado,Longmont,CA-2016-107146,2016-06-18T18:30:00.000Z
West,Colorado,Broomfield,CA-2016-112109,2016-07-11T18:30:00.000Z
West,Colorado,Arvada,CA-2016-142902,2016-09-13T18:30:00.000Z
West,Colorado,Greeley,CA-2017-101700,2017-04-25T18:30:00.000Z
West,Colorado,Fort Collins,CA-2017-102218,2016-08-22T18:30:00.000Z
West,Colorado,Parker,CA-2017-116946,2016-06-03T18:30:00.000Z
West,Colorado,Loveland,CA-2017-132738,2017-08-06T18:30:00.000Z
West,Colorado,Commerce City,CA-2017-146346,2017-06-19T18:30:00.000Z
West,Colorado,Englewood,US-2016-144211,2016-09-01T18:30:00.000Z
West,Oregon,Springfield,CA-2014-123477,2014-01-20T18:30:00.000Z
West,Oregon,Gresham,CA-2014-125731,2014-09-15T18:30:00.000Z
West,Oregon,Salem,CA-2014-129364,2014-06-26T18:30:00.000Z
West,Oregon,Portland,CA-2014-148915,2014-11-04T18:30:00.000Z
West,Oregon,Tigard,CA-2014-168984,2014-12-01T18:30:00.000Z
West,Oregon,Medford,CA-2015-101924,2014-03-01T18:30:00.000Z
West,Oregon,Eugene,CA-2016-163328,2016-11-05T18:30:00.000Z
West,Oregon,Redmond,CA-2016-167507,2015-08-15T18:30:00.000Z
West,Oregon,Hillsboro,CA-2017-158120,2015-10-03T18:30:00.000Z
West,Idaho,Pocatello,CA-2015-141012,2015-06-10T18:30:00.000Z
West,Idaho,Boise,CA-2015-150875,2015-08-10T18:30:00.000Z
West,Idaho,Twin Falls,CA-2016-116911,2016-09-19T18:30:00.000Z
West,Idaho,Meridian,CA-2017-163671,2017-10-10T18:30:00.000Z
West,Idaho,Caldwell,US-2014-112991,2014-12-13T18:30:00.000Z
West,Idaho,Lewiston,US-2014-121734,2014-04-15T18:30:00.000Z
West,Wyoming,Cheyenne,CA-2016-152247,2016-11-11T18:30:00.000Z
South,Florida,Jacksonville,CA-2014-100293,2014-03-17T18:30:00.000Z
South,Florida,Miami,CA-2014-101770,2014-01-22T18:30:00.000Z
South,Florida,Palm Coast,CA-2014-103317,2014-07-07T18:30:00.000Z
South,Florida,Lakeland,CA-2014-103989,2014-03-20T18:30:00.000Z
South,Florida,Saint Petersburg,CA-2014-106810,2014-02-08T18:30:00.000Z
South,Florida,Fort Lauderdale,CA-2014-108707,2014-10-28T18:30:00.000Z
South,Florida,Hollywood,CA-2014-109043,2014-08-16T18:30:00.000Z
South,Florida,Deltona,CA-2014-116568,2014-07-04T18:30:00.000Z
South,Florida,Margate,CA-2014-117016,2014-03-08T18:30:00.000Z
South,Florida,Boca Raton,CA-2014-127488,2014-09-23T18:30:00.000Z
South,Florida,Tampa,CA-2014-130428,2014-03-18T18:30:00.000Z
South,Florida,North Miami,CA-2014-130918,2014-08-23T18:30:00.000Z
South,Florida,Apopka,CA-2014-131541,2014-07-27T18:30:00.000Z
South,Florida,Hialeah,CA-2014-140165,2014-05-14T18:30:00.000Z
South,Florida,Orlando,CA-2014-148425,2014-12-03T18:30:00.000Z
South,Florida,Delray Beach,CA-2014-164749,2014-03-25T18:30:00.000Z
South,Florida,West Palm Beach,CA-2015-104115,2015-01-27T18:30:00.000Z
South,Florida,Tallahassee,CA-2015-110247,2015-12-07T18:30:00.000Z
South,Florida,Daytona Beach,CA-2015-112375,2015-04-29T18:30:00.000Z
South,Florida,Plantation,CA-2015-113628,2015-03-16T18:30:00.000Z
South,Florida,Coral Springs,CA-2015-118444,2015-03-29T18:30:00.000Z
South,Florida,Tamarac,CA-2015-133977,2015-09-07T18:30:00.000Z
South,Florida,Port Saint Lucie,CA-2016-108567,2015-07-19T18:30:00.000Z
South,Florida,Pembroke Pines,CA-2016-116232,2015-12-01T18:30:00.000Z
South,Florida,Boynton Beach,CA-2016-144344,2014-10-04T18:30:00.000Z
South,Florida,Coral Gables,CA-2016-145709,2016-10-07T18:30:00.000Z
South,Florida,Miramar,CA-2017-104864,2017-09-29T18:30:00.000Z
South,Florida,Pompano Beach,CA-2017-108322,2017-03-26T18:30:00.000Z
South,Florida,Kissimmee,CA-2017-137631,2017-05-01T18:30:00.000Z
South,Florida,Melbourne,CA-2017-139619,2017-09-22T18:30:00.000Z
South,Florida,Port Orange,CA-2017-145310,2017-12-23T18:30:00.000Z
South,Florida,Homestead,CA-2017-167871,2016-12-10T18:30:00.000Z
South,Florida,Pensacola,US-2016-131891,2016-07-30T18:30:00.000Z
South,Florida,Sanford,US-2017-108315,2017-05-03T18:30:00.000Z
South,Florida,Jupiter,US-2017-153633,2017-11-17T18:30:00.000Z
South,Florida,Ormond Beach,US-2017-168690,2017-01-12T18:30:00.000Z
South,Virginia,Springfield,CA-2014-100706,2014-01-14T18:30:00.000Z
South,Virginia,Newport News,CA-2014-100916,2014-10-25T18:30:00.000Z
South,Virginia,Alexandria,CA-2014-102988,2014-01-30T18:30:00.000Z
South,Virginia,Arlington,CA-2014-111934,2014-04-22T18:30:00.000Z
South,Virginia,Hampton,CA-2014-114321,2014-08-24T18:30:00.000Z
South,Virginia,Virginia Beach,CA-2014-117639,2014-04-07T18:30:00.000Z
South,Virginia,Chesapeake,CA-2014-127614,2014-02-08T18:30:00.000Z
South,Virginia,Richmond,CA-2014-132010,2014-06-04T18:30:00.000Z
South,Virginia,Harrisonburg,CA-2014-132612,2014-06-10T18:30:00.000Z
South,Virginia,Suffolk,CA-2015-104038,2015-02-07T18:30:00.000Z
South,Virginia,Charlottesville,CA-2015-135510,2015-09-11T18:30:00.000Z
South,Virginia,Waynesboro,CA-2015-137974,2014-06-22T18:30:00.000Z
South,Virginia,Salem,CA-2016-159212,2016-05-11T18:30:00.000Z
South,Georgia,Roswell,CA-2014-100895,2014-01-16T18:30:00.000Z
South,Georgia,Sandy Springs,CA-2014-103807,2014-12-08T18:30:00.000Z
South,Georgia,Athens,CA-2014-106054,2014-01-06T18:30:00.000Z
South,Georgia,Atlanta,CA-2014-116190,2014-07-31T18:30:00.000Z
South,Georgia,Columbus,CA-2014-120950,2014-08-22T18:30:00.000Z
South,Georgia,Woodstock,CA-2014-153927,2014-08-12T18:30:00.000Z
South,Georgia,Macon,CA-2014-159184,2014-09-10T18:30:00.000Z
South,Georgia,Marietta,CA-2014-165806,2014-04-06T18:30:00.000Z
South,Georgia,Smyrna,CA-2015-103772,2015-07-01T18:30:00.000Z
South,Georgia,East Point,CA-2015-106187,2015-06-28T18:30:00.000Z
South,Georgia,Warner Robins,CA-2015-168004,2015-10-08T18:30:00.000Z
South,South Carolina,Columbia,CA-2014-101560,2014-03-03T18:30:00.000Z
South,South Carolina,Mount Pleasant,CA-2014-109232,2014-01-15T18:30:00.000Z
South,South Carolina,Rock Hill,CA-2014-113047,2014-10-23T18:30:00.000Z
South,South Carolina,North Charleston,CA-2015-128027,2015-09-16T18:30:00.000Z
South,South Carolina,Florence,CA-2015-130218,2015-03-25T18:30:00.000Z
South,South Carolina,Summerville,CA-2017-128300,2017-11-25T18:30:00.000Z
South,Kentucky,Richmond,CA-2014-102274,2014-03-12T18:30:00.000Z
South,Kentucky,Owensboro,CA-2014-120432,2014-08-25T18:30:00.000Z
South,Kentucky,Henderson,CA-2014-129819,2014-01-09T18:30:00.000Z
South,Kentucky,Louisville,CA-2014-160094,2014-05-01T18:30:00.000Z
South,Kentucky,Florence,CA-2015-102491,2015-08-25T18:30:00.000Z
South,Kentucky,Georgetown,CA-2016-109722,2016-09-07T18:30:00.000Z
South,Kentucky,Murray,CA-2016-124772,2016-12-05T18:30:00.000Z
South,Kentucky,Bowling Green,CA-2016-157763,2016-07-22T18:30:00.000Z
South,North Carolina,Charlotte,CA-2014-102673,2014-08-04T18:30:00.000Z
South,North Carolina,Wilmington,CA-2014-110100,2014-03-06T18:30:00.000Z
South,North Carolina,Cary,CA-2014-121286,2014-09-16T18:30:00.000Z
South,North Carolina,Fayetteville,CA-2014-125136,2014-10-02T18:30:00.000Z
South,North Carolina,Jacksonville,CA-2014-131527,2014-10-14T18:30:00.000Z
South,North Carolina,Raleigh,CA-2014-157609,2014-03-20T18:30:00.000Z
South,North Carolina,Asheville,CA-2014-164910,2014-03-24T18:30:00.000Z
