Orders.Order Date.Variation.Date Hierarchy.Year,Sum(Orders.Sales),Sum(Orders.Profit),Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Segment
2014,1413.06,113.88119999999992,Furniture,Furnishings,South,Consumer
2015,3006.3879999999995,409.3825999999998,Furniture,Furnishings,South,Consumer
2016,4197.066000000001,983.7493000000002,Furniture,Furnishings,South,Consumer
2017,2254.0599999999995,450.1724,Furniture,Furnishings,South,Consumer
2014,1407.932,201.75579999999997,Furniture,Furnishings,South,Corporate
2015,2194.58,719.0287,Furniture,Furnishings,South,Corporate
2016,502.866,79.543,Furniture,Furnishings,South,Corporate
2017,399.30199999999996,87.60559999999998,Furniture,Furnishings,South,Corporate
2014,339.51,107.52959999999999,Furniture,Furnishings,South,Home Office
2015,176.84,43.72639999999999,Furniture,Furnishings,South,Home Office
2016,682.852,215.1076,Furniture,Furnishings,South,Home Office
2017,732.228,31.200699999999948,Furniture,Furnishings,South,Home Office
2014,1906.32,501.1047,Furniture,Furnishings,West,Consumer
2015,4027.17,952.2838999999999,Furniture,Furnishings,West,Consumer
2016,4805.974000000001,1433.3485999999998,Furniture,Furnishings,West,Consumer
2017,5332.95,1508.4153999999994,Furniture,Furnishings,West,Consumer
2014,1494.978,286.95660000000004,Furniture,Furnishings,West,Corporate
2015,2263.9500000000003,557.1619999999999,Furniture,Furnishings,West,Corporate
2016,1189.888,284.5587999999999,Furniture,Furnishings,West,Corporate
2017,2420.4880000000003,544.7249,Furniture,Furnishings,West,Corporate
2014,971.0219999999999,263.7922,Furniture,Furnishings,West,Home Office
2015,1622.31,390.86009999999993,Furniture,Furnishings,West,Home Office
2016,1792.6460000000002,386.11250000000007,Furniture,Furnishings,West,Home Office
2017,2245.0340000000006,531.9506999999999,Furniture,Furnishings,West,Home Office
2014,5836.129999999999,-1372.7273000000005,Furniture,Tables,Central,Consumer
2015,3110.961,-106.12850000000019,Furniture,Tables,Central,Consumer
2016,4940.114,-1177.9492,Furniture,Tables,Central,Consumer
2017,6947.795,-1307.3520999999998,Furniture,Tables,Central,Consumer
2014,1318.6529999999998,-140.42969999999994,Furniture,Tables,Central,Corporate
2015,1875.2519999999997,251.69550000000004,Furniture,Tables,Central,Corporate
2016,7592.712,1150.9317,Furniture,Tables,Central,Corporate
2017,1775.9759999999999,-555.0169000000003,Furniture,Tables,Central,Corporate
2014,630.695,88.82600000000002,Furniture,Tables,Central,Home Office
2015,1871.047,-410.6609000000003,Furniture,Tables,Central,Home Office
2016,1390.1,319.6386,Furniture,Tables,Central,Home Office
2017,1865.5359999999998,-300.4776000000001,Furniture,Tables,Central,Home Office
2014,3315.6059999999998,-835.1682000000003,Furniture,Tables,East,Consumer
2015,4033.068,-1341.1239000000003,Furniture,Tables,East,Consumer
2016,3776.876,-764.2839000000001,Furniture,Tables,East,Consumer
2017,2956.917,-767.7767999999999,Furniture,Tables,East,Consumer
2014,6802.746000000001,-2523.3029,Furniture,Tables,East,Corporate
2015,3008.286,-726.1578000000002,Furniture,Tables,East,Corporate
2016,3027.984,-1144.6562000000004,Furniture,Tables,East,Corporate
2017,4712.5419999999995,-905.5387999999998,Furniture,Tables,East,Corporate
2014,485.35200000000003,-179.36640000000003,Furniture,Tables,East,Home Office
2015,1843.452,-208.58239999999995,Furniture,Tables,East,Home Office
2016,1020.4679999999998,-397.8382000000001,Furniture,Tables,East,Home Office
2017,4156.51,-1231.5846000000001,Furniture,Tables,East,Home Office
2014,3902.5945,-67.27690000000024,Furniture,Tables,South,Consumer
2015,7012.0945,-2210.8203000000003,Furniture,Tables,South,Consumer
2016,7690.782999999999,596.2253,Furniture,Tables,South,Consumer
2017,5803.37,-895.6277,Furniture,Tables,South,Consumer
2014,3338.7700000000004,581.3595000000001,Furniture,Tables,South,Corporate
2015,358.58,39.44380000000001,Furniture,Tables,South,Corporate
2016,4807.528500000001,-557.0023000000006,Furniture,Tables,South,Corporate
2017,4114.7970000000005,-1452.0249000000001,Furniture,Tables,South,Corporate
2014,2699.58,593.9076,Furniture,Tables,South,Home Office
2015,,,Furniture,Tables,South,Home Office
2016,,,Furniture,Tables,South,Home Office
2017,4188.0945,-1251.2420000000002,Furniture,Tables,South,Home Office
2014,10868.865999999998,255.43759999999963,Furniture,Tables,West,Consumer
2015,8585.503,203.79839999999996,Furniture,Tables,West,Consumer
2016,9185.527000000002,62.35219999999933,Furniture,Tables,West,Consumer
2017,11967.59,0.3835000000000264,Furniture,Tables,West,Consumer
2014,4440.961,72.90879999999989,Furniture,Tables,West,Corporate
2015,4533.804,772.7909999999999,Furniture,Tables,West,Corporate
2016,13999.457,340.6075,Furniture,Tables,West,Corporate
2017,5163.669,-112.10690000000021,Furniture,Tables,West,Corporate
2014,2448.4120000000003,401.78919999999977,Furniture,Tables,West,Home Office
2015,2918.376,225.94319999999976,Furniture,Tables,West,Home Office
2016,3401.651,-1378.9673,Furniture,Tables,West,Home Office
2017,7240.745999999999,637.6700999999998,Furniture,Tables,West,Home Office
2014,1748.6660000000002,-789.0035000000001,Office Supplies,Appliances,Central,Consumer
2015,2227.0020000000004,-2200.5389000000005,Office Supplies,Appliances,Central,Consumer
2016,1281.081,64.27659999999989,Office Supplies,Appliances,Central,Consumer
2017,4561.972,-850.3407000000002,Office Supplies,Appliances,Central,Consumer
2014,239.75399999999996,-253.47140000000005,Office Supplies,Appliances,Central,Corporate
2015,781.6909999999999,41.72199999999998,Office Supplies,Appliances,Central,Corporate
2016,901.036,-623.8456000000002,Office Supplies,Appliances,Central,Corporate
2017,3302.278,376.3643999999999,Office Supplies,Appliances,Central,Corporate
2014,1670.785,533.3024999999999,Office Supplies,Appliances,Central,Home Office
2015,1965.8159999999998,-35.9392000000002,Office Supplies,Appliances,Central,Home Office
2016,3832.8940000000002,938.2637,Office Supplies,Appliances,Central,Home Office
2017,1069.058,160.59259999999998,Office Supplies,Appliances,Central,Home Office
2014,2123.2319999999995,561.1186,Office Supplies,Appliances,East,Consumer
2015,4748.233999999999,1298.9668999999994,Office Supplies,Appliances,East,Consumer
2016,4736.658,1340.9531000000004,Office Supplies,Appliances,East,Consumer
2017,7781.632,1807.7192999999997,Office Supplies,Appliances,East,Consumer
2014,3353.906,769.6899999999999,Office Supplies,Appliances,East,Corporate
2015,343.87600000000003,106.86090000000002,Office Supplies,Appliances,East,Corporate
2016,3699.868,836.5294999999999,Office Supplies,Appliances,East,Corporate
2017,3583.614,894.2067999999999,Office Supplies,Appliances,East,Corporate
2014,302.064,81.15359999999998,Office Supplies,Appliances,East,Home Office
2015,1599.1420000000003,444.77269999999993,Office Supplies,Appliances,East,Home Office
2016,990.056,125.12319999999993,Office Supplies,Appliances,East,Home Office
2017,926.184,124.31879999999987,Office Supplies,Appliances,East,Home Office
2014,765.924,102.89829999999998,Office Supplies,Appliances,South,Consumer
2015,2988.3979999999997,630.4729,Office Supplies,Appliances,South,Consumer
2016,2159.0280000000002,264.0676,Office Supplies,Appliances,South,Consumer
2017,2374.0039999999995,457.82439999999997,Office Supplies,Appliances,South,Consumer
2014,1142.55,371.04339999999996,Office Supplies,Appliances,South,Corporate
2015,833.102,322.70730000000003,Office Supplies,Appliances,South,Corporate
2016,2574.1939999999995,795.8128999999999,Office Supplies,Appliances,South,Corporate
2017,5573.790000000001,1054.2581999999998,Office Supplies,Appliances,South,Corporate
2014,211.248,15.843599999999995,Office Supplies,Appliances,South,Home Office
2015,28.84,9.517199999999999,Office Supplies,Appliances,South,Home Office
2016,874.248,99.49379999999995,Office Supplies,Appliances,South,Home Office
2017,,,Office Supplies,Appliances,South,Home Office
2014,2033.75,579.3983000000001,Office Supplies,Appliances,West,Consumer
2015,3462.51,798.8262999999995,Office Supplies,Appliances,West,Consumer
2016,2664.0480000000002,887.2072999999999,Office Supplies,Appliances,West,Consumer
2017,7163.441999999998,2028.0817000000002,Office Supplies,Appliances,West,Consumer
2014,862.776,235.44519999999997,Office Supplies,Appliances,West,Corporate
2015,2385.098,578.6085999999998,Office Supplies,Appliances,West,Corporate
2016,1221.2040000000002,319.84540000000004,Office Supplies,Appliances,West,Corporate
2017,5789.946000000001,1604.1175999999998,Office Supplies,Appliances,West,Corporate
2014,858.9699999999998,252.0812999999999,Office Supplies,Appliances,West,Home Office
2015,1877.5799999999997,515.9190000000001,Office Supplies,Appliances,West,Home Office
2016,1116,253.61399999999998,Office Supplies,Appliances,West,Home Office
2017,801.0120000000001,208.12519999999995,Office Supplies,Appliances,West,Home Office
2014,490.61799999999994,111.90610000000001,Office Supplies,Art,Central,Consumer
2015,391.746,68.0502,Office Supplies,Art,Central,Consumer
2016,936.9760000000001,125.67719999999998,Office Supplies,Art,Central,Consumer
2017,1453.0120000000002,299.928,Office Supplies,Art,Central,Consumer
2014,210.576,61.77939999999998,Office Supplies,Art,Central,Corporate
2015,482.416,112.27209999999997,Office Supplies,Art,Central,Corporate
2016,339.14599999999996,67.54029999999999,Office Supplies,Art,Central,Corporate
2017,446.60400000000004,102.37750000000001,Office Supplies,Art,Central,Corporate
2014,120.75999999999999,14.156500000000001,Office Supplies,Art,Central,Home Office
2015,257.99799999999993,67.74780000000001,Office Supplies,Art,Central,Home Office
2016,243.828,68.1978,Office Supplies,Art,Central,Home Office
2017,391.65999999999997,95.52619999999999,Office Supplies,Art,Central,Home Office
2014,608.2820000000003,155.13269999999994,Office Supplies,Art,East,Consumer
2015,974.2039999999998,232.26229999999998,Office Supplies,Art,East,Consumer
2016,1082.058,256.7172,Office Supplies,Art,East,Consumer
2017,1182.6540000000002,344.9519999999999,Office Supplies,Art,East,Consumer
2014,279.802,68.82619999999999,Office Supplies,Art,East,Corporate
2015,355.41799999999995,95.29309999999997,Office Supplies,Art,East,Corporate
2016,671.4159999999999,189.7744,Office Supplies,Art,East,Corporate
2017,971.766,212.27789999999996,Office Supplies,Art,East,Corporate
2014,402.11799999999994,108.95429999999996,Office Supplies,Art,East,Home Office
2015,377.744,72.83769999999997,Office Supplies,Art,East,Home Office
2016,129.092,30.428199999999997,Office Supplies,Art,East,Home Office
2017,451.21000000000004,132.48829999999995,Office Supplies,Art,East,Home Office
2014,339.004,83.193,Office Supplies,Art,South,Consumer
2015,536.784,145.28969999999995,Office Supplies,Art,South,Consumer
2016,954.072,240.3839,Office Supplies,Art,South,Consumer
2017,824.8959999999998,179.58770000000004,Office Supplies,Art,South,Consumer
2014,159.47999999999996,43.417799999999986,Office Supplies,Art,South,Corporate
2015,622.648,90.45079999999997,Office Supplies,Art,South,Corporate
2016,316.33799999999997,75.89029999999997,Office Supplies,Art,South,Corporate
2017,233.938,54.49539999999998,Office Supplies,Art,South,Corporate
2014,67.648,7.142499999999995,Office Supplies,Art,South,Home Office
2015,202.886,57.60979999999998,Office Supplies,Art,South,Home Office
2016,167.86,36.36219999999999,Office Supplies,Art,South,Home Office
2017,230.068,44.7635,Office Supplies,Art,South,Home Office
2014,1391.4940000000004,348.04239999999993,Office Supplies,Art,West,Consumer
2015,1103.514,281.09319999999997,Office Supplies,Art,West,Consumer
2016,613.318,184.8224,Office Supplies,Art,West,Consumer
2017,1369.2980000000002,397.2631,Office Supplies,Art,West,Consumer
2014,1780.484,342.86879999999996,Office Supplies,Art,West,Corporate
2015,636.4459999999999,178.24179999999996,Office Supplies,Art,West,Corporate
2016,206.35799999999998,58.905199999999994,Office Supplies,Art,West,Corporate
2017,877.6120000000001,250.23669999999998,Office Supplies,Art,West,Corporate
2014,207.716,61.383399999999995,Office Supplies,Art,West,Home Office
2015,295.0299999999999,83.90970000000002,Office Supplies,Art,West,Home Office
2016,300.44599999999997,79.2635,Office Supplies,Art,West,Home Office
2017,430.3500000000001,108.06679999999997,Office Supplies,Art,West,Home Office
2014,14713.503999999997,-914.2178000000044,Office Supplies,Binders,Central,Consumer
2015,1229.0599999999997,-467.11190000000033,Office Supplies,Binders,Central,Consumer
2016,11601.987999999998,3079.143699999999,Office Supplies,Binders,Central,Consumer
2017,12149.023999999998,134.50699999999867,Office Supplies,Binders,Central,Consumer
2014,471.448,-415.92180000000013,Office Supplies,Binders,Central,Corporate
2015,340.08000000000015,-141.87170000000006,Office Supplies,Binders,Central,Corporate
2016,2048.272,-253.1095000000002,Office Supplies,Binders,Central,Corporate
2017,6019.74,-3609.5219000000016,Office Supplies,Binders,Central,Corporate
2014,685.9859999999999,-45.79620000000011,Office Supplies,Binders,Central,Home Office
2015,4321.448,1979.0884,Office Supplies,Binders,Central,Home Office
2016,406.12000000000006,93.30239999999999,Office Supplies,Binders,Central,Home Office
2017,2936.612,-482.12760000000003,Office Supplies,Binders,Central,Home Office
2014,3894.951000000001,936.7102999999997,Office Supplies,Binders,East,Consumer
2015,10539.957,3894.9118000000003,Office Supplies,Binders,East,Consumer
2016,8129.984,721.3482999999994,Office Supplies,Binders,East,Consumer
2017,9057.717999999999,1187.6992999999993,Office Supplies,Binders,East,Consumer
2014,1420.894,-178.14229999999986,Office Supplies,Binders,East,Corporate
2015,2825.014,708.5404999999998,Office Supplies,Binders,East,Corporate
2016,4772.522,1538.8229999999992,Office Supplies,Binders,East,Corporate
2017,3029.951000000001,763.7821999999999,Office Supplies,Binders,East,Corporate
2014,1030.7820000000002,402.4006,Office Supplies,Binders,East,Home Office
2015,841.7099999999998,140.0245,Office Supplies,Binders,East,Home Office
2016,6053.042000000001,542.4744999999994,Office Supplies,Binders,East,Home Office
2017,1901.4720000000002,609.3618999999999,Office Supplies,Binders,East,Home Office
2014,2743.139999999999,522.6309,Office Supplies,Binders,South,Consumer
2015,10395.143000000005,1130.9719999999993,Office Supplies,Binders,South,Consumer
2016,916.507,2.1980000000000928,Office Supplies,Binders,South,Consumer
2017,4562.9130000000005,-71.87239999999932,Office Supplies,Binders,South,Consumer
2014,4450.604000000001,1928.3879,Office Supplies,Binders,South,Corporate
2015,2594.096,-882.0821000000001,Office Supplies,Binders,South,Corporate
2016,1026.3249999999998,-55.80759999999988,Office Supplies,Binders,South,Corporate
2017,3756.6069999999995,1505.7019000000003,Office Supplies,Binders,South,Corporate
2014,1113.702,-30.917099999999962,Office Supplies,Binders,South,Home Office
2015,478.07800000000003,207.6734,Office Supplies,Binders,South,Home Office
2016,2169.384,671.6350000000002,Office Supplies,Binders,South,Home Office
2017,2823.8420000000006,-1027.8559000000002,Office Supplies,Binders,South,Home Office
2014,8801.639000000001,1775.5900000000006,Office Supplies,Binders,West,Consumer
2015,2722.3199999999997,828.8235999999999,Office Supplies,Binders,West,Consumer
2016,5063.841000000002,1494.4095999999993,Office Supplies,Binders,West,Consumer
2017,11639.320000000005,3739.8547999999987,Office Supplies,Binders,West,Consumer
2014,3469.9750000000013,514.7916999999999,Office Supplies,Binders,West,Corporate
2015,883.9000000000001,116.75429999999997,Office Supplies,Binders,West,Corporate
2016,1872.0880000000004,568.8918999999999,Office Supplies,Binders,West,Corporate
2017,12578.797,4268.103599999999,Office Supplies,Binders,West,Corporate
2014,691.64,244.19979999999998,Office Supplies,Binders,West,Home Office
2015,282.29200000000003,80.94859999999998,Office Supplies,Binders,West,Home Office
2016,5623.252000000002,1812.3247999999992,Office Supplies,Binders,West,Home Office
2017,2332.049,652.1089000000002,Office Supplies,Binders,West,Home Office
2014,837.2560000000001,285.5756999999999,Office Supplies,Envelopes,Central,Consumer
2015,362.73,159.57,Office Supplies,Envelopes,Central,Consumer
2016,366.636,135.6727,Office Supplies,Envelopes,Central,Consumer
2017,798.828,331.8432,Office Supplies,Envelopes,Central,Consumer
2014,290.47600000000006,109.30069999999999,Office Supplies,Envelopes,Central,Corporate
2015,288.45599999999996,99.35379999999996,Office Supplies,Envelopes,Central,Corporate
2016,436.87199999999996,179.79029999999997,Office Supplies,Envelopes,Central,Corporate
2017,220.104,95.21940000000001,Office Supplies,Envelopes,Central,Corporate
2014,470.95400000000006,175.97179999999997,Office Supplies,Envelopes,Central,Home Office
2015,219.672,88.029,Office Supplies,Envelopes,Central,Home Office
2016,167.288,56.45969999999999,Office Supplies,Envelopes,Central,Home Office
2017,177.60000000000002,60.74199999999999,Office Supplies,Envelopes,Central,Home Office
2014,589.874,221.85469999999998,Office Supplies,Envelopes,East,Consumer
2015,339.50399999999996,150.7986,Office Supplies,Envelopes,East,Consumer
2016,948.1920000000001,408.72180000000003,Office Supplies,Envelopes,East,Consumer
2017,217.952,100.50459999999998,Office Supplies,Envelopes,East,Consumer
2014,746.3879999999999,297.316,Office Supplies,Envelopes,East,Corporate
2015,199.102,87.10419999999999,Office Supplies,Envelopes,East,Corporate
2016,190.626,84.8253,Office Supplies,Envelopes,East,Corporate
2017,443.15,194.3397,Office Supplies,Envelopes,East,Corporate
2014,11.36,5.339199999999999,Office Supplies,Envelopes,East,Home Office
2015,338.23400000000004,125.94249999999997,Office Supplies,Envelopes,East,Home Office
2016,165.932,63.0879,Office Supplies,Envelopes,East,Home Office
2017,185.56,72.5745,Office Supplies,Envelopes,East,Home Office
2014,125.56400000000001,45.9222,Office Supplies,Envelopes,South,Consumer
2015,393.662,183.6358,Office Supplies,Envelopes,South,Consumer
2016,247.342,93.53209999999999,Office Supplies,Envelopes,South,Consumer
2017,424.99,180.34060000000002,Office Supplies,Envelopes,South,Consumer
2014,89.89,44.101099999999995,Office Supplies,Envelopes,South,Corporate
2015,913.8080000000001,393.60349999999994,Office Supplies,Envelopes,South,Corporate
2016,103.28999999999999,50.142599999999995,Office Supplies,Envelopes,South,Corporate
2017,363.916,155.5326,Office Supplies,Envelopes,South,Corporate
2014,36.4,17.472,Office Supplies,Envelopes,South,Home Office
2015,101.584,44.992799999999995,Office Supplies,Envelopes,South,Home Office
2016,545.11,256.20169999999996,Office Supplies,Envelopes,South,Home Office
2017,,,Office Supplies,Envelopes,South,Home Office
2014,618.3799999999999,274.9298,Office Supplies,Envelopes,West,Consumer
2015,698.326,319.59659999999997,Office Supplies,Envelopes,West,Consumer
2016,679.622,322.48400000000004,Office Supplies,Envelopes,West,Consumer
2017,122.288,49.430200000000006,Office Supplies,Envelopes,West,Consumer
2014,23.928,10.208400000000001,Office Supplies,Envelopes,West,Corporate
2015,532.65,249.0676,Office Supplies,Envelopes,West,Corporate
2016,843.28,398.84839999999997,Office Supplies,Envelopes,West,Corporate
2017,256.734,122.47540000000001,Office Supplies,Envelopes,West,Corporate
2014,15.28,7.4872,Office Supplies,Envelopes,West,Home Office
2015,124.46,58.49619999999999,Office Supplies,Envelopes,West,Home Office
2016,35.699999999999996,16.9818,Office Supplies,Envelopes,West,Home Office
2017,167.452,78.75680000000001,Office Supplies,Envelopes,West,Home Office
2014,65.724,-0.001800000000001134,Office Supplies,Fasteners,Central,Consumer
2015,53.138000000000005,15.8691,Office Supplies,Fasteners,Central,Consumer
2016,111.13800000000002,38.1731,Office Supplies,Fasteners,Central,Consumer
2017,192.432,74.10730000000001,Office Supplies,Fasteners,Central,Consumer
2014,52.604000000000006,15.4984,Office Supplies,Fasteners,Central,Corporate
2015,19.472,3.6292000000000004,Office Supplies,Fasteners,Central,Corporate
2016,58.306,22.5829,Office Supplies,Fasteners,Central,Corporate
2017,101.72800000000001,36.845800000000004,Office Supplies,Fasteners,Central,Corporate
2014,3.4880000000000004,0.5668,Office Supplies,Fasteners,Central,Home Office
2015,16,5.6,Office Supplies,Fasteners,Central,Home Office
2016,77.92999999999999,22.469499999999996,Office Supplies,Fasteners,Central,Home Office
