Region,Category,Sub-Category,Value Column Name,Value
"West","Furniture","Tables","FC - Quantity","1054"
"West","Furniture","Tables","(FC - Quantity)%","2.191268191268191"
"West","Furniture","Tables","FC - PL","-1251"
"West","Furniture","Tables","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Appliances","Quantity","492"
"West","Office Supplies","Appliances","PL","2786"
"West","Office Supplies","Appliances","FC","1535"
"West","Office Supplies","Appliances","Profit","8261.2699"
"West","Office Supplies","Appliances","Profit - Quantity","7769.269899999999"
"West","Office Supplies","Appliances","(Profit - Quantity)%","15.791198983739838"
"West","Office Supplies","Appliances","Profit - PL","5475.269899999999"
"West","Office Supplies","Appliances","(Profit - PL)%","1.9652799353912416"
"West","Office Supplies","Appliances","Profit - FC","6726.269899999999"
"West","Office Supplies","Appliances","(Profit - FC)%","4.3819347882736155"
"West","Office Supplies","Appliances","PL - Quantity","2294"
"West","Office Supplies","Appliances","(PL - Quantity)%","4.662601626016261"
"West","Office Supplies","Appliances","FC - Quantity","1043"
"West","Office Supplies","Appliances","(FC - Quantity)%","2.119918699186992"
"West","Office Supplies","Appliances","FC - PL","-1251"
"West","Office Supplies","Appliances","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Art","Quantity","926"
"West","Office Supplies","Art","PL","2786"
"West","Office Supplies","Art","FC","1535"
"West","Office Supplies","Art","Profit","2374.097"
"West","Office Supplies","Art","Profit - Quantity","1448.0970000000002"
"West","Office Supplies","Art","(Profit - Quantity)%","1.563819654427646"
"West","Office Supplies","Art","Profit - PL","-411.9029999999998"
"West","Office Supplies","Art","(Profit - PL)%","-0.14784745154343137"
"West","Office Supplies","Art","Profit - FC","839.0970000000002"
"West","Office Supplies","Art","(Profit - FC)%","0.5466429967426711"
"West","Office Supplies","Art","PL - Quantity","1860"
"West","Office Supplies","Art","(PL - Quantity)%","2.0086393088552916"
"West","Office Supplies","Art","FC - Quantity","609"
"West","Office Supplies","Art","(FC - Quantity)%","0.6576673866090714"
"West","Office Supplies","Art","FC - PL","-1251"
"West","Office Supplies","Art","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Binders","Quantity","1868"
"West","Office Supplies","Binders","PL","2786"
"West","Office Supplies","Binders","FC","1535"
"West","Office Supplies","Binders","Profit","16096.8016"
"West","Office Supplies","Binders","Profit - Quantity","14228.8016"
"West","Office Supplies","Binders","(Profit - Quantity)%","7.61713147751606"
"West","Office Supplies","Binders","Profit - PL","13310.8016"
"West","Office Supplies","Binders","(Profit - PL)%","4.777746446518306"
"West","Office Supplies","Binders","Profit - FC","14561.8016"
"West","Office Supplies","Binders","(Profit - FC)%","9.486515700325734"
"West","Office Supplies","Binders","PL - Quantity","918"
"West","Office Supplies","Binders","(PL - Quantity)%","0.49143468950749464"
"West","Office Supplies","Binders","FC - Quantity","-333"
"West","Office Supplies","Binders","(FC - Quantity)%","-0.17826552462526768"
"West","Office Supplies","Binders","FC - PL","-1251"
"West","Office Supplies","Binders","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Envelopes","Quantity","227"
"West","Office Supplies","Envelopes","PL","2786"
"West","Office Supplies","Envelopes","FC","1535"
"West","Office Supplies","Envelopes","Profit","1908.7624"
"West","Office Supplies","Envelopes","Profit - Quantity","1681.7624"
"West","Office Supplies","Envelopes","(Profit - Quantity)%","7.408644933920705"
"West","Office Supplies","Envelopes","Profit - PL","-877.2375999999999"
"West","Office Supplies","Envelopes","(Profit - PL)%","-0.31487351040918876"
"West","Office Supplies","Envelopes","Profit - FC","373.76240000000007"
"West","Office Supplies","Envelopes","(Profit - FC)%","0.2434934201954398"
"West","Office Supplies","Envelopes","PL - Quantity","2559"
"West","Office Supplies","Envelopes","(PL - Quantity)%","11.273127753303966"
"West","Office Supplies","Envelopes","FC - Quantity","1308"
"West","Office Supplies","Envelopes","(FC - Quantity)%","5.762114537444933"
"West","Office Supplies","Envelopes","FC - PL","-1251"
"West","Office Supplies","Envelopes","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Fasteners","Quantity","263"
"West","Office Supplies","Fasteners","PL","2786"
"West","Office Supplies","Fasteners","FC","1535"
"West","Office Supplies","Fasteners","Profit","275.1907"
"West","Office Supplies","Fasteners","Profit - Quantity","12.190699999999993"
"West","Office Supplies","Fasteners","(Profit - Quantity)%","0.04635247148288971"
"West","Office Supplies","Fasteners","Profit - PL","-2510.8093"
"West","Office Supplies","Fasteners","(Profit - PL)%","-0.9012237257717157"
"West","Office Supplies","Fasteners","Profit - FC","-1259.8093"
"West","Office Supplies","Fasteners","(Profit - FC)%","-0.8207226710097718"
"West","Office Supplies","Fasteners","PL - Quantity","2523"
"West","Office Supplies","Fasteners","(PL - Quantity)%","9.593155893536121"
"West","Office Supplies","Fasteners","FC - Quantity","1272"
"West","Office Supplies","Fasteners","(FC - Quantity)%","4.836501901140684"
"West","Office Supplies","Fasteners","FC - PL","-1251"
"West","Office Supplies","Fasteners","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Labels","Quantity","480"
"West","Office Supplies","Labels","PL","2786"
"West","Office Supplies","Labels","FC","1535"
"West","Office Supplies","Labels","Profit","2303.1223"
"West","Office Supplies","Labels","Profit - Quantity","1823.1223"
"West","Office Supplies","Labels","(Profit - Quantity)%","3.798171458333334"
"West","Office Supplies","Labels","Profit - PL","-482.8777"
"West","Office Supplies","Labels","(Profit - PL)%","-0.173322936109117"
"West","Office Supplies","Labels","Profit - FC","768.1223"
"West","Office Supplies","Labels","(Profit - FC)%","0.5004054071661238"
"West","Office Supplies","Labels","PL - Quantity","2306"
"West","Office Supplies","Labels","(PL - Quantity)%","4.804166666666666"
"West","Office Supplies","Labels","FC - Quantity","1055"
"West","Office Supplies","Labels","(FC - Quantity)%","2.1979166666666665"
"West","Office Supplies","Labels","FC - PL","-1251"
"West","Office Supplies","Labels","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Paper","Quantity","1702"
"West","Office Supplies","Paper","PL","2786"
"West","Office Supplies","Paper","FC","1535"
"West","Office Supplies","Paper","Profit","12119.2364"
"West","Office Supplies","Paper","Profit - Quantity","10417.2364"
"West","Office Supplies","Paper","(Profit - Quantity)%","6.120585428907168"
"West","Office Supplies","Paper","Profit - PL","9333.2364"
"West","Office Supplies","Paper","(Profit - PL)%","3.35004895908112"
"West","Office Supplies","Paper","Profit - FC","10584.2364"
"West","Office Supplies","Paper","(Profit - FC)%","6.895268013029316"
"West","Office Supplies","Paper","PL - Quantity","1084"
"West","Office Supplies","Paper","(PL - Quantity)%","0.63689776733255"
"West","Office Supplies","Paper","FC - Quantity","-167"
"West","Office Supplies","Paper","(FC - Quantity)%","-0.09811985898942421"
"West","Office Supplies","Paper","FC - PL","-1251"
"West","Office Supplies","Paper","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Storage","Quantity","1039"
"West","Office Supplies","Storage","PL","2786"
"West","Office Supplies","Storage","FC","1535"
"West","Office Supplies","Storage","Profit","8645.3222"
"West","Office Supplies","Storage","Profit - Quantity","7606.3222000000005"
"West","Office Supplies","Storage","(Profit - Quantity)%","7.320810587102984"
"West","Office Supplies","Storage","Profit - PL","5859.3222000000005"
"West","Office Supplies","Storage","(Profit - PL)%","2.1031307250538407"
"West","Office Supplies","Storage","Profit - FC","7110.3222000000005"
"West","Office Supplies","Storage","(Profit - FC)%","4.632131726384365"
"West","Office Supplies","Storage","PL - Quantity","1747"
"West","Office Supplies","Storage","(PL - Quantity)%","1.681424446583253"
"West","Office Supplies","Storage","FC - Quantity","496"
"West","Office Supplies","Storage","(FC - Quantity)%","0.4773820981713186"
"West","Office Supplies","Storage","FC - PL","-1251"
"West","Office Supplies","Storage","(FC - PL)%","-0.44903086862885855"
"West","Office Supplies","Supplies","Quantity","238"
"West","Office Supplies","Supplies","PL","2786"
"West","Office Supplies","Supplies","FC","1535"
"West","Office Supplies","Supplies","Profit","626.0465"
"West","Office Supplies","Supplies","Profit - Quantity","388.04650000000004"
"West","Office Supplies","Supplies","(Profit - Quantity)%","1.6304474789915968"
"West","Office Supplies","Supplies","Profit - PL","-2159.9535"
"West","Office Supplies","Supplies","(Profit - PL)%","-0.7752884063173008"
"West","Office Supplies","Supplies","Profit - FC","-908.9535"
"West","Office Supplies","Supplies","(Profit - FC)%","-0.5921521172638436"
"West","Office Supplies","Supplies","PL - Quantity","2548"
"West","Office Supplies","Supplies","(PL - Quantity)%","10.705882352941176"
"West","Office Supplies","Supplies","FC - Quantity","1297"
"West","Office Supplies","Supplies","(FC - Quantity)%","5.449579831932773"
"West","Office Supplies","Supplies","FC - PL","-1251"
"West","Office Supplies","Supplies","(FC - PL)%","-0.44903086862885855"
"West","Technology","Accessories","Quantity","1032"
"West","Technology","Accessories","PL","2786"
"West","Technology","Accessories","FC","1535"
"West","Technology","Accessories","Profit","16484.5983"
"West","Technology","Accessories","Profit - Quantity","15452.598300000001"
"West","Technology","Accessories","(Profit - Quantity)%","14.973447965116282"
"West","Technology","Accessories","Profit - PL","13698.598300000001"
"West","Technology","Accessories","(Profit - PL)%","4.916941241923905"
"West","Technology","Accessories","Profit - FC","14949.598300000001"
"West","Technology","Accessories","(Profit - FC)%","9.739151986970684"
"West","Technology","Accessories","PL - Quantity","1754"
"West","Technology","Accessories","(PL - Quantity)%","1.699612403100775"
"West","Technology","Accessories","FC - Quantity","503"
"West","Technology","Accessories","(FC - Quantity)%","0.4874031007751938"
"West","Technology","Accessories","FC - PL","-1251"
"West","Technology","Accessories","(FC - PL)%","-0.44903086862885855"
"West","Technology","Copiers","Quantity","88"
"West","Technology","Copiers","PL","2786"
"West","Technology","Copiers","FC","1535"
"West","Technology","Copiers","Profit","19327.2351"
"West","Technology","Copiers","Profit - Quantity","19239.2351"
"West","Technology","Copiers","(Profit - Quantity)%","218.62767159090907"
"West","Technology","Copiers","Profit - PL","16541.2351"
"West","Technology","Copiers","(Profit - PL)%","5.937270315865039"
"West","Technology","Copiers","Profit - FC","17792.2351"
"West","Technology","Copiers","(Profit - FC)%","11.59103263843648"
"West","Technology","Copiers","PL - Quantity","2698"
"West","Technology","Copiers","(PL - Quantity)%","30.65909090909091"
"West","Technology","Copiers","FC - Quantity","1447"
"West","Technology","Copiers","(FC - Quantity)%","16.443181818181817"
"West","Technology","Copiers","FC - PL","-1251"
"West","Technology","Copiers","(FC - PL)%","-0.44903086862885855"
"West","Technology","Machines","Quantity","147"
"West","Technology","Machines","PL","2786"
"West","Technology","Machines","FC","1535"
"West","Technology","Machines","Profit","-618.9264"
"West","Technology","Machines","Profit - Quantity","-765.9264"
"West","Technology","Machines","(Profit - Quantity)%","-5.210383673469387"
"West","Technology","Machines","Profit - PL","-3404.9264"
"West","Technology","Machines","(Profit - PL)%","-1.2221559224694902"
"West","Technology","Machines","Profit - FC","-2153.9264"
"West","Technology","Machines","(Profit - FC)%","-1.4032093811074917"
"West","Technology","Machines","PL - Quantity","2639"
"West","Technology","Machines","(PL - Quantity)%","17.952380952380953"
"West","Technology","Machines","FC - Quantity","1388"
"West","Technology","Machines","(FC - Quantity)%","9.4421768707483"
"West","Technology","Machines","FC - PL","-1251"
"West","Technology","Machines","(FC - PL)%","-0.44903086862885855"
"West","Technology","Phones","Quantity","1068"
"West","Technology","Phones","PL","2786"
"West","Technology","Phones","FC","1535"
"West","Technology","Phones","Profit","9110.7426"
"West","Technology","Phones","Profit - Quantity","8042.7426"
"West","Technology","Phones","(Profit - Quantity)%","7.530657865168539"
"West","Technology","Phones","Profit - PL","6324.7426"
"West","Technology","Phones","(Profit - PL)%","2.2701875807609473"
"West","Technology","Phones","Profit - FC","7575.7426"
"West","Technology","Phones","(Profit - FC)%","4.935337198697068"
"West","Technology","Phones","PL - Quantity","1718"
"West","Technology","Phones","(PL - Quantity)%","1.6086142322097379"
"West","Technology","Phones","FC - Quantity","467"
"West","Technology","Phones","(FC - Quantity)%","0.43726591760299627"
"West","Technology","Phones","FC - PL","-1251"
"West","Technology","Phones","(FC - PL)%","-0.44903086862885855"
"East","Furniture","Bookcases","Quantity","252"
"East","Furniture","Bookcases","PL","2786"
"East","Furniture","Bookcases","FC","1535"
"East","Furniture","Bookcases","Profit","-1167.6318"
"East","Furniture","Bookcases","Profit - Quantity","-1419.6318"
"East","Furniture","Bookcases","(Profit - Quantity)%","-5.633459523809524"
"East","Furniture","Bookcases","Profit - PL","-3953.6318"
"East","Furniture","Bookcases","(Profit - PL)%","-1.4191068916008616"
"East","Furniture","Bookcases","Profit - FC","-2702.6318"
"East","Furniture","Bookcases","(Profit - FC)%","-1.7606721824104234"
"East","Furniture","Bookcases","PL - Quantity","2534"
"East","Furniture","Bookcases","(PL - Quantity)%","10.055555555555555"
"East","Furniture","Bookcases","FC - Quantity","1283"
"East","Furniture","Bookcases","(FC - Quantity)%","5.091269841269841"
"East","Furniture","Bookcases","FC - PL","-1251"
"East","Furniture","Bookcases","(FC - PL)%","-0.44903086862885855"
"East","Furniture","Chairs","Quantity","676"
"East","Furniture","Chairs","PL","2786"
"East","Furniture","Chairs","FC","1535"
"East","Furniture","Chairs","Profit","9357.7706"
"East","Furniture","Chairs","Profit - Quantity","8681.7706"
"East","Furniture","Chairs","(Profit - Quantity)%","12.842855917159763"
"East","Furniture","Chairs","Profit - PL","6571.7706"
"East","Furniture","Chairs","(Profit - PL)%","2.3588552045944007"
"East","Furniture","Chairs","Profit - FC","7822.7706"
"East","Furniture","Chairs","(Profit - FC)%","5.096267491856677"
"East","Furniture","Chairs","PL - Quantity","2110"
"East","Furniture","Chairs","(PL - Quantity)%","3.121301775147929"
"East","Furniture","Chairs","FC - Quantity","859"
"East","Furniture","Chairs","(FC - Quantity)%","1.2707100591715976"
"East","Furniture","Chairs","FC - PL","-1251"
"East","Furniture","Chairs","(FC - PL)%","-0.44903086862885855"
"East","Furniture","Furnishings","Quantity","1015"
"East","Furniture","Furnishings","PL","2786"
"East","Furniture","Furnishings","FC","1535"
"East","Furniture","Furnishings","Profit","5881.4071"
"East","Furniture","Furnishings","Profit - Quantity","4866.4071"
"East","Furniture","Furnishings","(Profit - Quantity)%","4.794489753694582"
"East","Furniture","Furnishings","Profit - PL","3095.4071000000004"
"East","Furniture","Furnishings","(Profit - PL)%","1.1110578248384781"
"East","Furniture","Furnishings","Profit - FC","4346.4071"
"East","Furniture","Furnishings","(Profit - FC)%","2.8315355700325737"
"East","Furniture","Furnishings","PL - Quantity","1771"
"East","Furniture","Furnishings","(PL - Quantity)%","1.7448275862068965"
"East","Furniture","Furnishings","FC - Quantity","520"
"East","Furniture","Furnishings","(FC - Quantity)%","0.5123152709359606"
"East","Furniture","Furnishings","FC - PL","-1251"
"East","Furniture","Furnishings","(FC - PL)%","-0.44903086862885855"
"East","Furniture","Tables","Quantity","271"
"East","Furniture","Tables","PL","2786"
"East","Furniture","Tables","FC","1535"
"East","Furniture","Tables","Profit","-11025.3801"
"East","Furniture","Tables","Profit - Quantity","-11296.3801"
"East","Furniture","Tables","(Profit - Quantity)%","-41.6840594095941"
"East","Furniture","Tables","Profit - PL","-13811.3801"
"East","Furniture","Tables","(Profit - PL)%","-4.957422864321608"
"East","Furniture","Tables","Profit - FC","-12560.3801"
"East","Furniture","Tables","(Profit - FC)%","-8.182658045602606"
"East","Furniture","Tables","PL - Quantity","2515"
"East","Furniture","Tables","(PL - Quantity)%","9.280442804428045"
"East","Furniture","Tables","FC - Quantity","1264"
"East","Furniture","Tables","(FC - Quantity)%","4.6642066420664205"
"East","Furniture","Tables","FC - PL","-1251"
"East","Furniture","Tables","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Appliances","Quantity","474"
"East","Office Supplies","Appliances","PL","2786"
"East","Office Supplies","Appliances","FC","1535"
"East","Office Supplies","Appliances","Profit","8391.4134"
"East","Office Supplies","Appliances","Profit - Quantity","7917.4133999999995"
"East","Office Supplies","Appliances","(Profit - Quantity)%","16.703403797468354"
"East","Office Supplies","Appliances","Profit - PL","5605.4133999999995"
"East","Office Supplies","Appliances","(Profit - PL)%","2.0119933237616654"
"East","Office Supplies","Appliances","Profit - FC","6856.4133999999995"
"East","Office Supplies","Appliances","(Profit - FC)%","4.4667188273615634"
"East","Office Supplies","Appliances","PL - Quantity","2312"
"East","Office Supplies","Appliances","(PL - Quantity)%","4.877637130801688"
"East","Office Supplies","Appliances","FC - Quantity","1061"
"East","Office Supplies","Appliances","(FC - Quantity)%","2.238396624472574"
"East","Office Supplies","Appliances","FC - PL","-1251"
"East","Office Supplies","Appliances","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Art","Quantity","849"
"East","Office Supplies","Art","PL","2786"
"East","Office Supplies","Art","FC","1535"
"East","Office Supplies","Art","Profit","1899.9443"
"East","Office Supplies","Art","Profit - Quantity","1050.9443"
"East","Office Supplies","Art","(Profit - Quantity)%","1.23786136631331"
"East","Office Supplies","Art","Profit - PL","-886.0556999999999"
"East","Office Supplies","Art","(Profit - PL)%","-0.3180386575735822"
"East","Office Supplies","Art","Profit - FC","364.9443000000001"
"East","Office Supplies","Art","(Profit - FC)%","0.2377487296416939"
"East","Office Supplies","Art","PL - Quantity","1937"
"East","Office Supplies","Art","(PL - Quantity)%","2.2815076560659597"
"East","Office Supplies","Art","FC - Quantity","686"
"East","Office Supplies","Art","(FC - Quantity)%","0.8080094228504122"
"East","Office Supplies","Art","FC - PL","-1251"
"East","Office Supplies","Art","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Binders","Quantity","1652"
"East","Office Supplies","Binders","PL","2786"
"East","Office Supplies","Binders","FC","1535"
"East","Office Supplies","Binders","Profit","11267.9346"
"East","Office Supplies","Binders","Profit - Quantity","9615.9346"
"East","Office Supplies","Binders","(Profit - Quantity)%","5.820783656174334"
"East","Office Supplies","Binders","Profit - PL","8481.9346"
"East","Office Supplies","Binders","(Profit - PL)%","3.044484781048098"
"East","Office Supplies","Binders","Profit - FC","9732.9346"
"East","Office Supplies","Binders","(Profit - FC)%","6.340674006514658"
"East","Office Supplies","Binders","PL - Quantity","1134"
"East","Office Supplies","Binders","(PL - Quantity)%","0.6864406779661016"
"East","Office Supplies","Binders","FC - Quantity","-117"
"East","Office Supplies","Binders","(FC - Quantity)%","-0.07082324455205811"
"East","Office Supplies","Binders","FC - PL","-1251"
"East","Office Supplies","Binders","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Envelopes","Quantity","267"
"East","Office Supplies","Envelopes","PL","2786"
"East","Office Supplies","Envelopes","FC","1535"
"East","Office Supplies","Envelopes","Profit","1812.409"
"East","Office Supplies","Envelopes","Profit - Quantity","1545.409"
"East","Office Supplies","Envelopes","(Profit - Quantity)%","5.788048689138577"
"East","Office Supplies","Envelopes","Profit - PL","-973.5909999999999"
"East","Office Supplies","Envelopes","(Profit - PL)%","-0.34945836324479534"
"East","Office Supplies","Envelopes","Profit - FC","277.4090000000001"
"East","Office Supplies","Envelopes","(Profit - FC)%","0.18072247557003265"
"East","Office Supplies","Envelopes","PL - Quantity","2519"
"East","Office Supplies","Envelopes","(PL - Quantity)%","9.434456928838951"
"East","Office Supplies","Envelopes","FC - Quantity","1268"
"East","Office Supplies","Envelopes","(FC - Quantity)%","4.749063670411985"
"East","Office Supplies","Envelopes","FC - PL","-1251"
"East","Office Supplies","Envelopes","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Fasteners","Quantity","298"
"East","Office Supplies","Fasteners","PL","2786"
"East","Office Supplies","Fasteners","FC","1535"
"East","Office Supplies","Fasteners","Profit","263.9908"
"East","Office Supplies","Fasteners","Profit - Quantity","-34.00920000000002"
"East","Office Supplies","Fasteners","(Profit - Quantity)%","-0.11412483221476517"
"East","Office Supplies","Fasteners","Profit - PL","-2522.0092"
"East","Office Supplies","Fasteners","(Profit - PL)%","-0.9052437903804738"
"East","Office Supplies","Fasteners","Profit - FC","-1271.0092"
"East","Office Supplies","Fasteners","(Profit - FC)%","-0.8280190228013029"
"East","Office Supplies","Fasteners","PL - Quantity","2488"
"East","Office Supplies","Fasteners","(PL - Quantity)%","8.348993288590604"
"East","Office Supplies","Fasteners","FC - Quantity","1237"
"East","Office Supplies","Fasteners","(FC - Quantity)%","4.151006711409396"
"East","Office Supplies","Fasteners","FC - PL","-1251"
"East","Office Supplies","Fasteners","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Labels","Quantity","420"
"East","Office Supplies","Labels","PL","2786"
"East","Office Supplies","Labels","FC","1535"
"East","Office Supplies","Labels","Profit","1129.28"
"East","Office Supplies","Labels","Profit - Quantity","709.28"
"East","Office Supplies","Labels","(Profit - Quantity)%","1.6887619047619047"
"East","Office Supplies","Labels","Profit - PL","-1656.72"
"East","Office Supplies","Labels","(Profit - PL)%","-0.5946590093323761"
"East","Office Supplies","Labels","Profit - FC","-405.72"
"East","Office Supplies","Labels","(Profit - FC)%","-0.2643127035830619"
"East","Office Supplies","Labels","PL - Quantity","2366"
"East","Office Supplies","Labels","(PL - Quantity)%","5.633333333333334"
"East","Office Supplies","Labels","FC - Quantity","1115"
"East","Office Supplies","Labels","(FC - Quantity)%","2.6547619047619047"
"East","Office Supplies","Labels","FC - PL","-1251"
"East","Office Supplies","Labels","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Paper","Quantity","1400"
"East","Office Supplies","Paper","PL","2786"
"East","Office Supplies","Paper","FC","1535"
"East","Office Supplies","Paper","Profit","9015.371"
"East","Office Supplies","Paper","Profit - Quantity","7615.370999999999"
"East","Office Supplies","Paper","(Profit - Quantity)%","5.439550714285714"
"East","Office Supplies","Paper","Profit - PL","6229.370999999999"
"East","Office Supplies","Paper","(Profit - PL)%","2.2359551328068914"
"East","Office Supplies","Paper","Profit - FC","7480.370999999999"
"East","Office Supplies","Paper","(Profit - FC)%","4.873205863192182"
"East","Office Supplies","Paper","PL - Quantity","1386"
"East","Office Supplies","Paper","(PL - Quantity)%","0.99"
"East","Office Supplies","Paper","FC - Quantity","135"
"East","Office Supplies","Paper","(FC - Quantity)%","0.09642857142857145"
"East","Office Supplies","Paper","FC - PL","-1251"
"East","Office Supplies","Paper","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Storage","Quantity","907"
"East","Office Supplies","Storage","PL","2786"
"East","Office Supplies","Storage","FC","1535"
"East","Office Supplies","Storage","Profit","8389.3712"
"East","Office Supplies","Storage","Profit - Quantity","7482.3712"
"East","Office Supplies","Storage","(Profit - Quantity)%","8.24958235942668"
"East","Office Supplies","Storage","Profit - PL","5603.3712"
"East","Office Supplies","Storage","(Profit - PL)%","2.0112603015075377"
"East","Office Supplies","Storage","Profit - FC","6854.3712"
"East","Office Supplies","Storage","(Profit - FC)%","4.465388403908794"
"East","Office Supplies","Storage","PL - Quantity","1879"
"East","Office Supplies","Storage","(PL - Quantity)%","2.071664829106946"
"East","Office Supplies","Storage","FC - Quantity","628"
"East","Office Supplies","Storage","(FC - Quantity)%","0.6923925027563397"
"East","Office Supplies","Storage","FC - PL","-1251"
"East","Office Supplies","Storage","(FC - PL)%","-0.44903086862885855"
"East","Office Supplies","Supplies","Quantity","195"
"East","Office Supplies","Supplies","PL","2786"
"East","Office Supplies","Supplies","FC","1535"
"East","Office Supplies","Supplies","Profit","-1155.1352"
"East","Office Supplies","Supplies","Profit - Quantity","-1350.1352"
"East","Office Supplies","Supplies","(Profit - Quantity)%","-6.923770256410256"
"East","Office Supplies","Supplies","Profit - PL","-3941.1351999999997"
"East","Office Supplies","Supplies","(Profit - PL)%","-1.414621392677674"
"East","Office Supplies","Supplies","Profit - FC","-2690.1351999999997"
"East","Office Supplies","Supplies","(Profit - FC)%","-1.7525310749185663"
"East","Office Supplies","Supplies","PL - Quantity","2591"
"East","Office Supplies","Supplies","(PL - Quantity)%","13.287179487179488"
"East","Office Supplies","Supplies","FC - Quantity","1340"
"East","Office Supplies","Supplies","(FC - Quantity)%","6.871794871794872"
"East","Office Supplies","Supplies","FC - PL","-1251"
"East","Office Supplies","Supplies","(FC - PL)%","-0.44903086862885855"
"East","Technology","Accessories","Quantity","724"
"East","Technology","Accessories","PL","2786"
"East","Technology","Accessories","FC","1535"
"East","Technology","Accessories","Profit","11195.8644"
"East","Technology","Accessories","Profit - Quantity","10471.8644"
"East","Technology","Accessories","(Profit - Quantity)%","14.463901104972376"
"East","Technology","Accessories","Profit - PL","8409.8644"
"East","Technology","Accessories","(Profit - PL)%","3.01861608040201"
